"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.20828125,"Up",7073000,-3838000,3235000,-2736000,-2736000,499000,-20000,-324.852515454999,-20000,479000,479000,405000,405000,405000,405000,4516000,4516000,4996000,4996000,13480000,4942000,678000,27934000,1066000,5475000,3069000,321000,6541000,34475000,2929000,1742000,1187000,821000,537000,284000,3750000,105000,105000,105000,3855000,32762000,-2142000,30620000,30620000,34475000,405000,369000,135000,-2774000,-1865000,-50000,-2e+05,0,0,-2065000,-2065000,-2065000,868000,0,0.45737,0.07055,0.05726,0.01323,0.01175,7.44907,0.1259,0,0.0299,0.02988,0.52217,2.26053,0.01318,-5.20276,-9.0501
"12","2013_Q3",2.38953125,"Up",6191000,-3474000,2717000,-2339000,-2339000,378000,31000,0,31000,409000,409000,197000,197000,197000,197000,5804000,5804000,3528000,3528000,12873000,4637000,1002000,26842000,1005000,5752000,3487000,313000,6757000,33599000,1908000,938000,970000,743000,470000,273000,2651000,95000,95000,95000,2746000,32798000,-1945000,30853000,30853000,33599000,197000,371000,225000,638000,1431000,-38000,-177000,34000,34000,1288000,1288000,1288000,749000,0,0.43886,0.06106,0.03182,0.00639,0.00586,10.12524,0.089,0,0.01452,0.01448,0.45642,2.27459,0.00637,-7.749,-15.3545
"13","2013_Q4",2.35453125,"Down",7600000,-4328000,3272000,-2505000,-2505000,767000,0,0,0,767000,767000,514000,514000,514000,514000,7630000,7630000,3783000,3783000,11444000,4743000,1371000,27600000,1018000,5541000,3487000,323000,6559000,34159000,2012000,938000,1074000,653000,372000,281000,2665000,124000,124000,124000,2789000,32801000,-1431000,31370000,31370000,34159000,514000,379000,346000,758000,1997000,-120000,-171000,0,0,1826000,1826000,1826000,1146000,0,0.43053,0.10092,0.06763,0.01639,0.01505,10.35647,0.08891,0,0.03785,0.03766,0.55963,2.30993,0.01632,-6.65794,-9.94785
"14","2014_Q1",2.6227868852459,"Up",6159000,-3636000,2523000,-2526000,-2526000,-3000.00000000012,5000,-1.4210854715202e-14,5000,2000,2000,26000.0000000001,26000.0000000001,26000.0000000001,26000.0000000001,7945000,7945000,2844000,2844000,11575000,5756000,1920000,28120000,1045000,4858000,3072000,308000,5903000,34023000,1883000,950000,933000,573000,281000,292000,2456000,147000,147000,147000,2603000,32825000,-1405000,31420000,31420000,34023000,26000.0000000001,356000,34000,11000,427000,-130000,-130000,18000,18000,315000,315000,315000,353000,1.13686837721616e-13,0.40964,-0.000490000000000018,0.00421999999999999,0.000829999999999999,0.00076,11.44951,0.08285,0,0.00191,0.00193,0.4534,2.31298,0.00082,-22.50708,2648.33333
"15","2014_Q2",2.77634920634921,"Up",7824000,-4678000,3146000,-2546000,-2546000,6e+05,1000,568.507552546111,1000,601000,601000,475000,475000,475000,475000,8042000,8042000,5539000,5539000,10865000,5169000,1552000,29615000,1082000,4744000,3165000,298000,5826000,35441000,2721000,1690000,1031000,564000,251000,313000,3285000,151000,151000,151000,3436000,32935000,-930000,32005000,32005000,35441000,475000,297000,159000,-795000,136000,-137000,-137000,98000,98000,97000,97000,97000,897000,0,0.4021,0.07669,0.06071,0.01484,0.0134,9.01522,0.10736,0,0.03487,0.03464,0.57431,2.3493,0.01477,-8.96544,-13.40333
"16","2014_Q3",3.60265625,"Up",9058000,-5179000,3879000,-2839000,-2839000,1040000,-10000,1174.91297445525,-10000,1030000,1030000,672000,672000,672000,672000,9162000,9162000,6255000,6255000,10284000,5019000,1778000,30720000,1152000,4535000,3165000,286000,5687000,36407000,2880000,1712000,1168000,575000,255000,320000,3455000,234000,234000,234000,3689000,32976000,-258000,32718000,32718000,36407000,672000,318000,434000,-141000,1283000,-191000,-191000,28000,28000,1120000,1120000,1120000,1358000,0,0.42824,0.11482,0.07419,0.02054,0.01846,8.89146,0.11275,0,0.04925,0.04894,0.66383,2.39778,0.02039,-6.74669,-8.8096199999999
"17","2014_Q4",3.835625,"Up",8670000,-4882000,3788000,-2756000,-2756000,1032000,3000,1000,2000,1035000,1035000,655000,655000,655000,655000,10906000,10906000,4547000,4547000,11684000,4990000,2128000,32127000,1189000,4323000,3165000,271000,5512000,37639000,3327000,1848000,1479000,643000,291000,352000,3975000,262000,262000,262000,4237000,33005000,397000,33402000,33402000,37639000,655000,315000,431000,480000,1881000,-155000,-155000,18000,18000,1744000,1744000,1744000,1347000,5000,0.43691,0.11903,0.07555,0.01961,0.0174,8.08226,0.12685,0.00013,0.04796,0.04753,0.63488,2.44592,0.01945,-8.0928,-10.56298
"18","2015_Q1",4.41032786885246,"Up",5419000,-3045000,2374000,-2518000,-2518000,-144000,999.999999999998,0,1000,-143000,-143000,-179000,-179000,-179000,-179000,11363000,11363000,3266000,3266000,12112000,1921000,1921000,28662000,1282000,7042000,6033000,256000,8324000,36986000,2866000,1403000,1463000,675000,291000,384000,3541000,212000,212000,212000,3753000,33015000,218000,33233000,33233000,36986000,-179000,255000,-36999.9999999999,632000,671000,-214000,-214000,3.63797880709171e-12,0,457000,457000,457000,111000,0,0.43809,-0.02657,-0.03303,-0.00539,-0.00484,8.09432,0.11293,0,-0.0131,-0.01298,0.39661,2.43226,-0.00535,-102.36937,78.90972
"19","2015_Q2",4.63761904761905,"Up",8577000,-4894000,3683000,-2943000,-2943000,740000,3000,0,3000,743000,743000,538000,538000,538000,538000,10685000,10685000,5747000,5747000,11550000,5148000,1680000,33130000,1269000,3252000,2360000,242000,4521000,37651000,2934000,1506000,1428000,542000,128000,414000,3476000,356000,356000,356000,3832000,33063000,756000,33819000,33819000,37651000,538000,218000,267000,-1640000,-617000,-102000,-102000,41000,41000,-678000,-678000,-678000,958000,0,0.4294,0.08628,0.06273,0.01591,0.01429,9.53107,0.11331,0,0.03935,0.03882,0.62737,2.4737,0.01574,-11.15344,-14.43919
"20","2015_Q3",3.33546875,"Down",6589000,-4203000,2386000,-2278000,-2278000,108000,38000,0,38000,146000,146000,78999.9999999998,78999.9999999998,78999.9999999998,78999.9999999998,11678000,11678000,3384000,3384000,12339000,5952000,2536000,33353000,1386000,3162000,2369000,245000,4548000,37901000,3008000,1890000,1118000,593000,131000,462000,3601000,358000,358000,358000,3959000,33107000,835000,33942000,33942000,37901000,78999.9999999998,225000,34000.0000000001,860000,1198000,-240000,-240000,35000,35000,993000,993000,993000,333000,-2.27373675443232e-13,0.36212,0.01639,0.01199,0.00233,0.00208,9.26215,0.11664,0,0.00576,0.00567,0.48067,2.47609,0.0023,-35.06907,-108.12963
"21","2015_Q4",3.3390625,"Up",7607000,-4120000,3487000,-3186000,-3186000,301000,-3000,1000,-4000,298000,298000,212000,212000,212000,212000,7856000,7856000,4216000,4216000,13834000,5879000,2569000,31785000,1771000,2616000,1937000,234000,8280000,40065000,4174000,2602000,1572000,649000,132000,517000,4823000,371000,371000,371000,5194000,33124000,1047000,34871000,34871000,40065000,212000,254000,189000,-1180000,-525000,-536000,-3297000,0,0,-3822000,-3822000,-3822000,555000,0,0.45839,0.03957,0.02787,0.00608,0.00529,6.5903,0.14895,0,0.01545,0.01537,0.5545,2.54186,0.00602,-14.15495,-26.09967
"22","2016_Q1",3.31688524590164,"Down",6949000,-4223000,2726000,-2445000,-2445000,281000,-82000,0,-82000,199000,199000,212000,212000,212000,212000,4669000,4669000,4122000,4122000,16282000,3081000,3081000,28154000,1840000,6053000,5461000,222000,11295000,39449000,3589000,2285000,1304000,674000,136000,538000,4263000,366000,366000,366000,4629000,33164000,1259000,34820000,34820000,39449000,212000,217000,103000,-3524000,-2992000,-211000,-211000,16000,16000,-3187000,-3187000,-3187000,498000,1.4210854715202e-14,0.39229,0.04044,0.03051,0.00609,0.00537,6.60427,0.13294,4.2351647362715e-22,0.01545,0.01534,0.50627,2.5368,0.00603,-9.3755,-16.61566
"23","2016_Q2",4.08390625,"Up",12069000,-8240000,3829000,-3063000,-3063000,766000,2000,1000,1000,768000,768000,513000,513000,513000,513000,6345000,6345000,7249000,7249000,17024000,3145000,3145000,33763000,2134000,5574000,5044000,213000,12046000,45809000,5668000,4145000,1523000,4164000,139000,4025000,9832000,339000,339000,339000,10171000,33176000,1772000,35638000,35638000,45809000,513000,214000,290000,1595000,2612000,-455000,-936000,0,0,1676000,1676000,1676000,980000,0,0.31726,0.06347,0.04251,0.01439,0.0112,3.43399,0.2854,0,0.03736,0.03718,0.87899,2.59552,0.01426,-6.47449,-8.28329
"24","2016_Q3",4.3946875,"Up",16664000,-11073000,5591000,-3497000,-3497000,2094000,7999.99999999999,1000,7000,2102000,2102000,1365000,1365000,1365000,1365000,9080000,9080000,5916000,5916000,15898000,1906000,1906000,32800000,2452000,4890000,4421000,205000,12428000,45228000,6606000,4560000,2046000,1649000,142000,1507000,8255000,344000,344000,344000,8599000,33580000,1901000,36629000,36629000,45228000,1365000,242000,770000,2113000,4490000,-507000,-507000,-12000,-1248000,2735000,2735000,2735000,2336000,0,0.33551,0.12566,0.08191,0.03727,0.03018,3.97335,0.23476,-2.64697796016969e-23,0.09939,0.09862,1.21331,2.66698,0.07035,-3.88699,-4.3362
"25","2016_Q4",4.21809523809524,"Down",14730000,-10099000,4631000,-3550000,-3550000,1081000,1000,2000,-1000,1082000,1082000,719000,719000,719000,719000,8621000,8621000,6237000,6237000,13284000,1821000,1821000,29963000,2629000,4004000,3564000,229000,13105000,43068000,4951000,2811000,2140000,732000,144000,588000,5683000,394000,394000,394000,6077000,33629000,1384000,36991000,36991000,43068000,719000,262000,494000,-271000,1204000,-386000,-386000,-41000,-1277000,-459000,-459000,-459000,1343000,0,0.31439,0.07339,0.04881,0.01944,0.01669,5.27239,0.16428,0,0.05232,0.05196,1.07196,2.69197,0.05229,-6.41921,-7.97502
"26","2017_Q1",4.27129032258065,"Up",7226000,-4200000,3026000,-2682000,-2682000,344000,-24000,5000,-29000,320000,320000,92000,92000,92000,92000,10910000,10910000,3448000,3448000,13999000,1410000,1410000,29767000,2486000,3819000,3418000,401000,12777000,42544000,5570000,1973000,2362000,792000,142000,650000,6362000,408000,408000,408000,6770000,33635000,240000,35774000,35774000,42544000,92000,224000,314000,1785000,2415000,-45999.9999999999,-46000,-79000,-80000.0000000002,2289000,2289000,2289000,568000,2.22044604925031e-16,0.41877,0.04761,0.01273,0.00257,0.00216,4.67887,0.18924,-6.61744490042422e-24,0.0067,0.00666,0.52614,2.60479,0.00257,-19.20775,-31.71512
"27","2017_Q2",3.9384126984127,"Down",7380000,-5143000,2237000,-3443000,-3443000,-1206000,-79000,8000,-87000,-1285000,-1389000,-1268000,-1268000,-1268000,-1268000,8325000,8325000,3288000,3288000,14751000,1042000,1042000,27406000,2506000,2769000,2398000,371000,14948000,42354000,5571000,2647000,1682000,990000,144000,846000,6561000,382000,382000,382000,6943000,33820000,-2270000,35411000,35411000,42354000,-1268000,229000,214000,-292000,-1117000,-319000,-319000,86000,-1149000,-2585000,-2585000,-2585000,-977000,0,0.30312,-0.16341,-0.17182,-0.03581,-0.02994,4.17711,0.19607,0,-0.09032,-0.09032,0.52568,2.52234,-0.00092,8.52098,6.90299
"28","2017_Q3",3.20920634920635,"Down",10762000,-6268000,4494000,-3521000,-3521000,973000,-50000,10000,-60000,923000,1540000,1318000,1318000,1318000,1318000,9593000,7490000,5313000,5313000,14793000,884000,884000,30583000,2427000,2299000,1943000,356000,12668000,43251000,4874000,2872000,1727000,1207000,147000,1060000,6081000,397000,397000,397000,6478000,33840000,-1227000,36773000,36773000,43251000,1318000,242000,-146000,-1656000,-242000,-128000,769000,-120000,-1362000,-835000,-835000,-835000,1215000,-3.5527136788005e-15,0.41758,0.09041,0.12247,0.03584,0.03047,5.02927,0.17616,0,0.09777,0.09574,0.79834,2.72786,0.06887,-7.89547,-9.8592
"29","2017_Q4",3.21380952380952,"Up",11831000,-8014000,3817000,-3660000,-3660000,157000,15000,14000,1000,172000,852000,6e+05,6e+05,6e+05,6e+05,10118000,8938000,7032000,7032000,15235000,843000,843000,33228000,2347000,2008000,1701000,307000,12928000,46156000,7420000,5776000,1370000,1345000,150000,1195000,8765000,452000,452000,452000,9217000,33893000,-901000,36939000,36939000,46156000,6e+05,256000,-267000,525000,1114000,-125000,797000,-188000,-463000,1448000,1448000,1448000,413000,0,0.32263,0.01327,0.05071,0.01624,0.013,3.79099,0.24952,0,0.04516,0.04508,0.89041,2.78005,0.0234,-24.49879,-64.44586
"30","2018_Q1",3.26213114754098,"Up",9422000,-10420000,-997999.999999999,-3953000,-3953000,-4951000,54000,14000,40000,-4897000,-6453000,-4276000,-4276000,-4276000,-4276000,16331000,7147000,5524000,5524000,14358000,772000,772000,36985000,2201000,3615000,3317000,298000,5816000,42801000,8767000,5971000,2523000,1546000,157000,1389000,10313000,481000,481000,481000,10794000,33949000,-5450000,32007000,32007000,42801000,-4276000,215000,-1683000,3703000,-2041000,-56000,767000,-243000,-517000,-1791000,-1791000,-1791000,-4736000,5.6843418860808e-14,-0.10592,-0.52547,-0.45383,-0.1336,-0.0999,3.58625,0.33724,0,-0.31227,-0.31945,0.68807,2.33741,-0.12318,3.44827,3.29853000000001
"31","2018_Q2",3.3021875,"Up",11746000,-6909000,4837000,-4089000,-4089000,748000,-151000,17000,-168000,597000,-549000,-443000,-443000,-443000,-443000,8058000,8058000,7708000,7708000,15318000,760000,760000,31844000,2151000,3696000,3423000,273000,8883000,40727000,7370000,4855000,2244000,1613000,166000,1447000,8983000,753000,753000,753000,9736000,34004000,-1846000,30991000,30991000,40727000,-443000,211000,1122000,-4208000,-3318000,-143000,4859000,-357000,-630000,911000,911000,911000,959000,0,0.4118,0.06368,-0.03771,-0.01429,-0.01088,3.54492,0.31416,0,-0.03221,-0.03221,0.854,2.25322,-0.00536,-8.4025,-10.77273
"32","2018_Q3",3.27460317460317,"Down",13656000,-7772000,5884000,-4555000,-4555000,1329000,-39000,18000,-57000,1290000,1235000,946000,946000,946000,946000,10723000,10723000,6983000,6983000,12781000,871000,871000,31358000,2367000,3378000,3139000,239000,9134000,40492000,6394000,3534000,2589000,1590000,175000,1415000,7984000,1045000,1045000,1045000,9029000,34060000,-1171000,31463000,31463000,40492000,946000,228000,363000,2492000,4029000,-426000,-834000,-259000,-530000,2665000,2665000,2665000,1557000,0,0.43087,0.09732,0.06927,0.03007,0.02336,3.92761,0.28697,0,0.07069,0.0704000000000001,1.02052,2.35124,0.03744,-6.88696,-8.06847
"33","2018_Q4",3.3815873015873,"Up",13302000,-7838000,5464000,-4585000,-4585000,879000,-21000,28000,-49000,858000,667000,650000,650000,650000,650000,11349000,11349000,7407000,7407000,10688000,1641000,1641000,31085000,2619000,3337000,3122000,215000,9154000,40239000,5830000,3496000,2066000,1613000,179000,1434000,7443000,1422000,1422000,1422000,8865000,34126000,-789000,31374000,31374000,40239000,650000,263000,293000,726000,1932000,-498000,-498000,-537000,-808000,626000,626000,626000,1142000,0,0.41077,0.06608,0.04886,0.02072,0.01615,4.17641,0.28256,0,0.04822,0.04815,0.98688,2.32766,0.02808,-9.93783,-12.91126
"34","2019_Q1",3.7216393442623,"Up",10676000,-6884000,3792000,-4323000,-4323000,-531000,-15000,39000,-54000,-546000,-1825000,-1348000,-1348000,-1348000,-1348000,11268000,11268000,5721000,5721000,11466000,2401000,2401000,30856000,2729000,3687000,3495000,192000,8335000,39191000,8157000,5595000,2306000,1726000,180000,1546000,9883000,1596000,1596000,1596000,11479000,34197000,-2393000,27712000,27712000,39191000,-1348000,219000,1082000,2692000,2645000,-329000,-329000,-2129000,-2397000,-81000,-81000,-81000,-312000,7.27595761418343e-12,0.35519,-0.04974,-0.12626,-0.04864,-0.0344,3.12213,0.41422,4.33680868994202e-19,-0.1018,-0.1024,0.80624,2.09279,-0.03685,36.11538,21.22034
"35","2019_Q2",3.64269841269841,"Down",7644000,-5207000,2437000,-4755000,-4755000,-2318000,50000,55000,-5000,-2268000,-1673000,-1318000,-1318000,-1318000,-1318000,7540000,7540000,5045000,5045000,12162000,2544000,2544000,27291000,3302000,6787000,3850000,2937000,12600000,39891000,7738000,6197000,1287000,1642000,184000,1458000,9671000,4343000,4343000,4343000,14014000,34271000,-3965000,25877000,25877000,39891000,-1318000,256000,-944000,-302000,-2308000,-829000,-829000,-335000,-591000,-3728000,-3728000,-3728000,-2062000,291000,0.31881,-0.30324,-0.17242,-0.05093,-0.03304,2.82194,0.54156,0.00729,-0.10328,-0.10328,0.59898,2.02771,-0.03481,3.51552,3.12726
"36","2019_Q3",3.5109375,"Down",13294000,-7593000,5701000,-5681000,-5681000,20000,38000,46000,-8000,57999.9999999995,-93000.0000000002,-247000,-247000,-247000,-247000,7415000,7415000,5093000,5093000,13257000,2132000,2132000,27897000,3616000,6507000,3659000,2848000,12486000,40383000,8866000,6841000,1771000,1659000,219000,1440000,10792000,4359000,4359000,4359000,15151000,34341000,-4467000,25232000,25232000,40383000,-247000,319000,421000,482000,975000,-633000,-633000,-213000,-467000,-125000,-125000,-125000,339000,267000,0.42884,0.00150000000000006,-0.01858,-0.00979,-0.00612,2.58497,0.60047,0.00661,-0.01942,-0.01942,1.04514,1.98367,0.000230000000000001,-21.08555,-357.4
