"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",34.303606557377,"Up",6041204000,-4949319000,1091885000,-920751000,-920751000,171134000,-38759000,-42312000,132375000,-195000,132180000,-32316000,99864000,99864000,99864000,99864000,1.04e+08,1.04e+08,1.347e+09,1.347e+09,1.279e+09,2.49e+08,1.06e+08,7e+06,1.36e+08,2.979e+09,1.842e+09,4.365e+09,3.967e+09,3.24e+08,6.7e+07,6.207e+09,9.186e+09,1.813e+09,1.359e+09,4.54e+08,2.63e+08,2.076e+09,3.351e+09,5.3e+08,2.98e+08,2.32e+08,3.881e+09,5.957e+09,2.782e+09,5.31e+08,-8.4e+07,3.229e+09,3.229e+09,9.186e+09,99864000,89551000,9454000,-33889000,164980000,-67196000,-66897000,2904661000,4754000,4754000,-2990736000,-81321000,16762000,16762000,16762000,260685000,3.614e+09,191916000,0.18074,0.02833,0.01653,0.03093,0.01087,1.92177,1.43497,1.84484,0.39342,0.46038,0.45765,27.85032,14.88589,0.88474,0.01354,0.02603,13.46453,20.51024
"12","2019_Q2",36.3268253968254,"Up",6.031e+09,-4.979e+09,1.052e+09,-9.21e+08,-9.21e+08,1.31e+08,-4e+07,-4.2e+07,9.1e+07,0,9.1e+07,-2e+07,7.1e+07,7.1e+07,7.1e+07,7.1e+07,9.2e+07,9.2e+07,1.408e+09,1.408e+09,1.272e+09,3.09e+08,1.11e+08,7e+06,1.91e+08,3.081e+09,1.849e+09,4.461e+09,3.967e+09,3.14e+08,1.73e+08,6.31e+09,9.391e+09,1.953e+09,1.534e+09,4.19e+08,2.61e+08,2.214e+09,3.275e+09,5.92e+08,2.93e+08,2.99e+08,3.867e+09,6.081e+09,2.797e+09,6.02e+08,-8.9e+07,3.31e+09,3.31e+09,9.391e+09,7.1e+07,8.1e+07,1e+07,-8e+06,1.54e+08,-6.1e+07,-6.1e+07,-1.119e+09,1.1e+07,1.1e+07,1.002e+09,-1.06e+08,-1.3e+07,-1.3e+07,-1.3e+07,2.12e+08,3.536e+09,1.63e+08,0.17443,0.02172,0.01177,0.02145,0.00756,2.29577,1.3916,1.83716,0.37653,0.32719,0.3242,27.79263,15.25346,0.75115,0.00955,0.02191,16.24528,26.29008
"13","2019_Q3",38.6034375,"Up",6.443e+09,-5.301e+09,1.142e+09,-9.48e+08,-9.48e+08,1.94e+08,-4e+07,-4.2e+07,1.54e+08,0,1.54e+08,-3.8e+07,1.16e+08,1.16e+08,1.16e+08,1.16e+08,9.6e+07,9.6e+07,1.391e+09,1.391e+09,1.277e+09,2.78e+08,9.4e+07,1e+06,1.83e+08,3.042e+09,1.836e+09,4.461e+09,3.967e+09,3.04e+08,1.84e+08,6.297e+09,9.339e+09,1.973e+09,1.535e+09,4.38e+08,2.43e+08,2.216e+09,3.101e+09,5.87e+08,2.86e+08,3.01e+08,3.688e+09,5.904e+09,2.813e+09,7.18e+08,-9.6e+07,3.435e+09,3.435e+09,9.339e+09,1.16e+08,9.2e+07,9e+06,2.3e+07,2.4e+08,-4.1e+07,-4.1e+07,8.07e+08,1e+07,1e+07,-1.011e+09,-1.94e+08,5e+06,5e+06,5e+06,2.86e+08,3.344e+09,3.06e+08,0.17725,0.03011,0.018,0.03377,0.01242,2.63793,1.37274,1.71878,0.35807,0.52968,0.52968,29.42009,15.68493,1.39726,0.01575,0.04154,11.35664,16.74227
"14","2019_Q4",40.1365625,"Up",6.531e+09,-5.375e+09,1.156e+09,-9.68e+08,-9.68e+08,1.88e+08,-4.4e+07,-4.3e+07,1.44e+08,5.82076609134674e-11,1.44e+08,-3.9e+07,1.05e+08,1.06e+08,1.06e+08,1.06e+08,9e+07,9e+07,1.548e+09,1.548e+09,1.468e+09,4.54e+08,1.01e+08,1e+06,2.1e+08,3.56e+09,2.029e+09,5.937e+09,4.728e+09,9.83e+08,2.26e+08,7.966e+09,1.1526e+10,2.156e+09,1.645e+09,5.11e+08,3.63e+08,2.546e+09,4.788e+09,6.35e+08,2.94e+08,3.41e+08,5.423e+09,7.969e+09,2.827e+09,8.24e+08,-9.4e+07,3.557e+09,3.557e+09,1.1526e+10,1.05e+08,8.7e+07,2.6e+07,-5.4e+07,1.65e+08,-4.6e+07,-1.875e+09,1.742e+09,7e+06,7e+06,-37999999.9999995,1.711e+09,999999.999999993,999999.999999993,999999.999999993,2.75e+08,5.151e+09,2.14e+08,0.177,0.02879,0.01623,0.0298,0.0092,2.01887,1.39827,2.24037,0.4469,0.48624,0.48402,29.95872,16.31651,0.98165,0.01135,0.0229,18.40364,26.92021
"15","2020_Q1",33.4859677419355,"Down",6.934e+09,-5.697e+09,1.237e+09,-1.051e+09,-1.051e+09,1.86e+08,-6.4e+07,-5.7e+07,1.22e+08,-2529510.61440009,1.22e+08,-2.9e+07,9.3e+07,9.2e+07,9.2e+07,9.2e+07,9e+07,9e+07,1.455e+09,1.455e+09,1.432e+09,2.85e+08,1.09e+08,1e+06,1.75e+08,3.262e+09,2.075e+09,5.951e+09,4.728e+09,9.67e+08,2.56e+08,8.026e+09,1.1288e+10,1.998e+09,1.46e+09,5.38e+08,3.64e+08,2.362e+09,4.594e+09,6.23e+08,3.08e+08,3.15e+08,5.217e+09,7.579e+09,2.847e+09,9.16e+08,-5.4e+07,3.709e+09,3.709e+09,1.1288e+10,9.3e+07,1.02e+08,2.2e+07,-1.5e+07,2.01e+08,-7e+06,-1e+07,-1.99e+08,1e+07,1e+07,-2e+06,-1.91e+08,0,0,0,2.88e+08,4.958e+09,2.95e+08,0.1784,0.02682,0.01327,0.0248,0.00815,3.20652,1.38103,2.04341,0.43923,0.42202,0.41256,31.80734,17.01376,1.35321,0.0099,0.03175,16.90278,26.17204
"16","2020_Q2",19.1242857142857,"Down",6.339e+09,-5.273e+09,1.066e+09,-1.192e+09,-1.192e+09,-1.26e+08,-4.6e+07,-5.2e+07,-1.72e+08,-7990115.70177285,-1.72e+08,4e+07,-1.32e+08,-1.32e+08,-1.32e+08,-1.32e+08,1.077e+09,1.077e+09,1.124e+09,1.124e+09,1.426e+09,2.96e+08,1.21e+08,1.5e+07,1.6e+08,3.923e+09,2.105e+09,5.956e+09,4.728e+09,9.48e+08,2.73e+08,8.061e+09,1.1984e+10,1.722e+09,1.299e+09,4.23e+08,3.05e+08,2.027e+09,5.769e+09,6.06e+08,2.96e+08,3.1e+08,6.375e+09,8.402e+09,2.859e+09,7.83e+08,-6e+07,3.582e+09,3.582e+09,1.1984e+10,-1.32e+08,1.01e+08,1.73e+08,-2.04e+08,-61999999.9999999,-7.4e+07,-7.4e+07,1.118e+09,7e+06,7e+06,-2e+06,1.123e+09,9.87e+08,9.87e+08,9.87e+08,-2.5e+07,6.074e+09,-3.43e+08,0.16817,-0.01988,-0.02082,-0.03685,-0.01101,2.59848,1.93537,2.34562,0.50684,-0.60274,-0.60274,28.94521,16.35616,-1.56621,-0.01286,-0.03342,-199.88,-39.65873
"17","2020_Q3",22.50140625,"Up",4.56e+09,-3.889e+09,6.71e+08,-7.14e+08,-7.14e+08,-4.3e+07,-5.9e+07,-6.3e+07,-1.02e+08,-1.6e+07,-1.18e+08,2.6e+07,-9.2e+07,-9.2e+07,-9.2e+07,-9.7e+07,1.668e+09,1.668e+09,1.089e+09,1.089e+09,1.332e+09,3.33e+08,1.37e+08,2e+07,1.76e+08,4.422e+09,2.121e+09,6.986e+09,5.629e+09,9.43e+08,4.05e+08,9.107e+09,1.3529e+10,2.429e+09,1.914e+09,5.15e+08,2.96e+08,2.725e+09,6.065e+09,7.48e+08,2.84e+08,4.64e+08,6.813e+09,9.538e+09,2.873e+09,6.86e+08,-5.9e+07,3.991e+09,3.991e+09,1.3529e+10,-9.2e+07,1.06e+08,-8.2e+07,9e+08,8.32e+08,-4.9e+07,-1.022e+09,8.12e+08,5e+06,5e+06,-3.6e+07,7.81e+08,5.91e+08,5.91e+08,5.91e+08,6.3e+07,6.361e+09,8.88e+08,0.14715,-0.00943,-0.02127,-0.0243,-0.00717,-9.15464,1.62275,2.38988,0.47018,-0.44292,-0.44292,20.82192,15.98174,4.05479,-0.00874,0.08,74.49206,-109.13953
"18","2020_Q4",28.5221875,"Up",5.848e+09,-4.874e+09,9.74e+08,-8.73e+08,-8.73e+08,1.01e+08,-5.7e+07,-6.3e+07,4.4e+07,-2.3e+07,2.1e+07,-1.3e+07,8e+06,8000000.00000001,8000000.00000001,-2e+06,1.019e+09,1.019e+09,1.185e+09,1.185e+09,1.314e+09,2.87e+08,9.3e+07,1e+07,1.84e+08,3.805e+09,2.055e+09,6.936e+09,5.644e+09,9.13e+08,3.79e+08,8.991e+09,1.2796e+10,2.064e+09,1.543e+09,5.21e+08,3.08e+08,2.372e+09,5.638e+09,7.75e+08,2.5e+08,5.25e+08,6.413e+09,8.785e+09,2.888e+09,6.84e+08,-5.7e+07,4.011e+09,4.011e+09,1.2796e+10,8e+06,1.09e+08,-4.1e+07,-3.13e+08,-2.37e+08,8999999.99999999,9e+06,-4.34e+08,5e+06,5e+06,-1.49011611938477e-08,-4.29e+08,-6.57e+08,-6.57e+08,-6.57e+08,2.1e+08,5.946e+09,-8.1e+07,0.16655,0.01727,-0.000340000000000003,-0.000499999999999997,-0.000160000000000001,40.5,1.60413,2.19023,0.46468,-0.00900999999999996,-0.00901000000000007,26.34234,15.83333,-0.36486,-0.000190000000000001,-0.00755,23.4619000000001,48.78218
"19","2021_Q1",36.1519672131148,"Up",6.138e+09,-5.13e+09,1.008e+09,-9.78e+08,-9.78e+08,3e+07,-9.7e+07,-6e+07,-6.7e+07,-2.3e+07,-9e+07,1.5e+07,-7.5e+07,-7.5e+07,-7.5e+07,-8.8e+07,8.28e+08,8.28e+08,1.084e+09,1.084e+09,1.273e+09,2.8e+08,1.32e+08,1e+06,1.47e+08,3.465e+09,2.021e+09,6.937e+09,5.637e+09,8.92e+08,4.07e+08,8.958e+09,1.2423e+10,1.715e+09,1.218e+09,4.97e+08,2.67e+08,1.982e+09,5.617e+09,7.75e+08,2.7e+08,5.05e+08,6.392e+09,8.374e+09,2.903e+09,6.61e+08,-3.4e+07,4.049e+09,4.049e+09,1.2423e+10,-1e+07,1.06e+08,1.3e+07,-2.29e+08,-1.2e+08,-2.4e+07,-2.3e+07,-5.2e+07,4e+06,4e+06,0,-4.8e+07,-1.91e+08,-1.91e+08,-1.91e+08,176238993.170519,5.884e+09,-270322414.267399,0.170885709326001,0.0135829670561077,-0.00169163007026918,-0.00627075966160184,-0.00205018635147139,30.3068152477418,1.74823,2.06816,0.47364,-0.108914119367052,-0.108948379402953,27.7995532586341,16.04545,-1.23528647712082,-0.00265110675720577,-0.0245571534149339,-0.378252469724046,175.787130135451
"20","2021_Q2",38.7871428571429,"Up",6.295e+09,-5.292e+09,1.003e+09,-9.72e+08,-9.72e+08,3.1e+07,-4.7e+07,-5.4e+07,-1.6e+07,-2.6e+07,-4.2e+07,1.8e+07,-2.4e+07,-2.4e+07,-2.4e+07,-3.9e+07,9.12e+08,9.12e+08,1.354e+09,1.354e+09,1.451e+09,3.67e+08,1.6e+08,1e+07,1.97e+08,4.084e+09,1.987e+09,6.929e+09,5.625e+09,8.74e+08,4.09e+08,8.916e+09,1.3e+10,2.271e+09,1.733e+09,5.38e+08,3e+08,2.571e+09,5.616e+09,7.79e+08,2.75e+08,5.04e+08,6.395e+09,8.966e+09,2.91e+09,6.22e+08,-3.2e+07,4.034e+09,4.034e+09,1.3e+10,-2.4e+07,1.01e+08,2e+07,79000000.0000001,1.76e+08,-4.6e+07,-4.6e+07,-25999999.9999999,9e+06,9e+06,-3e+07,-47000000.0000001,8.3e+07,8.3e+07,8.3e+07,1.32e+08,5.916e+09,1.47e+08,0.15933,0.00492,-0.0062,-0.00966999999999999,-0.003,-3.76923000000001,1.58849,2.22261,0.45508,-0.17647,-0.17647,28.48416,15.8371,0.665159999999999,-0.00364,0.0137,37.90909,161.41935
"21","2021_Q3",34.3025,"Down",7.663e+09,-6.494e+09,1.169e+09,-1.044e+09,-1.044e+09,1.25e+08,-4.4e+07,-5.4e+07,8.1e+07,-1e+06,8e+07,-2.1e+07,5.9e+07,5.9e+07,5.9e+07,5e+07,6.99e+08,6.99e+08,1.539e+09,1.539e+09,1.56e+09,3.68e+08,1.44e+08,9e+06,2.15e+08,4.166e+09,1.976e+09,6.922e+09,5.625e+09,8.6e+08,4.19e+08,8.898e+09,1.3064e+10,2.474e+09,1.904e+09,5.7e+08,2.94e+08,2.768e+09,5.398e+09,7.91e+08,2.81e+08,5.1e+08,6.189e+09,8.957e+09,2.935e+09,6.68e+08,-3e+07,4.107e+09,4.107e+09,1.3064e+10,5.5e+07,9.4e+07,2.6e+07,-1.01e+08,7.4e+07,-5.5e+07,-5.5e+07,-2.35e+08,1.3e+07,1.3e+07,-1e+06,-2.32e+08,-2.13e+08,-2.13e+08,-2.13e+08,2.19e+08,5.692e+09,8.4e+07,0.15255,0.01631,0.00652,0.01217,0.00383,1.68,1.50506,2.18091,0.4357,0.22624,0.22624,34.67421,16.16742,0.38009,0.00557,0.00793,22.79909,39.944
"22","2021_Q4",34.8046875,"Up",7.89e+09,-6.649e+09,1.241e+09,-1.099e+09,-1.099e+09,1.42e+08,-4.4e+07,-5e+07,9.8e+07,-7e+06,9.1e+07,-2.7e+07,6.4e+07,6.4e+07,6.4e+07,5.5e+07,7.72e+08,7.72e+08,1.549e+09,1.549e+09,1.565e+09,3.49e+08,1.15e+08,1.2e+07,2.22e+08,4.235e+09,1.988e+09,6.894e+09,5.625e+09,8.41e+08,4.16e+08,8.882e+09,1.3117e+10,2.555e+09,1.963e+09,5.92e+08,2.97e+08,2.852e+09,5.281e+09,8.02e+08,2.88e+08,5.14e+08,6.083e+09,8.935e+09,2.954e+09,7.23e+08,-2.9e+07,4.182e+09,4.182e+09,1.3117e+10,6.4e+07,9.1e+07,3.1e+07,83999999.9999999,2.7e+08,-6.5e+07,-6.5e+07,-1.3e+08,7e+06,7e+06,-3.72529029846191e-09,-1.32e+08,7.3e+07,7.3e+07,7.3e+07,2.33e+08,5.578e+09,2.79e+08,0.15729,0.018,0.00697,0.01315,0.00419,5.07273,1.48492,2.13654,0.42525,0.24775,0.24444,35.54054,16.43243,1.25676,0.00606,0.02642,20.62661,33.84507
"23","2022_Q1",36.4517741935484,"Up",7.639e+09,-6.397e+09,1.242e+09,-1.105e+09,-1.105e+09,1.37e+08,-1.04e+08,-5.5e+07,3.3e+07,-1e+07,2.3e+07,-2e+07,3e+06,3e+06,3e+06,-7e+06,1.48e+08,1.48e+08,1.469e+09,1.469e+09,1.686e+09,2.91e+08,1.2e+08,8e+06,1.63e+08,3.594e+09,2.033e+09,6.894e+09,5.625e+09,8.3e+08,4.31e+08,8.927e+09,1.2521e+10,2.272e+09,1.662e+09,6.1e+08,2.78e+08,2.55e+09,4.916e+09,7.86e+08,3.07e+08,4.79e+08,5.702e+09,8.252e+09,3.506e+09,7.82e+08,-1.9e+07,4.269e+09,4.269e+09,1.2521e+10,6.9e+07,9.2e+07,3e+07,-2.92e+08,-1.01e+08,-9.6e+07,-9.6e+07,-4.09e+08,6e+06,6e+06,-1.3e+07,-4.26e+08,-6.23e+08,-6.23e+08,-6.23e+08,162612749.203496,5.194e+09,260520708.750321,0.156515056100996,0.00946722846759949,0.000715113100927475,0.00154403615611812,0.000468656574750395,-1.39761012449708,1.40941,1.93301,0.41482,0.02878742378906,0.0270451223137076,34.5058965173684,19.22973,1.17349662780666,0.00138208222799273,0.0247829364098696,33.881178255899,108.645069130342
