"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",52.5815625,"Up",23258000,-14791000,8467000,-21281000,-15319000,-5962000,-12814000,-1838000,-1830000,-8000,-14652000,-132000,-14784000,-14784000,-14784000,-14784000,-14784000,81847000,3383000,78464000,9771000,9771000,15606000,4461000,2486000,111685000,45944000,14766000,3557000,60710000,172395000,17132000,1559000,15573000,98899000,116972000,5902000,2911000,6305000,123277000,333576000,-284473000,17000,49118000,49118000,172395000,-14784000,1330000,3955000,-338000,-9837000,-4696000,3615000,979000,979000,979000,-5243000,-5243000,-5243000,-11484000,1344000,0.36405,-0.55095,-0.63565,-0.30099,-0.08576,0.9548,2.50981,0.0078,-0.44315,-0.44315,0.69716,1.47232,-0.2623,7.01001,6.28243
"12","2014_Q1",68.0165573770492,"Up",33565000,-18376000,15189000,-25008000,-20172000,-4836000,-9819000,-1893000,-1876000,-17000,-11712000,-244000,-11956000,-11956000,-11956000,-11956000,-11956000,72152000,12515000,59637000,14590000,14590000,15557000,4452000,2819000,106751000,48182000,14887000,3402000,63069000,169820000,20954000,3069000,17885000,99969000,121943000,6402000,3190000,6628000,128571000,337673000,-296429000,5000,41249000,41249000,169820000,-11956000,1700000,4786000,-1432000,-6902000,-2804000,15221000,813000,813000,813000,9132000,9132000,9132000,-8119000,1246000.00000001,0.45252,-0.29254,-0.3562,-0.28985,-0.0704,0.87542,3.11695,0.00733999999999998,-0.3561,-0.3561,0.9997,1.22856,-0.24451,8.73334,7.22131
"13","2014_Q2",76.1463492063492,"Up",36662000,-18127000,18535000,-27793000,-22589000,-5204000,-9258000,-2099000,-2065000,-34000,-11357000,-120000,-11477000,-11477000,-11477000,-11477000,-11477000,64573000,18762000,45811000,15969000,15969000,15364000,2572000,2572000,98478000,49891000,15324000,3353000,65215000,163693000,19518000,2605000,16913000,101004000,121587000,6395000,3435000,6395000,127982000,343612000,-307906000,5000,35711000,35711000,163693000,-11477000,2603000,6773000,-2635000,-4736000,-3808000,9019000,1964000,1964000,1964000,6247000,6247000,6247000,-6655000,1065000,0.50556,-0.25252,-0.31305,-0.32139,-0.07011,0.80994,3.58383,0.00651,-0.34045,-0.34045,1.08754,1.05933,-0.26585,9.5429,6.8598
"14","2014_Q3",97.28296875,"Up",47166000,-19954000,27212000,-30053000,-24837000,-5216000,-2841000,-2060000,-2017000,-43000,-4901000,-136000,-5037000,-5037000,-5037000,-5037000,-5037000,163860000,108200000,55660000,20545000,20545000,19194000,5307000,3139000,208906000,53513000,16187000,3103000,83174000,292080000,26180000,3145000,23035000,102457000,129506000,14605000,4384000,14605000,144111000,460943000,-312943000,-31000,147969000,147969000,292080000,-5037000,2333000,4673000,6249000,8218000,-6023000,-30574000,1387000,1387000,111794000,89438000,89438000,89438000,-508000,869000,0.57694,-0.06023,-0.10679,-0.03404,-0.01725,1.6131,0.97393,0.00298,-0.14204,-0.14204,1.33001,4.17249,-0.03082,320.84843,57.371
"15","2014_Q4",94.5896875,"Down",52048000,-20391000,31657000,-32641000,-28217000,-4424000,-984000,-1946000,-1903000,-43000,-2930000,-74000,-3004000,-3004000,-3004000,-3004000,-3004000,149728000,17756000,131972000,20517000,20517000,23662000,5333000,3504000,199240000,56148000,25479000,2948000,106154000,305394000,31130000,7747000,23383000,103491000,135223000,15099000,5235000,15099000,150322000,471011000,-315947000,8000,155072000,155072000,305394000,-3004000,2392000,9183000,-211000,8360000,-4330000,-101185000,2381000,2381000,2381000,-90444000,-90444000,-90444000,1408000,602000,0.60823,-0.01891,-0.05772,-0.01937,-0.00984,1.47342,0.96937,0.00197,-0.08358,-0.08358,1.44807,4.31439,-0.01759,-105.91335,151.55081
"16","2015_Q1",101.459672131148,"Up",61792000,-18968000,42824000,-34906000,-31019000,-3887000,7918000,-1950000,-1911000,-39000,5968000,7000,5975000,5802000,5802000,5802000,5802000,156658000,37520000,119138000,22366000,22366000,29263000,5970000,4461000,214257000,60632000,26752000,2588000,111815000,326072000,35208000,6758000,28311000,104526000,140010000,14917000,5409000,14917000,154927000,481370000,-310145000,-80000,171145000,171145000,326072000,5802000,2707000,9101000,-2888000,14722000,-8823000,2305999.99999999,1507000,1507000,2735999.99999999,19764000,19764000,19764000,10625000,276000,0.69303,0.12814,0.0939,0.0339,0.01779,1.5303,0.90524,0.00085,0.16081,0.16081,1.71269,4.74362,0.03114,-14.7183099999999,-19.75019
"17","2015_Q2",78.7539682539683,"Down",58316000,-17580000,40736000,-37395000,-31428000,-5967000,3341000,-1958000,-1841000,-117000,1383000,-71000,1312000,1260000,1260000,1260000,1260000,154886000,40897000,113989000,24511000,24511000,36264000,4089000,4089000,219750000,67206000,28136000,2432000,115280000,335030000,30892000,5565000,25296000,105561000,136453000,14556000,5404000,14556000,151009000,492934000,-308885000,-28000,184021000,184021000,335030000,1260000,2743000,10183000,-15056000,-870000,-7874000,2e+05,4047000,4047000,4047000,3377000,3377000,3377000,6084000,0,0.69854,0.05729,0.02161,0.00685,0.00376,1.61044,0.82061,0,0.03477,0.03016,1.60938,5.07854,0.00635,-25.45792,-46.35917
"18","2015_Q3",61.24984375,"Down",59147000,-18929000,40218000,-38401000,-34752000,-3649000,1817000,-1719000,-1762000,43000,98000,-51000,47000,8000,8000,8000,8000,153147000,32722000,120425000,24281000,24281000,48769000,3429000,3429000,229626000,77809000,29617000,2252000,125367000,354993000,40161000,13299000,26790000,105311000,145472000,14242000,5447000,14242000,159714000,504183000,-308877000,-27000,195279000,195279000,354993000,8000,2783000,8489000,-4102000,7178000,-11832000,-18010000,2928000,2928000,2657000,-8175000,-8175000,-8175000,4600000,5.82076609134674e-11,0.67997,0.03072,0.000139999999999998,4.00000000000036e-05,1.99999999999996e-05,1.57849,0.81788,0,0.000220000000000005,0.00019000000000003,1.62131,5.3529,3.99999999999966e-05,-33.29283,-84.28564
"19","2015_Q4",56.624375,"Down",62213000,-15900000,46313000,-41203000,-35310000,-5893000,5110000,-1743000,-1735000,-8000,3367000,0,3367000,3086000,3086000,3086000,3086000,146438000,30522000,115916000,25919000,25919000,56132000,4611000,4611000,233100000,86323000,31644000,2595000,135888000,368988000,39078000,8471000,30295000,106333000,145411000,14564000,6125000,14564000,159975000,514833000,-305791000,-29000,209013000,209013000,368988000,3086000,2830000,9969000,-11166000,4719000,-11506000,-8742000,1823000,1823000,1823000,-2200000,-2200000,-2200000,7940000,0,0.74443,0.08214,0.0496,0.01476,0.00836,1.60304,0.76538,0,0.08417,0.07519,1.69684,5.70077,0.0138,-18.44307,-28.65714
"20","2016_Q1",58.4914754098361,"Up",69321000,-19428000,49893000,-50706000,-37553000,-13153000,-813000.000000001,-1792000,-1709000,-83000,-2605000,-1000,-2606000,-2498000,-2498000,-2498000,-2498000,158965000,56984000,101981000,25855000,25855000,61645000,6117000,6117000,252582000,90324000,31367000,406000,135153000,387735000,44322000,8739000,35375000,105466000,149788000,19555000,11473000,19555000,169343000,526733000,-308289000,-52000,218392000,218392000,387735000,-2498000,3119000,10877000,5496000,16994000,-9083000,7296000,1275000,1275000,2172000,26462000,26462000,26462000,2306000,5.82076609134674e-11,0.71974,-0.01173,-0.03604,-0.01144,-0.00644,1.68626,0.77541,-2.16840434497101e-19,-0.06792,-0.06102,1.88475,5.93779,-0.0105,-68.93539,195.52891
"21","2016_Q2",49.14640625,"Down",65474000,-20278000,45196000,-47450000,-37957000,-9493000,-2254000,-1568000,-1616000,48000,-3822000,0,-3822000,-3854000,-3854000,-3854000,-3854000,150021000,35029000,114992000,25901000,25901000,63744000,8959000,8959000,248625000,95846000,33265000,481000,142581000,391206000,39649000,10484000,29067000,106490000,146139000,18897000,11020000,18897000,165036000,538264000,-312143000,49000,226170000,226170000,391206000,-3854000,3165000,9632000,-12064000,-3121000,-7053000,-21875000,3041000,3041000,3041000,-21955000,-21955000,-21955000,911000,0,0.69029,-0.03443,-0.05886,-0.01704,-0.00985,1.70129,0.7297,0,-0.10411,-0.10411,1.76861,6.1094,-0.01573,-164.67728,66.55768
"22","2016_Q3",39.178125,"Down",69640000,-23053000,46587000,-53031000,-43669000,-9362000,-6444000,-1456000,-1409000,-47000,-7900000,-7.27595761418343e-12,-7900000,-7958000,-7958000,-7958000,-7958000,162667000,25309000,137358000,28651000,28651000,60916000,5755000,5755000,257989000,99282000,43428000,677000,142710000,400699000,43002000,4614000,38330000,107436000,150438000,21910000,14163000,21910000,172348000,548314000,-320101000,138000,228351000,228351000,400699000,-7958000,3216000,8807000,3476000,7541000,-8868000,-19642000,1390000,1390000,2381000,-9719999.99999999,-9719999.99999999,-9719999.99999999,-3228000,0,0.66897,-0.09253,-0.11427,-0.03485,-0.01986,1.71492,0.75475,-1.73472347597681e-18,-0.21403,-0.21403,1.87295,6.14144,-0.0318,50.3925,25.24317
"23","2016_Q4",33.3698412698413,"Down",68355000,-43152000,25203000,-46068000,-36314000,-9754000,-20865000,-1264000,-1255000,-9000,-22129000,0,-22129000,-22165000,-22165000,-22165000,-22165000,161128000,24442000,136686000,26765000,26765000,37476000,10075000,10075000,235444000,100388000,45321000,651000,145709000,381153000,38446000,7287000,31077000,108385000,146831000,20174000,12557000,20174000,167005000,556442000,-342266000,-28000,214148000,214148000,381153000,-22165000,3278000,8502000,22069000,11684000,-3906000,-13320000,769000,769000,769000,-867000,-867000,-867000,-17587000,0,0.36871,-0.30524,-0.32426,-0.1035,-0.05815,1.6035,0.77986,0,-0.59406,-0.59406,1.83203,5.73954,-0.09459,9.16177,7.72241
"24","2017_Q1",43.2225806451613,"Up",72902000,-23621000,49281000,-51742000,-34673000,-17069000,-2461000,-1532000,-1458000,-74000,-3992999.99999999,1.16415321826935e-10,-3993000,-3972000,-3972000,-3972000,-3972000,172597000,35944000,136653000,29937000,29937000,31278000,9277000,9277000,243089000,101016000,47361000,624000,148377000,391466000,44243000,7511000,36666000,595000,44838000,18914000,18914000,127652000,172490000,565244000,-346238000,-30000,218976000,218976000,391466000,-3972000,3260000,9263000,8798000,17349000,-4882000,-6917000,570000,570000,1070000.00000001,11502000,11502000,11502000,799000,108738000,0.67599,-0.03376,-0.05448,-0.01814,-0.01015,5.4215,0.78771,0.27777,-0.10612,-0.10612,1.94764,5.85012,-0.01146,-79.92365,25.94839
"25","2017_Q2",46.3988888888889,"Up",69283000,-24581000,44702000,-58752000,-42120000,-16632000,-14050000,-2065000,-2075000,10000,-16115000,-3721000,-19836000,-19866000,-19866000,-19866000,-19866000,383699000,108970000,274729000,27702000,27702000,30311000,6252000,6252000,447964000,102571000,49427000,598000,151998000,599962000,44369000,9373000,34900000,1279000,45648000,17689000,10332000,283681000,329329000,637106000,-366391000,-82000,270633000,270633000,599962000,-19866000,3104000,12837000,3931000,6000,-3616000,-143836000,852000,852000,216856000,73026000,73026000,73026000,-10946000,265992000,0.64521,-0.20279,-0.28674,-0.07341,-0.03311,9.81344,1.21688,0.44335,-0.52282,-0.52282,1.82333,7.1223,-0.03584,10.75343,8.37772
"26","2017_Q3",40.2398412698413,"Down",70934000,-23811000,47123000,-58407000,-39552000,-18855000,-11284000,-3923000,-4002000,79000,-15207000,-4506000,-19713000,-19743000,-19743000,-19743000,-19743000,382442000,53814000,328628000,27467000,27467000,33602000,7480000,7480000,450991000,103239000,51515000,572000,154754000,605745000,57191000,10392000,46755000,319000,57510000,17859000,17859000,287187000,344697000,647246000,-386134000,-64000,261048000,261048000,605745000,-19743000,3709000,12555000,7135000,3656000,-5155000,-61150000,1761000,1761000,2338000.00000003,-55156000,-55156000,-55156000,-7575000,269328000,0.66432,-0.15908,-0.27833,-0.07563,-0.03259,7.84196,1.32044,0.44462,-0.49161,-0.49161,1.76628,6.5002,-0.03601,14.93254,10.02428
"27","2017_Q4",39.6325396825397,"Down",67335000,-18229000,49106000,-52419000,-40644000,-11775000,-3313000,-3980000,-4060000,80000,-7293000,-259000,-7552000,-7597000,-7597000,-7597000,-7597000,294080000,26216000,267864000,27021000,27021000,39112000,5622000,5622000,365835000,105947000,53501000,545000,240255000,606090000,52017000,12278000,39701000,320000,52337000,16232000,16232000,288953000,341290000,658598000,-393731000,-67000,264800000,264800000,606090000,-7597000,3361000,12135000,-10707000,-2808000,-5419000,-27478000,2691000,2691000,2688000,-27598000,-27598000,-27598000,48000,272721000,0.72928,-0.0492,-0.11282,-0.02869,-0.01253,6.98999,1.28886,0.44997,-0.18776,-0.18776,1.66415,6.54441,-0.01372,-444.97917,6.44703
"28","2018_Q1",35.6139344262295,"Down",79078000,-21294000,57784000,-49206000,-39178000,-10028000,8578000,-3834000,-3832000,-1999.99999999999,4744000,-114000,4630000,4595000,4595000,4595000,4595000,311347000,54126000,257221000,31658000,31658000,41411000,6694000,6694000,391110000,107046000,56022000,825000,237261000,628371000,55791000,14658000,41057000,426000,56217000,16498000,16498000,292671000,348888000,669073000,-389136000,-454000,279483000,279483000,628371000,4595000,3659000,11610000,-2933000,16931000,-5076000,8699000,1474000,1474000,2280000,27910000,27910000,27910000,12237000,276173000,0.73072,0.10848,0.05811,0.01644,0.00731,6.95715,1.24833,0.43951,0.11317,0.11317,1.94754,6.88314,0.00803,-2.87439999999987,-4.10049
"29","2018_Q2",34.52390625,"Down",74607000,-22885000,51722000,-58569000,-44191000,-14378000,-6847000,-3708000,-3783000,75000,-10555000,-90000,-10645000,-10680000,-10680000,-10680000,-10680000,339788000,41563000,298225000,31203000,31203000,40043000,7700000,7700000,418734000,109225000,58249000,759000,203303000,622037000,48041000,14913000,33017000,327000,48368000,15463000,15463000,295148000,343516000,677877000,-398455000,-901000,278521000,278521000,622037000,-10680000,2762000,11899000,-6670000,-2689000,-5184000,-10293000,419000,419000,419000,-12563000,-12563000,-12563000,-4085000,279685000,0.69326,-0.09177,-0.14315,-0.03835,-0.01717,8.65725,1.23336,0.44963,-0.26236,-0.26236,1.83278,6.84209,-0.01862,14.7131,8.778
"30","2018_Q3",43.2266666666667,"Up",84107000,-20916000,63191000,-56487000,-44248000,-12239000,6704000,-3943000,-3864000,-79000,2761000,-162000,2599000,2564000,2564000,2564000,2564000,371321000,116871000,254450000,35641000,35641000,42053000,6039000,6039000,455054000,111276000,60604000,692000,187627000,642681000,52694000,14260000,38434000,330000,53024000,15886000,15886000,299144000,352168000,686929000,-395871000,-545000,290513000,290513000,642681000,2564000,2848000,10612000,-2314000,13710000,-2634000,59573000,1073000,1073000,2025000,75308000,75308000,75308000,9552000,283258000,0.75132,0.07971,0.03048,0.00882999999999999,0.00399,8.58204,1.21223,0.44074,0.06285,0.06285,2.0617,7.12129,0.00435,-9.21933,-13.13589
"31","2018_Q4",46.6769841269841,"Up",83449000,-19065000,64384000,-59077000,-44180000,-14897000,5307000,-4750000,-4055000,-695000,557000,-1259000,-702000,-640000,-640000,-640000,-640000,386409000,230941000,155468000,34266000,34266000,44884000,6490000,6490000,472049000,110063000,62787000,747000,186996000,659045000,54189000,13795000,40359000,334000,54523000,16363000,16363000,303256000,357779000,698018000,-396511000,-241000,301266000,301266000,659045000,-640000,3504000,12590000,1175000,16629000,-4453000,94459000,2982000,2982000,2982000,114070000,114070000,114070000,8811000,286893000,0.77154,0.0636,-0.00767,-0.00212,-0.00097,8.6578,1.18759,0.43532,-0.01561,-0.01561,2.03549,7.34849,-0.00106,-11.29452,-18.75184
"32","2019_Q1",39.0296721311475,"Down",95114000,-23979000,71135000,-58820000,-44646000,-14174000,12315000,-3939000,-3750000,-189000,8376000,-52999.9999999998,8323000,8285000,8285000,8285000,8285000,383454000,132526000,250928000,3.8e+07,3.8e+07,48569000,7946000,7946000,477969000,108670000,76843000,14803000,211384000,689353000,60323000,14368000,45865000,338000,60661000,16874000,16874000,307466000,368127000,709732000,-388226000,-280000,321226000,321226000,689353000,8285000,4051000,11932000,-3048000,21220000,-2243000,-123163000,2696000,2696000,3528000,-98415000,-98415000,-98415000,16366000,290592000,0.74789,0.12948,0.08711,0.02579,0.01202,7.87935,1.14601,0.42154,0.20136,0.20136,2.31168,7.80717,0.01318,-5.67408,-7.54056
"33","2019_Q2",42.4555555555556,"Up",91313000,-27303000,64010000,-62902000,-48518000,-14384000,1108000,-3597000,-3658000,61000,-2489000,-29000,-2518000,-2771000,-2771000,-2771000,-2771000,412442000,215036000,197406000,39766000,39766000,47028000,9437000,9437000,508673000,107051000,89286000,27246000,210483000,719156000,53408000,13369000,39696000,5583000,58991000,38290000,38290000,332646000,391637000,718490000,-391153000,182000,327519000,327519000,719156000,-2771000,3600000,11199000,-8529000,3499000,-2018000,78481000,1101000,1101000,530000,82510000,82510000,82510000,4708000,294356000,0.701,0.01213,-0.03035,-0.00846,-0.00385,8.62289,1.19577,0.40931,-0.06719,-0.06719,2.21419,7.94178,-0.0042,-25.08199,-106.57581
"34","2019_Q3",39.913125,"Down",102604000,-25202000,77402000,-67509000,-47913000,-17826000,9893000,-4147000,-4060000,-87000.0000000002,5746000,-4618000,1128000,2730000,2730000,2730000,2730000,292239000,59737000,232502000,41147000,41147000,52697000,8526000,8526000,394609000,105492000,262380000,53522000,393234000,787843000,65332000,13347000,51907000,17672000,83004000,65004000,65004000,363189000,446193000,729573000,-388423000,5e+05,341650000,341650000,787843000,2730000,5281000,11768000,2984000,22763000,-2052000,-181799000,2467000,2467000,3737000,-155299000,-155299000,-155299000,15174000,298185000,0.75438,0.09642,0.02661,0.00799000000000001,0.00347,4.7541,1.30599,0.37848,0.0659700000000001,0.06597,2.47932,8.25561,0.00387,0.391850000000002,0.601029999999994
