"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",53.2440625,"Up",13148400,-641100,12507300,-5817600,-5817600,6689700,-99700,-99700,6590000,6576200,-2518700,4057500,4057500,4057500,4057500,2280800,2191500,1211100,1211100,72000,15021900,422500,14599400,18585800,1176100,21237200,677500,23090800,41676600,4220600,1828500,1632700,815100,9679700,1547800,14715400,4880200,954000,1331900,5060900,19776300,21789500,21900300,21900300,41676600,4057500,107000,508500,2050000,6723000,-4727100,4530300,-196800,-2e+05,-6219100,-149000,120600,-6568100,-41900,-41900,-41900,6796700,995800,6638300,0.95124,0.50878,0.30859,0.18527,0.09736,1.63606,1.26302,0.90302,0.02389,0.81193,0.77988,2.63109,4.38241,1.32837,0.04002,0.15328,0.23899,0.04929,-0.18906,-0.19209
"12","2013_Q3",61.92671875,"Up",14023500,-524400,13499100,-6489600,-6489600,7009500,-55200,-55200,6954300,7006000,-2669100,4336900,4336900,4336900,4336900,2125800,2041300,1230400,1230400,76800,17395300,388800,16149700,20828300,1166000,21043900,677500,22887400,43715700,3242400,1258600,1983800,906400,7187300,1569700,11336100,4920000,956100,1304300,5365200,16701300,25876400,27014400,27014400,43715700,4336900,105000,84600,-1572900,2953600,-5615900,3970800,-1645100,-250000,-1951500,481000,982900,-1458700,-150200,-150200,-150200,7114500,1351600,2594800,0.96261,0.49984,0.30926,0.16054,0.09921,0.59831,1.83734,0.61824,0.03092,0.86319,0.83392,2.79114,5.37677,0.51645,0.04976,0.1378,0.07795,0.05764,-0.10882,-0.11045
"13","2013_Q4",67.78734375,"Up",14791900,-569200,14222700,-5711200,-5711200,8511500,-30000,-30000,8481500,8511300,-3259900,5251400,5251400,5251400,5251400,8649000,8248000,1116900,1116900,69400,17384000,618600,16398700,27219300,1073700,20274700,677500,22025900,49245200,4083400,1724300,2359100,834000,5410800,1787900,10328200,5253600,1128200,1260700,5636300,15964500,30870300,33280700,33280700,49245200,5251400,109400,371300,1629000,7361100,-4801900,5153600,27100,-257500,-1907600,934500,2017900,-1181500,6206700,6206700,6206700,8620900,1216700,8707900,0.96152,0.57542,0.35502,0.15779,0.10664,1.65821,2.63544,0.47969,0.02471,1.02629,0.99774,2.89081,6.50412,1.7018,0.05032,0.13859,0.21906,0.04903,-0.86213,-0.87321
"14","2014_Q1",72.3216393442623,"Up",13767400,-471000,13296400,-5771800,-5771800,7524600,-5200,-5200,7519400,7496400,-2910600,4585800,4585800,4585800,4585800,11379100,10642600,1205500,1205500,96700,17993700,587300,17239900,30675000,1382200,20301400,677500,22361100,53036100,3674500,2441400,1233100,424900,6408100,2199900,10507500,4106500,1180700,1489000,4383900,14891400,35199300,38144700,38144700,53036100,4585800,110100,-355700,271000.000000001,4611200,-5978600,4101200,-2178300,-256800.000000001,4.65661287307739e-10,115800,115800,-38300,2394600,2394600,2394600,7634700,702300,4837700,0.96579,0.54655,0.33309,0.12022,0.08647,1.05493,2.91934,0.39039,0.01324,0.89262,0.86559,2.67982,7.42486,0.94166,0.0499899999999998,0.11274,0.11263,0.0559999999999997,-1.39846,-1.41892
"15","2014_Q2",64.7398412698413,"Down",14552600,-754700,13797900,-6324500,-6324500,7473400,-62000,-62000,7411400,7372500,-2820600,4551900,4551900,4551900,4551900,3203400,2411800,1047800,1047800,96700,17756400,581700,17174700,22104300,1405200,22841900,677500,24924600,47028900,5572300,1616700,2126400,378900,20497000,2288800,26448200,4156000,1238700,1480500,4360300,30808500,13727800,16220400,16220400,47028900,4551900,105300,-83800,2423800,6997200,-6628200,4272600,-2417100,-26023400,1.4e+07,-847500,227600,-12810900,-8230800,-8230800,-8230800,7578700,583200,6194900,0.94814,0.51354,0.31279,0.28063,0.09679,1.36095,0.83576,1.89937,0.0124,0.88412,0.85756,2.82656,3.1505,1.20324,5.05454,1.45877,0.29556,5.71704,-0.34573,-0.3506
"16","2014_Q3",63.99921875,"Down",14038900,-659300,13379600,-6298100,-6298100,7081500,-143200,-143200,6938300,6949400,-2668600,4280800,4280800,4280800,4280800,2984600,2144700,1088000,1088000,78600,22165400,393500,21023400,26316600,1517700,22203600,677500,24398800,50715400,3994800,1423500,2571300,313600,28493400,2116800,32801800,3165800,1266300,1433800,3315400,36117200,14601400,14598200,14598200,50715400,4280800,97100,-1423700,-2355500,598700,-8865600,5179000,-3726600,-306600,9100000,-5947300,164400,2860800,-267100,-267100,-267100,7178600,463200,-1373900,0.95304,0.50442,0.30492,0.29324,0.08441,-0.32094,0.80229,2.47409,0.00913,0.83788,0.81646,2.74784,2.85732,-0.26891,0.060010000000001,0.25168,-0.07538,0.0716200000000011,-0.35124,-0.35605
"17","2014_Q4",73.91765625,"Up",16404400,-742300,15662100,-6486100,-6486100,9176000,-123300,-123300,9052700,9054400,-3431400,5623000,5623000,5623000,5623000,2731000,2015200,1106600,1106600,96200,20690400,654200,20036200,24624200,1501300,23114800,701000,25317100,49941300,6010300,3109400,2874000,288300,25035700,2225200,31334300,2640800,1255800,1385000,2735100,34069400,15913200,15871900,15871900,49941300,5623000,102200,-441500,2546100,7829800,-6324000,6068200,-180900,-300400,-3100000,-4378000,0,-7778400,-129500,-129500,-129500,9278200,382600,8931700,0.95475,0.55936,0.34277,0.35427,0.11259,1.58842,0.78585,2.14652,0.00766,1.11964,1.09041,3.26641,3.16038,1.77846,0.05982,0.31349,0.47269,0.05342,-0.25311,-0.25593
"18","2015_Q1",75.304262295082,"Up",16182800,-463600,15719200,-6327900,-6327900,9391300,-142000,-142000,9249300,9212500,-3601700,5610800,5610800,5610800,5610800,2556500,2089700,1328200,1328200,93500,24462900,467400,19831600,28441100,1420300,24188900,677500,26286700,54727800,3714700,1955500,1759200,227300,20642600,2142600,24584600,8507900,1347800,1403200,8533700,33118300,21224200,21609500,21609500,54727800,5610800,107400,3291600,-6452500,2557300,-6182000,5204800,-725400,-299800,-1500000,26000.0000000009,26000,-1757400,74500,74500,74500,9498700,253099.999999999,465899.999999998,0.97135,0.58033,0.34671,0.25965,0.10252,0.0830400000000004,1.15687,1.53258,0.00462000000000001,1.12265,1.0874,3.23796,4.32377,0.0932199999999999,0.0599900000000002,0.19462,0.0153400000000002,0.0534300000000003,-0.2425,-0.24527
"19","2015_Q2",85.197619047619,"Up",21024100,-698200,20325900,-10420900,-10420900,9905000,-144800,-144800,9760200,9829300,-3775000,6054300,6054300,6054300,6054300,2385500,2160300,1189000,1189000,76100,19752600,530100,19222500,23403200,1365400,23627700,677500,25670600,49073800,5751900,2462800,1789100,186100,11828500,2300300,17766500,3492600,1348200,1343000,3492600,21259100,26978600,27814700,27814700,49073800,6054300,107600,-822500,6408100,11747500,-7925800,9166900,1506300,-299900,-12900000,100,100,-13183200,70600,70600,70600,10012600,186100,12269900,0.96679,0.47113,0.28797,0.21767,0.12337,2.02664,1.31727,0.76431,0.00379,1.21099,1.17162,4.20526,5.56352,2.45424,0.05999,0.20176,0.3896,0.04954,-0.21966,-0.22205
"20","2015_Q3",93.2721875,"Up",15476700,-645800,14830900,-6839800,-6839800,7991100,-359800,-359800,7631300,7724400,-2973000,4751400,4751400,4751400,4751400,1336000,1120800,1241500,1241500,60800,20696800,581600,18727000,23335100,1293700,19983500,677500,21954700,45289800,4015300,1555500,2459800,2119900,5720200,2276600,11855400,2912000,1370700,1286900,74912300,86767700,-41463300,-41477900,-41477900,45289800,4751400,106600,-434300,-3371200,1052500,-3579100,7439900,3860800,-350200,68500000,-74102600,158900,-5952800,-1039500,-1039500,-1039500,8097700,74120200,4120400,0.95827,0.51633,0.307,-0.11455,0.10491,0.8672,1.96831,-2.0919,1.63658,1.03766,0.99636,3.37998,-9.05842,0.89986,0.07648,0.14349,0.11589,0.0737,8.98826,9.10816
