"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",10.8659375,"Up",144363000,-119155000,25208000,-81919000,-76972000,-3896000,-1051000,-56711000,-26506000,-28198000,1692000,-83217000,-83217000,-8203000,-91420000,-91420000,119452000,28032000,28032000,203189000,203189000,111012000,111012000,87902000,57712000,6488000,51224000,459815000,33291000,3608125000,13243000,87543000,3507339000,3641416000,4101231000,192488000,99695000,92793000,43568000,64232000,43659000,20573000,300288000,1359821000,1016370000,528423000,96481000,391466000,2376191000,2676479000,693088000,230766000,10825000,934679000,490073000,1424752000,4101231000,-91420000,36186000,22635000,-13155000,-45754000,-1521000,-163190000,-164711000,86616000,125963000,212003000,1538000,1538000,1538000,-20525000,1403389000,-26998000,0.17462,-0.39284,0.19418,0.01968,0.00684,-0.96311,1.53125,1.87856,0.34219,0.26089,0.25304,1.34355,8.69882,-0.25126,0.00729,-0.00702,-58.47503,-21.16344
"12","2018_Q3",13.8390476190476,"Up",170538000,-122037000,48501000,-83470000,-77367000,-5052000,-1051000,-34969000,-32380000,-31872000,-508000,-67349000,-67349000,-4378000,-71727000,-71727000,79136000,7409000.00000001,7409000,215706000,215706000,123334000,123334000,81304000,63663000,9114000,54549000,484007000,32816000,3782545000,12191000,87543000,3682811000,3815361000,4299368000,183398000,85104000,98294000,40076000,99019000,45194000,53825000,322493000,1478723000,1122902000,534848000,103939000,484115000,2601625000,2924118000,704157000,238175000,16084000,958416000,416834000,1375250000,4299368000,-71727000,37794000,15180000,-46674000,-65427000,-1241000,-183772000,-185013000,121292000,150703000,277515000,27075000,27075000,27075000,2825000,1518799000,-40712000,0.2844,-0.20505,0.04344,0.00539,0.00172,-5.49494,1.50083,2.12624,0.35326,0.06763,0.06329,1.55659,8.74794,-0.3716,0.00184,-0.01014,461.27186,-37.26423
"13","2018_Q4",12.6401587301587,"Down",204960000,-139374000,65586000,-89133000,-83478000,-4604000,-1051000,-23547000,-29965000,-34482000,4517000,-53512000,-53512000,5988000,-47524000,-47524000,44628000,-2896000,-2896000,242936000,242936000,65354000,65354000,95978000,41748000,9699000,32049000,446016000,33522000,4053661000,11140000,87543000,3954978000,4087183000,4533199000,221961000,136064000,85897000,44587000,117313000,46571000,70742000,383861000,1544403000,1203450000,539863000,98954000,564633000,2747853000,3131714000,712657000,235279000,18856000,966792000,434693000,1401485000,4533199000,-47524000,39731000,-45984000,21202000,-32575000,-317000,-224219000,-224536000,60994000,197115000,261841000,4730000,4730000,4730000,16184000,1588990000,31081000,0.31999,-0.11489,-0.01413,-0.00207,-0.00064,-10.73239,1.16192,2.23457,0.35052,-0.02606,-0.02405,1.84426,8.69934,0.27967,-0.00069,0.00741,83.1719,-57.16456
"14","2019_Q1",13.7686885245902,"Up",240120000,-154357000,85763000,-92417000,-86074000,-5292000,-1051000,-6654000,-40132000,-37219000,-2913000,-46786000,-46786000,-2729000,-49515000,-49515000,43627000,-5888000,-5888000,226625000,226625000,66435000,66435000,79467000,88886000,8563000,80323000,461413000,34893000,4253481000,10088000,87543000,4155850000,4288374000,4749787000,229914000,131278000,98636000,52562000,89715000,47407000,42308000,372191000,2060712000,907800000,544218000,93633000,269949000,2968512000,3340703000,722440000,229391000,-3124000,948707000,460377000,1409084000,4749787000,-49515000,42296000,65031000,23483000,81295000,-1872000,-235184000,-237056000,171061000,22642000,185027000,29266000,29266000,29266000,35642000,2113274000,59982000,0.35717,-0.02771,-0.02452,-0.00418,-0.00124,-10.18716,1.23972,2.37083,0.44492,-0.05247,-0.04898,2.13984,8.45444,0.53453,-0.00133,0.01354,52.9333099999997,-283.53607
"15","2019_Q2",16.2614285714286,"Up",194504000,-147292000,47212000,-91383000,-85016000,-5474000,-893000,-44171000,-46096000,-41340000,-4756000,-90267000,-90267000,3361000,-86906000,-86906000,73044000,-13862000,-13862000,245604000,245604000,67522000,67522000,76184000,73750000,9568000,64182000,463060000,35281000,4441341000,9195000,87543000,4344603000,4476622000,4939682000,209741000,105977000,103764000,44357000,82704000,55795000,26909000,336802000,2137032000,1026121000,637666000,84804000,303651000,3163153000,3499955000,730137000,216269000,-21866000,924540000,515187000,1439727000,4939682000,-86906000,43661000,397000,54263000,11415000,-2517000,-198880000,-201397000,69446000,125232000,195517000,5535000,5535000,5535000,-510000,2181389000,47875000,0.24273,-0.2271,-0.07127,-0.00963,-0.00281,-3.45369,1.37487,2.43099,0.44161,-0.12169,-0.12169,1.70749,8.11627,0.42028,-0.00298,0.0103,-3795.65686,-43.82479
"16","2019_Q3",17.45953125,"Up",204595000,-156942000,47653000,-110451000,-103082000,-6555000,-814000,-62798000,-43697000,-42309000,-1388000,-106495000,-106495000,1910000,-104585000,-104585000,103292000,-1293000,-1293000,299537000,299537000,77846000,77846000,89829000,62874000,8692000,54182000,530086000,50419000,4626875000,8382000,87543000,4530950000,4677294000,5207380000,257534000,153206000,104328000,293428000,86928000,59818000,27110000,637890000,1703352000,1378512000,643613000,73926000,660973000,3081864000,3719754000,748523000,214976000,-47954000,915545000,572081000,1487626000,5207380000,-104585000,45358000,6287999.99999999,-15091000,-68030000,-11433000,-189550000,-200983000,145096000,156247000,312946000,43933000,43933000,43933000,-17440000,1996780000,-45874000,0.23291,-0.30694,-0.00632000000000001,-0.000870000000000001,-0.00025,35.47873,0.831,2.50046,0.38345,-0.01117,-0.01117,1.76719,7.90804,-0.39624,-0.00027,-0.00943,-97.3189800000009,-27.02702
"17","2019_Q4",14.90984375,"Down",215542000,-159390000,56152000,-116496000,-108537000,-6435000,-1524000,-60344000,-47021000,-43911000,-3110000,-107365000,-107365000,-5169000,-112534000,-112534000,141524000,28990000,28990000,324698000,324698000,75352000,75352000,109777000,57413000,8847000,48566000,567240000,56804000,4847974000,21067000,95094000,4731813000,4904778000,5472018000,291613000,169893000,121720000,48511000,88888000,61336000,27552000,429012000,2030729000,1430089000,651727000,67823000,710539000,3460818000,3889830000,755783000,243966000,-72920000,926829000,655359000,1582188000,5472018000,-112534000,49601000,18083000,-4643000,-49493000,-9956000,-205707000,-215663000,77605000,219538000,284701000,19545000,19545000,19545000,-10743000,2079240000,-20173000,0.26052,-0.27996,0.1345,0.01832,0.0053,-0.69586,1.3222,2.45851,0.37998,0.24634,0.20524,1.83153,7.87557,-0.17142,0.00569,-0.00396,-163.31956,-29.07567
"18","2020_Q1",16.4141935483871,"Up",243937000,-182205000,61732000,-110159000,-103536000,-5099000,-1524000,-48427000,-46686000,-46686000,0,-95113000,-95113000,8116000,-86997000,-86997000,99497000,12500000,12500000,269577000,269577000,77728000,77728000,260571000,125954000,32450000,93504000,733830000,56708000,5015803000,19543000,95094000,4901166000,5072511000,5806341000,371853000,223356000,148497000,53505000,104736000,77643000,27093000,530094000,2232487000,1405763000,651856000,65964000,687943000,3638250000,4168344000,766018000,251466000,-52753000,964731000,673266000,1637997000,5806341000,-86997000,48543000,4343000,-64268000,-98379000,-1439000,-221051000,-225212000,163429000,154979000,313408000,-10183000,-10183000,-10183000,116000,2285992000,-73707000,0.25307,-0.19852,0.05124,0.00763,0.00215,-5.89656,1.38434,2.54478,0.39371,0.10574,0.10035,2.06345,8.16061,-0.62348,0.00235,-0.01383,17382.88793,-41.63824
"19","2020_Q2",15.3096825396825,"Down",210731000,-169875000,40856000,-103873000,-98344000,-4046000,-1483000,-63017000,-49874000,-49924000,50000,-112891000,-112891000,3342000,-109549000,-109549000,81590000,-27959000,-27959000,286418000,286418000,65509000,65509000,257614000,98275000,10813000,87462000,707816000,52995000,5177696000,18060000,95094000,5064542000,5230691000,5938507000,278660000,159791000,118869000,88764000,107333000,78419000,28914000,474757000,2377805000,1471588000,660309000,37445000,773834000,3849393000,4324150000,775245000,222279000,-125051000,872473000,741884000,1614357000,5938507000,-109549000,51021000,23233000,-81590000,-116885000,-3105000,-207360000,-210465000,174276000,156093000,330369000,3019000,3019000,3019000,-11996000,2466569000,-100033000,0.19388,-0.29904,-0.13268,-0.01732,-0.00471,3.57785,1.4909,2.67856,0.41535,-0.23452,-0.23452,1.76758,7.31818,-0.83906,-0.00504,-0.01802,-181.73983,-34.59624
"20","2020_Q3",47.07203125,"Up",181294000,-147168000,34126000,-117595000,-111457000,-4971000,-1167000,-83469000,-50869000,-50721000,-148000,-134338000,-134338000,-211000,-134549000,-134549000,120987000,-13562000,-13562000,269569000,269569000,6e+07,6e+07,210507000,98164000,13649000,84515000,638240000,47839000,5318963000,16892000,95093999.9999999,5206977000,5366802000,6005042000,287786000,99895000,187891000,121720000,107793000,78750000,29043000,517299000,2652985000,1142571000,663797000,36834000,441940000,3795556000,4312855000,806714000,208717000,-127264000,888167000,804020000,1692187000,6005042000,-134549000,51994000,15779000,31408000,-35368000,767999.999999999,-154720000,-153952000,-16713000,194017000,177304000,-12016000,-12016000,-12016000,-31475000,2774705000,912000,0.18824,-0.46041,-0.07481,-0.00801,-0.00226,-0.0672499999999983,1.23379,2.54869,0.46206,-0.11191,-0.11191,1.49605,7.3292,0.00752999999999993,-0.00242,0.00016,-79.5912899999999,-30.01277
"21","2020_Q4",62.08109375,"Up",209760000,-153029000,56731000,-118921000,-112549000,-5205000,-1167000,-62190000,-50504000,-51368000,864000,-112694000,-112694000,27293000,-85401000,-85401000,122848000,37447000,37447000,276052000,276052000,70654000,70654000,177967000,121066000,15752000,105314000,645739000,44567000,5616528000,15725000,95094000,5505709000,5661095000,6306834000,348248000,151804000,196444000,138621000,109371000,79378000,29993000,596240000,2694329000,1087664000,665583000,11093000,410988000,3781993000,4378233000,910401000,246164000,-123020000,1033545000,895056000,1928601000,6306834000,-85401000,53242000,-12072000,29725000,-14506000,-47000,-322288000,-322335000,52352000,311771000,364123000,27282000,27282000,27282000,-8948000,2832950000,-6563000,0.27046,-0.29648,0.17852,0.01942,0.00594,-0.17526,1.08302,2.27016,0.44919,0.29949,0.29949,1.67758,8.26591,-0.05249,0.0064,-0.00112,-285.75078,-41.11429
"22","2021_Q1",69.4881967213115,"Up",320406000,-273454000,46952000,-303384000,-296695000,-5326000,-1363000,-256432000,-71166000,-78588000,7422000,-327598000,-327598000,30149000,-297449000,-297449000,128129000,-169320000,-169320000,519965000,519965000,95141000,95141000,283045000,239578000,51483000,188095000,1137729000,62182000,13183032000,18262000,4280169000,8884601000,13245214000,14382943000,533055000,207441000,325614000,206073000,162228000,108452000,53776000,901356000,4937534000,1254682000,690824000,81905000,481953000,6192216000,7093572000,6107822000,76844000,-106755000,6077911000,1211460000,7289371000,14382943000,-297449000,86685000,118092000,-58541000,-151213000,-711000,-347568000,188963000,114316000,174628000,288944000,326694000,326694000,326694000,-169747000,5143607000,-259148000,0.14654,-0.80033,-0.52845,-0.02323,-0.01177,1.53052,1.26224,0.97314,0.35762,-0.87737,-0.87737,1.66026,31.49421,-1.34284,-0.01237,-0.01893,-27.23843,-18.03067
"23","2021_Q2",48.2884126984127,"Down",334794000,-294359000,40435000,-218960000,-211743000,-5872000,-1345000,-178525000,-39923000,-74270000,34347000,-218448000,-218448000,14126000,-204322000,-204322000,180533000,-23789000,-23789000,649493000,649493000,125499000,125499000,289772000,203890000,40098000,163792000,1268654000,58168000,13559139000,17109000,4280169000,9261861000,13617307000,14885961000,524796000,212230000,312566000,114205000,159834000,106749000,53085000,798835000,5181912000,1512618000,700382000,86095000,726141000,6694530000,7493365000,6169267000,53055000,-56762000,6165560000,1227036000,7392596000,14885961000,-204322000,91955000,77117000,-150397000,-185647000,-39000,-357012000,-357051000,441311000,206612000,647923000,105225000,105225000,105225000,-86570000,5296117000,-251132000,0.12078,-0.53324,-0.07106,-0.00322,-0.0016,10.55664,1.58813,1.01363,0.35578,-0.11744,-0.11744,1.6528,30.43789,-1.23978,-0.00168,-0.01768,-53.67476,-26.02786
"24","2021_Q3",47.71953125,"Down",401166000,-328927000,72239000,-214008000,-207515000,-5150000,-1343000,-141769000,-86552000,-74999000,-11553000,-228321000,-228321000,14912000,-213409000,-213409000,172165000,-41244000,-41244000,679588000,679588000,162969000,162969000,341423000,212672000,34805000,177867000,1396652000,58855000,13973329000,15574000,4280169000,9677586000,14032184000,15428836000,590521000,277775000,312746000,138917000,389671000,113959000,275712000,1119109000,5274264000,1543357000,722234000,62284000,758839000,6817621000,7936730000,6226069000,11811000,-81444000,6156457000,1335649000,7492106000,15428836000,-213409000,95190000,41261000,-93159000,-170117000,-5473000,-394527000,-4e+08,314533000,299754000,614287000,44170000,44170000,44170000,-46579000,5413181000,-160123000,0.18007,-0.35339,-0.10281,-0.0055,-0.00267,3.88233,1.248,1.05935,0.35085,-0.20361,-0.20361,1.98046,30.39285,-0.79049,-0.00285,-0.01108,-101.62505,-33.38948
"25","2021_Q4",46.79890625,"Down",438765000,-346995000,91770000,-229695000,-222752000,-5602000,-1341000,-137925000,-93428000,-89096000,-4332000,-231353000,-231353000,-9980000,-241333000,-241333000,265462000,24129000,24129000,717593000,717593000,177826000,177826000,444519000,254722000,31342000,223380000,1594660000,60659000,14434350000,14233000,4280169000,10139948000,14495009000,16089669000,711549000,347068000,364481000,414281000,157796000,109162000,48634000,1283626000,6063002000,1204631000,739356000,70807000,394468000,7267633000,8551259000,6264830000,35940000,-77681000,6223110000,1315300000,7538410000,16089669000,-241333000,98856000,46451000,-84039000,-180065000,-6128000,-434791000,-440919000,462937000,241565000,704502000,83518000,83518000,83518000,-39069000,6477283000,-119256000,0.20916,-0.31435,0.05499,0.0032,0.0015,-4.94243,1.24231,1.13436,0.40257,0.11807,0.11807,2.14707,30.45235,-0.58357,0.00159,-0.00784,-147.42353,-41.75958
"26","2022_Q1",27.8925806451613,"Down",435229000,-395191000,40038000,-248006000,-240124000,-6541000,-1341000,-207968000,-85169000,-89335000,4166000,-293137000,-293137000,-28329000,-321466000,-321466000,282947000,-38519000,-38519000,617634000,617634000,146037000,146037000,506819000,277229000,44580000,232649000,1547719000,56886000,14878647000,12891000,4280169000,10585587000,14935533000,16483252000,652244000,288108000,364136000,201087000,158789000,111739000,47050000,1012120000,6638249000,1260296000,761872000,101753000,396671000,7898545000,8910665000,6330365000,-2578999.99999999,-73050000,6254736000,1317851000,7572587000,16483252000,-321466000,102095000,95500000,-157486000,-281357000,3064000,-491279000,-488215000,380329000,298553000,678882000,-90690000,-90690000,-90690000,-105873000,6839336000,-231966000,0.09199,-0.47784,-0.0885,-0.00509,-0.00234,6.02212,1.52919,1.1767,0.41493,-0.18225,-0.16117,2.05931,29.59463,-1.09756,-0.00246,-0.0148,-58.76571,-29.91663
"27","2022_Q2",24.0174193548387,"Down",495784000,-451629000,44155000,-225605000,-218007000,-6257000,-1341000,-181450000,21704000,-92254000,113958000,-159746000,-159746000,3277000,-156469000,-156469000,68691000,-87778000,-87778000,629161000,629161000,200549000,200549000,555946000,323694000,90388000,233306000,1709350000,59963000,15485809000,11550000,4280169000,11194090000,15545772000,17255122000,705583000,385265000,320318000,204266000,160062000,113653000,46409000,1069911000,7269557000,1234392000,780305000,98982000,355105000,8503949000,9573860000,6359279000,-90357000,-4601000,6264342000,1416920000,7681262000,17255122000,-156469000,106110000,2953000,-209003000,-256409000,-6471000,-420630000,-502101000,617179000,153515000,770694000,12184000,12184000,12184000,-75340000,7473823000,-294091000,0.08906,-0.36599,-0.17705,-0.01143,-0.00509,3.3504,1.59766,1.24639,0.43314,-0.42319,-0.42319,2.39027,30.20143,-1.41787,-0.00536,-0.01794,-90.85031,-37.72203
