"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",0.52671875,"Down",1251478,-1065574,185904,-1010024,-854887,-155137,-824120,83,83,-824037,-715037,-715037,-715037,-715037,-2658,-717695,3684214,3684214,830035,830035,356977,221264,213543,5092490,1853003,944470,944470,2797473,7889963,561274,367580,193694,88000,88000,649274,905681,905681,905681,1554955,57441109,-51097770,6335008,6335008,7889963,-715037,182691,-82945,-141659,-756950,0,461,0,-756489,-756489,-756489,-641429,0,0.14855,-0.65852,-0.57348,-0.11329,-0.09096,7.84336,0.24545,0,-0.02074,-0.02074,0.03617,0.18308,-0.09912,5.74376,4.47048
"12","2014_Q1",1.01704918032787,"Up",1242066,-1098743,143323,-1164195,-982873,-181322,-1020872,308,308,-1020564,-993564,-993564,-993564,-993564,-2658,-996222,2899927,2899927,923780,923780,405571,214382,202880,4443660,1684282,927414,927414,2611696,7055356,692868,432566,260302,1e+05,1e+05,792868,896242,896242,896242,1689110,57465911,-52091334,5366246,5366246,7055356,-993564,185563,40711,-19031.0000000001,-786321,-6576,214,1820,-784287,-784287,-784287,-835309,0,0.11539,-0.82191,-0.80207,-0.18565,-0.1412,5.60454,0.31477,0,-0.02878,-0.02878,0.03588,0.15502,-0.15908,3.47168,2.84064
"13","2014_Q2",2.50777777777778,"Up",1049915,-1127223,-77308,-1157211,-1010221,-146990,-1234519,-387,-387,-1234906,-1997284,-1997284,-1997284,-1997284,-2658,-1999942,5284163,5284163,962256,962256,436244,219697,210404,6902360,1510009,922319,922319,2432328,9334688,857905,653390,204515,112000,112000,969905,950202,950202,950202,1920107,60785150,-53362240,7414581,7414581,9334688,-1270906,183999,87312,107574,-892021,-2041,-4631,3280888,2384236,2384236,2384236,-1050520,0,-0.07363,-1.17583,-1.90486,-0.26973,-0.21425,7.11653,0.25896,0,-0.05568,-0.05568,0.02923,0.20641,-0.23909,5.03005,4.28034
"14","2014_Q3",2.47421875,"Down",1085408,-1119314,-33906,-1010461,-840431,-170030,-1044367,395,395,-1043972,-926972,-926972,-926972,-926972,-2658,-929630,4414572,4414572,917222,917222,426333,166429,156365,5924556,1349469,913637,913637,2263106,8187662,723280,430293,292987,124000,124000,847280,851568,851568,851568,1698848,60786355,-54289212,6488814,6488814,8187662,-926972,180604,-100283,670,-845981,-12378,-11381.9999999999,-12228,-869591.000000002,-869591.000000002,-869591.000000002,-863763,0,-0.03124,-0.96219,-0.85648,-0.14327,-0.11354,6.99244,0.26181,0,-0.02424,-0.02424,0.02831,0.16922,-0.12665,5.11086,4.22703
"15","2014_Q4",1.58390625,"Down",1134319,-1083413,50906,-1039901,-886290,-153611,-988995,556,556,-988439,-2083439,-2083439,-2083439,-2083439,-2658,-2086097,23702901,23702901,805326,805326,387020,212079,212079,25107326,1183067,909571,909571,2092638,27199964,890449,609761,280688,130301,130301,1020750,1525351,1525351,1525351,2546101,81034845,-56372651,24653863,24653863,27199964,-2083439,176001,1166076,240167,-501195,-1914,-5533,19795057,19288329,19288329,19288329,-812994,0,0.04488,-0.87188,-1.83907,-0.08462,-0.07669,24.59694,0.10327,0,-0.04933,-0.04933,0.02682,0.58295,-0.07969,29.15507,23.96665
"16","2015_Q1",1.48426229508197,"Down",949516,-1085679,-136163,-1184174,-986002,-198172,-1320337,10666,10666,-1309671,-1677805,-1677805,-1677805,-1677805,-2658,-1680463,7680073,7680073,913049,913049,359737,10262041,206047,19214900,1017915,915042,915042,7334355,26549255,776053,574855,201198,377874,377874,1153927,1439560,1439560,1439560,2593487,82014555,-58050456,23955768,23955768,26549255,-1677805,174981,475342,38458,-989024,-2696,-15419610,385806.000000004,-16022828,-16022828,-16022828,-1145356,0,-0.1434,-1.39054,-1.76981,-0.07015,-0.0633,16.65175,0.10826,0,-0.03104,-0.03104,0.01754,0.44246,-0.06617,6.7054,5.81675
"17","2015_Q2",1.62031746031746,"Up",1042101,-1096903,-54802,-1106304,-929694,-176610,-1161106,69244,69244,-1091862,-785862,-785862,-785862,-785862,-2658,-788520,2075317,2075317,962259,962259,407479,10282708,252183,13727763,855398,909617,909617,11811552,25539315,825474,509688,315786,153592,153592,979066,1136204,1136204,1136204,2115270,82268694,-58836318,23424045,23424045,25539315,-785862,177704,-276224,-258804,-1143186,-7453,-4677256,215686,-5604756,-5604756,-5604756,-983402,0,-0.05259,-1.1142,-0.75666,-0.03366,-0.03087,14.02128,0.0903,0,-0.01437,-0.01437,0.01899,0.42691,-0.03211,2.11034,1.78736
"18","2015_Q3",1.4434375,"Down",1065585,-1103549,-37964,-982350,-841723,-140627,-1020314,72360,72360,-947954,-906954,-906954,-906954,-906954,-2658,-909612,1336853,1336853,797381,797381,411420,10279443,221167,12825097,761425,901896,901896,11760001,24585098,687079,488321,198758,254813,254813,941892,1115294,1115294,1115294,2057186,82279515,-59743272,22527912,22527912,24585098,-906954,142912,3258,146345,-614439,-41204,-113392.000000002,-10633.0000000009,-738464.000000002,-738464.000000002,-738464.000000002,-877402,0,-0.03563,-0.95752,-0.85363,-0.04038,-0.037,13.61631,0.09132,0,-0.01657,-0.01657,0.01942,0.41047,-0.03847,1.52365,1.31024
"19","2015_Q4",1.245625,"Down",1158109,-1102912,55197,-1106209,-964810,-141399,-1051012,68854,68854,-982158,-953553,-953553,-953553,-953553,-2658,-956211,1077526,1077526,1038473,1038473,464555,9306973,215218,11887527,656655,894175,894175,11696808,23584335,673253,439657,233596,207659,207659,880912,1106838,1106838,1106838,1987750,82301741,-60696825,21596585,21596585,23584335,-953553,153530,13392,-348208,-1134839,-29306,875134,378,-259327,-259327,-259327,-897482,0,0.04766,-0.90752,-0.82567,-0.04428,-0.04054,13.49457,0.09204,0,-0.01742,-0.01742,0.0211,0.3935,-0.04212,1.20061,1.02523
"20","2016_Q1",0.787213114754098,"Down",1340205,-1135636,204569,-1309137,-1152773,-156364,-1104568,70542,70542,-1034026,-1034631,-1034631,-1034631,-1034631,-3026,-1037657,5226740,5226740,1049041,1049041,403955,9645786,263597,16325522,574840,996147,996147,6677762,23003284,962694,498253,464441,129500,129500,1092194,1128849,1128849,1128849,2221043,82522079,-61731507,20782241,20782241,23003284,-1034631,138854,161574,104667,-629536,-55037,4699514,79569,4149547,4149547,4149547,-965714,0,0.15264,-0.82418,-0.77425,-0.04993,-0.04511,14.94746,0.10687,0,-0.0189,-0.0189,0.02441,0.37858,-0.04736,5.41231,4.73193
"21","2016_Q2",0.95703125,"Up",1261000,-1178000,83000,-1174000,-1030000,-144000,-1091000,56000,56000,-1035000,-1020000,-1020000,-1020000,-1020000,-3000,-1023000,1587009,1587009,1130540,1130540,460557,12162267,260549,15340373,441890,991519,991519,6568525,21908898,660344,411032,249312,271040,271040,931384,1135336,1135336,1135336,2066720,82601126,-62750617,19842178,19842178,21908898,-1020000,158000,38000,-285000,-1109000,-4000,-2577000,47000,-3639000,-3639000,-3639000,-933000,0,0.06582,-0.86519,-0.81126,-0.05156,-0.04669,16.47051,0.10416,0,-0.0186,-0.0186,0.02292,0.36068,-0.04877,1.70097,1.45464
"22","2016_Q3",0.7621875,"Down",1189000,-1162000,27000,-1437000,-1379000,-58000,-1410000,56000,56000,-1354000,-1311000,-1311000,-1311000,-1311000,-2000,-1313000,678906,678906,975342,975342,476749,12152092,224819,14283089,335753,961575,961575,6460943,20744032,925213,681312,243901,153500,153500,1078713,1114310,1114310,1114310,2193023,82621545,-64062205,18551009,18551009,20744032,-1311000,144000,10000,346000,-811000,-31000,-86999.9999999981,-11000,-908999.999999999,-908999.999999999,-908999.999999999,-1266000,0,0.02271,-1.18587,-1.10429,-0.07078,-0.0633,13.24086,0.11822,0,-0.02387,-0.02387,0.02161,0.33721,-0.06677,0.53626,0.48149
"23","2016_Q4",0.611746031746032,"Down",1199000,-1132000,67000,-1394000,-1211000,-183000,-1327000,54000,54000,-1273000,-1195000,-1195000,-1195000,-1195000,-3000,-1198000,5694339,5694339,883702,883702,457291,6204831,288977,13240163,415675,948260,948260,6555895,19796058,1047736,732018,315718,164544,164544,1212280,1058782,1058782,1058782,2271062,82782439,-65257502,17524996,17524996,19796058,-1195000,135000,190000,114000,-756000,-225000,5768000,3000,5015000,5015000,5015000,-1192000,0,0.05588,-1.10676,-0.99917,-0.06836,-0.06052,10.9217,0.12959,0,-0.02178,-0.02178,0.0218,0.3186,-0.06446,4.77713,4.29114
"24","2017_Q1",0.585645161290323,"Down",1120000,-1168000,-48000,-1662000,-1519000,-143000,-1710000,51000,51000,-1659000,-1185000,-1185000,-1185000,-1185000,-3000,-1188000,10139000,10139000,605000,605000,334000,2551000,304000,13629000,577000,923000,923000,4473000,18102000,917000,612000,305000,177000,177000,1094000,607000,607000,607000,1701000,82843000,-66442000,16401000,16401000,18102000,-1185000,141000,-390000,226000,-1208000,-219000,5653000,0,4445000,4445000,4445000,-1569000,0,-0.04286,-1.52679,-1.06071,-0.07243,-0.06563,12.45795,0.10371,0,-0.02159,-0.02159,0.02035,0.29806,-0.06985,6.46208,5.92924
"25","2017_Q2",0.566349206349206,"Down",1081000,-1033000,48000,-1623000,-1451000,-172000,-1575000,50000,30000,-1525000,-1498000,-1498000,-1498000,-1498000,-3000,-1501000,8459000,8459000,574000,574000,380000,5512000,263000,14925000,703000,1057000,1057000,1760000,16685000,935000,493000,442000,189000,189000,1124000,588000,588000,588000,1712000,82913000,-67940000,14973000,14973000,16685000,-1498000,26000,55000,64000,-1353000,-147000,-327000,-9754.97419014153,-1680000,-1680000,-1680000,-1549000,0,0.0444,-1.45698,-1.38853,-0.10025,-0.08996,13.27847,0.11434,0,-0.02729,-0.02729,0.01965,0.27218,-0.09646,5.46094,5.37079
"26","2017_Q3",0.562063492063492,"Down",1028000,-1029000,-1000,-1526000,-1376000,-150000,-1527000,30000,30000,-1497000,-1449000,-1449000,-1449000,-1449000,-2000,-1451000,6668000,6668000,627000,627000,381000,5503000,224000,13179000,779000,1027000,1027000,1806000,14985000,676000,312000,364000,195000,195000,871000,547000,547000,547000,1418000,82956000,-69389000,13567000,13567000,14985000,-1449000,29000,12000,-253000,-1661000,-92000,-121000,-9000,-1791000,-1791000,-1791000,-1498000,0,-0.000970000000000013,-1.48541,-1.41148,-0.10695,-0.09683,15.13088,0.10452,0,-0.02637,-0.02637,0.01869,0.2466,-0.10281,4.45127,4.36673
"27","2017_Q4",0.466666666666667,"Down",1282000,-989000,293000,-1521000,-1355000,-166000,-1228000,29000,29000,-1199000,-1360000,-1360000,-1360000,-1360000,-3000,-1363000,5100000,5100000,854000,854000,314000,5655000,348000,11923000,1013000,1005000,1005000,2018000,13941000,937000,706000,231000,203000,203000,1140000,554000,554000,554000,1694000,82996000,-70749000,12247000,12247000,13941000,-1360000,30000,47000,-202000,-1485000,-54000,-83000,0,-1568000,-1568000,-1568000,-1198000,0,0.22855,-0.95788,-1.06318,-0.11129,-0.09777,10.45877,0.13832,0,-0.02477,-0.02477,0.0233,0.2226,-0.10648,4.2571,4.15309
"28","2018_Q1",0.440983606557377,"Down",1370000,-872000,498000,-2331000,-2048000,-283000,-1833000,9000,29000,-1824000,-1855000,-1855000,-1855000,-1855000,-3000,-1858000,5932000,5932000,726000,726000,323000,3310000,271000,10291000,1054000,924000,924000,1978000,12269000,981000,630000,351000,125000,125000,1106000,561000,561000,561000,1667000,83206000,-72604000,10602000,10602000,12269000,-1855000,28000,206000,408000,-1213000,-250000,2045000,0,832000,832000,832000,-1805000,0,0.3635,-1.33796,-1.3562,-0.17525,-0.15144,9.3047,0.15723,0,-0.03377,-0.03377,0.0249,0.1927,-0.16644,3.28643,3.23622
"29","2018_Q2",0.463125,"Up",1211000,-946000,265000,-1742000,-1455000,-287000,-1477000,6000,6000,-1471000,-1546000,-1546000,-1546000,-1546000,-3000,-1549000,3956000,3956000,743000,743000,453000,3714000,414000,8866000,1090000,825000,825000,1915000,10781000,1056000,811000,245000,11000,11000,1067000,568000,568000,568000,1635000,83296000,-74150000,9146000,9146000,10781000,-1546000,31000,97000,-243000,-1661000,-54000,-315000,0,-1976000,-1976000,-1976000,-1446000,0,0.21883,-1.21965,-1.27911,-0.16936,-0.14368,8.30928,0.17877,0,-0.02815,-0.02815,0.02201,0.16624,-0.15946,2.73582,2.6784
"30","2018_Q3",0.556666666666667,"Up",1536000,-1005000,531000,-1970000,-1660000,-310000,-1439000,4000,4000,-1435000,-1464000,-1464000,-1464000,-1464000,-2000,-1466000,2951000,2951000,987000,987000,459000,3020000,295000,7417000,1168000,793000,793000,1961000,9378000,912000,581000,331000,19000,19000,931000,576000,576000,576000,1507000,83485000,-75614000,7871000,7871000,9378000,-1464000,31000,158000,-248000,-1523000,-96000,479000,39000,-1005000,-1005000,-1005000,-1408000,0,0.3457,-0.93685,-0.95443,-0.18625,-0.15632,7.9667,0.19146,0,-0.02663,-0.02663,0.0279,0.14296,-0.17355,2.09588,2.05073
"31","2018_Q4",0.427936507936508,"Down",1573000,-964000,609000,-1792000,-1475000,-317000,-1183000,7000,7000,-1176000,-1332000,-1332000,-1332000,-1332000,-3000,-1335000,2365000,2365000,970000,970000,458000,2532000,382000,6325000,1229000,768000,768000,1997000,8322000,1095000,773000,322000,28000,28000,1123000,583000,583000,583000,1706000,83562000,-76946000,6616000,6616000,8322000,-1332000,31000,84000,137000,-1080000,-81000,494000,0,-586000,-586000,-586000,-1152000,0,0.38716,-0.75207,-0.8487,-0.20178,-0.16042,5.63224,0.25786,0,-0.02423,-0.02423,0.02855,0.12007,-0.18544,2.05295,1.99915
"32","2019_Q1",0.390655737704918,"Down",1603000,-1166000,437000,-2672000,-2235000,-437000,-2235000,12000,12000,-2223000,-2358000,-2358000,-2358000,-2358000,-3000,-2361000,2600000,2600000,1192000,1192000,494000,1160000,335000,5446000,1311000,698000,698000,2009000,7455000,1798000,1391000,407000,37000,37000,1835000,590000,590000,590000,2425000,84378000,-79348000,5030000,5030000,7455000,-2358000,37000,297000,576000,-1448000,-106000,1201000,482000,235000,235000,235000,-2198000,0,0.27261,-1.39426,-1.47286,-0.46938,-0.3167,2.96785,0.48211,0,-0.04257,-0.04257,0.0289,0.09069,-0.42011,1.18289,1.16331
"33","2019_Q2",0.41952380952381,"Up",1562000,-1038000,524000,-2016000,-1622000,-394000,-1492000,10000,10000,-1482000,-1508000,-1508000,-1508000,-1508000,-3000,-1511000,2193000,2193000,1071000,1071000,487000,7517000,517000,11268000,1394000,682000,682000,2076000,13344000,1592000,1167000,425000,45000,45000,1637000,598000,598000,598000,2235000,91965000,-80856000,11109000,11109000,13344000,-1508000,44000,101000,-249000,-1612000,-114000,-6289000,7494000,-407000,-407000,-407000,-1448000,0,0.33547,-0.95519,-0.96735,-0.13602,-0.11323,6.88332,0.20119,0,-0.02284,-0.02284,0.02361,0.16794,-0.12907,1.5145,1.46984
"34","2019_Q3",0.3625,"Down",1904000,-1139000,765000,-2198000,-1803000,-395000,-1433000,15000,15000,-1418000,-1414000,-1414000,-1414000,-1414000,-2000,-1416000,3201000,3201000,1107000,1107000,494000,5018000,351000,9820000,1471000,620000,620000,2091000,11911000,1585000,1196000,389000,55000,55000,1640000,606000,606000,606000,2246000,91935000,-82270000,9665000,9665000,11911000,-1414000,46000,82000,172000,-1114000,-88000,2246000,-124000,1008000,1008000,1008000,-1387000,0,0.40179,-0.75263,-0.7437,-0.14651,-0.11888,5.9878,0.23238,0,-0.02103,-0.02103,0.02827,0.14353,-0.13786,2.30786,2.23378
"35","2019_Q4",0.43875,"Up",1924000,-1045000,879000,-2043000,-1744000,-299000,-1164000,36000,34000,-1128000,-1127000,-1127000,-1127000,-1127000,-3000,-1130000,4059000,4059000,1116000,1116000,533000,2723000,390000,8431000,1564000,584000,584000,2148000,10579000,1290000,1001000,289000,65000,65000,1355000,613000,613000,613000,1968000,92008000,-83397000,8611000,8611000,10579000,-1127000,47000,85000,-343000,-1338000,-127000,2205000,-9000,858000,858000,858000,-1117000,0,0.45686,-0.60499,-0.58732,-0.13123,-0.10682,6.22214,0.22854,0,-0.01678,-0.01678,0.02858,0.1279,-0.12251,3.63384,3.48711
"36","2020_Q1",0.754838709677419,"Up",1924000,-1045000,879000,-2023000,-1682000,-341000,-1144000,49000,49000,-1095000,-1095000,-1095000,-1095000,-1095000,-3000,-1098000,5326000,5326000,1154000,1154000,530000,305000,305000,7315000,1609000,498000,498000,2107000,9422000,1121000,683000,438000,187485.888173957,187485.888173957,1121000,621000,621000,621000,1742000,92172000,-84492000,7680000,7680000,9422000,-1095000,-1000,209000,-98000.0000000001,-985000,-81000,2239000,13000.0000000002,1267000,1267000,1267000,-1145000,0,0.45686,-0.59459,-0.57069,-0.14297,-0.11654,6.52542,0.22682,0,-0.0163,-0.0163,0.02856,0.11402,-0.13227,4.65153,4.65559
"37","2020_Q2",0.643492063492063,"Down",2315000,-1079000,1236000,-2145000,-1912000,-233000,-909000,20000,20000,-889000,-816000,-816000,-816000,-816000,-3000,-819000,4575000,4575000,1521000,1521000,501000,209000,209000,6806000,1669000,1649000,477000,3318000,10124000,1358000,984000,374000,308000,308000,1666000,1503000,1503000,1503000,3169000,92263000,-85308000,6955000,6955000,10124000,-816000,38000,36000,89000,-653000,-98000,-98000,-211484.42217458,-751000,-751000,-751000,-871000,0,0.53391,-0.39266,-0.35378,-0.11776,-0.0809,4.08523,0.45564,0,-0.01215,-0.01215,0.03435,0.10321,-0.09683,5.25258,5.033
