"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",13.52890625,"Up",13084000,11312000,13992000,-2680000,1772000,384000,1388000,1500000,14584000,-8767000,-8767000,5817000,5817000,5771000,-1755000,4016000,4016000,4016000,4016000,16789000,41188000,192831000,1033715000,-24947000,1058662000,25382000,30185000,1343750000,1061315000,864011000,197304000,90318000,3.5e+07,6179000,1192812000,0,164548000,-12718000,-892000,150938000,150938000,1343750000,4016000,533000,-1500000,12246000,-2143000,13152000,2966000,6140000,-35212000,-26106000,-950000,-32000,17000,-31475000,-11406000,-43846000,-56800000,-56800000,-56800000,6350000,125318000,8928000,0.44459,0.30694,0.02661,0.00299,2.22311,7.90266,0.09326,0.46131,0.46062,1.50293,17.3379,1.02554,0.10912,0.0037,0.00664,0.23655,17.09118,18.65721
"15","2013_Q4",14.5803125,"Up",13677000,11995000,14667000,-2672000,1682000,397000,1285000,1700000,15377000,-9202000,-9202000,6175000,6175000,5456000,-2002000,3454000,3454000,3454000,3454000,33207000,92711000,186827000,1050292000,-25195000,1075487000,25159000,30030000,1422003000,1121509000,905454000,216055000,98670000,4.5e+07,6990000,1272169000,0,163629000,-9264000,-4531000,149834000,149834000,1422003000,3454000,543000,-1700000,13988000,-10768000,5517000,730000,926000,-16799000,-15143000,-1037000,10058000,0,60194000,8352000,77567000,67941000,67941000,67941000,6718000,143670000,-1318000,0.45149,0.25254,0.02305,0.00243,-0.38159,8.49052,0.10103,0.39669,0.39586,1.5708,17.20838,-0.15137,0.1191,0.00316,-0.00093,0.30023,16.44284,17.88874
"16","2014_Q1",14.1024590163934,"Down",14286000,12695000,15374000,-2679000,1591000,1810000,-219000,2500000,16786000,-8618000,-8618000,8168000,8168000,7701000,-2538000,5163000,5163000,5163000,5163000,17149000,129816000,194516000,1030422000,-22821000,1053243000,24898000,30165000,1426966000,1118911000,894331000,224580000,102295000,4.5e+07,7435000,1273641000,0,162999000,-4101000,-5573000,153325000,153325000,1426966000,5163000,579000,-2500000,14822000,-11350000,6714000,1317000,-9089000,21934000,14162000,-1038000,-106999.999999998,289000,-2598000,3625000,171000,21047000,21047000,21047000,8747000,147295000,1252000,0.57175,0.3614,0.03367,0.00362,0.24249,8.30681,0.10322,0.59179,0.59098,1.63749,17.57442,0.14351,0.11898,0.00435,0.000879999999999999,0.20105,14.87893,15.93364
"17","2014_Q2",14.8504761904762,"Up",12570000,11064000,13588000,-2524000,1506000,365000,1141000,1900000,14470000,-9207000,-9207000,5263000,5263000,5263000,-1683000,3580000,3580000,3580000,3580000,25823000,84124000,204725000,1045842000,-20954000,1066796000,24867000,24273000,1413515000,1108251000,877542000,230709000,96155000,4.5e+07,6420000,1255826000,0,162076000,-521000,-3866000,157689000,157689000,1413515000,3580000,512000,-1900000,3950000,-5581000,561000,466000,-7265000,-12939000,-19738000,-1041000,0,0,-10660000,-6140000,-17841000,-37018000,-37018000,-37018000,5775000,141155000,2343000,0.4187,0.28481,0.0227,0.00253,0.65447,7.96394,0.09986,0.40967,0.40956,1.43841,18.04462,0.26811,0.11912,0.00327,0.00166,0.29078,19.97091,21.91374
"18","2014_Q3",14.935,"Up",17841000,15553000,18482000,-2929000,2288000,1416000,872000,7e+05,18541000,-12236000,-12236000,6305000,6305000,2475000,-966000,1509000,1509000,1509000,1509000,58730000,60123000,550194000,2052626000,-20856000,2073482000,49003000,32812000,2879282000,2303261000,1787615000,515646000,178239000,57044000,24600000,2563144000,0,318452000,673000,-2987000,316138000,316138000,2879282000,1509000,1455000,-7e+05,11433000,86380000,100077000,6e+05,18386000,-62716000,-43730000,-19376000,-4.65661287307739e-10,75000,-34599000,6459000,-47441000,8906000,8906000,8906000,7760000,235283000,95706000,0.3534,0.08458,0.00477,0.00052,63.42346,8.10767,0.08172,0.13229,0.13195,1.56405,27.71461,8.39018,1.69862,0.00725,0.03324,12.84029,22.75168,28.00206
"19","2014_Q4",15.07125,"Up",28889000,25988000,28901000,-2913000,2901000,1597000,1304000,4e+05,29289000,-19490000,-19490000,9799000,9799000,8548000,-2599000,5949000,5949000,5949000,5949000,49707000,82545000,529227000,2047891000,-20374000,2068265000,48570000,37876000,2863104000,2271708000,1736607000,535101000,197170000,57033000,16200000,2542111000,0,317374000,5948000,-2329000,320993000,320993000,2863104000,5949000,2767000,-4e+05,22159000,-30820000,-345000,951000,20945000,5621000,27517000,-2019000,0,244000,-30769000,18771000,-13773000,13399000,13399000,13399000,12566000,254203000,-14704000,0.33919,0.20593,0.01853,0.00208,-2.47168,7.91952,0.08879,0.35301,0.35147,1.71427,19.04771,-0.87253,0.11981,0.00278,-0.00514,0.33938,16.27375,20.86907
"20","2015_Q1",14.8419672131148,"Down",28506000,25173000,28147000,-2974000,3333000,2037000,1296000,-5.82076609134674e-11,28506000,-19230000,-19230000,9276000,9276000,8910000,-2617000,6293000,6293000,6293000,6293000,43754000,128984000,504472000,2069236000,-20041000,2089277000,48812000,33024000,2893379000,2276915000,1718177000,558738000,222041000,54022000,12263000,2565241000,1.4210854715202e-14,317904000,10218000,16000,328138000,328138000,2893379000,6293000,2879000,0,28383000,-31603000,5951999.99999999,235000,23940000,-15292000,8883000,-2028000,-3e+06,172000,5794000,24713000,25651000,40486000,40486000,40486000,12155000,276063000,-16596000,0.32541,0.22076,0.01918,0.00217,-2.63722,7.81757,0.09541,0.36917,0.36878,1.67228,19.24995,-0.973590000000001,0.11897,0.00288,-0.00574,0.322259999999998,19.11222,25.04409
"21","2015_Q2",15.6446031746032,"Up",28543000,24849000,27589000,-2740000,3694000,1983000,1711000,4e+05,28943000,-19241000,-19241000,9702000,9702000,9702000,-3056000,6646000,6646000,6646000,6646000,42644000,106146000,485540000,2099710000,-21050000,2120760000,48367000,30475000,2877184000,2279524000,1710681000,568843000,202861000,48011000,1.4e+07,2544396000,0,316537000,14487000,1764000,332788000,332788000,2877184000,6646000,2833000,-4e+05,21873000,-23146000,7806000,466000,21236000,-27224000,-5522000,-2377000,-6e+06,-1712000,3197000,-19340000,-26232000,-23948000,-23948000,-23948000,12535000,250872000,-7089000,0.33991,0.23284,0.01997,0.00231,-1.06666,7.6457,0.08719,0.39238,0.39143,1.68518,19.64785,-0.41854,0.14034,0.00314,-0.00246,0.35766,16.61173,21.46238
"22","2015_Q3",15.8903125,"Up",29062000,25041000,27663000,-2622000,4021000,1890000,2131000,6e+05,29662000,-20350000,-20350000,9312000,9312000,9312000,-2754000,6558000,6558000,6558000,6558000,44811000,93620000,439422000,2155271000,-16561000,2171832000,47902000,31384000,2875944000,2278794000,1666572000,612222000,206894000,4.8e+07,13285000,2546973000,0,310136000,18766000,69000,328971000,328971000,2875944000,6558000,2755000,-6e+05,31373000,-32787000,7299000,76000.0000000001,36696000,-49043000,-12271000,-2279000,0,-6840000,-143000.000000002,3874999.99999999,-5387000,-10359000,-10359000,-10359000,12067000,254894000,-17890000,0.32042,0.22566,0.01993,0.00228,-2.72797,7.74224,0.08863,0.39112,0.39027,1.73324,19.61969,-1.06695,0.13592,0.00307,-0.00622,0.34751,17.40971,22.56046
"23","2015_Q4",18.386875,"Up",29902000,25625000,28500000,-2875000,4277000,1867000,2410000,5e+05,30402000,-19693000,-19693000,10709000,10709000,10709000,-3373000,7336000,7336000,7336000,7336000,43743000,60106000,433420000,2201269000,-16119000,2217388000,47509000,32511000,2881377000,2254129000,1635004000,619125000,213132000,6.8e+07,17296000,2552557000,0,304378000,23673000,769000,328820000,328820000,2881377000,7336000,3008000,-5e+05,34243000,-33625000,10462000,-43000,6744000,-44991000,-38290000,-2429000,2e+07,-5934000,-24469000,6078000,-6754000,-34582000,-34582000,-34582000,13717000,281132000,-16578000,0.35814,0.24533,0.02231,0.00255,-2.25981,7.76278,0.09757,0.44661,0.44564,1.82041,20.01835,-1.00926,0.14788,0.00339,-0.00575,0.33111,17.30619,22.16724
"24","2016_Q1",17.7754098360656,"Down",29705000,25659000,28576000,-2917000,4046000,2354000,1692000,-5e+05,29205000,-20097000,-20097000,9108000,9108000,9108000,-2628000,6480000,6480000,6480000,6480000,42829000,47062000,413530000,2262046000,-15681000,2277727000,46862000,29123000,2903556000,2275382000,1600814000,674568000,209925000,6.8e+07,16445000,2569752000,-5.55111512312578e-17,304819000,27722000,1263000,333804000,333804000,2903556000,6480000,3058000,5e+05,28789000,-28390000,10437000,1387000,20035000,-61542000,-40120000,-2431000,0,270000,21253000,-3367000,15725000,-13958000,-13958000,-13958000,12166000,277925000,-12209000,0.30662,0.21815,0.01941,0.00223,-1.8841,7.69839,0.09572,0.3974,0.39695,1.82171,20.47112,-0.74874,0.14909,0.00307,-0.0042,0.37515,19.32402,25.81203
"25","2016_Q2",18.76109375,"Up",32968000,25882000,28889000,-3007000,7086000,1963000,2153000,-6e+05,32368000,-19868000,-19868000,12500000,12500000,12500000,-3951000,8549000,8549000,8549000,8549000,38367000,62814000,410620000,2279406000,-16262000,2295668000,45963000,27497000,2926056000,2265122000,1587022000,678100000,206636000,9.8e+07,17745000,2587503000,0,302360000,33697000,2496000,338553000,338553000,2926056000,8549000,2767000,6e+05,14657000,-16506000,10067000,573000,4728000,-17966000,-12665000,-2574000,3e+07,-2797000,-10260000,-481000,13888000,11290000,11290000,11290000,15267000,304636000,3285000,0.37916,0.25931,0.02525,0.00292,0.38426,7.64283,0.10411,0.52475,0.52366,2.02361,20.78076,0.20164,0.158,0.0038,0.00112,0.30109,17.44082,21.30152
"26","2016_Q3",20.66390625,"Up",31164000,27100000,30147000,-3047000,4064000,2170000,1894000,-1100000,30064000,-19193000,-19193000,10871000,10871000,10871000,-3437000,7434000,7434000,7434000,7434000,60087000,46896000,398015000,2362830000,-17110000,2379940000,45558000,25849000,2999936000,2279718000,1546145000,733573000,181184000,1.78e+08,16457000,2655359000,6.93889390390723e-18,303336000,38553000,2688000,344577000,344577000,2999936000,7434000,1508000,1100000,25472000,-29774000,5740000,491000,14076000,-81264000,-66697000,-2578000,8e+07,353000,14596000,-25612000,66759000,5802000,5802000,5802000,12379000,359184000,-13467000,0.34883,0.23854,0.02157,0.00248,-1.81154,7.70614,0.11973,0.45773,0.45695,1.91885,21.21653,-0.8292,0.15873,0.00334,-0.00449,0.34679,24.16164,27.51329
"27","2016_Q4",25.4039682539683,"Up",31735000,26451000,29706000,-3255000,5284000,2230000,3054000,-6e+05,31135000,-19664000,-19664000,11471000,11471000,11471000,-3626000,7845000,7845000,7845000,7845000,55882000,85848000,400345000,2388851000,-17526000,2406377000,45212000,27761000,3063964000,2329437000,1597774000,731663000,191508000,1.78e+08,15548000,2714493000,0,304027000,43655000,1789000,349471000,349471000,3063964000,7845000,2455000,6e+05,34763000,-39311000,6352000,-657000,-3632000,-24851000,-29140000,-2743000,0,397000,49719000,10162000,57535000,34747000,34747000,34747000,13926000,369508000,-22416000,0.36146,0.2472,0.02245,0.00256,-2.85736,7.76743,0.1206,0.4818,0.48107,1.94899,21.46258,-1.37667,0.16846,0.00346,-0.00732,0.34965,22.5209,27.34077
"28","2017_Q1",27.5393548387097,"Up",31038000,26434000,29715000,-3281000,4604000,2661000,1943000,-6e+05,30438000,-18393000,-18393000,12045000,12045000,12045000,-3960000,8085000,8085000,8085000,8085000,50200000,133396000,403284000,2360659000,-17961000,2378620000,45456000,30146000,3082571000,2374985000,1564385000,810600000,176545000,1.75e+08,15230000,2741760000,0,305488000,40904000,-5581000,340811000,340811000,3082571000,8085000,2846000,6e+05,27671000,-26759000,12443000,-373000,-14530000,26844000,11941000,-10836000,-3000000.00000001,894000,45548000,-15124000,17482000,41866000,41866000,41866000,14891000,351545000,-8281000,0.38807,0.26049,0.02372,0.00262,-1.02424,8.04481,0.11404,0.49441,0.49476,1.89801,20.84099,-0.50639,0.66263,0.00614,-0.00269,1.34026,20.23672,25.01826
"29","2017_Q2",26.8580952380952,"Down",31360000,25509000,28704000,-3195000,5851000,2124000,3727000,-6e+05,30760000,-19776000,-19776000,10984000,10984000,10984000,-3369000,7615000,7615000,7615000,7615000,40313000,12663000,407888000,2423038000,-18276000,2441314000,45848000,30375000,3018919000,2278016000,1520310000,757706000,171685000,2.05e+08,16168000,2670869000,0,307371000,45596000,-4917000,348050000,348050000,3018919000,7615000,2548000,6e+05,16719000,-19511000,7971000,-1039000,-5053000,-61701000,-65073000,-2923000,3e+07,1393000,-96969000,-5019000,-73518000,-130620000,-130620000,-130620000,13532000,376685000,-3649000,0.35026,0.24283,0.02188,0.00252,-0.47919,7.67381,0.12477,0.46335,0.46294,1.90816,21.17782,-0.22203,0.17786,0.00349,-0.00121,0.38385,24.85752,30.62382
