"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","deferred_tax_assets_short_term","total_current_assets","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",16.1977777777778,"Up",174300000,-60900000,113400000,-105200000,-55200000,-5e+07,8200000,-17700000,-51300000,31700000,1900000,-9500000,28100000,18600000,-5500000,13100000,13100000,-15100000,-2e+06,-2500000,282700000,282700000,64100000,64100000,6129100000,6129100000,6475900000,432900000,1.058e+09,1.058e+09,1490900000,7966800000,454700000,14600000,440100000,454700000,4984100000,4984100000,5438800000,1231600000,-106700000,-61700000,1063200000,1464800000,2.528e+09,7966800000,13100000,5e+07,-15600000,20400000,67900000,-218300000,82600000,-300900000,-300900000,39200000,-2.04e+08,-16500000,297300000,-6e+05,-6e+05,-17300000,262900000,126800000,126800000,-7600000,119200000,58200000,4984100000,-134200000,0.6506,0.04705,-0.01434,-0.000989999999999999,-0.00031,53.68,14.24214,2.15142,0.62561,-0.02292,-0.02292,1.5977,9.74568,-1.23013,0.15124,0.00186,-0.01786,-6.6,80.78007,573.34146
"12","2017_Q1",16.0795161290323,"Down",167400000,-70400000,9.7e+07,-123900000,-7.3e+07,-50900000,-26900000,29400000,-49900000,80300000,-1e+06,2500000,54600000,57100000,-11900000,45200000,45200000,-29600000,15600000,14400000,885700000,885700000,4.4e+07,4.4e+07,5814200000,5814200000,6743900000,555600000,357100000,357100000,912700000,7656600000,423300000,11200000,412100000,423300000,4890200000,4890200000,5313500000,1231400000,-112200000,-71200000,1.048e+09,1295100000,2343100000,7656600000,45200000,50900000,-108300000,36700000,24500000,72900000,274100000,-201200000,-201200000,20700000,36700000,-17300000,55300000,-21400000,-21400000,-132700000,-116100000,-54900000,-54900000,-34600000,-89500000,2.4e+07,4890200000,145500000,0.57945,-0.16069,0.08602,0.00615,0.00188,10.10417,15.93173,2.26772,0.63869,0.132,0.132,1.53445,9.60635,1.33371,0.15858,0.00438,0.02012,1.20139,166.85417,-148.86617
"13","2017_Q2",15.5757142857143,"Down",167700000,-61100000,106600000,-94400000,-44700000,-49700000,12200000,-20500000,-5e+07,2.9e+07,5e+05,-8300000,5100000,-3200000,4100000,9e+05,9e+05,-1e+05,8e+05,8e+05,1.68e+08,1.68e+08,80200000,80200000,5.832e+09,5.832e+09,6080200000,567600000,978200000,978200000,1545800000,7.626e+09,392500000,14700000,377800000,392500000,4896300000,4896300000,5288800000,1.213e+09,-121900000,-66100000,1.025e+09,1312200000,2337200000,7.626e+09,9e+05,49700000,-23500000,-15900000,11200000,-6700000,40300000,-4.7e+07,-4.7e+07,26600000,-9200000,-18500000,-32500000,-29200000,-29200000,-8e+06,-88200000,-86200000,-86200000,8800000,-77400000,61900000,4896300000,35200000,0.63566,0.07275,0.00477,0.000340000000000001,1e-04,44,15.49096,2.26288,0.64205,0.00713,0.00713,1.49509,9.13812,0.31382,0.16493,0.00267,0.00487,23.125,76.38611,387.56557
"14","2017_Q3",14.9730158730159,"Down",180300000,-6.9e+07,111300000,-109200000,-57100000,-52100000,2100000,-36900000,-52100000,10800000,4400000,-34800000,65400000,30600000,-8700000,21900000,21900000,-12500000,9400000,9400000,569200000,569200000,93400000,93400000,6062100000,6062100000,6724700000,4.99e+08,1060600000,1060600000,1559600000,8284300000,452200000,20800000,431400000,452200000,5480400000,5480400000,5932600000,1215900000,-1.32e+08,-56400000,1027500000,1324200000,2351700000,8284300000,21900000,52100000,-26700000,9700000,5.7e+07,-35200000,202700000,-237900000,-237900000,51300000,8300000.00000001,-19400000,448700000,-6400000,-6400000,-54400000,368500000,433800000,433800000,22700000,456500000,54200000,5480400000,37400000,0.6173,0.01165,0.05214,0.004,0.00113,3.97872,14.87107,2.52269,0.66154,0.08414,0.0841400000000001,1.61381,9.19683,0.33476,0.17364,0.00368,0.00478,2.06383,90.61255,2338.66667
"15","2017_Q4",14.764126984127,"Down",272500000,-127400000,145100000,-103700000,-48300000,-55400000,41400000,-39500000,-56800000,17600000,-3e+05,1900000,4200000,6100000,3700000,9800000,9800000,-18700000,-8900000,-8900000,512900000,512900000,86600000,86600000,6320800000,6320800000,6920300000,507800000,1108500000,1108500000,1616300000,8536600000,513400000,20400000,4.93e+08,513400000,5628900000,5628900000,6142300000,1225200000,-160400000,-51400000,1013400000,1380900000,2394300000,8536600000,9800000,55400000,-45800000,4.2e+07,61400000,-171200000,18900000,-190100000,-190100000,54800000,-141800000,-19200000,49500000,0,0,-2e+06,28300000,-52100000,-52100000,2e+07,-32100000,96800000,5628900000,-36100000,0.53248,0.15193,-0.03266,-0.00372,-0.00104,4.05618,13.47935,2.56538,0.65938,-0.07948,-0.07948,2.43353,9.05007,-0.32239,0.17146,0.00128,-0.0045,-2.1573,52.85124,123.57488
"16","2018_Q1",13.5919672131148,"Down",181300000,-74200000,107100000,-131800000,-76500000,-55300000,-24700000,-34700000,-58800000,20400000,3700000,-59400000,147600000,88200000,17200000,105400000,105400000,-6200000,99200000,99200000,351300000,351300000,62700000,62700000,6443700000,6443700000,6857700000,519300000,347800000,347800000,867100000,7724800000,485400000,19500000,465900000,485400000,5661900000,5661900000,6147300000,1883300000,-90600000,-427100000,1365600000,211900000,1577500000,7724800000,105400000,55300000,-170700000,-46600000,-56600000,57900000,397200000,-339300000,-339300000,31900000,72500000,-721900000,-112900000,-32100000,-32100000,-6999999.99999999,-873900000,-8.58e+08,-8.58e+08,-23400000,-881400000,30600000,5661900000,24700000,0.59073,-0.13624,0.54716,0.06288,0.01284,0.248989999999998,14.12794,3.89686,0.73295,0.70494,0.70494,1.28836,9.70431,0.17552,5.13001,0.11342,0.00341,7.27722,173.54902,-215.00405
"17","2018_Q2",15.69609375,"Up",190100000,-80800000,109300000,-108100000,-52400000,-55700000,1200000,-32800000,-58900000,2.6e+07,1e+05,-31600000,2.8e+07,-3600000,2600000,-1e+06,-1e+06,-1400000,-2400000,-2400000,4.33e+08,4.33e+08,48300000,48300000,6665600000,6665600000,7146900000,544100000,271800000,271800000,815900000,7962800000,504800000,23600000,481200000,504800000,5891300000,5891300000,6396100000,1871200000,-121500000,-404300000,1345400000,221300000,1566700000,7962800000,-1e+06,55700000,-53400000,47500000,48800000,-76300000,113900000,-190200000,-190200000,33500000,-54600000,-29300000,140400000,-2.2e+07,-2.2e+07,-1e+07,79100000,73300000,73300000,8400000,81700000,56900000,5891300000,25500000,0.57496,0.00631,-0.01262,-0.00153,-0.000300000000000003,-10.625,14.15788,4.08253,0.73985,-0.01622,-0.01622,1.28496,9.09411,0.17236,0.19805,0.00361000000000003,0.00342,-12.20833,95.92794,4548.58333
"18","2018_Q3",17.3163492063492,"Up",217800000,-100500000,117300000,-1.12e+08,-60500000,-51500000,5300000,-45200000,-67200000,10900000,11100000,-39900000,236600000,196700000,-29400000,167300000,167300000,-57700000,109600000,109600000,447100000,447100000,64600000,64600000,6097700000,6097700000,6609400000,613700000,282300000,282300000,8.96e+08,7505400000,516900000,25800000,491100000,516900000,5538800000,5538800000,6055700000,1747700000,-40700000,-436700000,1270300000,179400000,1449700000,7505400000,167300000,51500000,-218200000,10300000,10900000,563100000,720700000,-157600000,-157600000,26400000,483100000,-28200000.0000001,-198200000,-133600000,-133600000,-102900000,-462900000,31100000,31100000,-1.7e+07,14100000,56800000,5538800000,659600000,0.53857,0.02433,0.50321,0.0756,0.0146,6.01825,12.78661,4.17721,0.73798,0.77483,0.76215,1.53977,8.98055,4.66313,0.199360000000001,0.01972,0.09438,0.257300000000001,89.64261,960.69811
"19","2018_Q4",15.6455555555556,"Down",185800000,-74600000,111200000,-102600000,-51100000,-51500000,8600000,-27800000,-55200000,2.4e+07,3400000,-19200000,3.9e+07,19800000,-6900000,12900000,12900000,-8e+05,12100000,12100000,419400000,419400000,75800000,75800000,5820300000,5820300000,6315500000,789700000,276200000,276200000,1065900000,7381400000,534300000,28100000,506200000,534300000,5405300000,5405300000,5939600000,1753100000,-56700000,-443400000,1.253e+09,188800000,1441800000,7381400000,12900000,51500000,-5.4e+07,21700000,32100000,237200000,330300000,-93100000,-93100000,14400000,84100000,-26700000,-111700000,-4500000,-4500000,5900000,-1.37e+08,-20800000,-20800000,-6900000,-27700000,60100000,5405300000,325900000,0.59849,0.04629,0.06512,0.00839,0.00164,26.93388,11.82014,4.11957,0.73229,0.08584,0.08533,1.3181,8.88905,2.312,0.18942,0.00567,0.0476,2.20661,82.96007,579.75581
"20","2019_Q1",16.7404918032787,"Up",178700000,-78900000,99800000,-108900000,-61500000,-47400000,-9100000,-40600000,-56900000,17800000,-1500000,-49700000,106900000,57200000,-24300000,32900000,32900000,-2200000,30700000,30700000,4.88e+08,4.88e+08,56600000,56600000,5702500000,5702500000,6247100000,859900000,274800000,274800000,1134700000,7381800000,537800000,24100000,513700000,537800000,5412800000,5412800000,5950600000,1744600000,-56400000,-441500000,1246700000,184500000,1431200000,7381800000,32900000,47400000,-8e+07,1e+06,1299999.99999999,171300000,302200000,-130900000,-130900000,-3.1e+07,80500000,-2.7e+07,49300000,-17800000,-17800000,-12500000,-8e+06,73800000,73800000,-5200000,68600000,38300000,5412800000,234900000,0.55848,-0.05092,0.1718,0.02145,0.00416,7.65147,11.61603,4.15777,0.73326,0.21738,0.21105,1.26531,8.82746,1.66325,0.19118,0.00843,0.03432,0.87948,128.58486,-541.18681
"21","2019_Q2",17.7284126984127,"Up",140700000,-56800000,83900000,-96300000,-47200000,-49100000,-12400000,-16100000,-55300000,41700000,-2500000,-28500000,34100000,5600000,-4e+06,1600000,1600000,-6900000,-5300000,-5300000,442900000,442900000,43500000,43500000,5561900000,5561900000,6048300000,907300000,2.84e+08,2.84e+08,1191300000,7239600000,483300000,18400000,464900000,483300000,5454100000,5454100000,5937400000,1747200000,-92100000,-424600000,1230500000,71700000,1302200000,7239600000,1600000,49100000,-63600000,-12200000,-25100000,120400000,177300000,-56900000,-56900000,7e+05,100800000,-30300000,45500000,-7900000,-7900000,-130200000,-122900000,-47200000,-47200000,2100000,-45100000,36700000,5454100000,148900000,0.5963,-0.08813,-0.03767,-0.00407000000000001,-0.000729999999999999,-28.09434,12.51459,4.55951,0.75337,-0.03709,-0.03661,0.98464,8.61119,1.04202,0.21204,0.0037,0.02204,-5.71698,136.54496,-404.129030000001
"22","2019_Q3",17.92921875,"Up",143700000,-4.9e+07,94700000,-94800000,-48600000,-46200000,-1e+05,-47900000,-55700000,5899999.99999999,1900000,-4.8e+07,210100000,162100000,-20900000,141200000,141200000,-90400000,50800000,50800000,4.04e+08,4.04e+08,51100000,51100000,5.163e+09,5.163e+09,5618100000,1073800000,304300000,304300000,1378100000,6996200000,523100000,17500000,505600000,523100000,5182800000,5182800000,5705900000,1747300000,-71800000,-429300000,1246200000,44100000,1290300000,6996200000,141200000,46200000,-181600000,-12600000,-6800000,48100000,144300000,-96200000,-96200000,43500000,11800000,-29500000,109900000,-7100000,-7100000,-131400000,-58100000,-53100000,-53100000,14200000,-38900000,46100000,5182800000,102500000,0.65901,-0.00070000000000002,0.35351,0.03937,0.00726,2.01772000000001,10.74001,4.42215,0.7408,0.36371,0.35915,1.02885,8.92246,0.73387,0.21121,0.01241,0.01583,0.58071,103.66161,-47788
"23","2019_Q4",19.0503125,"Up",1.43e+08,-56300000,86700000,-91600000,-45200000,-46400000,-4900000,32200000,-51800000,8.4e+07,0,27300000,2300000,29600000,-10200000,19400000,19400000,1300000,20700000,20700000,385800000,385800000,51300000,51300000,5075400000,5075400000,5512500000,1110200000,313100000,313100000,1423300000,6935800000,527100000,15700000,511400000,527100000,5.133e+09,5.133e+09,5660100000,1751800000,-80100000,-436600000,1235100000,40600000,1275700000,6935800000,19400000,46400000,-77300000,3900000,-7600000,-59100000,29700000,-88800000,-88800000,97800000,-6600000,-28400000,33500000,-1800000,-1800000,-1500000,1800000,-12400000,-12400000,-5800000,-18200000,41500000,5.133e+09,-3500000,0.60629,-0.03427,0.14476,0.01623,0.00298,-0.16908,10.45817,4.43686,0.74007,0.14821,0.14635,1.02384,8.84299,-0.02506,0.20334,0.00766,-0.000549999999999995,1.37198,114.39036,-968.816330000001
"24","2020_Q1",17.1025806451613,"Down",141400000,-50900000,90500000,-68900000,-22900000,-45900000,21600000,-43400000,-51400000,48100000,-40100000,-21800000,1.87e+08,165200000,-6300000,158900000,158900000,1599999.99999999,160500000,157900000,573900000,573900000,52100000,52100000,5080200000,5080200000,5706200000,1326500000,271800000,271800000,1598300000,7304500000,538400000,20400000,5.18e+08,538400000,5046900000,5046900000,5585300000,1754500000,46200000,-417200000,1678700000,40500000,1719200000,7304500000,158900000,45900000,-160200000,-24600000,2e+07,193800000,353900000,-160100000,-160100000,-262900000,76300000,-29300000,-166700000,291300000,-3900000,-1900000,93400000,189700000,189700000,-1600000,188100000,67500000,5046900000,2.43e+08,0.64003,0.15276,1.11669,0.09185,0.02162,1.53895,10.59844,3.24878,0.69093,1.1286,1.11458,1.01066,9.88861,1.73685,0.20942,0.02767,0.03591,0.18556,66.26667,207.08333
"25","2020_Q2",12.5628571428571,"Down",123300000,-42700000,80600000,-87100000,-41600000,-45500000,-6500000,-37900000,-48800000,10900000,-32728723.5208846,-44400000,44200000,-2e+05,-5700000,-5900000,-5900000,3e+05,-5600000,-9900000,665600000,665600000,47600000,47600000,4715800000,4715800000,5.429e+09,1256400000,262600000,262600000,1.519e+09,6.948e+09,496100000,10900000,485200000,496100000,4796900000,4796900000,5.293e+09,1738700000,3399999.99999999,-424800000,1612500000,42500000,1.655e+09,6.948e+09,-5900000,45500000,-42700000,-33500000,-36600000,144500000,1.82e+08,-37500000,-37500000,140800000,2.4e+08,-34900000,-28900000,-25600000,-25600000,-3900000,-93300000,110100000,110100000,-18400000,91700000,3.9e+07,4796900000,155700000,0.65369,-0.05272,-0.08029,-0.00598,-0.00142,-15.72727,10.94336,3.19819,0.6904,-0.07061,-0.07061,0.87939,9.39515,1.11047,0.24891,0.00387,0.02413,-3.52525,105.93077,-635.584619999999
