"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",5.3108064516129,"Down",94322000,-57565000,36757000,-56386000,-47385000,-6921000,-19629000,-2225000,-2225000,-21854000,-21854000,-8000,-21862000,-21862000,-21862000,-21862000,43531000,43531000,248000,248000,25106000,8864000,8864000,77749000,181806000,6510000,6510000,188316000,266065000,54338000,23972000,30366000,6120000,60458000,125153000,12455000,12455000,137608000,198066000,599978000,-531979000,67999000,67999000,266065000,-21862000,6921000,3492000,555000,-10894000,-959000,-959000,-3000,-3000,-627000,-29762000,-41615000,-41615000,-41615000,-12708000,125153000,-13104000,0.3897,-0.20811,-0.23178,-0.3215,-0.08217,0.5994,1.286,2.91278,0.47039,-1.65495,-1.65495,7.14015,5.14751,-0.99197,-0.10633,-0.06373,-6.42288,-4.15824
"12","2020_Q2",10.064126984127,"Up",101857000,-60638000,41219000,-59200000,-49249000,-6753000,-17981000,-2155000,-2155000,-20136000,-20136000,-9000,-20145000,-20145000,-20145000,-20145000,29505000,29505000,209000,209000,24712000,13644000,13644000,68070000,138314000,4868000,4868000,143182000,211252000,52282000,26539000,25743000,7814000,60096000,89622000,10873000,10873000,100495000,160591000,602783000,-552124000,50659000,50659000,211250000,-20145000,6753000,4509000,-3721000,-12604000,-1552000,-1552000,486000,486000,15999215.4706457,409000,-13747000,-13747000,-13747000,-11228000,89622000,-16492000,0.40468,-0.17653,-0.19778,-0.39766,-0.09536,0.81866,1.13269,3.17004,0.42424,-1.514,-1.514,7.65508,3.80729,-1.23946,-0.13327,-0.10911,-5.3542,-3.34336
"13","2020_Q3",9.53765625,"Down",131040000,-77868000,53172000,-50498000,-44054000,-6175000,2674000,-1541000,-1541000,1133000,1133000,-19000,1114000,1114000,1114000,1114000,45430000,45430000,209000,209000,21126000,10994000,10994000,77759000,133223000,4550000,4550000,137773000,215532000,52750000,26272000,26478000,6966000,59716000,89804000,12143000,12143000,101947000,161663000,604877000,-551010000,53867000,53867000,215530000,1114000,6175000,2278000,6106000,15673000,-1175000,-1175000,-3000,-3000,39724818.7150946,-43000,14455000,14455000,14455000,8849000,89804000,13799000,0.40577,0.02041,0.0085,0.02068,0.00517,12.38689,1.30215,3.00115,0.41666,0.08293,0.08293,9.75517,4.01009,1.02726,0.00715,0.08856,5.01458,16.59461
"14","2020_Q4",6.45421875,"Down",112253000,-74499000,37754000,-51520000,-44549000,-5871000,-13766000,-1482000,-1482000,-15248000,-15248000,-14000,-15262000,-15262000,-15262000,-15262000,58722000,58722000,112000,112000,19468000,22951000,22951000,101253000,129163000,4472000,4472000,133635000,234888000,63557000,27159000,36398000,5773000,78466000,69999000,12775000,12775000,82774000,161240000,639920000,-566272000,73648000,73648000,234888000,-15262000,5871000,2588000,-318000.000000001,-7121000,-1885000,-1885000,32861000,32861000,51669262.6019962,21966000,12960000,12960000,12960000,-7895000,79135000,-10084000,0.33633,-0.12263,-0.13596,-0.20723,-0.06498,0.660729999999999,1.29041,2.18933,0.33691,-0.96107,-0.96107,7.06877,4.63774,-0.63501,-0.09219,-0.06091,-2.58556,-1.48286
"15","2021_Q1",8.30016393442623,"Up",115458000,-69919000,45539000,-55030000,-49326000,-5704000,-9491000,-2370000,-2370000,-11861000,-11861000,0,-11861000,-11861000,-11861000,-11861000,44122000,44122000,116000,116000,18185000,23651000,23651000,86074000,125208000,4053000,4053000,129261000,215335000,65323000,23691000,41632000,6269000,75092000,64704000,11564000,11564000,76268000,151360000,642107000,-578133000,63975000,63975000,215335000,-11861000,5704000,2393000,2444000,-1320000,-1165000,-1165000,10000,10000,32952000,-11784000,-14269000,-14269000,-14269000,-3787000,68204000,-2508000,0.39442,-0.0822,-0.10273,-0.1854,-0.05508,0.21145,1.14625,2.36592,0.31673,-0.66724,-0.66724,6.49505,3.59883,-0.14109,-0.08252,-0.01745,-6.35912,-2.53735
"16","2021_Q2",5.29857142857143,"Down",129706000,-81592000,48114000,-62111000,-56491000,-5620000,-13997000,-1708000,-1708000,-15705000,-15705000,-16000,-15721000,-15721000,-15721000,-15721000,29556000,29556000,170000,170000,22531000,25316000,25316000,77573000,121218000,2926000,2926000,124144000,201717000,65207000,31556000,33651000,7237000,75944000,64031000,11122000,11122000,75153000,151097000,644474000,-593854000,50620000,50620000,201717000,-15721000,5620000,2665000,-4515000,-11951000,-1692000,-1692000,-4434898.74670899,-4434898.74670899,-69000,-997000,-14640000,-14640000,-14640000,-8377000,67531000,-14568000,0.37095,-0.10791,-0.1212,-0.31057,-0.07794,0.92666,1.02145,2.98493,0.33478,-0.87633,-0.87633,7.23012,2.82168,-0.81205,-0.12161,-0.11269,-4.53325,-2.71308
"17","2021_Q3",4.3828125,"Down",124010000,-77585000,46425000,-58730000,-53118000,-5612000,-12305000,-2183000,-2731000,-14488000,-18577000,-10000,-18587000,-18587000,-18587000,-18587000,50990000,50990000,107000,107000,22449000,15030000,15030000,88576000,116961000,1792000,1792000,118753000,207329000,65652000,39959000,25693000,5957000,75109000,63008000,12735000,12735000,75743000,150852000,668918000,-612441000,56477000,56477000,207329000,-18587000,5612000,7280000,6768000,1073000,-15000,-15000,18242496.4097578,18242496.4097578,21068000,20169000,21227000,21227000,21227000,-6693000,66508000,70000,0.37436,-0.09923,-0.14988,-0.32911,-0.08965,-0.00377,1.1793,2.67103,0.32078,-1.03608,-1.03608,6.91261,3.14816,0.0039,-0.13695,0.00052,-2.31854,-1.26111
"18","2021_Q4",8.67875,"Up",109654000,-73397000,36257000,-55596000,-50089000,-5507000,-19339000,-8296000,-1864000,-27635000,-27635000,-1000,-27636000,-27636000,-27636000,-27636000,35282000,35282000,146000,146000,23257000,12624000,12624000,71309000,112656000,4063000,4063000,116719000,188028000,61520000,36572000,24948000,5345000,77368000,62400000,14289000,14289000,76689000,154057000,674048000,-640077000,33971000,33971000,188028000,-27636000,5507000,7775000,-2164000,-16518000,-1021000,-1021000,24571000,24571000,-21841000,1831000,-15708000,-15708000,-15708000,-13832000,72903000,-17016000,0.33065,-0.17636,-0.25203,-0.81352,-0.14698,0.61572,0.92169,4.53496,0.38772,-1.36836,-1.36836,5.42937,1.68203,-0.84252,-0.22809,-0.14044,-2.71985,-1.94534
"19","2022_Q1",6.05596774193548,"Down",107007000,-69189000,37818000,-63294000,-57830000,-5464000,-25476000,-965000,-1828000,-26441000,-26441000,4000,-26437000,-26437000,-26437000,-26437000,82160000,82160000,234000,234000,24989000,12249000,12249000,119632000,108355000,3719000,3719000,112074000,231706000,59913000,27962000,31951000,15959000,79372000,61772000,10509000,10509000,72281000,151653000,746567000,-666514000,80053000,80053000,231706000,-26437000,5464000,1213000,-1806000,-21566000,-938000,-938000,-628000,-628000,70917000,69380000,46876000,46876000,46876000,-20012000,65272000,-22760000,0.35342,-0.23808,-0.24706,-0.33024,-0.1141,0.86091,1.50723,1.89441,0.2817,-0.7719,-0.7719,3.12436,2.33737,-0.66454,-0.16965,-0.14605,0.84389,0.6629
"20","2022_Q2",3.39209677419355,"Down",117751000,-79490000,38261000,-76575000,-71171000,-5404000,-38314000,-124000,-1770000,-38438000,-38438000,-11000,-38449000,-38449000,-38449000,-38449000,55991000,55991000,112000,112000,25034000,22264000,13264000,103401000,104195000,4328000,4328000,108523000,211924000,67413000,39675000,27738000,14437000,86269000,64059000,8854000,8854000,72913000,159182000,757702000,-704963000,52742000,52742000,211924000,-38449000,5404000,942000,3305000,-28798000,-1266000,-1266000,4809000,4809000,147524027.140439,3896000,-26168000,-26168000,-26168000,-32910000,68478000,-30860000,0.32493,-0.32538,-0.32653,-0.729,-0.18143,0.80262,1.19859,3.01813,0.32313,-1.34901,-1.34901,4.13138,1.85039,-1.08275,-0.29559,-0.23725,-0.37943,-0.32591
"21","2022_Q3",4.66515625,"Up",124237000,-81158000,43079000,-65750000,-60286000,-5464000,-22671000,-1048000,-1435000,-23719000,-23069000,-54000,-23123000,-23123000,-23123000,-23123000,54028000,54028000,276000,276000,28856000,25519000,15519000,108679000,100397000,6995000,6995000,107392000,216071000,70160000,40653000,29507000,13308000,89468000,63049000,11156000,11156000,74205000,163673000,780481000,-728086000,52398000,52398000,216071000,-23123000,5464000,1065000,-1728000,-18322000,-1608000,-1608000,-4809000,-4809000,24357000,17967000,-1963000,-1963000,-1963000,-17207000,69049000,-20489000,0.34675,-0.18248,-0.18612,-0.4413,-0.10702,0.88609,1.21472,3.12365,0.31957,-0.67862,-0.67862,3.64613,1.5377,-0.60131,-0.17438,-0.15451,-0.87296,-0.66256
