"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.9633870967742,"Down",53804000,-9500000,44304000,-23596000,-14025000,-4346000,-9679000,-7102000,-2469000,20708000,-474000,-352000,-440000,88000,-536000,20234000,20234000,-2162000,18072000,18072000,18072000,18072000,30997000,29491000,1506000,37203000,37203000,8226000,6632000,76426000,10383000,10383000,429024000,82281000,337249000,6011000,3483000,439407000,515833000,24349000,24349000,11876000,24436000,6333000,60661000,71745000,30602000,29702000,102347000,163008000,175385000,184222000,-6706000,352825000,352825000,515833000,18072000,2469000,1535000,-2797000,19279000,-389000,-9825000,-1865000,2874000,23000,-4697000,4757000,4757000,-579000,4178000,23177000,83621000,22153000,0.82343,0.38488,0.33589,0.05122,0.03503,1.22582,1.25989,0.46201,0.16211,0.48562,0.46192,1.4458,9.48097,0.59529,0.05012,0.04269,0.04743,0.1032,2.27053,2.54124
"12","2013_Q1",14.5478333333333,"Down",54023000,-10447000,43576000,-23316000,-13095000,-4233000,-8862000,-7637000,-2584000,20260000,-774000,-460000,-536000,76000,171999.999999999,19486000,19486000,-741000,18745000,18745000,18745000,18745000,37420000,36449000,971000,37298000,37298000,6951000,5116000,81669000,10082000,10082000,425195000,83478000,326748000,11245000,3724000,435277000,516946000,20928000,20928000,12259000,23503000,3378000,56690000,69432000,23669000,22108000,93101000,149791000,168055000,201094000,-6918000,362155000,367155000,516946000,18745000,2584000,-6499000,3463000,18293000,-497000,-4453000,-1873000,-1957000,-21000,-6794000,7046000,7046000,-88000,6958000,22844000,81691000,26551000,0.80662,0.37503,0.34698,0.05105,0.03626,1.41643,1.44062,0.40798,0.15803,0.50363,0.48155,1.45145,9.73012,0.71335,0.05032,0.04363,0.05619,0.09992,1.93797,2.18514
"13","2013_Q2",16.08453125,"Up",52566000,-9891000,42675000,-23370000,-13883000,-3912000,-9971000,-7035000,-2452000,19305000,-357000,-269000,-362000,93000,-170000,18948000,18948000,-1604000,17344000,17344000,17344000,17344000,43783000,43005000,778000,39533000,39533000,6579000,4680000,89895000,9676000,9676000,430182000,81541000,326223000,18764000,3654000,439858000,529753000,24951000,24951000,10530000,22290000,2480000,57771000,66957000,23338000,21963000,90295000,148066000,168555000,215644000,-7436000,376687000,381687000,529753000,17344000,2452000,-7385000,1854000,14265000,-345000,-707000,-2794000,-4217000,-564000,-7022000,6536000,6536000,20000,6556000,21757000,77487000,24870000,0.81184,0.36725,0.32995,0.04544,0.03274,1.43393,1.55606,0.38793,0.14627,0.46664,0.44725,1.41428,10.13471,0.66912,0.07517,0.04174,0.05154,0.16109,1.54911,1.74587
"14","2013_Q3",9.7928125,"Down",51004000,-10358000,40646000,-21352000,-12080000,-3827000,-8253000,-6724000,-2548000,19294000,-1738000,-190000,-281000,91000,-123000,17556000,17556000,-4014000,13542000,13542000,13542000,13542000,36101000,35394000,707000,38500000,38500000,7248000,5201000,81849000,9226000,9226000,446969000,84856000,333872000,24308000,3933000,456195000,538044000,30016000,30016000,13220000,26227000,6448000,69463000,58590000,20402000,20234000,78992000,148455000,166493000,229186000,-11014000,384589000,389589000,538044000,13542000,2548000,-9619000,4103000,10574000,-307000,-7437000,0,-5687000,-164000,-8234000,-5097000,-5097000,-2514000,-7611000,21842000,71810000,29652000,0.79692,0.37828,0.26551,0.03476,0.02517,2.18963,1.17831,0.38106,0.13346,0.36393,0.34912,1.37071,10.33564,0.79688,0,0.02811,0.06154,0,1.63488,1.85078
"15","2013_Q4",11.56578125,"Up",50293000,-10136000,40157000,-21556000,-12472000,-4024000,-8448000,-6625000,-2459000,18601000,-4325000,-159000,-318000,159000,-33000,14276000,14276000,-1133000,13143000,13143000,13143000,13143000,37718000,36889000,829000,40374000,40374000,6383000,4941000,84475000,8819000,8819000,440066000,83555000,337403000,15375000,3733000,448885000,533360000,17727000,17727000,13547000,28551000,8512000,59825000,45788000,22285000,22061000,68073000,127898000,167553000,242329000,-9344000,400462000,405462000,533360000,13143000,2459000,10325000,-12990000,12937000,-235000,-356000,0,-12484000,-188000,-11909000,672000,672000,823000,1495000,21060000,59335000,8968000,0.79846,0.36985,0.26133,0.03241,0.02464,0.68234,1.41204,0.31544,0.11125,0.34653,0.34173,1.32605,10.55876,0.23645,1.38777878078145e-17,0.02698,0.01841,1.38777878078145e-17,1.02645,1.16214
"16","2014_Q1",13.9259016393443,"Up",50847000,-10086000,40761000,-22955000,-13893000,-4085000,-9808000,-6414000,-2648000,17806000,1566000,-90000,-265000,175000,64000,19372000,19372000,-4127000,15245000,15245000,15245000,15245000,57475000,56674000,801000,39070000,39070000,5804000,5548000,102349000,8528000,8528000,434565000,81621000,337068000,12194000,3682000,443093000,545442000,24300000,24300000,13889000,28486000,8469000,66675000,42964000,17578000,17187000,60542000,127217000,168021000,257574000,-12294000,413225000,418225000,545442000,15245000,2648000,-7164000,8557000,19286000,-343000,-340000,0,-2492000,2472000,715999.999999998,19662000,19662000,123000,19785000,20454000,56853000,32795000,0.80164,0.35019,0.29982,0.03645,0.02795,2.1512,1.53504,0.30418,0.10423,0.40069,0.39556,1.33643,10.86091,0.86196,0,0.03094,0.06657,0,-0.0304100000000003,-0.0349299999999999
"17","2014_Q2",14.0871428571429,"Up",51404000,-9612000,41792000,-22387000,-13142000,-3301000,-9841000,-6693000,-2552000,19405000,223000,-112000,-247000,135000,-119000,19628000,19628000,-4211000,15417000,15417000,15417000,15417000,58573000,57728000,845000,42210000,42210000,5032000,5032000,105815000,8309000,8309000,438238000,80631000,341744000,14237000,1626000,446547000,552362000,22217000,22217000,14233000,22349000,2494000,58799000,40159000,22606000,22138000,62765000,121564000,166945000,270095000,-11166000,425798000,430798000,552362000,15417000,2552000,-5901000,-1264000,10804000,-413000,-423000,-2896000,-2471000,-3225000,-10038000,343000,343000,708000,1051000,21957000,54392000,24491000,0.81301,0.3775,0.29992,0.03579,0.02791,1.58857,1.79961,0.28218,0.09847,0.40234,0.3994,1.34151,11.11222,0.63915,0.07558,0.03606,0.04823,0.18784,-0.19042,-0.21546
"18","2014_Q3",12.70640625,"Down",51476000,-9964000,41512000,-24051000,-14852000,-3784000,-11068000,-6758000,-2441000,17461000,-556000,-81000,-211000,130000,-336000,16905000,16905000,-3326000,13579000,13579000,13579000,13579000,34330000,32903000,1427000,40416000,40416000,6351000,4951000,81097000,21148000,21148000,449209000,79978000,352833000,14880000,1518000,470357000,551454000,21668000,21668000,19511000,27336000,8066000,68515000,9284000,30222000,30074000,39506000,108021000,167427000,280777000,-9695000,438433000,443433000,551454000,13579000,2441000,103000,1697000,17820000,-13439000,-22099000,-2897000,-17766000,-4999.99999999814,-20668000,-24947000,-24947000,125000,-24822000,19902000,28795000,11486000,0.80643,0.33921,0.26379,0.03062,0.02462,0.84586,1.18364,0.2436,0.05222,0.35337,0.35136,1.33958,11.4095,0.2989,0.07539,0.03279,0.02286,0.21334,-0.27811,-0.31699
"19","2014_Q4",14.34,"Up",50808000,-10275000,40533000,-18795000,-9567000,-3559000,-6008000,-6779000,-2449000,21738000,287000,-331000,-392000,61000,987000,22025000,22025000,-4010000,18015000,18015000,18015000,18015000,48676000,47350000,1326000,38361000,38361000,7248000,6251000,94285000,22648000,22648000,447539000,77391000,350255000,15003000,4890000,470187000,564472000,15389000,15389000,724000,19453000,648000,35566000,64363000,28173000,28029000,92536000,128102000,154754000,295933000,-14241000,436370000,436370000,564472000,18015000,2449000,-5523000,-5175000,9766000,-2070000,-2098000,-2859000,28444000,-3542000,7795000,15463000,15463000,-1016000,14447000,24187000,65087000,20952000,0.79777,0.42785,0.35457,0.04128,0.03191,1.16303,2.65099,0.29356,0.11531,0.47346,0.47094,1.3353,11.46833,0.55064,0.07514,0.03941,0.03956,0.1587,0.6785,0.75495
"20","2015_Q1",23.5375409836066,"Up",60633000,-17537000,43096000,-22028000,-13159000,-3196000,-9963000,-6630000,-2239000,21068000,-2174000,-2131000,-2184000,53000,297000,18894000,18894000,-2347000,16547000,16547000,16547000,16547000,52581000,52300000,281000,41100000,41100000,8067000,8067000,101748000,24661000,24661000,507902000,80258000,402220000,20871000,4553000,532563000,634311000,45401000,45401000,936000,23449000,989000.000000001,69786000,121058000,11246000,8750000,132304000,202090000,140720000,309726000,-18149000,432221000,432221000,634311000,16547000,2239000,-2020000,3354000,20120000,-355000,-53166000,-2754000,56904000,-4000,38774000,5728000,5728000,-778000,4950000,23307000,121994000,28653000,0.71077,0.34747,0.2729,0.03828,0.02609,1.73161,1.458,0.46756,0.19233,0.45408,0.45136,1.66387,11.86084,0.78628,0.07557,0.03413,0.05067,0.16644,2.9782,3.29471
"21","2015_Q2",30.1509523809524,"Up",63753000,-19485000,44268000,-23769000,-14125000,-3379000,-10746000,-7047000,-2597000,20499000,234000,-658000,-719000,61000,892000,20733000,20733000,-2397000,18336000,18336000,18336000,18336000,27462000,27197000,265000,44869000,44869000,10664000,8643000,82995000,28121000,28121000,502112000,77762000,399408000,19203000,5739000,530233000,613228000,23025000,23025000,631000,24129000,989000,47785000,136058000,10691000,8854000,146749000,194534000,116910000,325333000,-23549000,418694000,418694000,613228000,18336000,2597000,-1049000,-27226000,-7342000,-5778000,-6778000,-2729000,14988000,-1086000,-9992000,-24112000,-24112000,-991000,-25103000,23096000,136689000,-7511000,0.69437,0.32154,0.28761,0.04379,0.0299,-0.40963,1.73684,0.46462,0.2229,0.5135,0.50998,1.7854,11.7255,-0.21035,0.07643,0.03721,-0.01327,0.14883,4.72926,5.32841
"22","2015_Q3",27.88296875,"Down",64712000,-18699000,46013000,-25590000,-15732000,-3611000,-12121000,-7288000,-2570000,20423000,-251000,-581000,-625000,44000,330000,20172000,20172000,-1136000,19036000,19036000,19036000,19036000,28397000,27423000,974000,47217000,47217000,12048000,9933000,87662000,32250000,32250000,524342000,82543000,412842000,23191000,5766000,556592000,644254000,29328000,29328000,617000,22890000,1989000,52835000,150508000,14344000,12541000,164852000,217687000,107041000,341709000,-22183000,426567000,426567000,644254000,19036000,2570000,-5427000,1317999.99999999,17497000,-4534000,-16718000,-2660000,14390000,8000,-461000,318000.000000007,318000.000000007,-90000,228000,22993000,151125000,20913000,0.71104,0.3156,0.29416,0.04463,0.02955,1.0986,1.65917,0.51032,0.23457,0.54317,0.53974,1.84649,12.17163,0.59673,0.0759,0.03665,0.03532,0.13974,5.33762,6.0093
"23","2015_Q4",29.88109375,"Up",66813000,-17809000,49004000,-27036000,-15933000,-3805000,-12128000,-8338000,-2765000,21968000,141000,-996000,-1058000,62000,1137000,22109000,22109000,-1877000,20232000,20232000,20232000,20232000,34214000,33200000,1014000,47166000,47166000,11860000,11058000,93240000,33583000,33583000,521656000,80478000,408093000,20563000,12522000,555239000,648479000,27723000,27723000,607000,21350000,1788000,49680000,186506000,12130000,10327000,198636000,248316000,73134000,359341000,-32312000,400163000,400163000,648479000,20232000,2765000,-297000,-7192000,15508000,-2401000,-8632000,-2600000,35981000,0,82000,6958000,6958000,-1183000,5775000,24733000,187113000,17017000,0.73345,0.3288,0.30282,0.05056,0.0312,0.84109,1.87681,0.62054,0.28854,0.58979,0.58618,1.94767,11.6652,0.49606,0.07579,0.03809,0.02839,0.12851,6.18198,6.96008
"24","2016_Q1",33.0303278688525,"Up",70204000,-16444000,53760000,-27936000,-17205000,-4122000,-13083000,-8029000,-2702000,25824000,-2199000,-1845000,-1909000,64000,-354000,23625000,23625000,-1696000,21929000,21929000,21929000,21929000,58717000,57179000,1538000,47171000,47171000,10942000,10942000,116830000,34088000,34088000,525071000,82735000,402259000,23732000,16345000,559159000,675989000,27975000,27975000,606000,22685000,1934000,51266000,206500000,9252000,7284000,215752000,267018000,60462000,378787000,-30278000,408971000,408971000,675989000,21929000,2702000,-2387000,779000.000000004,23023000,-1281000,-5265000,-2483000,19989000,-661000,4064000,21822000,21822000,2157000,23979000,28526000,207106000,29720000,0.76577,0.36784,0.31236,0.05362,0.03244,1.35528,2.2789,0.6529,0.30637,0.65238,0.64752,2.08853,12.16669,0.88416,0.07387,0.03904,0.04753,0.11323,5.20189,5.74617
"25","2016_Q2",43.5609375,"Up",71066000,-19602000,51464000,-26701000,-15916000,-4333000,-11583000,-8065000,-2720000,24763000,-662000,-1131000,-1274000,143000,469000,24101000,24101000,-1750000,22351000,22351000,22159000,22159000,71328000,69020000,2308000,56503000,56503000,11423000,11423000,139254000,34154000,34154000,523992000,81028000,403210000,23892000,15862000,558146000,697400000,20434000,20434000,608000,23194000,2391000,44236000,226498000,9467000,6192000,235965000,280201000,47104000,398524000,-28621000,417007000,417199000,697400000,22351000,2720000,8000,-14545000,10534000,-1028000,-1768000,-2422000,2e+07,-66000,2754000,11520000,11520000,321000,11841000,27483000,227106000,13660000,0.72417,0.34845,0.31181,0.05311,0.03177,0.61645,3.14798,0.67162,0.32565,0.67061,0.66524,2.15071,12.62013,0.4134,0.0733,0.0376,0.02089,0.1093,5.66816,6.29076
"26","2016_Q3",51.87703125,"Up",72574000,-20579000,51995000,-28431000,-17516000,-4206000,-13310000,-8285000,-2630000,23564000,-1939000,-1744000,-2185000,441000,-195000,21625000,21625000,1418000,23043000,23043000,22992000,22992000,80918000,78014000,2904000,52816000,52816000,11662000,11662000,145396000,34507000,34507000,528030000,70896000,406946000,33019000,17169000,562537000,707933000,23360000,23360000,12373000,22889000,3117000,58622000,231031000,6202000,4485000,237233000,295855000,23551000,419027000,-30743000,411835000,412078000,707933000,23043000,2630000,-4899000,-332000,20442000,-1162000,-2110000,-2489000,16973000,-11000,-8397000,9935000,9935000,-941000,8994000,26194000,243404000,23282000,0.71644,0.32469,0.31681,0.0558,0.03248,1.01261,2.48023,0.71796,0.34382,0.70338,0.69738,2.2202,12.59897,0.71225,0.07614,0.03851,0.03519,0.10826,6.20318,6.89552
