"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",26407.8285714286,"Down",3378000,-765000,2613000,-5820000,-4238000,-1582000,-3207000,-740000,-745000,-3947000,-1240000,-5187000,-5187000,-5187000,-5187000,-11465000,10613000,10613000,1270000,1270000,7851000,375000,375000,20109000,1816000,9510000,3312000,35000,11326000,31435000,4567000,693000,3874000,18840000,1092000,544000,1092000,19932000,221679000,-210176000,11503000,11503000,31435000,-5187000,476000,452000,1381000,-2878000,-70000,-70000,5691000,8406000,5458000,5458000,5458000,-2731000,8432000,0.77353,-0.94938,-3.39402,-0.9967,-0.36472,1.06736,1.73277,0.26824,-17838.08998,-17838.08998,5255.74077,17897.21317,-0.54525,0.79861,0.68007
"12","2017_Q1",16153.664516129,"Down",3652000,-1102000,2550000,-5893000,-4291000,-1602000,-3343000,-485000,-474000,-3828000,2704000,-1124000,-1124000,-1124000,-1124000,-1124000,6915000,6915000,1620000,1620000,7213000,239000,239000,15987000,889000,9385000,3187000,35000.0000000002,10274000,26261000,3841000,658000,3183000,13990000,1036000,508000,1036000,15026000,222535000,-211300000,11235000,11235000,26261000,-1124000,438000,362000,-1589000,-1913000,-220000,-220000,-1559000,-1565000,-3698000,-3698000,-3698000,-2905000,7012000,0.69825,-0.91539,-0.30778,-0.10004,-0.0428,1.14274,1.33743,0.26701,-1501.06488,-1501.06488,4877.12538,15003.97142,-0.05829,-0.03339,-0.0290199999999998
"13","2017_Q2",12843.6,"Down",2629000,-661000,1968000,-3770000,-2754000,-1016000,-1802000,-359000,-359000,-2161000,1649000,-512000,-512000,-512000,-512000,-512000,6944000,6944000,1702000,1702000,1425000,192000,192000,10263000,1019000,14799000,3053000,5583000,15818000,26081000,3423000,587000,2836000,11084000,1086000,569000,1086000,12170000,225462000,-211551000,13911000,13911000,26081000,-512000,296000,-1360000,-257000,-1833000,-292000,-292000,-974000,2154000,29000,29000,29000,-1506000,5482000,0.74857,-0.68543,-0.19475,-0.03681,-0.01963,0.92593,0.87485,0.21019,-543.97821,-543.97821,2793.2006,14779.84537,-0.025,0.97078,0.81132
"14","2017_Q3",12423.8503174603,"Down",3208000,-722000,2486000,-4210000,-2868000,-1342000,-1724000,-381000,-379000,-2105000,402000,-1703000,-1703000,-1703000,-1703000,-1703000,3460000,3460000,1974000,1974000,1409000,354000,354000,7197000,1102000,14351000,2919000,5269000,15453000,22650000,3593000,1358000,2235000,9336000,1047000,530000,1047000,10383000,225521000,-213254000,12267000,12267000,22650000,-1703000,265000,-41000,-117000,-1596000,-216000,-216000,-1671000,-1671000,-3483000,-3483000,-3483000,-1459000,3967000,0.77494,-0.53741,-0.53086,-0.13883,-0.07519,0.77089,0.84642,0.17514,-1699.03502,-1699.03502,3200.53104,12238.43961,-0.09855,-0.3475,-0.29408
"15","2017_Q4",10914.6342857143,"Down",-5837000,1383000,-4454000,2410000,2676000,-266000,-2044000,-270000,-270000,-2314000,756000,-1558000,-1558000,-2069000,-2069000,-2069000,2816000,2816000,1587000,1587000,1733000,176000,176000,6312000,1372000,12916000,2785000,3968000,14288000,20600000,3515000,1159000,2356000,9160000,999000,493000,999000,10159000,225763000,-215323000,10440000,10440000,20599000,-2069000,-561000,-541000,1448000,-967000,-409000,-409000,781000,731000,-645000,-645000,-645000,-2605000,4614000,0.76306,0.35018,0.35446,-0.19818,-0.10044,0.68908,0.97308,0.22398,-2129.09604,-2129.09604,-6006.54111,10743.23954,-0.12888,-0.69021,-0.87965
"16","2018_Q1",7898.65573770492,"Down",11227000,-6352000,4875000,-10359000,-7906000,-2453000,-5484000,-253000,-255000,-5737000,180000,-5557000,-5557000,-5046000,-5046000,-5046000,539000,539000,1240000,1240000,775000,1792000,190000,4346000,284000,10011000,4.65661287307739e-10,3848000,10295000,14641000,4414000,1732000,2682000,8271000,928000,467000,928000,9199000,226071000,-220629000,5442000,5442000,14641000,-5045000,1114000,57000,4346000,-284000,-220000,-220000,-1773000,-1773000,-2277000,-2277000,-2277000,-4370000,605000,0.43422,-0.48847,-0.44945,-0.92723,-0.34465,0.52545,1.69037,0.04132,-4793.94234,-4793.94234,10666.18918,5170.16135,-0.72344,-0.0151000000000001,-0.01204
"17","2018_Q2",3736.03125,"Down",2291000,-524000,1767000,-3911000,-2672000,-1239000,-2144000,-474000,-474000,-2618000,-781000,-3399000,-3399000,-3399000,-3399000,-3408000,409000,409000,1571000,1571000,1231000,379000,379000,3590000,1332000,9895000,2567000,1165000,11227000,14817000,3135000,2025000,1110000,7949000,883000,426000,883000,8832000,230014000,-224028000,5986000,5986000,14818000,-3399000,282000,1228000,-193000,-2082000,-81000,-81000,705000,2033000,-130000,-130000,-130000,-1862000,2095000,0.77128,-0.93584,-1.48756,-0.56933,-0.23001,0.45163,1.47544,0.14139,-3000.14547,-3000.14547,2016.82314,5269.62171,-0.38023,-0.90548,-0.78638
"18","2018_Q3",1362.38571428571,"Down",2039000,-520999.999999999,1518000,-3551000,-2240000,-1311000,-2033000,-805000,-810000,-2838000,527000,-2311000,-2311000,-2311000,-2311000,-9636000,8835000,8835000,1204000,1204000,1237000,266000,266000,11542000,1212000,9853000,2432000,1258000,11065000,22607000,1877000,910000,967000,10417000,881000,381000,881000,11298000,237649000,-226340000,11309000,11309000,22607000,-2311000,277000,-572000,-1246000,-3852000,-76000,-76000,12049000,12354000,8426000,8426000,8426000,-1756000,4.65661287307739e-10,0.74448,-0.99706,-4.72585,-0.85206,-0.42624,1.108,0.99903,5.55111512312578e-17,-4936.82565,-4936.82565,1044.64378,5793.95613,-0.79048,5.03132,4.34579
"19","2018_Q4",777.875555555556,"Down",-4330000,1045000,-3285000,2125000,1554000,571000,-1160000,-82000,-83000,-1242000,-1682000,-2924000,-2924000,-3248000,-3248000,-10889000,6793000,6793000,1201000,1201000,817000,2145000,437000,10956000,150000,3291000,48000,3243000,3441000,14397000,1390000,703000,687000,5456000,851000,346000,851000,6307000,237677000,-229587000,8090000,8090000,14397000,-3248000,-484000,1673000,247000,-2019000,-37000,-37000,-5000,14000,-2042000,-2042000,-2042000,-1644000,0,0.75866,0.2679,2.51478,-1.34598,-0.75634,2.00806,0.7796,0,-2585.73467,-2585.73467,-1028.21482,1921.07572,-1.21787,4.132,5.85603
"20","2019_Q1",692.139344262295,"Down",94999.9999999981,-56000,39000,-1655000,-643000,-1012000,-1616000,56000.0000000001,-21000.0000000001,-1560000,505000,-1055000,-1055000,306000,306000,1381000,5447000,5447000,263000,263000,52000,1255000,171000,7017000,124000,4374000,45999.9999999998,4328000,4498000,11515000,1139000,301000,838000,2380000,736000,232000,736000,3116000,237680000,-229281000,8399000,8399000,11515000,-731000,34000.0000000001,-668000,-217000,-1395000,133000,49000,-5097000,0,-1346000,-1346000,-1346000,-1582000,0,0.41053,-17.01053,14.53684,0.16442,0.11993,2.94832,0.371,6.93889390390723e-18,189.94593,171.76956,13.0665200000001,1155.21789,0.15118,3.44311,3.37067
"21","2019_Q2",521.037301587302,"Down",97000,-79000,18000,-1748000,-1030000,-718000,-1730000,122000,122000,-1608000,-21000,-1629000,-1629000,-1629000,-1629000,-1629000,4164000,4164000,45000,45000,69000,1294000,178000,5572000,97000,4588000,45000,4543000,4685000,10257000,1051000,254000,797000,2872000,615000,115000,615000,3487000,237680000,-230910000,6770000,6770000,10257000,-1629000,27000,142000,-9000,-1469000,0,416000,0,-230000,-1283000,-1283000,-1283000,-1703000,0,0.18557,-17.83505,-16.79381,-0.24062,-0.15882,1.94011,0.51507,0,-224.46419,-224.46419,13.36588,932.85607,-0.22058,2.4451,2.40694
"22","2019_Q3",220.584375,"Down",167000,-133000,34000,-1556000,-720000,-836000,-1522000,161000,113000,-1361000,631000,-730000,-730000,-730000,-730000,-3088000,3192000,3192000,173000,173000,85000,1633000,234000,5083000,87000,6107000,44000,6063000,6194000,11277000,1108000,295000,813000,2172000,2665000,2163000,2665000,4837000,238081000,-231641000,6440000,6440000,11277000,-730000,27000,-808000,1000.00000000006,-1510000,-15000,264000,1000,274000,-972000,-972000,-972000,-1495000,0,0.20359,-9.11377,-18.49102,-0.4795,-0.27383,2.34024,0.75109,4.33680868994202e-19,-330.72022,-330.72022,17.8854499999999,689.71444,-0.33915,2.13512,2.09724
"23","2019_Q4",186.4296875,"Down",173000,-152000,21000,-1722000,-719000,-1003000,-1701000,111000,111000,-1590000,144000,-1446000,-1446000,-1446000,-1446000,-1791000,2926000,2926000,113000,113000,86000,1740000,137000,4865000,207000,5526000,43000,5483000,5733000,10598000,1232000,166000,1066000,2053000,2502000,2050000,2517000,4570000,239114000,-233086000,6028000,6028000,10598000,-1446000,29000,-169000,-314000,-1900000,-126000,290000,102000,1344000,-266000,-266000,-266000,-1672000,21000,0.12139,-9.83237,-10.3526,-0.29711,-0.16899,2.3697,0.75813,0.00198,-83.38493,-83.38493,8.05449,280.65013,-0.20945,1.73744,1.70782
"24","2020_Q1",99.6467741935484,"Down",252000,-187000,65000,-1706000,-869000,-837000,-1641000,1e+05,1e+05,-1541000,549000,-992000,-992000,-992000,-992000,-992000,1787000,1787000,136000,136000,106000,2034000,310000,4063000,190000,4894000,41000,4853000,5084000,9147000,1457000,191000,1266000,2066000,1867000,1867000,1879000,3945000,239280000,-234078000,5202000,5202000,9147000,-992000,24000,-549000,-39000.0000000001,-1556000,-5999.99999999997,411000,-106000,6000,-1139000,-1139000,-1139000,-1617000,18000,0.25794,-6.5119,-3.93651,-0.1907,-0.10845,1.9666,0.75836,0.00197,-41.04883,-41.04883,10.42773,215.25808,-0.13997,1.094,1.078
"25","2020_Q2",77.0222222222222,"Down",207000,-166000,41000,-1895000,-901000,-994000,-1854000,103000,103000,-1751000,2920000,1169000,1169000,1169000,1169000,-8115000,8224000,8224000,106000,106000,207000,2453000,471000,10990000,194000,4179000,40000,4139000,4373000,15363000,1135000,173000,962000,2363000,1782000,1782000,1792000,4155000,244117000,-232909000,11208000,11208000,15363000,1169000,17000,-3828000,-756000,-3398000,-21000,396000,-1000,9439000,6437000,6437000,6437000,-1837000,17000,0.19807,-8.95652,-39.2029,-0.72404,-0.52822,4.65087,0.37072,0.00111,-134.78076,-100.99072,3.43803,186.15191,-0.62389,4.46761,4.42665
"26","2020_Q3",199.859375,"Up",204000,-163000,41000,-2025000,-958000,-1067000,-1984000,85000,85000,-1899000,-2129000,-4028000,-4028000,-4028000,-4028000,-4235000,18125000,18125000,60000,60000,137000,2522000,403000,20844000,232000,3509000,39000,3470000,3741000,24585000,1377000,96000,1281000,3466000,1682000,1682000,1923000,5389000,256133000,-236937000,19196000,19196000,24585000,-4026000,19000,2150000,319000,-1538000,-56000,471000,405000,10970000,9903000,9903000,9903000,-1965000,421000,0.20098,-9.72549,-20.7598,-0.22062,-0.17226,6.01385,0.28074,0.01712,-34.94103,-29.02054,1.68311,158.37734,-0.19884,9.00967,8.92339
"27","2020_Q4",181.125,"Down",67000,-53000,14000,-2442000,-1009000,-1433000,-2428000,277000,77000,-2151000,-287000,-2438000,-2438000,-2438000,-2438000,-2512000,27050000,27050000,49000,49000,74000,2414000,225000,29587000,287000,2759000,37000,2722000,3046000,32633000,1103000,157000,946000,3359000,1580000,1580000,1738000,5097000,266911000,-239375000,27536000,27536000,32633000,-2440000,22000,350000,-52000,-2120000,-73000,511000,-27000,10532000,8923000,8923000,8923000,-2406000,396000,0.20896,-36.23881,-37.49254,-0.09123,-0.07698,8.80828,0.1851,0.01213,-10.98176,-11.08839,0.29291,120.3797,-0.08512,11.07814,10.97776
"28","2021_Q1",209.360655737705,"Up",116000,-93000,23000,-2261000,-947000,-1314000,-2238000,145000,63000,-2093000,361000,-1732000,-1732000,-1732000,-1732000,-1732000,25351000,25351000,41000,41000,99000,2099000,243000,27590000,471000,2386000,36000,2350000,2857000,30447000,1103000,194000,909000,2879000,1477000,1477000,1764000,4643000,266911000,-241107000,25804000,25804000,30447000,-1732000,25000,-297000,-52000,-2056000,-210000,373000,2000,-15999.9999999981,-1699000,-1699000,-1699000,-2213000,396000,0.19828,-19.2931,-14.93103,-0.06712,-0.05689,9.58319,0.17993,0.01301,-7.03761,-7.06888,0.47134,104.84902,-0.06258,11.27655,11.15058
"29","2021_Q2",157.698412698413,"Down",101000,-61000,40000,-2881000,-1286000,-1595000,-2841000,59000,47000,-2782000,149000,-2633000,-2633000,-2633000,-2633000,-2633000,23471000,23471000,67000,67000,108000,2114000,798000,25760000,629000,2296000,35000,2261000,2925000,28685000,1483000,397000,1086000,3205000,1369000,1369000,1882000,5087000,267338000,-243740000,23598000,23598000,28685000,-2633000,34000,-63000,-330000,-2992000,-177000,406000,510000,706000,-1880000,-1880000,-1880000,-2807000,514000,0.39604,-28.12871,-26.06931,-0.11158,-0.09179,8.03744,0.21557,0.01792,-10.6737,-10.6737,0.40944,95.66199,-0.10333,8.17848,8.08061
"30","2021_Q3",146.359375,"Down",101000,-73000,28000,-2391000,-1187000,-1204000,-2363000,178000,48000,-2185000,-14000,-2199000,-2199000,-2199000,-2199000,-2199000,22175000,22175000,29000,29000,354000,651000,651000,23209000,1028000,2179000,34000,2145000,3207000,26416000,1423000,154000,1269000,3196000,1259000,1259000,1741000,4937000,267418000,-245939000,21479000,21479000,26416000,-2199000,38000,27000,-213000,-2347000,-305000,1056000,-5000.00000000012,-5000,-1296000,-1296000,-1296000,-2325000,510000,0.27723,-23.39604,-21.77228,-0.10238,-0.08325,7.26189,0.22985,0.01931,-8.90714,-8.90714,0.4091,87.00156,-0.09459,9.31828,9.16843
"31","2021_Q4",100.29765625,"Down",239000,-190000,49000,-2874000,-1271000,-1603000,-2825000,1000,2000,-2824000,481000,-2343000,-2343000,-2343000,-2343000,-2343000,17183000,17183000,182000,182000,399000,382000,382000,18146000,3814000,2908000,33000,2875000,6722000,24868000,1774000,169000,1605000,3153000,2025000,2025000,2475000,5628000,267522000,-248282000,19240000,19240000,24868000,-2343000,50000,-261000,146000,-2408000,-2584000,-2584000,0,0,-4992000,-4992000,-4992000,-2775000,509000,0.20502,-11.82008,-9.80335,-0.12178,-0.09422,5.75515,0.29252,0.02047,-9.49425,-9.49425,0.96847,77.96391,-0.10761,6.00865,5.9023
"32","2022_Q1",53.2256451612903,"Down",165000,-125000,40000,-2631000,-1147000,-1484000,-2591000,6000,4000,-2585000,985000,-1600000,-1600000,-1600000,-1600000,-1600000,14273000,14273000,102000,102000,597000,350000,350000,15322000,4025000,2493000,31000,2462000,6518000,21840000,1392000,242000,1150000,2748000,1898000,1898000,1898000,4646000,267611000,-250417000,17194000,17194000,21840000,-1600000,68000,-767000,-86000,-2385000,-529000,-529000,4000,4000,-2910000,-2910000,-2910000,-2523000,509000,0.24242,-15.70303,-9.69697,-0.09306,-0.07326,5.57569,0.27021,0.02331,-9.7522,-9.17108,1.0057,104.79957,-0.08163,5.45541,5.31223
"33","2022_Q2",49.1979032258064,"Down",129000,-80000,49000,-2929000,-1250000,-1653000,-2880000,-6000,-6000,-2886000,41000,-2845000,-2845000,-2845000,-2845000,-2845000,10863000,10863000,106000,106000,299000,721000,721000,11989000,4186000,2708000,30000,2678000,6894000,18883000,1323000,490000,833000,2669000,1763000,1763000,1763000,4432000,267713000,-253262000,14451000,14451000,18883000,-2845000,69000,191000,-595000,-3180000,-230000,-230000,-142984.090469633,-179017.131205957,-3410000,-3410000,-3410000,-2811000,0,0.37984,-22.32558,-22.05426,-0.19687,-0.15066,4.49194,0.30669,0,-11.51675,-11.34852,0.5222,58.4986,-0.17547,3.86446,3.77188
"34","2022_Q3",45.768125,"Down",241000,-66000,175000,-2956000,-1331000,-1475000,-2781000,163000,1000,-2618000,108000,-2510000,-2510000,-2510000,-2510000,-2510000,7747000,7747000,268000,268000,775000,867000,762000,9657000,5085000,2752000,29000,2723000,7837000,17494000,1924000,372000,1552000,2977000,1968000,1968000,2468000,5445000,267823000,-255774000,12049000,12049000,17494000,-2512000,71000,112000,-213000,-2542000,-368000,-64999.9999999999,-509000,-509000,-3116000,-3116000,-3116000,-2710000,648000,0.72614,-11.53942,-10.41494,-0.20832,-0.14348,3.24387,0.4519,0.03704,-10.15514,-10.00848,0.97505,48.7487,-0.17116,2.61956,2.55268
