"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",12.03734375,"Down",107308000,-71479000,35829000,-31110000,-31110000,4719000,-304000,77000,-381000,4415000,85000,-1300000,-1215000,-1215000,-1215000,-1215000,85660000,85660000,78827000,78827000,40640000,14536000,7272000,12283000,205127000,39921000,12685000,211837000,120638000,30308000,25102000,35789000,264443000,469570000,53201000,7581000,1468000,44152000,45961000,45927000,105162000,85595000,37308000,48152000,119595000,224757000,232282000,-50367000,48097000,14801000,244813000,244813000,469570000,-1215000,4145000,2306000,-74296000,-69060000,-945000,-445000,-1416000,-107000,-361000,39532000,-30944000,-30944000,-1001000,-31945000,8864000,4e+07,-65077000,0.33389,0.04398,-0.01132,-0.00496,-0.00259,53.56132,1.95058,0.91808,0.08518,-0.06746,-0.06746,5.95825,13.59317,-3.61338,0.00594,-0.00299,-0.17569,-0.08807,-5.15117,-9.67578
"12","2013_Q3",13.18546875,"Up",127328000,-83066000,44262000,-33225000,-33225000,11037000,-691000,-106000,-585000,10346000,5051000,-3115000,1936000,1936000,1936000,1936000,99695000,99695000,90867000,90867000,41860000,14200000,7212000,13266000,232422000,37571000,12751000,207834000,119948000,28839000,23520000,35527000,258156000,490578000,74308000,7454000,3956000,62898000,47753000,47720000,128061000,85620000,37604000,47884000,118120000,246181000,232236000,-48899000,47605000,13455000,244397000,244397000,490578000,1936000,3882000,2009000,12733000,20560000,-413000,-61999.9999999999,-475000,-2412000,-572000,-4484000,15601000,15601000,-1566000,14035000,14919000,38500000,30354000,0.34762,0.08668,0.0152,0.00792,0.00395,15.67872,1.81493,1.0073,0.07848,0.1071,0.10527,7.04404,13.52052,1.67924,0.13344,0.0118,0.0823699999999999,1.24587,-4.10182,-5.54453
"13","2013_Q4",15.18375,"Up",123504000,-81671000,41833000,-28957000,-28957000,12876000,-8e+05,-91000,-709000,12076000,7553000,-3429000,4124000,4124000,4124000,4124000,132790000,132790000,88746000,88746000,46175000,17321000,6803000,13340000,267711000,35721000,13182000,209190000,120696000,27606000,24079000,36809000,258093000,525804000,101145000,5622000,7015000,88508000,48668000,48634000,155813000,91964000,39009000,52818000,122964000,278777000,232117000,-48554000,49414000,14050000,247027000,247027000,525804000,4124000,4019000,-1407000,29899000,36635000,-562000,1000,-585000,-2356000,-71000,-3927000,32123000,32123000,972000,33095000,16895000,3.7e+07,49661000,0.33872,0.10426,0.03339,0.01669,0.00784,12.04195,1.71816,1.12853,0.07037,0.22777,0.22633,6.82116,13.64338,2.74279,0.13012,0.01723,0.13208,0.57129,-5.66972,-7.43942
"14","2014_Q1",15.3403278688525,"Up",122853000,-83283000,39570000,-33639000,-33639000,5931000,-382000,-55000,-327000,5549000,699000,803000,1502000,1502000,1502000,1502000,181646000,181646000,71666000,71666000,37462000,14786000,5772000,8843000,290774000,34961000,13848000,213641000,123274000,26637000,27474000,36256000,262450000,553224000,123135000,7791000,5401000,109943000,46652000,18938000,175787000,100064000,38735000,61329000,129564000,305351000,232204000,-47811000,48511000,14969000,247873000,247873000,553224000,1502000,4229000,-1827000,51994000,55898000,-1811000,9000.00000000001,-2749000,-2385000,-66000.0000000001,-3951000,49198000,49198000,-342000,48856000,10160000,35500000,59540000,0.32209,0.04828,0.01223,0.00606,0.00271,39.64048,1.65413,1.23188,0.06417,0.08291,0.08205,6.78146,13.68255,3.2866,0.13165,0.01014,0.15528,1.58788,-14.38445,-24.64104
"15","2014_Q2",15.6401587301587,"Up",115532000,-75915000,39617000,-34426000,-34426000,5191000,-268000,30000,-298000,4923000,512000,-1256000,-744000,-744000,-744000,-744000,101405000,101405000,85438000,85438000,39665000,16446000,6544000,8561000,226508000,33780000,14136000,213383000,123576000,25301000,27093000,37413000,261299000,487807000,60452000,7947000,1501000,51004000,58635000,25924000,125087000,88933000,39297000,49636000,116933000,242020000,229868000,-45505000,45358000,16066000,245787000,245787000,487807000,-744000,3850000,1122000,-79136000,-74908000,-1127000,-287000,-1277000,-2472000,-382000,-4354000,-80539000,-80539000,298000,-80241000,9041000,3.4e+07,-69966000,0.34291,0.04493,-0.00644,-0.00303,-0.00153,94.04032,1.8108,0.98467,0.0697,-0.04099,-0.04099,6.3647,13.54049,-3.85445,0.13618,0.00469,-0.18975,-3.32258,-7.45548,-12.98497
"16","2014_Q3",16.973125,"Up",140958000,-92128000,48830000,-31440000,-31440000,17390000,232000,-110000,342000,17622000,12744000,-8957000,3787000,3787000,3787000,3787000,123350000,123350000,105011000,105011000,41410000,16587000,7187000,10100000,269771000,32109000,14739000,209528000,123970000,24007000,23638000,37913000,256376000,526147000,92005000,5485000,5648000,80872000,60499000,24476000,158504000,91548000,39511000,52037000,118048000,276552000,230827000,-44557000,46668000,16657000,249595000,249595000,526147000,3787000,3798000,6180000,16101000,29866000,-740000,50999.9999999999,-928000,-2377000,-3414000,-7291000,21647000,21647000,298000,21945000,21188000,32500000,45506000,0.34642,0.12337,0.02687,0.01517,0.0072,12.01637,1.70198,1.108,0.06177,0.20789,0.20391,7.73814,13.70197,2.49813,0.13049,0.0165,0.12179,0.62767,-4.2878,-5.22427
"17","2014_Q4",17.6984375,"Up",130261000,-84046000,46215000,-32226000,-32226000,13989000,-640000,-152000,-488000,13349000,8917000,-5925000,2992000,2992000,2992000,2992000,159537000,159537000,94130000,94130000,40719000,15153000,7098000,11519000,294386000,30070000,14276000,202844000,122657000,22432000,22258000,35497000,247190000,541576000,114990000,5532000,4655000,104803000,56645000,24797000,177635000,90385000,37044000,53341000,115385000,293020000,231578000,-44261000,47169000,14070000,248556000,248556000,541576000,2992000,3711000,2524000,33767000,42994000,-742000,306000,-437000,-2515000,0,-4015000,38542000,38542000,-2355000,36187000,17700000,3.1e+07,56650000,0.35479,0.10739,0.02297,0.01204,0.00552,18.93382,1.65725,1.17889,0.05724,0.1641,0.16203,7.14424,13.63221,3.107,0.13794,0.01489,0.15313,0.84057,-7.26198,-9.18843
"18","2015_Q1",19.9383606557377,"Up",126488000,-85359000,41129000,-32099000,-32099000,9030000,-1790000,-126000,-1664000,7240000,2014000,-1252000,762000,762000,762000,762000,211352000,211352000,68353000,68353000,38530000,14536000,5288000,18706000,318235000,30417000,13709000,206260000,122176000,20939000,35427000,27718000,250386000,568621000,142611000,5493000,6684000,130434000,57237000,26785000,205848000,94609000,39892000,54717000,118109000,323957000,232271000,-44261000,45431000,11223000,244664000,244664000,568621000,762000,3953000,-4298000,58395000,58812000,-750000,51000.0000000001,-649000,-2500000,4.65661287307739e-10,-4e+06,54163000,54163000,-2348000,51815000,12983000,29500000,71880000,0.32516,0.07139,0.00602,0.00311,0.00134,94.33071,1.54597,1.32409,0.05188,0.04178,0.0411,6.93503,13.41433,3.94101,0.13707,0.00885,0.19492,3.28084,-14.00693,-20.13865
"19","2015_Q2",21.3871428571429,"Up",118479000,-78473000,40006000,-30008000,-30008000,9998000,-146000,-71000,-75000,9852000,6526000,-3100000,3426000,3426000,3426000,3426000,107625000,107625000,83004000,83004000,52554000,15085000,5645000,19370000,243183000,34348000,15281000,189271000,121316000,19632000,22077000,26246000,238900000,482083000,71168000,7702000,2535000,60931000,63143000,32979000,140311000,74424000,38294000,36130000,96424000,236735000,230197000,-41736000,46346000,10541000,245348000,245348000,482083000,3426000,3732000,1627000,-96556000,-87771000,-6282000,-1035000,-7317000,-2511000,-1543000,-5554000,-100642000,-100642000,-3085000,-103727000,13730000,2.8e+07,-86008000,0.33766,0.08439,0.02892,0.01396,0.00711,-25.1045,1.73317,0.96489,0.05808,0.18774,0.18455,6.49236,13.44446,-4.71303,0.1376,0.01707,-0.24731,0.73292,-5.79934,-7.96409
"20","2015_Q3",18.558125,"Down",137686000,-90717000,46969000,-33156000,-33156000,13813000,-54000,-175000,121000,13759000,9118000,-4162000,4956000,4956000,4956000,4956000,119884000,119884000,97270000,97270000,53543000,15369000,5541000,20253000,270697000,34579000,15248000,191634000,121020000,18595000,22682000,29337000,241461000,512158000,92177000,5702000,3376000,83099000,61268000,27923000,159445000,82950000,39156000,43794000,103450000,262895000,231619000,-41152000,48810000,9986000,249263000,249263000,512158000,4956000,2928000,1514000,15235000,24633000,-3966000,14000,-3952000,-2492000,-5154000,-9146000,11535000,11535000,724000,12259000,16741000,26500000,32172000,0.34113,0.10032,0.03599,0.01988,0.00968,6.49153,1.69775,1.05469,0.05174,0.2706,0.26648,7.51766,13.60977,1.75659,0.13606,0.02076,0.08969,0.50282,-5.57816,-6.76059
"21","2015_Q4",22.63546875,"Up",142850000,-95724000,47126000,-29764000,-29764000,17362000,-1796000,-54000,-1742000,15566000,11137000,-3647000,7490000,7490000,7490000,7490000,128960000,128960000,106674000,106674000,54455000,15715000,5669000,20635000,290089000,35597000,14185000,190148000,120150000,17327000,22553000,30118000,239930000,530019000,128467000,4056000,4388000,120023000,62436000,28697000,190903000,85021000,38186000,46835000,85021000,275924000,231173000,-39583000,53807000,8698000,254095000,254095000,530019000,7490000,3323000,1251000,31034000,43098000,-3649000,249000,-3400000,-2493000,-99000,-29092000,10606000,10606000,-1530000,9076000,20685000,0,51717000,0.3299,0.12154,0.05243,0.02948,0.01413,6.90481,1.51956,1.08591,0,0.40769,0.40163,7.77542,13.83056,2.81499,0.1357,0.02944,0.15251,0.33284,-6.23447,-7.42772
"22","2016_Q1",21.0485245901639,"Down",149296000,-104471000,44825000,-34764000,-34764000,10061000,-512000,178000,-690000,9549000,4773000,-3513000,1260000,1260000,1260000,1260000,190452000,190452000,76058000,76058000,42453000,19197000,4809000,18447000,308963000,36498000,14145000,213112000,131122000,18687000,35331000,27972000,263755000,572718000,168467000,6150000,3442000,158875000,60963000,31239000,229430000,88486000,35949000,52537000,88486000,317916000,232554000,-39583000,52572000,9259000,254802000,254802000,572718000,1260000,3713000,802000,71848000,77623000,-2530000,4000.00000000012,-12838000,-2495000,-51000,-2546000,62239000,62239000,-747000,61492000,13774000,1.86264514923096e-09,86605000,0.30024,0.06739,0.00844,0.00495,0.0022,68.73413,1.34665,1.2477,0,0.06848,0.0661499999999999,8.11391,13.84793,4.70679,0.1356,0.01094,0.25228,1.98016,-13.82692,-18.92973
"23","2016_Q2",17.35765625,"Down",134287000,-91118000,43169000,-35203000,-35203000,7966000,121000,72000,49000,8087000,3989000,-2664000,1325000,1325000,1325000,1325000,62047000,62047000,95543000,95543000,45526000,21986000,8377000,15163000,203116000,35260000,16388000,221657000,136691000,20398000,33385000,31183000,273305000,476421000,69377000,7779000,1135000,60463000,69254000,34596000,138631000,82927000,39296000,43631000,82927000,221558000,226806000,-33979000,51447000,10589000,254863000,254863000,476421000,1325000,3672000,4446000,-128625000,-119182000,-721000,-2013000,-5003000,-2450000,-3063000,-5513000,-129698000,-129698000,1293000,-128405000,11638000,0,-115044000,0.32147,0.05932,0.00987,0.0052,0.00278,-86.82566,1.46516,0.86932,0,0.07182,0.06981,7.27922,13.81521,-6.23612,0.13281,0.01118,-0.34058,1.84906,-5.33141,-7.78898
"24","2016_Q3",16.3228125,"Down",153816000,-101542000,52274000,-35625000,-35625000,16649000,87000,58000,29000,16736000,11781000,-5126000,6655000,6655000,6655000,6655000,85391000,85391000,107108000,107108000,39335000,20493000,4812000,14030000,231834000,36464000,16782000,218613000,136066000,18438000,34501000,29608000,271859000,503693000,96097000,5765000,2678000,87654000,59614000,25976000,155711000,87603000,39059000,48544000,87603000,243314000,228405000,-32947000,55607000,9314000,260379000,260379000,503693000,6655000,3973000,1024000,22569000,34221000,-371000,10000,-597000,-2496000,-7074000,-9570000,24054000,24054000,-710000,23344000,20622000,0,47946000,0.33985,0.10824,0.04327,0.02556,0.01321,7.20451,1.48887,0.93446,-4.33680868994202e-19,0.35862,0.35367,8.28884,14.03131,2.58372,0.1345,0.0263,0.13778,0.37506,-4.14077,-5.1289
"25","2016_Q4",18.6731746031746,"Up",148239000,-95355000,52884000,-36158000,-36158000,16726000,382000,42000,340000,17108000,12388000,-5448000,6940000,6940000,6940000,6940000,99975000,99975000,114726000,114726000,44254000,23936000,5451000,14867000,258955000,36137000,17268000,241415000,155313000,20154000,37277000,28671000,294820000,553775000,133643000,9644000,3897000,120102000,56816000,25103000,190459000,97551000,39921000,57630000,97551000,288010000,229514000,-32915000,60050000,9116000,265765000,265765000,553775000,6940000,4031000,-1948000,26924000,35947000,-1087000,152000,-18924000,-2496000,0,-2496000,14527000,14527000,57000,14584000,20757000,0,52042000,0.35675,0.11283,0.04682,0.02611,0.01253,7.49885,1.35964,1.0837,0,0.37358,0.36817,7.97971,14.30613,2.80142,0.13436,0.02597,0.14324,0.35965,-4.81645,-5.97722
"26","2017_Q1",20.9727419354839,"Up",164564000,-112055000,52509000,-40101000,-40101000,12408000,1943000,72000,1871000,14351000,9608000,-9115000,493000.000000001,493000.000000001,493000.000000001,493000.000000001,165011000,165011000,93191000,93191000,40228000,21602000,4847000,13779000,298430000,35099000,17346000,230627000,151844000,20690000,33073000,25020000,283072000,581502000,168092000,7952000,4617000,155523000,52500000,24133000,220592000,102320000,39039000,63281000,102320000,322912000,230153000,-32915000,58030000,3322000,258590000,258590000,581502000,493000.000000001,4757000,5900000,59788000,70938000,-3172000,-89000,-10489000,-2513000,2899000,386000,60835000,60835000,-3005000,57830000,17165000,-9.31322574615479e-10,82896000,0.31908,0.0754,0.003,0.00191,0.000849999999999998,168.14604,1.35286,1.24874,1.73472347597681e-18,0.02654,0.02527,8.858,13.91915,4.46205,0.13527,0.00833,0.22969,5.09736,-9.61322,-13.29876
"27","2017_Q2",20.4860317460317,"Down",144177000,-97235000,46942000,-36133000,-36133000,10809000,-2544000,197000,-2741000,8265000,4094000,-3444000,650000,650000,650000,650000,68329000,68329000,111366000,111366000,45400000,24407000,4454000,16539000,225095000,40057000,19763000,232593000,152558000,19009000,30873000,30153000,292413000,517508000,86358000,9880000,4402000,72076000,55682000,23200000,142040000,91951000,41766000,50185000,116951000,258991000,224246000,-27758000,56082000,5947000,258517000,258517000,517508000,650000,3808000,4447000,-119431000,-110526000,-4163000,-1550000,-5713000,-2598000,-4581000,17821000,-98418000,-98418000,1755000,-96663000,14617000,2.5e+07,-105533000,0.32559,0.07497,0.00451,0.00251,0.00126,-162.35846,1.58473,1.00183,0.04831,0.03489,0.03382,7.7398,13.87787,-5.66529,0.13947,0.00865,-0.28107,3.99692,-2.96429,-4.0086
"28","2017_Q3",17.6368253968254,"Down",157118000,-103378000,53740000,-38089000,-38089000,15651000,-275000,-96000,-178999.999999999,15376000,-28686000,10438000,-18248000,-18248000,-18248000,-18248000,58178000,58178000,124410000,124410000,43034000,23784000,5467000,13783000,225622000,41491000,19717000,210607000,124671000,8027000,48946000,28963000,271815000,497437000,103307000,8170000,7064000,88073000,54062000,21761000,157369000,96555000,43351000,53204000,96555000,253924000,225028000,-26128000,35273000,9340000,243513000,243513000,497437000,-18248000,3758000,23729000,15075000,24314000,-6280000,-39000,-6433000,-2561000,-2308000,-29869000,-11988000,-11988000,1865000,-10123000,19409000,0,17766000,0.34204,0.09961,-0.11614,-0.07494,-0.03668,-0.973590000000002,1.43371,1.04275,1.38777878078145e-17,-0.97328,-0.97328,8.38007,12.98805,0.94757,0.13659,-0.04613,0.05224,-0.14034,-2.99748,-3.71721
