"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"27","2016_Q4",44.4549206349206,"Up",12002791000,-9859966000,2142825000,-1765207000,377618000,-50747000,-57699000,6952000,326871000,326871000,-109735000,217136000,217136000,217136000,217136000,4361895000,0.17853,0.03146,0.01809,0.3833,0.3804,21.18809
"28","2017_Q1",45.6324193548387,"Up",13647891000,-11145053000,2502838000,-1956013000,546825000,-215608000,-74305000,-141303000,331217000,331217000,-115550000,215667000,215667000,215667000,215667000,7435402000,0.18339,0.04007,0.0158,0.37634,0.37352,23.81592
"29","2017_Q2",46.2679365079365,"Up",13968654000,-11276735000,2691919000,-2125086000,566833000,-66407000,-73623000,7216000,500426000,500426000,-176539000,323887000,323887000,323887000,323887000,7859569000,0.19271,0.04058,0.02319,0.58312,0.57739,25.14891
"30","2017_Q3",45.3919047619048,"Down",13457268000,-10885405000,2571863000,-2079446000,492417000,-69911000,-72231000,2320000,422506000,422506000,-147339000,275167000,275167000,275167000,275167000,8345188000,0.19111,0.03659,0.02045,0.50477,0.49997,24.68622
"31","2017_Q4",49.7230158730159,"Up",13524172000,-10990037000,2534135000,-2098173000,435962000,-76189000,-81004000,4815000,359773000,359773000,-121495000,238278000,238278000,238278000,238278000,8577984000,0.18738,0.03224,0.01762,0.44184,0.43796,25.07766
"32","2018_Q1",53.4485245901639,"Up",14421045000,-11661455000,2759590000,-2201631000,557959000,-74434000,-76020000,1586000,483525000,483525000,-178354000,305171000,305171000,305171000,305171000,8194890000,0.19136,0.03869,0.02116,0.57135,0.56641,26.99937
"33","2018_Q2",56.721875,"Up",14650424000,-11856756000,2793668000,-2174303000,619365000,-72909000,-80884000,7975000,546456000,546456000,-178816000,367640000,367640000,367640000,367640000,8964513000,0.19069,0.04228,0.02509,0.69723,0.68967,27.78439
"34","2018_Q3",64.3146031746032,"Up",14411490000,-11712104000,2699386000,-2163377000,536009000,-84281000,-85986000,1705000,451728000,451728000,-167615000,284113000,284113000,284113000,284113000,8853834000,0.18731,0.03719,0.01971,0.54503,0.53886,27.64613
"35","2018_Q4",60.4801587301587,"Down",14349504000,-11673876000,2675628000,-2189695000,485933000,-121049000,-136145000,15096000,364884000,364884000,-34799000,330085000,330085000,330085000,330085000,9129817000,0.18646,0.03386,0.023,0.63255,0.62517,27.49829
"36","2019_Q1",58.7377049180328,"Down",15315906000,-12399197000,2916709000,-2229042000,687667000,-94511000,-92468000,-2043000,593156000,593156000,-144228000,448928000,448928000,448928000,448928000,8327270000,0.19044,0.0449,0.02931,0.86117,0.85015,29.38015
"37","2019_Q2",64.6219047619048,"Up",15215279000,-12311494000,2903785000,-2275645000,628140000,-90148000,-89016000,-1132000,537992000,537992000,-106950000,431042000,431042000,431042000,431042000,8701759000,0.19085,0.04128,0.02833,0.82756,0.81477,29.21203
"38","2019_Q3",67.0240625,"Up",14765707000,-11993995000,2771712000,-2319817000,451895000,-97310000,-87113000,-10197000,354585000,354585000,-87205000,267380000,267380000,267380000,267380000,8811984000,0.18771,0.0306,0.01811,0.51631,0.50968,28.51231
"39","2019_Q4",74.33828125,"Up",14658074000,-11903776000,2754298000,-2224713000,529585000,-98634000,-94514000,-4120000,430951000,430951000,9132000,440083000,440083000,440083000,440083000,8677432000,0.1879,0.03613,0.03002,0.85588,0.84659,28.50734
"40","2020_Q1",63.8346774193548,"Down",15474862000,-12495670000,2979192000,-2258662000,720530000,-38222000,-89780000,51558000,682308000,682308000,-146542000,535766000,535766000,535766000,535766000,8163337000,0.19252,0.04656,0.03462,1.04103,1.0302,30.0688
"41","2020_Q2",49.032380952381,"Down",15303005000,-12359635000,2943370000,-2275052000,668318000,-86447000,-83335000,-3112000,581871000,581871000,-128090000,453781000,453781000,453781000,453781000,8695500000,0.19234,0.04367,0.02965,0.88371,0.87474,29.80159
"42","2020_Q3",54.72359375,"Up",15025042000,-12196643000,2828399000,-2275906000,552493000,-75955000,-76762000,806999.999999993,476538000,476538000,-93128000,383410000,383410000,383410000,383410000,8886570000,0.18825,0.03677,0.02552,0.75186,0.74379,29.46397
"43","2020_Q4",65.1328125,"Up",13698699000,-11134459000,2564240000,-2503966000,60274000,-89054000,-83854000,-5200000,-28780000,-28780000,25483000,-3297000,-3297000,-3297000,-3297000,10855161000,0.18719,0.0044,-0.00024,-0.00648,-0.00643,26.92644
"44","2021_Q1",73.8668852459016,"Up",8866564000,-7300909000,1565655000,-2097235000,-531580000,-204665000,-164269000,-40396000,-736245000,-736245000,117826000,-618419000,-618419000,-618419000,-618419000,14446879000,0.17658,-0.05995,-0.06975,-1.21665,-1.21448,17.44369
"45","2021_Q2",77.3903174603175,"Up",11777379000,-9557534000,2219845000,-1800266000,419579000,-160841000,-146717000,-14124000,258738000,258738000,-41838000,216900000,216900000,216900000,216900000,13748816000,0.18848,0.03563,0.01842,0.42602,0.42468,23.13248
"46","2021_Q3",73.54890625,"Down",16320203000,-13429053000,2891150000,-2446241000,444909000,-232223000,-242899000,10676000,212686000,212686000,-45245000,167441000,167441000,167441000,167441000,13838141000,0.17715,0.02726,0.01026,0.32831,0.32656,31.99997
"47","2021_Q4",74.6540625,"Up",7063368000,-5733392000,1329976000,-1326906000,3070000,-31784000,-49372000,17588000,-28714000,-28714000,17489000,-11225000,-11225000,-11225000,-11225000,12706732000,0.18829,0.00043,-0.00159,-0.02203,-0.02193,13.86151
"48","2022_Q1",78.85,"Up",17732360000,-14271667000,3460693000,-3578746000,-118053000,-31273000,30768000,-62041000,-149326000,-149326000,-8315000,-157641000,-157641000,-157641000,-157641000,11083107000,0.19516,-0.00666,-0.00889,-0.30936,-0.30805,34.79887
"49","2022_Q2",82.2046774193548,"Up",16456546000,-13484838000,2971708000,-2340026000,631682000,-124962000,-128214000,3252000,506720000,506720000,-128707000,378013000,378013000,378013000,378013000,11145585000,0.18058,0.03838,0.02297,0.73969,0.73461,32.20179
"50","2022_Q3",82.20265625,"Down",16320203000,-13429053000,2891150000,-2446241000,444909000,-232223000,-242899000,10676000,212686000,212686000,-45245000,167441000,167441000,167441000,167441000,11089371000,0.17715,0.02726,0.01026,0.32764,0.3254,31.935
