"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",50.9437096774194,"Down",142850000,-44203000,98647000,-59054000,-12470000,-46584000,39593000,-17092000,-17092000,22501000,-2.3283064365387e-10,22501000,22501000,18305000,-828000,17477000,-6831000,10646000,94904000,94904000,10124000,10124000,44863000,44863000,149891000,6300027000,107808000,407291000,407291000,6815126000,6965017000,416253000,376785000,39468000,719350000,1135603000,2312794000,2312794000,3448397000,3095619000,-19729000,3455890000,60730000,3516620000,6965017000,18305000,48173000,9712000,7773000,83963000,-112312000,-124000,79000,-115664000,-39122000,38158000,61058000,61058000,-12458000,47636000,15935000,15935000,-1968000,13967000,87766000,3032144000,0.69056,0.27716,0.07453,0.00303,0.00153,0.13199,0.9806,0.43534,0.17071,0.17071,2.29058,49.32156,0.62732,0.0076,3.67481,33.46672,74.18584
"12","2013_Q1",52.9065,"Up",150343000,-45998000,104345000,-59198000,-12622000,-46576000,45147000,-17944000,-17944000,27203000,-2050000,25153000,25153000,28807000,-1012000,27795000,-6795000,2.1e+07,140971000,140971000,8449000,8449000,39947000,39947000,189367000,6424578000,115048000,421123000,421123000,6960749000,7150116000,465109000,423708000,41401000,716144000,1181253000,2465805000,2465805000,3647058000,3086684000,-24833000,3441851000,61207000,3503058000,7150116000,28807000,48072000,-798000,1962000,78043000,-142964000,-1658000,2076000,-149705000,-40226000,144811000,-553000.000000015,-553000.000000015,14624000,118656000,46994000,46994000,-927000,46067000,93219000,3181949000,0.69405,0.30029,0.13968,0.00599,0.00294,0.16031,1.04111,0.44502,0.33278,0.33279,2.38246,48.52071,0.63746,0.00916,1.91552,32.62187,67.35726
"13","2013_Q2",52.38515625,"Down",150083000,-45186000,104897000,-57477000,-11648000,-45829000,47420000,-18020000,-18020000,29400000,-1635995.92226408,29400000,29400000,30237000,-982000,29255000,-6813000,22442000,87001000,87001000,9261000,9261000,30008000,30008000,126270000,6375182000,123543000,465924000,465924000,6964649000,7090919000,411108000,367153000,43955000,730714000,1141822000,2453816000,2453816000,3595638000,3076493000,-22890000,3433603000,61678000,3495281000,7090919000,30237000,46995000,668000,-30659000,47241000,-59042000,-2074000,-17000,-69524000,-42158000,2466000,381309045.943326,381309045.943326,8183000,-31509000,-53792000,-53792000,-178000,-53970000,94415000,3184530000,0.69893,0.31596,0.14953,0.00642,0.00316,0.11059,1.02871,0.4491,0.35531,0.35531,2.3762,48.34634,0.66747,0.00967,1.87853,32.80759,65.32115
"14","2013_Q3",49.3615625,"Down",153930000,-46277000,107653000,-58799000,-12455000,-46344000,48854000,-15978000,-15978000,32876000,-560000,32316000,32316000,33337000,-980000,32357000,-6874000,25483000,302205000,302205000,7577000,7577000,30914000,30914000,340696000,6453379000,122605000,462609000,462609000,7038593000,7379289000,420390000,368249000,52141000,711029000,1131419000,2248395000,2248395000,3379814000,3597187000,-39565000,3937622000,61853000,3999475000,7379289000,33337000,46580000,-3602000,20585000,96900000,-138070000,-2815000,-9165000,-146948000,-44716000,-228478000,534469000,534469000,5759000,267034000,216986000,216986000,-1782000,215204000,95434000,2959424000,0.69936,0.31738,0.16555,0.00637,0.00345,0.30112,0.84506,0.40104,0.38037,0.38037,2.29763,53.1028,0.66745,0.01009,1.75474,27.84353,54.39102
"15","2013_Q4",48.58640625,"Down",158315000,-47684000,110631000,-60532000,-11666000,-48866000,50099000,-16171000,-16171000,33928000,-1432000,32496000,32496000,32453000,-960000,31493000,-6914000,24579000,53839000,53839000,8671000,8671000,30654000,30654000,93164000,6613761000,129163000,522281000,522281000,7265205000,7358369000,506552000,452139000,54413000,708653000,1215205000,2162190000,2162190000,3377395000,3579054000,-40026000,3919028000,61946000,3980974000,7358369000,32453000,49102000,2245000,8435000,92235000,-151213000,-8992000,-9644000,-174645000,-52907000,-85612000,1217000,1217000,-31366000,-168668000,-251078000,-251078000,2712000,-248366000,99201000,2870843000,0.6988,0.31645,0.15525,0.00617,0.00334,0.0766700000000001,0.84838,0.39015,0.34636,0.34636,2.23092,49.87075,0.74555,0.01131,2.15253,28.39693,56.22875
"16","2014_Q1",53.705737704918,"Up",168823000,-49892000,118931000,-60835000,-12751000,-48084000,58096000,-17783000,-17783000,40313000,4.65661287307739e-10,40313000,40313000,44222000,-1110000,43112000,-6865000,36247000,57696000,57696000,9918000,9918000,27709000,27709000,95323000,6776914000,140288000,517239000,517239000,7434441000,7529764000,489762000,435342000,54420000,708831000,1198593000,2352230000,2352230000,3550823000,3572993000,-36204000,3916789000,62152000,3978941000,7529764000,44222000,48101000,-6357000,-9615000,76351000,-91096000,-4106000,-95588000,-200258000,-55180000,190071000,-1216999.99999994,-1216999.99999994,-2961000,130713000,6806000,6806000,-2949000,3857000,106197000,3061061000,0.70447,0.34412,0.2147,0.00911,0.00481,0.07953,0.8924,0.40653,0.51029,0.51029,2.37672,49.79149,0.77683,0.01299,1.52233,28.28107,51.69659
"17","2014_Q2",57.9319047619048,"Up",176186000,-52507000,123679000,-63645000,-13224000,-50421000,60034000,-19123000,-19123000,40911000,0,40911000,40911000,40749000,-1195000,39554000,-6845000,32709000,74970000,74970000,10619000,10619000,30454000,30454000,116043000,6930262000,169322000,540412000,540412000,7639996000,7756039000,499753000,443893000,55860000,597511000,1097264000,2654270000,2654270000,3751534000,3561165000,-18429000,3922736000,81769000,4004505000,7756039000,40749000,50421000,-6704000,-11207000,73259000,-111587000,-747000,-42478000,-162719000,-55185000,142186000,34827401.1247813,34827401.1247813,19473000,106474000,17014000,17014000,260000,17274000,110455000,3251781000,0.70198,0.34074,0.18565,0.00817,0.00422,0.10576,0.93683,0.41926,0.46022,0.46022,2.47894,49.84644,0.77646,0.01211,1.68715,28.76113,52.91686
"18","2014_Q3",60.66921875,"Up",176402000,-52353000,124049000,-71150000,-13836000,-57314000,52899000,-17433000,-17433000,35466000,4.65661287307739e-10,35466000,35466000,36116000,-1307000,34809000,-6877000,27932000,61701000,61701000,10654000,10654000,24519000,24519000,96874000,7030117000,174802000,513856000,513856000,7718775000,7815649000,491905000,434528000,57377000,615551000,1107456000,2719310000,2719310000,3826766000,3543047000,-16245000,3906802000,82081000,3988883000,7815649000,36116000,57314000,-8402000,-13796000,71232000,-81337000,-658000.000000004,-19806000,-110458000,-56625000,83149000,0,0,-1144000,25380000,-13846000,-13846000,577000,-13269000,110213000,3334861000,0.70322,0.29988,0.15834,0.007,0.00357,0.08747,0.95936,0.42669,0.39271,0.39271,2.48013,49.58527,0.79612,0.01155,2.02724,29.69849,61.87565
"19","2014_Q4",65.8028125,"Up",185615000,-57423000,128192000,-70997000,-12609000,-58388000,57195000,-20555000,-20555000,36640000,-525000,36115000,36115000,35943000,-1340000,34603000,-6977000,27626000,67023000,67023000,10830000,10830000,24245000,24245000,102098000,7197630000,177577000,543009000,543009000,7918216000,8020314000,562084000,504535000,57549000,636825000,1198909000,2864290000,2864290000,4063199000,3523909000,-28711000,3875198000,81917000,3957115000,8020314000,35943000,58388000,-5314000,21616000,110633000,-123772000,-66120000,-6233000,-201162000,-58144000,166290000,0,0,-10020000,98126000,7597000,7597000,-2275000,5322000,115583000,3501115000,0.69063,0.30814,0.14883,0.00698,0.00344,0.08516,1.02681,0.43653,0.38803,0.38803,2.60714,49.09331,0.81669,0.0115,2.10468,29.71105,60.04182
"20","2015_Q1",76.5077049180328,"Up",188674000,-56881000,131793000,-71834000,-13861000,-57973000,59959000,-21634000,-22188000,38325000,-51675000,-13350000,-13350000,-6029999.99999999,-1362000,-7392000,-8762000,-16154000,86011000,86011000,10548000,10548000,26884000,26884000,123443000,7108610000,236389000,667594000,550188000,8012593000,8136036000,547899000,489085000,58814000,652209000,1200108000,3026370000,3026370000,4226478000,3461904000,-628000,3828439000,81119000,3909558000,8136036000,-6029999.99999999,57973000,45966000,-18708000,79201000,-99497000,-3233000,-38104000,-160490000,-58317000,177447000,0,0,-17798000,101332000,20043000,20043000,-1055000,18988000,117932000,3678579000,0.69852,0.31779,-0.08562,-0.00413,-0.00199,0.10286,1.08106,0.45213,-0.22661,-0.22661,2.64672,48.55478,0.81807,0.00556,-3.61007,30.46305,59.91708
"21","2015_Q2",74.1796825396825,"Down",196753000,-61223000,135530000,-73307000,-14387000,-58920000,62223000,-22662000,-23236000,39561000,-14510000,25051000,25051000,25008000,-492000,24516000,-6730000,17786000,90641000,90641000,10627000,10627000,56704000,56704000,157972000,7388059000,283062000,576128000,576128000,8247249000,8405221000,704443000,645619000,58824000,760476000,1464919000,3143450000,3143450000,4608369000,3384172000,29213000,3780548000,16304000,3796852000,8405221000,25008000,58920000,9984000,12929000,106841000,-37016000,-2539000,-117724000,-170052000,-59542000,138651000,0,0,-11438000,67671000,4460000,4460000,170000,4630000,121143000,3903926000,0.68883,0.31625,0.0904,0.00468,0.00212,0.10784,1.21373,0.46446,0.24922,0.24922,2.75696,47.82929,0.83432,0.01004,3.34769,31.47755,61.28417
"22","2015_Q3",72.51015625,"Down",204156000,-62250000,141906000,-77160000,-14989000,-62171000,64746000,-26127000,-26668000,38619000,-189000,38430000,38430000,38430000,-263000,38167000,-6876000,31291000,68617000,68617000,9279000,9279000,44191000,44191000,122087000,7442875000,360614000,599315000,599315000,8402804000,8524891000,592806000,531612000,61194000,771435000,1364241000,3321531000,3321531000,4685772000,3371733000,83980000,3822876000,16243000,3839119000,8524891000,38430000,62171000,-7489000,-48553000,44559000,-96831000,-642999.999999998,-31023000,-145988000,-59554000,189141000,5052000,5052000,-55191000,79448000,-21981000,-21981000,-43000,-22024000,126917000,4092966000,0.69509,0.31714,0.15327,0.00815,0.00367,0.08949,1.22053,0.48012,0.43818,0.43818,2.85885,48.39121,0.83395,0.01145,1.90323,31.70851,62.15595
"23","2015_Q4",73.5365625,"Up",218610000,-68846000,149764000,-83096000,-15143000,-67953000,66668000,-26969000,-27679000,39699000,0,39699000,39699000,39699000,-170000,39529000,-6870000,32659000,76383000,76383000,10124000,10124000,36993000,36993000,123500000,7654209000,330570000,629065000,629065000,8613844000,8737344000,647934000,586594000,61340000,773619000,1421553000,3540613000,3540613000,4962166000,3356761000,35238000,3759162000,16016000,3775178000,8737344000,39699000,67953000,-7411000,-5230000,95011000,-135913000,-4797000,-102629000,-241450000,-61924000,221366000,0,0,-4923000,154519000,8080000,8080000,-314000,7766000,134621000,4314232000,0.68507,0.30496,0.14939,0.00865,0.00374,0.08688,1.31442,0.49377,0.45677,0.45677,3.05748,47.44055,0.86607,0.01169,1.89608,31.47985,63.56646
"24","2016_Q1",66.8131147540984,"Down",223955000,-68913000,155042000,-87347000,-15102000,-72245000,67695000,-28404000,-28230000,39291000,3686000,42977000,42977000,42977000,-972000,42005000,-6874000,35131000,125098000,125098000,10485000,10485000,28872000,28872000,164455000,7629922000,353465000,733175000,605963000,8716562000,8881017000,651361000,589356000,62005000,809818000,1461179000,3125874000,3125874000,4587053000,3558733000,49191000,3975087000,318877000,4293964000,8881017000,42977000,72245000,-10247000,-8774999.99999999,96200000,-164647000,-1048000,1224000,-164905000,-62070000,-348347000,73411000,73411000,454494000,117488000,48783000,48783000,-68000,48715000,139940000,3935692000,0.69229,0.30227,0.15687,0.00818,0.00396,0.11255,1.06826,0.44316,0.48903,0.48903,3.1175,50.22306,0.86403,0.01181,1.76682,27.2302,56.29063
"25","2016_Q2",79.01,"Up",216089000,-65837000,150252000,-86054000,-15188000,-70866000,64198000,-25252000,-24855000,38946000,-28980000,9966000,9966000,9966000,-4030000,5936000,-9754000,-3818000,146197000,146197000,9979000,9979000,14885000,14885000,171061000,7741466000,316163000,742842000,615677000,8800471000,8971532000,692742000,628467000,64275000,816578000,1509320000,3274921000,3274921000,4784241000,3530389000,-8533000,3865720000,321571000,4187291000,8971532000,9966000,70866000,25147000,-4197000,101782000,-159501000,-449000,0,-171122000,-62737000,154265000,25278000,25278000,-26026000,90780000,21440000,21440000,-341000,21099000,135064000,4091499000,0.69532,0.29709,-0.01767,-0.000909999999999999,-0.00043,0.11334,1.14256,0.45605,-0.0526,-0.0526,2.97709,48.52111,0.86434,0.00712,-16.4319,29.21061,61.45522
"26","2016_Q3",90.87171875,"Up",226076000,-67325000,158751000,-85553000,-15384000,-70169000,73198000,-25171000,-25025000,48027000,-156143000,-108116000,-108116000,-108116000,-3500000,-111616000,-16032000,-127648000,2.56e+08,2.56e+08,9196000,9196000,13131000,13131000,278327000,7774608000,360050000,731845000,599412000,8866503000,9144830000,660816000,593628000,67188000,722794000,1383610000,3393743000,3393743000,4777353000,3694573000,8272000,4021709000,345768000,4367477000,9144830000,-108116000,70169000,161580000,-53307000,70326000,-186655000,-5497000,8961000,-202842000,-64938000,30893000,342524000,342524000,-65700000.0000001,242779000,110263000,110263000,-460000,109803000,143367000,4116537000,0.7022,0.32378,-0.56462,-0.02923,-0.01396,0.20116,1.09385,0.45015,-1.71757,-1.71757,3.04197,49.82367,0.87377,-0.00739,-0.50873,26.92765,52.74102
"27","2016_Q4",90.1790476190476,"Down",230379000,-72002000,158377000,-92987000,-15854000,-77133000,65390000,-25577000,-25850000,39813000,-11344000,28469000,28469000,28559000,-4084000,24475000,-19023000,5452000,157928000,157928000,9635000,9635000,16406000,16406000,183969000,7939179000,320989000,849764000,716184000,9109932000,9293901000,671886000,605181000,66705000,789450000,1461336000,3539644000,3539644000,5000980000,3650031000,-31745000,3910078000,382843000,4292921000,9293901000,28559000,77133000,4026000,10025000,119743000,-265080000,-978000,-73013000,-341337000,-67778000,209680000,0,0,-17741000,124161000,-97433000,-97433000,-639000,-98072000,142523000,4329094000,0.68746,0.28384,0.02367,0.00127,0.000590000000000002,0.12589,1.16494,0.4658,0.07113,0.07044,3.00556,47.20468,0.88424,0.00849,12.43177,29.26662,63.78905
"28","2017_Q1",95.6258064516129,"Up",249162000,-73244000,175918000,-112680000,-17458000,-95222000,63238000,-31137000,-31223000,32101000,-12309000,19792000,19792000,19792000,-4488000,15304000,-40431000,-25127000,125032000,125032000,9744000,9744000,16334000,16334000,151110000,9077972000,342477000,783329000,733108000,10203778000,10354888000,808585000,731671000,76914000,1011292000,1819877000,3152733000,3152733000,4972610000,4673527000,5355000,4895796000,486482000,5382278000,10354888000,19792000,95222000,-3053999.99999999,-11310000,100650000,-87373000,-4605000,-659100000,-781327000,-67308000,-388737000,1064375000,1064375000,39471000,647801000,-32876000,-32876000,-20000,-32896000.0000001,158460000,4164025000,0.70604,0.2538,-0.10085,-0.00467,-0.00243,0.08303,0.92389,0.40213,-0.31075,-0.31367,3.08148,57.86542,0.83242,0.00442,-2.67871,25.48904,63.86971
"29","2017_Q2",99.2733333333333,"Up",270877000,-77087000,193790000,-116412000,-19229000,-97183000,77378000,-29423000,-29784000,47955000,-4e+05,47555000,47555000,47555000,-5844000,41711000,-16050000,25661000,151209000,151209000,9979000,9979000,18320000,18320000,179508000,9470667000,394471000,823980000,773523000,10689118000,10868626000,861613000,782637000,78976000,1083758000,1945371000,3346928000,3476928000,5422299000,4856585000,21460000,4952431000,493896000,5446327000,10868626000,47555000,97183000,-33416000,-3858000,107464000,-215646000,0,-214443000,-468356000,-77322000,268956000,217759000,217759000,-22509000,386884000,25992000,25992000,185000,26177000,174561000,4430686000,0.71542,0.28566,0.09473,0.00471,0.00236,0.09227,0.99559,0.40766,0.29112,0.29094,3.07301,55.33989,0.87719,0.01029,3.01321,24.51565,55.30612
"30","2017_Q3",103.184285714286,"Up",273059000,-76980000,196079000,-123332000,-19234000,-104098000,72747000,-31159000,-31748000,41588000,-203000,41385000,41385000,41496000,-7275000,34221000,-2591000,31630000,124877000,124877000,8393000,8393000,20002000,20002000,153272000,9819413000,424920000,848062000,789979000,11092395000,11245667000,815791000,734189000,81602000,1127348000,1943139000,3648037000,3648037000,5591176000,5060101000,22677000,5157164000,497327000,5654491000,11245667000,41496000,104098000,-15380000,-13932000,116282000,-217203000,-162999.999999996,-265650000,-513364000,-78989000,343417000,241848000,241848000,-132405000,373871000,-23211000,-23211000,547000,-22664000,176845000,4775385000,0.71808,0.26641,0.11584,0.00559,0.00281,0.07888,0.9888,0.42464,0.35061,0.34856,3.02676,56.34072,0.87556,0.01061,2.49728,26.29709,63.92714
