"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",93.7161290322581,"Down",352634000,-60287000,292347000,-182347000,-135362000,-46985000,1.1e+08,1713000,1713000,111713000,111713000,-39377000,72336000,72336000,72336000,72336000,519657000,195607000,324050000,193705000,193705000,17038000,52487000,43785000,782887000,54257000,587342000,413580000,347901000,34942000,30737000,1055179000,1838066000,101715000,32007000,69708000,344925000,344925000,446640000,109258000,88944000,20314000,109258000,555898000,349411000,938590000,-5833000,1282168000,1282168000,1838066000,72336000,10052000,24648000,23537000,588000,523000,6363000,-10090000,-14000,16467000,113399000,-5726000,-5726000,-5726000,-89751000,208339000,-298090000,-95482000,-35151000,14849000,-5e+07,-31181000,-13264000,-13264000,-588000,-13852000,120052000,0,160066000,0.82904,0.31194,0.20513,0.05642,0.03935,2.21281,1.75284,0.43356,0,0.91408,0.90812,4.45611,16.20229,2.0227,0.05199,0.11504,-4.3286,-4.72415
"12","2013_Q1",97.3701666666667,"Up",362559000,-62681000,299878000,-188044000,-140313000,-47731000,111834000,909000,909000,112743000,112743000,-45026000,67717000,67717000,67717000,67717000,532151000,211181000,320970000,185172000,185172000,17410000,41348000,30986000,776081000,59604000,662803000,412713000,348239000,35478000,28996000,1135120000,1911201000,113435000,27026000,86409000,352594000,352594000,466029000,115772000,94694000,21078000,115772000,581801000,326922000,1006307000,-3829000,1329400000,1329400000,1911201000,67717000,10152000,23612000,26343000,-3236000,505000,47074000,8022000,-373000,39425000,148555000,-11323000,-11323000,-11323000,-73844000,205516000,-279360000,-85156000,-49768000,232000.000000004,-5e+07,-48823000,14576000,14576000,998000,15574000,121986000,-4.13590306276514e-25,202763000,0.82712,0.30846,0.18678,0.05094,0.03543,2.99427,1.66531,0.43764,-9.62964972193618e-35,0.85743,0.84786,4.59069,16.83275,2.56737,0.04686,0.1403,-4.36239,-4.7584
"13","2013_Q2",76.95484375,"Down",365451000,-60885000,304566000,-195482000,-146941000,-48541000,109084000,1550000,1550000,110634000,110634000,-41141000,69493000,69493000,69493000,69493000,517737000,184563000,333174000,209078000,209078000,18723000,46251000,35916000,791789000,62026000,771300000,412537000,348239000,36234000,28064000,1245863000,2037652000,149634000,32221000,117413000,379944000,379944000,529578000,121775000,100612000,21163000,121775000,651353000,315039000,1075800000,-4540000,1386299000,1386299000,2037652000,69493000,9934000,25820000,26710000,-1265000,375000,39559000,-24256000,-1313000,65128000,144806000,-7788000,-7788000,-7788000,-124901000,188213000,-313114000,-133417000,-38417000,11583000,-5e+07,-37914000,-26525000,-26525000,-93000,-26618000,119018000,0,191930000,0.8334,0.29849,0.19016,0.05013,0.0341,2.76186,1.49513,0.46985,0,0.88201,0.87657,4.63835,17.59508,2.436,0.04608,0.12727,-4.35007,-4.74622
"14","2013_Q3",85.01265625,"Up",350232000,-60302000,289930000,-197454000,-144920000,-52534000,92476000,2118000,2118000,94594000,94594000,-31182000,63412000,63412000,63412000,63412000,522848000,229662000,293186000,192796000,192796000,17963000,70817000,60239000,804424000,63182000,662822000,535481000,447799000,31165000,56517000,1261485000,2065909000,124066000,39100000,84966000,396678000,396678000,520744000,116986000,93980000,23006000,116986000,637730000,294875000,1139212000,-5908000,1428179000,1428179000,2065909000,63412000,9979000,27548000,27610000,-48000,-14000,-20277000,16054000,760000,-37091000,80662000,-6981000,-6981000,-6981000,145235000,279099000,-133864000,13335000,-49543000,457000,-5e+07,-47651000,46346000,46346000,-1247000,45099000,102455000,-6.61744490042422e-24,106379000,0.82782,0.26404,0.18106,0.0444,0.03069,1.67758,1.54476,0.44653,1.54074395550979e-33,0.80676,0.80153,4.45582,18.16999,1.35341,0.04104,0.06885,-5.1032,-5.65388
"15","2013_Q4",85.18296875,"Up",370302000,-64917000,305385000,-201308000,-147233000,-54075000,104077000,2874000,2874000,106951000,106951000,-38773000,68178000,68178000,68178000,68178000,551325000,198280000,353045000,205138000,205138000,18260000,59586000,48969000,834309000,63720000,714331000,535443000,447799000,33085000,54559000,1313494000,2147803000,118471000,28691000,89780000,411477000,411477000,529948000,129669000,108278000,21391000,129669000,659617000,290143000,1207390000,-9347000,1488186000,1488186000,2147803000,68178000,9792000,25606000,27861000,-2288000,33000,22654000,-12348000,-297000,35299000,126230000,-6665000,-6665000,-6665000,-117339000,180240000,-297579000,-123988000,-32635000,17365000,-5e+07,-31374000,-29132000,-29132000,-2250000,-31382000,113869000,0,168631000,0.82469,0.28106,0.18411,0.04581,0.03174,2.47339,1.57432,0.44324,0,0.86833,0.8645,4.71626,18.95392,2.14773,0.04214,0.10423,-4.84175,-5.29728
"16","2014_Q1",105.800327868852,"Up",395329000,-66943000,328386000,-200812000,-146348000,-54464000,127574000,732000,732000,128306000,125913000,-49682000,76231000,76231000,76231000,76231000,542143000,189693000,352450000,204205000,204205000,19026000,50997000,34655000,816371000,63522000,728981000,621680000,523727000,22389000,75564000,1414183000,2230554000,129921000,37313000,92608000,421429000,421429000,551350000,140492000,109944000,25202000,140492000,691842000,262505000,1283621000,-7414000,1538712000,1538712000,2230554000,76231000,10300000,26550000,22031000,4075000,444000,34914000,1683000.00000001,-767000,33998000,147995000,-5149000,-5149000,-5149000,-15628000,178386000,-194014000,-108400000,-49814000,186000,-5e+07,-49379000,-9784000,-9784000,1197000,-8587000,137874000,-5.29395592033938e-23,217321000,0.83067,0.3227,0.19283,0.04954,0.03418,2.85082,1.48068,0.44962,0,0.97291,0.96144,5.04542,19.63795,2.77358,0.0454,0.12942,-3.93216,-4.24964
"17","2014_Q2",107.62619047619,"Up",406452000,-72883000,333569000,-224436000,-160303000,-64133000,109133000,246000,246000,109379000,109379000,-41331000,68048000,68048000,68048000,68048000,578191000,231328000,346863000,220784000,220784000,19051000,52917000,32387000,870943000,62157000,657018000,624721000,523727000,25714000,75280000,1343896000,2214839000,163867000,38151000,125716000,450104000,450104000,613971000,146798000,117622000,24176000,146798000,760769000,109949000,1351669000,-7548000,1454070000,1454070000,2214839000,68048000,11437000,26935000,34528000,-8702000,1109000,52506000,-17746000,-25000,70277000,158926000,-4980000,-4980000,-4980000,75152000,222686000,-147534000,70166000,-186812000,13188000,-2e+08,-186630000,42462000,42462000,-827000,41635000,120570000,0,209427000,0.82068,0.2685,0.16742,0.0468,0.03072,3.07764,1.41854,0.5232,0,0.87874,0.87441,5.24874,18.77722,2.70445,0.04251,0.13082,-4.79548,-5.29804
"18","2014_Q3",117.4690625,"Up",420043000,-75662000,344381000,-233517000,-166285000,-67232000,110864000,23000,23000,110887000,110887000,-41246000,69641000,69641000,69641000,69641000,623760000,239836000,383924000,223472000,223472000,20710000,82477000,58753000,950419000,61608000,541172000,613001000,517611000,22834000,72556000,1215781000,2166200000,136441000,40371000,96070000,461402000,461402000,597843000,153418000,126328000,22661000,153418000,751261000,21320000,1400860000,-7241000,1414939000,1414939000,2166200000,69641000,11241000,41228000,35636000,5211000,381000,-40143000,-3131000,-1659000,-35353000,81967000,-5139000,-5139000,-5139000,75746000,217733000,-141987000,70639000,-149271000,728999.999999998,-1.5e+08,-144645000,7960999.99999999,7960999.99999999,547000,8508000,122105000,0,118069000,0.81987,0.26393,0.16579,0.04922,0.03215,1.69539,1.58975,0.53095,1.97215226305253e-31,0.9223,0.9134,5.56289,18.73893,1.56366,0.0444,0.07528,-5.10839,-5.62635
"19","2014_Q4",124.65546875,"Up",440285000,-79462000,360823000,-234744000,-167718000,-67026000,126079000,1193000,1193000,127272000,127272000,-47799000,79473000,79473000,79473000,79473000,611363000,241973000,369390000,243072000,243072000,23143000,67545000,44647000,945123000,62650000,508581000,659131000,556957000,25285000,76889000,1230362000,2175485000,130844000,36399000,94445000,480376000,480376000,611220000,163551000,137062000,22377000,163551000,774771000,18712000,1388836000,-6834000,1400714000,1400714000,2175485000,79473000,11377000,31375000,31833000,-898000,440000,16009000,-20087000,-2433000,38529000,138234000,-5517000,-5517000,-5517000,44497000,142123000,-97626000,-10480000,-129212000,21330000,-150542000,-125865000,1889000,1889000,248000,2137000,137456000,0,195747000,0.81952,0.28636,0.1805,0.05674,0.03653,2.46306,1.54629,0.55313,0,1.0623,1.05445,5.88522,18.72312,2.61652,0.05081,0.12514,-4.4477,-4.84905
"20","2015_Q1",117.669180327869,"Down",465266000,-81952000,383314000,-235833000,-170432000,-65401000,147481000,2323000,2323000,149804000,149804000,-55783000,94021000,94021000,94021000,94021000,645379000,281502000,363877000,242242000,242242000,24471000,86756000,44466000,998848000,66791000,482917000,636394000,556957000,4434000,75003000,1186102000,2184950000,152544000,43772000,108772000,484437000,484437000,636981000,178659000,152312000,22718000,178659000,815640000,15753000,1363141000,-9584000,1369310000,1369310000,2184950000,94021000,12066000,27203000,25159000,1299000,745000,36575000,69000.0000000075,-1328000,37834000,169865000,-7082000,-7082000,-7082000,27344000,155934000,-128590000,20316000,-149948000,52000.0000000075,-1.5e+08,-147820000,42361000,42361000,-2832000,39529000,159547000,1.35525271560688e-20,244823000,0.82386,0.31698,0.20208,0.06866,0.04303,2.60392,1.5681,0.59566,-3.15544362088405e-30,1.27362,1.25473,6.30254,18.54881,3.3164,0.06074,0.15816,-4.04507,-4.37601
"21","2015_Q2",122.948095238095,"Up",462793000,-79348000,383445000,-251130000,-181070000,-70060000,132315000,2594000,2594000,134909000,134909000,-45833000,89076000,89076000,89076000,89076000,654104000,268954000,385150000,255864000,255864000,27582000,89307000,44344000,1026857000,66636000,512538000,630393000,556957000,1217000,72219000,1209567000,2236424000,173908000,41223000,132685000,521716000,521716000,695624000,185023000,158554000,23316000,185023000,880647000,5105000,1362712000,-12040000,1355777000,1355777000,2236424000,89076000,13042000,31208000,30625000,231000,352000,53069000,-13967000,-3111000,70147000,186395000,-11324000,-11324000,-10319000,-54261000,123675000,-177936000,-65542000,-133407000,16573000,-149980000,-130769000,-9916000,-9916000,-2632000,-12548000,145357000,0,232935000,0.82855,0.28591,0.19247,0.0657,0.03983,2.61501,1.47617,0.64955,0,1.2144,1.20606,6.30938,18.48367,3.17566,0.05781,0.15118,-4.49998,-4.94354
"22","2015_Q3",122.43875,"Down",472143000,-82596000,389547000,-256692000,-182171000,-74521000,132855000,3266000,3266000,136121000,136121000,-50392000,85729000,85729000,85729000,85729000,666467000,367605000,298862000,262624000,262624000,29343000,93690000,48858000,1052124000,68746000,467702000,632707000,556957000,1315000,74435000,1169155000,2221279000,153300000,34683000,118617000,544426000,544426000,697726000,202157000,176162000,23217000,202157000,899883000,20683000,1313937000,-13224000,1321396000,1321396000,2221279000,85729000,13212000,36269000,36777000,-1444000,936000,7086000.00000001,-7726000,-1761000,16573000,142296000,-15402000,-15402000,-10183000,130426000,207309000,-76883000,114637000,-156801000,82000,-156883000,-155253000,101680000,101680000,-3029000,98651000,146067000,0,188143000,0.82506,0.28139,0.18157,0.06488,0.03859,2.19462,1.50793,0.68101,5.04870979341448e-29,1.18672,1.17904,6.53576,18.29175,2.60442,0.05627,0.12349,-4.56275,-5.0165
"23","2015_Q4",108.10390625,"Down",483586000,-85659000,397927000,-257797000,-183460000,-74337000,140130000,720000,720000,140850000,140850000,-47678000,93172000,93172000,93172000,93172000,797707000,562180000,235527000,261068000,261068000,30026000,96707000,50214000,1185508000,83507000,361665000,631671000,556957000,3557000,71157000,1076843000,2262351000,164383000,48986000,115397000,553064000,553064000,717447000,217802000,189481000,25914000,217802000,935249000,5987000,1334470000,-13355000,1327102000,1327102000,2262351000,93172000,12971000,32438000,36517000,-3990000,-89000,33926000,1599000,-684000,33011000,172507000,-21213000,-21213000,-21213000,166453000,259317000,-92864000,145183000,-126229000,23771000,-1.5e+08,-123804000,193886000,193886000,689000,194575000,153101000,0,213492000,0.82287,0.28977,0.19267,0.07021,0.04118,2.29138,1.6524,0.70473,0,1.30294,1.29483,6.76259,18.55853,2.98553,0.06031,0.13819,-5.21033,-5.69262
"24","2016_Q1",95.8308196721311,"Down",501301000,-84658000,416643000,-269044000,-191379000,-77665000,147599000,1865000,1865000,149464000,149464000,-52427000,97037000,97037000,97037000,97037000,774342000,390460000,383882000,279434000,279434000,33717000,100647000,50519000,1188140000,95909000,397656000,630585000,555965000,6492000,68128000,1124150000,2312290000,181215000,50814000,130401000,573908000,573908000,755123000,240439000,209402000,30136000,240439000,995562000,10159000,1321857000,-15288000,1316728000,1316728000,2312290000,97037000,13358000,34837000,41634000,-7368000,571000,38111000,-18586000,-3690000,60387000,183343000,-19147000,-19147000,-18592000,-185874000,76318000,-262192000,-204977000,-149982000,13000,-149995000,-147076000,-168710000,-168710000,-3010000,-171720000,160957000,3.46944695195361e-18,232348000,0.83112,0.29443,0.19357,0.0737,0.04197,2.39443,1.57344,0.75609,8.07793566946316e-28,1.37296,1.35407,7.09284,18.63022,3.28746,0.06232,0.14921,-4.81086,-5.24626
"25","2016_Q2",107.51640625,"Up",489486000,-85683000,403803000,-272854000,-191709000,-81145000,130949000,1135000,1135000,132084000,132084000,-42368000,89716000,89716000,89716000,89716000,791502000,433297000,358205000,279158000,279158000,33571000,103902000,51061000,1208133000,99946000,383479000,624523000,555965000,664000,67894000,1107948000,2316081000,182999000,37556000,145443000,619584000,619584000,802583000,250970000,217962000,31100000,250970000,1053553000,16055000,1262983000,-16510000,1262528000,1262528000,2316081000,89716000,13763000,42794000,38233000,4237000,324000,57598000,-22000,146000,57474000,203871000,-16542000,-16542000,-13292000,35988000,143328000,-107340000,19485000,-181561000,18474000,-200035000,-180367000,42989000,42989000,-152000,42837000,144712000,0,228136000,0.82495,0.26752,0.18329,0.07106,0.03874,2.54287,1.50531,0.83448,0,1.28988,1.28389,7.0375,18.15177,3.27998,0.05928,0.15073,-5.4695,-6.04435
