"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",57.6290476190476,"Down",200741000,-145703000,55038000,-29143000,-21308000,-7835000,25895000,-1237000,-955000,-282000,24658000,24658000,-5460000,19198000,19198000,19198000,19198000,30127000,30127000,129624000,129624000,22624000,22624000,182375000,91266000,732876000,662380000,330000,6831000,824142000,1006517000,95873000,13626000,82247000,168668000,168668000,264541000,64298000,3435000,60863000,120079000,384620000,643854000,-13136000,-2791000,621897000,621897000,1006517000,19198000,7835000,6097000,875000,34005000,-2520000,-1322000,-3842000,972000,972000,-23028000,7135000,7135000,-290000,6845000,33730000,55781000,37545000,0.27417,0.129,0.09564,0.03087,0.01907,1.95567,0.6894,0.61846,0.05542,0.53779,0.5149,5.62331,17.42106,1.05174,0.02587,0.0506,0.76057,0.99069
"12","2019_Q3",75.55859375,"Up",214104000,-150312000,63792000,-28533000,-23556000,-4977000,35259000,-767000,-748000,-19000,34492000,34492000,-7037000,27455000,27455000,27455000,27455000,20098000,20098000,149860000,149860000,24386000,24386000,194344000,91558000,730959000,662427000,313000,7879000,822517000,1016861000,116295000,22691000,93604000,179778000,179778000,296073000,62733000,4599000,58134000,62733000,358806000,652143000,14319000,-2377000,658055000,658055000,1016861000,27455000,4977000,9582000,4616000,46630000,-3470000,30000,-3440000,2919000,2919000,-53519000,-10329000,-10329000,3e+05,-10029000,40236000,0,48419000,0.29795,0.16468,0.12823,0.04172,0.027,1.76358,0.65641,0.54525,6.93889390390723e-18,0.76592,0.73274,5.97288,18.35784,1.35075,0.03809,0.06718,-0.4995,-0.57001
"13","2019_Q4",77.39765625,"Up",216238000,-152070000,64168000,-34177000,-29120000,-5057000,29991000,-526000,-253000,-273000,29465000,29465000,-5488000,23977000,23977000,23977000,23977000,79290000,79290000,140189000,140189000,30918000,30918000,250397000,96194000,725738000,662427000,293000,5673000,821932000,1072329000,123219000,20684000,102535000,191173000,191173000,314392000,65930000,5578000,60352000,65930000,380322000,663404000,38296000,-3663000,692007000,692007000,1072329000,23977000,5057000,14527000,20731000,64292000,-6162000,30000,-6132000,1795000,1795000,1795000,59955000,59955000,-763000,59192000,35048000,0,55105000,0.29675,0.13869,0.11088,0.03465,0.02236,2.29824,0.79645,0.54959,0,0.66708,0.63487,6.01614,19.2529,1.53312,0.03163,0.0727,-2.26233,-2.64379
"14","2020_Q1",86.8133870967742,"Up",229886000,-167187000,62699000,-26581000,-21261000,-5320000,36118000,99000,388000,-289000,36217000,36217000,-6404000,29813000,29813000,29813000,29813000,131920000,131920000,155662000,155662000,29446000,29446000,317028000,47292000,778751000,662396000,376000,61629000,826043000,1143071000,131656000,22404000,109252000,211346000,211346000,343002000,73786000,12849000,60937000,73786000,416788000,666945000,68109000,-2741000,726283000,726283000,1143071000,29813000,5320000,12441000,9366000,56940000,-5760000,30000,-5730000,834000.000000002,834000,834000,52044000,52044000,586000,52630000,41438000,0,51448000,0.27274,0.15711,0.12969,0.04105,0.02608,1.72569,0.92427,0.57386,1.73472347597681e-18,0.82729,0.78906,6.37917,20.15381,1.42764,0.03726,0.0643,-3.18355,-3.65247
"15","2020_Q2",85.0920634920635,"Down",230879000,-165801000,65078000,-29574000,-25124000,-4450000,35504000,974000,357000,617000,36478000,36478000,-7524000,28954000,28954000,28954000,28954000,133999000,133999000,136374000,136374000,32629000,32629000,303002000,108682000,725950000,662427000,490000,10680000,834632000,1137634000,123990000,16985000,107005000,214661000,214661000,338651000,81184000,14022000,67162000,81184000,419835000,673727000,53831000,-3729000,717799000,717799000,1137634000,28954000,4450000,9193000,6551000,49148000,-5561000,39000,-5522000,-40445000,1331000,-40445000,3181000,3181000,-1102000,2079000,39954000,0,48468000,0.28187,0.15378,0.12541,0.04034,0.02545,1.67397,0.89473,0.58489,0,0.80374,0.76135,6.40903,19.92558,1.34544,0.03624,0.06066,-3.35383,-3.77419
"16","2020_Q3",115.62609375,"Up",204995000,-148358000,56637000,-26509000,-21855000,-4654000,30128000,234000,-5000,239000,30362000,30362000,-6258000,24104000,24104000,24104000,24104000,160903000,160903000,127286000,127286000,30893000,30893000,319082000,179520000,723532000,662427000,469000,10263000,903052000,1222134000,117829000,14879000,102950000,220155000,220155000,337984000,146081000,15341000,130740000,146081000,484065000,676975000,70347000,-3223000,738069000,738069000,1222134000,24104000,4654000,6951000,8558000,44267000,-9324000,9000,-9315000,-8405999.99999999,645000,-8406000,26546000,26546000,358000,26904000,34782000,-1.16415321826935e-10,40274000,0.27628,0.14697,0.11758,0.03266,0.01972,1.67084,0.94407,0.65585,-1.0842021724855e-19,0.68117,0.6457,5.79311,20.85766,1.13813,0.02726,0.04555,-4.62604,-5.34065
"17","2020_Q4",126.03953125,"Up",230373000,-156214000,74159000,-27737000,-22796000,-4941000,46422000,568000,-16000,584000,46990000,46990000,-5530000,41460000,41460000,41460000,41460000,219227000,219227000,134087000,134087000,41691000,41691000,395005000,181005000,720132000,662458000,477000,8774000,901137000,1296142000,132874000,15878000,116996000,225522000,225522000,358396000,146117000,19861000,126256000,146117000,504513000,687975000,111807000,-2123000,791629000,791629000,1296142000,41460000,4941000,10942000,2420000,59763000,-8669000,26000,-8643000,6777000,6777000,6777000,57897000,57897000,427000,58324000,51363000,0,50644000,0.32191,0.20151,0.17997,0.05237,0.03199,1.22151,1.10215,0.63731,0,1.16618,1.09726,6.47989,22.26679,1.4245,0.04421,0.05401,-4.26819,-4.72248
"18","2021_Q1",152.949672131148,"Up",259678000,-176826000,82852000,-27864000,-22381000,-5483000,54988000,-286000,-29000,-257000,54702000,54702000,-3836000,50866000,50866000,50866000,50866000,277766000,277766000,160962000,160962000,34923000,34923000,473651000,85017000,832009000,662396000,536000,122603000,917026000,1390677000,416583000,282216000,134367000,23527000,23527000,440110000,144788000,13551000,131237000,144788000,584898000,696259000,115229000,-131000,805779000,805779000,1390677000,50866000,5483000,421000,48728000,105498000,-7786000,52000.0000000002,-7734000,-40208000,7239000,-40208000,57556000,57556000,983000,58539000,60471000,0,105249000,0.31906,0.21175,0.19588,0.06313,0.03658,2.06914,1.07621,0.72588,0,1.4297,1.3497,7.29884,22.64824,2.95826,0.05351,0.11072,-4.59338,-5.05139
"19","2021_Q2",172.586031746032,"Up",259965000,-181538000,78427000,-30828000,-25738000,-5090000,47599000,910000,-14000,924000,48509000,48509000,-5203000,43306000,43306000,43306000,43306000,332877000,332877000,159997000,159997000,40506000,40506000,533380000,84504000,833476000,662396000,556000,125328000,917980000,1451360000,422763000,299155000,123608000,24543000,24543000,447306000,145127000,14876000,130251000,145127000,592433000,708236000,158535000,-2266000,858927000,858927000,1451360000,43306000,5090000,8020000,903000,57319000,-6507000,-3144000,-9651000,9102000,9102000,9102000,56770000,56770000,-1659000,55111000,52689000,0,52288000,0.30168,0.1831,0.16658,0.05042,0.02984,1.20741,1.19243,0.68974,0,1.21125,1.14721,7.27114,24.02391,1.46248,0.04313,0.05208,-6.31777,-6.99336
"20","2021_Q3",182.3884375,"Up",278293000,-203642000,74651000,-32203000,-26973000,-5230000,42448000,238000,-27000,265000,42686000,42686000,-2752000,39934000,39934000,39934000,39934000,339009000,339009000,173501217.847995,173501217.847995,211091000,49602000,550100000,86195000,833413000,662396000,540000,126560000,919608000,1469708000,451390000,305543000,145847000,21217000,21217000,472607000,145219000,16242000,128977000,145219000,617826000,716905000,142315000,-1760000,851882000,851882000,1469708000,39934000,5230000,8784000,8813000,62761000,-6008000,10999.9999999995,-5997000,-50779000,5098000,-50779000,5984999.99999999,5984999.99999999,147000,6132000,47678000,0,53235000,0.26825,0.15253,0.1435,0.04688,0.02717,1.33307,1.16397,0.72525,0,1.11694,1.05788,7.78377,23.82687,1.48897,0.04005,0.05339,-7.11039,-7.98645
"21","2021_Q4",209.39984375,"Up",295567000,-208474000,87093000,-33380000,-28046000,-5334000,53713000,1023000,-41000,1064000,54736000,54736000,-6162000,48574000,48574000,48574000,48574000,398387000,398387000,186378000,186378000,56455000,56455000,641220000,87703000,848220000,662396000,1272000,141913000,935923000,1577143000,487111000,328900000,158211000,30071000,30071000,517182000,161876000,17604000,144272000,161876000,679058000,721597000,184950000,-3243000,898085000,898085000,1577143000,48574000,5334000,8573000,9872000,72353000,-6640000,40000,-6600000,-5207000,1012000,-5207000,60546000,60546000,-1168000,59378000,59047000,0,68441000,0.29466,0.18173,0.16434,0.05409,0.0308,1.409,1.23983,0.75612,0,1.35621,1.29465,8.25237,25.06494,1.91091,0.04583,0.06457,-6.74695,-7.41696
"22","2022_Q1",164.880161290323,"Down",308552000,-220568000,87984000,-33129000,-27664000,-5465000,54855000,1066000,-23000,1089000,55921000,55921000,-5887000,50034000,50034000,50034000,50034000,461304000,461304000,186432000,186432000,43176000,43176000,690912000,93153000,875870000,662396000,25134000,146980000,969023000,1659935000,529605000,370319000,159286000,27612000,27612000,557217000,149790000,1080000,148710000,149790000,707007000,728217000,234984000,-4846000,952928000,952928000,1659935000,50034000,5465000,-31724000,47119000,70894000,-9116000,-1.16415321826935e-10,-9116000,2430999.99999999,2431000,2431000.00000001,64209000,64209000,-1292000,62917000,60320000,0,104210000,0.28515,0.17778,0.16216,0.05251,0.03014,2.08278,1.23993,0.74193,0,1.39697,1.33356,8.61492,26.60621,2.90959,0.04537,0.0945,-7.64761,-8.40952
"23","2022_Q2",144.764516129032,"Down",330947000,-232270000,98677000,-34474000,-29366000,-5108000,64203000,1121000,54000,1067000,65324000,65324000,-4013000,61311000,61311000,61311000,61311000,82843000,82843000,224759000,224759000,48367000,48367000,355969000,98529000,889848000,662396000,25809000,161121000,988377000,1344346000,547673000,392655000,155018000,31755000,31755000,579428000,159902000,1055000,158847000,159902000,739330000,746123000,-120812000,-6388000,605016000,605016000,1344346000,61311000,5108000,7776000,-27939000,46256000,-9257000,-1951000,-11208000,-412083000,13867000,-412083000,-377035000,-377035000,-1426000,-378461000,69311000,0,36128000,0.29817,0.194,0.18526,0.10134,0.04561,0.58926,0.61435,1.222,0,1.70408,1.62452,9.19834,16.80647,1.00414,0.08015,0.04723,-1.19524,-1.29033
"24","2022_Q3",159.5715625,"Up",351207000,-252211000,98996000,-38760000,-33215000,-5545000,60236000,1763000,-548000,2311000,61999000,61999000,-12639000,49360000,49360000,49360000,49360000,42551000.0000001,42551000.0000001,225695000,225695000,60641000,60641000,328887000,103538000,883028000,662396000,26441000,154507000,986566000,1315453000,574560000,401368000,173192000,54699000,54699000,878959000,153242000,1002000,152240000,153242000,1032201000,753300000,-446142000,-9972000,283252000,283252000,1315453000,49360000,5545000,9136000,32578000,96619000,-11200000,73000,-11127000,-373163000,1554000,-123463000,-37971000,-37971000,-2321000,-40292000.0000001,65781000,249700000,99798000,0.28187,0.17151,0.14054,0.17426,0.03752,2.02184,0.37418,3.64411,0.18982,1.5191,1.46491,10.8087,8.70781,3.07137,0.07193,0.14544,3.14907,3.43896
