"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"14","2014_Q1",17.8686885245902,"Down",120386000,-72818000,47568000,-12633000,-11115000,-1518000,34935000,-16760000,-16760000,18175000,39035000,-13326000,25709000,25709000,25709000,25709000,25709000,1851000,-19107000,23182000,31635000,-2219000,145019000,-4256000,-295368000,132358000,-167266000,9387999.99999988,9387999.99999988,13000,9400999.99999994,36786000,870885000,71075000,0.39513,0.29019,0.21355,2.7646,0.48017,0.47783,2.24844,1.32746,0.07949,0.16555
"15","2014_Q2",18.8988888888889,"Up",171194000,-112382000,58812000,-18575000,-16508000,-2067000,40237000,-9773000,-9773000,30464000,30464000,-10830000,19634000,19634000,19634000,19634000,19634000,5420000,2263000,-4210000,23107000,-1715000,-1715000,-15243000,-6750000,-2463000,-24456000,-3064000,-3064000,-9000,-3073000,45657000,0,50562000,0.34354,0.23504,0.11469,2.57523,0.36596,0.36558,3.19094,0.94244,0.28412,0.77636
"16","2014_Q3",17.20203125,"Down",160882000,-105185000,55697000,-19474000,-17318000,-2156000,36223000,-10030000,-10030000,26193000,-2285000,852000,-1433000,-1433000,-1433000,-1433000,-1433000,5599000,32656000,-18253000,18569000,-2895000,-17383000,-15329000,212834000,-12400000,185105000,186291000,186291000,-30000,186261000,41822000,-1.19209289550781e-07,19822000,0.3462,0.22515,-0.00890999999999999,-13.83252,-0.02671,-0.02668,2.99851,0.36944,0.2857,-10.69714
"17","2014_Q4",17.12859375,"Down",181350000,-120084000,61266000,-23656000,-21271000,-2385000,37610000,-11097000,-11097000,26513000,23700000,-8350000,15350000,15350000,15350000,15350000,15350000,5983000,10995000,-5111000,27217000,-3808000,-199225000,-15333000,-2488000,-306000,-18127000,-190135000,-190135000,27000,-190108000,43593000,0,43024000,0.33783,0.20739,0.08464,2.80287,0.28604,0.28551,3.37936,0.80173,0.28572,0.99889
"18","2015_Q1",17.5740983606557,"Up",334591000,-262595000,71996000,-44020000,-37936000,-6084000,27976000,-15673000,-15673000,12303000,11898000,-4493000,7405000,7405000,7405000,7405000,7405000,10432000,8273000,4123000,30233000,-10607000,45021000,-26464000,-49096000,4657000,-70903000,4351000.00000006,4351000.00000006,-48000,4303000,38408000,870885000,36417000,0.21518,0.08361,0.02213,4.91789,0.13799,0.13764,6.23488,0.67861,0.49314,3.5738
"19","2015_Q2",18.1292063492063,"Up",217122000,-149725000,67397000,-25521000,-22848000,-2673000,41876000,-11539000,-11539000,30337000,30337000,-10770000,19567000,19567000,19567000,19567000,19567000,6544000,6163000,6407000,38681000,-3206000,-3206000,-18246000,6250000,-1232000,-13228000,22247000,22247000,-67000,22180000,48420000,874678000,62391000,0.31041,0.19287,0.09012,3.18858,0.36398,0.3637,4.03883,1.16058,0.33941,0.93249
"20","2015_Q3",19.2353125,"Up",193645000,-131637000,62008000,-21870000,-19197000,-2673000,40138000,-11062000,-11062000,29076000,29076000,-10328000,18748000,18748000,18748000,18748000,18748000,6832000,6825000,-13524000,18881000,-4207000,-4207000,-18278000,-47750000,7.45058059692383e-09,60203000,74877000,74877000,-6999.99999999999,74870000,46970000,1045265000,39567000,0.32021,0.20728,0.09682,2.11047,0.33108,0.33075,3.41966,0.69873,0.32278,0.97493
"21","2015_Q4",22.2853125,"Up",213300000,-141704000,71596000,-30033000,-27307000,-2726000,41563000,-11272000,-11272000,30291000,30291000,-10476000,19815000,19815000,19815000,19815000,19815000,7136000,6467000,-4283000,29135000,-5306000,-56331000,-19712000,-5625000,126218000,-25350000,-52546000,-52546000,-51000,-52597000,48699000,1045311000,49586000,0.33566,0.19486,0.0929,2.50245,0.34177,0.3413,3.67902,0.85526,0.33999,0.9948
"22","2016_Q1",21.9686885245902,"Down",342291000,-253728000,88563000,-39770000,-36587000,-3183000,48793000,-17258000,-17258000,31535000,31535000,-20575000,10960000,10960000,10960000,10960000,10960000,8141000,18982000,3699000,41782000,-5855000,-828641000,-20292000,780625000,-140744000,745819000,-41040000,-41040000,343000,-40697000,56934000,1731521000,75353000,0.25874,0.14255,0.03202,6.87527,0.18904,0.18869,5.90393,1.29971,0.35,1.85146
"23","2016_Q2",25.681875,"Up",352978000,-237063000,115915000,-43046000,-39638000,-3408000,72869000,-19135000,-19135000,53734000,52827000,-19631000,33196000,33196000,33196000,33196000,33196000,9004000,14913000,66736000,123849000,-5120000,-5120000,-20292000,-1.9e+08,-1067000,-59334000,59395000,59395000,539000,59934000,81873000,1545825000,163120000,0.32839,0.20644,0.09405,4.91385,0.58622,0.58564,6.23339,2.88061,0.35835,0.61128
"24","2016_Q3",30.570625,"Up",306376000,-196661000,109715000,-37248000,-33886000,-3362000,72467000,-18426000,-18426000,54041000,49007000,-18756000,30251000,30251000,30251000,30251000,30251000,9154000,35341000,2078000,76824000,-8064000,-8064000,-26309000,0,152020000,-26314000,42446000,42446000,-58000,42388000,81621000,1547139000,94391000,0.35811,0.23653,0.09874,3.12026,0.46526,0.46332,4.71205,1.45173,0.40463,0.86969
"25","2016_Q4",28.4679365079365,"Down",318247000,-202821000,115426000,-45734000,-42465000,-3269000,69692000,-17974000,-17974000,51718000,51591000,-19181000,32410000,32410000,32410000,32410000,32410000,8655000,12548000,-61508000,-7895000,-11623000,-11623000,-26315000,0,-152020000,153544000,134026000,134026000,-1014000,133012000,78347000,1548458000,24397000,0.36269,0.21899,0.10184,0.75276,0.50048,0.49832,4.91441,0.37674,0.40636,0.81194
"26","2017_Q1",28.1706451612903,"Down",413656000,-306750000,106906000,-62534000,-58770000,-3764000,44372000,-18921000,-18921000,25451000,23641000,-10073000,13568000,13568000,13568000,13568000,13568000,10453000,13638000,59224000,96883000,-17611000,-456398000,-27891000,1.76e+08,0,148109000,-211406000,-211406000,-341000,-211747000,54825000,1725783000,106511000,0.25844,0.10727,0.0328,7.85016,0.20432,0.20352,6.2291,1.60391,0.42,2.05565
"27","2017_Q2",26.0647619047619,"Down",412307000,-291088000,121219000,-52992000,-48520000,-4472000,68227000,-19647000,-19647000,48580000,51059000,-18295000,32764000,32764000,32764000,32764000,32764000,12218000,14480000,-56969000,2493000,-8092000,-8239000,-30879000,4.5e+07,-4635000,9486000,3740000,3740000,-772000,2968000,80445000,1769606000,33679000,0.294,0.16548,0.07947,1.02793,0.49288,0.49059,6.20249,0.50665,0.46452,0.94247
"28","2017_Q3",21.7950793650794,"Down",361676000,-257119000,104557000,-47851000,-43586000,-4265000,56706000,-21998000,-21998000,34708000,34932000,-12871000,22061000,22061000,22061000,22061000,22061000,12329000,14385000,-31444000,17331000,-16550000,-16520000,-30911000,55360000,-5964000,18521000,19332000,19332000,537000,19869000,69035000,1821464000,33912000,0.28909,0.15679,0.061,1.53719,0.33184,0.33069,5.44025,0.5101,0.46496,1.40116
"29","2017_Q4",23.0595238095238,"Up",406051000,-285109000,120942000,-45264000,-40999000,-4265000,75678000,-23374000,-23374000,52304000,52502000,-19772000,32730000,32730000,32730000,32730000,32730000,11737000,17639000,-74393000,-12287000,-15857000,-15857000,-30920000,3e+07,0,-920000,-29064000,-29064000,9000,-29055000,87415000,1852932000,16937000,0.29785,0.18638,0.08061,0.51748,0.49221,0.49112,6.10637,0.25471,0.46499,0.9447
"30","2018_Q1",20.8816393442623,"Down",466353000,-372493000,93860000,-54952000,-50343000,-4609000,38908000,-26765000,-26765000,12143000,9569000,120339000,129908000,129908000,129908000,129908000,129908000,12888000,-110336000,-2197999.99999999,30262000,-17074000,-179922000,-30921000,3.74e+08,-10906000,332249000,182589000,182589000,1302000,183891000,51796000,2217574000,-87815000,0.20126,0.08343,0.27856,-0.67598,1.95358,1.94804,7.01311,-1.32058,0.465,0.23802
"31","2018_Q2",18.67484375,"Down",431729000,-328373000,103356000,-47177000,-42568000,-4609000,56179000,-28306000,-28306000,27873000,27149000,-6602000,20547000,20547000,20547000,20547000,20547000,13064000,10003000,30130000,73744000,-4972000,-4972000,-30922000,-1.25e+08,-1832000,-157754000,-88982000,-88982000,620000,-88362000,69243000,2096897000,101003000,0.2394,0.13013,0.04759,4.91571,0.3089,0.30798,6.49044,1.51844,0.46487,1.50494
"32","2018_Q3",21.9092063492064,"Up",388378000,-307205000,81173000,-41881000,-37272000,-4609000,39292000,-27607000,-27607000,11685000,10751000,-2775000.00000001,7976000,7976000,7976000,7976000,7976000,13343000,6434000,3307000,31060000,-12236000,-12236000,-30966000,-24999999.9999999,1.86264514923096e-09,-74494999.9999999,-55671000,-55671000,367000,-55304000,52635000,2073874000,46481000,0.20901,0.10117,0.02054,5.82761,0.12029,0.1202,5.85725,0.70099,0.46701,3.8824
"33","2018_Q4",20.542380952381,"Down",422602000,-307563000,115039000,-44621000,-39987000,-4634000,70418000,-27932000,-27932000,42486000,43799000,-11811000,31988000,31988000,31988000,31988000,31988000,13526000,11238000,-22493000,34259000,-8708000,-39495000,-31318000,0,0,-31297000,-36533000,-36533000,-136000,-36669000,83944000,2075308000,64554000,0.27222,0.16663,0.07569,2.01807,0.48516,0.48451,6.40963,0.97909,0.475,0.97905
"34","2019_Q1",19.1008196721311,"Down",458055000,-408123000,49932000,-52053000,-47562000,-4491000,-2120999.99999999,-20897000,-24489000,-23018000,140578000,-28654000,111924000,111924000,111924000,111924000,111924000,13706000,-183182000,127945000,70393000,404291000,404291000,-31318000,-450110000,-1000.00000000006,-489781000,-15097000,-15097000,574000,-14523000,11585000,1635881000,572475000,0.10901,-0.00463000000000002,0.24435,5.11485,1.70041,1.69766,6.95903,8.69737,0.4758,0.27981
"35","2019_Q2",17.1501587301587,"Down",412734000,-324655000,88079000,-42788000,-38297000,-4491000,45291000,-23074000,-23074000,22217000,22475000,-5684000,16791000,16791000,16791000,16791000,16791000,13863000,7667000,12023000,50344000,-8648000,-8648000,-31178000,0,-905000,-42083000,-387000,-387000,23000,-364000,59154000,1636754000,68213000,0.2134,0.10973,0.04068,4.06247,0.25601,0.25589,6.29296,1.04005,0.47537,1.85683
"36","2019_Q3",14.608125,"Down",371197000,-279330000,91867000,-44457000,-39856000,-4601000,47410000,-23179000,-23179000,24231000,24756000,-6505000,18251000,18251000,18251000,18251000,18251000,14557000,8671999.99999997,-74978000,-33498000,-9500000.00000006,-91930000,-31016000,1.65e+08,0,133984000,8556000.00000001,8556000.00000001,71000.0000000001,8627000,61967000,1802626000,-16005999.9999999,0.24749,0.12772,0.0491700000000001,-0.87699,0.27932,0.27911,5.68088,-0.24496,0.47468,1.69941
"37","2019_Q4",13.12,"Down",406311000,-297530000,108781000,-42841000,-38112000,-4729000,65940000,-24152000,-24152000,41788000,41847000,-10759000,31088000,31088000,31088000,31088000,31088000,15122000,13383000,-75110000,-15517000,-10336000,-10336000,-31054000,3.35e+08,-6254000,272979000,247126000,247126000,-31000,247095000,81062000,2133487000,6375000,0.26773,0.16229,0.07651,0.20506,0.47769,0.47753,6.24325,0.09796,0.47717,0.99891
"38","2020_Q1",12.5459677419355,"Down",470172000,-375775000,94397000,-49202000,-44480000,-4722000,45195000,-26562000,-27721000,18633000,16614000,-6355000,10259000,10259000,10259000,10259000,10259000,15192000,9468000,10256000,45175000,-13825000,-13825000,-30421000,-2.5e+08,-6746000,-287167000,-255817000,-255817000,126000,-255691000,60387000,1879783000,63173000,0.20077,0.09612,0.02182,6.15781,0.16019,0.16018,7.34139,0.9864,0.475,2.9653
"39","2020_Q2",17.8392063492063,"Up",449370000,-344454000,104916000,-44696000,-39973000,-4723000,60220000,-25586000,-26039000,34634000,34634000,-6542000,28092000,28092000,28092000,28092000,28092000,15534000,18701000,-4749000,57578000,-6141000,-9560000,-30421000,98875000,-3827751.38027838,68454000,116472000,116472000,-719000,115753000,75754000,1979361000,71406000,0.23347,0.13401,0.06251,2.54186,0.43862,0.43836,7.01625,1.1149,0.47498,1.08291
"40","2020_Q3",23.47140625,"Up",512539000,-378438000,134101000,-49086000,-44347000,-4739000,85015000,-24148000,-24849000,60867000,60867000,-15956000,44911000,44911000,44911000,44911000,44911000,15385000,7530000,120962000,188788000,-3572000,-3379999.99999999,-30457000,-101125000,-64000,-131646000,53762000,53762000,370000,54131999.9999999,100400000,1878942000,233746000,0.26164,0.16587,0.08762,5.20465,0.70032,0.69727,7.99231,3.64493,0.47493,0.67816
"41","2020_Q4",24.06171875,"Up",495759000,-359733000,136026000,-48130000,-43395000,-4735000,87896000,-25728000,-26430000,62168000,62168000,-15355000,46813000,46813000,46813000,46813000,46813000,15589000,13338000,-89803000,-14063000,-6471000,-6471000,-30476000,-76125000,-5000,-104187000,-124721000,-124721000,488000,-124233000,103485000,1804586000,22566000,0.27438,0.1773,0.09443,0.48205,0.72891,0.72233,7.71934,0.35137,0.47453,0.65102
"42","2021_Q1",27.3037704918033,"Up",510241000,-403544000,106697000,-63390000,-58476000,-4914000,43307000,-23614000,-24316000,19693000,19693000,-7521000,12172000,12172000,12172000,12172000,12172000,17193000,30262000,-10453000,49174000,-10221000,-549482000,-30520000,5.35e+08,-9149000,495331000,-4977000.00000001,-4977000.00000001,192000,-4784999.99999999,60500000,2334086000,47347000,0.20911,0.08488,0.02386,3.88983,0.18944,0.18747,7.94112,0.73688,0.475,2.50739
"43","2021_Q2",27.1425396825397,"Down",505134000,-387340000,117794000,-55815000,-50379000,-5436000,61979000,-25878000,-26969000,36101000,36101000,-9223000,26878000,26878000,26878000,26878000,26878000,20291000,11184000,-32333000,26020000,-11747000,-11747000,-30520000,-5e+06,-1981000,-23449000,-9176000,-9176000,122000,-9054000,82270000,2329994000,47413000,0.23319,0.1227,0.05321,1.76401,0.41618,0.41218,7.82147,0.73414,0.47257,1.1355
"44","2021_Q3",26.80984375,"Down",464375000,-352785000,111590000,-52475000,-47076000,-5399000,59115000,-25596000,-26713000,33519000,33519000,-8968000,24551000,24551000,24551000,24551000,24551000,20238000,11117000,-15961000,39945000,-7940000,-7940000.00000006,-30757000,-5e+06,-3000,-35029999.9999999,-3025000,-3025000,219000,-2806000,79353000,2325908000,64420000,0.2403,0.1273,0.05287,2.62393,0.38015,0.37649,7.19036,0.99748,0.47624,1.25278
"45","2021_Q4",27.75765625,"Up",514965000,-409300000,105665000,-51805000,-46409000,-5396000,53860000,-25500000,-26630000,28360000,28360000,-7613000,20747000,20747000,20747000,20747000,20747000,20728000,9166000,-103820000,-53179000,-11360000,-11360000,-30792000,8e+07,0,51349000,-13190000,-13190000,-70000,-13260000,74588000,2406830000,-32979000,0.20519,0.10459,0.04029,-1.58958,0.31995,0.31678,7.94148,-0.50858,0.47486,1.48417
"46","2022_Q1",27.7083870967742,"Down",571790000,-469873000,101917000,-57704000,-52308000,-5396000,44213000,-25451000,-26577000,18762000,-4326000,-486999.999999999,-4813000,-4813000,-4813000,-4813000,-4813000,21631000,37533000,26741000,81092000,-11797000,-11797000,-30827000,-1.4e+08,0,-62711000,6584000,6584000,44000,6628000,65844000,2267759000,81275000,0.17824,0.07732,-0.00842,-16.88656,-0.07422,-0.07349,8.8178,1.25337,0.4754,-6.40494
"47","2022_Q2",23.3087096774194,"Down",532407000,-431119000,101288000,-52063000,-46840000,-5223000,49225000,-24963000,-26802000,24262000,31361000,-7705000,23656000,23656000,23656000,23656000,23656000,19825000,1919000,-20169000,25231000,3181000,3181000,-32548000,12500000,-4001000,-20755000,7657000,7657000,123000,7780000,69050000,2281195000,59767000,0.19025,0.09246,0.04443,2.5265,0.35763,0.35374,8.04897,0.90356,0.49206,1.37589
"48","2022_Q3",21.2559375,"Down",478965000,-402468000,76497000,-49556000,-44197000,-5359000,26941000,-28093000,-29941000,-1152000,-1152000,1408000,256000,256000,256000,256000,256000,20474000,4265000,-29099000,-4104000,-5952000,-33242000,-32721000,1e+07,-28000.0000000009,39219000,1873000,1873000,-317000,1556000,47415000,2294459000,10956000,0.15971,0.05625,0.000530000000000003,42.79688,0.00366,0.00363999999999998,6.85175,0.15673,0.46808,127.81641
