"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",30.3884375,"Up",169082000,-30261000,138821000,-112259000,-42404000,-69855000,26562000,-26000,78000,-104000,26536000,26536000,-8757000,17779000,17779000,17779000,17779000,71047000,71047000,42974000,19633000,19633000,133654000,60715000,74288000,41963000,17933000,6149000,8243000,135003000,268657000,8152000,8152000,61894000,61894000,70046000,10963000,10054000,909000,10963000,81009000,41969000,138778000,6901000,187648000,187648000,268657000,17779000,2303000,1362000,-1139000,20305000,-869000,-1142000,-2011000,185000,-17900000,394000,394000,-186000,208000,28865000,0,35614000,0.82103,0.1571,0.10515,0.09475,0.06618,2.00315,1.90809,0.43171,0,0.65158,0.63939,6.19666,6.87708,1.30521,0.08952,0.17932,-2.46135,-2.67476
"12","2013_Q3",40.130625,"Up",189136000,-31905000,157231000,-120779000,-42978000,-77801000,36452000,-83000,81000,-164000,36369000,36369000,-12159000,24210000,24210000,24210000,24210000,96056000,96056000,41712000,28252000,28252000,166020000,58796000,74108000,41812000,17969000,4380000,9947000,132904000,298924000,7285000,7285000,67328000,67328000,74613000,10305000,9109000,1196000,10305000,84918000,45791000,162988000,5227000,214006000,214006000,298924000,24210000,2328000,2168000,-1715000,26991000,-2077000,-636000,-2713000,1549000,1549000,25827000,25827000,-818000,25009000,38780000,-7.105427357601e-15,47147000,0.83131,0.19273,0.128,0.11313,0.08099,1.94742,2.22508,0.3968,0,0.8958,0.85457,6.9983,7.91852,1.74451,0.10793,0.21019,-2.47695,-2.63514
"13","2013_Q4",38.3615625,"Down",173691000,-31491000,142200000,-117506000,-41145000,-76361000,24694000,76000,119000,-43000,24770000,24770000,-8017000,16753000,16753000,16753000,16753000,115349000,115349000,45671000,35105000,35105000,196125000,60432000,74776000,42078000,18105000,3562000,11031000,135208000,331333000,8061000,8061000,74474000,74474000,82535000,10149000,9022000,1127000,10149000,92684000,52862000,179741000,6046000,238649000,238649000,331333000,16753000,2239000,-3814000,2119000,17297000,-3313000,-1131000,-4444000,5836000,5836000,18689000,18689000,604000,19293000,26933000,0,33756000,0.8187,0.14217,0.09645,0.0702,0.05056,2.01492,2.37626,0.38837,0,0.60911,0.58462,6.31512,8.67688,1.22731,0.06734,0.13568,-4.28281,-4.67113
"14","2014_Q1",34.924262295082,"Down",186266000,-33778000,152488000,-123484000,-39681000,-83803000,29004000,-98000,185000,-283000,28906000,28906000,-8624000,20282000,20282000,20282000,20282000,145985000,137343000,47242000,35818000,35818000,229045000,59180000,80245000,42329000,18243000,5519000,14154000,139425000,368470000,9502000,9502000,86369000,86369000,95871000,12077000,10866000,1211000,12077000,107948000,54705000,200023000,5794000,260522000,260522000,368470000,20282000,2174000,8315000,3529000,34300000,-1745000,-1579000,-11967000,-103999.999999998,-104000,22229000,22229000,-235000,21994000,31178000,1.13686837721616e-13,41586000,0.81866,0.15571,0.10889,0.07785,0.05504,2.05039,2.3891,0.41435,0,0.73104,0.70326,6.71374,9.39021,1.49892,0.0744,0.15255,-4.68231,-5.03327
"15","2014_Q2",37.1098412698413,"Up",182401000,-33828000,148573000,-123451000,-44577000,-78874000,25122000,125000,206000,-81000,25247000,25247000,-8710000,16537000,16537000,16537000,16537000,147161000,142733000,46890000,32308000,32308000,226359000,58843000,86264000,41210000,17933000,5695000,21426000,145107000,371466000,6083000,6083000,73861000,73861000,79944000,11781000,10577000,1204000,11781000,91725000,58397000,216560000,4784000,279741000,279741000,371466000,16537000,2211000,1694000,-17973000,2469000,-973000,-1429000,1811000,1856000,1856000,6136000,6136000,-746000,5390000,27333000,0,17097000,0.81454,0.13773,0.09066,0.05912,0.04452,1.03386,2.83147,0.32789,0,0.59404,0.5744,6.55223,10.04889,0.61416,0.05673,0.05865,-5.384,-5.85785
"16","2014_Q3",36.0828125,"Down",188256000,-34865000,153391000,-124304000,-43206000,-81098000,29087000,297000,215000,82000,29384000,29384000,-10083000,19301000,19301000,19301000,19301000,121641000,118267000,44528000,35756000,35756000,201925000,65859000,87137000,41015000,17919000,5515000,22688000,152996000,354921000,6408000,6408000,82297000,82297000,88705000,11962000,10672000,1290000,11962000,100667000,51938000,196992000,5324000,254254000,254254000,354921000,19301000,2197000,1788000,5495000,28781000,-9122000,-1091000,-9160000,1531000,-44578000,-24957000,-24957000,491000,-24466000,31284000,-9.09494701772928e-13,37740000,0.8148,0.15451,0.10253,0.07591,0.05438,1.95534,2.27637,0.39593,3.3881317890172e-21,0.70099,0.67794,6.83722,9.23418,1.37067,0.0725,0.14176,-3.88828,-4.18197
"17","2014_Q4",48.944375,"Up",191944000,-34585000,157359000,-128104000,-45499000,-82605000,29255000,-297000,3000,-3e+05,28958000,28958000,-9460000,19498000,19498000,19498000,19498000,87738000,87738000,42584000,32190000,32190000,162512000,66310000,88108000,41482000,18092000,5597000,22937000,154418000,316930000,6551000,6551000,98912000,98912000,105463000,12019000,10763000,1256000,12019000,117482000,38609000,155656000,5183000,199448000,199448000,316930000,19498000,2277000,1559000,12811000,36145000,-3161000,-639000,-426000,609000,-65944000,-30225000,-30225000,-304000,-30529000,31532000,0,50642000,0.81982,0.15241,0.10158,0.09776,0.06152,2.59729,1.54094,0.58904,0,0.75726,0.73511,7.45471,7.74616,1.96683,0.0922,0.23948,-2.78251,-2.99908
"18","2015_Q1",51.2532786885246,"Up",227870000,-37516000,190354000,-157716000,-51249000,-106467000,32638000,-574000,-53000,-521000,32064000,32064000,-10764000,21300000,21300000,21300000,21300000,111126000,111126000,45248000,34553000,34553000,190927000,71164000,88493000,40952000,17941000,5933000,23667000,159657000,350584000,7779000,7779000,100926000,100926000,108705000,11715000,10601000,1114000,11715000,120420000,61626000,166406000,2132000,230164000,230164000,350584000,21300000,2125000,3649000,10716000,37790000,-7155000,9634000,2479000,10838000,-15319000,24950000,24950000,-1562000,23388000,34763000,-1.45519152283669e-11,49088000,0.83536,0.14323,0.09347,0.09254,0.06076,2.3046,1.75638,0.52319,2.71050543121376e-20,0.86403,0.82802,9.24347,9.33652,1.99124,0.08806,0.20294,-3.19667,-3.4048
"19","2015_Q2",63.457619047619,"Up",219378000,-38364000,181014000,-151228000,-49875000,-101353000,29786000,168000,154000,14000,29954000,29954000,-10274000,19680000,19680000,19680000,19680000,128569000,128569000,50959000,31940000,31940000,211468000,73374000,90206000,41250000,18055000,5861000,25040000,163580000,375048000,9474000,9474000,100878000,100878000,110352000,11389000,10279000,1110000,11389000,121741000,64746000,186086000,2475000,253307000,253307000,375048000,19680000,2337000,1658000,-114000,23561000,-5842000,-1547000,-7389000,910000,910000,17082000,17082000,361000,17443000,32123000,0,36441000,0.82512,0.13577,0.08971,0.07769,0.05247,1.85168,1.9163,0.48061,0,0.77799,0.75201,8.67244,10.01372,1.44058,0.07435,0.13767,-4.0024,-4.31642
"20","2015_Q3",70.716875,"Up",233244000,-40089000,193155000,-154382000,-52505000,-101877000,38773000,-86000.0000000001,225000,-311000,38687000,38687000,-13271000,25416000,25416000,25416000,25416000,150929000,150929000,54022000,39864000,39864000,244815000,73939000,89756000,40763000,17948000,5998000,25047000,163695000,408510000,9038000,9038000,103818000,103818000,112856000,11130000,10068000,1062000,11130000,123986000,71750000,211502000,1272000,284524000,284524000,408510000,25416000,2293000,1729000,-6832000,22606000,-3936000,-30999.9999999981,-3967000,4826000,4826000,23465000,23465000,-1105000,22360000,41066000,-2.3283064365387e-10,43569000,0.82812,0.16623,0.10897,0.08933,0.06222,1.71424,2.16927,0.43577,-4.33680868994202e-19,0.99749,0.96091,9.154,11.16656,1.70993,0.08597,0.14736,-3.67528,-3.89263
"21","2015_Q4",64.8484375,"Down",233292000,-41048000,192244000,-154278000,-52757000,-101521000,37966000,441000,363000,78000,38407000,38407000,-12798000,25609000,25609000,25609000,25609000,174195000,174195000,61580000,34049000,34049000,269824000,78525000,90579000,39506000,17675000,8352000,25046000,169104000,438928000,9498000,9498000,104967000,104967000,114465000,11074000,10030000,1044000,11074000,125539000,78165000,237111000,-1887000,313389000,313389000,438928000,25609000,2654000,1421000,-1334000,28350000,-6508000,-1000,-6509000,4003000,4003000,25844000,25844000,-2578000,23266000,40620000,0,45576000,0.82405,0.16274,0.10977,0.08172,0.05834,1.77969,2.35726,0.40059,0,0.99623,0.96152,9.07539,12.19128,1.77297,0.07893,0.14047,-4.2884,-4.58818
"22","2016_Q1",58.8668852459016,"Down",232585000,-40181000,192404000,-157267000,-53858000,-103409000,35137000,404000,359000,44999.9999999999,35541000,35541000,-11574000,23967000,23967000,23967000,23967000,143210000,143210000,66119000,34935000,34935000,244264000,87982000,90991000,38269000,17432000,9844000,25446000,178973000,423237000,10043000,10043000,121369000,121369000,131412000,10973000,9822000,1151000,10973000,142385000,69753000,214875000,-3776000,280852000,280852000,423237000,23967000,2694000,3704000,6584000,36949000,-7258000,-999.999999999884,-7259000,2285000,-58896000,-29206000,-29206000,-1779000,-30985000,37831000,3.72529029846191e-09,48731000,0.82724,0.15107,0.10305,0.08534,0.05663,2.03325,1.85876,0.50698,-6.93889390390723e-18,0.94515,0.91596,9.17206,11.07548,1.92172,0.08213,0.16699,-3.78552,-4.07576
"23","2016_Q2",60.30015625,"Up",240449000,-42920000,197529000,-164025000,-56631000,-107394000,33504000,-496000,236000,-732000,33008000,33008000,-10709000,22299000,22299000,22299000,22299000,150501000,150501000,67554000,25349000,25349000,243404000,94606000,93717000,37984000,17460000,13812000,24461000,188323000,431727000,7992000,7992000,104758000,104758000,112750000,8063000,6874000,1189000,74063000,186813000,59596000,187663000,-2345000,244914000,244914000,431727000,22299000,3520000,2716000,-15064000,13471000,-8971000,46000,-8925000,-250000,1140000,5686000,5686000,1605000,7291000,37024000,6.6e+07,23698000,0.8215,0.13934,0.09274,0.09105,0.05165,1.06274,2.15879,0.76277,0.15287,0.92129,0.88548,9.93427,10.11874,0.97909,0.06991,0.07429,-2.28233,-2.52212
"24","2016_Q3",65.96421875,"Up",258514000,-45970000,212544000,-175095000,-59764000,-115331000,37449000,219000,147000,72000,37668000,37668000,-11906000,25762000,25762000,25762000,25762000,112398000,112398000,71332000,38131000,38131000,221861000,94729000,93072000,36576000,17159000,15892000,23445000,187801000,409662000,10076000,10076000,117902000,117902000,127978000,7759000,6244000,1515000,7759000,135737000,64408000,213425000,-3908000,273925000,273925000,409662000,25762000,3234000,4862000,648000.000000004,34506000,-4691000,393000,-4298000,0,-6.6e+07,-35792000,-35792000,-2311000,-38103000,40683000,0,48546000,0.82218,0.14486,0.09965,0.09405,0.06289,1.8844,1.73359,0.49553,0,1.07539,1.03391,10.7912,11.4345,2.02647,0.09146,0.17234,-2.76278,-3.00136
"25","2016_Q4",65.1519047619048,"Down",254219000,-44979000,209240000,-173407000,-60591000,-112816000,35833000,268000,292000,-24000,36101000,36101000,-6003000,30098000,30098000,30098000,30098000,134543000,134543000,74146000,39423000,39423000,248112000,103916000,91580000,36130000,17138000,15404000,22908000,195496000,443608000,10586000,10586000,117848000,117848000,128434000,7465000,5971000,1494000,7465000,135899000,68950000,243523000,-4764000,307709000,307709000,443608000,30098000,3176000,4191000,-3702000,33763000,-12382000,162000,-12220000,0,1200000,22743000,22743000,-598000,22145000,39009000,0,28928000,0.82307,0.14095,0.11839,0.09781,0.06785,0.96113,1.93182,0.44165,0,1.24495,1.20152,10.51535,12.72787,1.19656,0.0955,0.09178,-3.44902,-3.75472
"26","2017_Q1",59.6927419354839,"Down",252901000,-46321000,206580000,-174744000,-57208000,-117536000,31836000,-61000,361000,-422000,31775000,31775000,-9893000,21882000,21882000,21882000,21882000,175774000,175774000,64810000,37277000,37277000,277861000,101267000,91514000,34349000,16715000,18292000,22158000,192781000,470642000,9040000,9040000,129451000,129451000,138491000,6864000,5499000,1365000,6864000,145355000,71529000,265405000,-11647000,325287000,325287000,470642000,21882000,3552000,1189000,28667000,55290000,-6643000,203000,-6440000,0,-1200000.00000001,47650000,47650000,-6419000,41231000,35388000,1.86264514923096e-09,67305000,0.81684,0.12588,0.08652,0.06727,0.04649,3.07582,2.00635,0.44685,-6.93889390390723e-18,0.89666,0.87395,10.3631,13.32925,2.75795,0.06588,0.20263,-4.96705,-5.52123
"27","2017_Q2",61.6174603174603,"Up",255323000,-42654000,212669000,-179782000,-64001000,-115781000,32887000,482000,473000,9000,33369000,33369000,-12011000,21358000,21358000,21358000,21358000,176320000,176320000,69680000,33161000,33161000,279161000,102035000,90817000,34273000,16801000,17321000,22422000,192852000,472013000,8839000,8839000,102023000,102023000,110862000,7218000,5952000,1266000,7218000,118080000,75727000,286763000,-8557000,353933000,353933000,472013000,21358000,3466000,5568000,-28491000,1901000,-3371000,107000,-3264000,-25710.3121118199,8532364.62481442,-1363000,-1363000,1957000,594000,36353000,0,16502000,0.83294,0.12881,0.08365,0.06034,0.04525,0.77264,2.51809,0.33362,0,0.87179,0.85514,10.42177,14.44683,0.67358,0.05914,0.04569,-4.85022,-5.36139
"28","2017_Q3",59.0801587301587,"Down",257063000,-43902000,213161000,-180793000,-62389000,-118404000,32368000,460000,579000,-119000,32828000,32828000,-9569000,23259000,23259000,23259000,23259000,229365000,229365000,68688000,32109000,32109000,330162000,102534000,92084000,34449000,16966000,18081000,22588000,194618000,524780000,7444000,7444000,127930000,127930000,135374000,6264000,4965000,1299000,6264000,141638000,79531000,310022000,-6411000,383142000,383142000,524780000,23259000,4200000,385000,25859000,53703000,-3587000,152000,-3435000,-101794.473572751,0,50268000,50268000,2807000,53075000,36568000,-1.16415321826935e-10,68409000,0.82922,0.12591,0.09048,0.06071,0.04432,2.94118,2.43889,0.36967,-4.33680868994202e-19,0.94645,0.92969,10.46035,15.59072,2.78368,0.05973,0.17568,-6.27229,-7.08617
"29","2017_Q4",66.8888888888889,"Up",261765000,-47135000,214630000,-183273000,-67263000,-116010000,31357000,690000,561000,129000,32047000,32047000,-8278000,23769000,23769000,23769000,23769000,191745000,191745000,63334000,31373000,31373000,286452000,102146000,102053000,34728000,17167000,28577000,21581000,204199000,490651000,9290000,9290000,112137000,112137000,121427000,6412000,5249000,1163000,6412000,127839000,72986000,293921000,-4095000,362812000,362812000,490651000,23769000,4131000,-7035000,-7828000,13037000,-2194000,0,-2194000,-125000,-50125000,-39282000,-39282000,1717000,-37565000,35488000,0,33744000,0.81993,0.11979,0.0908,0.06551,0.04844,1.41966,2.35905,0.35236,0,0.97767,0.96547,10.76691,14.92317,1.38796,0.06438,0.09139,-5.40309,-6.1149
"30","2018_Q1",77.4393442622951,"Up",273114000,-45713000,227401000,-191509000,-71441000,-120068000,35892000,504000,526000,-22000.0000000001,36396000,36396000,-42247000,-5851000,-5851000,-5851000,-5851000,247131000,247131000,62918000,30110000,30110000,340159000,102847000,76263000,35154000,17417000,2859000,20833000,179110000,519269000,11787000,11787000,129396000,129396000,141183000,14876000,13730000,1146000,14876000,156059000,76566000,288070000,-1426000,363210000,363210000,519269000,-5851000,4313000,38622000,18058000,55142000,-4046000,37000,-4009000,-191000,-191000,50942000,50942000,4311000,55253000,40205000,-1.45519152283669e-11,96464000,0.83262,0.13142,-0.02142,-0.01611,-0.01127,-16.48675,2.40935,0.42967,0,-0.24369,-0.24159,11.37501,15.12745,4.01766,-0.01548,0.25514,-6.14677,-6.88541
"31","2018_Q2",109.39453125,"Up",291998000,-49375000,242623000,-199494000,-70132000,-129362000,43129000,862000,830000,32000,43991000,43991000,-15045000,28946000,28946000,28946000,28946000,266197000,266197000,68128000,31801000,31801000,366126000,101357000,78462000,35969000,17797000,3098000,21598000,179819000,545945000,12681000,12681000,113687000,113687000,126368000,18599000,17475000,1124000,18599000,144967000,79458000,315672000,5848000,400978000,400978000,545945000,28946000,4531000,8689000,-22648000,19518000,-2913000,301000,-2612000,-308000,-3251000,13655000,13655000,5519000,19174000,47660000,0,37144000,0.83091,0.1477,0.09913,0.07219,0.05302,1.28322,2.8973,0.36153,0,1.20238,1.19252,12.12919,16.65606,1.54291,0.06899,0.08853,-5.58533,-6.17211
