"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",27.8307936507937,"Up",290063000,-264701000,25362000,-13713000,-13713000,11649000,-1134000,-1134000,10515000,10515000,-3847000,6668000,6668000,6668000,6668000,53689000,53689000,164901000,20102000,20102000,238692000,2679000,218244000,216930000,1314000,220923000,459615000,161171000,95649000,65522000,17500000,182506000,62786000,89592000,87285000,2307000,152378000,334884000,64515000,64586000,-4370000,124731000,124731000,459615000,6668000,407000,-1226000,4065000,9914000,-24000,-24000,-3500000,50000,50000,-577000,-4027000,5863000,5863000,175000,6038000,12056000,80286000,19944000,0.08744,0.04016,0.02299,0.05346,0.01451,2.991,1.30786,2.68485,0.17468,0.61124,0.60208,26.58933,11.43377,1.82822,0.02263,0.0677,2.20612,2.2832
"12","2017_Q3",30.9871428571429,"Up",259317000,-233582000,25735000,-16531000,-16531000,9204000,-1070000,-1070000,8134000,8134000,-2673000,5461000,5461000,5461000,5461000,49489000,49489000,165082000,25121000,25121000,239692000,2975000,218304000,216930000,1374000,221279000,460971000,158124000,104809000,53315000,19250000,180081000,57723000,88926000,85844000,3082000,146649000,326730000,66879000,70047000,-2685000,134241000,134241000,460971000,5461000,387000,49000,-10075000,-4178000,-340000,-340000,-3500000,1836000,1836000,-35000,-1699000,-6217000,-6217000,2017000,-4200000,9591000,76973000,1849000,0.09924,0.03549,0.02106,0.04068,0.01185,0.33858,1.33102,2.43391,0.16698,0.49704,0.48798,23.60217,12.21817,0.16829,0.01819,0.00616000000000001,2.8656,2.98609
"13","2017_Q4",31.9834920634921,"Up",269625000,-245219000,24406000,-14316000,-14316000,10090000,-1058000,-1058000,9032000,9032000,-3231000,5801000,5801000,5801000,5801000,63446000,63446000,174943000,20260000,20260000,258649000,3259000,219343000,216930000,2413000,222602000,481251000,170866000,109100000,61766000,2.1e+07,194936000,52653000,92032000,89710000,2322000,144685000,339621000,67575000,75847000,-1792000,141630000,141630000,481251000,5801000,347000,4072000,6442000,16662000,-537000,-537000,-3500000,0,0,0,-3500000,12625000,12625000,1332000,13957000,10437000,73653000,19573000,0.09052,0.03742,0.02152,0.04096,0.01205,3.37407,1.32684,2.39795,0.15304,0.52379,0.51464,24.34537,12.78826,1.76731,0.01888,0.06369,0.97796,1.0116
"14","2018_Q1",32.3609836065574,"Up",295783000,-269338000,26445000,-16168000,-16168000,10277000,-1378000,-1378000,8899000,8899000,32668000,41567000,41567000,41567000,41567000,77453000,77453000,174995000,19498000,19498000,271946000,3733000,219872000,216930000,2821000,223605000,495551000,174412000,115899000,58513000,4e+06,182178000,73211000,56790000,55329000,1461000,130001000,312179000,67637000,117415000,-1680000,183372000,183372000,495551000,41567000,545000,-32285000,3185000,13012000,-1443000,-1443000,4500000,145000,145000,-2549000,2096000,13665000,13665000,342000,14007000,10822000,77211000,-20104000,0.08941,0.03475,0.14053,0.22668,0.08388,-0.48365,1.49275,1.70244,0.15581,3.74039,3.67915,26.61595,16.50067,-1.80905,0.13097,-0.06335,-0.0223599999999998,-0.0235499999999997
"15","2018_Q2",33.81921875,"Up",320516000,-294050000,26466000,-17795000,-17795000,8671000,-1164000,-1164000,7507000,7507000,-1396000,6111000,6111000,6111000,6111000,28747000,28747000,246052000,7890000,7890000,282689000,4236000,249274000,231236000,7820000,253510000,536199000,212177000,135641000,76536000,4e+06,216177000,72317000,56019000,54636000,1383000,128336000,344513000,69027000,123449000,-790000,191686000,191686000,536199000,6111000,809000,734000,-19291000,-11637000,-73000,-37283000,-1e+06,1309000,1309000,-785000,-476000,-49396000,-49396000,690000,-48706000,9480000,76317000,-8488000,0.08257,0.02705,0.01907,0.03188,0.0114,-1.38897,1.30767,1.79728,0.14233,0.54827,0.53898,28.75615,17.19774,-0.76153,0.01886,-0.0262,5.01793,5.4861
"16","2018_Q3",32.2484126984127,"Down",321133000,-292064000,29069000,-16070000,-16070000,12999000,-1141000,-1141000,11858000,11858000,-2662000,9196000,9196000,9196000,9196000,40958000,40958000,217071000,10489000,10489000,268518000,5087000,249360000,235180000,4493000,254447000,522965000,191460000,126785000,64675000,4e+06,195460000,71424000,55521000,54088000,1433000,126945000,322405000,69967000,132644000,-2051000,200560000,200560000,522965000,9196000,815000,777000,5021000,15809000,-691000,-691000.000000007,-1e+06,49000,49000,-18000,-969000,14149000,14149000,-1938000,12211000,13814000,75424000,20806000,0.09052,0.04048,0.02864,0.04585,0.01758,2.26251,1.37377,1.60752,0.14422,0.818509999999999,0.80787,28.58327,17.85136,1.85189,0.02774,0.06276,2.49501,2.65143
"17","2018_Q4",25.5490476190476,"Down",308095000,-278964000,29131000,-15125000,-15125000,14006000,-1314000,-1314000,12692000,12692000,-2826000,9866000,9866000,9866000,9866000,39584000,39584000,223389000,12107000,12107000,275080000,10512000,247993000,234818000,4014000,258505000,533585000,192803000,121717000,71086000,4e+06,196803000,70529000,54767000,53315000,1452000,125296000,322099000,70872000,142510000,-1896000,211486000,211486000,533585000,9866000,922000,431000,-6737000,4482000,-5318000,-4963000,-1e+06,30000,30000,0,-970000,-1451000,-1451000,77000,-1374000,14928000,74529000,5699000,0.09455,0.04546,0.03202,0.04665,0.01849,0.57764,1.39774,1.52303,0.13968,0.87713,0.86498,27.39109,18.8021,0.50667,0.02895,0.01672,2.3409,2.495
"18","2019_Q1",25.8347540983607,"Up",329292000,-299531000,29761000,-17382000,-17382000,12379000,-1452000,-1452000,10927000,10927000,-1014000,9913000,9913000,9913000,9913000,66145000,66145000,232119000,15063000,15063000,313327000,13419000,245497000,233619000,3248000,258916000,572243000,220486000,156393000,64093000,4500000,224986000,69137000,56820000,55358000,1462000,125957000,350943000,71842000,152616000,-3158000,221300000,221300000,572243000,9913000,1251000,2928000,17310000,31402000,-3910000,-3910000,-1e+06,207000,207000,-77000,-870000,26622000,26622000,-61000,26561000,13630000,73637000,28044000,0.09038,0.03759,0.0301,0.04479,0.01732,2.82901,1.39265,1.58582,0.12868,0.87983,0.87071,29.22624,19.64143,2.48904,0.02818,0.07973,0.54967,0.60522
"19","2019_Q2",36.705873015873,"Up",325928000,-295596000,30332000,-19919000,-19919000,10413000,-1575000,-1575000,8838000,8838000,-1747000,7091000,7091000,7091000,7091000,48174000,48174000,244116000,13938000,13938000,306228000,14961000,271880000,233619000,23702000,286841000,593069000,229637000,143837000,85800000,5e+06,234637000,67736000,62452000,54049000,8403000,130188000,364825000,72878000,159966000,-4600000,228244000,228244000,593069000,7091000,1359000,471000,-15307000,-6386000,-9886000,-9886000,-1e+06,602000,602000,-683000,-1081000,-17353000,-17353000,-618000,-17971000,11772000,72736000,-11674000,0.09306,0.03195,0.02176,0.03107,0.01196,-1.64631,1.30511,1.5984,0.12264,0.62797,0.62207,28.86362,20.21289,-1.03383,0.01951,-0.03212,2.08648,2.35878
"20","2019_Q3",41.1484375,"Up",331589000,-300553000,31036000,-19843000,-19843000,11193000,-1329000,-1329000,9864000,9864000,-2247000,7617000,7617000,7617000,7617000,70329000,70329000,237247000,20907000,20907000,328483000,16253000,269692000,233619000,22220000,285945000,614428000,240280000,157486000,82794000,5500000,245780000,66338000,62634000,52460000,10174000,128972000,374752000,76757000,167583000,-4664000,239676000,239676000,614428000,7617000,1456000,1184000,11579000,21836000,-1853000,-1853000,-1e+06,2865000,2865000,-85000,1780000,21763000,21763000,392000,22155000,12649000,71838000,24622000,0.0936,0.03376,0.02297,0.03178,0.0124,3.23251,1.33649,1.56358,0.11692,0.66466,0.65523,28.93447,20.91414,2.14852,0.02036,0.06581,0.1193,0.13482
"21","2019_Q4",48.22328125,"Up",359851000,-327522000,32329000,-19935000,-19935000,12394000,-1907000,-1907000,10487000,10487000,-2663000,7824000,7824000,7824000,7824000,41050000,41050000,254796000,22588000,22588000,318434000,18159000,298842000,260872000,22036000,317001000,635435000,245249000,144828000,100421000,5500000,250749000,66438000,69913000,50560000,19353000,136351000,387100000,77881000,176965000,-6511000,248335000,248335000,635435000,7824000,1683000,-70000,3561000,12998000,2699000,-41264000,0,0,0,0,0,-28266000,-28266000,-1013000,-29279000,14077000,71938000,2.3e+07,0.08984,0.03444,0.02174,0.03151,0.01231,2.93967,1.26993,1.55878,0.11321,0.67987,0.67021,31.26964,21.57934,1.99861,0.02005,0.05895,2.19422,2.49217
"22","2020_Q1",50.9287096774194,"Up",365157000,-330889000,34268000,-18619000,-18619000,15649000,-1659000,-1659000,13990000,13990000,-3346000,10644000,10644000,10644000,10644000,35318000,35318000,269144000,16154000,16154000,320616000,18844000,296929000,261983000,20020000,315773000,636389000,185424000,148015000,37409000,6500000,245079000,63041000,69404000,49407000,19997000,132445000,377524000,78872000,185075000,-5082000,258865000,258865000,636389000,10644000,1992000,7143000,-20670000,-891000,-1711000,-2822000,-2499999.99999999,205000,205000,-3e+05,-2594999.99999999,-6308000,-6308000,576000,-5732000,17641000,69541000,-1394000,0.09384,0.04286,0.02915,0.04112,0.01673,-0.13097,1.30821,1.45838,0.10927,0.92428,0.90587,31.70867,22.47873,-0.12105,0.02676,-0.0035,1.93997,2.18691
"23","2020_Q2",48.3760317460317,"Down",351734000,-319693000,32041000,-19558000,-19558000,12483000,-1703000,-1703000,10780000,10780000,-2112000,8668000,8668000,8668000,8668000,146172000,146172000,263601000,21212000,21212000,430985000,18540000,294073000,261983000,18179000,312613000,743598000,228826000,147364000,81462000,1.22e+08,350826000,61139000,67390000,47294000,20096000,128529000,479355000,78806000,193743000,-8306000,264243000,264243000,743598000,8668000,2011000,2466000,-12008000,1137000,-917000,-917000,113500000,1000,1000,-1787000,111714000,111934000,111934000,-1080000,110854000,14494000,183139000,3681000,0.09109,0.03549,0.02464,0.0328,0.01166,0.42467,1.22849,1.81407,0.24629,0.7508,0.73802,30.46635,22.88809,0.31884,0.01684,0.00715,2.5505,2.96139
"24","2020_Q3",43.4696875,"Down",336063000,-311817000,24246000,-21816000,-21816000,2430000,-1345000,-1345000,1085000,1085000,26000,1111000,1111000,1111000,1111000,62719000,62719000,260295000,21980000,21980000,344994000,19107000,293680000,262130000,18645000,312787000,657781000,248210000,142138000,106072000,7500000,255710000,59234000,73402000,46473000,26929000,132636000,388346000,80060000,194854000,-5479000,269435000,269435000,657781000,1111000,1988000,3138000,27032000,33269000,-1329000,-1329000,-116500000,58000.0000000001,58000.0000000001,-86000,-116528000,-84588000,-84588000,1135000,-83453000,4418000,66734000,30095000,0.07215,0.00723,0.00331,0.00412,0.00169,27.08821,1.34916,1.44133,0.10145,0.0957299999999999,0.09464,28.95847,23.21715,2.59328,0.00271,0.07348,0.90878,1.65226
"25","2020_Q4",44.7334375,"Up",352415000,-320233000,32182000,-17344000,-17344000,14838000,-940000,-940000,13898000,13898000,-3507000,10391000,10391000,10391000,10391000,63734000,63734000,268143000,24537000,24537000,356414000,19256000,290258000,262130000,16226000,309514000,665928000,239246000,146458000,92788000,8e+06,247246000,57326000,77551000,41734000,35817000,134877000,382123000,81705000,205245000,-3145000,283805000,283805000,665928000,10391000,2033000,1244000,-10419000,3249000,-1102000,-1102000,-1500000,0,0,-45000,-1545000,602000,602000,413000,1015000,16871000,65326000,8857000,0.09132,0.0421,0.02949,0.03661,0.0156,0.85237,1.44154,1.34643,0.0981,0.89423,0.88472,30.32831,24.42384,0.76222,0.02435,0.02076,0.09436,0.10729
"26","2021_Q1",54.8655737704918,"Up",355317000,-319632000,35685000,-21961000,-21961000,13724000,-805000,-805000,12919000,12919000,3862000,16781000,16781000,16781000,16781000,66949000,66949000,314959000,26480000,10397000,408388000,22573000,412850000,339702000,25043000,435423000,843811000,200243000,159586000,40657000,8600000,288411000,168751000,81711000,39386000,42325000,250462000,538873000,82939000,222026000,-27000,304938000,304938000,843811000,16781000,2094000,2969000,4582000,26426000,-1068000,-134677000,1.13e+08,0,0,-867000,112133000,3882000.00000001,3882000.00000001,1111000,4993000,15818000,177351000,15470000,0.10043,0.03862,0.04723,0.05503,0.01989,0.921879999999997,1.41599,1.76716,0.21018,1.4434,1.42514,30.56227,26.22897,1.33064,0.02975,0.02743,6.97952,8.04445
"27","2021_Q2",51.4757142857143,"Down",434004000,-393648000,40356000,-23823000,-23823000,16533000,-1932000,-1932000,14601000,14601000,-2553000,12048000,12048000,12048000,12048000,38347000,38347000,359182000,29097000,29097000,426626000,21410000,414296000,315401000,27641000,435706000,862332000,238696000,197447000,41249000,9200000,304245000,166383000,77238000,41999000,35239000,243621000,547866000,82852000,234074000,-2460000,314466000,314466000,862332000,12048000,3998000,2897000,-40672000,-21729000,-2611000,-2611000,-2e+06,113000,113000,-2184000,-4071000,-28411000,-28411000,-191000,-28602000,20531000,175583000,-20199000,0.09299,0.03809,0.02776,0.03831,0.01397,-1.67654,1.40224,1.74221,0.20361,1.03434,1.01869,37.25996,26.99742,-1.73412,0.02124,-0.03561,6.68433,8.30073
"28","2021_Q3",47.2409375,"Down",470845000,-422660000,48185000,-25604000,-25604000,22581000,-2254000,-2254000,20327000,20327000,-4393000,15934000,15934000,15934000,15934000,69803000,69803000,353813000,27594000,27594000,451210000,22612000,422325000,317608000,35899000,444937000,896147000,216225000,175002000,41223000,9800000,316671000,163997000,82655000,39709000,42946000,246652000,563323000,84767000,250008000,-1951000,332824000,332824000,896147000,15934000,3990000,2549000,13282000,35755000,-2206000,-3790000,-1999999.99999999,-2.91038304567337e-11,-2.91038304567337e-11,-105000,-2105000,29860000,29860000,-182000,29678000,26571000,173797000,42040000,0.10234,0.04796,0.03384,0.04788,0.01778,2.63838,1.42485,1.69256,0.19394,1.36796,1.34726,40.42282,28.57349,3.6092,0.02704,0.07134,3.91382,4.60538
"29","2021_Q4",47.40578125,"Up",459408000,-418900000,40508000,-27618000,-27618000,12890000,-1955000,-1955000,10935000,10935000,-677000,10258000,10258000,10258000,10258000,56232000,56232000,337072000,39331000,39331000,432635000,23560000,438556000,316978000,52490000,462116000,894751000,258388000,211585000,46803000,10400000,342309000,116623000,94018000,39966000,54052000,210641000,552950000,86402000,260266000,-4867000,341801000,341801000,894751000,10258000,4321000,2235000,22538000,39352000,-2817000,-3467000,-4.7e+07,1000,1000,-45000,-47044000,-11159000,-11159000,-2411000,-13570000,17211000,127023000,37609000,0.08817,0.02806,0.02233,0.03001,0.01146,3.66631,1.26387,1.61775,0.14196,0.87481,0.86573,39.17858,29.14899,3.20732,0.01823,0.06682,4.11313,5.49193
"30","2022_Q1",42.7267741935484,"Down",419408000,-388037000,31371000,-21355000,-21355000,10016000,-1844000,-1844000,8172000,8172000,-684000,7488000,7488000,7488000,7488000,38513000,38513000,348605000,36222000,15062000,423340000,23758000,442361000,321734000,54045000,466119000,889459000,267564000,212533000,55031000,10400000,358248000,94246000,86878000,32214000,54664000,181124000,539372000,88233000,267754000,-5900000,350087000,350087000,889459000,7488000,4245000,1627000,-5399000,7961000,-2126000,-2775000,-22600000,265000,265000,-29999.9999999999,-22365000,-17179000,-17179000,-541000,-17720000,14261000,104646000,7420000,0.0748,0.02388,0.01785,0.02139,0.00842,0.99092,1.1817,1.54068,0.11765,0.63858,0.63195,35.76735,29.85562,0.63278,0.01383,0.0137,4.63733,6.60274
"31","2022_Q2",35.3982258064516,"Down",456471000,-419275000,37196000,-31959000,-31959000,5237000,-1681000,-1681000,3556000,3556000,-701000,2855000,2855000,2855000,2855000,22999000,22999000,377571000,37006000,11083000,437576000,24049000,437965000,321734000,51950000,462014000,899590000,290134000,234713000,55421000,10400000,359593000,108392000,77430000,32620000,44810000,185822000,545415000,89708000,270609000,-6142000,354175000,354175000,899590000,2855000,3892000,2746000,-35874000,-26381000,-2178000,-2178000,14400000,495014.132149439,495014.132149439,-2084000,12316000,-16243000,-16243000,729000,-15514000,9129000,118792000,-28222000,0.08149,0.01147,0.00625,0.00806,0.00317,-9.88511,1.21686,1.53996,0.13205,0.24348,0.24095,38.92811,30.20425,-2.40679,0.00519,-0.05128,10.49326,18.29158
"32","2022_Q3",32.8725,"Down",498066000,-453306000,44760000,-29740000,-29740000,15020000,-1962000,-1962000,13058000,13058000,-2586000,10472000,10472000,10472000,10472000,31760000,31760000,374980000,40219000,13957000,446959000,23530000,435358000,321734000,51465000,458888000,905847000,292402000,244080000,48322000,10400000,385336000,78884000,78149000,32489000,45660000,157033000,542369000,91582000,281081000,-9185000,363478000,363478000,905847000,10472000,3769000,2352000,29424000,46017000,-1296000,-3409000,-29600000,370000,370000,-70000,-29300000,13308000,13308000,-1236000,12072000,18789000,89284000,49503000,0.08987,0.03016,0.02103,0.02881,0.01156,4.72718,1.15992,1.49216,0.09856,0.89306,0.88379,42.47535,30.99761,4.22164,0.01972,0.09324,3.06158,3.82983
