"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",16.411935483871,"Up",44207000,-15770000,28437000,-27227000,-20991000,-6236000,1210000,-815000,-869000,395000,395000,14000,409000,409000,409000,409000,58122000,58122000,13881000,13881000,3008000,3008000,75011000,14688000,15540000,1539000,11798000,2203000,30228000,105239000,15712000,3366000,12346000,17624000,17624000,34078000,32912000,7921000,7921000,40833000,74911000,196608000,-166280000,30328000,30328000,105239000,409000,2088000,2761000,-2424000,2834000,-158000,-1364000,-2104000,236000,-681000,789000,789000,789000,3298000,33654000,702000,0.64327,0.02737,0.00925,0.01349,0.00389,1.71638,2.20116,2.47003,0.31979,0.0077,0.0077,0.8319,0.57072,0.01321,0.00569,0.00976,-7.41904,-20.22149
"12","2017_Q2",20.4853968253968,"Up",47014000,-19971000,27043000,-31485000,-24638000,-6847000,-4442000,-764000,-882000,-5206000,-5206000,-49000,-5255000,-5255000,-5255000,-5255000,56452000,56452000,15453000,15453000,5117000,5117000,77022000,15830000,15496000,1422000,11798000,2276000,31326000,108348000,19440000,3394000,16046000,18067000,18067000,38150000,32756000,8457000,8457000,41213000,79363000,200691000,-171706000,28985000,28985000,108348000,-5255000,2095000,3067000,252000,159000,-514000,-514000,-2108000,793000,-1315000,-1670000,-1670000,-1670000,-2347000,33399000,-2560000,0.57521,-0.09448,-0.11178,-0.1813,-0.0485,0.48716,2.01893,2.73807,0.30826,-0.09788,-0.09788,0.87569,0.53988,-0.04768,-0.07418,-0.03614,9.82232999999999,5.18978
"13","2017_Q3",21.6866666666667,"Up",47727000,-20273000,27454000,-30613000,-23777000,-6836000,-3159000,-798000,-888000,-3957000,-3957000,-50000,-4007000,-4007000,-4007000,-4007000,57149000,57149000,16281000,16281000,7074000,7074000,80504000,15656000,15303000,1306000,11798000,2199000,30959000,111463000,18124000,4586000,13538000,19249000,19249000,38036000,32594000,8678000,8678000,41272000,79308000,207868000,-175713000,32155000,32155000,111463000,-4007000,2270000,3836000,-2015000,84000,-664000,-664000,-2033000,1510000,1277000,697000,697000,697000,-889000,33257000,-3518000,0.57523,-0.06619,-0.08396,-0.12462,-0.03595,0.87796,2.11652,2.46643,0.29837,-0.07322,-0.07322,0.87216,0.5876,-0.06429,-0.05408,-0.04748,26.87514,7.56315
"14","2017_Q4",24.6609523809524,"Up",50081000,-20497000,29584000,-27870000,-21181000,-6689000,1714000,-747000,-865000,967000,967000,-43000,924000,924000,924000,924000,63364000,63364000,17231000,17231000,4809000,4809000,85404000,17958000,15353000,1190000,11798000,2365000,33311000,118715000,17900000,4787000,13113000,20930000,20930000,39316000,32594000,9033000,9033000,41627000,80943000,212561000,-174789000,37772000,37772000,118715000,924000,1881000,3659000,1519000,7983000,-631000,-631000,-2114000,977000,-1137000,6215000,6215000,6215000,3595000,33080000,4526000,0.59072,0.03422,0.01845,0.02446,0.00778,4.89827,2.17225,2.14294,0.27865,0.01671,0.01554,0.90546,0.68291,0.08183,0.01157,0.05666,-8.42392,-17.66861
"15","2018_Q1",27.3908196721311,"Up",55403000,-22363000,33040000,-32873000,-26125000,-6748000,167000,-672000,-836000,-505000,-505000,-126000,-631000,-631000,-631000,-631000,68947000,68947000,19048000,19048000,4840000,4840000,92835000,19888000,15473000,1073000,11798000,2602000,35361000,128196000,17230000,4292000,12938000,21952000,21952000,39518000,32594000,9246000,9246000,41840000,81358000,222259000,-175421000,46838000,46838000,128196000,-631000,2068000,4563000,-3120000,2880000,-841000,-841000,-1512000,2755000,3544000,5583000,5583000,5583000,2235000,32930000,-1600000,0.59636,0.00301,-0.01139,-0.01347,-0.00492,2.53566,2.34918,1.73701,0.25687,-0.01126,-0.01215,0.98823,0.83545,-0.02854,-0.00709,-0.01797,-16.11499,-215.67066
"16","2018_Q2",32.37328125,"Up",58905000,-24702000,34203000,-34353000,-26581000,-7772000,-150000,-412000,-810000,-562000,-562000,-45000,-607000,-607000,-607000,-607000,80676000,80676000,18534000,18534000,14712000,7150000,113922000,20876000,31113000,957000,11798000,18358000,51989000,165911000,20945000,5482000,15463000,21607000,21607000,42732000,32594000,10133000,10133000,42727000,85459000,232335000,-151883000,80452000,80452000,165911000,-607000,2320000,5047000,1237000,7997000,-433000,1490000,-2508999.99999999,4751000,2242000,11729000,11729000,11729000,2170000,32774000,3019000,0.58065,-0.00255,-0.0103,-0.00754000000000001,-0.00366,-4.97364,2.66596,1.06224,0.19754,-0.01076,-0.01076,1.04443,1.42648,0.05353,-0.00492,0.02447,-22.07465,319.34667
"17","2018_Q3",41.2361904761905,"Up",61120000,-24814000,36306000,-36112000,-27745000,-8367000,194000,-2172000,-2378000,-1978000,-1978000,-64000,-2042000,-2042000,-2042000,-2042000,274302000,166162000,20167000,20167000,16520000,8437000,310989000,22019000,32058000,841000,11798000,19419000,54077000,365066000,21288000,6035000,15253000,23393000,23393000,44712000,190615000,10233000,10233000,200848000,245560000,273431000,-153925000,119506000,119506000,365066000,-2042000,2449000,8544000,-3240000,5711000,-659000,-108765000,215998000,-30342000,188540000,85486000,85486000,85486000,2643000,190646000,-1192000,0.59401,0.00317,-0.03341,-0.01709,-0.00559,0.58374,6.95538,2.05479,0.52222,-0.03527,-0.03527,1.05556,2.0639,-0.02059,-0.00637,-0.00372,-31.65191,-431.21649
"18","2018_Q4",40.2298412698413,"Down",65304000,-26179000,39125000,-38146000,-28564000,-9582000,979000,-2243000,-3595000,-1264000,-1264000,-41000,-1305000,-1305000,-1305000,-1305000,279626000,79619000,23903000,23903000,16595000,7962000,320124000,22909000,33083000,724000,11798000,20561000,55992000,376116000,20353000,4528000,15825000,25721000,25721000,46074000,193664000,8494000,8494000,202158000,248232000,283114000,-155230000,127884000,127884000,376116000,-1305000,2667000,11708000,-3626000,9444000,-3411000,-95211000,-2066000.00000006,1290000,-776000,-86543000,-86543000,-86543000,3646000,193664000,-3350000,0.59912,0.01499,-0.01998,-0.0102,-0.00347,2.56705,6.94804,1.94107,0.5149,-0.02233,-0.02233,1.11719,2.18777,-0.05731,-0.00395,-0.01015,-23.57707,-87.8059199999999
"19","2019_Q1",50.8370491803279,"Up",72335000,-28339000,43996000,-38010000,-29559000,-8451000,5986000,-2103000,-147000,3883000,3883000,-150000,3733000,3733000,3733000,3733000,291819000,81912000,24797000,24797000,17386000,8014000,334002000,25885000,34779000,631000,11798000,22350000,60664000,394666000,22215000,7010000,15205000,25779000,25779000,47994000,196763000,7161000,7161000,203924000,251918000,294338000,-151497000,142748000,142748000,394666000,3733000,2838000,10334000,-1435000,15470000,-4758000,-14263000,6376000,-15915000,1086000,2293000,2293000,2293000,8824000,196763000,2781000,0.60823,0.08275,0.05161,0.02615,0.00946,0.74498,6.95924,1.76477,0.49856,0.06269,0.06269,1.21473,2.39719,0.0467,0.01077,0.00802,-10.77244,-15.87972
"20","2019_Q2",50.7522222222222,"Down",74538000,-30851000,43687000,-44009000,-33463000,-10546000,-321999.999999999,-1651000,-3396000,-1973000,-1973000,49000,-1924000,-1924000,-1924000,-1924000,298942000,93492000,25840000,25840000,19814000,9719000,344596000,27496000,43274000,543000,11798000,30933000,70770000,415366000,26546000,7233000,19313000,29787000,29787000,56333000,199842000,8525000,8525000,208367000,264700000,304006000,-153421000,150666000,150666000,415366000,-1924000,3192000,12134000,-2212000,11190000,-3985000,1302000,-1894000,982000,-912000,11580000,11580000,11580000,2870000,199842000,-3376000,0.5861,-0.00432000000000002,-0.02581,-0.01277,-0.00463,1.75468,6.11712,1.75687,0.48112,-0.03241,-0.03241,1.25555,2.53787,-0.05687,-0.00536,-0.0094,-34.52962,307.76398
"21","2019_Q3",56.2478125,"Up",77436000,-31248000,46188000,-46103000,-35292000,-10811000,85000,-1916000,-3406000,-1831000,-1831000,-29000,-1860000,-1860000,-1860000,-1860000,307476000,110469000,28153000,28153000,22990000,12036000,358619000,28255000,48893000,455000,11798000,36640000,77148000,435767000,24036000,7534000,16502000,31934000,31934000,55970000,203051000,10176000,10176000,213227000,269197000,321705000,-155281000,166570000,166570000,435767000,-1860000,3361000,14276000,-8989000,6788000,-4241000,4735000,-1808000,3266000,5454000,16977000,16977000,16977000,3446000,203051000,-9755000,0.59647,0.0011,-0.02402,-0.01117,-0.00427,5.24462,6.40734,1.61612,0.46596,-0.03097,-0.03097,1.28929,2.77335,-0.16242,-0.0049,-0.02568,-30.30325,-1228.52941
"22","2019_Q4",61.18328125,"Up",83769000,-34472000,49297000,-48825000,-37160000,-11665000,472000,-2026000,-3486000,-1554000,-1554000,-50000,-1604000,-1604000,-1604000,-1604000,320958000,120573000,31407000,31407000,23087000,11140000,375452000,28399000,50173000,367000.000000001,11798000,38008000,78572000,454024000,28879000,6757000,22122000,32760000,32760000,61639000,206301000,8113000,8113000,214414000,276053000,334629000,-156885000,177971000,177971000,454024000,-1604000,3497000,15518000,265999.999999998,17677000,-4550000,-7716000,-1706000,1849000,143000,10104000,10104000,10104000,3969000,206301000,-264999.999999998,0.58849,0.00563,-0.01915,-0.00901,-0.00353,0.16521,6.09114,1.55111,0.45438,-0.02638,-0.02638,1.37792,2.92744,-0.00435999999999995,-0.00409,-0.00068,-28.8881299999999,-242.91737
"23","2020_Q1",71.2837096774194,"Up",92263000,-37940000,54323000,-51291000,-39123000,-12168000,3032000,-2122000,-3506000,910000,910000,-74000,836000,836000,836000,836000,319949000,77976000,37655000,37655000,23670000,10656000,381274000,33190000,67916000,15533000,11798000,40585000,101106000,482380000,30844000,10156000,20688000,35148000,35148000,65992000,209604000,10326000,10326000,219930000,285922000,351931000,-156049000,196458000,196458000,482380000,836000,4324000,28193000,-17787000,15566000,-6452000,-61952000,5408000,-13151000,3789000,-42597000,-42597000,-42597000,7356000,209604000,-16809000,0.58878,0.03286,0.00906,0.00426,0.00173,-20.10646,5.77758,1.45538,0.43452,0.01365,0.01365,1.50604,3.20685,-0.27438,0.00201,-0.04037,-15.00068,-36.39347
"24","2020_Q2",97.3309523809524,"Up",95088000,-40037000,55051000,-60007000,-44818000,-15189000,-4956000,-2412000,-2412000,-7368000,-7368000,-69000,-7437000,-7437000,-7437000,-7437000,326296000,155863000,39972000,39972000,27713000,13396000,393981000,34940000,74738000,14543000,11798000,48397000,109678000,503659000,34859000,8367000,26492000,36254000,36254000,71113000,212924000,13156000,13156000,226080000,297193000,368322000,-163486000,206466000,206466000,503659000,-7437000,4970000,22558000,-9697000,10394000,-6045000,66126000,413405747.432419,-1228999.99999999,1367000,77887000,77887000,77887000,14000.0000000009,212924000,-15659000,0.57895,-0.05212,-0.07821,-0.03602,-0.01477,2.10555,5.54021,1.43943,0.42275,-0.12053,-0.12053,1.54101,3.34602,-0.25377,-0.01719,-0.0362,-8098,22.87571
"25","2020_Q3",120.26203125,"Up",99792000,-42453000,57339000,-65568000,-48360000,-17208000,-8229000,-4905000,-6806000,-13134000,-18928000,2876000,-16052000,-16052000,-16052000,-16052000,685943000,233235000,39607000,39607000,33680000,17529000,759230000,39799000,112210000,25605000,34444000,52161000,234073000,993303000,48532000,12045000,36487000,35150000,35150000,83682000,642203000,13010000,13010000,655213000,738895000,432942000,-179538000,254408000,254408000,993303000,-16052000,6243000,30638000,-6064000,14765000,-8846000,-402479000,547350000,-91414000,465086000,77372000,77372000,77372000,-1986000,642203000,-19772000,0.57459,-0.08246,-0.16085,-0.0631,-0.01616,1.23175,9.0728,2.90437,0.64653,-0.25365,-0.25365,1.57692,4.02016,-0.31244,-0.01765,-0.02174,22.02417,5.31535
"26","2020_Q4",152.08265625,"Up",112143000,-46561000,65582000,-67367000,-49693000,-17674000,-1785000,-9017000,-9649000,-10802000,-11085000,-346000.000000001,-11431000,-11431000,-11431000,-11431000,780908000,301767000,42542000,42542000,33840000,15908000,857290000,41676000,114321000,23867000,34444000,56010000,155997000,1013287000,56205000,12829000,43376000,35762000,35762000,91967000,646592000,12339000,12339000,658931000,750898000,452597000,-190969000,262389000,262389000,1013287000,-11431000,6537000,33375000,-5650000,22831000,-5521000,48689000.0000001,-5003000,-833000.000000015,-2988000,68532000,68532000,68532000,4752000,646592000,-6073000,0.58481,-0.01592,-0.10193,-0.04357,-0.01128,0.53127,9.32171,2.86177,0.63811,-0.17457,-0.17457,1.71258,4.00704,-0.09274,-0.01241,-0.00659,-28.2651499999999,75.24706
"27","2021_Q1",170.848524590164,"Up",127885000,-51233000,76652000,-73987000,-55311000,-18676000,2665000,-8980000,-9481000,-6315000,-7202000,-8000,-7210000,-7210000,-7210000,-7210000,603543000,220372000,48731000,48731000,36844000,16149000,689118000,51213000,281284000,51684000,165420000,64180000,374624000,1063742000,65340000,17145000,48195000,38221000,38221000,103561000,643316000,37701000,37701000,681017000,784578000,477008000,-198179000,279164000,279164000,1063742000,-7210000,7337000,33669000,-14484000,19312000,-10010000,-94666000,-13885000,-687000,-6041000,-81395000,-81395000,-81395000,10002000,643316000,-14484000,0.59938,0.02084,-0.05638,-0.02583,-0.00678,2.00888,6.65422,2.81046,0.60477,-0.109,-0.109,1.93337,4.22042,-0.21897,-0.00751,-0.01508,3.9765,14.9242
"28","2021_Q2",172.386825396825,"Up",137882000,-59803000,78079000,-89165000,-67044000,-22121000,-11086000,-1763000,-1763000,-12849000,-12849000,517000,-12332000,-12332000,-12332000,-12332000,643469000,176326000,51987000,51987000,42922000,19673000,738378000,58296000,322075000,48737000,165420000,107918000,380371000,1118749000,74040000,16056000,57984000,39637000,39637000,113677000,782241000,78625000,78625000,860866000,974543000,331528000,-187768000,144206000,144206000,1118749000,-12332000,8763000,34339000,-17005000,13765000,-8229000,-51730000,-7840000,-455999.999999993,-6081000,-44046000,-44046000,-44046000,-2323000,782241000,-28074000,0.56627,-0.0804,-0.08944,-0.08552,-0.01102,2.27652,6.4954,6.75799,0.69921,-0.18483,-0.18483,2.06655,2.16032,-0.42077,-0.01227,-0.02793,-59.73827,-12.51777
"29","2021_Q3",182.4784375,"Up",143782000,-64395000,79387000,-93581000,-68933000,-24648000,-14194000,-2471000,-2471000,-16665000,-16665000,135000,-16530000,-16530000,-16530000,-16530000,566185000,175199000,53811000,53811000,48901000,22110000,668897000,63107000,330954000,45790000,165420000,119744000,466819000,1135716000,96794000,17632000,79162000,42619000,42619000,139413000,773588000,60009000,60009000,833597000,973010000,366637000,-204298000,162706000,162706000,1135716000,-16530000,9651000,38654000,-20383000,11392000,-11248000,-9770000,-12982000,-119000,-2749000,-1127000,-1127000,-1127000,-4543000,773588000,-36309000,0.55213,-0.09872,-0.11497,-0.10159,-0.01455,2.19655,4.79795,5.98017,0.68115,-0.24563,-0.24563,2.13659,2.41679,-0.53955,-0.01659,-0.03644,-45.65331,-14.61202
"30","2021_Q4",147.90734375,"Down",154328000,-67137000,87191000,-106182000,-76502000,-29680000,-18991000,-1734000,-1734000,-20725000,-20725000,188000,-20537000,-20537000,-20537000,-20537000,415289000,82465000,60383000,60383000,59463000,29814000,535135000,71444000,335859000,42843000,165420000,127596000,615771000,1150906000,99477000,21330000,78147000,47575000,47575000,147052000,773353000,59431000,59431000,832784000,979836000,395612000,-224835000,171070000,171070000,1150906000,-20537000,9780000,39061000,-33112000,-4808000,-9001000,-88231000,-1248000,-36999.9999999995,305000.000000002,-92734000,-92734000,-92734000,-9211000,773353000,-51512000,0.56497,-0.12306,-0.13307,-0.12005,-0.01784,2.50825,3.63909,5.72769,0.67195,-0.30649,-0.30649,2.30313,2.55196,-0.76874,-0.02046,-0.05131,-38.87352,-18.8544
"31","2022_Q1",116.404032258065,"Down",173599000,-79764000,93835000,-105814000,-75366000,-30448000,-11979000,-2067000,-2059000,-14046000,-14046000,10445000,-3601000,-3601000,-3601000,-3601000,469858000,90878000,83731000,83731000,63637000,30342000,617226000,77785000,350554000,39897000,165420000,145237000,575716000,1192942000,101369000,20510000,80859000,56206000,12486000,157575000,768599000,55636000,55636000,824235000,981810000,439855000,-228436000,211132000,211132000,1192942000,-3601000,10538000,41778000,-40579000,8136000,-13738000,-747000,-2618000,-5e+06,1024000,8413000,8413000,8413000,-1441000,768599000,-66203000,0.54053,-0.069,-0.02074,-0.01706,-0.00302,18.38462,3.91703,4.65022,0.64429,-0.05311,-0.05311,2.56046,3.11404,-0.97645,-0.00348,-0.06394,-207.31506,-24.93873
"32","2022_Q2",101.154838709677,"Down",182777000,-88867000,93910000,-124749000,-88925000,-35824000,-30839000,-1025000,-1025000,-31864000,-31864000,-2256000,-34120000,-34120000,-34120000,-34120000,477670000,100151000,77912000,77912000,69012000,32534000,624594000,91476000,353618000,36950000,165420000,151248000,563801000,1188395000,125042000,31981000,93061000,58746000,58746000,183788000,737865000,52383000,52383000,790248000,974036000,480215000,-262556000,214359000,214359000,1188395000,-34120000,10795000,54686000,-2637000,28724000,-12398000,11177000,-31905000,-12251345.0631544,-30628000,9273000,9273000,9273000,-20044000,737865000,-32823000,0.5138,-0.16872,-0.18668,-0.15917,-0.02871,0.96199,3.39845,4.54395,0.62089,-0.50024,-0.50024,2.67974,3.14174,-0.48123,-0.03396,-0.03267,-12.98119,-8.43721
