"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",7.8503125,"Down",166085000,-59137000,106948000,-95908000,-95908000,11040000,-4826000,-4826000,6214000,4150000,-1763000,2387000,2387000,2387000,2387000,16958000,16958000,7684000,7684000,81420000,26391000,26391000,132453000,113224000,448879000,120730000,108597000,219552000,562103000,694556000,95605000,50966000,44639000,2799000,129776000,252258000,33934000,218324000,488708000,618484000,124426000,-48354000,76072000,76072000,694556000,2387000,9455000,-978000,-16713000,-5849000,-5589000,-5589000,-7e+05,-728000,-12166000,-12166000,-12166000,20495000,239249000,-44000,0.64394,0.06647,0.01437,0.03138,0.00344,-0.01843,1.02063,8.13025,0.34446,0.27225,0.27225,18.94275,8.67636,-0.00502,0.00421,-8e-05,10.84611,20.13505
"12","2020_Q1",4.91403225806452,"Down",168064000,-68030000,100034000,-100693000,-100693000,-659000,-4719000,-4719000,-5378000,-41739000,3154000,-38585000,-38585000,-38585000,-38585000,21527000,21527000,7408000,7408000,72599000,21416000,21416000,122950000,107645000,403393000,112814000,77597000,212982000,511038000,633988000,85765000,43053000,42712000,2799000,122439000,241784000,31034000,210750000,472984000,595423000,125519000,-86954000,38565000,38565000,633988000,-38585000,9615000,35210000,8726000,14966000,-4729000,-4729000,-5700000,-5668000,4569000,4569000,4569000,8956000,233999000,9799000,0.59521,-0.00392000000000001,-0.22959,-1.00052,-0.06086,-0.25396,1.00417,15.43947,0.36909,-4.3809,-4.3809,19.08181,4.37863,1.11257,-0.07502,0.01905,23.72398,-322.41578
"13","2020_Q2",2.70936507936508,"Down",90969000,-40804000,50165000,-87908000,-87908000,-37743000,-4643000,-4643000,-42386000,-94386000,24117000,-70269000,-70269000,-70269000,-70269000,54823000,54823000,1974000,1974000,75516000,38848000,38848000,171161000,95601000,351538000,103770000,59697000,188071000,447139000,618300000,120445000,58621000,61824000,266672000,421983000,227482000,19261000,208221000,227482000,649465000,126058000,-157223000,-31165000,-31165000,618300000,-70269000,9033000,41343000,22858000,2965000,-1832000,-1832000,32300000,32163000,33296000,33296000,33296000,-28710000,266672000,-31801000,0.55145,-0.4149,-0.77245,2.25474,-0.11365,0.45256,0.40561,-20.83956,0.4313,-7.91123,-7.91123,10.24174,-3.50871,-3.58031,-0.15177,-0.06869,-7.37893,-5.61293
"14","2020_Q3",2.894375,"Up",92636000,-37616000,55020000,-77737000,-77737000,-22717000,-4244000,-4244000,-26961000,-26068000,7034000,-19034000,-19034000,-19034000,-19034000,31762000,31762000,4165000,4165000,64214000,44095000,44095000,144236000,89647000,340767000,101505000,59697000,179565000,430414000,574650000,113530000,43971000,69559000,265152000,413202000,211045000,16285000,194760000,211045000,624247000,126660000,-176257000,-49597000,-49597000,574650000,-19034000,8274000,-3027999.99999999,-6517000,-20305000,-843000,-843000,-1899000,-1913000,-23061000,-23061000,-23061000,-14443000,265152000,-28837000,0.59394,-0.24523,-0.20547,0.38377,-0.03312,1.51503,0.34907,-12.58639,0.46141,-2.12589,-2.12589,10.34642,-5.53944,-3.22078,-0.04462,-0.0676,-16.15939,-10.2738
"15","2020_Q4",3.88390625,"Up",117224000,-48225000,68999000,-92184000,-92184000,-23185000,-4753000,-4753000,-27938000,-30472000,7313000,-23159000,-23159000,-23159000,-23159000,9197000,9197000,3728000,3728000,67584000,41570000,41570000,122079000,83337000,331914000,99240000,59697000,172977000,415251000,537330000,120242000,62518000,57724000,2799000,159605000,219658000,16824000,202834000,448205000,607810000,128936000,-199416000,-70480000,-70480000,537330000,-23159000,8356000,3498000,8281000,-3024000,-362000,-362000,-17940000,-19179000,-22565000,-22565000,-22565000,-14829000,231346000,-14223000,0.58861,-0.19778,-0.19756,0.32859,-0.0431,0.61415,0.76488,-8.62386,0.43055,-2.5235,-2.5235,12.77319,-7.67978,-1.54979,-0.06086,-0.03738,-14.98071,-9.58158
"16","2021_Q1",5.27754098360656,"Up",125901000,-54458000,71443000,-85619000,-85619000,-14176000,-4589000,-4589000,-18765000,-36640000,9698000,-26942000,-26942000,-26942000,-26942000,4407000,4407000,7793000,7793000,58034000,43035000,43035000,113269000,73906000,310007000,88976000,59697000,161334000,383913000,497182000,100117000,56263000,43854000,13945000,152029000,213339000,13835000,199504000,442051000,594080000,129460000,-226358000,-96898000,-96898000,497182000,-26942000,8021000,18371000,-13897000,-14447000,-768000,-768000,10446000,10425000,-4790000,-4790000,-4790000,-6155000,242657000,-30518000,0.56745,-0.1126,-0.21399,0.27804,-0.05419,1.13273,0.74505,-6.13098,0.48806,-2.79894,-2.79894,13.07956,-10.06651,-3.17044,-0.07503,-0.08499,-38.70837,-16.80657
"17","2021_Q2",13.835873015873,"Up",129086000,-41260000,87826000,-79139000,-79139000,8687000,-4807000,-4807000,3880000,-16916000,-1392000,-18308000,-18308000,-18308000,-18308000,10725000,10725000,7085000,7085000,59298000,44705000,44705000,121813000,68742000,298840000,86909000,59697000,152234000,367582000,489395000,89843000,47149000,42694000,25843000,151780000,223707000,14202000,209505000,452649000,604429000,129632000,-244666000,-115034000,-115034000,489395000,-18308000,7577000,21566000,-14968000,-4133000,-476000,-476000,11198000,10927000,6318000,6318000,6318000,16264000,254785000,2212000,0.68037,0.0673,-0.14183,0.15915,-0.03741,-0.12082,0.80256,-5.25435,0.52061,-1.89399,-1.89399,13.35416,-11.90046,0.22884,-0.05037,0.00609,15.00615,28.09485
"18","2021_Q3",19.82578125,"Up",159236000,-49883000,109353000,-85846000,-85846000,23507000,-4746000,-4746000,18761000,-20202000,-4446000,-24648000,-24648000,-24648000,-24648000,18101000,18101000,5506000,5506000,48492000,43410000,43410000,115509000,63991000,289974000,84843000,59697000,145434000,353965000,469474000,86792000,37783000,49009000,7690000,129275000,176711000,14270000,162441000,401065000,530340000,208448000,-269314000,-60866000,-60866000,469474000,-24648000,7292000,41324000,8027000,31995000,-850000,-850000,-23743000,-23769000,7376000,7376000,7376000,30799000,232044000,42422000,0.68674,0.14762,-0.15479,0.40496,-0.0525,-1.72111,0.89351,-8.71324,0.49426,-2.54988,-2.54988,16.47322,-6.29669,4.38863,-0.07085,0.12194,6.94643000000001,9.10125
"19","2021_Q4",17.05078125,"Down",151731000,-47196000,104535000,-85531000,-85531000,19004000,-5174000,-5174000,13830000,13830000,-2592000,11238000,11238000,11238000,11238000,17473000,17473000,8073000,8073000,56902000,43675000,43675000,126123000,60047000,2.8e+08,82777000,59697000,137526000,340047000,466170000,106089000,54238000,51851000,6999000,146342000,167016000,14114000,152902000,368695000,515037000,209209000,-258076000,-48867000,-48867000,466170000,11238000,7224000,1965000,5134000,25561000,-1162000,-1162000,-2.5e+07,-25027000,-628000,-628000,-628000,26228000,208678000,32792000,0.68895,0.12525,0.07407,-0.22997,0.02411,2.91796,0.86184,-10.53957,0.44764,0.93874,0.93874,12.67445,-4.08198,2.73919,0.03439,0.10033,7.29011,10.0613
"20","2022_Q1",15.7903225806452,"Down",145153000,-52431000,92722000,-85200000,-85200000,7522000,-4359000,-4359000,3163000,3163000,412000,3575000.00000001,3575000.00000001,3575000.00000001,3575000.00000001,35957000,35957000,5811000,5811000,56024000,25456000,25456000,123248000,57329000,271272000,80711000,59697000,130864000,328601000,451849000,98777000,49924000,48853000,7692000,138745000,155642000,10704000,144938000,357758000,496503000,209847000,-254501000,-44654000,-44654000,451849000,3575000.00000001,7166000,-1720000,12555000,21576000,-2986000,-2986000,-15000,-106000,18484000,18484000,18484000,14688000,209808000,23845000,0.63879,0.05182,0.02463,-0.08006,0.00791,6.66993,0.88831,-11.11889,0.46433,4.93424,4.93424,200.34119,-61.63176,32.91104,0.01114,0.07433,11.83626,23.11234
"21","2022_Q2",17.0372580645161,"Up",157069000,-47606000,109463000,-85578000,-85578000,23885000,-4460000,-4460000,19425000,19425000,-5010000,14415000,14415000,14415000,14415000,40839000,40839000,7596000,7596000,63216000,27135000,27135000,138786000,53254000,271542000,78830000,59697000,133015000,324796000,463582000,95816000,46535000,49281000,7671000,138156000,153080000,10704000,142376000,355744000,493900000,209768000,-240086000,-30318000,-30318000,463582000,14415000,6713000,1833000,-15793000,7168000,-750000,-750000,-715000,-1536000,4882000,4882000,4882000,30598000,210335000,19065000,0.69691,0.15207,0.09177,-0.47546,0.03109,1.32258,1.00456,-16.29065,0.45372,1.03895,1.01721,11.32066,-2.18515,1.3741,0.04328,0.05724,5.53945,7.09634
"22","2022_Q3",16.7740625,"Down",160343000,-47869000,112474000,-84281000,-84281000,28193000,-4476000,-4476000,23717000,23717000,-5912000,17805000,17805000,17805000,17805000,61856000,61856000,4090000,4090000,54383000,25608000,25608000,145937000,50427000,263908000,76949000,59697000,127262000,314335000,460272000,85768000,40184000,45584000,2739000,123174000,145534000,10704000,134830000,348879000,472053000,210500000,-222281000,-11781000,-11781000,460272000,17805000,6329000,2411000,1744000,28289000,-1411000,-1411000,-5617000,-5861000,21017000,21017000,21017000,34522000,206084000,40767000,0.70146,0.17583,0.11104,-1.51133,0.03868,2.28964,1.1848,-40.06901,0.44774,1.27814,1.24926,11.51032,-0.845710000000004,2.92648,0.05239,0.11996,4.17786,5.11574
