"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",12.7916666666667,"Up",95012000,-36009000,-5677000,-30332000,59003000,-27683000,-27683000,31320000,2603000,33923000,33923000,33923000,33923000,33923000,1711000,1711000,363801000,238621000,37680000,1020000,36660000,403192000,2458180000,3038553000,-580373000,47339000,73294000,73294000,2578813000,2982005000,145744000,145744000,1566932000,1712676000,2.58e+08,2.58e+08,1970676000,257201000,754128000,1011329000,1011329000,2982005000,33923000,30332000,-5584000,-7367000,51304000,-173292000,-5066000,15842000,-162516000,-49512000,154971000,5727000,5727000,-5214000,105972000,-5240000,-5240000,-5240000,89335000,1824932000,0.62101,0.35704,0.03354,0.01138,0.23542,1.9486,0.61198,0.30354,0.30199,0.85016,9.04928,0.44303,0.02942,1.45954,20.40881,30.90048
"13","2013_Q2",15.83171875,"Up",101761000,-37156000,-5197000,-31959000,64605000,-26351000,-26351000,38254000,-134000,38120000,38120000,38120000,38120000,38120000,25611000,25611000,370809000,240551000,35397000,1020000,34377000,431817000,2434503000,3046805000,-612302000,48537000,89784000,89784000,2572824000,3004641000,133193000,133193000,1565694000,1698887000,2e+08,2e+08,1898887000,313506000,792248000,1105754000,1105754000,3004641000,38120000,31959000,-5180000,-7299000,57600000,-8328000,-2968000,-160000,-11456000,-50579000,-58642000,87783000,87783000,-806000,-22244000,23900000,23900000,23900000,96564000,1765694000,0.63487,0.3746,0.03447,0.01269,0.25418,1.71728,0.58766,0.338,0.33579,0.90228,9.80435,0.44847,0.03089,1.32684,18.02,26.93418
"14","2013_Q3",14.8621875,"Down",102515000,-37773000,-5483000,-32225000,64742000,-14524000,-14524000,50218000,-1160000,49058000,49058000,49058000,49058000,49058000,7039000,7039000,379313000,241254000,41147000,1020000,40127000,427499000,2407849000,3051363000,-643514000,74646000,69802000,69802000,2552297000,2979796000,135835000,135835000,1501665000,1637500000,2.05e+08,2.05e+08,1842500000,295990000,841306000,1137296000,1137296000,2979796000,49058000,32225000,-16617000,-938000,63728000,-8978999.99999999,-27280000,2758000,-33501000,-53431000,-47211000,52069000,52069000,-226000,-48799000,-18572000,-18572000,-18572000,96967000,1706665000,0.63154,0.47854,0.04314,0.01646,0.26107,1.62007,0.57275,0.42219,0.41922,0.88224,9.78749,0.45982,0.03604,1.08914,17.52788,26.25229
"15","2013_Q4",15.701875,"Up",103301000,-39985000,-5462000,-32202000,63316000,-25188000,-25188000,38128000,9000,38137000,38137000,38137000,38137000,38137000,67757000,67757000,383916000,241490000,29801000,1020000,28781000,481474000,2384503000,3060188000,-675685000,75421000,73380000,73380000,2533304000,3014778000,124733000,124733000,1500047000,1624780000,2e+08,2e+08,1824780000,310555000,879443000,1189998000,1189998000,3014778000,38137000,32202000,-3472000,11855000,78722000,-8825000,-1947000,-14066000,-24838000,-55063000,-6210000,68128000,68128000,-21000,6834000,60718000,60718000,60718000,95518000,1700047000,0.61293,0.36918,0.03205,0.01265,0.29633,1.53343,0.5639,0.32429,0.32193,0.87841,10.11903,0.46822,0.03225,1.44382,17.08882,25.78006
"16","2014_Q1",16.022131147541,"Up",111137000,-37461000,-5446000,-32260000,73676000,-25944000,-25944000,47732000,-526000,47206000,47206000,47206000,47206000,47206000,2616000,2616000,389019000,241515000,33115000,1356000,31759000,424750000,2392137000,3099547000,-707410000,582499000,62830000,62830000,3037466000,3462216000,137695000,137695000,1498418000,1636113000,5.26e+08,5.26e+08,2162113000,373454000,926649000,1300103000,1300103000,3462216000,47206000,32260000,-6167000,6600000,79899000,-566405000,-4460000,41829000,-529036000,-59043000,324776000,126218000,126218000,-7955000,383996000,-65141000,-65141000,-65141000,105936000,2024418000,0.66293,0.42476,0.03631,0.01363,0.25961,1.66303,0.58472,0.38552,0.38256,0.90763,10.61768,0.48219,0.03196,1.25075,19.08513,27.4418
"17","2014_Q2",18.2238095238095,"Up",121001000,-37925000,-6497000,-31444000,83076000,-30035000,-30035000,53041000,2788000,55829000,55829000,55829000,55829000,55829000,20374000,20374000,507360000,354497000,29637000,820000,28817000,557371000,2368577000,3107285000,-738708000,587847000,65130000,65130000,3021554000,3578925000,132456000,132456000,1891122000,2023578000,2e+08,2e+08,2223578000,372869000,982478000,1355347000,1355347000,3578925000,55829000,31444000,-6619000,-2598000,78056000,-8034000,-4065000,-108284000,-120383000,-61670000,67082000,59358000,59358000,-4685000,60085000,17758000,17758000,17758000,114520000,2091122000,0.68657,0.46139,0.04119,0.0156,0.27544,1.6406,0.58429,0.44857,0.44727,0.97222,10.88991,0.4955,0.03409,1.10462,18.08198,24.92595
"18","2014_Q3",19.04203125,"Up",121800000,-40359000,-6297000,-31301000,81441000,-33021000,-33021000,48420000,-1603000,46817000,46817000,46817000,46817000,46817000,28689000,28689000,806081000,652336000,35601000,820000,34781000,870371000,2356633000,3124909000,-768276000,590321000,72034000,72034000,3018988000,3889359000,145951000,145951000,1889613000,2035564000,4.7e+08,4.7e+08,2505564000,354500000,1029295000,1383795000,1383795000,3889359000,46817000,31301000,1104000,9477000,88699000,-22328000.0000001,-1314000,-296268000,-319910000,-63822000,268748000,43598000,43598000,-8998000,239526000,8315000.00000001,8315000.00000001,8315000.00000001,112742000,2359613000,0.66865,0.38438,0.03383,0.01204,0.42758,1.81065,0.60668,0.37017,0.36738,0.96304,10.94134,0.50463,0.02956,1.36322,20.67485,28.62101
"19","2014_Q4",19.8778125,"Up",130665000,-36083000,-5987000,-30111000,94582000,-30488000,-30488000,64094000,-2381000,61713000,61713000,61713000,61713000,61713000,452000,452000,810218000,647590000,38491000,6670000,31821000,849161000,2349251000,3143356000,-794105000,588539000,70551000,70551000,3008341000,3857502000,149745000,149745000,2098380000,2248125000,2.03e+08,2.03e+08,2451125000,315369000,1091008000,1406377000,1406377000,3857502000,61713000,30111000,-5149000,6164000,92839000,-29822000,-1332000,10483000,-20671000,-65777000,-54714000,25304000,25304000,-5218000,-100405000,-28237000,-28237000,-28237000,124693000,2301380000,0.72385,0.4723,0.04388,0.016,0.37772,1.74286,0.5966,0.48416,0.48053,1.02511,11.03352,0.51604,0.03438,1.06585,18.45274,24.32734
"20","2015_Q1",21.9947540983607,"Up",131321000,-37501000,-7107000,-30401000,93820000,-33281000,-33281000,60539000,-3549000,56990000,56990000,56990000,56990000,56990000,4489000,4489000,816255000,648079000,41868000,12792000,29076000,862612000,2402073000,3223785000,-821712000,588184000,68776000,68776000,3059033000,3921645000,141815000,141815000,2093503000,2235318000,2.85e+08,2.85e+08,2520318000,253329000,1147998000,1401327000,1401327000,3921645000,56990000,30401000,-5453000,-3992000,77946000,-89422000,-2730000,5171000,-86981000,-67232000,77488000,5208000.00000001,5208000.00000001,-2392000,13072000,4037000.00000003,4037000.00000003,4037000.00000003,124221000,2378503000,0.71443,0.43397,0.04067,0.01453,0.3859,1.79852,0.60651,0.44592,0.44354,1.02753,10.96474,0.52606,0.03286,1.17972,19.11121,25.30392
"21","2015_Q2",19.8126984126984,"Down",133420000,-36622000,-6014000,-30610000,96798000,-42896000,-42896000,53902000,-10850000,43052000,43052000,43052000,43052000,43052000,700143000,700143000,826670000,649793000,44757000,16877000,27880000,1571570000,2380743000,3227983000,-847240000,590114000,55593000,55593000,3026450000,4598020000,199691000,199691000,2427376000,2627067000,2e+08,2e+08,2827067000,579903000,1191050000,1770953000,1770953000,4598020000,43052000,30610000,9239000,20393000,103294000,-11904000,-1468000,-5155000,-18527000,-68261000,256939000,445433000,445433000,-23224000,610887000,695654000,695654000,695654000,127408000,2627376000,0.72551,0.32268,0.02431,0.00936,0.59822,1.59635,0.57141,0.32046,0.31936,0.99311,13.18203,0.5081,0.02531,1.58555,15.12647,19.90984
"22","2015_Q3",19.174375,"Down",197711000,-69457000,-10308000,-59156000,128254000,-39051000,-39051000,89203000,-45198000,44005000,43466000,43466000,43466000,43466000,25154000,25154000,871292000,682255000,37448000,15903000,21545000,933894000,5614940000,6513674000,-898734000,654332000,610510000,67417000,6879782000,7813676000,271584000,271584000,2596924000,2868508000,8.51e+08,867852000,3736360000,2474255000,1232478000,3709572000,4077316000,7813676000,43466000,59156000,-13204000,380000,89798000,-183231000,-35132000,112186000,-106177000,-83126000,-588708000,24714000,24713999.9999999,-11531000,-658651000,-675030000,-675030000,-675030000,187410000,3447924000,0.64869,0.21985,0.01066,0.00556,0.32557,0.91638,0.44127,0.23791,0.2235,1.08218,20.3045,0.45499,0.01678,1.91244,18.26354,26.68743
"23","2015_Q4",19.14921875,"Down",201974000,-70604000,-10160000,-60143000,131370000,-40021000,-40021000,91349000,-7689000,83660000,83254000,83254000,83254000,83254000,15319000,15319000,872616000,673759000,33770000,10371000,23399000,921705000,5764946000,6723479000,-958533000,669017000,1237815000,683066000,7671778000,8593483000,267690000,267690000,3194917000,3462607000,1.05e+09,1066225000,4528832000,2391110000,1311880000,3699040000,4064651000,8593483000,83254000,60143000,-6387000,-7298000,129712000,-118102000,-12889000,-95056000,-226047000,-101718000,796830000,35256000,35256000,-643718000,86650000,-9685000,-9685000,-9685000,191513000,4244917000,0.65043,0.4122,0.02048,0.00969,0.26619,1.1142,0.49397,0.45066,0.42654,1.09329,20.02306,0.5506,0.02222,1.22178,22.08517,32.19607
"24","2016_Q1",18.4785245901639,"Down",210512000,-80459000,-12086000,-60794000,130053000,-61128000,-60955000,68925000,-5115999.99999999,63809000,63543000,63543000,63543000,63543000,5424000,5424000,883657000,679795000,21206000,6599000,14607000,910287000,5724808000,6743958000,-1019150000,6.77e+08,677841000,32158000,7079649000,7989936000,333706000,333706000,2564320000,2898026000,975693000,991045000,3889071000,2374176000,1372522000,3737986000,4100865000,7989936000,63543000,60794000,15601000,-13326000,126612000,-14135000,-15913000,-16612000,-46660000,-105127000,-669251000,84766000,84766000,585410000,-104202000,-24250000.0000001,-24250000.0000001,-24473000,190847000,3540013000,0.61779,0.30185,0.0155,0.00795,0.31411,0.94835,0.44306,0.33946,0.32164,1.12461,19.96937,0.56162,0.02203,1.65442,18.52054,27.17807
"25","2016_Q2",19.15234375,"Up",212879000,-78012000,-10455000,-62433000,134867000,-39666000,-39644000,95201000,-36758000,58443000,58196000,58196000,58196000,58196000,9407000.00000001,9407000.00000001,868838000,660569000,85916000,73589000,12327000,964161000,6021937000,7088960000,-1067023000,794454000,834900000,189332000,7651291000,8615452000,328932000,328932000,2589192000,2918124000,1.63e+09,1644795000,4562919000,2286660000,1428077000,3693035000,4052533000,8615452000,58196000,62433000,26151000,-19601000,127179000,-425648000,-116003000,-132129000,-673780000,-107500000,649691000,19596000,19596000,-11098000,550689000,4088000,4088000,3983000,197300000,4219192000,0.63354,0.27338,0.01436,0.00675,0.3304,1.12594,0.48972,0.30918,0.2934,1.13096,19.62001,0.57112,0.02,1.84721,21.33697,31.21434
"26","2016_Q3",20.76609375,"Up",228824000,-76183000,-11832000,-65505000,152641000,-41857000,-41857000,110784000,2824000.00000001,113608000,113154000,113154000,113154000,113154000,32959000,32959000,839170000,625134000,66284000,52451000,13833000,938413000,6156763000,7288051000,-1131288000,793452000,717870000,73389000,7668085000,8606498000,329368000,329368000,2592297000,2921665000,1.57e+09,1582903000,4504568000,2254981000,1536129000,3744647000,4101930000,8606498000,113154000,65505000,-16020000,-2923000,159716000,-219042000,-20533000,204387000,-35188000,-109568000,-60310999.9999998,74224000,74224000,-5223999.99999988,-100879000,23649000,23649000,23552000,218146000,4162297000,0.66707,0.4945,0.02759,0.01315,0.32119,1.09816,0.48362,0.59876,0.56816,1.21083,19.81494,0.57978,0.02691,0.96831,18.92924,27.05261
"27","2016_Q4",18.3666666666667,"Down",224638000,-80741000,-12428000,-68316000,143897000,-47237000,-47015000,96660000,-14445000,82215000,82134000,82134000,82134000,82134000,32567000,32567000,849564000,624339000,103492000,91210000,12282000,985623000,6407809000,7593886000,-1186077000,875030000,713901000,69772000,7996740000,8982363000,361596000,361596000,3110639000,3472235000,1.323e+09,1334937000,4807172000,2259550000,1614678000,3822058000,4175191000,8982363000,82134000,68316000,1789000,18103000,170342000,-347545000,-106463000,28111000,-425897000,-116595000,270859000,135949000,135949000,-35321000,254892000,-663000,-663000,-392000,212213000,4433639000,0.64057,0.36563,0.01967,0.00914,0.28386,1.15137,0.49359,0.4231,0.40246,1.15719,19.68885,0.60062,0.02305,1.41957,20.73894,30.58488
"28","2017_Q1",19.4948387096774,"Up",234486000,-87838000,-11152000,-70808000,146648000,-46860000,-46872000,99788000,30279000,130067000,129883000,129883000,129883000,129883000,93687000,93687000,879378000,639343000,66457000,52868000,13589000,1039522000,6326022000,7566358000,-1240336000,858784000,724932000,32682000,7909738000,8949260000,360514000,360514000,3082511000,3443025000,1284343000,1294249000,4737274000,2173635000,1738937000,3858745000,4211986000,8949260000,129883000,70808000,-36548000,3393000,167536000,-10064000,-28558000,58261000,20957000.0000001,-119489000,-33315000,29923000,29923000,-5524999.99999999,-128406000,60087000,60087000,60102000,217456000,4366854000,0.6254,0.55391,0.03084,0.01451,0.30192,1.12471,0.48796,0.66337,0.63371,1.19763,19.70839,0.61029,0.02903,0.91997,19.65072,29.13894
"29","2017_Q2",20.4612698412698,"Up",231744000,-84921000,-12524000,-69993000,146823000,-47478000,-47539000,99345000,10235000,109580000,109112000,109112000,109112000,109112000,40349000,40349000,917202000,644696000,35443000,23245000,12198000,992994000,6275581000,7581665000,-1306084000,860676000,712867000,29023000,7849124000,8842118000,316985000,316985000,3082990000,3399975000,1217875000,1227621000,4627596000,2068595000,1843377000,3863494000,4214522000,8842118000,109112000,69993000,-8991000,-57567000,112547000,-18002000,-22144000,47910000,16351000,-122272000,-67318000,14094000,14094000,-8293000,-183789000,-54891000,-54891000,-54729000,216816000,4300865000,0.63356,0.47083,0.02589,0.01234,0.29206,1.09801,0.48641,0.55383,0.52922,1.17629,19.61035,0.62063,0.02714,1.12061,19.65038,29.01804
"30","2017_Q3",20.2087301587302,"Down",235797000,-84564000,-11541000,-70350000,151233000,-72260000,-72339000,78973000,-10776000,68197000,68157000,68157000,68157000,68157000,21031000,21031000,951395000,662709000,31092000,18889000,12203000,1003518000,6363823000,7730199000,-1366376000,861292000,718021000,34869000,7943136000,8946654000,323543000,323543000,3375595000,3699138000,1054292000,1072006000,4771144000,1961568000,1908634000,3828299000,4175510000,8946654000,68157000,70350000,12221000,925000.000000007,151653000,-134603000,-30084000,11329000,-152204000,-124450000,126928000,12261000,12261000,-33501000,-18762000,-19313000,-19313000,-19313000,221583000,4429887000,0.64137,0.28905,0.01632,0.00762,0.27128,1.14265,0.49514,0.34522,0.32978,1.19431,19.39037,0.63034,0.02234,1.82593,19.89709,29.15274
"31","2017_Q4",18.5685714285714,"Down",219638000,-92075000,-11560000,-71925000,127563000,-49512000,-49607000,78051000,-215112000,-137061000,-137515000,-137515000,-137515000,-137515000,24318000,24318000,936352000,666606000,27920000,17324000,10596000,988590000,6544889000,7977043000,-1432154000,638818000,718349000,36045000,7902056000,8890646000,285690000,285690000,3376307000,3661997000,1268221000,1285810000,4947807000,1864715000,1776956000,3606828000,3942839000,8890646000,-137515000,71925000,236543000,-7885000,163068000,-224907000,-33847000,-6666000,-264195000,-126702000,209676000,25977000,25977000,-6391000,102560000,1433000,1433000,1680000,199488000,4644528000,0.58079,-0.6261,-0.03488,-0.01547,0.26996,1.25488,0.52241,-0.69491,-0.66541,1.1099,18.22643,0.64026,-0.00126,-0.92137,23.16034,36.21904
"32","2018_Q1",17.5711475409836,"Down",221206000,-88294000,-12058000,-75323000,132912000,-50415000,-50491000,82497000,-17291999.9999999,65205000,65155999.9999999,65155999.9999999,65156000,65156000,85937000,85937000,950566000,671232000,97570000,86699000,10871000,1134073000,6279132000,7655960000,-1376828000,641307000,718793000,37587000,7639232000,8773305000,295142000,295142000,3377488000,3672630000,1194670000,1212417000,4885047000,1745885000,1839356000,3555091000,3888258000,8773305000,65155999.9999999,75323000,9829999.99999994,335000,150644000,-52855000,-52972000,219533000,114915000,-129179000,-75325000,6510000,6510000,-5830000,-203824000,61735000,61735000,61894000,208235000,4572158000,0.60085,0.29455,0.01676,0.00743,0.30879,1.25636,0.52114,0.32805,0.31377,1.11374,17.89932,0.6504,0.02292,1.98261,21.54403,33.75332
