"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",22.6490322580645,"Up",297289000,-241025000,56264000,-34712000,-34712000,21552000,-273000,-463000,21279000,21892000,-6819000,15073000,15073000,15073000,15073000,49494000,49494000,5729000,5729000,857885000,40457000,40457000,953565000,11412000,42551000,21365000,53963000,1007528000,78022000,15708000,62314000,337110000,196782000,533892000,355783000,117853000,473636000,473636000,1007528000,15073000,1365000,14448000,-15322000,15564000,-1225000,-18201000,3365000,-1000,14733000,12096000,12096000,12096000,22917000,454088000,13189000,0.18926,0.0725,0.0507,0.03182,0.01496,0.87501,2.82865,1.12722,0.4507,0.72516,0.71872,14.30257,22.78662,0.63452,0.01622,0.01419,17.65475,18.77292
"12","2017_Q2",25.2690476190476,"Up",228316000,-184222000,44094000,-33212000,-33212000,10882000,437000,437000,11319000,12051000,-3252000,8799000,8799000,8799000,8799000,40681000,40681000,7037000,7037000,884072000,40259000,40259000,972049000,11365000,42612000,21365000,53977000,1026026000,81163000,8280000,72883000,81162999.9999999,448398000,529561000,369813000,126652000,496465000,496465000,1026026000,8799000,1383000,3063999.99999999,-23362000,-10116000,-1052000,-1027000.00000001,-4082000,-5437000,5504000.00000001,-5639000,-5639000,-5639000,12265000,447948000,-8897000,0.19313,0.04766,0.03854,0.01772,0.00858,-1.01114,11.9765,1.06666,0.43659,0.40902,0.40506,10.61328,23.0782,-0.41358,0.00931,-0.00942,33.20563,37.42575
"13","2017_Q3",23.7446031746032,"Down",291824000,-237079000,54745000,-34220000,-34220000,20525000,824000,824000,21349000,23109000,-8278000,14831000,14831000,14831000,14831000,362766000,362766000,8209000,8209000,926992000,53455000,42220000,1351422000,12141000,41943000,21365000,54084000,1405506000,96156000,4324000,91832000,883556000,123000,883679000,380344000,141483000,521827000,521827000,1405506000,14831000,1435000,-6789000,-38666000,-29189000,-1833000,-4808000,340092000,-1849000,347553000,313556000,313556000,313556000,21960000,776849000,-10261000,0.1876,0.07033,0.05082,0.02842,0.01055,-0.69186,1.52953,1.69343,0.55272,0.67056,0.66395,13.1943,23.59347,-0.46393,0.01142,-0.0079,18.85624,20.17457
"14","2017_Q4",27.9512698412698,"Up",379715000,-315918000,63797000,-46165000,-46165000,17632000,1013000,1013000,18645000,15156000,-5686000,9470000,9470000,9470000,9470000,100784000,100784000,20810000,20810000,1352989000,92433000,62362000,1567016000,13658000,50334000,21365000,63992000,1631008000,174515000,16810000,157705000,977996000,-125058929.701049,977996000,502059000,150953000,653012000,653012000,1631008000,9470000,2255000,-16938000,-80891000,-86104000,-2982000,-60287000,14720000,-152505000,-127108000,-273499000,-273499000,-273499000,19887000,776016000,-58300000,0.16801,0.04643,0.02494,0.0145,0.00581,-6.15628,1.60227,1.49767,0.47579,0.37158,0.36754,14.89929,25.62293,-2.28758,0.00663,-0.0408,33.95344,38.29583
"15","2018_Q1",31.0806557377049,"Up",523944000,-431320000,92624000,-62707000,-62707000,29917000,663000,663000,30580000,33848000,-16653000,17195000,17195000,17195000,17195000,126555000,126555000,12999000,12999000,1390354000,113139000,60812000,1643047000,27911000,64064000,27363000,91975000,1735022000,175187000,24831000,150356000,999789000,-1.19209289550781e-07,999789000,567085000,168148000,735233000,735233000,1735022000,17195000,1900000,6844000,-15178000,10761000,-11760000,-68324000,25412000,-5938000,82527000,24964000,24964000,24964000,31817000,776283000,21532000,0.17678,0.0571,0.03282,0.02339,0.00991,1.25222,1.64339,1.35983,0.44742,0.61392,0.60554,18.70673,26.25053,0.76877,0.01138,0.01425,20.42078,21.71769
"16","2018_Q2",30.04203125,"Down",401846000,-324855000,76991000,-56522000,-56522000,20469000,-357000,-357000,20112000,23107000,-3088000,20019000,20019000,20019000,20019000,51521000,51521000,12006000,12006000,1480208000,101741000,61562000,1645476000,29816000,65193000,26456000,95009000,1740485000,169312000,23194000,146118000,983067000,0,983067000,569834000,187584000,757418000,757418000,1740485000,20019000,2726000,16447000,-83763000,-44571000,-2370000,-2074999.99999999,-11307000,-4790000,-11076000,-57722000,-57722000,-57722000,23195000,776742000,-59850000,0.19159,0.05094,0.04982,0.02643,0.0115,-2.98966,1.67382,1.29792,0.44628,0.67825,0.67102,13.61473,25.66168,-2.02775,0.01305,-0.03901,31.26626,35.43021
"17","2018_Q3",29.2998412698413,"Down",531894000,-433623000,98271000,-63634000,-63634000,34637000,349000,349000,34986000,46502000,-13309000,33193000,33193000,33193000,33193000,63362000,63362000,20890000,20890000,1696931000,128459000,71106000,1909642000,32482000,43549000,28272000,76031000,1985673000,221693000,59608000,162085000,1051967000,1.3e+08,1181967000,582928000,220778000,803706000,803706000,1985673000,33193000,2786000,-24197000,-48103000,-36321000,-5164000,-33173000,145986000,-97750000,57524000,-11970000,-11970000,-11970000,37423000,907275000,-2535000,0.18476,0.06512,0.06241,0.0413,0.01672,-0.07637,1.81531,1.47065,0.45691,1.10999,1.1001,17.78676,26.87627,-0.08477,0.0194,-0.00148,22.55065,24.36449
"18","2018_Q4",20.4125396825397,"Down",561729000,-467409000,94320000,-70917000,-70975000,23403000,-545000,-545000,22858000,22858000,-5810000,17048000,17048000,17048000,17048000,47833000,47833000,28015000,28015000,1834897000,162685000,100245000,2073430000,32827000,46237000,30620000,79064000,2152494000,230919000,40614000,190305000,1075701000,2.36e+08,1311701000,602967000,237826000,840793000,840793000,2152494000,17049000,3291000,17140000,-173585000,-136105000,-4359000,-4409000.00000001,119994000,-695000,136220000,-4294000,-4294000,-4294000,26694000,1023455000,-145440000,0.16791,0.04166,0.03035,0.02028,0.00792,-8.53121,1.92752,1.56008,0.47547,0.56379,0.55784,18.57685,27.80573,-4.80982,0.00914,-0.07802,36.54836,41.6879
"19","2019_Q1",22.2590163934426,"Up",651944000,-542522000,109422000,-72908000,-72850000,36514000,-352000,-352000,36162000,36063000,-9868000,26195000,26195000,26195000,26195000,57246000,57246000,13464000,13464000,1848243000,252791000,138717000,2171744000,33258000,49253000,30395000,82511000,2254255000,303064000,89907000,213157000,1192396000,202500000,1394896000,595339000,264020000,859359000,859359000,2254255000,26194000,3228000,5703000,-13706000,21419000,-3910000,-3879000,10531000,-122000,-826000,16714000,16714000,16714000,39742000,987277000,31994000,0.16784,0.05601,0.04018,0.03048,0.01162,1.22138,1.82133,1.62318,0.43796,0.85376,0.84505,21.24837,28.0085,1.04276,0.01419,0.01733,23.40172,25.47053
"20","2019_Q2",25.9131746031746,"Up",533057000,-441200000,91857000,-68936000,-68936000,22921000,76000,75999.9999999999,22997000,22997000,-5880000,17117000,17117000,17117000,17117000,62779000,62779000,12436000,12436000,1943792000,221839000,123248000,2240846000,33471000,48748000,30395000,82219000,2323065000,282921000,74075000,208846000,1160659000,2.87e+08,1447659000,594269000,281137000,875406000,875406000,2323065000,17117000,3074000,3744000,-83335000,-59400000,-3270000,-3284000,72396000,-3166000.00000001,67791000,5107000,5107000,5107000,25995000,1073872000,-54730000,0.17232,0.043,0.03211,0.01955,0.00737,-3.19741,1.93067,1.6537,0.46227,0.56673,0.56224,17.649,28.98384,-1.81206,0.00878,-0.02808,38.89567,44.11208
