"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"19","2015_Q4",2.39578125,"Down",8503173,-6803879,1699294,-2188456,-2188456,-489162,-14129,532,-14661,-503291,-503291,-503291,-503291,-503291,-503291,1827743,1827743,3752781,3752781,9383267,429242,29083,400159,15393033,8129865,2109025,10238890,25631923,3577126,1399017,2178109,4408072,0,2.11758236813575e-22,0,4408072,48660509,-6455870,21223851,21223851,25631923,-503291,321437,28294,497528,343968,288890,288890,288890,-167725,0,0.19984,-0.05753,-0.05919,-0.02371,-0.01964,3.49201,0.20769,-1.26217744835362e-29,-0.1254,-0.1254,2.1186,5.28802,-0.02371,10.89726,3.73648
"20","2016_Q1",1.62360655737705,"Down",9113667,-7476631,1637036,-2109090,-2109090,-472054,-32444,955,-33399,-504498,-504498,-521094,-521094,-521094,-521094,2039946,2039946,3574674,3574674,9190911,341243,12487,328756,15146774,7821206,2021487,9842693,24989467,3528363,1368797,2159566,4296270,0,0,0,4296270,48650949,-6976964,20693197,20693197,24989467,-521094,322547,7848,402902,212203,212203,212203,212203,-149507,-8.470329472543e-22,0.17962,-0.0518,-0.05718,-0.02518,-0.02085,3.52556,0.20762,0,-0.12983,-0.12983,2.27071,5.1558,-0.02518,13.64448,4.32143
"21","2016_Q2",1.2746875,"Down",8462837,-6764546,1698291,-2333011,-2333011,-634720,-18744,1063,-19807,-653464,-653464,-529558,-529558,-529558,-529558,1997845,1997845,3544271,3544271,9222963,443630,22012,421618,15208709,7542443,2039821,9582264,24790973,3950060,1579119,2370941,4745139,1.35525271560688e-20,-3.3881317890172e-21,0,4745139,48533144,-7506522,20045834,20045834,24790973,-529558,317968,-122421,317228,-16783,-42101,-42101,-42101,-316752,0,0.20068,-0.075,-0.06257,-0.02642,-0.02136,3.20511,0.23671,-2.01948391736579e-28,-0.13194,-0.13194,2.10855,4.99451,-0.02642,6.30728,3.1476
"22","2016_Q3",1.2153125,"Down",8846359,-7067748,1778611,-2466360,-2466360,-687749,-21016,839,-21855,-708765,-708765,-708764,-708764,-708764,-708764,1638462,1638462,3722126,3722126,9098244,374944,22262,352682,14833776,7316436,2025934,9342370,24176146,4043261,1973083,2070178,4838340,0,0,0,4838340,48533880,-8215286,19337806,19337806,24176146,-708764,313876,3162,106325,-285401,-359383,-359383,-359383,-373873,-2.71050543121376e-20,0.20106,-0.07774,-0.08012,-0.03665,-0.02932,3.06588,0.2502,0,-0.17659,-0.17659,2.20411,4.8181,-0.03665,4.3824,2.38235
"23","2016_Q4",2.23619047619048,"Up",8840222,-7214134,1626088,-2388565,-2388565,-762477,-21989,521,-22510,-784466,-784466,-784466,-784466,-784466,-784466,1733754,1733754,4143502,4143502,9042289,340506,23841,316665,15260051,7023072,2056008,9079080,24339131,4946174,2462407,2483767,5785213,0,0,1.0842021724855e-19,5785213,48534458,-8999752,18553918,18553918,24339131,-784466,307251,344,572163,95292,95292,95292,95292,-455226,0,0.18394,-0.08625,-0.08874,-0.04228,-0.03223,2.63777,0.31181,3.23117426778526e-27,-0.19545,-0.19545,2.20258,4.62279,-0.04228,3.80856,2.27384
"24","2017_Q1",2.05016129032258,"Down",9803069,-7546324,2256745,-2091125,-2091125,165620,-22325,359,-22684,143295,143295,-282043,-282043,-282043,-282043,1703663,1703663,4094462,4094462,8875270,268266,12555,255711,14941661,6747570,789030,7536600,22478261,4205806,1864603,2341203,4205806,0,0,0,4205806,48535038,-9281795,18272455,18272455,22478261,-282043,289390,414865,-452303,-30091.0000000001,-30091.0000000001,-30091.0000000001,-30091.0000000001,455010,2.16840434497101e-19,0.23021,0.01689,-0.02877,-0.01544,-0.01255,3.55263,0.23017,0,-0.07027,-0.07027,2.44248,4.55266,-0.01544,-3.74423,-10.28658
"25","2017_Q2",2.05634920634921,"Up",8440413,-6883243,1557170,-2374120,-2374120,-816950,614,653,-39,-816336,-816336,-816336,-816336,-816336,-816336,1364423,1364423,3212036,3212036,9059286,426580,17958,408622,14062325,6487314,1492563,7979877,22042202,3868084,1800732,2067352,4585504,-8.67361737988404e-19,0,-3.46944695195361e-18,4585504,48535617,-10098131,17456698,17456698,22042202,-816336,282745,11594,191359,-330638,-339240,-339240,-339240,-534205,0,0.18449,-0.09679,-0.09672,-0.04676,-0.03704,3.06669,0.26268,-2.58493941422821e-26,-0.2034,-0.2034,2.10299,4.34945,-0.04676,2.55412,1.67014
"26","2017_Q3",2.23079365079365,"Up",8268978,-6573722,1695256,-2068656,-2068656,-373400,-1299,333,-1632,-374699,-374699,-374699,-374699,-374699,-374699,847193,847193,3266871,3266871,8850949,234930,18852,216078,13199943,6223880,1478674,7702554,20902497,3102455,1364226,1738229,3819875,0,0,0,3819875,48536240,-10472830,17082622,17082622,20902497,-374699,280218,249,-420103,-514335,-517230,-517230,-517230,-93182.0000000002,-3.46944695195361e-18,0.20501,-0.04516,-0.04531,-0.02193,-0.01793,3.4556,0.22361,0,-0.09336,-0.09336,2.06027,4.25625,-0.02193,9.09181,2.26886
"27","2017_Q4",2.09079365079365,"Down",8581171,-6846148,1735023,-2138385,-2138385,-403362,120,160,-40,-403242,-403242,-403242,-403242,-403242,-403242,803715,803715,3440326,3440326,8619463,266854,21430,245424,13130358,5967847,1464787,7432634,20562992,3165548,1479096,1686452,3882968,6.93889390390723e-18,-6.93889390390723e-18,-5.55111512312578e-17,3882968,48536884,-10876072,16680024,16680024,20562992,-403242,279471,606,89238,-33927,-43478,-43478,-43478,-123891,0,0.20219,-0.04701,-0.04699,-0.02418,-0.01961,3.38153,0.23279,8.27180612553028e-25,-0.10047,-0.10047,2.13806,4.15594,-0.02418,6.48728,1.99254
"28","2018_Q1",2.61622950819672,"Up",8221468,-6653227,1568241,-2026423,-2026423,-458182,293,299,-5.99999999999955,-457889,-457889,-494389,-494389,-494389,-494389,995704,995704,3362438,3362438,8511954,328233,12555,315678,13198329,5734041,704279,6438320,19636649,3450369,1440403,2009966,3450369,0,0,0,3450369,48537529,-11370461,16186280,16186280,19636649,-494389,247692,29781,408905,191989,191989,191989,191989,-210490,2.77555756156289e-17,0.19075,-0.05573,-0.06013,-0.03054,-0.02518,3.82519,0.21317,0,-0.12318,-0.12318,2.04843,4.03292,-0.03054,4.73041,2.17316
"29","2018_Q2",2.548125,"Down",7896853,-6539784,1357069,-2124468,-2124468,-767399,163,215,-52,-767236,-767236,-767236,-767236,-767236,-767236,244250,244250,3434382,3434382,9133913,345464,13455,332009,13158009,5506318,691449,6197767,19355776,3936087,1568807,2367280,3936087,-1.11022302462516e-16,-1.11022302462516e-16,-4.44089209850063e-16,3936087,48538174,-12137697,15419689,15419689,19355776,-767236,240553,1735,-226506,-751454,-751454,-751454,-751454,-526846,0,0.17185,-0.09718,-0.09716,-0.04976,-0.03964,3.34292,0.25526,-6.61744490042422e-24,-0.19116,-0.19116,1.96755,3.84192,-0.04976,0.46361,0.31828
"30","2018_Q3",2.40619047619048,"Down",8718602,-6809685,1908917,-2153050,-2153050,-244133,-174,10.0000000000005,-184,-244307,-244307,-380693,-380693,-380693,-380693,800,800,3573712,3573712,9106188,263180,19688,243492,12943880,5278595,547377,5825972,18769852,3730148,2079731,1650417,3730148,0,0,0,3730148,48538882,-12518390,15039704,15039704,18769852,-380693,235409,137080,-235246,-243450,-243450,-243450,-243450,-8724.00000000012,-4.44089209850063e-16,0.21895,-0.028,-0.04366,-0.02531,-0.02028,3.47007,0.24802,0,-0.09485,-0.09485,2.1723,3.74724,-0.02531,0.0917,0.00328
"31","2018_Q4",2.02063492063492,"Down",8466825,-7234066,1232759,-2120385,-2120385,-887626,-13411,-13409,-2,-901037,-901037,-901037,-901037,-901037,-901037,266645,266645,3731071,3731071,8402555,278490,22116,256374,12678761,5050872,547377,5598249,18277010,3454832,1639947,1814885,4137604,3.5527136788005e-15,0,-7.105427357601e-15,4137604,48539621,-13419427,14139406,14139406,18277010,-901037,227723,-5461,261848,-416927,265845,265845,265845,-659903,0,0.1456,-0.10484,-0.10642,-0.06373,-0.0493,3.06428,0.29263,1.05879118406788e-22,-0.2245,-0.2245,2.10957,3.52293,-0.06373,0.40407,0.3004
"32","2019_Q1",1.86754098360656,"Down",8677673,-6725976,1951697,-2048153,-2048153,-96455.9999999999,-10096,-10097,1,-106552,-106552,-143204,-143204,-143204,-143204,136112,136112,3747993,3747993,7830541,262783,12178,250605,11977429,4823149,520663,5343812,17321241,3324301,1473618,1850683,3324301,0,0,0,3324301,48540359,-13562631,13996940,13996940,17321241,-143204,227723,20458,447262,552239,-130533,-130533,-130533,131267,7.105427357601e-15,0.22491,-0.01112,-0.0165,-0.01023,-0.00827,3.60299,0.2375,0,-0.03568,-0.03568,2.1621,3.48743,-0.01023,-1.03691,1.41113
"33","2019_Q2",1.75920634920635,"Down",7268897,-6390071,878826,-2105143,-2105143,-1226317,-8258,-8258,0,-1234575,-1234575,-1234575,-1234575,-1234575,-1234575,800,800,3203422,3203422,8551678,230445,20098,210347,11986345,4604046,520663,5124709,17111054,3969989,2030059,1939930,4347949,-2.8421709430404e-14,-2.8421709430404e-14,0,4347949,48541099,-14797206,12763105,12763105,17111054,-1234575,219103,1726,500474,-513272,-135312,-135312,-135312,-1007214,0,0.1209,-0.16871,-0.16984,-0.09673,-0.07215,2.75678,0.34067,-1.6940658945086e-21,-0.3076,-0.3076,1.8111,3.18001,-0.09673,0.00079000000000029,0.000650000000000261
"34","2019_Q3",1.530625,"Down",8106998,-6901756,1205242,-1967028,-1967028,-761786,-17641,-17641,0,-779427,-779427,-779427,-779427,-779427,-779427,333246,333246,3416699,3416699,8137469,243092,20298,222794,12130506,4387420,520663,4908083,17038589,3697470,1883572,1813898,5054137,0,0,0,5054137,48541873,-15576633,11984452,11984452,17038589,-779427,216626,7786,-91246,-646261,332446,332446,332446,-545160,-1.13686837721616e-13,0.14867,-0.09397,-0.09614,-0.06504,-0.04574,2.40011,0.42172,0,-0.1942,-0.1942,2.01991,2.98601,-0.06504,0.61128,0.43745
"35","2019_Q4",1.15625,"Down",8316027,-6765552,1550475,-1903409,-1903409,-352934,-18587,-18542,-45,-371521,378479,378479,378479,378479,378479,135810,135810,3424371,3424371,7893445,310569,20298,290271,11764195,4187281,520663,4707944,16472139,3697682,1833469,1864213,4108417,-4.54747350886464e-13,4.54747350886464e-13,-9.09494701772928e-13,4108417,48542664,-15198154,12363722,12363722,16472139,378479,200139,12971,156907,748496,-197436,-197436,-197436,-152795,0,0.18644,-0.04244,0.04551,0.03061,0.02298,2.86344,0.3323,-2.71050543121376e-20,0.0943,0.0943,2.07199,3.08051,0.03061,0.88884,0.3848
"36","2020_Q1",7.7783870967742,"Up",7689599,-6285515,1404084,-1837069,-1837069,-432985,-11729,-11644,-85,-444714,-444714,-474162,-474162,-474162,-474162,195454,195454,3165289,3165289,7333095,257086,12178,244908,10950924,4001081,501891,4502972,15453896,3000639,1469232,1531407,3563544,-11060.334689445,-11060.334689445,-36088.9988687925,3563544,48543456,-36653104,11890352,11890352,15453896,-474162,186200,19035,739306,470379,59643.9999999999,59643.9999999999,59643.9999999999,-246785,0,0.1826,-0.05631,-0.06166,-0.03988,-0.03068,3.07304,0.2997,0,-0.11814,-0.11814,1.91592,2.96256,-0.03988,0.792,0.45141
"37","2020_Q2",11.891746031746,"Up",7975637,-6715943,1259694,-1867087,-1867087,-607393,-6730,-6720,-10,-614123,-614123,-614123,-614123,-614123,-614123,302436,302436,3179425,3179425,7353046,295987,12278,283709,11130894,3846301,501891,4348192,15479086,3352060,1569681,1782379,4202064,0,0,0,4202064,48544249,-16286439,11277022,11277022,15479086,-614123,180785,3793,-287472,-717017,106982,106982,106982,-426608,0,0.15794,-0.07616,-0.077,-0.05446,-0.03967,2.64891,0.37262,-2.16840434497101e-19,-0.15301,-0.15301,1.98718,2.80975,-0.05446,0.70893,0.49792
"38","2020_Q3",8.45640625,"Down",7309785,-5962606,1347179,-2859633,-2859633,-1512454,-19030,-19017,-13.0000000000001,-1531484,-1531484,-1531484,-1531484,-1531484,-1531484,351583,351583,2931208,2931208,7497059,261814,18453,243361,11041664,3706602,501891,4208493,15250157,4518265,1894315,2623950,5504055,0,0,0,5504055,48544813,-17817923,9746102,9746102,15250157,-1531484,142081,-3874,1309020,-84257,49147,49147,49147,-1370373,-1.45519152283669e-11,0.1843,-0.20691,-0.20951,-0.15714,-0.10042,2.0061,0.56474,0,-0.38158,-0.38158,1.82128,2.42831,-0.15714,0.25656,0.23246
"39","2020_Q4",5.13859375,"Down",8097214,-6511688,1585526,-1890296,-1890296,-304770,-25714,-25705,-9,-330484,-330484,-330484,-330484,-330484,-330484,1155099,1155099,3644766,3644766,6821211,330455,18453,312002,11951531,3585970,501891,4087861,16039392,3885610,1690963,2194647,6623245,1.45519152283669e-11,1.45519152283669e-11,0,6623245,48545342,-18148407,9416147,9416147,16039392,-330484,139408,23590,1975568,1808082,803516,803516,803516,-165362,0,0.19581,-0.03764,-0.04081,-0.0351,-0.0206,1.80448,0.70339,0,-0.08234,-0.08234,2.01748,2.3461,-0.0351,6.98527,3.79007
