"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",7941.5859375,"Down",4892000,-3218000,1674000,-2956000,-2298000,-658000,-1282000,-1282000,-1121000,-1121000,-1121000,-1121000,-1121000,7521000,7521000,4942000,4942000,4341000,338000,338000,17142000,1996000,1996000,250000,48000,2246000,19388000,2006000,1416000,590000,1732000,373000,1359000,3738000,85000,30000,85000,3823000,127359000,-111794000,15565000,15565000,19388000,-1121000,134000,-23000,1008000,-2000,-28000,7000,0,0,5000,5000,5000,-1148000,0,0.34219,-0.26206,-0.22915,-0.07202,-0.05782,4.58587,0.24562,-4.13590306276514e-25,-611.09516,-611.25897,2666.79527,8485.0099,-0.07163,6.55139,5.86661
"12","2014_Q1",17492.4737704918,"Up",4147000,-3058000,1089000,-3467000,-2686000,-781000,-2378000,-2399000,-2399000,-2399000,-2399000,-2399000,-2399000,6884000,6884000,4898000,4898000,4259000,232000,232000,16273000,2208000,2208000,48000,48000,2256000,18529000,3583000,3106000,477000,1565000,377000,1188000,5148000,63000,63000,63000,5211000,127509000,-114191000,13318000,13318000,18529000,-2397000,138000,335000,1339000,-585000,-49000,-49000,-3000,-3000.00000000001,-637000,-637000,-637000,-2240000,0,0.2626,-0.57343,-0.57849,-0.18013,-0.12947,3.16103,0.39127,0,-1306.53544,-1306.53544,2258.52542,7253.2051,-0.17928,3.07321,2.89487
"13","2014_Q2",14472.5571428571,"Down",3644000,-2253000,1391000,-3690000,-2857000,-833000,-2299000,-2299000,-2299000,-2299000,-2299000,-2299000,-2299000,5306000,5306000,4209000,4209000,4413000,319000,319000,14247000,2189000,2189000,47999.9999999998,48000,2237000,16484000,3825000,3218000,607000,1463000,549000,914000,5288000,76000,0,76000,5364000,127610000,-116490000,11120000,11120000,16484000,-2299000,156000,169000,593000,-1381000,-129000,-129000,-68000,-68000,-1578000,-1578000,-1578000,-2143000,0,0.38172,-0.6309,-0.6309,-0.20674,-0.13947,2.69421,0.48237,6.61744490042422e-24,-1242.98429,-1242.98429,1970.17605,6012.17281,-0.20534,2.47597,2.30796
"14","2014_Q3",12030.9046875,"Down",4468000,-2679000,1789000,-3392000,-2595000,-797000,-1603000,-1603000,-1603000,-1603000,-1603000,-1603000,-1603000,2330000,2330000,5538000,5538000,4180000,136000,136000,12184000,2106000,2106000,48000,48000,2154000,14338000,3268000,2737000,531000,1369000,371000,998000,4637000,69000,0,69000,4706000,127725000,-118093000,9632000,9632000,14338000,-1603000,171000,115000,-1635000,-2952000,-24000,-24000,0,0,-2976000,-2976000,-2976000,-1432000,8.88178419700125e-16,0.4004,-0.35877,-0.35877,-0.16642,-0.1118,2.62756,0.48858,0,-865.65212,-865.65212,2412.80952,5201.47299,-0.16524,1.62709,1.45352
"15","2014_Q4",9910.96875,"Down",4038000,-2502000,1536000,-3395000,-2627000,-768000,-1859000,-1859000,-1859000,-1859000,-1859000,-1859000,-1859000,6575000,6575000,5560000,5560000,4800000,198000,198000,17133000,2373000,2373000,27647000,70000,30020000,47153000,3715000,3039000,676000,1770000,520000,1250000,5485000,434000,434000,434000,5919000,161185000,-119952000,41234000,41234000,47153000,-1859000,260000,178000,-342000,-1763000,-173000,178000,5965000,5815000,4230000,4230000,4245000,-1599000,0,0.38039,-0.46038,-0.46038,-0.04508,-0.03942,3.12361,0.14355,0,-589.07317,-589.07317,1279.54677,13066.08012,-0.04461,4.11194,3.53685
"16","2015_Q1",8416.28360655738,"Down",3837000,-2667000,1170000,-4449000,-3379000,-1070000,-3279000,-3273000,-3273000,-2870000,-2870000,-2870000,-2870000,14811000,14811000,4693000,4693000,5606000,217000,217000,25327000,2298000,2298000,35263000,81000,37561000,62888000,4189000,3590000,599000,2191000,638000,1553000,6380000,7810000,169000,7810000,14190000,171462000,-122822000,48698000,48698000,62888000,-2870000,406000,-186000,910000,-1740000,-76000,-76000,10060000,10060000,8244000,8244000,8236000,-2873000,-1.4210854715202e-14,0.30493,-0.85457,-0.74798,-0.05893,-0.04564,3.96975,0.29139,0,-735.35411,-735.35411,983.11977,12477.44761,-0.05079,5.15524,4.51693
"17","2015_Q2",7853.65714285714,"Down",3655000,-2469000,1186000,-4473000,-2996000,-1477000,-3287000,-3296000,-3296000,-3296000,-3296000,-3296000,-3296000,10714000,10714000,4370000,4370000,5888000,490000,490000,21462000,2582000,2582000,35122000,84000,37704000,59166000,3479000,3010000,469000,2204000,511000,1693000,5683000,7885000,244000,7885000,13568000,171690000,-126118000,45598000,45598000,59166000,-3296000,322000,284000,-995000,-3685000,-339000,-339000,-54999.9999999981,-55000,-4079000,-4079000,-4097000,-2965000,0,0.32449,-0.89932,-0.90178,-0.07228,-0.05571,3.77653,0.29756,8.470329472543e-22,-737.27888,-737.27888,817.58322,10199.77009,-0.06163,3.61349,3.25951
"18","2015_Q3",6091.3265625,"Down",4643000,-3102000,1541000,-5894000,-4352000,-1542000,-4353000,-4371000,-4371000,-4371000,-4371000,-4371000,-4371000,8357000,8357000,4570000,4570000,5195000,3e+05,3e+05,18422000,2718000,2718000,34905000,75000,37623000,56045000,4128000,3168000,960000,2483000,435000,2048000,6611000,7876000,235000,7876000,14487000,172058000,-130489000,41558000,41558000,56045000,-4371000,345000,392000,1450000,-2184000,-116000,-116000,-25000,-41000,-2341000,-2341000,-2357000,-4008000,0,0.3319,-0.93754,-0.94142,-0.10518,-0.07799,2.78657,0.3486,0,-977.04302,-977.04302,1037.84277,9289.39688,-0.08842,2.08508,1.91983
"19","2015_Q4",4070.64375,"Down",4042000,-2899000,1143000,-5979000,-4267000,-1712000,-4836000,-4811000,-4811000,-4811000,-4811000,-4811000,-4811000,4792000,4792000,5717000,5717000,5007000,2e+05,2e+05,15716000,2957000,2957000,34696000,79000,37653000,53369000,5668000,4686000,982000,2732000,610000,2122000,8400000,7928000,287000,7928000,16328000,172331000,-135300000,37041000,37041000,53369000,-4811000,346000,579000,440000,-3446000,-89000,-89000,-16999.9999999998,-40000,-3575000,-3575000,-3565000,-4490000,0,0.28278,-1.19644,-1.19025,-0.12988,-0.09015,1.87095,0.44081,0,-1073.59878,-1073.59878,901.99258,8265.88495,-0.10698,1.06726,0.9909
"20","2016_Q1",1799.17540983607,"Down",3702000,-2823000,879000,-3262000,-2054000,-1208000,-2383000,-2374000,-2374000,-2374000,-2374000,-2374000,-2374000,3357000,3357000,5133000,5133000,4598000,163000,163000,13251000,2937000,2937000,34569000,79000,37506000,50757000,5784000,5079000,705000,2162000,635000,1527000,7946000,7909000,268000,7909000,15855000,172581000,-137674000,34902000,34902000,50757000,-2374000,338000,271000,431000,-1334000,-43000,-43000,-32000,-53000,-1430000,-1430000,-1435000,-2045000,3.63797880709171e-12,0.23744,-0.64371,-0.64127,-0.06802,-0.04677,1.66763,0.45427,0,-528.62739,-528.62739,824.33809,7771.75793,-0.05545,1.64156,1.40873
"21","2016_Q2",1354.77078125,"Down",2823000,-2456000,367000,-4281000,-3184000,-1097000,-3914000,-3943000,-3397000,-3397000,-3397000,-3397000,-3397000,6559000,6559000,3648000,3648000,3971000,131000,131000,14309000,3196000,3196000,34430000,78000,37626000,51935000,6268000,5650000,618000,2631000,481000,2150000,8899000,10764000,267000,10779000,19678000,173358000,-141071000,32257000,32257000,51935000,-3397000,365000,-927000,2654000,-1305000,-187000,-187000,-5000,4701000,3209000,3209000,3202000,-3549000,15000,0.13,-1.38647,-1.20333,-0.10531,-0.06541,1.60793,0.61004,0.00029,-754.6711,-754.6711,627.15235,7166.15417,-0.07893,1.8439,1.67195
"22","2016_Q3",1741.68625,"Up",3294000,-2266000,1028000,-2996000,-2350000,-646000,-1968000,-2020000,-624000,-623999.999999998,-623999.999999998,-624000,-624000,2942000,2942000,3467000,3467000,3986000,336000,336000,10731000,3137000,3137000,34318000,78000,37455000,48186000,4886000,4424000,462000,2504000,279000,2225000,7390000,8543000,259000,8605000,15995000,173915000,-141695000,32191000,32191000,48186000,-624000,294000,-1438000,-1421000,-3189000,-415000,-415000,0,-13000.0000000009,-3617000,-3617000,-3617000,-1674000,62000,0.31208,-0.59745,-0.189439999999999,-0.01938,-0.01295,1.4521,0.49688,0.00129,-135.83829,-135.83829,717.06946,7007.64508,-0.0153,1.72043,1.46341
"23","2016_Q4",1396.1973015873,"Down",3767000,-2385000,1382000,-3330000,-2660000,-670000,-1948000,-22119000,-22445000,-22445000,-22445000,-22445000,-22445000,7247000,7247000,4038000,4038000,3524000,262000,262000,15071000,3102000,3102000,34206000,79000,37308000,52379000,3661000,3341000,320000,2247000,548000,1699000,5908000,9153000,599000,10688000,16596000,188383000,-152568000,35783000,35783000,52379000,-22445000,261000,20944000,-769000,-2009000,-154000,-154000,1957000,1934000,-229000,-229000,-227000,-1687000,1535000,0.36687,-0.51712,-5.95832,-0.62725,-0.42851,2.55095,0.4638,0.02931,-3722.71043,-3722.71043,624.79172,5934.94085,-0.48299,3.38589,2.93224
"24","2017_Q1",1367.195,"Down",2045000,-2078000,-33000,-3002000,-2185000,-817000,-3035000,9182000,7878000,7878000,7878000,7878000,7878000,5835000,5835000,3169000,3169000,3593000,246000,246000,12843000,2962000,2962000,34094000,78000,37056000,49899000,3097000,2648000,449000,2445000,783000,1662000,5542000,9595000,1284000,12084000,17626000,188572000,-156262000,32273000,32273000,49899000,7878000.00000001,248000,-10725000,-523000,-3122000,46000,46000,503000,6202000,3126000,3126000,3120000,-2787000,2489000,-0.01614,-1.48411,3.85232,0.2441,0.15788,2.31739,0.54615,0.04988,1179.154,1179.154,306.0891,4830.52008,0.1776,1.20057,1.10247
"25","2017_Q2",1397.79650793651,"Up",3252000,-1875000,1377000,-3493000,-2926000,-567000,-2116000,-2166000,-2097000,-2097000,-2097000,-2097000,-2097000,5608000,5608000,3010000,3010000,3357000,203000,203000,12178000,3011000,3011000,33996000,78000,37007000,49185000,2193000,1821000,372000,1753000,560000,1193000,3946000,8912000,275000,8912000,12858000,215069000,-178707000,36327000,36327000,49185000,-2097000,185000,270000,-901000,-2543000,-33000,-33000,0,1464000,-1112000,-1112000,-1108000,-1931000,0,0.42343,-0.65068,-0.64483,-0.05773,-0.04263,3.08616,0.35395,-6.93889390390723e-18,-384.67772,-384.67772,596.55314,6663.89479,-0.0463499999999999,2.90419,2.65028
"26","2017_Q3",1537.97714285714,"Up",3501000,-1973000,1528000,-2997000,-2431000,-566000,-1469000,-1561000,-1827000,-1154000,-1154000,-1154000,-1154000,3623000,3623000,3701000,3701000,3617000,237000,237000,11178000,2330000,2330000,33424000,64000,35754000,46932000,1986000,1601000,385000,2534000,597000,1937000,4520000,8075000,377000,11575000,16095000,216232000,-185357000,30837000,30837000,46932000,-1154000,172000,-286000,-834000,-2102000,-66000,-65999.9999999999,0,1999000,-168999.999999999,-168999.999999999,-168000,-1297000,3500000,0.43645,-0.41959,-0.329619999999998,-0.03742,-0.02459,2.47301,0.52194,0.07458,-52.7787200000001,-52.7787200000001,160.11986,1410.34447,-0.02721,0.09483,0.08373
"27","2017_Q4",1576.98936507936,"Up",3069000,-2138000,931000,-3281000,-2218000,-1063000,-2350000,-2574000,-2587000,-2587000,-2587000,-2350000,-2350000,2464000,2464000,3404000,3404000,4157000,282000,282000,10307000,2971000,2971000,35664000,61000.0000000001,38635000,48942000,2467000,2038000,429000,2528000,603000,1925000,4995000,8114000,403000,13114000,18109000,218811000,-187707000,31070000,30833000,48942000,-2587000,160000,209000,768000,-1450000,-140000,-1140000,-51000.0000000001,1431000,-1159000,-1159000,-1159000,-2190000,5e+06,0.30336,-0.76572,-0.76572,-0.07622,-0.04802,2.06346,0.58733,0.10216,-107.01475,-107.01475,139.75671,1414.87162,-0.05347,-1.15799,-1.07915
"28","2018_Q1",1289.72950819672,"Down",4703000,-2700000,2003000,-5308000,-5007000,-301000,-3305000,-23407000,-23257000,-23257000,-23257000,-23494000,-23494000,3513000,3513000,2549000,2549000,4798000,594000,594000,11454000,2996000,2996000,36661000,1056000,39657000,51111000,3268000,2079000,1189000,2196000,384000,1812000,5464000,5735000,408000,12435000,17899000,221382000,-187640000,33699000,33212000,51111000,-23257000,313000,21322000,502000,-1120000,-136000,864000,2009000,480000,224000,224000,223000,-2992000,6700000,0.4259,-0.70274,-4.99553,-0.70739,-0.45967,2.09627,0.53893,0.13109,-1188.48598,-1188.48598,237.90966,1704.72414,-0.51469,-1.06517,-0.9643
"29","2018_Q2",450.3234375,"Down",1867000,-1515000,352000,-3608000,-2567000,-1041000,-3256000,-3629000,-3370000,-3370000,-3370000,-2960000,-2960000,2872000,2872000,1649000,1649000,5221000,557000,557000,10299000,3265000,3265000,36617000,1051000,39882000,50181000,2856000,2415000,441000,3539000,722000,2817000,6395000,5466000,398000,12666000,19061000,222732000,-190679000,32017000,31120000,50181000,-3370000,159000,-151000,1308000,-2054000,-290000,-290000,1213000,1704000,-640000,-640000,-641000,-3097000,7200000,0.18854,-1.74397,-1.58543,-0.0951199999999995,-0.0589900000000001,1.61048,0.6125,0.14348,-122.33286,-122.33286,77.16062,1323.21996,-0.0676,-1.39748,-1.32924
"30","2018_Q3",173.456349206349,"Down",2004000,-1641000,363000,-3667000,-2759000,-908000,-3304000,-3718000,-30612000,-27161000,-27161000,-26658000,-26658000,3071000,3071000,1844000,1844000,5156000,335000,335000,10406000,3466000,3466000,9371000,1051000,12837000,23243000,2629000,2048000,581000,2771000,718000,2053000,5400000,1680000,371000,8880000,14280000,227715000,-217337000,10363000,8963000,23243000,-27161000,174000,23803000,-864000,-4048000,-560000,-560000,4819000,4809000,201000,201000,199000,-3130000,7200000,0.18114,-1.6487,-13.3024,-2.97423,-1.14693,1.92704,1.59322,0.30977,-777.51974,-777.51974,58.4496,302.25212,-1.49403,-1.31917,-1.2497
"31","2018_Q4",145.517142857143,"Down",3113000,-2458000,655000,-2589000,-1978000,-611000,-1934000,-3138000,-3114000,-3114000,-3114000,-2939000,-2939000,2220000,2220000,2090000,2090000,4332000,286000,286000,8928000,3343000,3343000,9328000,1051000,12671000,21599000,3296000,1784000,1512000,2005000,527000,1478000,5301000,1628000,343000,2428000,7729000,235713000,-220276000,15445000,13870000,21599000,-3114000,173000,1183000,429000,-1329000,-135000,-135000,623000,614000,-850000,-850000,-851000,-1761000,8e+05,0.21041,-0.62127,-0.94411,-0.2119,-0.13607,1.68421,0.55725,0.03704,-59.86459,-59.86459,63.4088,314.59973,-0.18033,0.80636,0.73423
"32","2019_Q1",150.004754098361,"Up",2688000,-1865000,823000,-2793000,-2341000,-452000,-1970000,-2700000,-8574000,-7295000,-7295000,-7159000,-7159000,2400000,2400000,1509000,1509000,4493000,224000,224000,8626000,2562000,2562000,3423000,1051000,5985000,14611000,4639000,2423000,2216000,1726000,485000,1241000,6365000,341000,340000,1515000,7880000,235890000,-227435000,8442000,6731000,14611000,-7295000,164000,6248000,1331000,448000,-253000,-253000,-26000,-16000,179000,179000,180000,-1806000,1174000,0.30618,-0.73289,-2.66332,-1.06359,-0.48997,1.35522,1.1707,0.08035,-128.00073,-128.00073,48.06062,150.94037,-0.86818,0.67885,0.62234
"33","2019_Q2",126.71873015873,"Down",2962000,-1704000,1258000,-2164000,-1601000,-563000,-906000,-2047000,-2047000,-2047000,-2047000,-1871000,-1871000,2237000,2237000,1994000,1994000,4309000,313000,313000,8853000,2443000,2443000,4334000,1992000,6777000,15630000,3395000,2464000,931000,2212000,764000,1448000,5607000,330000,329000,3744000,9351000,234646000,-229306000,5323000,6279000,15630000,-2047000,212000,753000,-1361000,-2443000,-38000,-38000,-1.16415321826935e-10,2318000,-163000,-163000,-163000,-694000,3414000,0.42471,-0.30587,-0.63167,-0.29798,-0.11971,1.57892,1.48925,0.21843,-34.24018,-34.24018,54.20599,97.4134,-0.18667,-1.69597,-1.29912
"34","2019_Q3",162.928125,"Up",4306000,-2353000,1953000,-2214000,-1602000,-612000,-261000,-1474000,-1474000,-1474000,-1474000,-1296000,-1296000,2424000,2424000,3091000,3091000,3951000,389000,389000,9855000,2398000,2398000,4279000,1967000,6677000,16532000,4609000,3198000,1411000,1872000,577000,1295000,6481000,323000,322000,3551000,10032000,236345000,-230603000,5722000,6500000,16532000,-1474000,190000,813000,3000.00000000047,-468000,-104000,-104000,756000,759000,187000,187000,187000,-71000,3228000,0.45355,-0.0606099999999999,-0.300980000000001,-0.19938,-0.07839,1.5206,1.54338,0.19526,-20.94996,-20.94996,69.60688,92.49664,-0.12894,-11.32394,-3.08046
"35","2019_Q4",193.05,"Up",4057000,-2163000,1894000,-2224000,-1641000,-583000,-330000,-1534000,-2374000,-2374000,-2374000,-2283000,-2283000,2800000,2800000,4470000,4470000,3405000,451000,451000,11126000,2251000,2251000,4214000,1935000,6465000,17591000,2278000,1874000,404000,3413000,840000,2573000,5691000,1878000,23000,7269000,12960000,236833000,-232885000,3944000,4631000,17591000,-2374000,202000,1642000,-77000,-607000,-36000,-36000,0,1019000,376000,376000,376000,-128000,5391000,0.46685,-0.08134,-0.56273,-0.49298,-0.12978,1.95502,2.79853,0.30646,-35.29667,-35.29667,62.72387,60.97681,-0.19185,-20.24219,-7.85152
