"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",3.2659375,"Up",1085610,-311390,774220,-2438640,-2223140,-157184,-58316,-1664420,-4899176,-4899176,18,-6563596,-9874821,-9874821,-9874821,-9874821,-9874821,4998148,4998148,305732,305732,69241.9999999999,69241.9999999999,5373122,5986272,1738773,4213699,33800,5999392,11372514,912775,476780,435995,787547,300324,278134,1720322,1897755,53249270,-44124205,9474759,9474759,11372514,-9874821,58316,9341271,-64674,-539908,-2799,-207169,5701043,4953966,4953966,4953966,-1606104,197433,0.71317,-1.53317,-9.0961,-1.04222,-0.86831,3.12332,0.2003,0.0173599999999998,-1.68156,-1.68156,0.18487,1.61344,-1.02095,2.98904,2.88432
"12","2013_Q4",2.27625,"Down",1035952,-268507,767445,-3119426,-2815918,-214375,-89133,-2351981,-422,-422,385,-2352403,-2404315,-2404315,-2404315,-2404315,-2404315,3500245,3500245,502420,502420,123600,123600,4126265,5843593,1651692,4175032,16869,5843593,9969858,749648,561792,187856,600070,173422,189550,1369718,1513349,54884167,-46528520,8456509,8456509,9969858,-2404315,89133,1096661,-386874,-1605395,3.63797880709171e-12,0,107492,-1497903,-1497903,-1497903,-2262848,163631.000000001,0.74081,-2.27036,-2.32087,-0.28432,-0.24116,3.01249,0.17896,0.01641,-0.14677,-0.14677,0.06324,0.51621,-0.27892,1.47452,1.41864
"13","2014_Q1",1.55229508196721,"Down",944112,-257518,686594,-1400007,-951651,-359039,-89317,-713413,-485,-485,341,-713898,-2056680,-2056680,-2056680,-2056680,-2056680,2572685,2572685,280667,280667,140114,140114,2993466,4108224,935316,3108964,63944,4108224,7101690,751632,543648,207984,313826,136523,71126.9999999999,1085458,1109703,54469017,-48585200,5991987,5991987,7101690,-2056680,89317,1084022,19267,-864074,-63486,-63486,0,-927560,-927560,-927560,-624096,44245,0.72724,-0.75564,-2.17843,-0.34324,-0.2896,2.75779,0.1852,0.00623000000000001,-0.12599,-0.12599,0.05783,0.36705,-0.34072,4.05136,3.54415
"14","2014_Q2",1.30396825396825,"Down",903215,-260893,642322,-2437054,-2071038,-297933,-68083,-1794732,905,905.000000000116,1731,-1793827,-1763748,-1763748,-1763748,-1763748,-1763748,3984032,3984032,441698,441698,128895,128895,4554625,9405786,3315083,5999765,90938,9405786,13960411,884294,671209,213085,2863431,311121,2476213,3767725,3777958,60423231,-50348948,10182453,10182453,13960411,-1763748,68083,291255,241642,-1162768,-22225,-2390244,4964358,1411346,1411346,1411346,-1726649,30233,0.71115,-1.98705,-1.95274,-0.17321,-0.12634,1.20885,0.37103,0.00217,-0.10084,-0.10084,0.05164,0.58216,-0.1727,2.28987,2.203
"15","2014_Q3",1.04125,"Down",1109891,-258341,851550,-2308743,-1808997,-383865,-115881,-1457193,-683,-683,171,-1457876,-1430163,-1430163,-1430163,-1430163,-1430163,2628437,2628437,504055,504055,126359,126359,3258851,9286833,3200852,5999765,86216,9286833,12545684,853161,626338,226823,2646941,240201,2358356,3520102,3520102,60696523,-51779111,9025582,9025582,12545684,-1430163,115881,263881,-321038,-1371439,3074,3074,12772,-1355593,-1355593,-1355593,-1341312,20000,0.76724,-1.31292,-1.28856,-0.15846,-0.114,0.92578,0.39001,0.00159,-0.06424,-0.06424,0.04985,0.40539,-0.15811,1.94469,1.79004
"16","2014_Q4",1.32859375,"Up",1044254,-272252,772002,-2205286,-1744655,-344322,-116309,-1433284,-751,-751,132,-1434035,-1436389,-1438067,-1438067,-1438067,-1438067,1773122,1773122,353459,353459,119336,119336,2245917,9184527,3086620,5999765,98142,9184527,11430444,738073,487852,250221,2593759,188574,2354447,3351832,3351832,60988045,-53217178,8078612,8078612,11430444,-1438067,116309,496082,-23926.0000000001,-849602,-5714,-5714,4.65661287307739e-10,-855316,-855316,-855316,-1316975,20000,0.73929,-1.37254,-1.37712,-0.17801,-0.12581,0.67006,0.4149,0.00175,-0.06459,-0.06459,0.0469,0.36286,-0.17757,1.33117,1.22315
"17","2015_Q1",1.24229508196721,"Down",942842,-275431,667411,-2977428,-2541188,-320078,-116162,-2310017,2660,2660,97,-2307357,-5810464,-5808786,-5808786,-5808786,-5808786,848230,848230,384566,384566,104214,104214,1337010,4031500,2010952,1921072,99476,4031500,5368510,597765,412551,185214,1107125,180941,883525,1704890,1704890,62588722,-59025964,3663620,3663620,5368510,-5808786,116162,4864407,-86276,-914493,-10399,-10399,0,-924892,-924892,-924892,-2193855,0,0.70787,-2.45006,-6.16093,-1.58553,-1.08201,0.78422,0.46536,-4.33680868994202e-19,-0.25482,-0.25482,0.04136,0.16072,-1.58553,0.38664,0.3672
"18","2015_Q2",0.930793650793651,"Down",940172,-263914,676258,-2424177,-2254287,-114144,-55746,-1747919,55.9999999999995,55.9999999999995,56,-1747863,-1729538,-1729538,-1729538,-1729538,-1729538,3935417,3935417,342796,342796,132810,132810,4411023,4203871,2171601,1921072,111198,4203871,8614894,669218,506505,162713,1008826,106923,877569,1678044,1678044,63061490,-60755502,6936850,6936850,8614894,-1729538,55746,696164.999999999,-8269,-985896,-8076,-222417,4295500,3087187,3087187,3087187,-1692173,0,0.71929,-1.85915,-1.8396,-0.24933,-0.20076,2.62867,0.2419,0,-0.07512,-0.07512,0.04084,0.30131,-0.24933,2.32566,2.25149
"19","2015_Q3",0.7478125,"Down",1091245,-270038,821207,-2128469,-1844167,-201562,-82740,-1307262,491,491,491,-1306771,-1329911,-1329911,-1329911,-1329911,-1329911,3173639,3173639,329676,329676,167605,167605,3670920,4370740,2278881,1921072,170787,4370740,8041660,695093,537685,157408,1042431,68494,924463,1737524,1737524,68288687,-62085413,6304136,6304136,8041660,-1329911,82740,442226,-1631,-806576,-42437,-230202,275000,-761778,-761778,-761778,-1224522,0,0.75254,-1.19795,-1.21871,-0.21096,-0.16538,2.11273,0.27562,0,-0.05037,-0.05037,0.04133,0.23876,-0.21096,2.59174,2.4277
"20","2015_Q4",0.51984375,"Down",1303663,-286503,1017160,-2448462,-2073678,-269272,-105512,-1431302,507,507,507,-1430795,-1322448,-1322448,-1322448,-1322448,-1322448,1800716,1800716,766329,766329,192843,192843,2759888,4338809,2241483,1921072,176254,4338809,7098697,645068,500165,144903,269496,71872,189945,914564,914564,69491132,-63407861,6184133,6184133,7098697,-1322448,105512,338370,-410620,-1289186,4006.99999999999,-83737,4.65661287307739e-10,-1372923,-1372923,-1372923,-1325790,0,0.78023,-1.09791,-1.01441,-0.21385,-0.18629,3.01771,0.14789,0,-0.04641,-0.04641,0.04575,0.21703,-0.21385,1.35822,1.2581
"21","2016_Q1",0.690327868852459,"Up",1283908,-246214,1037694,-2796161,-2534556,-143763,-117842,-1758467,-361,-361,486,-1758828,-1751149,-1751149,-1751149,-1751149,-1751149,634129,634129,700356,700356,131345,131345,1465830,4467783,2373689,1921072,173022,4467783,5933613,789677,375363,414314,269769,72624,197145,1059446,1059446,69932315,-65159010,4874167,4874167,5933613,-1751149,117842,647951,65584,-919772,0,-246815,0,-1166587,-1166587,-1166587,-1640625,0,0.80823,-1.36962,-1.36392,-0.35927,-0.29512,1.38358,0.21736,8.67361737988404e-19,-0.06076,-0.06076,0.04455,0.16913,-0.35927,0.38652,0.36061
"22","2016_Q2",0.74203125,"Up",1845240,-404940,1440300,-2806851,-2311365,-349098,-146388,-1366551,7325,-7225,368,-1359226,-1359226,-1359226,-1359226,-1359226,-1359226,2053013,2053013,791221,791221,188965,188965,3033199,5544217,2292709,3058307,193201,5544217,8577416,1170926,871811,299115,448123,278528,169595,1715952,2034748,72703024,-66447999,6542668,6542668,8577416,-1359226,146388,430692,354393,-427753,-14237,-55369,1921313,1438191,1438191,1418884,-1220163,415699,0.78055,-0.74058,-0.73661,-0.20775,-0.15847,1.76765,0.311,0.04846,-0.04564,-0.04564,0.06197,0.21971,-0.19534,1.34188,1.19814
"23","2016_Q3",0.7825,"Up",2074565,-504970,1569595,-2534215,-1777136,-596020,-161059,-964620,-31531,-18085,1385,-996151,-996151,-996151,-996151,-996151,-996151,1035863,1035863,860674,860674,1199210,1199210,3095747,5686489,2451247,3044341,190901,5686489,8782236,1005113,557567,447546,425234,295240,129994,2620258,2845475,73395608,-67514387,5936761,5936761,8782236,-996151,161059,383933,-283642,-734801,-8216,-298735,-1152,-1034688,-1034688,-1017150,-803561,1415128,0.75659,-0.46497,-0.48017,-0.16779,-0.11343,1.18147,0.4793,0.16114,-0.03015,-0.03015,0.06279,0.17968,-0.1355,-0.47198,-0.39318
"24","2016_Q4",0.723968253968254,"Down",2182696,-564064,1618632,-3172316,-2322638,-655259,-194419,-1553684,-24988,-25372,525,-1578672,-1578672,-1578672,-1578672,-1578672,-1578672,273539,273539,723724,723724,1161021,1161021,2158284,5545641,2368537,3046108,130996,5545641,7703925,1153124,686985,466139,394086,272188,121898,2830295,2956084,73783664,-69093059,4747841,4747841,7703925,-1578672,194419,601452,153192,-629609,-28671,-128199,-3482.00000000047,-761290,-761290,-762324,-1359265,1408874,0.74157,-0.71182,-0.72327,-0.3325,-0.20492,0.76257,0.62262,0.18288,-0.04773,-0.04773,0.06599,0.14354,-0.25641,-0.83526,-0.73074
"25","2017_Q1",0.771774193548387,"Up",2330115,-622418,1707697,-3332628,-2271330,-853708,-207590,-1624931,-23831,-23899,502,-1648762,-5580412,-5580412,-5580412,-5580412,-5580412,1188485,1188485,1244484,1244484,1179376,1179376,3612345,1540013,627119,803118,109776,1540013,5152358,1375044,701347,673697,275074,160023,115051,2662028,3023194,76734772,-74673471,2129164,2129164,5152358,-5580412,207590,4572456,-457551,-1257917,-19566,-153848,3327547,1915782,1915782,1914946,-1417341,1373076,0.73288,-0.69736,-2.39491,-2.62094,-1.08308,1.35699,1.4199,0.26649,-0.15811,-0.15811,0.06602,0.06033,-1.59338,-0.13024,-0.1136
"26","2017_Q2",0.726190476190476,"Down",2113283,-557388,1555895,-2882271,-2224203,-589322,-68746,-1326376,-22850,-20202,904,-1349226,-1349226,-1349226,-1349226,-1349226,-1349226,1207020,1207020,114210,114210,1222243,1222243,2543473,1726422,818170,803118,105134,1726422,4269895,1224535,641943,582592,513968,407436,106532,2804653,3157761,77072189,-76022697,1112134,1112134,4269895,-1349226,68746,331875.000000001,1185458,236853,-9039,-255217,38050.9999999995,19687,19687,18535,-1257630,1419258,0.73625,-0.62764,-0.63845,-1.21319,-0.31599,0.90688,2.83937,0.33239,-0.03708,-0.03708,0.05807,0.03056,-0.533,-0.16876,-0.16001
"27","2017_Q3",0.873015873015873,"Up",2238701,-599738,1638963,-2887244,-1475875,-1311912,-99457,-1248281,-30999,-30489,1012,-1279280,-1279280,-1279280,-1279280,-1279280,-1279280,574900,574900,702199,702199,1216462,1216462,2493561,1678489,777082,803118,98289,1678489,4172050,1433747,797911,635836,1086610,985363,101247,3688840,3951666,77470362,-77301977,220384,220384,4172050,-1279280,99457,377101,197847,-604875,-3230,-51251,23109,-633017,-633017,-632120,-1148824,1431309,0.7321,-0.55759,-0.57144,-5.80478,-0.30663,0.67597,17.93082,0.34307,-0.03515,-0.03515,0.06152,0.00606,-0.77453,-0.74547,-0.68607
"28","2017_Q4",1.16387096774194,"Up",2084088,-786408,1297680,-2773574,-1489258,-1178803,-105513,-1475894,-62756,-61794,962,-1538650,-1538650,-1538650,-1538650,-1538650,-1538650,1709129,1709129,1412333,1412333,286407,286407,3407869,1660165,773785,803118,83262,1660165,5068034,1476487,1053075,423412,2219989,2124441,95548,5971545,6226649,77650307,-78840627,-1158615,-1158615,5068034,-1538650,105513,159730,404258,-869149,-9530,-97354,2097917,1131414,1131414,1134229,-1370381,2530173,0.62266,-0.70817,-0.73828,1.32801,-0.3036,0.57068,-5.37422,0.49924,-0.04194,-0.04194,0.05681,-0.03158,-1.12183,-0.59914,-0.5563
"29","2018_Q1",1.10196721311475,"Down",2155883,-849204,1306679,-3033755,-1799557,-1121610,-112588,-1727076,-51780,-51922,1759,-1778856,-1778856,-1778856,-1778856,-1778856,-1778856,460059,460059,885743,885743,209536,209536,1555338,1568470,676436,803118,88916,1568470,3123808,1687671,1096003,591668,1655621,1429266,226355,5579516,5760326,77947867,-80619483,-2636518,-2636518,3123808,-1778856,112588,282983,250132,-1133153,-12501,-20995,-1092878,-2247026,-2247026,-2249070,-1614488,2417034,0.6061,-0.8011,-0.82512,0.6747,-0.56945,0.27876,-2.18482,0.77375,-0.04829,-0.04829,0.05852,-0.07157,8.10472,-1.21213,-1.13311
"30","2018_Q2",1.00953125,"Down",3693328,-793389,2899939,-4338491,-2709923,-1531598,-96970,-1438552,-56703,-57033,456,-1495255,-1503977,-1503977,-1503977,-1503977,-1503977,419373,419373,1457634,1457634,202412,202412,2079419,1494538,600296,803118,91124,2318810,4398229,1925841,1148953,776888,2032500,1602711,429789,4128933,6135054,80364152,-82123460,-1736825,-1736825,4398229,-1503977,96970,-444218,514684,-1336541,-18078,-32026,1340496,-28071.0000000005,-28071.0000000005,-40686,-1341582,2176713,0.78518,-0.3895,-0.40721,0.86593,-0.34195,0.50362,-3.53234,0.49491,-0.03956,-0.03956,0.09714,-0.04568,-3.419,-1.3099,-1.2216
"31","2018_Q3",1.23285714285714,"Up",1366239,-756130,610109,-2084242,-1562854,-422660,-98728,-1474133,-111439,-109489,146,-1585572,-1585572,-1585572,-1585572,-1585572,-1585572,4242884,4242884,1485850,1485850,221535,221535,5950269,1563286,670636,803118,89532,2181443,8131712,1719152,950490,768662,2592780,2248449,344331,5452065,6140009,85608540,-83709032,1991703,1991703,8131712,-1585572,98728,292498,324461,-869885,8125,-153541,4777225,3753799,3753799,3823511,-1375405,1828077,0.44656,-1.07897,-1.16054,-0.79609,-0.19499,1.09138,3.08279,0.22481,-0.04185,-0.04185,0.03606,0.05257,-0.4151,1.75571,1.63812
"32","2018_Q4",1.45403225806452,"Up",4561368,-1021285,3540083,-3421037,-1649773,-1683738,-87526,119046,-27739,-25633,279,91307.0000000002,91307,91306.9999999995,91306.9999999995,91306.9999999995,91306.9999999995,5119562,5119562,2445292,2445292,215699,215699,7780553,1667288,771991,803118,92179,4077418,11857971,1678524,1118287,560237,4149446,3418025,731421,6160282,7875730,87545950,-83617725,3982241,3982241,11857971,91306.9999999995,87526,-724813,709291,163311,-10352.9999999998,-191604,943150,914857,914857,876678.000000001,206572,2047760,0.7761,0.0261,0.0200199999999999,0.02293,0.0077,1.26302,1.97771,0.17269,0.00189999999999999,0.00189999999999999,0.09489,0.08284,0.01514,-14.87037,-25.80349
"33","2019_Q1",1.05683333333333,"Down",1935601,-1361530,574071,-2485280,-2206458,-75791,-203031,-1911209,-18141,-14122,3264,-1929350,-4217407,-4217407,-4217407,-4217407,-4217407,554255,554255,601658,601658,1315178,1315178,2471091,2846144,1781448,537550,527146,4959967,7431058,2091106,1731628,359478,2811966,1956938,855028,6051270,7106098,88054471,-87835132,324960,324960,7431058,-4217407,142023,3004030,-1434443,-2505797,-3e+06,-3147980,1036865,-4616912,-4616912,-4565307,-1769186,2203026,0.29659,-0.9874,-2.17886,-12.97823,-0.56754,0.40836,21.86761,0.29646,-0.09465,-0.09465,0.04344,0.00729000000000002,-1.66829,-0.931939999999999,-0.862680000000008
"34","2019_Q2",0.9765,"Down",2416617,-1171909,1244708,-3024329,-2162502,-577733,-284094,-1779621,-42026,-41888,17,-1821647,-1821647,-1821647,-1821647,-1821647,-1821647,283411,283411,1072985,1072985,1775498,1775498,3131894,3186293,1771976,537550,876767,4811494,7943388,2636674,2375059,261615,2449102,1743532,705570,5702916,9287775,88235220,-89656779,-1344387,-1344387,7943388,-1821647,167649,239350,-181385,-1596033,0,-139570,1493208,-242395,-242395,-270843.999999999,-1611972,4201999,0.51506,-0.73641,-0.753800000000001,1.355,-0.22933,0.54917,-6.90856,0.52899,-0.0396,-0.0396,0.05254,-0.02923,-0.63747,-2.43093,-2.20192
"35","2019_Q3",0.9959375,"Up",2434819,-1626740,808079,-3308274,-2123192,-1161695,-23387,-2500195,-89805,-89087,0,-2590000,-2590000,-2590000,-2590000,-2590000,-2590000,154825,154825,427801,427801,1589095,1589095,2171721,2966451,1741092,537550,687809,4478896,6650617,3048716,2729110,319606,2040861,1183311,857550,5811154,10078304,88731025,-92246779,-3427687,-3427687,6650617,-2590000,139832,677766,743343,-1029059,-8183,-125576,998215,-156420,-156420,-128586,-2360363,4988727,0.33188,-1.02685,-1.06373,0.755610000000002,-0.38944,0.37372,-2.94026,0.75011,-0.05631,-0.05631,0.05293,-0.07452,-1.65915,-2.04795,-1.93341
"36","2019_Q4",0.97359375,"Down",2481971,-1586457,895514,-2555283,-1840701,-558977,-155605,-1659769,-24226,-30822,26637,-1683995,-1916457,-1916457,-1916457,-1916457,-1916457,975669,975669,774669,774669,1407394,1407394,3157732,3231767,2200962,537550,493255,4618175,7775907,3071364,2739522,331842,2084032,1375408,708624,5683727,7326431,94494152,-94163236,449476,449476,7775907,-1916457,155605,548959,25688,-1186205,-10425,-615376,2596488,794907,794907,820844,-1504164,2171035,0.36081,-0.66873,-0.77215,-4.26376,-0.24646,0.55557,16.29994,0.2792,-0.04034,-0.04034,0.05225,0.00946,-0.73133,-0.7947,-0.7202
"37","2020_Q1",0.97258064516129,"Down",2723515,-1553192,1170323,-3617833,-2169290,-1311563,-136980,-2447510,-46360,-46749,1506,-2493870,-2493870,-2493870,-2493870,-2493870,-2493870,273599,273599,614726,614726,1128697,1128697,2017022,3847366,1762211,496352,1588803,3847366,5864388,3537133,3256888,280245,1147817,440309,707508,5225526,7578733,94833119,-96657106,-1714345,-1714345,5864388,-2493870,136980,32941,385651,-1938298,1306,323289,916052,-698957,-698957,-702070,-2310530,2108105,0.42971,-0.89866,-0.91568,1.45471,-0.42526,0.38599,-4.42077,0.35948,-0.04854,-0.04854,0.05301,-0.03337,-2.11446,-0.79398,-0.74954
"38","2020_Q2",0.772698412698413,"Down",4549992,-1584402,2965590,-3906172,-2054793,-1677442,-173937,-940582,-75197,-76352,837,-1015779,-1015779,-1015779,-1015779,-1015779,-1015779,208217,208217,973307,973307,1646946,1646946,2828470,2205920,1609853,496352,99715,4329704,7158174,4114260,3623957,490303,1889684,1016680,873004,6544354,9467666,95266832,-97672885,-2309492,-2309492,7158174,-1015779,173937,242820,259114,-339908,-4907.00000000001,-20498.9999999999,314353,-46054,-46054,-65381.9999999998,-766645,3426478,0.65178,-0.20672,-0.22325,0.43983,-0.1419,0.4322,-4.09946,0.47868,-0.01975,-0.01975,0.08846,-0.0449,-0.88005,-4.19785,-3.42156
