"","YQ","p","d","revenue","financing_revenue","cost_of_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",9.29258064516129,"Down",5.2e+08,5.2e+08,-1.39e+08,3.81e+08,-2.5e+08,-4.5e+07,-8e+06,8.6e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,-3e+06,8.3e+07,2.569e+09,2.569e+09,9.6721e+10,9.6721e+10,1.01616e+11,5.61e+08,5.61e+08,5.61e+08,1.02177e+11,1.815e+09,7.4e+07,4.3e+08,1.311e+09,8.8081e+10,8.8081e+10,8.9896e+10,1.008e+09,1.008e+09,9.0904e+10,1.67e+08,9.539e+09,-6.72e+08,2.239e+09,1.1273e+10,1.1273e+10,1.02177e+11,8.6e+07,5.22e+08,-1.1e+07,5.97e+08,1.6912e+10,-2.7637e+10,-1.0725e+10,-3.84e+08,9.742e+09,1.24e+09,1.0598e+10,4.7e+08,4.7e+08,4.7e+08,1.008e+09,0.73269,0.16538,0.15962,0.00736,0.00081,1.13037,8.06387,0.00987,0.2494,0.2494,1.5625,33.37139,1.15385,0.03803,4.62651,-18.15116
"12","2013_Q1",9.75483333333333,"Up",5.71e+08,5.71e+08,-1.47e+08,4.24e+08,4.42e+08,-5.5e+07,-9e+06,8.11e+08,8.11e+08,8.11e+08,8.11e+08,8.11e+08,8.11e+08,-4e+06,8.07e+08,2.43e+09,2.43e+09,9.7462e+10,9.7462e+10,9.9892e+10,5.61e+08,5.61e+08,5.61e+08,1.00453e+11,1.115e+09,1.32e+08,4.27e+08,5.56e+08,8.7505e+10,8.7505e+10,8.862e+10,9.37e+08,9.37e+08,8.9557e+10,1.67e+08,9.463e+09,-2.89e+08,1.555e+09,1.0896e+10,1.0896e+10,1.00453e+11,8.11e+08,-2.37e+08,6.4e+07,6.38e+08,2.5498e+10,-2.0922e+10,4.576e+09,-4.31e+08,-5.846e+09,-76000000.0000005,-5.353e+09,-1.39e+08,-1.39e+08,-1.39e+08,9.37e+08,0.74256,1.42032,1.41331,0.07406,0.00803,1.12719,8.21925,0.00933,2.36518,2.36518,1.67351,31.4449,1.26319,0.10462,0.534080000000001,-1.84094
"13","2013_Q2",9.155,"Down",5.47e+08,5.47e+08,-1.4e+08,4.07e+08,-1.24e+08,-5.2e+07,-9e+06,2.31e+08,2.31e+08,2.31e+08,2.31e+08,2.31e+08,2.31e+08,-3e+06,2.28e+08,2.826e+09,2.826e+09,8.9085e+10,8.9085e+10,9.2645e+10,7.24e+08,7.24e+08,7.24e+08,9.3369e+10,8.4e+08,8.2e+07,4.99e+08,2.59e+08,8.0025e+10,8.0025e+10,8.0865e+10,8.62e+08,8.62e+08,8.1727e+10,1.67e+08,1.1265e+10,-5.57e+08,7.67e+08,1.1642e+10,1.1642e+10,9.3369e+10,2.31e+08,3.07e+08,-2e+07,5.18e+08,2.0347e+10,-1.3562e+10,6.785e+09,-4.27e+08,-8.282e+09,1.802e+09,-6.907e+09,3.96e+08,3.96e+08,3.96e+08,8.62e+08,0.74406,0.4223,0.41682,0.01958,0.00244,1.14567,7.02001,0.00923,0.64009,0.64009,1.53565,32.21505,1.19876,0.05238,1.87281,-8.50216
"14","2013_Q3",7.46171875,"Down",5.45e+08,5.45e+08,-1.31e+08,4.14e+08,1.461e+09,-4.6e+07,-9e+06,1.829e+09,1.829e+09,1.829e+09,1.829e+09,1.829e+09,1.829e+09,-4e+06,1.825e+09,2.923e+09,2.923e+09,9.1524e+10,9.1524e+10,9.6517e+10,2.146e+09,2.146e+09,2.146e+09,9.8663e+10,3.674e+09,8.7e+07,4.2e+08,3.167e+09,8.3926e+10,8.3926e+10,8.76e+10,7.83e+08,7.83e+08,8.8383e+10,1.67e+08,1.1259e+10,8.52e+08,-1.998e+09,1.028e+10,1.028e+10,9.8663e+10,1.829e+09,-1.315e+09,-2e+07,4.94e+08,7.812e+09,-1.3831e+10,-6.019e+09,-4.99e+08,6.127e+09,-6e+06,5.622e+09,9.7e+07,9.7e+07,9.7e+07,7.83e+08,0.75963,3.35596,3.34862,0.17753,0.0185,1.10179,8.59757,0.00794,4.60394,4.60394,1.37487,25.51211,1.25883,0.21007,0.27342,-1.17004
"15","2013_Q4",7.301875,"Down",5.58e+08,5.58e+08,-1.45e+08,4.13e+08,-1.072e+09,-4.2e+07,-7e+06,-7.01e+08,-7.01e+08,-7.01e+08,-7.01e+08,-7.01e+08,-7.01e+08,-3e+06,-7.04e+08,2.129e+09,2.129e+09,9.1717e+10,9.1717e+10,9.5653e+10,1.618e+09,1.618e+09,1.618e+09,9.7271e+10,1.361e+09,7.1e+07,3.11e+08,9.79e+08,8.5289e+10,8.5289e+10,8.665e+10,7.36e+08,7.36e+08,8.7386e+10,1.67e+08,1.0996e+10,-1.6e+08,-1.118e+09,9.885e+09,9.885e+09,9.7271e+10,-7.01e+08,1.287e+09,-1.14e+08,4.72e+08,1.553e+10,-2.6083e+10,-1.0553e+10,-4.2e+08,9.97e+09,-2.63e+08,9.287e+09,-7.94e+08,-7.94e+08,-7.94e+08,7.36e+08,0.74014,-1.25627,-1.26165,-0.07122,-0.00724,1.1039,8.84026,0.00757,-1.80236,-1.80236,1.42857,24.87967,1.07527,-0.02674,-0.59659,1.98716
"16","2014_Q1",7.61852459016393,"Up",5.43e+08,5.43e+08,-1.2e+08,4.23e+08,-4.82e+08,-4.1e+07,-7e+06,-99999999.9999995,-99999999.9999995,-99999999.9999995,-99999999.9999995,-99999999.9999995,-99999999.9999995,-4e+06,-1.04e+08,2.38e+09,2.143e+09,7.1745e+10,7.1745e+10,7.4777e+10,1.478e+09,1.478e+09,1.478e+09,7.6255e+10,8.45e+08,4.92e+08,2.35e+08,1.18e+08,6.5803e+10,6.5803e+10,6.6648e+10,9.1e+08,9.1e+08,6.7558e+10,1.67e+08,1.041e+10,-4.97e+08,-1.383e+09,8.697e+09,8.697e+09,7.6255e+10,-1e+08,6.62e+08,4.55e+08,1.017e+09,2.2261e+10,-3.599e+09,1.8662e+10,-3.13e+08,-1.8969e+10,-5.86e+08,-1.9665e+10,13999999.9999999,13999999.9999999,13999999.9999999,9.1e+08,0.77901,-0.18416,-0.19153,-0.01196,-0.00136,1.12197,7.76797,0.01193,-0.27867,-0.278669999999999,1.45498,22.85638,0.83869,0.02175,-3.00962,14.7
"17","2014_Q2",8.40349206349206,"Up",3.99e+08,3.99e+08,-1.08e+08,2.91e+08,-3.97e+08,-3.5e+07,-6e+06,-1.41e+08,-1.41e+08,-1.41e+08,-1.41e+08,-1.41e+08,-1.41e+08,-3e+06,-1.44e+08,2.078e+09,1.726e+09,6.3527e+10,6.3527e+10,6.6404e+10,9.14e+08,9.14e+08,9.14e+08,6.7318e+10,8.26e+08,2.7e+08,2.32e+08,3.24e+08,5.6804e+10,5.6804e+10,5.763e+10,8.74e+08,8.74e+08,5.8504e+10,1.67e+08,1.0336e+10,-8.7e+08,-8.19e+08,8.814e+09,8.814e+09,6.7318e+10,-1.41e+08,5.82e+08,4.7e+07,4.88e+08,1.7891e+10,-4.647e+09,1.3244e+10,-2.35e+08,-1.384e+10,-7.4e+07,-1.4149e+10,-4.17e+08,-4.17e+08,-4.17e+08,8.74e+08,0.72932,-0.35338,-0.3609,-0.01634,-0.00214,1.15225,6.63762,0.01298,-0.40586,-0.40586,1.12458,24.37148,0.66234,0.00939000000000002,-1.63194,8.53901
"18","2014_Q3",8.6553125,"Up",3.85e+08,3.85e+08,-9.5e+07,2.9e+08,-2.21e+08,-3.6e+07,-6e+06,3.3e+07,3.3e+07,3.3e+07,3.3e+07,3.3e+07,3.3e+07,-6e+06,2.7e+07,1.949e+09,1.747e+09,6.2202e+10,6.2202e+10,6.6023e+10,8.31e+08,8.31e+08,8.31e+08,6.6854e+10,1.008e+09,2.15e+08,2.35e+08,5.58e+08,5.5391e+10,5.5391e+10,5.6399e+10,8.44e+08,8.44e+08,5.7243e+10,3.36e+08,1.0336e+10,-1.073e+09,1.2e+07,9.611e+09,9.611e+09,6.6854e+10,3.3e+07,3.7e+08,41000000.0000001,4.44e+08,4.487e+09,-3.791e+09,6.96e+08,-2.33e+08,-1.055e+09,1.69e+08,-1.119e+09,20999999.9999999,20999999.9999999,20999999.9999999,8.44e+08,0.75325,0.08571,0.07013,0.00281,4e-04,1.17064,5.95599,0.01262,0.07653,0.07653,1.09127,26.28968,0.66043,0.02487,8.62963,-33.48485
"19","2014_Q4",8.81125,"Up",3.57e+08,3.57e+08,-8.8e+07,2.69e+08,-3.7e+07,-3.5e+07,-5e+06,1.97e+08,1.97e+08,1.97e+08,1.97e+08,1.97e+08,1.97e+08,-7e+06,1.9e+08,1.774e+09,1.708e+09,5.8996e+10,5.8996e+10,6.1675e+10,6.73e+08,6.73e+08,6.73e+08,6.2348e+10,1.616e+09,2.3e+08,2.36e+08,1.15e+09,5.0579e+10,5.0579e+10,5.2195e+10,7.96e+08,7.96e+08,5.2991e+10,3.36e+08,1.0336e+10,-1.112e+09,-2.03e+08,9.357e+09,9.357e+09,6.2348e+10,1.97e+08,1.75e+08,-1e+07,3.62e+08,8.522e+09,-5.258e+09,3.264e+09,-2.35e+08,-3.43e+09,0,-3.665e+09,-3.9e+07,-3.9e+07,-3.9e+07,7.96e+08,0.7535,0.55182,0.53221,0.02031,0.00305,1.18163,5.66325,0.01277,0.53855,0.53855,1.0119,25.56973,0.6661,0.04186,1.23684,-4.96447000000001
"20","2015_Q1",8.70901639344262,"Down",3.31e+08,3.31e+08,-8.1e+07,2.5e+08,-5.37e+08,-3.5e+07,-5e+06,-3.22e+08,-3.22e+08,-3.22e+08,-3.22e+08,-3.22e+08,-3.22e+08,-7e+06,-3.29e+08,1.788e+09,1.72e+09,6.5106e+10,6.5106e+10,6.7133e+10,6.33e+08,6.33e+08,6.33e+08,6.7766e+10,1.028e+09,1e+08,8.5e+07,8.43e+08,5.6549e+10,5.6549e+10,5.7577e+10,7.61e+08,7.61e+08,5.8338e+10,3.36e+08,1.0336e+10,-1.674e+09,4.3e+08,9.428e+09,9.428e+09,6.7766e+10,-3.22e+08,6.93e+08,-4.3e+07,3.28e+08,4.426e+09,-9.281e+09,-4.855e+09,-3.91e+08,4.93e+09,1.49011611938477e-08,4.539e+09,1.2e+07,1.2e+07,1.2e+07,7.61e+08,0.75529,-0.97281,-0.99396,-0.0349,-0.00485,1.16597,6.18774,0.01123,-0.93254,-0.93254,0.93821,25.77098,1.10828,0.00608,-1.18845,3.18944
"21","2015_Q2",8.5484126984127,"Down",3.83e+08,3.83e+08,-8.6e+07,2.97e+08,-5.13e+08,-3.6e+07,-6e+06,-2.52e+08,-2.52e+08,-2.52e+08,-2.52e+08,-2.52e+08,-2.52e+08,-7e+06,-2.59e+08,1.776e+09,1.708e+09,6.9963e+10,6.9963e+10,7.2647e+10,4.58e+08,4.58e+08,4.58e+08,7.3105e+10,1.97e+08,6.2e+07,8.5e+07,5e+07,6.2827e+10,6.2827e+10,6.3024e+10,7.25e+08,7.25e+08,6.3749e+10,3.36e+08,1.0336e+10,-2.166e+09,8.5e+08,9.356e+09,9.356e+09,7.3105e+10,-2.52e+08,6.75e+08,-3e+06,4.2e+08,3.169e+09,-1.1142e+10,-7.973e+09,-2.4e+08,7.781e+09,0,7.541e+09,-1.2e+07,-1.2e+07,-1.2e+07,7.25e+08,0.77546,-0.65796,-0.67624,-0.02768,-0.00354,1.15269,6.8137,0.00992,-0.73413,-0.73413,1.0856,25.56689,0.68027,-0.00187999999999999,-0.92664,4.17063
"22","2015_Q3",8.218125,"Down",4.14e+08,4.14e+08,-8.1e+07,3.33e+08,2.15e+08,-3.6e+07,-7e+06,5.12e+08,5.12e+08,5.12e+08,5.12e+08,5.12e+08,5.12e+08,-7e+06,5.05e+08,1.57e+09,1.51e+09,6.0761e+10,6.0761e+10,6.2552e+10,3.33e+08,3.33e+08,3.33e+08,6.2885e+10,2.41e+08,7.4e+07,7.7e+07,9e+07,5.3252e+10,5.3252e+10,5.3493e+10,6.74e+08,6.74e+08,5.4167e+10,3.36e+08,1.0257e+10,-1.879e+09,4e+06,8.718e+09,8.718e+09,6.2885e+10,5.12e+08,-1.2e+08,5.9e+07,4.51e+08,8.88e+09,-1.238e+09,7.642e+09,-2.33e+08,-7.979e+09,-7.9e+07,-8.291e+09,-1.98e+08,-1.98e+08,-1.98e+08,6.74e+08,0.80435,1.23671,1.21981,0.05793,0.00803,1.16935,6.21324,0.01072,1.43425,1.43425,1.1758,23.80574,0.66174,0.07858,0.46139,-1.75
"23","2015_Q4",8.02484375,"Down",2.95e+08,2.95e+08,-7.7e+07,2.18e+08,-8.17e+08,-3.4e+07,-5e+06,-6.33e+08,-6.33e+08,-6.33e+08,-6.33e+08,-6.33e+08,-6.33e+08,-7e+06,-6.4e+08,1.539e+09,1.505e+09,5.848e+10,5.848e+10,6.0166e+10,4.43e+08,4.43e+08,4.43e+08,6.0609e+10,4.306e+09,5.2e+07,7.6e+07,4.178e+09,4.3859e+10,4.3859e+10,4.8165e+10,6.26e+08,4.128e+09,5.2293e+10,3.36e+08,1.0212e+10,-2.727e+09,4.95e+08,8.316e+09,8.316e+09,6.0609e+10,-6.33e+08,9.69e+08,-1.37e+08,1.99e+08,8.053e+09,-2.293e+09,5.76e+09,-2.16e+08,-1.114e+10,-4.5e+07,-5.964e+09,-5e+06,-5e+06,-5e+06,6.26e+08,0.73898,-2.14576,-2.16949,-0.07696,-0.01056,1.24916,6.28824,0.01033,-1.84014,-1.84014,0.84819,22.94422,0.62105,-0.03407,-0.3375,1.44234
"24","2016_Q1",8.13098360655738,"Up",3.74e+08,3.74e+08,-8.6e+07,2.88e+08,3.33e+08,-3.3e+07,-5e+06,5.88e+08,5.88e+08,5.88e+08,5.88e+08,5.88e+08,5.88e+08,-7e+06,5.81e+08,1.143e+09,1.11e+09,5.5492e+10,5.5492e+10,5.6635e+10,3.86e+08,3.86e+08,3.86e+08,5.7021e+10,3.17e+08,6.1e+07,7.4e+07,1.82e+08,4.4385e+10,4.4385e+10,4.4702e+10,5.95e+08,4.348e+09,4.905e+10,3.36e+08,1.0051e+10,-2.35e+09,-6.6e+07,7.971e+09,7.971e+09,5.7021e+10,5.88e+08,-2.33e+08,3e+06,3.58e+08,6.346e+09,-7.682e+09,-1.336e+09,-2.13e+08,-6.563e+09,-1.61e+08,5.83e+08,-3.95e+08,-3.95e+08,-3.95e+08,5.95e+08,0.77005,1.57219,1.55348,0.07289,0.01019,1.26695,6.15356,0.01043,1.70032,1.70032,1.09453,22.34416,0.62335,0.06445,0.36661,-0.93197
"25","2016_Q2",8.9240625,"Up",2.95e+08,2.95e+08,-9.9e+07,1.96e+08,-9.35e+08,-3.3e+07,-6e+06,-7.72e+08,-7.72e+08,-7.72e+08,-7.72e+08,-7.72e+08,-7.72e+08,-7e+06,-7.79e+08,1.147e+09,1.109e+09,6.0904e+10,6.0904e+10,6.2051e+10,3.45e+08,3.45e+08,3.45e+08,6.2396e+10,1.034e+09,7.2e+07,7.3e+07,8.89e+08,5.0103e+10,5.0103e+10,5.1137e+10,5.62e+08,3.599e+09,5.4736e+10,3.36e+08,9.935e+09,-3.329e+09,7.18e+08,7.66e+09,7.66e+09,6.2396e+10,-7.72e+08,1.104e+09,3e+07,3.62e+08,4.938e+09,-7.771e+09,-2.833e+09,-2.08e+08,6.96e+08,-1.16e+08,2.47e+09,-1e+06,-1e+06,-1e+06,5.62e+08,0.66441,-2.61695,-2.64068,-0.1017,-0.01248,1.21343,7.14569,0.00901,-2.32955,-2.32955,0.88218,21.90191,0.62201,-0.05071,-0.26701,0.75777
