"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.6335483870968,"Up",109791000,-30115000,79676000,-33706000,-12559000,-19768000,-1379000,45970000,-16749000,-16749000,29221000,-2486000,26735000,-1656000,41553000,41553000,-2947000,38606000,38606000,43608000,43608000,34314000,34314000,77922000,2741945000,2741945000,193055000,121269000,71786000,2.935e+09,3012922000,169199000,49609000,1466899000,46672000,46672000,1682770000,0,0,0,1682770000,1533018000,1043000,1531975000,-243546000,-14956000,1274516000,55636000,1330152000,3012922000,41553000,19768000,-9720000,8739000,60340000,-322256000,-351000,13453000,-309154000,-20864000,130894000,2787000,2787000,-5897000,106920000,-141894000,-141894000,-141894000,65738000,1466899000,-246123000,0.72571,0.4187,0.35163,0.02902,0.01281,-6.37525,0.04631,1.2651,0.48687,0.37031,0.35498,1.05313,12.22531,-2.36084,0.20013,0.02126,-0.08799,0.54043,21.65096,30.9613
"12","2013_Q1",27.5271666666667,"Up",113667000,-31305000,82362000,-37463000,-12710000,-21535000,-3218000,44899000,-17658000,-17658000,27241000,-1787000,25454000,-1173000,38873000,38873000,-2797000,36076000,36076000,30785000,30785000,28054000,28054000,58839000,2991722000,2991722000,172916000,106313000,66603000,3164638000,3223477000,171889000,52299000,1454690000,51567000,51567000,1678146000,3.3881317890172e-21,3.3881317890172e-21,0,1678146000,1741144000,1107000,1740037000,-235064000,-14273000,1491807000,53524000,1545331000,3223477000,38873000,21535000,-7640000,10150000,62918000,-236733000,-370000,5234000,-231869000,-27594000,-14874000,204232000,204232000,-5636000,156128000,-12823000,-12823000,-12823000,66434000,1454690000,-158976000,0.72459,0.395,0.31738,0.02335,0.01119,-4.4067,0.03506,1.08595,0.45128,0.34093,0.36173,1.07418,14.0979,-1.50236,0.26077,0.02122,-0.05299,0.76489,21.43338,31.71351
"13","2013_Q2",30.33703125,"Up",119322000,-34437000,84885000,-37704000,-12769000,-23025000,-1910000,47181000,-15969000,-15969000,31212000,-452000,30760000,-2008000,33931000,33931000,-2506000,31425000,31425000,35575000,35575000,29253000,29253000,64828000,2995510000,2995510000,168758000,102102000,66656000,3164268000,3229096000,165025000,45435000,1461554000,49365000,49365000,1675944000,0,0,7.45058059692383e-09,1675944000,1743678000,1109000,1742569000,-231369000,-12759000,1499550000,53602000,1553152000,3229096000,33931000,23025000,566000,-6406000,51116000,-18754000,-589000,-4002000,-23345000,-27730000,6864000,1635000,1635000,-3750000,-22981000,4790000,4790000,4790000,70206000,1461554000,47054000,0.71139,0.39541,0.26336,0.02023,0.00973,1.49734,0.03868,1.07906,0.45262,0.28487,0.27334,1.08165,13.59339,0.42654,0.25137,0.01962,0.01561,0.88242,20.31136,30.22359
"14","2013_Q3",31.35046875,"Up",126246000,-33462000,92784000,-38726000,-13739000,-22785000,-2202000,54058000,-17017000,-17017000,37041000,3999.99999999953,37045000,-2858000,37101000,37101000,-2635000,34466000,34466000,206932000,206932000,23760000,23760000,230692000,3027654000,3027654000,174270000,101698000,72572000,3201924000,3432616000,166572000,46982000,1409982000,16271000,16271000,1592825000,2.71050543121376e-20,2.71050543121376e-20,2.5e+08,1842825000,1766689000,1112000,1765577000,-241391000,5108000,1530406000,59385000,1589791000,3432616000,37101000,22785000,3762000,11787000,75435000,-42353000,-366000,-1002000,-43721000,-44488000,187556000,3917000.00000003,3917000,-7342000,139643000,171357000,171357000,171357000,76843000,1659982000,49135000,0.73495,0.4282,0.27301,0.02168,0.01004,1.42561,0.14483,1.15916,0.48359,0.31126,0.30243,1.14011,13.82092,0.44373,0.40177,0.0243,0.01512,1.29078,18.90933,26.87946
"15","2013_Q4",32.205,"Up",133111000,-34376000,98735000,-40244000,-13943000,-23428000,-2873000,58491000,-14849000,-14849000,43642000,-12414000,31228000,-2281000,32352000,32352000,-3107000,29245000,29245000,81699000,81699000,30731000,30731000,112430000,3223672000,3223672000,182137000,100455000,81682000,3405809000,3518239000,177838000,58248000,1402432000,19089000,19089000,1599359000,0,0,2.5e+08,1849359000,1767803000,1112000,1766691000,-256640000,3146000,1514309000,154571000,1668880000,3518239000,32352000,23428000,13623000,2630000,72033000,-24894000,-171000,-8172000,-33237000,-44494000,-115663000,324000,324000,-4196000,-164029000,-125233000,-125233000,-125233000,81919000,1652432000,61936000,0.74175,0.43942,0.2197,0.01752,0.00831,2.11783,0.0703,1.10814,0.46968,0.26388,0.24987,1.20105,13.66354,0.55885,0.40147,0.0222,0.01865,1.52142,19.17422,26.85427
"16","2014_Q1",34.1903278688525,"Up",141934000,-37737000,104197000,-41826000,-13795000,-25994000,-2037000,62371000,-18196000,-18196000,44175000,-5353000,38822000,-2837000,82172000,82172000,-5232000,76940000,76940000,126723000,126723000,28993000,28993000,155716000,3636544000,3636544000,184880000,88125000,96755000,3821424000,3977140000,180191000,60601000,1588596000,26458000,26458000,1795245000,4.33680868994202e-19,4.33680868994202e-19,2.5e+08,2045245000,1974316000,1157000,1973159000,-226002000,10156000,1758470000,173425000,1931895000,3977140000,82172000,25994000,-39926000,4435000,72675000,-263460000,-390000.000000002,-2823000,-266673000,-46302000,85306000.0000001,206008000,206008000,-5990000,239022000,45023999.9999999,45023999.9999999,45023999.9999999,88365000,1838596000,-167823000,0.73412,0.43944,0.54208,0.03983,0.01935,-2.18122,0.08674,1.05867,0.46229,0.67775,0.72277,1.25026,15.48997,-1.47831,0.40786,0.03269,-0.04451,0.60179,19.37275,27.44662
"17","2014_Q2",38.3438095238095,"Up",152587000,-43482000,109105000,-46651000,-15709000,-28375000,-2567000,62454000,-18116000,-18116000,44338000,-2718000,41620000,-2830000,41209000,41209000,-3869000,37340000,37340000,47015000,47015000,28992000,28992000,76007000,3862679000,3862679000,184805000,89326000,95479000,4047484000,4123491000,172476000,52886000,1751872000,25959000,25959000,1950307000,0,0,2.5e+08,2200307000,1977755000,1158000,1976597000,-235009000,7528000,1750274000,172910000,1923184000,4123491000,41209000,28375000,3553000,-8565000,64572000,-256759000,-85693753.0145109,151000,-256608000,-46347000,163276000,1056000,1056000,-5657000,112328000,-79708000,-79708000,-79708000,90829000,2001872000,-171665000,0.71503,0.4093,0.24471,0.01942,0.00906,-4.59735,0.03897,1.1441,0.48548,0.32346,0.30843,1.32181,15.16198,-1.48707,0.40149,0.02132,-0.04374,1.24122,21.52239,31.30075
"18","2014_Q3",39.61546875,"Up",160724000,-42294000,118430000,-46376000,-15469000,-28271000,-2636000,72054000,-18734000,-18734000,53320000,-9841000,43479000,-3513000,46008000,46008000,-4343000,41665000,41665000,53945000,53945000,33291000,33291000,87236000,3941042000,3941042000,180612000,86794000,93818000,4121654000,4208890000,185129000,65539000,1804049000,39004000,39004000,2028182000,-6.93889390390723e-18,-6.93889390390723e-18,2.5e+08,2278182000,1982346000,1160000,1981186000,-247871000,2073000,1736548000,194160000,1930708000,4208890000,46008000,28271000,9996000,18912000,103187000,-46119000,-226013721.912311,-10715000,-56834000,-54527000,20398000,1495000,1494999.99999997,-6789000,-39423000,6930000,6930000,6930000,100325000,2054049000,76631000,0.73685,0.44831,0.25923,0.02158,0.0099,1.83922,0.04301,1.17997,0.48803,0.36025,0.3436,1.38969,15.01498,0.66259,0.47147,0.02414,0.01923,1.3087,19.93625,27.7584
"19","2014_Q4",43.36453125,"Up",168660000,-43294000,125366000,-47437000,-15258000,-29249000,-2930000,77929000,-19282000,-19282000,58647000,-3615000,55032000,1006000,59193000,59193000,-4965000,54228000,54228000,49216000,49216000,38488000,38488000,87704000,3954759000,3954759000,183432000,86232000,97200000,4138191000,4225895000,193118000,73528000,1819201000,29978000,29978000,2042297000,0,0,2.5e+08,2292297000,1983772000,1160000,1982612000,-248179000,3735000,1739328000,194270000,1933598000,4225895000,59193000,29249000,-2034000,2397000,88805000,-36645000,-354477118.876581,-6854000,-43499000,-54536000,9996000,166000,166000,-5661000,-50035000,-4729000,-4729000,-4729000,107178000,2069201000,71924000,0.74331,0.46205,0.32152,0.02805,0.01283,1.32633,0.04294,1.18551,0.48965,0.46858,0.44328,1.45738,15.02947,0.62149,0.47124,0.02717,0.01797,1.00568,18.84701,25.92084
"20","2015_Q1",50.0388524590164,"Up",165184000,-43346000,121838000,-45981000,-14506000,-29181000,-2294000,75857000,-18741000,-18741000,57116000,-8344000,48772000,-2233000,49486000,49486000,-4364000,45122000,45122000,47663000,47663000,37023000,37023000,84686000,4135696000,4135696000,161605000,85711000,75894000,4297301000,4381987000,2041561000,65521000,1.38e+08,54719000,54719000,2234280000,0,0,235724000,2470004000,1996647000,1163000,1995484000,-257738000,-1484000,1737425000,174558000,1911983000,4381987000,49486000,29181000,4961000,-2611000,81017000,-187543000,-404211156.090499,-20464000,-208007000,-54681000,190866000,378000.000000007,377999.999999993,-11126000,125437000,-1553000,-1553000,-1553000,105038000,373724000,-82883000,0.73759,0.45923,0.27316,0.0236,0.0103,-1.83686,0.0379,1.29185,0.08529,0.38887,0.37265,1.42357,14.97332,-0.71429,0.47125,0.04366,-0.03626,1.21185,3.10422,4.29836
"21","2015_Q2",52.1065079365079,"Up",173154000,-47244000,125910000,-49605000,-16249000,-30428000,-2928000,76305000,-19362000,-19362000,56943000,-1566000,55377000,-2248000,58636000,58636000,-4894000,53742000,53742000,45304000,45304000,38486000,38486000,83790000,4197853000,4197853000,182502000,85602000,96900000,4380355000,4464145000,191143000,71553000,2071957000,43990000,43990000,2307090000,0,0,2.5e+08,2557090000,1999404000,1164000,1998240000,-258728000,-7800000,1732876000,174179000,1907055000,4464145000,58636000,30428000,2434000,-4059000,87439000,-80222000,-308343045.737246,-11289000,-91511000,-54732000,61890000,970000,970000,-6415000,1713000,-2359000,-2359000,-2359000,106733000,2321957000,24700000,0.72716,0.44068,0.31037,0.02818,0.01204,0.4596,0.03632,1.34086,0.52013,0.46282,0.43837,1.49119,14.92345,0.21272,0.47135,0.02565,0.00584,1.01842,21.33036,29.83622
"22","2015_Q3",56.77796875,"Up",185860000,-48209000,137651000,-51490000,-16655000,-31552000,-3283000,86161000,-21171000,-21171000,64990000,-4850000,60140000,-2185000,60956000,60956000,-5617000,55339000,55339000,175893000,175893000,27495000,27495000,203388000,4452046000,4452046000,178316000,84744000,93572000,4630362000,4833750000,188968000,69378000,1928552000,42952000,42952000,2160472000,0,0,2.5e+08,2410472000,2418122000,1228000,2416894000,-272130000,-1819000,2144173000,279105000,2423278000,4833750000,60956000,31552000,3602000,-262000,95848000,-169796000,-2.68220901489258e-07,8518000.00000001,-161278000,-68741000,-143406000,416775000,416775000,-8609000,196019000,130589000,130589000,130589000,117713000,2178552000,-50160000,0.74062,0.46358,0.29775,0.02284,0.01145,-0.90641,0.09414,0.99472,0.4507,0.47354,0.44458,1.59043,18.34796,-0.42923,0.58823,0.02696,-0.0109,1.24218,17.01307,23.24322
"23","2015_Q4",64.17546875,"Up",197497000,-48878000,148619000,-51035000,-16716000,-30711000,-3608000,97584000,-19242000,-19242000,78342000,16000,78358000,-3561000,78200000,78200000,-6482000,71718000,71718000,1115532000,1115532000,231645000,231645000,1347177000,4452251000,4452251000,203408000,84671000,118737000,4655659000,6002836000,195893000,76303000,2712756000,46483000,46483000,2955132000,0,0,660364000,3615496000,2403119000,1233000,2401886000,-273015000,-20812000,2109292000,278048000,2387340000,6002836000,78200000,30711000,3039000,-8956000,102994000,-27723000,-549000,-205373000,-233645000,-72603000,1120493000,30588000,30588000,-8188000,1070290000,939639000,939639000,939639000,128295000,3373120000,95177000,0.75251,0.4941,0.36313,0.03004,0.01195,1.3271,0.45588,1.51445,0.56192,0.58443,0.55532,1.60939,17.1885,0.77559,0.59164,0.02505,0.01652,1.01234,17.59685,23.13482
"24","2016_Q1",68.3759016393443,"Up",225759000,-59634000,166125000,-62118000,-18138000,-40766000,-3214000,104007000,-27596000,-27596000,76411000,-64810000,11601000,-3154000,11744000,11744000,-3069000,8674999.99999999,8674999.99999999,75799000,75799000,32943000,32943000,108742000,5689309000,5689309000,273356000,103007000,170349000,5962665000,6071407000,2958451000,82693000,3.6e+07,80489000,80489000,3074940000,1.4210854715202e-14,1.4210854715202e-14,623863000,3698803000,2432995000,1241000,2431754000,-337566000,-6352000,2089077000,283527000,2372604000,6071407000,11744000,40766000,5833000,22705000,81048000,-98287000,-1203738000,162795000,-1139230000,-73226000,332755000,86000.0000000596,86000,-241166000,18449000,-1039733000,-1039733000,-1039733000,144773000,659863000,72345000,0.73585,0.4607,0.03843,0.00366,0.00143,8.33948,0.03536,1.55896,0.10868,0.0702,0.0659899999999999,1.82694,16.9057,0.58545,0.59258,0.02701,0.02386,8.44104,4.03434,5.61562
"25","2016_Q2",71.55625,"Up",229403000,-61112000,168291000,-70610000,-23402000,-42897000,-4311000,97681000,-28432000,-28432000,69249000,-6830000,62419000,-2765000,89407000,89407000,-6815000,82592000,82592000,49752999.9999999,49753000.0000001,47742000,47742000,97495000,5933959000,5933959000,259965000,89224000,170741000,6193924000,6291419000,3036409000,77108000,1.16e+08,106738000,106738000,3259147000,0,0,606887000,3866034000,2507802000,1251000,2506551000,-328801000,-35939000,2143062000,282323000,2425385000,6291419000,89407000,42897000,-22057000,-14781000,95466000,-241363000,-4794000,-12511000,-258668000,-73827000,143478000,73587000,73587000,-6082000,137156000,-26046000,-26046000,-26046000,140578000,722887000,-112801000,0.7336,0.42581,0.36003,0.03405,0.01313,-1.36576,0.02991,1.59399,0.1149,0.66204,0.62591,1.83884,17.17828,-0.90419,0.59178,0.04968,-0.03583,0.89388,4.78833,6.89115
"26","2016_Q3",67.4825,"Down",244273000,-62430000,181843000,-68403000,-20512000,-43950000,-3941000,113440000,-29965000,-29965000,83475000,6980000,90455000,-3773000,90040000,90040000,-6996000,83044000,83044000,41058000,41058000,15717000,15717000,56775000,6164787000,6164787000,237436000,99576000,137860000,6402223000,6458998000,3193766000,91188000,8.8e+07,127593000,127593000,3409359000,0,0,606422000,4015781000,2511996000,1252000,2510744000,-343444000,-53845000,2114707000,328510000,2443217000,6458998000,90040000,43950000,-1257000,11471000,144204000,-190753000,-14515000.0000001,57944000,-147324000,-97687000,104287000,95000,95000,-12270000,-5574999.99999994,-8694999.99999988,-8694999.99999988,-8694999.99999988,157390000,694422000,-18119000,0.74443,0.4644,0.33996,0.03399,0.01286,-0.218190000000002,0.01665,1.64364,0.10751,0.66481,0.629,1.95552,16.92924,-0.14505,0.78203,0.0576,-0.00577,1.17633,4.15124,5.75956
"27","2016_Q4",59.4387301587302,"Down",257183000,-62341000,194842000,-70185000,-19537000,-46555000,-4093000,124657000,-30923000,-30923000,93734000,-3176000,90558000,-4466000,127226000,127226000,-9138000,118088000,118088000,18692000,18692000,25598000,25598000,44290000,6458763000,6458763000,239003000,85912000,153091000,6697766000,6742056000,3319996000,102470000,1.66e+08,118315000,118315000,3604311000,0,0,608373000,4212684000,2563392000,1258000,2562134000,-323472000,-41094000,2198826000,330546000,2529372000,6742056000,127226000,46555000,-29577000,2285000,146489000,-292836000,-6381000,899000,-298318000,-98116000,191477000,50053000,50053000,-13951000,129463000,-22366000,-22366000,-22366000,171212000,774373000,-114873000,0.7576,0.4847,0.45916,0.04669,0.01752,-0.97277,0.01229,1.66551,0.11486,0.93905,0.88281,2.04516,17.48538,-0.91349,0.78023,0.06544,-0.03477,0.83087,4.41372,6.06208
