"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",3.894375,"Up",11978700,-4500000,-327000,-1757200,-2415800,7478700,-1065600,-1065600,6413100,-877700,5535400,-1717500,3817900,3817900,3817900,3817900,2403300,2403300,6329500,3227100,11541200,141670800,141670800,141670800,153212000,79861500,1161000,78700500,80492700,103280500,14781700,35653900,49931500,49931500,153212000,3241900,-80400,-3e+05,-2355000,806500,806500,806500,0,0.62433,0.31872,0.07646,0.02492,0.14338,2.06844,0,0.49478,0.48257,1.55239,6.47092,0.0525,-0.32135
"12","2013_Q3",4.1028125,"Up",5921100,-3764200,-297300,-1815800,-1651100,2156900,-1002500,-1002500,1154400,867600,2022000,-685600,1336400,1336400,1336400,1336400,7647000,7647000,6403900,2948500,16924300,140102000,140102000,140102000,157026300,82492800,1013800,81479000,83099300,106193100,14781700,36555600,50833200,50833200,157026300,2161800,1081900,2e+06,2e+06,5243700,5243700,5243700,0,0.36427,0.2257,0.02629,0.00851,0.20366,2.08905,0,0.17319,0.16821,0.76735,6.58778,0.01808,-3.54537
"13","2013_Q4",3.671875,"Down",10551900,-3772600,-256700,-1803600,-1712300,6779300,-966200,-966200,5813100,569200,6382300,-2361200,4021100,4021100,4021100,4021100,5077300,5077300,6471300,3163800,13628300,138712100,138712100,138712100,152340400,77894700,976700,76918000,78502100,101847900,14781700,36214900,50492500,50492500,152340400,1818700,611600,-5e+06,-5e+06,-2569700,-2569700,-2569700,0,0.64247,0.38108,0.07964,0.0264,0.1736,2.01709,0,0.52112,0.50575,1.36748,6.54363,0.05446,-0.74894
"14","2014_Q1",3.39901639344262,"Down",5971700,-4719800,-293500,-1986500,-2439800,1251900,-1040700,-1040700,211200,-1477800,-1266600,435100,-831500,-831500,-831500,-831500,2112700,2112700,6263200,3633000,11679700,152954600,152954600,152954600,164634300,97013900,1202700,95811200,97660600,118499400,14781700,31857300,46134900,46134900,164634300,-349800,-15614800,1.3e+07,1.3e+07,-2964600,-2964600,-2964600,-5.42101086242752e-20,0.20964,-0.13924,-0.01802,-0.00505,0.11959,2.56854,4.03896783473158e-28,-0.10776,-0.10481,0.77391,5.9789,-0.01242,-1.68759
"15","2014_Q2",3.36539682539683,"Down",7611000,-4844400,-304500,-1865800,-2674100,2766600,-1307000,-1307000,1459600,-935400,524200,-154500,369700,369700,369700,369700,4929200,4929200,5940900,3553800,13371200,179709800,179709800,179709800,193081000,122519600,1043900,121475700,124469600,146576400,14781700,32227000,46504600,46504600,193081000,4783300,-29271800,27400000,27305000,2816500,2816500,2816500,0,0.3635,0.04857,0.00795,0.00191,0.10743,3.15187,0,0.04791,0.04671,0.98636,6.02681,0.00539,-1.78168
"16","2014_Q3",2.69265625,"Down",7116800,-4473800,-823000,-2012600,-1638200,2643000,-1261100,-1261100,1381900,-7370100,-5988200,2067700,-3920500,-3920500,-3920500,-3920500,5909600,5909600,6460400,5005800,15167800,166922000,166922000,166922000,182089800,118678200,2130700,116547500,120720400,139505700,14781700,28306500,42584100,42584100,182089800,248900,6580000,-3500000,-5848500,980400,980400,980400,0,0.37137,-0.55088,-0.09206,-0.02153,0.12564,3.276,0,-0.50808,-0.50808,0.92231,5.51873,-0.06388,-2.23594
"17","2014_Q4",1.95875,"Down",4816100,-5041200,-360500,-1731500,-2949200,-225100,-1224900,-1224900,-1450000,-11114200,-12564200,4317200,-8247000,-8247000,-8247000,-8247000,2588100,2588100,11803300,4296700,17117700,159408600,159408600,159408600,176526300,126947800,2239700,124708100,129069200,142189200,14781700,20059500,34337100,34337100,176526300,-1554200,-8565300,6800000,6798000,-3321500,-3321500,-3321500,0,-0.04674,-1.71238,-0.24018,-0.04672,0.13262,4.14098,0,-1.06878,-1.06878,0.62415,4.44995,-0.17378,11.49756
"18","2015_Q1",1.96311475409836,"Up",6015400,-3857300,-230800,-1689100,-1937400,2158100,-1341200,-1341200,816900,-34500,782400,-278600,503799.999999998,503799.999999998,503799.999999998,503799.999999998,1840500,1840500,6938800,415900,10907900,186762600,186762600,186762600,197670500,147347800,2818200,144529600,148990000,162829600,14781700,20563300,34840900,34840900,197670500,1757400,-27105000,25200000,24600000,-747600,-747600,-747600,0,0.35876,0.0837500000000002,0.01446,0.00254999999999999,0.07321,4.67352,0,0.0652900000000001,0.0670200000000001,0.77957,4.51524,0.01035,-0.852830000000001
"19","2015_Q2",2.02698412698413,"Up",6765500,-4163600,-410600,-2327800,-1425200,2601900,-1878300,-1878300,723600,428600,1152200,-4e+05,752200,752200,752200,752200,1880700,1880700,10220300,324400,14631300,180724000,180724000,180724000,195355300,143108600,1295400,141813200,146488100,159762200,14781700,21315500,35593100,35593100,195355300,2963000,1077200,-4e+06,-4e+06,40200,40200,40200,0,0.38458,0.11118,0.02113,0.00385,0.09988,4.48857,0,0.09748,0.09689,0.87678,4.61272,0.01539,-0.72282
"20","2015_Q3",1.8525,"Down",6686000,-4250400,-309400,-2322100,-1618900,2435600,-1468100,-1468100,967500,1118000,2085500,-730200,1355300,1355300,1355300,1355300,3241000,3241000,19859500,276100,26290400,170638700,170638700,170638700,196929100,142159700,1329200,140830500,145745500,159980700,14781700,22670800,36948400,36948400,196929100,2614500,805400,-2e+06,-2059600,1360300,1360300,1360300,-2.22044604925031e-16,0.36428,0.20271,0.03668,0.00688,0.18039,4.32984,1.65436122510606e-24,0.17564,0.17431,0.86648,4.78837,0.02648,-1.33068
"21","2015_Q4",1.92796875,"Up",6696000,-3008200,-237700,-2281500,-489000,3687800,-1458900,-1458900,2228900,-315700,1913200,-658200,1255000,1255000,1255000,1255000,2426200,2426200,21808000,214700,27497500,163812700,163812700,163812700,191310200,135373700,1219700,134154000,138313400,153106800,14781700,23925800,38203400,38203400,191310200,3871000,314200,-5e+06,-5e+06,-814800,-814800,-814800,0,0.55075,0.18743,0.03285,0.00656,0.19881,4.00767,0,0.16264,0.1621,0.86778,4.95101,0.02368,-0.6579
"22","2016_Q1",2.3472131147541,"Up",6416300,-4085100,-230000,-2130700,-1724400,2331200,-1336100,-1336100,995100,3875300,4870400,-1795300,3075100,3075100,3075100,3075100,2721000,2721000,17352400,228400,25766900,155258100,155258100,155258100,181025000,122372300,1138400,121233900,124329700,139746500,14781700,27000900,41278500,41278500,181025000,1108300,11186500,-1.2e+07,-1.2e+07,294800,294800,294800,3.5527136788005e-15,0.36332,0.47926,0.0745,0.01699,0.20725,3.38545,1.32348898008484e-23,0.39746,0.40439,0.82932,5.33531,0.05424,-1.16721
"23","2016_Q2",1.9859375,"Down",6230700,-2923400,-424700,-2079500,-419200,3307300,-1289000,-1289000,2018300,-1333600,684700,-251000,433700,433700,433700,433700,2891500,2891500,14162300,320900,23208800,153178600,153178600,153178600,176387400,115117900,1165700,113952200,119008500,134675200,14781700,27434600,41712200,41712200,176387400,5529000,3241500,-8600000,-8600000,170500,170500,170500,0,0.53081,0.06961,0.0104,0.00246,0.19502,3.22868,0,0.05536,0.05536,0.79539,5.32485,0.00756,-0.87428
"24","2016_Q3",1.78859375,"Down",5122600,-4025900,-557700,-1871100,-1597100,1096700,-1138900,-1138900,-42200.0000000007,506900.000000001,464700,-166100,298600,298600,298600,298600,2219900,2219900,15440600,1298600,20882000,133444300,133444300,133444300,154326300,93435300,1094700,92340600,96835400,112315500,14781700,27733200,42010800,42010800,154326300,2596800,19796600,-2.3e+07,-23065000,-671600,-671600,-671600,0,0.21409,0.05829,0.00711,0.00193,0.21564,2.67349,0,0.0381200000000001,0.03812,0.65394,5.36297,0.00519000000000001,-2.02416
"25","2016_Q4",1.81873015873016,"Up",6274900,-3469200,-581400,-2332500,-555300,2805700,-1338500,-1338500,1467200,-653100,814100,-284400,529700,529700,529700,529700,3581100,3581100,20633000,289700,27931500,196507600,196507600,196507600,224439100,162197600,3036700,159160900,164985400,181898600,14781700,28262900,42540500,42540500,224439100,2690400,-51252700,49923500,49923500,1361200,1361200,1361200,0,0.44713,0.08442,0.01245,0.00236,0.1693,4.27589,0,0.06762,0.06762,0.80103,5.43059,0.00891,-1.27637
"26","2017_Q1",2.01370967741935,"Up",7721800,-3707100,-103800,-2856600,-746700,4014700,-1573300,-1573300,2441400,-2432900,8499.99999999977,-48799.9999999999,-40300,-40300,-40300,-40300,2194400,2194400,19695800,229400,25936300,192799800,192799800,192799800,218736100,157568300,1218100,156350200,159472200,176235900,14781700,28222600,42500200,42500200,218736100,528300,-915100,-999900,-999900,-1386700,-1386700,-1386700,-4.54747350886464e-13,0.51992,-0.00522000000000002,-0.00095,-0.00018,0.16264,4.14671,0,-0.00513999999999999,-0.00514000000000001,0.98574,5.42545,-0.000679999999999998,-0.54659
"27","2017_Q2",2.11603174603175,"Up",7642500,-3794100,-506100,-2936100,-351900,3848400,-1610300,-1610300,2238100,-1195500,1042600,-401100,641500,641500,641500,641500,2808600,2808600,28512900,372100,36016600,186015000,186015000,186015000,222031600,160083200,1097900,158985300,163916100,181422600,14781700,28864100,40609000,40609000,222031600,4258100,-6830600,3186700,3186700,614200,614200,614200,0,0.50355,0.08394,0.0158,0.00289,0.21973,4.46755,0,0.08277,0.08277,0.98611,5.23976,0.01104,-0.72981
"28","2017_Q3",2.50222222222222,"Up",8228800,-3846600,-418000,-2943000,-485600,4382200,-1742700,-1742700,2639500,-2100400,539100,-183400,355700,355700,355700,355700,4161800,4161800,28131200,925500,38448100,203142000,203142000,203142000,241590100,178986100,1702100,177284000,183019700,200625400,14781700,29219800,40964700,40964700,241590100,4448400,-21009600,17979400,17914400,1353200,1353200,1353200,-1.45519152283669e-11,0.53254,0.04323,0.00868,0.00147,0.21008,4.89752,-2.71050543121376e-20,0.05022,0.05022,1.16169,5.78312,0.00607,-0.94971
"29","2017_Q4",2.82285714285714,"Up",8335800,-3849400,-433100,-3158600,-257700,4486400,-2143400,-2143400,2343000,-1648900,694100,-309600,384500,384500,384500,384500,6529200,6529200,32254900,371900,42788300,204967100,204967100,204967100,247755400,185744600,1402100,184342500,189098500,206406200,14781700,29604300,41349200,41349200,247755400,4656500,-8697000,6867900,6407900,2367400,2367400,2367400,0,0.53821,0.04613,0.0093,0.00155,0.22628,4.99178,0,0.05434,0.05434,1.17801,5.84344,0.00656,-1.45533
"30","2018_Q1",3.08114754098361,"Up",10257800,-5766500,-587900,-2987900,-2190700,4491300,-2256800,-2256800,2234500,-1077600,1156900,4860600,6017500,6017500,6017500,6017500,8657800,8657800,28828800,301300,41311700,195098200,195098200,195098200,236409900,174914100,645200,174268900,180509500,189043200,14781700,35621800,47366700,47366700,236409900,1207700,9794100,-8245700,-8873200,2128600,2128600,2128600,1.16415321826935e-10,0.43784,0.58663,0.12704,0.02545,0.22886,3.99106,4.33680868994202e-19,0.84973,0.84973,1.4485,6.68861,0.10765,-1.92768
"31","2018_Q2",3.016875,"Down",7893300,-3712800,-577400,-2941900,-193500,4180500,-2254100,-2254100,1926400,-1455000,471400,-154100,317300,317300,317300,317300,4793100,4793100,29377800,1662600,37329900,188858000,188858000,188858000,226187900,162552600,820100,161732500,166951200,178503900,14781700,35939100,47684000,47684000,226187900,4552000,3642500,-12059200,-12059200,-3864700,-3864700,-3864700,0,0.52963,0.0402,0.00665,0.0014,0.2236,3.74348,0,0.04479,0.04479,1.11432,6.73171,0.00536,-1.14654
"32","2018_Q3",3.17047619047619,"Up",7765500,-3696500,-376600,-3150400,-169500,4069000,-2365300,-2365300,1703700,-1782100,-78400.0000000002,-2700.00000000093,-81099.9999999995,-81099.9999999995,-81100,-81100,4378000,4378000,27114900,312700,34644500,210592000,210592000,210592000,245236500,180931600,2277900,178653700,189130600,197633600,14781700,35858000,47602900,47602900,245236500,6639500,-20416800,13432200,13362200,-415100.000000001,-415100.000000001,-415100.000000001,1.86264514923096e-09,0.52398,-0.0104400000000001,-0.0017,-0.000330000000000002,0.18318,4.15171,6.93889390390723e-18,-0.01145,-0.0114500000000001,1.09628,6.72026,-0.00144999999999998,-1.07594
"33","2018_Q4",2.52666666666667,"Down",7436100,-4093100,-419400,-3328200,-345500,3343000,-2467200,-2467200,875800,-6591600,-5715800,1232000,-4483800,-4483800,-4483800,-4483800,6769500,6769500,30920600,353500,40858100,187092900,187092900,187092900,227951000,170144700,2317600,167827100,177672900,184831900,14781700,31374200,43119100,43119100,227951000,3352100,6819600,-7780200,-7780200,2391500,2391500,2391500,0,0.44956,-0.60298,-0.10399,-0.01967,0.22996,4.28654,0,-0.63299,-0.63299,1.04978,6.08726,-0.08918,-2.02498
"34","2019_Q1",2.17491803278689,"Down",7430200,-4588400,-970400,-3216600,-401400,2841800,-2419400,-2419400,422400,-4153600,-3731200,-102400,-3833600,-3833600,-3833600,-3833600,1542500,1542500,27553500,840100,33063200,184019900,184019900,184089000,217152200,2064900,1025600,541900,136524900,175864300,16784600,27540600,41287900,41287900,217152200,3397600,868900,-9493500,-9493500,-5227000,-5227000,-5227000,162894500,0.38247,-0.51595,-0.09285,-0.01765,0.24218,4.25946,0.75014,-0.49563,-0.49563,0.96063,5.33799,-0.01811,56.7781
"35","2019_Q2",1.92984126984127,"Down",7388600,-4311700,-825500,-3200700,-285500,3076900,-2912400,-2912400,164500,-1829100,-1664600,356400,-1308200,-1308200,-1308200,-1308200,8045200,8045200,26558000,365300,39734300,174310900,174310900,174379400,214113700,1351500,412100,767300,137149900,174561800,16784600,26232400,39551900,39551900,214113700,3957200,2790500,4818200,-245000,6502700,6502700,6502700,161622200,0.41644,-0.17706,-0.03308,-0.00611,0.28971,4.41349,0.75484,-0.16925,-0.16925,0.95591,5.11706,-0.00628,49.9129
"36","2019_Q3",1.43359375,"Down",7232600,-4001000,-856400,-2970000,-174600,3231600,-2485100,-2485100,746499.999999999,-851799.999999998,-105300,27699.9999999998,-77600.0000000005,-77600.0000000005,-77599.9999999995,-77599.9999999995,3356700,3356700,28223500,286400,37213600,168381900,168381900,168448500,205662100,869200,333200,351700,131158400,167199100,16784600,26154800,38463000,38463000,205662100,2462700,1101600,-8252900,-8252800,-4688500,-4688500,-4688500,149718700,0.44681,-0.01073,-0.00202,-0.000379999999999999,0.28373,4.34701,0.72798,-0.01004,-0.0100399999999999,0.93572,4.97618,-0.00039,45.29088
"37","2019_Q4",1.05203125,"Down",23943300,-4326700,-945400,-2970000,-411300,19616600,-2347500,-2347500,17269100,-27757700,-10488600,2257300,-8231300,-8231300,-8231300,-8231300,2058500,2058500,32512000,453500,36007700,130948000,130948000,131012700,167020400,1214900,479100,563500,125242200,136903800,16784600,17923400,30116600,30116600,167020400,1726500,3165800,-6179400,-6190500,-1298200,-1298200,-1298200,123716900,0.81929,-0.34378,-0.27331,-0.04928,0.2875,4.54579,0.74073,-1.06493,-1.06493,3.09768,3.89636,-0.05162,6.20181
"38","2020_Q1",0.744838709677419,"Down",4865500,-4539600,-1377800,-2446800,-715000,325900,-3545100,-3557900,-3219200,-5688600,-8907800,1866400,-7041400,-7041400,-7041400,-7041400,2350200,2350200,36208400,292800,39698300,1466000,948300.000000015,109897500,149595800,1521500,736000,610500,122773100,126337200,16784600,10882100,23258600,23258600,149595800,23300,9872500,-7073700,-8527200,1368600,1368600,1368600,111638400,0.0669799999999999,-1.44721,-0.30274,-0.04707,0.32335,5.43185,0.74627,-0.91099,-0.91099,0.62948,3.0091,-0.05085,335.34274
"39","2020_Q2",0.384126984126984,"Down",4801400,-3830200,-1367200,-2170300,-292700,971200,-6012900,-6012900,-5041700,-7849100,-12890800,2712400,-10178400,-10178400,-10178400,-10178400,1746200,1746200,25489000,995100,29704900,106200000,106200000,106218000,135922900,1563700,1234300,165200,121593000,122259000,16784600,703700,13663900,13663900,135922900,-624500,3104800,-1829000,-1909300,571000,571000,571000,110957800,0.20227,-2.11988,-0.74491,-0.07488,0.2443,8.94759,0.81633,-1.31684,-1.31684,0.62119,1.76778,-0.08124,112.45016
"40","2020_Q3",0.50875,"Up",-422900.000000001,-1176500,-781000,167900,-563400,-1599400,1553400,1553400,-46000.0000000009,-1864400,-1910400,-1428900,-3339300,-3339300,-3339300,-3339300,1531300,1531300,20572300,476500,25482700,97692500,97692500,97708800,123191500,1138500,799100,339399.999999999,122191700,122857700,16784600,-12814000,333800,333800,123191500,-480100,62700,-394300,-2021000,-2438400,-2438400,-2438400,112693400,3.78198,7.89619,-10.00389,-0.02711,0.20855,368.05782,0.91478,-0.43202,-0.43202,-0.0547099999999998,0.0431900000000001,-0.02937,-69.50238
"41","2020_Q4",0.5225,"Up",11367200,-9884300,-4512800,-5024800,-346700,1482900,-12081800,-12359800,-10598900,-20408300,-31007200,2281200,-28726000,-28726000,-28726000,-28726000,4863800,4863800,19967100,361400,24954000,96052100,96052100,96066700,121020700,1412300,1081900,330400,118686700,124651300,16784600,-16895100,-3630600,-3630600,121020700,5080100,13949500,-15488400,-15488400,3541200,3541200,3541200,113380100,0.13045,-2.5271,7.91219,-0.23736,0.21025,-34.33353,0.93687,-3.71645,-3.71645,1.47064,-0.46971,-0.25218,73.17843
"42","2021_Q1",1.84180327868852,"Up",0,2043700,2043700,-9.31322574615479e-10,-5.82076609134674e-11,2043700,0,1.86264514923096e-09,2043700,-2043700,0,0,-7.45058059692383e-09,-7.45058059692383e-09,0,0,2408700,2408700,48707800,255300,51373100,41989800,40838900,42004700,93377800,89397100,367700,89029400,110278100,110994100,16784600,-31361600,-17616300,-17616300,93377800,1.86264514923096e-09,-3.72529029846191e-09,-1.86264514923096e-09,3.72529029846191e-09,0,0,0,1.49011611938477e-08,-0.958564592119672,-3.77686059610764,0,-2.77555756156289e-17,0.46585,-6.30065000000003,0,0,1.33226762955019e-15,0,-2.27912,0,-1.1786
"43","2021_Q2",1.99301587301587,"Up",2534200,-2971300,-1595100,-699300,-676900,-437100,-2162600,-1914700,-2599700,-2761400,-5361100,-49200,-5410300,-5410300,-5410300,-5410300,4224900,4224900,2512500,539100,7047700,1290000,1286600,57387100,64434800,84193500,215300,223400,86993400,87459400,16784600,-36771900,-23024600,-23024600,64434800,-176700,10850700,-11544800,-11550000,-876000,-876000,-876000,0,-0.17248,-2.13491,0.23498,-0.08397,0.08101,-3.79852,0,-0.69996,-0.69996,0.32786,-2.97883,0.23983,9.66575
"44","2021_Q3",5.34296875,"Up",1480700,-1409300,-119600,-466600,-823100,71400,-1900.00000000093,-1900,69500,-3263600,-3194100,-3700,-3197800,-3197800,-3197800,-3197800,2709300,2709300,1606600,367800,5124000.00000001,53518600,53409400,53528800,58652800,996200,735700,260500.000000015,4597600,84875200,16784600,-39969700,-26222400,-26222400,58652800,738000,945400,-3199000,-3199000,-1515600,-1515600,-1515600,0,0.04822,-2.15965,0.12195,-0.05452,1.11449,-3.23674,2.77555756156289e-17,-0.41372,-0.41372,0.19157,-3.39254,-0.0591599999999999,-37.94538
"45","2021_Q4",8.920625,"Up",1546800,-2602700,-1935900,-10300,-656500,-1055900,-50100,-50100,-1106000,28691100,27585100,-76900,27508200,27508200,27508200,27508200,10625600,10625600,3568900,1884400,14194500,4688600,49831894.7290057,4688600,18883100,1744200,1512100,232100,1878300,1878300,17004800,-23188975.3918234,17004800,17004800,18883100,-562900,-11796100,14743800,14849000,2490000,2490000,2490000,0,-0.68264,17.78394,1.61767,1.45676,7.5571,0.11046,0,3.5589,3.5589,0.20012,2.20001,1.61767,10.06307
"46","2022_Q1",5.65096774193548,"Down",-5021700,2978900,-267600,1176200,2070300,-2042800,1675500,1426700,-367300,-22966100,-23333400,241600,-23091800,-23091800,-22854700,-22854700,7380700,7380700,1880300,645100,9261000,5688600.00000001,999999.99999997,5688600,14949600,3136300,2961300,161300.000000001,3136300,3136300.00000001,17004800,-4954400,12050400,11813300,14949600,-1145100,-1e+06,26674772.9005427,-1099800,-3244900,-3244900,-3244900,0,0.40679,4.55119,-1.93466,-1.52878,2.95284,0.26549,0,-2.95685,-2.95685,-0.64969,1.55903,-1.85002,3.61302999999999
