"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",251.735483870968,"Down",34361000,-15704000,18657000,-39443000,-17620000,-21823000,-20786000,-1227000,-1227000,-22013000,-22013000,91000,-21922000,-22411000,684000,-21727000,-21727000,160813000,127674000,33139000,16689000,16689000,32630000,20794000,20794000,230926000,23153000,55853000,8522000,79006000,309932000,67638000,23331000,44307000,880000,3010000,3010000,71528000,52366000,10183000,10183000,62549000,134077000,763731000,-7406000,-567465000,-635000,188225000,-12370000,175855000,309932000,-21922000,999000,2926000,-4864000,-22861000,-5376000,13292000,8769000,-101155000,161659000,161659000,59401000,45309000,40972000,-203000,40769000,-19787000,53246000,-30118000,0.54297,-0.60493,-0.63232,-0.12355,-0.0701,1.3862,3.22847,0.76243,0.1718,-5.53129,-5.53129,8.74768,47.91861,-7.66749,-0.0908,-0.12587,5.43625,5.17497
"12","2020_Q2",211.603174603175,"Down",46935000,-19572000,27363000,-42940000,-25748000,-17192000,-15577000,-1260000,-1260000,-16837000,-16837000,-2881000,-19718000,-19718000,289000,-19429000,-19429000,113704000,71983000,41721000,51418000,51418000,35732000,17046000,17046000,217900000,24616000,55271000,8525000,79887000,297787000,73134000,18395000,54739000,871000,2791000,2791000,76796000,52896000,9859000,9811000,62755000,139551000,766336000,-7406000,-586894000,-1141000,170895000,-12659000,158236000,297787000,-19718000,1086000,2738000,-29651000,-45545000,-1800000,-8650999.99999999,-10451000,388000.000000015,344000,344000.00000003,732000.000000015,-55264000,-55264000,-427000,-55691000,-14491000,53767000,-43061000,0.583,-0.33188,-0.41396,-0.12278,-0.06524,2.21633,2.83739,0.88192,0.18056,-4.76554,-4.76554,11.51221,41.91708,-10.56199,-0.08757,-0.19409,4.13615,3.84779
"13","2020_Q3",240.1375,"Up",40172000,-33006000,7166000,-39501000,-17486000,-22015000,-32335000,-1380000,-1380000,-33715000,-40945000,-106000,-41051000,-41051000,6e+05,-40451000,-40451000,116315000,105901000,10414000,38620000,38620000,31143000,30528000,19528000,216606000,26867000,54579000,8015000,81446000,298052000,63089000,15945000,47144000,1107000,2713000,2713000,66909000,95389000,9508000,9457000,104897000,171806000,775125000,-7406000,-627345000,-1067000,139307000,-13061000,126246000,298052000,-41051000,1035000,10583000,4910000,-24523000,-2849000,31425000,28576000,46374000,394000,394000,40841000,44894000,44894000,24000,44918000,-31300000,96496000,-29133000,0.17838,-0.80491,-1.00695,-0.32041,-0.13572,0.7202,3.23732,1.36088,0.32376,-9.91878,-9.91878,9.85037,34.15876,-7.14355,-0.17417,-0.12544,0.63319,0.61293
"14","2020_Q4",246.1171875,"Up",35476000,-24510000,10966000,-40610000,-22220000,-18390000,-29644000,-3483000,-3483000,-33127000,-36175000,-1093000,-37268000,-37268000,462000,-36806000,-36806000,228310000,143559000,84751000,42993000,42993000,29605000,23297000,9547000,324205000,28867000,56568000,9556000,85435000,409640000,61975000,14869000,47106000,1874000,2703000,2703000,66552000,121740000,9113000,9060000,130853000,197405000,898345000,-7406000,-664151000,-1030000,225758000,-13523000,212235000,409640000,-37268000,1086000,6422000,2740000,-27020000,-2061000,-74468000,-76529000,25211000,127196000,127196000,143755000,40206000,40206000,202000,40408000,-28558000,123614000,-26786000,0.30911,-0.83561,-1.03749,-0.17342,-0.08985,0.72776,4.87145,0.93012,0.30176,-8.78001,-8.78001,8.46274,53.85422,-6.38976,-0.1067,-0.07765,3.66608,3.53178
"15","2021_Q1",191.619672131148,"Down",21808000,-18267000,3541000,-45712000,-27405000,-18307000,-42171000,-4222000,-4222000,-46393000,-46393000,-8000,-46401000,-50397000,904000,-49493000,-49493000,208223000,69587000,138636000,23603000,23603000,28846000,31289000,10012000,291961000,23810000,68558000,10218000,92368000,384329000,52287000,18417000,33870000,1910000,7944000,3185000,62141000,146369000,10471000,10207000,156840000,218981000,901959000,-7406000,-713644000,-1134000,179775000,-14427000,165348000,384329000,-46401000,1254000,12957000,1520000,-30670000,-2126000,-53808000,-55934000,25877000,769000,769000,24191000,-62413000,-70624000,-598000,-71222000,-40917000,148279000,-41515000,0.16237,-1.93374,-2.26949,-0.29933,-0.12878,0.83881,4.69836,1.32436,0.38581,-10.59954,-10.59954,4.67045,38.50105,-8.89095,-0.15271,-0.12809,1.46501,1.42145
"16","2021_Q2",90.9031746031746,"Down",41025000,-16405000,24620000,-43806000,-20736000,-23070000,-19186000,-4879000,-4879000,-24065000,-24065000,-154000,-24219000,-25603000,553000,-25050000,-25050000,171166000,47980000,123186000,20189000,20189000,26324000,33468000,16968000,251147000,41778000,56731000,9482000,98509000,349656000,44572000,15858000,28714000,1970000,3161000,3161000,49703000,147265000,9564000,9506000,156829000,206532000,905045000,-7406000,-738694000,-841000,158104000,-14980000,143124000,349656000,-25603000,1259000,3015000,-9743000,-31072000,-1732000,14378000,12646000,-56000,852000,852000,795999.999999985,-17630000,-23469000,478000,-22991000,-17927000,149235000,-29248000,0.60012,-0.46767,-0.6106,-0.17502,-0.07164,1.16758,5.05295,1.44303,0.42681,-5.36231,-5.36231,8.78198,33.8444,-6.26095,-0.08297,-0.09687,1.22335,1.14307
"17","2021_Q3",72.778125,"Down",18825000,-17753000,1072000,-35424000,-16104000,-19320000,-34352000,-5598000,-5598000,-39950000,-39950000,11035000,-28915000,-34615000,341000,-34274000,-34274000,130224000,76941000,53283000,22218000,22218000,29765000,30884000,14384000,213091000,45685000,150181000,72779000,195866000,408957000,55079000,19467000,35612000,4725000,3119000,3119000,62923000,145271000,30883000,29050000,176154000,239077000,966777000,-7485000,-772968000,-1123000,185201000,-15321000,169880000,408957000,-34615000,727000,-6698000,810000,-39776000,1241000,69384000,72050000,-43000,781000,860000,738000,33012000,38851000,-478000,38373000,-33625000,149996000,-42609000,0.05695,-1.82481,-1.82066,-0.20175,-0.08381,1.24319,3.38654,1.40733,0.36678,-7.33683,-7.33683,4.02976,39.6449,-9.12106,-0.09771,-0.12148,-0.58801,-0.57557
"18","2021_Q4",42.21875,"Down",31425000,-25098000,6327000,-35833000,-18094000,-17739000,-29506000,-5062000,-5062000,-34568000,-34568000,-262000,-34830000,-36736000,679000,-36057000,-36057000,88512000,73594000,14918000,33757000,33757000,31577000,30991000,14491000,184837000,51916000,149141000,73887000,201057000,385894000,63003000,22877000,40126000,7487000,3044000,3044000,73534000,143107000,33374000,8071000,176481000,250015000,969426000,-7485000,-809025000,-1037000,151879000,-1.6e+07,135879000,385894000,51209000,919000,6890000,-6208000,52810000,-328000,38371000,38043000,-126000,0,0,-126000,90727000,90727000,-357755.222425042,90727000,-28587000,150594000,-34861000,0.20134,-0.93893,-1.1474,-0.26536,-0.09344,0.96683,2.51363,1.83998,0.39025,-6.59824,-6.59824,5.75061,27.79306,-6.37938,-0.11273,-0.10899,-2.17169,-2.10405
"19","2022_Q1",19.5675806451613,"Down",28906000,-23150000,5756000,-37687000,-17619000,-20068000,-31931000,-4976000,-4976000,-36907000,-106326000,-15000,-106341000,-105082000,695000,-104387000,-104387000,45409000,35202000,10207000,26286000,26286000,27049000,21821000,5321000,120565000,5181000,141702000,71896000,146883000,267448000,38411000,14519000,23892000,46096000,11540000,2393000,96047000,95607000,41342000,39591000,136949000,232996000,972515000,-7485000,-913412000,-487000,51131000,-16679000,34452000,267448000,-185296000,1777000,71914000,-8628000,-120233000,-9716000,6904000,-2812000,22000,1210000,1210000,1232000,-121813000,-141042000,548000,-140494000,-30154000,141703000,-48483000,0.19913,-1.10465,-3.61126,-3.02993,-0.39031,0.46445,1.25527,6.76292,0.52983,-19.10228,-19.10228,5.28965,9.35671,-8.87214,-0.47995,-0.22291,-3.19341,-3.01569
"20","2022_Q2",11.1703225806452,"Down",29724000,-23295000,6429000,-28925000,-14935000,-13990000,-22496000,-4444000,-4444000,-26940000,-30441000,-28000,-30469000,-17932000,512000,-17420000,-17420000,37459000,27224000,10235000,29605000,29605000,41253000,23271000,9521000,131588000,26863000,78411000,71567000,105274000,236862000,53563000,16605000,36958000,24680000,2541000,2541000,80784000,102231000,33048000,7149999.99999999,135279000,216063000,976232000,-7485000,-930832000,75000,37990000,-17191000,20799000,236862000,-17932000,872000,6167000,4964000,-5929000,-167000,-1.86264514923096e-09,-167000,-25039000,1695000,1695000,-25369000,-31465000,1155000.00000003,654000,1809000.00000003,-21624000,126911000,-16799000,0.21629,-0.75683,-0.58606,-0.83754,-0.07354,0.96435,1.62889,10.38814,0.5358,-3.18431,-3.18431,5.43343,6.94443,-3.07079,-0.09637,-0.09294,-4.1367,-3.97635
"21","2022_Q3",10.27640625,"Down",30934000,-22318000,8616000,-29233000,-16044000,-13189000,-20617000,-4254000,-4254000,-24871000,-22820000,20000,-22800000,-32374000,217000,-32157000,-32157000,23328000,22139000,1189000,33824000,33824000,37851000,17800000,3975000,112803000,4194000,104890000,72472000,109084000,221887000,60682000,21397000,39285000,23738000,5751000,2077000,90171000,22226000,114963000,81593000,137189000,227360000,980938000,-7485000,-962989000,1471000,11935000,-17408000,-5473000,221887000,-32374000,598000,-80000,3937000,-27919000,-193000,8820000,8627000,-67545000,2968000,2968000,6841000,-12451000,-45071000,-654000,-45725000,-20019000,45964000,-16295000,0.27853,-0.66648,-1.03954,5.87557,-0.14493,0.50673,1.25099,-41.54212,0.20715,-5.69119,-5.69119,5.47475,2.11227,-2.88391,-0.20686,-0.10482,-1.13073,-1.09793
