"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",40.2724193548387,"Up",247395000,-134280000,113115000,-97367000,-86779000,-10588000,15748000,-2543000,13205000,13205000,-3301000,9904000,9904000,9904000,9904000,193181000,193181000,167347000,167347000,180037000,58317000,47510000,598882000,263128000,612363000,273695000,321284000,733000,16651000,875491000,1474373000,163163000,53077000,103454000,14197000,177610000,468250000,49355000,25497000,23858000,517605000,695215000,362715000,409553000,6890000,779158000,779158000,1474373000,9904000,18131000,5491000,-9561000,23965000,-14318000,935000,935000,-15253000,-15253000,-14318000,1116000,-6928000,5772000,2038000,-3774000,5873000,5873000,257000,6130000,33879000,482447000,13301000,0.45722,0.06366,0.04003,0.01271,0.00672,1.34299,3.37189,0.89226,0.32722,0.19154,0.18823,4.78446,15.06842,0.25723,3,0.00755,0.01015,8.53821,18.36843
"12","2013_Q1",41.8198333333333,"Up",249942000,-126801000,123141000,-101186000,-87615000,-13571000,21955000,-3022000,18933000,14686000,-2125000,12561000,12561000,12561000,12561000,179120000,179120000,170111000,170111000,183784000,63995000,50213000,597010000,256953000,607954000,264388000,330474000,1751000,11341000,864907000,1461917000,156994000,49893000,103048000,23150000,180144000,456944000,55647000,29552000,26095000,512591000,692735000,365550000,398199000,5433000,769182000,769182000,1461917000,12561000,18740000,8812000,-12571000,27542000,-11825000,678000,678000,-12503000,-12503000,-11856000.0000001,2661000,-31840000,118000,-5999.99999999814,-29185000,-13499000,-13499000,-562000,-14061000,40695000,480094000,18424000,0.49268,0.08784,0.05026,0.01633,0.00859,1.46676,3.31407,0.90061,0.3284,0.24483,0.24043,4.87178,14.99263,0.35911,3,0.00963,0.01412,7.39585,13.70868
"13","2013_Q2",40.48515625,"Down",219543000,-108131000,111412000,-118020000,-106811000,-11209000,-6608000,-2641000,-9249000,-9249000,1375000,-7874000,-7874000,-7874000,-7874000,166328000,166328000,155958000,155958000,196673000,72413000,58072000,591372000,254976000,633282000,279098000,341509000,1751000,10924000,888258000,1479630000,155361000,47915000,102124000,32434000,187795000,448119000,69338000,29961000,39377000,517457000,705252000,378880000,390324000,5174000,774378000,774378000,1479630000,-7874000,18357000,7658000,-4739000,13402000,-12523000,569000,569000,-13092000,-13092000,-35647000,29000,6809000,6809000,2666000,9504000,-12741000,-12741000,-51000,-12792000,11749000,480553000,-6888000,0.50747,-0.0301,-0.03587,-0.01017,-0.00532,0.87478,3.14903,0.91073,0.32478,-0.1537,-0.1537,4.28535,15.11542,-0.13445,3,-0.00595,-0.0052,26.74483,-47.55221
"14","2013_Q3",41.955625,"Up",235754000,-115871000,119883000,-96453000,-81507000,-14946000,23430000,-2542000,20888000,20888000,-4340000,16548000,16548000,16548000,16548000,159148000,159148000,162084000,162084000,205251000,65598000,51144000,592081000,258267000,633898000,277065000,341673000,1751000,13409000,892165000,1484246000,154501000,45380000,104718000,43687000,198188000,420711000,68874000,29265000,39609000,489585000,687773000,385668000,406873000,3932000,796473000,796473000,1484246000,16548000,19899000,8996000,-16083000,29360000,-15037000,73000,73000,-15110000,-15110000,-23744000,-16261000,2889000,2889000,4.65661287307739e-10,-13372000,-7756000,-7756000,576000,-7180000,43329000,464398000,16549000,0.50851,0.09938,0.07019,0.02078,0.01115,1.00006,2.98747,0.86352,0.31288,0.32139,0.31123,4.57873,15.4688,0.32141,6,0.01244,0.01245,7.04494,13.02817
"15","2013_Q4",41.150625,"Down",242121000,-120492000,121629000,-103770000,-89561000,-14209000,17859000,-2852000,15007000,15007000,1283000,16290000,16290000,16290000,16290000,177846000,177846000,149585000,149585000,209331000,66570000,52392000,603332000,260105000,624456000,275287000,337029000,1751000,10389000,884561000,1487893000,148198000,43106000,101845000,40810000,189008000,406418000,67247000,29664000,37583000,473665000,662673000,397126000,423163000,4931000,825220000,825220000,1487893000,16290000,20807000,4400000,3794000,45291000,-15964000,-445000,-445000,-15519000,-15519000,-15631000,-17440000,4077000,4077000,2563000,-10800000,18860000,18860000,-162000,18698000,38666000,447228000,25213000,0.50235,0.07376,0.06728,0.01974,0.01095,1.54776,3.1921,0.80303,0.30058,0.31487,0.31029,4.68002,15.9509,0.48735,7,0.01216,0.01882,6.9669,15.08382
"16","2014_Q1",38.2173770491803,"Down",241091000,-125650000,115441000,-101934000,-88098000,-13836000,13507000,-1996000,11511000,9800000,429000,10229000,10184000,10184000,10184000,192469000,192469000,164603000,164603000,197661000,68243000,54099000,622976000,271437000,619765000,271159000,336768000,1184000,10654000,891202000,1514178000,171298000,53562000,114623000,45630000,216928000,392057000,67305000,29664000,37641000,459362000,676290000,403131000,433347000,1410000,837888000,837888000,1514178000,10184000,22677000,3284000,15326000,51471000,-29636000,291000,291000,-29927000,-29927000,-30808000,-9876000,1450000,1450000,2395000,-6031000,14632000,14632000,-9000.00000000012,14623000,36184000,437687000,21445000,0.47883,0.05602,0.04224,0.01215,0.00673,2.10575,2.87181,0.80714,0.28906,0.19589,0.19358,4.63735,16.11664,0.41249,4,0.00758,0.01597,6.77697,18.15488
"17","2014_Q2",33.4050793650794,"Down",224488000,-118210000,106278000,-107944000,-92562000,-15382000,-1666000,-2543000,-4209000,-4209000,560000,-3649000,-3649000,-3649000,-3649000,139943000,139943000,156733000,156733000,207487000,65142000,50969000,569305000,294100000,613326000,264560000,337237000,1119000,10410000,907426000,1476731000,163937000,55213000,106648000,1931000,165868000,429010000,66781000,28366000,38415000,495791000,661659000,405200000,409307000,565000,815072000,815072000,1476731000,-3649000,20511000,5124000,-8248000,13738000,-37021000,64000,64000,-37085000,-37085000,-37021000,-7098000,-24243000,2223000,2530000,-28811000,-52094000,-52094000,-432000,-52526000,18845000,430941000,-26984000,0.47342,-0.00742,-0.01625,-0.00448,-0.00247,7.3949,3.43228,0.81178,0.29182,-0.07052,-0.07052,4.33869,15.75292,-0.52152,5,-0.00278,-0.02055,15.44166,-174.66867
"18","2014_Q3",35.68390625,"Up",227580000,-119466000,108114000,-95706000,-84769000,-10937000,12408000,-2645000,9763000,9763000,-2275000,7488000,7488000,7488000,7488000,129971000,129971000,151055000,151055000,209418000,66515000,52366000,556959000,311999000,605587000,257544000,336301000,1071000,10671000,917586000,1474545000,163401000,44173000,115881000,1655000,165056000,428253000,60518000,26911000,33607000,488771000,653827000,409453000,411199000,66000.0000000001,820718000,820718000,1474545000,7488000,21114000,5091000,-2451000,31242000,-33474000,313000,313000,-33787000,-33787000,-33474000,-1160000,-5485000,1819000,0,-6645000.00000001,-8876999.99999999,-8876999.99999999,-1095000,-9972000,33522000,429908000,-128000,0.47506,0.05452,0.0329,0.00912,0.00508,-0.0170899999999987,3.37436,0.79665,0.29155,0.1457,0.14298,4.42823,15.96945,-0.0024900000000001,5,0.00571,-9.99999999999959e-05,8.94747,24.17287
"19","2014_Q4",36.61140625,"Up",231827000,-120166000,111661000,-92695000,-82052000,-10643000,18966000,-2308000,16658000,16658000,36000,16694000,15988000,15988000,15988000,125200000,125200000,143635000,143635000,212493000,68503000,52331000,549831000,323491000,600823000,251221000,334990000,1031000,13581000,924314000,1474145000,156592000,46830000,107008000,7748000,164340000,421006000,54891000,25871000,29020000,475897000,640237000,417920000,423563000,-7575000,833908000,833908000,1474145000,15988000,22266000,5803000,-17164000,26893000,-29648000,10000,10000,-29658000,-29658000,-29648000,-1408000,-1047000,3884000,2233000,-222000,-2977000,-2977000,-1794000,-4771000,41232000,428754000,-5616000,0.48166,0.08181,0.06897,0.01917,0.01085,-0.35126,3.34569,0.76775,0.29085,0.31088,0.3077,4.50771,16.21474,-0.1092,5,0.01213,-0.00426,7.3621,16.00517
"20","2015_Q1",41.8031147540984,"Up",226478000,-118113000,108365000,-95010000,-77785000,-17225000,13355000,-1879000,11476000,6035000,-12589000,-6554000,-2930000,-2930000,-2930000,160662000,160662000,145827000,145827000,211077000,40103000,40103000,557669000,321948000,605800000,244588000,334310000,15631000,11271000,927748000,1485417000,167162000,48425000,118737000,21522000,188684000,406369000,64242000,32505000,31737000,470611000,659295000,427481000,420365000,-21724000,826122000,826122000,1485417000,-2930000,22162000,11665000,24408000,55305000,-21625000,65000.0000000001,65000.0000000001,-21690000,-21690000,-21625000,930000,1032000,1364000,556000,2518000,36198000,36198000,-736000,35462000,35517000,427891000,50889000,0.47848,0.05897,-0.01294,-0.00355,-0.00197,-17.36826,2.95557,0.79806,0.28806,-0.05682,-0.05604,4.39175,16.01974,0.98681,4,-0.00222,0.0386,7.52397,20.00966
"21","2015_Q2",42.1552380952381,"Up",213413000,-110874000,102539000,-98933000,-87612000,-11321000,3606000,-2009000,1597000,1597000,-1864000,-267000,-267000,-267000,-267000,112204000,112204000,139103000,139103000,211131000,45923000,33243000,508361000,328882000,590168000,241873000,334187000,3080000,11028000,919050000,1427411000,137369000,42155000,92434000,32396000,169765000,399453000,66546000,34354000,32192000,465999000,635764000,428387000,387344000,-24084000,791647000,791647000,1427411000,-267000,22255000,3249000,-15987000,9250000,-24130000,116000,116000,-24246000,-24246000,-27130000,4104000,-36139000,2893000,2263000,-29772000,-47652000,-47652000,-806000,-48458000,25861000,431849000,-12392000,0.48047,0.0169,-0.00125,-0.00034,-0.00019,46.41199,2.9945,0.80309,0.30254,-0.0052,-0.0052,4.15524,15.41369,-0.24128,6,-0.00021,-0.00961,12.36012,88.64254
"22","2015_Q3",37.63171875,"Down",219693000,-114396000,105297000,-86118000,-74565000,-11553000,19179000,-2606000,16573000,16573000,-3710000,12863000,12863000,12863000,12863000,100247000,100247000,145411000,145411000,207645000,47421000,35444000,500724000,328233000,589987000,237685000,333575000,3053000,15674000,918220000,1418944000,141512000,42088000,97215000,46593000,188105000,387715000,66244000,34781000,31463000,453959000,642064000,430994000,384359000,-38473000,776880000,776880000,1418944000,12863000,22743000,757000,-8852000,27511000,-25707000,177000,177000,-25884000,-25884000,-25707000,2262000,-16471000,5481000,0,-14209000,-12405000,-12405000,448000,-11957000,41922000,434308000,11073000,0.47929,0.0873,0.05855,0.01656,0.00907,0.860840000000003,2.66194,0.82646,0.30608,0.25381,0.24777,4.33491,15.32912,0.21849,7,0.01007,0.00867,7.96863,17.41806
"23","2015_Q4",32.43578125,"Down",233384000,-124529000,108855000,-89711000,-78769000,-10942000,19144000,-2141000,17003000,-68045000,3878000,-64167000,-59440000,-59440000,-59440000,105167000,105167000,148774000,148774000,203863000,43559000,31564000,501363000,332772000,502287000,214809000,266945000,5290000,15243000,835059000,1336422000,129041000,39636000,87614000,46293000,175334000,380814000,60722000,33510000,27212000,441536000,616870000,435985000,324916000,-41349000,719552000,719552000,1336422000,-59440000,22723000,73421000,-4853000,31851000,-23637000,104000,104000,-23741000,-23741000,-23637000,-7182000,2115000,2115000,2077000,-2990000,5224000,5224000,-304000,4920000,41867000,427107000,9499000,0.46642,0.08203,-0.25469,-0.08261,-0.04448,-0.15981,2.85947,0.8573,0.31959,-1.17144,-1.20069,4.59952,14.18088,0.18721,5,-0.04923,0.00787,7.68959,16.81676
"24","2016_Q1",32.2965573770492,"Down",242342000,-153119000,89223000,-87426000,-76277000,-11149000,1797000,-2718000,-921000,-8268000.00000001,-467000,-8735000,-8735000,-8735000,-8735000,115123000,115123000,157093000,157093000,187028000,28842000,28842000,488086000,337634000,493408000,204458000,267840000,7055000,14055000,831042000,1319128000,142080000,39674000,102406000,43471000,185551000,364529000,47483000,21377000,26106000,412012000,597563000,440421000,316184000,-35040000,721565000,721565000,1319128000,-8735000,22190000,23254000,16544000,53253000,-28294000,240000,240000,-28534000,-28534000,-28294000,-18254000,3543000,3543000,-942000,-15653000,9306000,9306000,650000,9956000,23987000,4.08e+08,12704000,0.36817,0.00742,-0.0360400000000001,-0.01211,-0.00662,-1.45438,2.63047,0.82815,0.3093,-0.17175,-0.17175,4.76498,14.18756,0.24979,4,-0.00742,0.01079,12.20982,162.98108
"25","2016_Q2",30.22609375,"Down",209956000,-118900000,91056000,-98937000,-87500000,-11437000,-7881000,-2177000,-10058000,-10058000,-288000,-10346000,-10346000,-10346000,-10346000,118248000,118248000,149668000,149668000,189431000,32248000,32248000,489595000,339666000,488130000,198121000,268589000,7572000,13848000,827796000,1317391000,152169000,36799000,115370000,46804000,198973000,352908000,49950000,21416000,28534000,402858000,601831000,445649000,305838000,-35927000,715560000,715560000,1317391000,-10346000,22544000,2956000,15541000,30695000,-22392000,87000,87000,-22479000,-22479000,-22392000,-8375000,1409000,1409000,1980000,-4986000,3317000,3317000,-192000,3125000,14663000,399712000,8100000,0.43369,-0.03754,-0.04928,-0.01446,-0.00785,-0.78291,2.46061,0.84106,0.30341,-0.20278,-0.20278,4.11509,14.02481,0.15876,5,-0.00888,0.00695,19.19553,-35.71425
"26","2016_Q3",34.328125,"Up",220253000,-116005000,104248000,-79454000,-71118000,-8336000,24794000,-1962000,22832000,22832000,-3007000,19825000,19825000,19825000,19825000,138870000,138870000,151600000,151600000,194511000,27406000,27406000,512387000,339843000,482596000,192451000,268546000,7942000,13657000,822439000,1334826000,147115000,42013000,105102000,51549000,198664000,336505000,50543000,22188000,28355000,387048000,585712000,460166000,325663000,-36715000,749114000,749114000,1334826000,19825000,22709000,2543000,-5812000,39265000,-19035000,110000,110000,-19145000,-19145000,-19035000,-11711000,12123000,12123000,-1000.00000000047,410999.999999998,20641000,20641000,-18999.9999999998,20622000,47503000,388054000,25663000,0.47331,0.11257,0.09001,0.02646,0.01485,1.29448,2.57916,0.78187,0.29072,0.38586,0.38195,4.28683,14.58016,0.49948,7,0.01669,0.02161,5.24565,10.05017
"27","2016_Q4",37.7036507936508,"Up",227841000,-126762000,101079000,-79867000,-71405000,-8462000,21212000,-2275000,18937000,18937000,-3544000,15393000,15393000,15393000,15393000,129639000,129639000,150557000,150557000,188489000,27877000,27877000,496562000,335957000,473902000,185427000,267314000,7575000,13586000,809859000,1306421000,149950000,48848000,101102000,66271000,216221000,269997000,49306000,24463000,24843000,319303000,535524000,468866000,341056000,-39025000,770897000,770897000,1306421000,15393000,22278000,5738000,11792000,55201000,-17317000,1576000,1576000,-18893000,-18893000,-17317000,-51716000,4746000,4746000,1581000,-45389000,-7505000,-7505000,-1726000,-9231000,43490000,336268000,41509000,0.44364,0.0931,0.06756,0.01997,0.01178,2.69662,2.29655,0.69468,0.2574,0.2977,0.29552,4.40639,14.90895,0.80277,6,0.01331,0.03589,4.75118,9.74114
"28","2017_Q1",39.0537096774194,"Up",228066000,-145955000,82111000,-81024000,-71703000,-9321000,1087000,-1681000,-594000,-59187000,8047000,-51140000,-51140000,-51140000,-51140000,139564000,139564000,152683000,152683000,176929000,40853000,40853000,510029000,323862000,404818000,177540000,210841000,3988000,12449000,728680000,1238709000,150157000,42973000,107184000,61022000,211179000,253625000,34295000,12114000,22181000,287920000,499099000,482567000,289916000,-32873000,739610000,739610000,1238709000,-51140000,22202000,67838000,-4323000,34577000,-14569000,1049000,1049000,-15618000,-15618000,-14569000,-21608000,11159000,11159000,-4.65661287307739e-10,-10449000,9559000,9559000,366000,9925000,23289000,314647000,-3650000,0.36003,0.00477000000000001,-0.22423,-0.06914,-0.04128,0.0713700000000004,2.41515,0.67481,0.25401,-0.98367,-1.00112,4.38681,14.22628,-0.0702100000000001,4,-0.04698,-0.00335,7.51784,161.06992
"29","2017_Q2",41.0720634920635,"Up",210951000,-119286000,91665000,-75054000,-66861000,-8193000,16611000,-1359000,15252000,23252000,-3115000,20137000,20137000,20137000,20137000,171739000,171739000,151507000,151507000,173894000,30949000,30949000,528089000,321953000,401340000,173420000,210930000,4399000,12591000,723293000,1251382000,139647000,39389000,100258000,65876000,205523000,237167000,35922000,12818000,23104000,273089000,478612000,491961000,310053000,-29244000,772770000,772770000,1251382000,20137000,21789000,2001000,-5502000,38425000,-12740000,981000,981000,-13721000,-13721000,-3740000,-11601000,6430000,6430000,1622000,-3549000,31136000,31136000,1039000,32175000,38400000,303043000,23273000,0.43453,0.07874,0.09546,0.02606,0.01609,1.15573,2.56949,0.61935,0.24217,0.38398,0.3813,4.02248,14.73543,0.44378,8,0.01811,0.02093,3.41938,7.90464
