"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","cost_of_goods_services","cost_of_other_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q3",27.65796875,"Up",3.9075e+10,3.824e+10,8.35e+08,-3.4399e+10,-3.3824e+10,-5.75e+08,4.676e+09,-2.925e+09,-2.925e+09,1.751e+09,6.19e+08,-6.1e+07,-6.1e+07,4.29e+08,2.51e+08,2.37e+09,2.13e+09,-7.42e+08,1.388e+09,1.388e+09,2.6e+07,1.414e+09,1.295e+09,2.5955e+10,1.9697e+10,6.258e+09,1.1119e+10,1.4777e+10,2.5894e+10,1.6123e+10,7.7745e+10,2.5351e+10,2.5351e+10,6.0014e+10,6.598e+09,7.463e+09,1.7352e+10,8.5365e+10,1.6311e+11,5.006e+10,2.682e+10,2.324e+10,6.0021e+10,1.6787e+10,4.7298e+10,3.3826e+10,1.3472e+10,6.4085e+10,1.24106e+11,2.3832e+10,1.2191e+10,-8.04e+09,3.8374e+10,6.3e+08,3.9004e+10,1.6311e+11,4.893e+09,-2.494e+09,4.7e+07,4.7e+07,-2.541e+09,-2.541e+09,1.25e+08,2.596e+09,-2.471e+09,-8.12e+08,-5.291e+09,-2.56e+08,31999999.9999995,-4.52e+08,4.84e+08,-7.891e+09,8.375e+09,-9e+07,-3.14e+08,-711999999.999999,-711999999.999999,-2.34e+08,-9.46e+08,2.6748e+10,0.11967,0.04481,0.03314,0.0332,0.00794,1.2953,3.18188,0.16399,0.94113,0.77221,28.39753,20.33648,0.18605,0.01372,0.19768,0.452879999999999
"12","2013_Q4",29.139375,"Up",3.8983e+10,3.812e+10,8.63e+08,-3.3791e+10,-3.3166e+10,-6.25e+08,5.192e+09,-2.876e+09,-2.876e+09,2.316e+09,2.89e+08,-6.5e+07,-6.5e+07,4.36e+08,-82000000.0000001,2.605e+09,2.547e+09,-8.42e+08,1.705e+09,1.705e+09,1.2e+07,1.717e+09,6.97e+08,2.857e+10,2.0355e+10,8.215e+09,1.1067e+10,1.5357e+10,2.617e+10,1.6302e+10,8.1164e+10,2.6247e+10,2.6247e+10,6.1128e+10,6.364e+09,7.897e+09,1.8894e+10,8.7375e+10,1.68539e+11,5.1124e+10,2.7242e+10,2.3882e+10,6.2563e+10,2.0684e+10,4.7931e+10,3.3885e+10,1.4046e+10,6.8615e+10,1.31178e+11,2.3892e+10,1.2903e+10,-7.981e+09,3.6778e+10,5.83e+08,3.7361e+10,1.68539e+11,3.86e+09,-2.496e+09,5.8e+07,5.8e+07,-2.554e+09,-2.554e+09,-1.873e+09,7.8e+08,-2.653e+09,-4.35e+08,-4.788e+09,-1.045e+09,4.983e+09,-2.9e+07,5.012e+09,-4.639e+09,9.651e+09,-3.4e+07,1.466e+09,5.38e+08,5.38e+08,1.2e+08,6.58e+08,3.2123e+10,0.13319,0.05941,0.01788,0.01866,0.00414,1.29732,3.51109,0.1906,0.50289,0.41463,28.12626,20.78932,0.75397,0.01484,1.49928,1.53411
"13","2014_Q1",28.3698360655738,"Down",4.0485e+10,3.9388e+10,1.097e+09,-3.621e+10,-3.5318e+10,-8.92e+08,4.275e+09,-3.629e+09,-3.629e+09,6.46e+08,9.96e+08,-1.17e+08,-1.17e+08,3.9e+08,7.23e+08,1.642e+09,1.187e+09,-1.34e+08,1.053e+09,1.053e+09,-1.3e+07,1.04e+09,9.13e+08,2.8993e+10,2.0021e+10,8.972e+09,8.535e+09,1.4039e+10,2.9934e+10,1.9585e+10,8.1501e+10,2.5867e+10,2.5867e+10,5.8976e+10,5.668e+09,8.094e+09,2.0918e+10,8.4843e+10,1.66344e+11,4.8254e+10,2.3621e+10,2.4633e+10,6.2412e+10,2.2025e+10,3.8733e+10,2.538e+10,1.3353e+10,6.0758e+10,1.2317e+11,2.8795e+10,1.3816e+10,-3.113e+09,4.2607e+10,5.67e+08,4.3174e+10,1.66344e+11,3.058e+09,-2.231e+09,7.5e+07,7.5e+07,-2.306e+09,-2.306e+09,-4.91e+08,2.016e+09,-2.507e+09,-1.5e+09,-3.773e+09,-1.68e+08,5.83e+08,87000000.0000001,4.96e+08,-6.477e+09,6.973e+09,-3000000.00000001,4.12e+08,-3.03e+08,-3.03e+08,-3.1e+07,-3.34e+08,3.6183e+10,0.10559,0.01596,0.02255,0.02115,0.00549,1.30585,2.85287,0.21752,0.63491,0.49647,28.15369,27.46732,0.11683,0.00915,0.18401,11.13003
"14","2014_Q2",27.1942857142857,"Down",3.7408e+10,3.6315e+10,1.093e+09,-3.5002e+10,-3.4127e+10,-8.75e+08,2.406e+09,-2.941e+09,-2.941e+09,-5.35e+08,5.91e+08,-1.03e+08,-1.03e+08,6.05e+08,8.9e+07,5.6e+07,5.6e+07,2.24e+08,2.8e+08,2.8e+08,-6.7e+07,2.13e+08,1.25e+08,2.8142e+10,1.9426e+10,8.716e+09,1.1734e+10,1.4837e+10,3.2112e+10,2.1522e+10,8.6825e+10,2.6367e+10,2.6367e+10,6.0414e+10,5.442e+09,8.747e+09,2.1822e+10,8.6781e+10,1.73606e+11,5.4373e+10,2.7715e+10,2.6658e+10,6.9222e+10,2.2918e+10,3.8626e+10,2.4985e+10,1.3641e+10,6.1544e+10,1.30766e+11,2.8794e+10,1.3457e+10,-3.138e+09,4.2222e+10,6.18e+08,4.284e+10,1.73606e+11,1.976e+09,-2.256e+09,1.23e+08,1.23e+08,-2.379e+09,-2.379e+09,1.94e+08,1.387e+09,-1.193e+09,-7.75e+08,-2.837e+09,-5.71e+08,1.303e+09,3.84e+08,9.19e+08,-4.764e+09,5.683e+09,-1.4e+07,7.18e+08,-1.43e+08,-1.43e+08,-4.52e+08,-5.95e+08,3.7767e+10,0.06432,-0.0143,0.00334,0.00292,0.00072,1.2543,3.05243,0.21754,0.0787600000000002,0.07392,23.57152,24.64587,0.3598,0.00584,4.568,-17.99065
"15","2014_Q3",27.3996875,"Up",3.9649e+10,3.8462e+10,1.187e+09,-3.6777e+10,-3.5851e+10,-9.26e+08,2.872e+09,-3.343e+09,-3.343e+09,-4.71e+08,5.04e+08,-1e+08,-1e+08,5.23e+08,8.1e+07,3.3e+07,3.3e+07,2.54e+08,2.87e+08,2.87e+08,-9e+06,2.78e+08,1.9e+08,2.9799e+10,1.9864e+10,9.935e+09,1.148e+10,1.52e+10,3.5164e+10,2.3665e+10,9.1643e+10,2.7023e+10,2.7023e+10,6.0432e+10,5.22e+09,7.485e+09,2.3572e+10,8.7455e+10,1.79098e+11,5.6544e+10,2.6992e+10,2.9552e+10,7.2347e+10,2.4273e+10,3.9893e+10,2.4894e+10,1.4999e+10,6.4166e+10,1.36513e+11,2.8856e+10,1.3162e+10,-3.133e+09,4.1994e+10,5.91e+08,4.2585e+10,1.79098e+11,3.83e+09,-2.707e+09,1.41e+08,1.41e+08,-2.848e+09,-2.848e+09,-1.155e+09,2.792e+09,-3.947e+09,-8.51e+08,-4.763e+09,-6.22e+08,1.929e+09,-1.25e+08,2.054e+09,-4.96e+09,7.014e+09,-7e+06,1.3e+09,3.67e+08,3.67e+08,7.1e+07,4.38e+08,4.0076e+10,0.07244,-0.01188,0.00479,0.00446,0.00106,1.26671,3.20566,0.22377,0.11816,0.11256,24.65734,24.18221,0.38682,0.00663,3.27368,-21.81953
"16","2014_Q4",25.34015625,"Down",3.9255e+10,3.7999e+10,1.256e+09,-3.5107e+10,-3.4054e+10,-1.053e+09,4.148e+09,-2.921e+09,-2.921e+09,1.227e+09,6.4e+08,-9.6e+07,-9.6e+07,4.97e+08,2.39e+08,1.867e+09,1.869e+09,-4.27e+08,1.442e+09,1.442e+09,2.9e+07,1.471e+09,1.384e+09,2.763e+10,1.806e+10,9.57e+09,1.0892e+10,1.521e+10,3.2908e+10,2.293e+10,8.664e+10,2.7375e+10,2.7375e+10,6.2893e+10,5.085e+09,7.983e+09,2.4692e+10,9.0268e+10,1.76908e+11,5.3943e+10,2.4773e+10,2.917e+10,6.7329e+10,2.7719e+10,3.8297e+10,2.3926e+10,1.4371e+10,6.6016e+10,1.33345e+11,2.8848e+10,1.3975e+10,-2.93e+09,4.3002e+10,5.61e+08,4.3563e+10,1.76908e+11,1.088e+09,-2.9e+09,1.31e+08,1.31e+08,-3.031e+09,-3.031e+09,2.7e+08,2.759e+09,-2.489e+09,-1.194e+09,-3.825e+09,-5.88e+08,2.154e+09,-1.195e+09,3.349e+09,-5.802e+09,9.151e+09,-5.6e+07,1.342e+09,-1.395e+09,-1.395e+09,-4.09e+08,-1.804e+09,4.1105e+10,0.10567,0.03126,0.03526,0.03177,0.00782,1.28682,3.06097,0.23235,0.85856,0.81845,24.35174,24.74752,0.36476,0.01604,0.42486,10.98207
"17","2015_Q1",29.1185245901639,"Up",3.9617e+10,3.8316e+10,1.301e+09,-3.5235e+10,-3.405e+10,-1.185e+09,4.382e+09,-2.953e+09,-2.953e+09,1.429e+09,7.79e+08,-1.04e+08,-1.04e+08,4.69e+08,4.14e+08,2.208e+09,2.288e+09,-2.79e+08,2.009e+09,2.009e+09,-2.2e+07,1.987e+09,1.105e+09,2.8176e+10,1.8954e+10,9.222e+09,9.078e+09,1.3642e+10,3.273e+10,2.297e+10,8.3626e+10,2.7743e+10,2.7743e+10,6.6132e+10,6.41e+09,8.35e+09,2.5958e+10,9.3875e+10,1.77501e+11,5.0713e+10,2.2529e+10,2.8184e+10,6.5657e+10,3.1721e+10,4.4099e+10,3.0017e+10,1.4082e+10,7.582e+10,1.41477e+11,2.8953e+10,1.4577e+10,-8.073e+09,3.5457e+10,5.67e+08,3.6024e+10,1.77501e+11,3.167e+09,-3.471e+09,1.38e+08,1.38e+08,-3.609e+09,-3.609e+09,2.92e+08,1.817e+09,-1.525e+09,-7.53e+08,-3.934e+09,-1.384e+09,6.854e+09,1.327e+09,5.527e+09,-3.998e+09,9.525e+09,-4.6e+07,2.315e+09,1.548e+09,1.548e+09,-4.4e+08,1.108e+09,4.6665e+10,0.11061,0.03607,0.02789,0.03067,0.00623,1.27368,3.9273,0.2629,0.68506,0.65852,24.56107,21.98202,0.85803,0.01963,1.25249,12.93842
"18","2015_Q2",28.7966666666667,"Down",3.5712e+10,3.4364e+10,1.348e+09,-3.1842e+10,-3.0674e+10,-1.168e+09,3.87e+09,-3.117e+09,-3.117e+09,7.53e+08,6.84e+08,-1.1e+08,-1.1e+08,5.53e+08,2.41e+08,1.437e+09,1.437e+09,-5.29e+08,9.08e+08,9.08e+08,3.7e+07,9.45e+08,9.45e+08,2.4185e+10,1.5776e+10,8.409e+09,1.1569e+10,1.4051e+10,3.3426e+10,2.3722e+10,8.3231e+10,2.7755e+10,2.7755e+10,6.8932e+10,6.297e+09,9.756e+09,2.8097e+10,9.6687e+10,1.79918e+11,5.2991e+10,2.5187e+10,2.7804e+10,6.7342e+10,3.3907e+10,4.1846e+10,2.8295e+10,1.3551e+10,7.5753e+10,1.43095e+11,2.8835e+10,1.4825e+10,-7.331e+09,3.6329e+10,4.94e+08,3.6823e+10,1.79918e+11,3.75e+08,-3.751e+09,1.85e+08,1.85e+08,-3.936e+09,-3.936e+09,6.97e+08,2.853e+09,-2.156e+09,-1.363e+09,-5.468e+09,-4.88e+08,3.144e+09,9.8e+07,3.046e+09,-3.109e+09,6.155e+09,3e+06,2.359e+09,-2.734e+09,-2.734e+09,-4.44e+08,-3.178e+09,4.8258e+10,0.10837,0.02109,0.02646,0.02566,0.00525,1.23594,3.88602,0.26822,0.58442,0.5605,22.08534,22.46691,0.30179,0.01129,0.5164,31.96946
"19","2015_Q3",24.985625,"Down",3.818e+10,3.667e+10,1.51e+09,-3.3915e+10,-3.2597e+10,-1.318e+09,4.265e+09,-2.977e+09,-2.977e+09,1.288e+09,4.29e+08,-1.08e+08,-1.08e+08,5.24e+08,1.3e+07,1.717e+09,1.717e+09,-5.77e+08,1.14e+09,1.14e+09,-2.3e+07,1.117e+09,1.117e+09,2.4827e+10,1.7627e+10,7.2e+09,1.0604e+10,1.4218e+10,3.4905e+10,2.5616e+10,8.4554e+10,2.8431e+10,2.8431e+10,7.2827e+10,6.181e+09,8.403e+09,3.3245e+10,1.01258e+11,1.85812e+11,5.5125e+10,2.4247e+10,3.0878e+10,6.9528e+10,3.9114e+10,4.15e+10,2.8252e+10,1.3248e+10,8.0614e+10,1.50142e+11,2.8177e+10,1.4512e+10,-7.543e+09,3.5146e+10,5.24e+08,3.567e+10,1.85812e+11,5.786e+09,-5.774e+09,2.83e+08,2.83e+08,-6.057e+09,-6.057e+09,1.227e+09,4.935e+09,-3.708e+09,-1.431e+09,-5.855e+09,-5.98e+08,4.735e+09,-3e+08,5.035e+09,-5.308e+09,1.0343e+10,-4.3e+07,2.395e+09,2.326e+09,2.326e+09,-4.75e+08,1.851e+09,5.3517e+10,0.11171,0.03373,0.02926,0.03131,0.00601,1.21611,4.2092,0.28802,0.69987,0.67289,23.92231,22.0213,0.37469,0.01312,0.53536,22.27484
"20","2015_Q4",28.645,"Up",3.8843e+10,3.714e+10,1.703e+09,-3.3564e+10,-3.2058e+10,-1.506e+09,5.279e+09,-4.282e+09,-4.282e+09,9.97e+08,5.09e+08,-1.12e+08,-1.12e+08,5.02e+08,1.19e+08,1.506e+09,1.506e+09,-1.65e+08,1.341e+09,1.341e+09,1.8e+07,1.359e+09,1.359e+09,2.3462e+10,1.5433e+10,8.029e+09,1.0486e+10,1.4368e+10,3.4025e+10,2.4817e+10,8.2341e+10,2.9381e+10,2.9381e+10,7.7278e+10,6.083e+09,8.872e+09,3.7524e+10,1.06659e+11,1.89e+11,5.5737e+10,2.5188e+10,3.0549e+10,7.2739e+10,4.0401e+10,4.0725e+10,2.7577e+10,1.3148e+10,8.1126e+10,1.53865e+11,2.776e+10,1.4912e+10,-8.034e+09,3.4638e+10,4.97e+08,3.5135e+10,1.89e+11,3.308e+09,-6.173e+09,1.94e+08,1.94e+08,-6.367e+09,-6.367e+09,-8.94e+08,1.138e+09,-2.032e+09,-1.789e+09,-8.856e+09,-5.92e+08,5.101e+09,6.89e+08,4.412e+09,-3.906e+09,8.318e+09,-3e+07,3.59e+09,-1.958e+09,-1.958e+09,-2.36e+08,-2.194e+09,5.7403e+10,0.13591,0.02567,0.03499,0.03868,0.00719,1.13201,4.37925,0.30372,0.86176,0.83993,24.63094,21.96449,0.3754,0.01464,0.43561,34.04313
"21","2016_Q1",25.0998360655738,"Down",2.299e+10,2.169e+10,1.3e+09,-1.8978e+10,-1.7666e+10,-1.312e+09,4.012e+09,-1.512e+09,-1.512e+09,2.5e+09,7.62e+08,-9.3e+07,-9.3e+07,6.14e+08,2.41e+08,3.262e+09,3.711e+09,2.49e+09,6.201e+09,6.226e+09,4e+07,6.266e+09,6.266e+09,2.3401e+10,1.5238e+10,8.163e+09,8.337e+09,1.3764e+10,2.3906e+10,2.3906e+10,6.9408e+10,3.1229e+10,3.1229e+10,9.3701e+10,5.947e+09,9.201e+09,4.1693e+10,1.2493e+11,1.94338e+11,5.1655e+10,2.4062e+10,2.7593e+10,7.1217e+10,4.3549e+10,3.9249e+10,2.6596e+10,1.2653e+10,8.2798e+10,1.54015e+11,2.7622e+10,2.0285e+10,-8.036e+09,3.9871e+10,4.52e+08,4.0323e+10,1.94338e+11,2.3e+09,-5.116e+09,4.33e+08,4.33e+08,-5.549e+09,-5.549e+09,-1.72e+08,1.295e+09,-1.467e+09,-7.42e+08,-7.531e+09,-5.64e+08,5.037e+09,-5.48e+08,5.585e+09,-1.146e+09,6.731e+09,-8.9e+07,5.264e+09,33000000.000001,33000000.000001,-3.69e+08,-3.36e+08,6.3111e+10,0.17451,0.10874,0.27255,0.1554,0.03224,0.9746,3.81953,0.32475,4.03218,3.92607,14.79408,25.65701,0.36293,0.04787,0.09001,15.884
"22","2016_Q2",25.641875,"Up",3.7265e+10,3.5195e+10,2.07e+09,-3.2475e+10,-3.0589e+10,-1.886e+09,4.79e+09,-2.818e+09,-2.818e+09,1.972e+09,5.18e+08,-1.27e+08,-1.27e+08,5.6e+08,8.5e+07,2.49e+09,2.49e+09,-5.59e+08,1.931e+09,1.931e+09,2.2e+07,1.953e+09,1.953e+09,2.1431e+10,1.4894e+10,6.537e+09,8.988e+09,1.5817e+10,2.4798e+10,2.4798e+10,7.1034e+10,3.2652e+10,3.2652e+10,9.9932e+10,5.891e+09,9.64e+09,4.8027e+10,1.32584e+11,2.03618e+11,5.3399e+10,2.6766e+10,2.6633e+10,7.4987e+10,4.9561e+10,3.7745e+10,2.4965e+10,1.278e+10,8.7306e+10,1.62293e+11,2.7478e+10,2.1508e+10,-8.054e+09,4.0932e+10,3.93e+08,4.1325e+10,2.03618e+11,-1.08e+08,-6.915e+09,4.81e+08,4.81e+08,-7.396e+09,-7.396e+09,1.686e+09,3.563e+09,-1.877e+09,-8.95e+08,-6.64e+09,-5.88e+08,7.422e+09,7.38e+08,6.684e+09,-5.55e+09,1.2234e+10,-1.07e+08,6.427e+09,-3.21e+08,-3.21e+08,1.52e+08,-1.69e+08,7.1149e+10,0.12854,0.05292,0.0524099999999999,0.04726,0.00959,0.94728,3.92724,0.34942,1.26326,1.23608,24.10414,26.47607,0.38034,0.01692,0.30108,25.21197
"23","2016_Q3",26.72546875,"Up",3.3134e+10,3.1137e+10,1.997e+09,-2.7883e+10,-2.6033e+10,-1.85e+09,5.251e+09,-2.16e+09,-2.16e+09,3.091e+09,6.2e+08,-1.41e+08,-1.41e+08,6.6e+08,1.01e+08,3.711e+09,3.711e+09,-9.75e+08,2.736e+09,2.85e+09,1.6e+07,2.866e+09,2.866e+09,2.317e+10,1.8923e+10,4.247e+09,1.0461e+10,1.5026e+10,2.5973e+10,2.5973e+10,7.463e+10,3.351e+10,3.351e+10,1.02309e+11,6.433e+09,8.198e+09,5.2051e+10,1.35819e+11,2.10449e+11,5.4813e+10,2.6959e+10,2.7854e+10,7.6043e+10,5.409e+10,3.6313e+10,2.3614e+10,1.2699e+10,9.0403e+10,1.66446e+11,2.775e+10,2.3785e+10,-7.905e+09,4.363e+10,3.73e+08,4.4003e+10,2.10449e+11,6.127e+09,-6.173e+09,6.08e+08,6.08e+08,-6.781e+09,-6.781e+09,1.983e+09,2.587e+09,-6.04e+08,-3.71e+08,-5.699e+09,-6e+08,3.411e+09,-1.032e+09,4.443e+09,-4.823e+09,9.266e+09,-6.1e+07,3.6e+09,4.028e+09,4.028e+09,-96999999.9999999,3.931e+09,7.532e+10,0.15848,0.09329,0.0865,0.06513,0.01362,0.98142,3.78261,0.3579,1.85142,1.81278,21.40439,28.18475,0.3876,0.02227,0.20935,16.87156
"24","2016_Q4",29.1093650793651,"Up",3.8889e+10,3.653e+10,2.359e+09,-3.3341e+10,-3.1139e+10,-2.202e+09,5.548e+09,-2.4e+09,-2.4e+09,3.148e+09,4.61e+08,-1.45e+08,-1.45e+08,4.97e+08,1.09e+08,3.609e+09,3.609e+09,-9.02e+08,2.707e+09,2.712e+09,6.1e+07,2.773e+09,2.773e+09,2.4104e+10,1.5932e+10,8.172e+09,1.0737e+10,1.5427e+10,2.6228e+10,2.6228e+10,7.6496e+10,3.4713e+10,3.4713e+10,1.06367e+11,6.354e+09,8.645e+09,5.6343e+10,1.4108e+11,2.17576e+11,5.7161e+10,2.8628e+10,2.8533e+10,8.2535e+10,5.3726e+10,3.63e+10,2.3216e+10,1.3084e+10,9.0026e+10,1.72561e+11,2.7256e+10,2.5417e+10,-7.953e+09,4.472e+10,2.95e+08,4.5015e+10,2.17576e+11,6.57e+09,-6.174e+09,7.1e+08,7.1e+08,-6.884e+09,-6.884e+09,-3.595e+09,2.786e+09,-6.381e+09,-1.555e+09,-1.166e+10,-5.94e+08,4.182e+09,5e+06,4.177e+09,-4.921e+09,9.098e+09,-4e+06,2.118e+09,-2.972e+09,-2.972e+09,-3e+06,-2.975e+09,7.91e+10,0.14266,0.08095,0.07131,0.0616,0.01274,0.92683,3.83341,0.36355,1.78903,1.76175,25.08968,28.85161,0.38323,0.02099,0.21421,17.47014
"25","2017_Q1",31.9898387096774,"Up",3.9896e+10,3.7343e+10,2.553e+09,-3.6454e+10,-3.4023e+10,-2.431e+09,3.442e+09,-2.967e+09,-2.967e+09,4.75e+08,1.723e+09,-1.5e+08,-1.5e+08,5.65e+08,1.308e+09,2.198e+09,2.198e+09,-3.03e+08,1.895e+09,1.777e+09,6e+07,1.837e+09,1.837e+09,2.4415e+10,1.2574e+10,1.1841e+10,8.7e+09,1.104e+10,3.2048e+10,3.2048e+10,7.6203e+10,3.2603e+10,3.2603e+10,1.12884e+11,6.149e+09,8.996e+09,6.4567e+10,1.45487e+11,2.2169e+11,4.9226e+10,2.3333e+10,2.5893e+10,8.5181e+10,5.1326e+10,4.1108e+10,2.1067e+10,2.0041e+10,9.2434e+10,1.77615e+11,2.6998e+10,2.6168e+10,-9.33e+09,4.3836e+10,2.39e+08,4.4075e+10,2.2169e+11,4.018e+09,-6.063e+09,7.55e+08,7.55e+08,-6.818e+09,-6.818e+09,-3.775e+09,2.807e+09,-6.582e+09,-1.496e+09,-1.1644e+10,-5.86e+08,6.012e+09,7e+06,6.005e+09,-5.433e+09,1.1438e+10,9e+06,4.932e+09,-2.694e+09,-2.694e+09,-2.65e+08,-2.959e+09,7.5123e+10,0.08627,0.01191,0.04604,0.04168,0.00829,0.8946,4.02984,0.33887,1.21174,1.189,26.31662,28.91557,0.38654,0.01511,0.319,106.75368
"26","2017_Q2",30.0185714285714,"Down",3.7266e+10,3.4519e+10,2.747e+09,-3.2327e+10,-2.9761e+10,-2.566e+09,4.939e+09,-2.356e+09,-2.356e+09,2.583e+09,8.9e+08,-1.47e+08,-1.47e+08,5.55e+08,4.82e+08,3.473e+09,3.473e+09,-7.87e+08,2.686e+09,2.617e+09,-9e+06,2.608e+09,2.608e+09,2.3124e+10,1.2864e+10,1.026e+10,1.0898e+10,1.4686e+10,3.089e+10,3.089e+10,7.9598e+10,3.7202e+10,3.7202e+10,1.13993e+11,6.193e+09,9.416e+09,6.4121e+10,1.51195e+11,2.30793e+11,5.7203e+10,2.8725e+10,2.8478e+10,9.0904e+10,5.72e+10,3.6475e+10,2.3407e+10,1.3068e+10,9.3675e+10,1.84579e+11,2.7027e+10,2.8195e+10,-9.25e+09,4.5972e+10,2.42e+08,4.6214e+10,2.30793e+11,2.041e+09,-5.378e+09,1.079e+09,1.079e+09,-6.457e+09,-6.457e+09,1.598e+09,2.914e+09,-1.316e+09,-2.593e+09,-6.805e+09,-5.73e+08,5.779e+09,-3.6e+08,6.139e+09,-5.141e+09,1.128e+10,-1.44e+08,5.047e+09,2.83e+08,2.83e+08,1.03e+08,3.86e+08,9.0901e+10,0.13253,0.06931,0.06998,0.05643,0.0113,0.87563,3.99401,0.39386,1.73289,1.70235,24.76146,30.54618,0.38073,0.01832,0.21971,26.23964
"27","2017_Q3",32.6450793650794,"Up",3.6984e+10,3.3998e+10,2.986e+09,-3.221e+10,-2.9535e+10,-2.675e+09,4.774e+09,-2.477e+09,-2.477e+09,2.297e+09,6.7e+08,-1.32e+08,-1.32e+08,5.3e+08,2.72e+08,2.967e+09,2.967e+09,-5.34e+08,2.433e+09,1.663e+09,-3e+06,1.66e+09,1.66e+09,2.5731e+10,1.6598e+10,9.133e+09,9.796e+09,1.1289e+10,3.8265e+10,3.8265e+10,8.5081e+10,3.4301e+10,3.4301e+10,1.20918e+11,5.989e+09,8.248e+09,7.4256e+10,1.55219e+11,2.403e+11,5.0005e+10,2.3404e+10,2.6601e+10,9.4306e+10,5.9081e+10,4.1188e+10,2.0527e+10,2.0661e+10,1.00269e+11,1.94575e+11,2.6343e+10,2.8547e+10,-9.369e+09,4.5521e+10,2.04e+08,4.5725e+10,2.403e+11,5.518e+09,-5.968e+09,1.645e+09,1.645e+09,-7.613e+09,-7.613e+09,1.125e+09,1.958e+09,-8.33e+08,-1.919e+09,-7.118e+09,-5.72e+08,7.608e+09,-53000000.0000001,7.661e+09,-8.19e+09,1.5851e+10,-9.3e+07,5.493e+09,3.893e+09,3.893e+09,1.06e+08,3.999e+09,8.9089e+10,0.12908,0.06211,0.04488,0.0363,0.00691,0.90218,4.25533,0.37074,1.10888,1.09282,24.70541,30.40815,0.3821,0.01268,0.34458,27.58293
"28","2017_Q4",39.1380952380952,"Up",3.3623e+10,3.0466e+10,3.157e+09,-2.9744e+10,-2.6852e+10,-2.892e+09,3.879e+09,-2.303e+09,-2.303e+09,1.576e+09,8.54e+08,-1.51e+08,-1.51e+08,5e+08,5.05e+08,2.43e+09,2.43e+09,-2.316e+09,1.14e+08,-2.982e+09,1e+06,-2.981e+09,-2.981e+09,2.1246e+10,1.2792e+10,8.454e+09,1.0013e+10,1.1789e+10,3.357e+10,3.357e+10,7.6618e+10,3.5178e+10,3.5178e+10,1.17706e+11,5.854e+09,8.82e+09,7.2309e+10,1.52884e+11,2.29502e+11,4.9868e+10,2.3265e+10,2.6603e+10,8.1849e+10,6.7066e+10,3.711e+10,1.9877e+10,1.7233e+10,1.04176e+11,1.86025e+11,2.5796e+10,2.423e+10,-7.783e+09,4.2243e+10,1.234e+09,4.3477e+10,2.29502e+11,2.881e+09,-5.167e+09,1.925e+09,1.925e+09,-7.092e+09,-7.092e+09,6.79e+08,3.029e+09,-2.35e+09,-1.166e+09,-8.838e+09,-5.56e+08,3.253e+09,3.9e+07,3.214e+09,-1.2703e+10,1.5917e+10,-3.4e+07,2.139e+09,-3.818e+09,-3.818e+09,1.53e+08,-3.665e+09,9.2673e+10,0.11537,0.04687,-0.08866,-0.06856,-0.01299,0.93609,4.2787,0.4038,-2.06298,-2.02514,23.26851,29.23391,0.38478,-0.014,-0.18651,45.3217
