"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",1.57790322580645,"Up",7527051,-4731830,2795221,-3432421,-3040562,-391859,-637200,3509,3509,-10520,14029,-633691,-538617,-538617,-538617,-538617,-332226,-870843,6194035,6194035,2381757,2131845,3233320,1275630,1275630,13084742,9869930,309690,309690,9164997,1418553,7663208,83236,19344617,32429359,6488352,4607580,1880772,267869,6756221,300166,1477472,8233693,3138056,220281364,-199223754,24195666,24195666,32429359,-538617,889930,-1718,-117424,232171,-1256676,-1256676,-111841,-111841,-1136346,-1136346,-1136346,252730,568035,0.37136,-0.08465,-0.1157,-0.03599,-0.02685,1.9367,0.3403,0.01752,-0.02683,-0.02683,0.23186,0.64866,5,-0.03357,-22.26091,8.82925
"12","2013_Q1",2.30466666666667,"Up",7902846,-4724507,3178339,-5782231,-5420956,-361275,-2603892,13639,13639,-13237,26876,-2590253,-2760008,-2772607,-2772607,-2772607,5.82076609134674e-11,-2772607,6426645,6426645,2648590,2441941,2511748,555823,555823,12142806,11800108,336198,336198,8940545,1196453,7663208,80884,21076851,33219657,9478899,6136443,3342456,466056,9944955,262274,1619680,11564635,3138056,220513327,-201996361,21655022,21655022,33219657,-2772607,917709,583252,4141597,2869951,-2546199,-2546199,-51801.9999999999,-91141.9999999999,232610,232610,232610,-1686183,728330,0.40218,-0.32949,-0.35084,-0.12804,-0.08346,1.221,0.53404,0.02192,-0.08532,-0.08532,0.2432,0.56983,4,-0.11679,3.37942,2.18838
"13","2013_Q2",2.0234375,"Down",8390277,-5245996,3144281,-3558513,-3215125,-343388,-414232,-2840,-2840,-23006,20166,-417072,46061,39140,39140,39140,-332226,-293086,6203703,6203703,2505789,2366750,1185917,603893,603893,10499302,13037458,372977,372977,8755308,1010853,7663208,81247,22165743,32665045,7954084,6020991,1933093,1821713,9775797,210642,1069753,10845550,3138056,220638660,-201957221,21819495,21819495,32665045,39140,1019606,-337008,-43728,678010,-2076915,-2076915,1175963,1175963,-222942,-222942,-222942,605374,2032355,0.37475,-0.04937,-0.03493,-0.01343,-0.00897,1.07401,0.49706,0.06222,-0.00901,-0.00901,0.25802,0.57449,6,-0.01186,-6.89053,10.07008
"14","2013_Q3",1.95109375,"Down",8884322,-5284140,3600182,-3032532,-2699675,-332857,567650,-3356,-3356,-25017,21661,564294,160659,153757,153757,153757,0,153757,5046346,5046346,1266767,1156404,2439280,680274,680274,9432667,14647943,407782,407782,8581067,825253,7663208,92606,23636792,33069459,8239470,6447583,1791887,1396809,9636279,158862,1452352,11088631,3138056,220646236,-201803464,21980828,21980828,33069459,153757,1090180,517015,161223.000000001,1922175,-2515533,-2515533,-476684,-563999,-1157357,-1157357,-1157357,1657830,1555671,0.40523,0.06389,0.01731,0.007,0.00464999999999999,0.97887,0.50447,0.04704,0.00470000000000001,0.0047,0.27141,0.57563,7,0.00618999999999998,-2.10557,-6.14934
"15","2013_Q4",1.73390625,"Down",8980804,-5299465,3681339,-3331119,-3003230,-327889,350220,-50296,-50296,-61379,11083,299924,-1009030,-1015941,-1015941,-1015941,-332226,-1348167,3948537,3948537,2484478,2370993,1838557,656306,656306,8927878,15528584,381946,381946,8390962,639653,7663208,88101,24301492,33229370,6933930,5332568,1601362,2314756,9248686,159775,2735986,11984672,3138056,220926047,-202819405,21244698,21244698,33229370,-1015941,1189210,1475394,-1866100,-217437,-1790849,-1790849,835637,910477,-1097809,-1097809,-1097809,1539430,2474531,0.40991,0.039,-0.15012,-0.06346,-0.04057,0.96531,0.56413,0.07447,-0.04108,-0.04108,0.27365,0.55172,4,-0.05127,-0.9575,-4.2088
"16","2014_Q1",2.09524590163934,"Up",9684841,-6014030,3670811,-3460524,-3150536,-309988,210287,-43592,-43592,-47803,4211,166695,1684079,1677167,1677167,1677167,5.82076609134674e-11,1677167,5981000,5981000,2737128,2620684,1823615,184336,184336,10726079,17240065,408674,408674,8201378,454053,7663208,84117,25850117,36576196,8769431,7301247,1468184,3247152,12016583,122754,1180422,13197005,3138056,221383373,-201142238,23379191,23379191,36576196,1677167,1280578,-1290637,1989096,3656204,-2797540,-2797540,850147,1173799,2032463,2032463,2032463,1490865,3369906,0.37903,0.02171,0.17317,0.07174,0.04585,0.89261,0.56448,0.09213,0.0507,0.04713,0.29277,0.61189,6,0.06032,-1.7514,-12.41681
"17","2014_Q2",2.01396825396825,"Down",10123058,-6540287,3582771,-3453853,-3295344,-158509,128918,-47450,-47450,-60976,13526,81468,300565,293654,293654,293654,-332226,-38572,5811900,5811900,2054275,1923038,1766259,337481,337481,9969915,18098035,432552,432552,8177995,432100,7663208,82687,26708582,36678497,7549609,6053461,1496148,4332052,11881661,84763,920045,12801706,3138056,221587319,-200848584,23876791,23876791,36678497,293654,1240024,-84333,-537521,911824,-2089601,-2089601,923023,1008677,-169100,-169100,-169100,1368942,4416815,0.35392,0.01274,-0.00381,-0.00162,-0.00105,0.8391,0.53616,0.12042,-0.00116,-0.00116,0.30377,0.62233,5,-0.00132,-1.0191,-10.82149
"18","2014_Q3",1.98203125,"Down",10570514,-6740381,3830133,-3320443,-3193568,-126875,509690,-55691,-55691,-60405,4714,453999,416103,409190.999999999,409190.999999999,409190.999999999,-5.82076609134674e-11,409190.999999999,6654999,6654999,2155303,2042401,1712812,402705,402705,10925819,19311498,346811,346811,8175797,432100,7663208,80489,27834106,38759925,7072643,5985380,1087263,4252614,11325257,63501,849196,12174453,3138056,223886809,-200439393,26585472,26585472,38759925,409190.999999999,1278518,195439.999999999,-139797,1743352,-2478986,-2478986,-100700,1578733,843099,843099,843099,1788208,4316115,0.36234,0.04822,0.0387100000000001,0.01539,0.01056,0.96473,0.45794,0.11136,0.01199,0.01199,0.30965,0.68686,6,0.01291,-1.30795,-4.58884
"19","2014_Q4",1.6321875,"Down",10443932,-6446144,3997788,-3632253,-3479300,-152953,365535,-57832,-57832,-60934,3102,307703,138806,26866526,26866526,26866526,-332226,26534300,6577117,6577117,2081186,1974349,1512003,1070128,488146,11240434,20755507,325812,325812,34309376,432100,7663208,86877,55390695,66631129,7717406,6372212,1309673,4249915,11967321,316871,1179517,13146838,3138056,223919102,-173572867,53484291,53484291,66631129,26866526,1413521,-26512507,395242,2162782,-2673060,-2673060,-89366,432396,-77882,-77882,-77882,1779056,4566786,0.38279,0.035,2.54064,0.49611,0.39823,0.93926,0.24581,0.06854,0.74789,0.74789,0.29437,1.41904,4,0.45039,-1.13,-5.49969
"20","2015_Q1",2.10196721311475,"Up",11207496,-7545188,3662308,-4229451,-4067788,-161663,-567143,-66027,-66027,-74685,8658,-633170,-579474,-38371,-38371,-38371,-3547.99999999994,-41919.0000000075,9072320,9072320,2803372,2683579,1486777,1271058,363367,14633527,21138580,352794,352794,34639341,432100,7663208,190703,56130715,70764242,9690731,7753911,1915799,5172911,15244537,249865,1783038,17027575,3138056,224210197,-173611586,53736667,53736667,70764242,-38371,1553937,-296599.999999993,1048076,2267042,-675353,-675353,892043,903194,2494883,2494883,2494883,986794,5422776,0.32677,-0.0506,-0.00374000000000008,-0.000779999999999947,-0.000589999999999924,0.95992,0.31687,0.07663,-0.00117,-0.00112999999999996,0.31366,1.4161,3,-0.000690000000000024,-3.69838,6.43496
"21","2015_Q2",2.94174603174603,"Up",12252000,-9117000,3135000,-3801000,-3632000,-169000,-666000,-65000,-65000,-75000,10000,-731000,-421000,-61000,-61000,-61000,-332000,-393000,10916078,10916078,2723964,2444748,2629361,1284514,376823,17553917,17780294,948833,948833,35191674,432100,7663208,382563,53920801,71474718,9411680,7632643,1779037,5207383,15479453,222907,2180750,17660203,3138056,224349001,-173672542,53814515,53814515,71474718,-61000,1473000,-376000,-2441000,-1405000,3345000,3345000,-96000,-96000,1844000,1844000,1844000,807000,5430290,0.25588,-0.05436,-0.03208,-0.0073,-0.0055,1.13401,0.32817,0.07597,-0.01102,-0.01102,0.34366,1.42143,1,-0.00642,-6.79775,8.23692
"22","2015_Q3",3.116875,"Up",12822000,-9088000,3734000,-3683000,-3531000,-152000,51000,-45000,-45000,-49000,4000,6000,141000,-261000,-261000,-261000,-5.82076609134674e-11,-261000,6734077,6734077,3121373,2758475,3448374,1493835,586144,14797659,16450712,1643363,1643363,34796570,432100,7663208,447344.183419725,52890645,67688304,7112436,5385822,1726614,4203621,12176447,261716,1834353,14010800,3138056,224472905,-173933457,53677504,53677504,67688304,-261000,1444000,612000,-4834000,-3039000,-7999.99999999907,-8000,-1073000,-1135000,-4182000,-4182000,-4182000,1495000,4465337,0.29122,0.00398,-0.02036,-0.00485999999999999,-0.00385999999999998,1.21527,0.26102,0.06597,-0.00732999999999997,-0.00732999999999995,0.36018,1.4197,1,-0.00437000000000002,-1.51755,-44.4851
"23","2015_Q4",2.913125,"Down",15357000,-10211000,5146000,-4416000,-4281000,-135000,730000,-58000,-58000,-85000,27000,672000,-429000,-567000,-567000,-567000,-336000,-903000,8474706,8474706,4153120,3403489,4241057,1321737,414046,18190620,13574402,3505248,3505248,34687941,432100,7663208,404776.101388872,51767591,69958211,7220166,5208646,1994746,4416695,12497251,1708484,4133597,16630848,3138056,224689374,-174500067,53327363,53327363,69958211,-567000,1433000,1734000,-2535000,65000,15000,15000,1661000,1661000,1741000,1741000,1741000,2163000,6125179,0.33509,0.04754,-0.0588,-0.01693,-0.01291,1.45557,0.31186,0.08755,-0.02518,-0.02518,0.42819,1.39939,4,-0.01459,-1.08624,-3.21853
"24","2016_Q1",3.60213114754098,"Up",17646000,-12838000,4808000,-5163000,-5007000,-156000,-355000,1000,-51000,-93000,42000,-354000,-90999.9999999999,-2e+05,-2e+05,-2e+05,-5.82076609134674e-11,-2e+05,11374000,11374000,6912000,5971000,4216000,1832000,574000,24334000,12869000,3698000,3698000,34233000,432000,7663000,350000,50800000,75134000,12704000,10542000,2108000,4478000,18042000,1854000,3781000,21823000,3138000,224874000,-174701000,53311000,53311000,75134000,-2e+05,1381000,435000,1065000,2681000,2000.00000000012,2000,206000,216000,2899000,2899000,2899000,1026000,6332000,0.27247,-0.02012,-0.01133,-0.00375,-0.00266,1.34874,0.40935,0.08428,-0.00559,-0.00559,0.49344,1.403,5,-0.00325,-4.91423,14.20282
"25","2016_Q2",4.28640625,"Up",16600000,-11553000,5047000,-4935000,-4796000,-139000,112000,-68000,-68000,-119000,51000,44000,387000,360000,360000,360000,-334000,26000,11592000,11592000,7394000,6448000,3718000,1883000,625000,24587000,11890000,3525000,3525000,34198000,518769.823154787,8095000,342000,49613000,74200000,11669000,9498000,2117000,4583000,17112000,1758000,3116000,20228000,3138000,225175000,-174341000,53972000,53972000,74200000,360000,1350000,191000,-1539000,362000,-45000,-45000,-128000,-99000,218000,218000,218000,1462000,6341000,0.30404,0.00675,0.00157,0.00048,0.00035,1.43683,0.37479,0.08546,0.00073,0.00071,0.46306,1.41803,7,0.00042,-3.59166,-46.88393
"26","2016_Q3",4.929375,"Up",18503000,-13020000,5483000,-4889000,-4762000,-127000,594000,-84000,-84000,-104000,20000,510000,-720000,-874000,-874000,-874000,0,-874000,14809000,14809000,8479000,6976000,2849000,2160000,902000,28297000,10856000,2435000,2435000,34028000,657721.581833571,8095000,326000,47319000,75616000,9992000,7876000,2116000,7524000,18376000,1584000,3945000,22321000,3138000,225372000,-175215000,53295000,53295000,75616000,-874000,1323000,1818000,-1760000,507000,-17000,-17000.0000000002,2767000,2727000,3217000,3217000,3217000,1917000,9108000,0.29633,0.0321,-0.04724,-0.0164,-0.01156,1.53989,0.41882,0.12045,-0.02434,-0.02474,0.51526,1.39674,6,-0.0135,-2.97392,-9.59764
"27","2016_Q4",4.54777777777778,"Down",20361000,-14689000,5672000,-6267000,-6094000,-173000,-595000,-113000,-113000,-180000,67000,-708000,-5513000,-5420000,-5420000,-5420000,-334000,-5754000,14901000,14901000,10022000,8345000,2341000,2336000,1060000,29600000,10584000,3042000,3042000,39014000,775312.54959557,12976000,337000,52640000,82240000,15368000,12029000,3339000,7605000,29797000,1742000,2016000,31813000,3138000,227924000,-180635000,50427000,50427000,82240000,-5420000,1234000,5345000,3169000,4328000,-145000,-5770000,-118000,1534000,92000,92000,92000,639000,9347000,0.27857,-0.02922,-0.2826,-0.11411,-0.06997,0.99339,0.63087,0.11366,-0.15913,-0.15913,0.56309,1.30779,4,-0.09582,-8.69171,9.33445
"28","2017_Q1",4.23709677419355,"Down",21944000,-16161000,5783000,-6929000,-6721000,-208000,-1146000,-15000,-15000,-197000,182000,-1161000,-1575000,-872000,-872000,-872000,0,-872000.000000002,19272000,19272000,8487000,4899000,2031000,987000,987000,30777000,9765000,3718000,3718000,40573000,798000,11703000,348000,54056000,84833000,15830000,12354000,3458000,7748000,28177000,1576000,1631000,29808000,3138000,233394000,-181507000,55025000,55025000,84833000,-872000,1315000,237000.000000001,591000,1271000,59999.9999999999,60000.0000000019,-24000.0000000005,3040000,4371000,4371000,4371000,169000,9324000,0.26353,-0.05222,-0.0397399999999999,-0.01585,-0.01028,1.09227,0.54172,0.10991,-0.02337,-0.0233699999999999,0.58802,1.39039,4,-0.01354,-58.86391,8.68063
"29","2017_Q2",4.85952380952381,"Up",21588000,-15421000,6167000,-7016000,-6808000,-208000,-849000,-139000,-139000,-212000,73000,-988000,-2579000,-2464000,-2464000,-2464000,-334000,-2798000,18198000,18198000,9189000,5840000,4264000,3710000,1439000,35361000,9570000,3962000,3962000,38188000,754000,11703000,163000,51720000,87081000,12613000,8693000,3912000,8092000,21390000,1517000,1528000,22918000,3138000,244996000,-183971000,64163000,64163000,87081000,-2464000,1301000,1788000,-6890000,-6265000,-810000,-810000,-161000,6001000,-1074000,-1074000,-1074000,452000,9609000,0.28567,-0.03933,-0.12961,-0.04361,-0.03213,1.65316,0.35718,0.11035,-0.0727,-0.0727,0.5609,1.58556,3,-0.03792,-19.00221,10.11661
"30","2017_Q3",5.38571428571429,"Up",21756000,-15422000,6334000,-6092000,-5785000,-307000,242000,-1000,-1000,-201000,2e+05,241000,233000,233000,233000,233000,1.16415321826935e-10,233000,18034000,18034000,8238000,6796000,4786000,4035000,1764000,35093000,9433000,3956000,3956000,37916000,711000,11492000,145000,51305000,86398000,12008000,9090000,2912000,7844000,20322000,1394000,1446000,21768000,3138000,245230000,-183738000,64630000,64630000,86398000,233000.000000001,1263000,477000.000000001,-851000.000000001,1122000,-1073000,-1073000,-213000,-213000.000000001,-163999.999999999,-163999.999999999,-163999.999999999,1505000,9238000,0.29114,0.01112,0.01071,0.00361,0.00270000000000001,1.72685,0.33681,0.10692,0.00577999999999998,0.00577999999999998,0.53973,1.52552,7,0.00315,-5.84452,-36.34711
"31","2017_Q4",7.66984126984127,"Up",26460000,-19835000,6625000,-6206000,-5947000,-259000,419000,-74000,-74000,-188000,114000,345000,345000,136000,136000,136000,-334000,-198000,17780000,17780000,8791000,6734000,4147000,3899000,1628000,34617000,9173000,7548000,7548000,37654000,666000,11492000,137000,54375000,88992000,14640000,11529000,3111000,7807000,22702000,1239000,1291000,23993000,3138000,245463000,-183602000,64999000,64999000,88992000,136000,1210000,613000,-1111000,848000,-830000,-830000,-182000,-272000,-254000,-254000,-254000,1629000,9046000,0.25038,0.01584,-0.00748,-0.00305,-0.00222,1.52484,0.36913,0.10165,-0.00491,-0.00491,0.65635,1.53447,6,-0.00267,-5.36157,-20.84487
"32","2018_Q1",8.93540983606557,"Up",31632000,-25697000,5935000,-9881000,-9637000,-244000,-3946000,-1532000,-1532000,-1627000,95000,-5478000,-5369000,-5370000,-5370000,-5370000,-5.82076609134674e-11,-5370000,12745000,12745000,18203000,7193000,4586000,968000,968000,36502000,12111000,8607000,8607000,40471000,622000,11492000,687000,61189000,97691000,20194000,16054000,4140000,10266000,30699000,1061000,1214000,31913000,3138000,245999000,-183359000,65778000,65778000,97691000,-5370000,2182000,1258000,153000,-1777000,-726000,-726000,-2532000,-2532000,-5035000,-5035000,-5035000,-1764000,11327000,0.18763,-0.12475,-0.16976,-0.08164,-0.05497,1.18903,0.48516,0.11595,-0.13315,-0.13315,0.78432,1.55318,4,-0.06951,0.803850000000001,0.359349999999999
"33","2018_Q2",11.3746875,"Up",25259000,-19078000,6181000,-7169000,-6924000,-245000,-988000,-393000,-393000,-473000,80000,-1381000,-2143000,-2171000,-2171000,-2171000,-334000,-2505000,51870000,51870000,13370000,10288000,8240000,1122000,1122000,74602000,11850000,7742000,7742000,41025000,578000,11492000,750000,60617000,135219000,18016000,14211000,3795000,9700000,27913000,1049000,1210000,29123000,3138000,286463000,-183505000,106096000,106096000,135219000,-2171000,1370000,880000,642000,721000,-675000,-675000,-809000,39079000,39125000,39125000,39125000,382000,10749000,0.2447,-0.03911,-0.09917,-0.02361,-0.01853,2.67266,0.2745,0.07949,-0.05266,-0.05266,0.53095,2.16419,5,-0.02141,-107.6466,41.62045
"34","2018_Q3",13.7849206349206,"Up",31532000,-22360000,9172000,-9742000,-9005000,-737000,-570000,-446000,-446000,-770000,324000,-1016000,-4351000,-4194000,-4194000,-4194000,-5.82076609134674e-11,-4194000,15386000,15386000,20989000,15472000,11215000,1971000,1971000,49561000,12622000,11215000,11215000,111253000,30910000,64449000,1120000,135090000,184651000,30579000,23775000,6798000,5121000,36493000,33874000,33988000,70481000,3138000,307053000,-196021000,114170000,114170000,184651000,-4194000,1908000,1499000,1975000,1188000,-902000,-66083000,28830000,28385000,-36510000,-36510000,-36510000,1338000,38995000,0.29088,-0.01808,-0.13301,-0.03673,-0.02271,1.3581,0.61733,0.21118,-0.08042,-0.08042,0.60464,2.12908,2,-0.02736,17.64499,-41.4193
