"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2018_Q3",9.92936507936508,"Up",1244000,-20709000,-3775000,-16356000,-19465000,446000,805000,805000,-359000,-19019000,22110000,3091000,3091000,3091000,3091000,550000.000000004,154869000,10193000,1322000,1322000,1578000,1236000,157769000,10681000,119245000,277014000,7385000,7385000,4156000,3182000,11541000,27401000,27401000,38942000,1043542000,-757285000,-48185000,238072000,238072000,277014000,3091000,578000,-21274000,-17000.0000000019,-17622000,-423000,-425000,-425000,14980000,735000,735000,735000,-1907000,-1907000,-361000,-2268000.00000001,-18887000,0,-15.64711,0.442120000000001,0.00231000000000001,0.00199000000000001,13.67031,0.16357,0,0.00996000000000002,0.00996000000000002,0.02253,4.31076,0.00206999999999999,8.19977,7.95628
"13","2018_Q4",4.92539682539683,"Down",1587000,-19694000,-2631000,-16566000,-18107000,901000,756000,756000,145000,-17206000,-11549000,-28755000,-24473000,-24473000,-24473000,-27040000,142018000,21933000,538000,538000,1469000,1127000,144025000,10421000,101393000,245418000,8511000,8511000,4157000,3508000,12668000,17478000,17478000,30146000,1047794000,-784325000,-48197000,215272000,215272000,245418000,-24473000,497000,9432000,1342000,-13202000,-215000,-238000,-238000,11775000,435000,435000,435000,-992000,-992000,131000,-861000,-17610000,0,-11.40958,-17.03844,-0.12561,-0.11018,11.3692,0.14004,0,-0.48787,-0.48787,0.02863,3.88406,-0.11618,8.06462,7.84327
"14","2019_Q1",3.83901639344262,"Down",1678000,-17494000,-5927000,-11063000,-15816000,343000,606000,728000,-263000,-15473000,-2776000,-18249000,-18249000,-18249000,-18249000,-20896000,124617000,36942000,1431000,1431000,3181000,3181000,129229000,10145000,98676000,227905000,9429000,9429000,1810000,1810000,11239000,16432000,16432000,27671000,1053625000,-805221000,-48170000,200234000,200234000,227905000,-18249000,504000,2458000,-1788000,-17075000,-227000,-227000,-227000,44784000,109000,109000,109000.000000002,27818000,27818000,-208000,27610000,-15312000,0,-9.42551,-12.45292,-0.10436,-0.09169,11.49826,0.13819,4.33680868994202e-19,-0.37656,-0.37656,0.03024,3.60831,-0.09644,8.13852,7.87917
"15","2019_Q2",2.55825396825397,"Down",679000,-19633000,-4412000,-14712000,-18954000,596000,588000,6e+05,8000,-18358000,-4893000,-23251000,-23251000,-23251000,-23251000,-25966000,110590000,83969000,923000,923000,973000,682000,112486000,9667000,96730000,209216000,6828000,6828000,1995000,1995000,8823000,19184000,19184000,28007000,1060588000,-831187000,-48192000,181209000,181209000,209216000,-23251000,509000,6080000,82000,-16580000,-22000,-31000,-31000,61033000,2536000,2536000,2536000,46989000,46989000,38000,47027000,-18445000,0,-27.91458,-38.24153,-0.14329,-0.12411,12.74918,0.15456,0,-0.46584,-0.46584,0.01218,3.25096,-0.12958,5.99566,5.83465
"16","2019_Q3",1.72296875,"Down",653000,-21434000,-8189000,-12740000,-20781000,664000,604000,606000,60000,-20117000,-3198000,-23315000,-23315000,-23315000,-23315000,-26077000,95282000,78872000,1531000,1531000,2770000,2770000,99583000,9402000,92987000,192570000,7940000,7940000,859000,859000,8799000,19305000,19305000,28104000,1069974000,-857264000,-48244000,164466000,164466000,192570000,-23315000,505000,6842000,-1637000,-17605000,-238000,-240000,-240000,9972000,2479000,2479000,2479000,-5154000,-5154000,57000,-5097000.00000001,-20276000,-7.27595761418343e-12,-31.82389,-39.93415,-0.15856,-0.13542,11.31754,0.17088,0,-0.45901,-0.45901,0.01149,2.89494,-0.1419,4.69925,4.58505
"17","2019_Q4",1.618125,"Down",3061000,-21487000,-3249000,-17731000,-18426000,-622000,-597000,503000,-25000,-19048000,-76111000,-95159000,-82503000,-82503000,-82503000,-85295000,90082000,90082000,2488000,2488000,1771000,1771000,94341000,9150000,22936000,117277000,8199000,8199000,618000,618000,8817000,24823000,24823000,33640000,1074413000,-942559000,-48217000,83637000,83637000,117277000,-82503000,507000,58967000,-441000,-23470000,-255000,-255000,-255000,16155000,0,0,18549000,11234000,11234000,-24000,11210000,-17919000,0,-6.0196,-27.86508,-1.01982,-0.7273,10.6999,0.40221,0,-1.50018,-1.50018,0.05384,1.47102,-0.78642,5.02718,4.88885
"18","2020_Q1",2.70403225806452,"Up",1618000,-14802000,-1877000,-12418000,-13184000,-594000,-592000,402000,-1999.99999999999,-13778000,-10876000,-24654000,-24654000,-24654000,-24654000,-27534000,90834000,31799000,1204000,1204000,1790000,1790000,93828000,8676000,11707000,105535000,7235000,7235000,593000,593000,7828000,24963000,24963000,32791000,1091066000,-970093000,-48229000,72744000,72744000,105535000,-24654000,507000,11025000,-229000,-13351000,-63000,-63000,-63000,-58822000,13893000,13893000,13893000,-58280000,-58280000,-3000,-58283000,-12677000,4.54747350886464e-13,-8.14833,-17.01731,-0.37851,-0.2609,11.9862,0.45077,0,-0.46695,-0.46695,0.02744,1.23367,-0.2818,7.16526,6.88971
"19","2020_Q2",1.63619047619048,"Down",1491000,-14469000,-3553000,-10416000,-12978000,-714000,-696000,345000,-18000,-13692000,-169000,-13861000,-13861000,-13861000,-13861000,-16839000,84891000,26416000,1072000,1072000,2370000,2370000,88333000,8176000,14281000,102614000,3565000,3565000,466000,466000,4031000,25327000,25327000,29358000,1108165000,-986932000,-47977000,73256000,73256000,102614000,-13861000,5e+05,1948000,-4040000,-15453000,-48107.4058420907,-47046.813796173,-47046.813796173,-2401000,12481000,12481000,12481000,-5373000,-5373000,-10000,-5383000,-12478000,0,-8.70423,-11.29376,-0.22987,-0.1641,21.91342,0.40076,0,-0.24879,-0.24879,0.02203,1.08233,-0.17081,6.80325,6.54115
"20","2020_Q3",3.04109375,"Up",1514000,-14532000,-3566000,-10465000,-13018000,-946000,-899000,2e+05,-47000,-13964000,-123000,-14087000,-14087000,-14087000,-14087000,-17082000,82388000,45899000,1108000,1108000,2040000,2040000,85536000,7741000,12089000,97625000,5813000,5813000,514000,514000,6327000,25787000,25787000,32114000,1117624000,-1004014000,-48099000,65511000,65511000,97625000,-14087000,501000,2165000,2620000,-8801000,-66000,-66000,-66000,23371000,4959000,4959000,4959000,19529000,19529000,-46000,19483000,-12517000,0,-8.59841,-11.28269,-0.26075,-0.17498,13.5192,0.49021,-1.05879118406788e-22,-0.24533,-0.24533,0.02174,0.94085,-0.1871,6.58209,6.32878
"21","2020_Q4",3.50125,"Up",1523000,-16620000,-4065000,-12065000,-15097000,-3538000,-974000,1e+05,-19000,-18635000,-120000,-18755000,-18755000,-18755000,-18755000,-21782000,118296000,96918000,1075000,1075000,1871000,1871000,121242000,7262000,9862000,131104000,6913000,6913000,695000,695000,7608000,26151000,26151000,33759000,1171268000,-1025796000,-48127000,97345000,97345000,131104000,-18755000,490000,4761000,1330000,-12174000,-11000,-11000,-11000,14097000,49096000,49096000,49096000,51019000,51019000,0,51019000,-14607000,0,-9.91267,-14.30204,-0.22376,-0.16614,15.93612,0.3468,0,-0.27326,-0.27326,0.01911,1.22119,-0.17638,8.09858,7.83573
"22","2021_Q1",3.85868852459016,"Up",2386000,-18562000,-3661000,-16392000,-16176000,-741000,-701000,96000,-40000,-16917000,-125000,-17042000,-17042000,-17042000,-17042000,-20165000,123268000,52251000,1312000,1312000,3124000,3124000,127704000,6927000,9376000,137080000,9151000,9151000,390000,390000,9541000,25573000,25573000,35114000,1196098000,-1045961000,-48171000,101966000,101966000,137080000,-17042000,487000,1021000,521000,-15013000,-152000,-152000,-152000,-49976000,20210000,20210000,20210000,-44779000,-44779000,112000,-44667000,-15689000,1.77635683940025e-15,-6.77955,-8.45138,-0.19776,-0.1471,13.38476,0.34437,-1.32348898008484e-23,-0.23362,-0.23362,0.02764,1.18132,-0.15811,7.85697,7.62043
"23","2021_Q2",3.09746031746032,"Down",2113000,-17660000,-3878000,-13782000,-15547000,-705000,-733000,39000,28000,-16252000,-129000,-16381000,-16381000,-16381000,-16381000,-19593000,131961000,79421000,1265000,1265000,4115000,4115000,137341000,6584000,8899000,146240000,6063000,6063000,630000,630000,6693000,25398000,25398000,32091000,1227871000,-1065554000,-48168000,114149000,114149000,146240000,-16381000,443000,1779000,-3722000,-17881000,-99000,-99000,-99000,18221000,26874000,26874000,26874000,27214000,27214000,-44000,27170000,-15104000,0,-7.35779,-9.2726,-0.17164,-0.13398,20.5201,0.28113,0,-0.2097,-0.2097,0.02261,1.2217,-0.1404,8.73682,8.48788
"24","2021_Q3",3.3325,"Up",2329000,-20277000,-4478000,-15799000,-17948000,-745000,-732000,31000,-13000,-18693000,-694000,-19387000,-19387000,-19387000,-19387000,-22653000,78379000,30954000,1298000,1298000,3789000,3789000,83466000,6779000,51910000,135376000,8352000,8352000,489000,489000,8841000,25706000,25706000,34547000,1237235000,-1088207000,-48199000,100829000,100829000,135376000,-19387000,436000,2347000,2595000,-14009000,-632000,-632000,-632000,-38747000,4288999.99999999,4288999.99999999,4289000,-48467000,-48467000,-2.91038304567337e-11,-48467000,-17512000,-2.22044604925031e-16,-7.70631,-9.72649,-0.22467,-0.16733,9.44079,0.34263,8.27180612553028e-25,-0.24245,-0.24245,0.02493,1.07914,-0.17903,4.47573,4.367
"25","2021_Q4",3.884375,"Up",3340000,-20892000,-4183000,-16709000,-17552000,-750000,-735000,29156.1623649142,-15000,-18302000,-856000,-19158000,-19158000,-19158000,-19158000,-24245000,121403000,77883000,1667000,1667000,3466000,3466000,126536000,6352000,39060000,165596000,9727000,9727000,386000,386000,10113000,25343000,25343000,35456000,1290779000,-1112452000,-48187000,130140000,130140000,165596000,-19158000,447000,1628000,1047000,-16036000,-20000,-723428.231340281,-723428.231340281,15969000,46952000,46952000,46952000,46885000,46885000,44000,46929000,-17105000,0,-5.25509,-7.25898,-0.1863,-0.14641,12.51221,0.27245,0,-0.2495,-0.2495,0.03437,1.33924,-0.15593,7.09752,6.91676
"26","2022_Q1",3.06112903225806,"Down",3206000,-23809000,-4597000,-19212000,-20603000,-525000,-530000,53981.1942322181,5000,-21128000,-193000,-21321000,-21321000,-21321000,-21321000,-21895000,155317000,109282000,899000,899000,4445000,4445000,160661000,5983000,43824000,204485000,10838000,8875638.08352988,383000,383000,11221000,23825000,23825000,35046000,1352121000,-1134347000,-48335000,169439000,169439000,204485000,-21321000,427000,278000,1010000,-19606000,-58000.0000000001,-387799.783580179,-387799.783580179,-8121000.00000001,59121000,59121000,59121000,31394000,31394000,5000,31399000,-20176000,0,-6.42639,-6.82938,-0.12922,-0.10707,14.31789,0.20684,0,-0.1927,-0.1927,0.02822,1.49124,-0.11329,7.69811,7.53856
"27","2022_Q2",2.5591935483871,"Down",12581000,-23354000,-4892000,-18462000,-10773000,-347000,-347000,159000,18838.919431158,-11120000,-201000,-11321000,-15765000,-15765000,-15765000,-15765000,165477000,81330000,1313000,1313000,5908000,5908000,172698000,5664000,64179000,236877000,8715000,8715000,23694000,439000,32409000,38623000,38623000,71032000,1365363000,-1150112000,-49406000,165845000,165845000,236877000,-15765000,394000,1248000,34742000,20619000,-75000,-75000.0000000005,-75000.0000000005,-60056000,11485000,11485000,11485000,-27952000,-27952000,-179674.719921212,-27952000,-10379000,0,-0.85629,-1.25308,-0.09506,-0.06655,5.3287,0.4283,0,-0.15565,-0.15565,0.12421,1.63739,-0.0771,15.94344,15.36035
"28","2022_Q3",2.35421875,"Down",14241000,-28142000,-5200000,-22942000,-13901000,-83000,-86000,396000,3000,-13984000,-208000,-14192000,-14192000,-14192000,-14192000,-14192000,150199000,47320000,1970000,1970000,5622000,5622000,157791000,5493000,58045000,215836000,12474000,12474000,17350000,377000,29824000,32870000,32870000,62694000,1367543000,-1164304000,-50097000,153142000,153142000,215836000,-14192000,383000,1129000,-7613000,-20293000,-192000,-212000,-212000,-13830000,112999.999999993,112999.999999993,112999.999999993,-34010000,-34010000,-593024.159763637,-34010000,-13518000,0,-0.97613,-0.99656,-0.09267,-0.06575,5.29074,0.40938,3.23117426778526e-27,-0.09541,-0.09541,0.09574,1.02953,-0.0763,11.11104,10.80491
