"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",21.06703125,"Down",2085000,-22964000,-8800000,-14164000,-20879000,54000,40000,14000,-20825000,-20825000,-20825000,-20825000,-20825000,-20825000,105373000,25016000,80357000,1547000,1217000,1217000,108137000,7972000,3512000,2400000,1112000,11484000,119621000,9893000,1727000,8166000,17060000,4634000,621000,4634000,21694000,555193000,-456316000,-950000,97927000,97927000,119621000,-20825000,319000,4546000,-2926000,-18886000,-535000,-535000,-535000,36886000,36351000,15000,15000,15000,17480000,17480000,-63000,17417000,-20560000,0,-10.01391,-9.98801,-0.21266,-0.17409,6.33863,0.22153,0,-1.13891,-1.13891,0.11403,5.35559,-0.20305,5.12515,5.04684
"12","2013_Q3",12.5821875,"Down",3392000,-20441000,-7636000,-12805000,-17049000,-115000,26999.9999999999,-142000,-17164000,-17164000,-17164000,-17164000,-17164000,-17164000,89161000,17585000,71576000,2025000,1241000,1241000,92427000,8038000,3547000,2436000,1111000,11585000,104012000,8560000,1253000,7307000,14906000,4447000,627000,4447000,19353000,558949000,-473480000,-810000,84659000,84659000,104012000,-17164000,327000,3990000,-2842000,-15689000,-293000,-293000,-293000,8498000,8205000,162000.000000002,162000.000000002,20000,-7464000,-7464000,33000,-7431000,-16722000,4.65661287307739e-10,-5.02624,-5.06014,-0.20274,-0.16502,6.20066,0.2286,0,-0.93838,-0.93838,0.18545,4.62845,-0.19262,5.33196,5.22969
"13","2013_Q4",14.63234375,"Up",2927000,-17577000,-5807000,-11770000,-14650000,-107000,13000,-120000,-14757000,-15675000,-15675000,-15675000,-15675000,-15675000,76474000,12191000,64283000,2159000,1120000,1120000,79753000,8454000,3491000,2532000,959000,11945000,91698000,9437000,1289000,8148000,15563000,3739000,988000,3739000,19302000,561870000,-489155000,-319000,72396000,72396000,91698000,-15675000,340000,3925000,-845000,-12255000,-488000,-488000,-488000,7148000,6660000,77000,77000,76000,-5519000,-5519000,125000,-5394000,-14310000,0,-5.00512,-5.35531,-0.21652,-0.17094,5.12453,0.26662,0,-0.85646,-0.85646,0.15993,3.95563,-0.20588,5.3441,5.22007
"14","2014_Q1",18.5445901639344,"Up",2847000,-15831000,-3700000,-12131000,-12984000,-64000,36000,-1e+05,-13048000,-13056000,-13056000,-13056000,-13056000,-21525000,189376000,23122000,166254000,1627000,1375000,1375000,192378000,8706000,3538000,2579000,959000,12244000,204622000,10067000,1901000,8166000,16192000,2136000,963000,2136000,18328000,688653000,-502211000,-148000,186294000,186294000,204622000,-13056000,341000,1746000,-874000,-11843000,-313000,-313000,-313000,-102255000,-102568000,125147000,125147000,125290000,10879000,10879000,52000,10931000,-12643000,-2.91038304567337e-11,-4.56059,-7.56059,-0.11554,-0.10519,11.88105,0.09838,0,-0.91076,-0.91076,0.12046,7.88246,-0.11423,14.97872,14.58534
"15","2014_Q2",15.0801587301587,"Down",3498000,-17388000,-4157000,-13231000,-13890000,127000,65000,62000,-13763000,-13840000,-13840000,-13840000,-13840000,-13840000,177679000,26750000,150929000,1730000,2323000,2323000,181732000,8584000,3269000,2576000,693000,11853000,193585000,8471000,1863000,6608000,15982000,3750000,927000,3750000,19732000,689992000,-516051000,-88000,173853000,173853000,193585000,-13840000,339000,1591000,734000,-11176000,-398000,-398000,-398000,15130000,14732000,69000,69000,69000,3625000,3625000,3000,3628000,-13551000,0,-3.97084,-3.95655,-0.07961,-0.07149,11.37104,0.1135,0,-0.52658,-0.52658,0.13309,6.61466,-0.07793,13.11187,12.79186
"16","2014_Q3",14.41828125,"Down",3048000,-27724000,-4085000,-23639000,-24676000,77000,55000,22000,-24599000,-24777000,-24777000,-24777000,-24777000,-24777000,154313000,17032000,137281000,1292000,4978000,4978000,160583000,8789000,4093000,2557000,1536000,12882000,173465000,13599000,1900000,11699000,20183000,2612000,902000,2612000,22795000,691682000,-540828000,-184000,150670000,150670000,173465000,-24777000,341000,2086000,-256000,-22606000,-521000,-521000,-521000,13413000,12892000,14000,14000,14000,-9700000,-9700000,-18000,-9718000,-24335000,-5.82076609134674e-11,-8.0958,-8.12894,-0.16445,-0.14284,7.95635,0.15129,0,-0.94259,-0.94259,0.11596,5.73195,-0.16164,6.3412,6.25357
"17","2014_Q4",15.22953125,"Up",2209000,-32155000,-4083000,-28072000,-29946000,258000,42000,216000,-29688000,-29819000,-29819000,-29819000,-29819000,-29819000,130572000,19656000,110916000,727000,3578000,3578000,134877000,8129000,3890000,2376000,1514000,12019000,146896000,17176000,4972000,12204000,22820000,2500000,1645000,2500000,25320000,693329000,-570647000,-1106000,121576000,121576000,146896000,-29819000,336000,1931000,4463000,-23089000,-288000,-288000,-288000,26150000,25862000,60000,60000,60000,2833000,2833000,-209000,2624000,-29610000,0,-13.55636,-13.49887,-0.24527,-0.20299,5.91047,0.20826,0,-1.13419,-1.13419,0.08402,4.62424,-0.24033,4.40973,4.36025
"18","2015_Q1",19.164262295082,"Up",2277000,-24690000,-5052000,-19638000,-22413000,127000,-6000,133000,-22286000,-22286000,-22286000,-22286000,-22286000,-22286000,122652000,49511000,73141000,727000,4058000,4058000,127437000,7924000,2929000,2277000,652000,10853000,138290000,14414000,1159000,13255000,20279000,7970000,1070000,17529000,37808000,695084000,-592933000,-1669000,100482000,100482000,138290000,-22286000,388000,1724000,3307000,-16867000,-460000,-460000,-460000,37571000,37111000,35999.9999999981,35999.9999999981,9758000,30002000,30002000,-147000,29855000,-22025000,9559000,-9.84321,-9.78744,-0.22179,-0.16115,6.28419,0.37627,0.06912,-0.84751,-0.84751,0.08659,3.82119,-0.18885,5.13476,5.04587
"19","2015_Q2",21.7815873015873,"Up",627000,-27079000,-4859000,-22220000,-26452000,235000,-220000,455000,-26217000,-26217000,-26217000,-26217000,-26217000,-26217000,97594000,14713000,82881000,909000,3478000,3478000,101981000,7528000,2660000,2032000,628000,10188000,112169000,14211000,3272000,10939000,20499000,7684000,1085000,16597000,37096000,697178000,-619150000,-2955000,75073000,75073000,112169000,-26217000,335000,2131000,-388000,-24139000,-618000,-618000,-618000,-9904000,-10522000,113000,113000,139000,-34522000,-34522000,-276000,-34798000,-26117000,9507000,-42.1882,-41.8134,-0.34922,-0.23373,4.97493,0.49413,0.08476,-0.96867,-0.96867,0.02317,2.7738,-0.28415,3.37278,3.33007
"20","2015_Q3",28.31765625,"Up",1550000,-24784000,-5098000,-19686000,-23234000,-357000,-245000,-112000,-23591000,-23591000,-23591000,-23591000,-23591000,-23591000,93381000,36486000,56895000,657000,3858000,3858000,97896000,8887000,2711000,2078000,633000,11598000,109494000,13018000,2345000,10673000,21964000,5041000,1125000,13002000,34966000,719996000,-642741000,-2727000,74528000,74528000,109494000,-23591000,299000,2449000,-2729000,-23572000,-1050000,-1050000,-1050000,25835000,24785000,20312000,20312000,20514000,21727000,21727000,46000,21773000,-22935000,9459000,-14.98968,-15.22,-0.31654,-0.21545,4.45711,0.46917,0.08639,-0.80419,-0.80419,0.05284,2.54058,-0.26498,3.65912,3.61203
