"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.10234375,"Up",53130000,-18858000,34272000,-22532000,-18725000,-3807000,11740000,17000,-64000,-64000,81000,11757000,11757000,-4832000,6925000,6925000,6925000,6925000,71694000,71694000,20191000,20191000,11111000,5907000,106028000,20783000,199004000,133031000,35642000,1243000,219787000,325815000,29591000,12876000,16715000,29846000,26911000,59437000,10199000,9594000,10199000,69636000,125825000,130354000,256179000,256179000,325815000,6925000,3807000,5532000,-594000,15670000,-2340000,-2340000,-2682000,-2682000,10648000,10648000,10648000,15547000,0,17445000,0.64506,0.22097,0.13034,0.02703,0.02125,2.51913,1.78387,0.27183,0,0.3193,0.31614,2.44972,11.81193,0.80436,0.12366,0.03607,0.06549,0.38729,-4.61144,-6.10681
"12","2013_Q3",8.840625,"Up",52268000,-18979000,33289000,-21382000,-17560000,-3822000,11907000,-139000,-64000,-64000,-75000,11768000,11766000,-4938000,6828000,6828000,6828000,6828000,72029000,72029000,17935000,17935000,11295000,6714000,103900000,21150000,193874000,133031000,31838000,1169000,215024000,318924000,22898000,10530000,12368000,26047000,26047000,48945000,10059000,9515000,10059000,59004000,125502000,134418000,259920000,259920000,318924000,6828000,3822000,5449000,-8627000,7472000,-2919000,-2919000,-4218000,-4218000,335000,335000,335000,15729000,0,9121000,0.63689,0.22781,0.13063,0.02627,0.02141,1.33582,2.12279,0.22701,1.35525271560688e-20,0.31547,0.31123,2.41489,12.00885,0.42141,0.19488,0.04091,0.03378,0.61775,-4.57938,-6.0493
"13","2013_Q4",8.97140625,"Up",49669000,-18607000,31062000,-21528000,-17670000,-3858000,9534000,16000,-68000,-68000,84000,9550000,9550000,-3788000,5762000,5762000,5762000,5762000,82982000,82982000,17114000,17114000,9973000,6156000,112613000,21247000,190503000,133031000,29765000,1123000,211750000,324363000,22668000,10805000,11863000,27966000,27966000,50634000,9890000,9469000,9890000,60524000,126434000,137405000,263839000,263839000,324363000,5762000,3858000,4794000,1748000,16162000,-2503000,-2503000,-2706000,-2706000,10953000,10953000,10953000,13392000,0,16425000,0.62538,0.19195,0.11601,0.02184,0.01776,2.85057,2.22406,0.2294,0,0.2664,0.26305,2.29642,12.19846,0.7594,0.12511,0.03094,0.06,0.46963,-6.19639,-8.7038
"14","2014_Q1",9.27,"Up",54685000,-18942000,35743000,-22447000,-18767000,-3680000,13296000,-49000,-64000,-64000,15000,13247000,12266000,-4251000,8015000,8015000,8015000,8015000,89075000,89075000,18242000,18084000,10630000,7241000,120168000,21122000,185608000,133031000,25494000,1715000,206730000,326898000,19845000,1726000,18119000,26982000,23023000,46827000,10121000,9259000,10121000,56948000,127266000,142684000,269950000,269950000,326898000,8015000,3680000,5306000,-5849000,11152000,-2353000,-2353000,-2706000,-2706000,6093000,6093000,6093000,16976000,4.54747350886464e-13,13025000,0.65362,0.24314,0.14657,0.02969,0.02452,1.62508,2.56621,0.21096,0,0.37049,0.35952,2.52779,12.47831,0.60207,0.12508,0.03828,0.04651,0.33762,-5.24711,-6.69938
"15","2014_Q2",10.0374603174603,"Up",50119000,-18597000,31522000,-23410000,-19381000,-4029000,8112000,-51000,-67000,-67000,16000,8061000,8041000,-3151000,4890000,4890000,4890000,4890000,91594000,91594000,20331000,20331000,9850000,6799000,123764000,21176000,182072000,133031000,23238000,1652000,203248000,327012000,20492000,11163000,9329000,23459000,23459000,43951000,9906000,9102000,9906000,53857000,128366000,144789000,273155000,273155000,327012000,4890000,4029000,3968000,-5076000,7811000,-2585000,-2585000,-2707000,-2707000,2519000,2519000,2519000,12141000,0,7631000,0.62894,0.16185,0.09757,0.0179,0.01495,1.56053,2.81595,0.19717,0,0.22599,0.22189,2.31623,12.62374,0.35266,0.1251,0.02684,0.02696,0.55358,-7.54419,-11.29117
"16","2014_Q3",9.45953125,"Down",49094000,-18600000,30494000,-23122000,-18770000,-4352000,7372000,-258000,-64000,-64000,-194000,7114000,7110000,-2819000,4291000,4291000,4291000,4291000,97035000,97035000,22964000,22964000,10070000,6681000,132139000,20936000,177812000,133031000,20542000,1586000,198748000,330887000,21083000,9796000,11287000,24571000,24571000,45654000,9876000,9231000,9876000,55530000,128990000,146367000,275357000,275357000,330887000,4291000,4352000,3194000,-1297000,10540000,-2392000,-2392000,-2707000,-2707000,5441000,5441000,5441000,11724000,0,10854000,0.62113,0.15016,0.0874,0.01558,0.01297,2.52948,2.89436,0.20167,0,0.19827,0.19409,2.26844,12.72316,0.50152,0.12508,0.02453,0.03805,0.63086,-8.27661,-13.16264
"17","2014_Q4",9.99765625,"Up",49791000,-18988000,30803000,-22185000,-17938000,-4247000,8618000,-65000,-63000,-63000,-2000,8553000,8008000,-3356000,4652000,4652000,4652000,4652000,106940000,106940000,21823000,21823000,11063000,7518000,142502000,19703000,172968000,133031000,17517000,1219000,192671000,335173000,22421000,11163000,11258000,24507000,24507000,46928000,9963000,9321000,9963000,56891000,130042000,148240000,278282000,278282000,335173000,4652000,4247000,4188000,814000,13901000,-1287000,-1287000,-2709000,-2709000,9905000,9905000,9905000,12865000,0,15748000,0.61865,0.17308,0.09343,0.01672,0.01388,3.38521,3.03661,0.20444,0,0.21486,0.21028,2.29966,12.8528,0.72734,0.12512,0.02554,0.05463,0.58233,-8.31248,-12.40891
"18","2015_Q1",11.8329508196721,"Up",51269000,-12355000,38914000,-33370000,-19820000,-4049000,5544000,-450000,-262000,-262000,-188000,5094000,4168000,2744000,6912000,6912000,6912000,6912000,107869000,107869000,25124000,24969000,7095000,7095000,142761000,17395000,177734000,133031000,24143000,862000,195129000,337890000,21534000,2784000,18750000,28229000,24034000,49763000,9068000,8131000,9068000,58831000,126680000,152379000,279059000,279059000,337890000,6912000,4049000,-1495000,-159000,9307000,-1350000,-1350000,-2703000,-7028000,929000,929000,929000,9593000,0,5340000,0.75902,0.10814,0.13482,0.02477,0.02046,0.77257,2.86882,0.21082,0,0.31934,0.31285,2.36865,12.89266,0.24671,0.12488,0.03337,0.01853,0.39106,-11.24455,-19.45689
"19","2015_Q2",11.8847619047619,"Up",48138000,-20069000,28069000,-21796000,-18049000,-3747000,6273000,59000,-1000,-1000,60000,6332000,6332000,-2415000,3917000,3917000,3917000,3917000,105637000,105637000,23374000,23374000,7834000,5855000,140067000,16265000,173139000,133031000,20167000,1618000,189404000,329471000,19385000,9653000,9732000,24612000,24612000,43997000,9222000,8334000,9222000,53219000,122706000,153546000,276252000,276252000,329471000,3917000,3747000,2700000,-3939000,6425000,-1010000,-1010000,-3356000,-7647000,-2232000,-2232000,-2232000,10020000,0,7486000,0.58309,0.13031,0.08137,0.01418,0.01189,1.91116,3.18356,0.19265,0,0.17887,0.17762,2.1982,12.61494,0.34185,0.15325,0.02548,0.02622,0.85678,-10.54261,-16.83995
"20","2015_Q3",10.8440625,"Down",47969000,-20135000,27834000,-20710000,-17262000,-3448000,7124000,268000,3000,2999.99999999997,265000,7392000,5888000,-2512000,3376000,3376000,3376000,3376000,117144000,117144000,22014000,22014000,8395000,6627000,149467000,16104000,169985000,133031000,18187000,1564000,186089000,335556000,24669000,11370000,13299000,27222000,27222000,51891000,9274000,8455000,9274000,61165000,120216000,154175000,274391000,274391000,335556000,3376000,3448000,2943000,9304000,19071000,-1843000,-1843000,-2713000,-5722000,11506000,11506000,11506000,10572000,0,20545000,0.58025,0.14851,0.07038,0.0123,0.01006,6.0856,2.8804,0.22291,0,0.15575,0.15605,2.21299,12.6587,0.94782,0.12516,0.02147,0.07243,0.80361,-11.08059,-16.44357
"21","2015_Q4",11.73078125,"Up",46182000,-18988000,27194000,-20394000,-16981000,-3413000,6800000,786000,1000,1000,785000,7586000,7445000,-3223000,4222000,4222000,4222000,4222000,113383000,113383000,22034000,22034000,7006000,5497000,144319000,15377000,166231000,133031000,15563000,1554000,181608000,325927000,20125000,9340000,10785000,28177000,28177000,48302000,9488000,8692000,9488000,57790000,113315000,154822000,268137000,268137000,325927000,4222000,3413000,2559000,-2165000,8029000,-790000,-790000,-2670000,-10999000,-3760000,-3760000,-3760000,10213000,0,10481000,0.58884,0.14724,0.09142,0.01575,0.01295,2.48247,2.98785,0.21552,0,0.19825,0.19887,2.16858,12.59097,0.49216,0.12538,0.02482,0.03775,0.6324,-11.10183,-16.67397
"22","2016_Q1",11.3622950819672,"Down",47339000,-8780000,38559000,-33656000,-20014000,-3362000,4903000,85000,13000,13000,72000,4988000,6633000,62098000,68731000,68731000,68731000,68731000,111332000,111332000,22638000,22638000,5352000,5352000,141613000,15386000,229434000,133031000,79994000,1445000,244820000,386433000,12985000,2121000,10864000,34171000,27045000,47156000,9713000,8972000,9713000,56869000,110437000,219127000,329564000,329564000,386433000,68731000,3362000,-61541000,-2240000,8312000,-1922000,-1922000,-5237000,-8441000,-2051000,-2051000,-2051000,8265000,0,-57995000,0.81453,0.10357,1.45189,0.20855,0.17786,-0.8438,3.00307,0.17256,0,3.50485,3.466,2.41399,16.80571,-2.95738,0.26705,0.21802,-0.17094,0.0762,-13.4703,-22.70691
"23","2016_Q2",11.76546875,"Up",45388000,-16322000,29066000,-23266000,-17035000,-3323000,5800000,303000,49000,49000,254000,6103000,6103000,-2659000,3444000,3444000,3444000,3444000,111921000,111921000,21078000,21078000,4858000,4858000,139843000,14806000,230090000,133031000,81659000,1547000,244896000,384739000,17641000,7804000,9837000,27415000,27415000,45056000,9592000,8854000,9592000,54648000,106236000,223855000,330091000,330091000,384739000,3444000,3323000,3121000,-369000,9519000,-1445000,-1445000,-2580000,-7485000,589000,589000,589000,9123000,0,9968000,0.64039,0.12779,0.07588,0.01043,0.00895,2.89431,3.10376,0.16555,0,0.16651,0.16633,2.19438,15.95898,0.48192,0.12474,0.01773,0.02935,0.74913,-12.268,-19.29672
"24","2016_Q3",12.2359375,"Up",44635000,-15698000,28937000,-23315000,-16868000,-3235000,5622000,163000,60000,60000,103000,5785000,5785000,-2334000,3450999.99999999,3450999.99999999,3450999.99999999,3450999.99999999,117095000,117095000,23737000,23737000,4116000,4116000,147077000,14297000,227033000,133031000,79644000,1541000,241330000,388407000,19988000,8370000,11618000,28239000,28239000,48227000,9634000,8960000,9634000,57861000,105869000,224677000,330546000,330546000,388407000,3450999.99999999,3235000,2745000,929000,10360000,-1536000,-1536000,-2570000,-3650000,5174000,5174000,5174000,8857000,0,10584000,0.6483,0.12595,0.0773200000000001,0.01044,0.00888999999999997,3.06694,3.04968,0.17505,3.23117426778526e-27,0.16798,0.16778,2.17262,16.08941,0.515179999999999,0.1251,0.0177,0.03111,0.74471,-13.22062,-20.828
"25","2016_Q4",12.72,"Up",45354000,-15892000,29462000,-23434000,-16560000,-3229000,6028000,153000,67000,67000,86000,6181000,6181000,-2123000,4058000,4058000,4058000,4058000,122461000,122461000,23382000,23382000,4293000,4293000,152236000,13672000,225224000,133031000,77795000,2588000,238896000,391132000,18709000,7238000,11471000,30183000,30183000,48892000,9786000,9074000,9786000,58678000,106344000,226110000,332454000,332454000,391132000,4058000,3229000,2823000,-551000,9559000,-1396000,-1396000,-2568000,-2797000,5366000,5366000,5366000,9257000,0,9433000,0.6496,0.13291,0.08947,0.01221,0.01038,2.32454,3.11372,0.1765,0,0.19779,0.19782,2.21059,16.20406,0.45977,0.12517,0.01936,0.02756,0.63282,-13.22902,-20.31536
"26","2017_Q1",13.5098387096774,"Up",44184000,17263000,61447000,-56744000,-17132000,-3176000,4703000,199000,99000,99000,1e+05,4902000,4902000,-1876000,3026000,3026000,3026000,3026000,125816000,125816000,23666000,23666000,4384000,4384000,155862000,12818000,219407000,133031000,73068000,2505000,232225000,388087000,19440000,1032000,18408000,36887000,29145000,56327000,9673000,8921000,9673000,6.6e+07,104812000,217275000,322087000,322087000,388087000,3026000,3176000,-416000,2327000,8113000,-1877000,-3852000,-2569000,-2791000,1470000,1470000,1361000,7879000,5.42101086242752e-20,10205000,1.39071,0.10644,0.06849,0.00939,0.0078,3.37244,2.76709,0.20491,0,0.1469,0.14721,2.14491,15.63567,0.4954,0.12471,0.01686,0.03076,0.84898,-15.96852,-26.75229
"27","2017_Q2",12.5771428571429,"Down",41444000,-15102000,26342000,-24960000,-17632000,-3223000,1382000,92000,122000,122000,-30000,1474000,1474000,-620000,854000,854000,854000,854000,118947000,118947000,24079000,24079000,4650000,4650000,149517000,13600000,218148000,133031000,72802000,2519000,231748000,381265000,13067000,1976000,11091000,37270000,30663000,50337000,9523000,8774000,9523000,59860000,105768000,215637000,321405000,321405000,381265000,854000,3223000,1335000,-1744000,3668000,-2851000,-2851000,-7694000,-7690000,-6873000,-6873000,-6869000,4605000,0,630000,0.6356,0.03335,0.02061,0.00266,0.00224,0.7377,2.97032,0.18624,0,0.0416,0.04149,2.01863,15.65482,0.03069,0.37476,0.02583,0.0019,9.00937,-25.82997,-86.06874
"28","2017_Q3",11.5674603174603,"Down",42325000,-15134000,27191000,-24781000,-17268000,-2851000,2410000,242000,154000,154000,88000,2652000,2652000,-1154000,1498000,1498000,1498000,1498000,107151000,107151000,24452000,24452000,7669000,7669000,140914000,13889000,216419000,133031000,72018000,2204000,230308000,371222000,13206000,1554000,11652000,37285000,31807000,50491000,9221000,8570000,9221000,59712000,96945000,214565000,311510000,311510000,371222000,1498000,2851000,1445000,-2882000,2912000,-2347000,-2347000,-2545000,-12443000,-11878000,-11878000,-11796000,5261000,-6.7762635780344e-21,1186000,0.64243,0.05694,0.03539,0.00481,0.00404,0.79172,2.79087,0.19169,-1.26217744835362e-29,0.0736,0.07332,2.07956,15.30549,0.05827,0.12504,0.01261,0.0037,1.69893,-20.36704,-44.461
"29","2017_Q4",11.9568253968254,"Up",43636000,-14944000,28692000,-25366000,-17590000,-2775000,3326000,571000,214000,214000,357000,3897000,3897000,-171000,3726000,3726000,3726000,3726000,110140000,110140000,27057000,27057000,6637000,6637000,145740000,13706000,215571000,133031000,71973000,2025000,229277000,375017000,16965000,3023000,13942000,35012000,30159000,51977000,9671000,8620000,9671000,61648000,97632000,215737000,313369000,313369000,375017000,3726000,2775000,1166000,-173000,7494000,-1836000,-1836000,-2494000,-2494000,3164000,3164000,2989000,6101000,0,4263000,0.65753,0.07622,0.08539,0.01189,0.00994,1.14412,2.80393,0.19673,0,0.18656,0.18564,2.18484,15.69029,0.21345,0.12487,0.01925,0.0132,0.66935,-18.05278,-33.11485
"30","2018_Q1",10.8529508196721,"Down",43770000,16762000,60532000,-56944000,-17733000,-2775000,3588000,-52000,229000,229000,-281000,3536000,3536000,-24920000,-21384000,-21384000,-21384000,-21384000,107157000,103179000,29722000,29722000,5752000,5752000,144303000,13399000,190302000,133031000,47679000,1675000,203701000,348004000,12323000,1305000,11018000,36014000,28857000,48337000,9138000,8075000,9138000,57475000,99821000,191796000,290529000,290529000,348004000,-21384000,2775000,25354000,-5304000,1441000,-2180000,-2137000,-2501000,-2374000,-3070000,-3070000,-2970000,6363000,0,23799000,1.38296,0.08197,-0.48855,-0.0736,-0.06145,-1.11293,2.98535,0.19783,-7.88860905221012e-31,-1.06999,-1.08259,2.19011,14.53712,1.19082,0.12514,-0.06301,0.07942,-0.11696,-16.84064,-29.86538
"31","2018_Q2",10.9096875,"Up",43114000,-7878000,35236000,-34652000,-18454000,-2713000,584000,236000,283000,283000,-47000,820000,820000,-475000,345000,345000,345000,345000,101302000,101302000,37068000,37068000,7789000,7789000,147808000,12622000,187438000,133031000,45593000,1522000,200060000,347868000,10226000,1049000,9177000,37142000,30590000,47368000,9246000,8282000,9246000,56614000,98235000,194527000,291254000,291254000,347868000,345000,2713000,2284000,-4397000,945000,-1164000,-1164000,-2740000,-5559000,-5778000,-5778000,-6034000,3297000,0,-1789000,0.81728,0.01355,0.008,0.00118,0.00099,-5.18551,3.12042,0.19438,0,0.01723,0.01712,2.15271,14.54249,-0.08933,0.13681,0.01027,-0.00595,7.94203,-30.72551,-173.46233
