"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2020_Q1",89.866935483871,"Up",71500000,-158316000,-93680000,-64636000,-89290000,-8868000,2758000,-98158000,-98158000,-98158000,-98158000,-98158000,-98158000,652622000,70055000,582567000,30649000,25924000,721315000,5202000,28369000,28369000,33571000,754886000,162005000,153968000,162005000,9247000,541325000,703330000,2176166000,-2123466000,-1144000,51556000,51556000,754886000,-98158000,824000,21619000,15231000,-60484000,-95000,65983000,65888000,6562000,6562000,5880000,11284000,11284000,11403000,-88466000,532078000,-1.24881,-1.37284,-1.90391,-0.13003,4.45242,13.64206,0.70485,-2.99344,-2.99344,2.18048,1.57226,-0.16556,1.3626,1.35003
"30","2020_Q2",77.2504761904762,"Down",72652000,-155245000,-98558000,-56687000,-83445000,-9538000,2239000,-92983000,-92983000,-92983000,-92983000,-92983000,-92983000,549036000,41408000,507628000,35298000,30287000,628191000,4846000,29344000,29344000,34190000,662381000,149968000,144518000,149968000,8164000,547132000,697100000,2185534000,-2216449000,-3804000,-34719000,-34719000,662381000,-92983000,764000,21662000,-28174000,-98731000,-432000,72249000,71817000,569000,569000,-753000,-27667000,-27667000,-28361000,-82681000,538968000,-1.14856,-1.27984,2.67816,-0.14038,4.18883,-20.07834,0.81368,-2.85566,-2.85566,2.23126,-1.06628,-0.18146,0.12177,0.12065
"31","2020_Q3",45.94796875,"Down",77249000,-127402000,-93360000,-34042000,-52030000,-11251000,682000,-63281000,-63281000,-63281000,-63281000,-63281000,-63281000,534475000,50778000,483697000,32401000,26242000,606652000,4262000,26580000,26580000,30842000,637494000,163536000,155499000,163536000,6741000,552754000,716290000,2202059000,-2279730000,-1125000,-78796000,-78796000,637494000,-63281000,808000,25556000,22075000,-14842000,-226000,26290000,26064000,731000,731000,442000,11664000,11664000,10518000,-51222000,546013000,-0.67354,-0.81918,0.8031,-0.09927,3.70959,-9.09044,0.8565,-1.89913,-1.89913,2.31833,-2.36475,-0.13352,-0.22525,-0.22176
"32","2020_Q4",33.13875,"Down",79521000,-119477000,-70619000,-48858000,-41782000,-11306000,785000,-53088000,-66469000,-66469000,-66469000,-66469000,-66469000,490580000,45311000,445269000,31462000,25282000,561091000,4898000,25363000,25363000,30261000,591352000,163124000,157674000,163124000,5299000,558515000,721639000,2217658000,-2346199000,-1746000,-130287000,-130287000,591352000,-66469000,710000,25787000,-506000,-40478000,-1332000,36424000,35092000,0,9.31322574615479e-10,-226000.000000002,-5612000,-5612000,-5445999.99999999,-41072000,553216000,-0.52542,-0.83587,0.51017,-0.1124,3.43966,-5.53884,0.93551,-2.01488,-2.01488,2.41053,-3.94941,-0.15522,-1.52503,-1.49911
"33","2021_Q1",27.8750819672131,"Down",83268000,-121854000,-69956000,-51898000,-39353000,-11545000,708000,-50898000,-52147000,-52147000,-52147000,-52147000,-52147000,469667000,58151000,411516000,34525000,27022000,545741000,6326000,28422000,28422000,34748000,580489000,179076000,171039000,179076000,7684000,568266000,747342000,2233970000,-2398346000,-2477000,-166853000,-166853000,580489000,-52147000,836000,26732000,8604000,-15975000,-1901000,31745000,29844000,1000,1000,-156000,13713000,13713000,14163000,-38517000,560582000,-0.47261,-0.62625,0.31253,-0.08983,3.04754,-4.47904,0.96571,-1.57978,-1.57978,2.52258,-5.05477,-0.12991,-2.36039,-2.31024
"34","2021_Q2",19.8247619047619,"Down",81661000,-110037000,-59271000,-50766000,-29186000,-11073000,1346000,-40259000,-40420000,-40420000,-40420000,-40420000,-40420000,411183000,92946000,318237000,33786000,26353000,487563000,5487000,27061000,27061000,32548000,520111000,146233000,140783000,146233000,5762000,573876000,720109000,2241306000,-2438766000,-2538000,-199998000,-199998000,520111000,-40420000,870000,18878000,-33978000,-54650000,-377000,91717000,91340000,19551677.6564052,199713.523148649,-1083000,35607000,35607000,34725000,-28316000,568114000,-0.3574,-0.49497,0.2021,-0.07771,3.33415,-3.60058,1.09229,-1.21971,-1.21971,2.4642,-6.03512,-0.10811,-5.54213,-5.37693
"35","2021_Q3",15.9975,"Down",43816000,-67226000,-29713000,-37513000,-23147000,-11756000,833000,-34903000,-34458000,-34458000,-11094000,-11094000,-11094000,414423000,145620000,268803000,33432000,25375000,493105000,4610000,25509000,25509000,30119000,523224000,145281000,137244000,145281000,5323000,581138000,726419000,2249530000,-2449860000,-2865000,-203195000,-203195000,523224000,-34458000,791000,14734000,3752000,4847000,-20000,48335000,48315000,17999.9999999925,18000,-224000,52938000,52938000,53298000,-22356000,575815000,-0.52828,-0.2532,0.0546,-0.0212,3.39415,-3.57498,1.10051,-0.33477,-0.33477,1.32219,-6.1316,-0.02935,-7.21918,-6.97248
"36","2021_Q4",16.85703125,"Up",66640000,-85983000,-41271000,-44712000,-19567000,-13885000,210000,-33452000,-16941000,-16941000,-3632000,-3632000,-3632000,420130000,68329000,351801000,30041000,21405000,496335000,3799000,22940000,22940000,26739000,523074000,143853000,139959000,143853000,4843000,535251000,679104000,2300426000,-2453492000,-2964000,-156030000,-156030000,523074000,-16941000,769000,1550000,-2080000,3165000,397000,-84257000,-83860000,-75825000,0,3390000,-77305000,-77305000,-76712000,-18798000,530408000,-0.29362,-0.0545,0.02328,-0.00694,3.45029,-4.35239,1.01402,-0.11444,-0.11444,2.09982,-4.9165,-0.00958,-5.86648,-5.63592
"37","2022_Q1",15.6635483870968,"Down",171351000,-152881000,-100600000,-52281000,16141000,-15550000,-234000,591000,393000,393000,-36280000,-36280000,-36280000,419689000,84709000,334980000,59992000,21735000,515901000,3281000,7841000,7841000,11122000,527023000,112381000,103780000,168161000,3042000,542824000,710985000,2308683000,-2489772000,-2873000,-183962000,-183962000,527023000,393000,548000,26064000,17889000,4999000,-397000,15328000,14931000,0,0,-965000,18965000,18965000,17444000,16689000,539782000,0.0942,-0.21173,0.19721,-0.06884,3.0679,-3.86485,1.02421,-1.14318,-1.14318,5.39926,-5.79663,-0.1011,7.19594,7.44025
"38","2022_Q2",16.0114516129032,"Up",88582000,-98096000,-50007000,-48089000,-10272000,-7012000,-339000,-17284000,-17284000,-17284000,-17284000,-17284000,-17284000,395702000,48320000,347382000,35507000,24354000,477353000,3059000,22945000,22945000,26004000,503357000,151036000,147060000,151036000,7197000,724082000,875118000,2007714000,-2375988000,-3487000,-371761000,-371761000,503357000,-17284000,375000,9571000,-12786000,-20124000,-7000.00000000012,-14213000,-14220000,402875254.144672,-27866.2202731153,-318000,-34662000,-34662000,-34936000,-9897000,716885000,-0.11596,-0.19512,0.04649,-0.03434,3.16052,-2.35398,1.42421,-0.58465,-0.58465,2.99638,-12.57521,-0.04906,-32.45256,-31.26782
"39","2022_Q3",16.1034375,"Up",42321000,-72362000,-27732000,-44630000,-29815000,-6672000,-3000,-36487000,-36487000,-36487000,-7528000,-7528000,-7528000,404776000,58019000,346757000,54723000,17307000,487015000,1002000,10580000,10580000,11582000,498597000,94999000,86364000,151427000,3144000,717003000,868430000,2016231000,-2383516000,-2548000,-369833000,-369833000,498597000,-36487000,36000,6353000,10483000,14738000,-524000,-54000,-578000,1284477512.43401,-56848.6608193459,-3924000,10236000,10236000,7533000,-29779000,713859000,-0.7045,-0.17788,0.02036,-0.0151,3.21617,-2.34817,1.43174,-0.25464,-0.25464,1.43155,-12.51,-0.02168,-10.37923,-10.36669
