"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",6.50677419354839,"Down",100441000,-62185000,38256000,-6568000,-16452000,-3623000,13507000,31688000,332000,399000,-67000,32020000,29532000,-11693000,17839000,17839000,17839000,17839000,189399000,189399000,54734000,54734000,24284000,19334000,5564000,287751000,1010418000,330856000,73765000,170052000,1341274000,1629025000,57170000,13759000,32094000,41225000,41225000,98395000,588938000,176769000,144655000,32114000,765707000,864102000,696919000,68309000,-305000,764923000,764923000,1629025000,43326000,-34639000,-34639000,-34639000,18748000,9099000,9099000,-13797000,14050000,22737000,22737000,22737000,588938000,0.38088,0.31549,0.17761,0.02332,0.01095,2.92445,1.12966,0.36153,0.23982,0.23416,1.35027,10.28316,0.01165,12.60853
"12","2013_Q1",6.7115,"Up",92284000,-25403000,66881000,-35857000,-15019000,-2784000,-18054000,31024000,-406000,484000,-890000,30618000,28235000,-11524000,16711000,16711000,16711000,15019000,254418000,254418000,56135000,56135000,26335000,30278000,4816000,367166000,1210693000,338482000,70502000,180941000,1549175000,1916341000,45897000,13834000,26704000,42755000,42755000,88652000,769514000,181617000,167821000,13796000,951131000,1039783000,793511000,83328000,-281000,876558000,876558000,1916341000,41308000,-220311000,-220311000,-222199000,152661000,87399000,87399000,5850000,245910000,65019000,65019000,65019000,769514000,0.72473,0.33618,0.16275,0.01713,0.00784,4.14166,1.18621,0.40155,0.19829,0.17655,1.2184,11.57294,0.00822,16.60315
"13","2013_Q2",7.02765625,"Up",89189000,-25596000,63593000,-38255000,-18365000,-1659000,-18231000,25338000,-759000,637000,-1396000,24579000,22483000,-7549000,14934000,14934000,14934000,13184000,271925000,205310000,57210000,57210000,26426000,27673000,5212000,383234000,1242526000,350815000,67240000,196536000,1593341000,1976575000,76719000,27284000,35398000,42945000,42945000,119664000,769179000,195880000,175168000,20712000,965059000,1084723000,795725000,96494000,-367000,891852000,891852000,1976575000,57196000,-19244000,-19244000,-90934000,-130000,63633193.7440393,63633193.7440393,-15240000,-15370000.0000001,-49108000,-49108000,-49108000,769179000,0.71301,0.28409,0.14782,0.01478,0.00667,3.20258,1.21626,0.38915,0.17174,0.15085,1.1618,11.6175,0.0071,19.62483
"14","2013_Q3",7.48546875,"Up",94684000,-27099000,67585000,-38737000,-18399000,-1741000,-18597000,28848000,-228000,641000,-869000,28620000,26600000,-11187000,15413000,15413000,15413000,13663000,275689000,196848000,55091000,55091000,28914000,16326000,5285000,376020000,1345535000,353023000,63977000,202007000,1698558000,2074578000,56955000,14871000,35482000,44171000,44171000,101126000,853552000,212292000,174633000,37659000,1065844000,1166970000,798354000,110157000,-903000,907608000,907608000,2074578000,43066000,-132444000,-132444000,-145154000,95355000,20999.9999999702,20999.9999999702,-1750000,93626000,-8461999.99999999,-8461999.99999999,-8461999.99999999,853552000,0.7138,0.30468,0.1443,0.01505,0.00659,3.71833,1.28576,0.41143,0.17767,0.15605,1.23126,11.80244,0.00692,20.0313
"15","2013_Q4",6.04484375,"Down",100569000,13132000,113701000,-84250000,-18290000,-3125000,-62835000,29451000,-544000,557000,-1101000,28907000,27021000,-10436000,16585000,16585000,16585000,14835000,270322000,196997000,64550000,64550000,28188000,15419000,4767000,378479000,1451311000,363882000,60715000,216128000,1815193000,2193672000,66036000,9156000,39968000,44244000,44244000,110280000,936290000,221932000,184776000,37156000,1158222000,1268502000,800956000,124992000,-778000,925170000,925170000,2193672000,44070000,-111757000,-111757000,-106247000,77574000,-10000,-10000,-15238000,62326000,149000,149000,149000,936290000,1.13058,0.29284,0.14751,0.01603,0.00676,3.43198,1.3711,0.42681,0.19275,0.16927,1.30672,12.02097,0.00712,22.61275
"16","2014_Q1",6.68950819672131,"Up",98207000,-71845000,26362000,-105000.000000015,-20164000,-4624000,24683000,26257000,9810000,441000,9369000,36067000,34361000,-18776000,15585000,15585000,15585000,13835000,262989000,186342000,54758000,54758000,29532000,22279000,13203000,369558000,1575579000,364659000,57452000,220168000,1940238000,2309796000,60132000,12934000,39209000,41367000,41367000,101499000,1039203000,229599000,202825000,19774000,1268802000,1370301000,801339000,138845000,-689000,939495000,939495000,2309796000,38716000,-140102000,-140102000,-143501000,95901000,14000,14000,-1785000,94130000,-10655000,-10655000,-10655000,1039203000,0.26843,0.26736,0.14088,0.01473,0.00599,3.641,1.45855,0.44991,0.17966,0.15821,1.27533,12.20044,0.00627,29.56217
"17","2014_Q2",7.52047619047619,"Up",98032000,-28115000,69917000,-41573000,-19186000,-2121000,-20266000,28344000,287000,637000,-350000,28631000,27132000,-10589000,16543000,16543000,16543000,14793000,255208000,184484000,58356000,58356000,29385000,18533000,12852000,361482000,1626149000,375826000,54190000,234597000,2001975000,2363457000,67278000,6437000,40794000,39730000,39730000,107008000,1064487000,235651000,208637000,27014000,1300138000,1407146000,803146000,153638000,-473000,956311000,956311000,2363457000,42465000,-58519000,-58519000,-52661000,23456000,2000,2000,-15120000,8338000,-1858000,-1858000,-1858000,1064487000,0.71321,0.28913,0.1509,0.01547,0.00626,3.37808,1.47143,0.45039,0.19191,0.16866,1.27179,12.40641,0.00656,28.55204
"18","2014_Q3",8.67125,"Up",102521000,934999.999999996,103456000,-73743000,-18493000,-4645000,-50605000,29713000,-3064000,725000,-3789000,26649000,25189000,-10170000,15019000,15019000,15019000,12167000,500487000,336328000,70261000,70261000,28830000,16866000,11498000,616444000,1654862000,358974000,50927000,221008000,2013836000,2630280000,61927000,15872000,37349000,40341000,40341000,102268000,1084425000,252688000,219017000,33671000,1337113000,1439381000,1025291000,165805000,-197000,1190899000,1190899000,2630280000,48732000,-49554000,-49554000,-143145000,17206000,219821000,219821000,9230000,246257000,151844000,151844000,151844000,1084425000,1.00912,0.28982,0.11868,0.01022,0.00463,6.02773,1.20865,0.41229,0.1401,0.14284,1.18049,13.71277,0.00481,19.65261
"19","2014_Q4",9.35453125,"Up",107493000,-15244000,92249000,-59236000,-18277000,-4910000,-36049000,33013000,897000,1262000,-365000,33910000,32456000,-12068000,20388000,20388000,20388000,16529000,523080000,307121000,60280000,60280000,29352000,25719000,1e+07,638431000,1689765000,357724000,47665000,223020000,2047489000,2685920000,74471000,11224000,41757000,38072000,38072000,112543000,1089540000,273792000,241530000,32262000,1363332000,1475875000,1028520000,182334000,-809000,1210045000,1210045000,2685920000,62138000,-36856000,-36856000,-89120000,4631000.00000001,446000,446000,-7302000,-2225000,-29207000,-29207000,-29207000,1089540000,0.85819,0.30712,0.15377,0.01366,0.00615,5.67277,1.21969,0.40565,0.1755,0.14866,1.14132,12.84781,0.00642,17.1587
"20","2015_Q1",9.3172131147541,"Down",100511000,-74230000,26281000,5560000,-22680000,-5911000,34151000,31841000,1246000,1016000,230000,33087000,31675000,-8636000,23039000,23039000,23039000,19180000,472385000,211249000,50672000,50672000,28433000,21623000,10614000,573113000,1971839000,364729000,47416000,230274000,2336568000,2909681000,65685000,17677000,38419000,36665000,36665000,102350000,1291401000,284066000,245042000,18335000,1575467000,1677817000,1033176000,201514000,-2826000,1231864000,1231864000,2909681000,61537000,-296136000,-296136000,-341328000,189325000,889000,889000,-3740000,186474000,-93317000,-93317000,-95872000,1291401000,0.26147,0.31679,0.19082,0.01557,0.00659,5.59954,1.36201,0.44383,0.20359,0.12493,1.06689,13.07586,0.00683,25.72206
"21","2015_Q2",10.281746031746,"Up",97007000,-10647000,86360000,-52887000,-20524000,-4126000,-28237000,33473000,1023000,1237000,-214000,34496000,33579000,-12560000,21019000,21019000,21019000,17160000,488198000,217778000,50897000,50897000,27003000,36188000,9304000,602286000,2015648000,363467000,47167000,229261000,2379115000,2981401000,69372000,6774000,38054000,36455000,36455000,105827000,1313769000,311166000,272717000,17923000,1624935000,1730762000,1036225000,218674000,-4260000,1250639000,1250639000,2981401000,51531000,-50053000,-50053000,-59463000,20719000,340000,340000,-6483000,14576000,6644000,6644000,6529000,1313769000,0.89025,0.34506,0.17689,0.01372,0.00576,5.69123,1.3839,0.44065,0.18154,0.1403,1.02624,13.23049,0.00597,24.66379
"22","2015_Q3",7.26125,"Down",101919000,-9280999.99999999,92638000,-50304000,-18742000,-4422000,-27140000,42334000,1007000,792000,215000,43341000,42411000,-16423000,25988000,25988000,25988000,22129000,476848000,198874000,56634000,56634000,32172000,25964000,10334000,591618000,2140808000,363580000,46984000,229557000,2504388000,3096006000,71850000,27637000,33316000,38148000,38148000,109998000,1393149000,316159000,277312000,18027000,1709308000,1819306000,1040013000,240803000,-4116000,1276700000,1276700000,3096006000,41183000,-124153000,-124153000,-132279000,74445000,1734000,1734000,-3834000,72345000,-18751000,-18751000,-18904000,1393149000,0.90894,0.41537,0.21712,0.01733,0.00715,5.37844,1.42501,0.44998,0.23277,0.17958,1.07208,13.42948,0.00741,21.64456
"23","2015_Q4",7.61703125,"Up",106034000,-11559000,94475000,-47936000,-17534000,-3480000,-26922000,46539000,151000,263000,-112000,46690000,45916000,-16369000,29547000,29547000,29547000,25688000,512570000,290682000,50996000,50996000,31118000,26869000,13129000,621553000,2229515000,363094000,46787000,229268000,2592609000,3214162000,75952000,34252000,33259000,36122000,36122000,112074000,1444038000,356834000,290850000,36980000,1800872000,1912946000,1041798000,266491000,-7073000,1301216000,1301216000,3214162000,70224000,-77591000,-77591000,-21589000,47641000,0,0,-3874000,43767000,92402000,92402000,91808000,1444038000,0.89099,0.43891,0.24226,0.01974,0.00799,5.54592,1.47012,0.44927,0.26949,0.20983,1.11238,13.65074,0.00828,20.01478
"24","2016_Q1",7.18639344262295,"Down",106418000,-69626000,36792000,1703999.99999999,-24645000,-4116000,30465000,38496000,420000,777000,-357000,38916000,-48791000,-20640000,-69431000,-69431000,-69431000,-73290000,388994000,185665000,51668000,51668000,27926000,13130000,13130000,481718000,2443567000,145889000,46589000,99300000,2589456000,3071174000,64647000,31525000,29402000,36967000,36967000,101614000,1388766000,352073000,296832000,26674000,1740839000,1842453000,1044488000,193201000,-8968000,1228721000,1228721000,3071174000,54541000,-243013000,-243013000,-226043000,72632000,80000,80000,-1325000,71387000,-100115000,-100115000,-100008000,1388766000,0.34573,0.36174,-0.6887,-0.05965,-0.02386,4.74067,1.49949,0.45219,-0.76766,-5.89954,1.11465,12.86996,-0.02468,25.9708
"25","2016_Q2",8.215625,"Up",104202000,-10463000,93739000,-50461000,-19063000,-2559000,-28839000,43278000,745000,758000,-13000,44023000,43520000,-1.5e+07,28520000,28520000,28520000,24661000,412137000,287202000,53284000,53284000,25201000,15757000,15757000,506379000,2516765000,156340000,46389000,109951000,2673105000,3179484000,45255000,8439000,27576000,36307000,36307000,81562000,1460447000,379846000,311904000,39404000,1840293000,1921855000,1046738000,217862000,-6971000,1257629000,1257629000,3179484000,47019000,-75822000,-75822000,2357000,67466000,17000,17000,-15415000,52068000,101444000,101444000,101537000,1460447000,0.89959,0.41533,0.23667,0.01961,0.00776,6.20852,1.52816,0.45933,0.25781,0.20044,1.08934,13.14741,0.00796,24.2227
"26","2016_Q3",8.38796875,"Up",109195000,-11859000,97336000,-55607000,-22303000,-4013000,-29291000,41729000,1133000,8e+05,333000,42862000,42494000,-15640000,26854000,26854000,26854000,22995000,443088000,366981000,58544000,58544000,22420000,12846000,12846000,536898000,2576426000,159842000,46189000,113653000,2736268000,3273166000,47881000,11960000,31919000,37737000,37737000,85618000,1519195000,381922000,326937000,27352000,1901117000,1986735000,1051339000,240857000,-5765000,1286431000,1286431000,3273166000,61816000,-80980000,-80980000,-32308000,53807000,63000,62999.9999999999,-3983000,49887000,79395000,79395000,79779000,1519195000,0.8914,0.38215,0.21059,0.01788,0.00703,6.27085,1.54438,0.46414,0.23976,0.186320000000001,1.13854,13.41318,0.00721,25.78799
"27","2016_Q4",8.92253968253968,"Up",112794000,-11476000,101318000,-51550000,-18767000,-5038000,-27745000,49768000,739000,7e+05,39000,50507000,50202000,-18647000,31555000,31555000,31555000,27696000,426374000,374006000,61608000,61608000,21419000,21798000,21798000,531199000,2696208000,170813000,45992000,124821000,2867021000,3398220000,77006000,37661000,29391000,37682000,37682000,114688000,1546777000,417871000,344676000,40941000,1964648000,2079336000,1055982000,268553000,-5651000,1318884000,1318884000,3398220000,55724000,-74989000,-74989000,-51415000,17169000,310000,310000,-14774000,2704999.99999999,7014000,7014000,7025000,1546777000,0.89826,0.44123,0.24554,0.021,0.00815,4.63169,1.57659,0.45517,0.28818,0.22377,1.17364,13.72322,0.00843,22.51252
"28","2017_Q1",9.54112903225806,"Up",107449000,-75446000,32003000,9593000,-22419000,-4469000,36481000,41596000,-823000,676000,-1499000,40773000,41949000,-17846000,24103000,24103000,24103000,20244000,410495000,371167000,57373000,57373000,18204000,30698000,30698000,516770000,2813084000,169771000,45796000,123975000,2982855000,3499625000,49107000,11131000,23840000,34087000,34087000,83194000,1657145000,415528000,361656000,17455000,2072673000,2155867000,1060311000,288797000,-5350000,1343758000,1343758000,3499625000,60640000,-173896000,-173896000,-160994000,101250000,159000,159000,18109000,119518000,19164000,19164000,19188000,1657145000,0.29784,0.38712,0.18841,0.01507,0.00578,6.21163,1.60436,0.47352,0.21044,0.1566,1.11696,13.96867,0.00593,29.97043
"29","2017_Q2",10.4496825396825,"Up",104426000,-10104000,94322000,-52909000,-19217000,-3227000,-30465000,41413000,771000,833000,-62000,42184000,56348000,-18400000,37948000,37948000,37948000,34089000,419135000,386201000,57547000,57547000,17767000,22276000,22276000,516725000,2879265000,197113000,51143000,145970000,3076378000,3593103000,69663000,10384000,23897000,34632000,34632000,104295000,1684379000,421302000,379447000,4237000,2105681000,2209976000,1063347000,322886000,-3106000,1383127000,1383127000,3593103000,63864000,-48944000,-48944000,-42616000,20739000,342000,342000,-5557000,15524000,36772000,36772000,37020000,1684379000,0.90324,0.39658,0.32644,0.02465,0.00949,4.95446,1.59781,0.46878,0.35197,0.26976,1.07819,14.28068,0.00977,30.55186
"30","2017_Q3",10.3661904761905,"Down",111604000,-10868000,100736000,-64994000,-20411000,-3014000,-41569000,35742000,751000,832000,-81000.0000000002,36493000,36518000,-11740000,24778000,24778000,24778000,20919000,356521000,335199000,63379000,63379000,20422000,22660000,22660000,462982000,3111042000,196579000,50784000,145795000,3307621000,3770603000,171446000,128254000,28920000,36641000,36641000,208087000,1688420000,461552000,390974000,33075000,2149972000,2358059000,1069436000,347664000,-4556000,1412544000,1412544000,3770603000,56002000,-119228000,-119228000,-107655000,-65000,1230000,1230000,-55000,1110000,-50543000,-50543000,-50862000,1688420000,0.90262,0.32026,0.18744,0.01481,0.00555,2.22494,1.66937,0.44779,0.21347,0.16478,1.13887,14.41445,0.00587,37.26425
"31","2017_Q4",11.5580952380952,"Up",116547000,-12186000,104361000,-66279000,-18471000,-3981000,-43827000,38082000,1226000,1246000,-20000,39308000,39308000,-10055000,29253000,29253000,29253000,25394000,350361000,330061000,61032000,61032000,17531000,23840000,23840000,452764000,3170074000,161751000,50383000,111368000,3331825000,3784589000,122997000,54973000,31867000,40048000,40048000,163045000,1695832000,476749000,400462000,32331000,2172581000,2335626000,1075535000,376916000,-3488000,1448963000,1448963000,3784589000,83352000,-122540000,-122540000,-121529000,-1879000,1556000,1556000,-52000.0000000019,-374999.999999996,-38552000,-38552000,-38342000,1695832000,0.89544,0.32675,0.21789,0.01753,0.00671,2.77693,1.61193,0.44809,0.25833,0.19964,1.18563,14.74021,0.00701,35.33089
"32","2018_Q1",11.9696721311475,"Up",115469000,-91683000,23786000,-37736000,-26306000,-5025000,-6405000,-13950000,1348000,1417000,-69000,-12602000,-12602000,154479000,141877000,141877000,141877000,138018000,297626000,285873000,68031000,68031000,20068000,25347000,25347000,411072000,3210162000,160817000,50019000,110798000,3370979000,3782051000,90336000,43100000,32215000,38390000,38390000,214226000,1618055000,353301000,246170000,59519000,1971356000,2185582000,1081373000,518794000,-3698000,1596469000,1596469000,3782051000,56403000,-109395000,-109395000,-100880000,-440000,1107000,1107000,-60000,607000,-43870000,-43870000,-43865000,1703555000,0.20599,-0.12081,1.19528,0.08645,0.03649,1.91887,1.36901,0.45043,1.39995,1.04557,1.17123,16.19334,0.03778,-100.78344
"33","2018_Q2",13.6028125,"Up",119148000,-34166000,84982000,-65543000,-22495000,-4583000,-38465000,19439000,-4128000,-4165000,37000,15311000,15311000,-3839000,11472000,11472000,11472000,7613000,450732000,430721000,75130000,75130000,20283000,26040000,26040000,572185000,3291431000,248165000,49652000,198513000,3539596000,4111781000,122176000,35008000,49560000,19357000,19357000,213533000,1977884000,312146000,253394000,4188000,2290030000,2503563000,1085257000,526568000,-3607000,1608218000,1608218000,4111781000,58277000,-82961000,-82961000,-91245000,340555000,769000,769000,-76768000,264556000,231588000,231588000,231646000,2049884000,0.71325,0.16315,0.0639,0.00473,0.00185,2.67961,1.55673,0.49854,0.07561,0.07296,1.18336,15.97261,0.00192,82.26514
"34","2018_Q3",19.4222222222222,"Up",134931000,-38263000,96668000,-80323000,-24266000,-5566000,-50491000,16345000,-12920000,-12985000,65000,3425000,3425000.00000001,-7843000,-4418000,-4418000,-4418000,-6527000,375944000,176105000,74719000,74719000,20212000,25048000,25048000,495923000,3334758000,249200000,49250000,199950000,3583958000,4079881000,98003000,25725000,40503000,21692000,21692000,227695000,1922115000,323358000,260643000,4150000,2245473000,2473168000,1091116000,522150000,-6553000,1606713000,1606713000,4079881000,82811000,-132070000,-132070000,-311813000,-27126000,2227000,2227000,-107000,-25006000,-254008000,-254008000,-254001000,2030115000,0.71643,0.12114,-0.04837,-0.00406000000000002,-0.0016,2.17801,1.53927,0.49759,-0.05871,-0.05702,1.21376,14.45302,-0.00165,101.20349
