"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.7640322580645,"Up",748125000,-310344000,437781000,-285442000,-204498000,-80944000,152339000,-69127000,-61381000,-7746000,83212000,1627000,84839000,-31120000,53719000,53751000,-942000,52809000,52809000,334583000,334583000,576500000,576500000,154901000,113896000,1065984000,2410124000,4358067000,-1947943000,2851467000,443418000,2336099000,71950000,5261591000,6327575000,504472000,124762000,379710000,71380000,196763000,196763000,772615000,3668047000,587788000,434854000,55043000,4255835000,5028450000,355800000,1721000,354079000,18270000,1287209000,11916000,1299125000,6327575000,53719000,82621000,11042000,-52584000,88547000,-63465000,1069000,-2330000,-64726000,-46336000,173654000,-2e+06,136617000,160438000,160438000,3915000,164353000,234960000,3739427000,150031000,0.58517,0.20363,0.07059,0.04065,0.00835,2.84101,1.37971,3.87064,0.59097,0.30743,0.30517,4.35524,7.49353,0.87341,0.26975,0.01762,0.02667,0.87743,14.49116,22.35044
"12","2013_Q1",17.0285,"Up",757167000,-338411000,418756000,-311580000,-231698000,-79882000,107176000,-65772000,-64218000,-1554000,41404000,-5970000,35434000,-8960000,26474000,25400000,-692000,24708000,24708000,243415000,243415000,572200000,572200000,208477000,164713000,1024092000,2477727000,4443323000,-1965596000,2856520000,456120000,2334759000,65641000,5334247000,6358339000,594933000,168120000,426813000,92887000,217133000,217133000,904953000,3732116000,558822000,398549000,62917000,4290938000,5195891000,944099000,1900000,942199000,20314000,1149971000,12477000,1162448000,6358339000,26474000,81709000,-15870000,39686000,131999000,-90990000,-18913000,3e+06,-106903000,-186538000,52434000,718000,-115470000,-90374000.0000001,-90374000.0000001,-794000,-91168000,188885000,3825003000,146541000,0.55306,0.14155,0.03263,0.02126,0.00389,5.93091,1.13165,4.46978,0.60157,0.13725,0.13578,4.20592,6.38788,0.81401,1.03618,0.03809,0.02642,7.5497,18.96174,33.41782
"13","2013_Q2",17.3365625,"Up",747031000,-321076000,425955000,-303652000,-223451000,-80201000,122303000,-65921000,-63182000,-2739000,56382000,539000,56921000,-38571000,18350000,20534000,-1148000,19386000,19386000,229999000,229999000,571402000,571402000,199735000,166122000,1001136000,2478111000,4470141000,-1992030000,2818933000,446289000,2308720000,63924000,5297044000,6298180000,537991000,168590000,369401000,91853000,214734000,214734000,844578000,3757853000,567672000,408130000,66397000,4325525000,5170103000,956707000,1906000,954801000,5352000,1114555000,13522000,1128077000,6298180000,18350000,82111000,13353000,-8079000,106605000,-100571000,74000,-1000,-100508000,-51662000,31139000,1430000,-14088000,-7991000,-7991000,-5425000,-13416000,204414000,3849706000,134335000,0.5702,0.16372,0.02595,0.01718,0.00308,6.92949,1.18537,4.58311,0.61124,0.10192,0.10091,3.92734,5.85951,0.70623,0.2716,0.01281,0.02422,2.66491,17.70773,29.59622
"14","2013_Q3",13.7840625,"Down",754071000,-321056000,433015000,-303459000,-224531000,-78928000,129556000,-78264000,-62989000,-15275000,51292000,1663000,52955000,-25813000,27142000,27044000,-876000,26168000,26168000,258866000,258866000,581481000,581481000,205635000,156104000,1045982000,2452309000,4465713000,-2013404000,2836528000,457710000,2317157000,61661000,5288837000,6334819000,537760000,141686000,396074000,324682000,210483000,210483000,1072925000,3614018000,554337000,393596000,66552000,4168355000,5241280000,975006000,1911000,973095000,-21697000,1080273000,13266000,1093539000,6334819000,27142000,80792000,58496000,-59217000,107296000,-63031000,-52866000,0,-115905000,-51647000,81634000,1127000,41006000,32397000,32397000,-3530000,28867000,210348000,3938700000,113913000,0.57424,0.17181,0.0347,0.02393,0.00413,4.35314,0.97489,4.79295,0.62175,0.13713,0.13589,3.95168,5.66113,0.59696,0.27065,0.01393,0.02039,1.97367,17.49403,28.40342
"15","2013_Q4",14.03203125,"Up",755314000,-310665000,444649000,-304864000,-225205000,-79659000,139785000,-110438000,-64485000,-45953000,29347000,-257000,29090000,-23760000,5330000,4759000,-910000,3849000,3849000,172031000,172031000,614649000,614649000,155798000,106357000,942478000,2505982000,4581272000,-2075290000,2932319000,488308000,2376081000,67930000,5438301000,6380779000,567582000,164969000,402613000,51533000,209385000,209385000,828500000,3973799000,506314000,336219000,70789000,4480113000,5308613000,984355000,1912000,982443000,-4497000,1058720000,13446000,1072166000,6380779000,5330000,81168000,97200000,-63017000,120681000,-55441000,-69889000,0,-130249000,-51718000,-17755000,-7079000,-76723000,-86291000,-86291000,-544000,-86835000,220953000,4025332000,126255000,0.58869,0.18507,0.0051,0.00359,6e-04,32.80203,1.13757,4.9513,0.63085,0.02012,0.02002,3.94768,5.53345,0.65988,0.27031,0.00992,0.02253,13.43674,17.43946,27.56591
"16","2014_Q1",14.1398360655738,"Up",768207000,-336081000,432126000,-334093000,-250844000,-83249000,98033000,-74753000,-63518000,-11235000,23280000,-958000,22322000,26017000,48339000,47655000,-596000,47059000,47059000,120526000,120526000,616797000,616797000,196284000,144801000,933607000,2578260000,4631067000,-2052807000,3141138000,605484000,2463352000,72302000,5719398000,6653005000,677794000,216456000,461338000,52583000,238724000,238724000,969101000,4119139000,513031000,340568000,68219000,4632170000,5601271000,982078000,1914000,980164000,59160000,1041238000,10496000,1051734000,6653005000,48339000,85224000,-132578000,171979000,172964000,-77211000,-194419000,-19395000,-291025000,-51771000,137233000,-20031000,68369000,-49692000,-49692000,-1813000,-51505000,183257000,4171722000,252008000,0.56251,0.12761,0.06126,0.04474,0.00707,5.35515000000002,0.96337,5.32575,0.62704,0.2456,0.2442,4.00924,5.43418,1.31522,0.27019,0.01723,0.04393,1.10013,22.10664,41.32482
"17","2014_Q2",15.1414285714286,"Up",770126000,-335145000,434981000,-301213000,-214780000,-86433000,133768000,-67629000,-62312000,-5317000,66139000,6316000,72455000,-29734000,42721000,42109000,-442000,41667000,41667000,169906000,169906000,626116000,626116000,191607000,131772000,987629000,2561786000,4642183000,-2080397000,3157202000,619610000,2466001000,71591000,5718988000,6706617000,585334000,167637000,417697000,55084000,227432000,227432000,867850000,4288605000,498991000,319128000,69944000,4787596000,5655446000,986504000,1919000,984585000,-6983000,1042818000,8353000,1051171000,6706617000,42721000,88339000,-22790000,-52629000,55641000,-98122000,-30781000,0,-128903000,-52735000,174081000,-2924000,120839000,47577000,47577000,1803000,49380000,222107000,4343689000,101090000,0.56482,0.1737,0.0541,0.03964,0.00621,2.42614,1.13802,5.38014,0.64767,0.21715,0.21581,4.0136,5.43477,0.52684,0.27483,0.01602,0.01715,1.26562999999999,18.79177,31.20166
"18","2014_Q3",18.28375,"Up",786892000,-336961000,449931000,-302748000,-213807000,-88941000,147183000,-57363000,-62201000,4838000,89820000,107000,89927000,182775000,272702000,272376000,-739000,271637000,271637000,145343000,145343000,636978000,636978000,180547000,145017000,962868000,2606903000,4737922000,-2131019000,3165353000,623648000,2473336000,68369000,5772256000,6735124000,606788000,162036000,444752000,56604000,238316000,238316000,901708000,4297942000,238324000,64014000,66497000,4536266000,5437974000,1014122000,1930000,1012192000,-2335000,1288135000,9015000,1297150000,6735124000,272702000,90736000,-221856000,-1622000,139960000,-90225000,-15585000,1.86264514923096e-09,-105810000,-52126000,-24633000,346000,-61012000,-26862000,-26862000,2299000,-24563000,237919000,4354546000,-36703000,0.57178,0.18704,0.3452,0.20941,0.04033,-0.135119999999947,1.06783,4.19225,0.64654,1.41197,1.40362,4.09028,6.69575,-0.19078,0.27095,0.05497,-0.00623,0.1919,17.69175,28.59843
"19","2014_Q4",21.49015625,"Up",782697000,-335506000,447191000,-305531000,-216337000,-89194000,141660000,-85728000,-63220000,-22508000,55932000,-184000,55748000,-54890000,858000,858000,-792000,66000,66000,183988000,183988000,618996000,618996000,173402000,128906000,976386000,2560704000,4665309000,-2104605000,3099249000,601295000,2421065000,76889000,5659953000,6636339000,1304881000,141645000,1163236000,60799000,232628000,232628000,1598308000,4331686000,238683000,60960000,72354000,4570369000,6168677000,1019365000,1937000,1017428000,-563593000,455772000,11890000,467662000,6636339000,858000,91028000,38438000,-24073000,106251000,-96579000,0,0,-96579000,-52157000,81878000,-14253000,35006000,44678000,44678000,-6033000,38645000,232688000,4392485000,166926000,0.57135,0.18099,8e-05,0.00014,1e-05,2529.18182,0.61089,13.19046,0.66188,0.00034,0.00034,4.04787,2.35712,0.86329,0.26974,0.01024,0.03274,790.25758,18.08644,29.70844
"20","2015_Q1",23.1911475409836,"Up",777978000,-337024000,440954000,-313223000,-224648000,-88575000,127731000,-115184000,-72984000,-42200000,12547000,1003000,13550000,-876000.00000003,12674000,13403000,-654000,12749000,12749000,125933000,125933000,604265000,604265000,187521000,139469000,917719000,2550727000,4668705000,-2117978000,3054819000,607837000,2423783000,23199000,5605546000,6523265000,607499000,203014000,404485000,52095000,197142000,197142000,856736000,4564359000,232215000,54658000,73506000,4796574000,5653310000,1590939000,2098000,1588841000,-734584000,856355000,13600000,869955000,6523265000,12674000,91049000,22101000,45272000,171096000,-47586000,-81727000,-19373000,-148686000,-385280000,305215000,-1845000,-74976000,-52566000,-52566000,-5489000,-58055000,218780000,4616454000,217342000,0.56679,0.16418,0.01639,0.01465,0.00195,17.0477699999997,1.07118,6.49839,0.70769,0.0626500000000003,0.0620400000000001,3.82314,4.2083,1.06806,1.89334,0.0696,0.03801,30.22041,20.52528,35.15608
"21","2015_Q2",21.2925396825397,"Down",749286000,-321654000,427632000,-282365000,-196414000,-85951000,145267000,-87247000,-64898000,-22349000,58020000,-333000,57687000,-15948000,41739000,41739000,-643000,41096000,41096000,119605000,119605000,590026000,590026000,177842000,136790000,887473000,2476802000,4597207000,-2120405000,3007179000,580441000,2358561000,68177000,5483981000,6371454000,480653000,184406000,296247000,54483000,185195000,185195000,720331000,4667359000,227262000,55878000,72363000,4894621000,5614952000,1592933000,2105000,1590828000,-850078000,742855000,13647000,756502000,6371454000,41739000,88043000,11157000,-135427000,5512000,-79228000,-6431000,9479000,-76180000,-102539000,168142000,-1104000,68863000,-1805000,-1805000,-4523000,-6328000,233310000,4721842000,34603000,0.57072,0.19387,0.05485,0.05432,0.00645,0.842,1.23203,7.42226,0.74109,0.19547,0.19362,3.56401,3.53342,0.16459,0.48773,0.02517,0.00606,2.49511000000017,19.72585,31.68123
"22","2015_Q3",18.42890625,"Down",759734000,-326283000,433451000,-303434000,-215885000,-87549000,130017000,-68091000,-66087000,-2004000,61926000,-515000,61411000,-7404000,54007000,54007000,-677000,53330000,53330000,117098000,117098000,596252000,596252000,161377000,139768000,874727000,2493013000,4681792000,-2188779000,3054837000,595468000,2388697000,70672000,5547850000,6422577000,496049000,162238000,333811000,70235000,185851000,185851000,752135000,4718915000,229302000,49842000,79124000,4948217000,5700352000,1605386000,2108000,1603278000,-896599000,708787000,13438000,722225000,6422577000,54007000,89817000,-7383000,37785000,174226000,-74838000,-15283000,15689000,-74432000,-100690000,-8152000,-580000,-104332000,-4538000,-4538000,2031000,-2507000,219834000,4789150000,190185000,0.57053,0.17113,0.0702,0.07384,0.0083,3.56619000000002,1.16299,7.89276,0.74567,0.25311,0.25147,3.60578,3.36398,0.90264,0.47789,0.02683,0.03313,1.88806,21.25264,35.93416
"23","2015_Q4",18.45765625,"Up",746529000,-317663000,428866000,-302185000,-215693000,-86492000,126681000,-100381000,-65135000,-35246000,26300000,991000,27291000,-3774000,23517000,23517000,-407000,23110000,23110000,492899000,492899000,573889000,573889000,161510000,139157000,1228298000,2428725000,4643654000,-2214929000,3012799000,575287000,2347064000,90448000,5441524000,6669822000,474854000,156845000,318009000,253726000,182197000,182197000,910777000,4920568000,218700000,47032000,74591000,5139268000,6050045000,1615566000,2111000,1613455000,-1008362000,607204000,12573000,619777000,6669822000,23517000,88575000,47655000,-19390000,140357000,-66691000,-6261000,-6263000,-79215000,-100483000,427876000,-10918000,321009000,382151000,382151000,-6350000,375801000,215256000,5174294000,132949000,0.57448,0.16969,0.03096,0.03729,0.00346,5.75288,1.34863,9.76165,0.77578,0.10957,0.10905,3.53953,2.87894,0.63035,0.47642,0.02056,0.02211,4.34803,21.74803,36.9542
"24","2016_Q1",18.3840983606557,"Down",752427000,-324425000,428002000,-302440000,-216968000,-85472000,125562000,-106742000,-67751000,-38991000,18820000,-2293000,16527000,-10587000,5940000.00000001,5940000,-235000,5705000,5705000,128381000,128381000,564401000,564401000,165130000,142951000,857912000,2497158000,4744236000,-2247078000,2995517000,603314000,2360978000,31225000,5492675000,6350587000,570651000,219590000,351061000,88068000,183112000,183112000,841831000,4757610000,222539000,55002000,71844000,4980149000,5821980000,1625976000,2113000,1623863000,-1117135000,508841000,19766000,528607000,6350587000,5940000,88278000,53820000,73627000,221665000,-99831000,-85583000,-41405000,-226819000,-102796000,-288758000,4342000,-394051000,-399205000,-399205000,827000.000000001,-398378000,213840000,4845678000,198223000,0.56883,0.16688,0.00758,0.01079,9e-04,34.74549,1.0191,11.01382,0.76303,0.02701,0.02688,3.56249,2.40919,0.93852,0.48671,0.01939,0.03542,18.01858,22.05994,37.56946
"25","2016_Q2",23.6390625,"Up",750690000,-326105000,424585000,-294970000,-207766000,-87204000,129615000,-55125000,-67062000,11937000,74490000,451000,74941000,-11900000,63041000,63041000,-267000,62774000,62774000,117945000,117945000,574717000,574717000,139234000,116973000,831896000,2539304000,4865424000,-2326120000,3051109000,618339000,2400719000,32051000,5590413000,6422309000,477428000,180259000,297169000,89974000,181091000,181091000,748493000,4931296000,221376000,50941000,74356000,5152672000,5901165000,1631090000,2119000,1628971000,-1134692000,496398000,24746000,521144000,6422309000,63041000,89953000,-8112000,-63764000,81118000,-86815000,-19340000,-1126000,-107281000,-104931000,125630000,537000,19261000,-6902000,-6902000,-3534000,-10436000,219568000,5021270000,80889000,0.56559,0.17266,0.08362,0.12045,0.00977,1.28857,1.11143,11.32348,0.78185,0.29677,0.29545,3.54893,2.34675,0.38241,0.49607,0.0291,0.01403,1.67157,22.33169,37.82992
"26","2016_Q3",25.3484375,"Up",883748000,-395649000,488099000,-392099000,-277077000,-115022000,9.6e+07,-100507000,-74866000,-25641000,-4506999.99999999,626000,-3881000.00000001,-10839000,-14720000,-13133000,-835000,-13968000,-13968000,236989000,236989000,710526000,710526000,341855000,192697000,1289370000,3196248000,5540949000,-2344701000,5255436000,1310809000,3840090000,104537000,8451684000,9741054000,635655000,220119000,415536000,112509000,233865000,212231000,982029000,6103058000,409937000,214526000,86367000,6512995000,7495024000,3495288000,2630000,3492658000,-1274213000,2221075000,24955000,2246030000,9741054000,-14720000,117925000,33807000,-12525000,125632000,-86803000,-203263000,-5296000,-295272000,-127665000,412811000,-12084000,293678000,124038000,124038000,-4994000,119044000,213925000,6215567000,125436000,0.55231,0.10863,-0.01581,-0.00622,-0.00143,-8.98024,1.31297,3.33701,0.63808,-0.0566900000000001,-0.05669,3.58683,9.01458,0.5091,0.51815,0.01282,0.01414,-9.13982,27.94707,62.27685
