"","YQ","p","d","revenue","cost_of_revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"13","2017_Q2",0.312857142857143,"Down",3764191,-1331188,-3865426,-3676710,-188716,-1432423,-130954,-130954,-1563377,-3784777,0,-3784777,-3784777,-3784777,-3784777,-3784777,56375,3470666,283323,25587,0,697438,697438,723025,723025,723025,-1376048,2424472,-0.06298,-0.06298,0.06263
"14","2017_Q3",0.256984126984127,"Down",4081832,-1237373,-3731419,-3525772,-205647,-886960,-132514,-132514,-1019474,-992186.000000001,-3.63797880709171e-12,-992186,-992186,-992186,-992186,-992186,48172,1002989,119717,178692,-6410,-55205,-55205.0000000001,117077,117077,117077,-838788,2126693,-0.01196,-0.01196,0.04919
"15","2017_Q4",0.28,"Up",5591210,-1593561,-4490416,-4311078,-179338,-492767,-108203,-108203,-600970,-589983,0,-589983,-589983,-589983,-589983,-589983,39747,1371804,-378631,442937,0,-18197,-18197,424740,424740,424740,-453020,1936128,-0.00668,-0.00668,0.06332
"16","2018_Q1",0.429180327868852,"Up",7242006,-2028453,-4889444,-4738816,-150628,324109,-146980,-134711,177129,-11693,481500,469807,469807,469807,469807,469807,38501,158089,2301391,2967788,-1993985,-32674,-504569,469234,469234,469234,362610,1576296,0.0036,0.0036,0.05542
"17","2018_Q2",1.176875,"Up",8070765,-2508862,-4894297,-4740593,-153704,667606,-48272,-48272,619334,619334,0,619334,619334,619334,619334,619334,119046,1050811,-134990,1654201,-208730,-349487,-349487,1095984,1095984,1095984,786652,1239969,0.00684,0.00648,0.08917
"18","2018_Q3",3.84079365079365,"Up",12348695,-3288619,-5762608,-5320604,-442004,3297468,-71558,-71558,3225910,3225910,-40000,3185910,3185910,3185910,3185910,3185910,125864,459356,-56019,3715111,-68800.0000000002,-410065,-302663,3343648,3343648,3343648,3423332,866818,0.03512,0.02724,0.13613
"19","2018_Q4",4.83793650793651,"Up",13600881,-3655458,-6419894,-5890332,-529562,3525529,-30556,-30556,3494973,3494973,-2e+05,3294973,3294973,3294973,3294973,3294973,130761,516196,614577,4556507,-146824,-866818,-630904,3778779,3778779,3778779,3656290,0,0.03595,0.02764,0.1484
"20","2019_Q1",4.93327868852459,"Up",14223659,-4913061,-6554201,-5794471,-759730,2756397,-2614,-2614,2753783,2753783,147000,2900783,2900783,2900783,2900783,2900783,143329,1283637,-1694568,2633181,-819646,600370,111054,1924589,1924589,1924589,2899726,474000,0.0306,0.02301,0.15006
"21","2019_Q2",4.89777777777778,"Down",14911000,-4352000,-19937000,-18595000,-1342000,-9378000,-6000,-6000,-9384000,-9384000,0,-9384000,-9384000,-9384000,-9384000,-9384000,177000,10097000,-129000,761000,-54000,-201000,-4000,703000,703000,703000,-9201000,273000,-0.0986,-0.0986,0.15668
"22","2019_Q3",3.456875,"Down",16854000,-4903000,-10697000,-9009000,-1688000,1254000,999.999999999999,1000,1255000,1255000,-26000,1229000,1229000,1229000,1229000,1229000,177000,2259000,-969000,2696000,-450000,-204000,-147000,2099000,2099000,2099000,1431000,69000,0.01206,0.01206,0.16532
"23","2019_Q4",1.56609375,"Down",12603000,-4175000,-10201000,-8657000,-1544000,-1773000,7000,7000,-1766000,-1766000,-3000,-1769000,-1769000,-1769000,-1769000,-1769000,179000,913000,-381000,-1058000,-397000,-69000,-44000,-1499000,-1499000,-1499000,-1594000,0,-0.01853,-0.01853,0.13203
"24","2020_Q1",0.826290322580645,"Down",9328000,-5178000,-11493000,-10190000,-1303000,-7343000,13000,13000,-7330000,-7330000,644000,-6686000,-6686000,-6686000,-6686000,-6686000,183000,2260000,-383000,-4626000,-246000,5.82076609134674e-11,242000,-4630000,-4630000,-4630000,-7160000,0,-0.06762,-0.06762,0.09434
"25","2020_Q2",0.627777777777778,"Down",8270000,-4262000,-9328000,-7819000,-1509000,-5320000,10000,10000,-5310000,-5310000,158000,-5152000,-5152000,-5152000,-5152000,-5152000,185000,1531000,1745000,-1691000,-480000,2188457.78345108,161000,-2010000,-2010000,-2010000,-5135000,0,-0.05169,-0.05169,0.08297
"26","2020_Q3",0.58296875,"Down",5396000,-3074000,-6979000,-6233000,-746000,-4657000,-4000,-4000,-4661000,-4661000,-20000.0000000001,-4681000,-4681000,-4681000,-4681000,-4681000,204000,1649000,415000,-2413000,-25999.9999999999,2906000,2918000,479000,479000,479000,-4453000,2906000,-0.04687,-0.04687,0.05403
"27","2020_Q4",0.50375,"Down",5564000,-3106000,-5609000,-5197000,-412000,-3151000,-6000,-6000,-3157000,-3157000,0,-3157000,-3157000,-3157000,-3157000,-3157000,240000,297000,892000,-1728000,-288000,0,3000,-2013000,-2013000,-2013000,-2911000,2906000,-0.03159,-0.03159,0.05567
"28","2021_Q1",0.618852459016393,"Up",5199000,-2978000,-11685000,-11409000,-276000,-9464000,-9000,-9000,-9473000,-9473000,179000,-9294000,-9294000,-9294000,-9294000,-9294000,243000,7039000,544000,-1468000,-263000,2.3283064365387e-10,192000,-1539000,-1539000,-1539000,-9221000,3627000,-0.09279,-0.09279,0.05191
"29","2021_Q2",0.411111111111111,"Down",4844000,-2486000,-5471000,-5285000,-186000,-3113000,-14000,-14000,-3127000,-3127000,127972.520995468,-3127000,-3127000,-3127000,-3127000,-3127000,204000,926000,308000,-1689000,-35000,-357000,2865000,1141000,1141000,1141000,-2909000,3270000,-0.02992,-0.02992,0.04635
"30","2021_Q3",0.3053125,"Down",5128000,-2838000,-5800000,-5575000,-225000,-3510000,-9000,-9000,-3519000,-3519000,-11000,-3530000,-3530000,-3530000,-3530000,-3530000,198000,1122000,-854000,-3064000,0,-272000,359000,-2705000,-2705000,-2705000,-3312000,2998000,-0.03279,-0.03279,0.04764
"31","2021_Q4",0.18796875,"Down",5107000,-2749000,-5338000,-4928000,-410000,-2980000,-5000,-5000,-2985000,-40000,5561.42257272346,-40000,-40000,-40000,-40000,-40000,344000,-3020000,1148000,-1568000,0,-92000,267000,-1301000,-1301000,-1301000,-2636000,0,-0.00038,-0.00038,0.04815
"32","2022_Q1",0.142258064516129,"Down",4969000,-3359000,-10453000,-10089000,-364000,-8843000,-112000,-112000,-8955000,-8955000,98000,-8857000,-8857000,-8857000,-8857000,-8857000,407000,5725000,1561000,-1164000,0,913000,879000,-285000,-285000,-285000,-8436000,922000,-0.08865,-0.08865,0.04973
"33","2022_Q2",0.0643548387096774,"Down",4447000,-3291000,-2671000,-2550000,-121000,-1515000,-702000,-702000,-2217000,-2217000,122031.788713638,-2217000,-2217000,-2217000,-2217000,-2217000,517000,-581000,1902000,-379000,20469.7512675882,838000,1443000,1064000,1064000,1064000,-998000,1214000,-0.02032,-0.02032,0.04076
"34","2022_Q3",0.03890625,"Down",4138000,-2868000,-3585000,-3483000,-102000,-2315000,-336000,-336000,-2651000,-2651000,-2000,-2653000,-2653000,-2653000,-3573000,-2653000,343000,666999.999999998,474000,-1169000,96409.2538027645,-105000,-156000,-1325000,-1325000,-1325000,-1972000,1041000,-0.02639,-0.02639,0.03056
