"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",25.8070967741935,"Up",6.33e+08,-3.44e+08,2.89e+08,-1.74e+08,-1.65e+08,-9e+06,1.15e+08,-3.7e+07,-3.8e+07,1e+06,7.8e+07,-3.8e+07,4e+07,-9e+06,3e+07,2.9e+07,2.9e+07,2.9e+07,3.16e+08,2.91e+08,5.36e+08,5.36e+08,4.3e+07,1.04e+08,7e+07,9.99e+08,2.1e+08,1.9e+07,4.158e+09,1.708e+09,2.247e+09,2.03e+08,4.387e+09,5.386e+09,2.42e+08,1.12e+08,1.6e+07,1.14e+08,5.9e+07,7.4e+08,1.11e+08,1.041e+09,2.772e+09,8.86e+08,7.19e+08,1.67e+08,3.658e+09,4.699e+09,2.276e+09,-1.82e+08,-1.405e+09,-3e+06,6.86e+08,6.86e+08,5.385e+09,3.2e+07,2.7e+07,4.3e+07,1.2e+07,1.14e+08,-1e+07,-3.5e+07,2e+06,-4.2e+07,3.3e+07,-1e+06,7e+06,-6e+06,6.6e+07,6.6e+07,6.6e+07,1.42e+08,2.831e+09,1.53e+08,0.45656,0.18167,0.04581,0.04227,0.00538,5.27586,0.95965,6.84985,0.52562,0.21481,0.21214,4.68889,5.08148,1.13333,0.00658,0.03474,17.71127,21.86957
"12","2017_Q2",26.0052380952381,"Up",6.43e+08,-3.46e+08,2.97e+08,-1.93e+08,-1.86e+08,-7e+06,1.04e+08,-3.7e+07,-3.7e+07,864093.902147326,6.7e+07,-5e+06,6.2e+07,-2.4e+07,3.8e+07,3.9e+07,3.9e+07,3.9e+07,3.59e+08,3.34e+08,4.98e+08,4.98e+08,4.5e+07,1.01e+08,7e+07,1.003e+09,2.15e+08,2.2e+07,4.161e+09,1.704e+09,2.258e+09,1.99e+08,4.398e+09,5.401e+09,2.48e+08,1.05e+08,1.9e+07,1.24e+08,1.39e+08,7.47e+08,1.02e+08,1.134e+09,2.694e+09,8.9e+08,7.17e+08,1.73e+08,3.584e+09,4.718e+09,2.286e+09,-2.33e+08,-1.366e+09,-1e+06,6.86e+08,6.86e+08,5.404e+09,3.8e+07,2.5e+07,1.1e+07,5.3e+07,1.27e+08,-1.8e+07,-1.1e+07,1e+06,-3.1e+07,-1.4e+07,-4.6e+07,5e+06,-6e+07,3.6e+07,3.7e+07,3.7e+07,1.29e+08,2.833e+09,1.88e+08,0.4619,0.16174,0.06065,0.05685,0.00722,4.82051,0.88448,6.87755,0.52453,0.28996,0.28676,4.78067,5.10037,1.39777,0.00885,0.04267,19.17829,23.78846
"13","2017_Q3",29.314126984127,"Up",8.07e+08,-4.15e+08,3.92e+08,-2.13e+08,-2.06e+08,-7e+06,1.79e+08,-3.7e+07,-3.8e+07,1e+06,1.42e+08,-5e+06,1.37e+08,-5.2e+07,8.5e+07,8.5e+07,8.5e+07,8.5e+07,4.03e+08,3.78e+08,5.62e+08,5.62e+08,4.5e+07,1.29e+08,9.2e+07,1.139e+09,2.24e+08,2.7e+07,4.15e+09,1.704e+09,2.254e+09,1.92e+08,4.401e+09,5.54e+09,2.91e+08,1.28e+08,1.5e+07,1.48e+08,1.41e+08,7.86e+08,1.28e+08,1.218e+09,2.678e+09,9.03e+08,7.14e+08,1.89e+08,3.581e+09,4.799e+09,2.291e+09,-2.67e+08,-1.281e+09,-2e+06,7.41e+08,7.41e+08,5.54e+09,8.5e+07,2.6e+07,1.2e+07,1e+07,1.33e+08,-1.5e+07,-1e+06,-6e+06,-2.4e+07,-3.2e+07,-3.2e+07,2e+06,-6.4e+07,4.5e+07,4.5e+07,4.5e+07,2.05e+08,2.819e+09,2.52e+08,0.48575,0.22181,0.10533,0.11471,0.01534,2.96471,0.93514,6.47638,0.50884,0.63575,0.62963,6.0359,5.54226,1.88482,0.01905,0.05646,11.78537,13.49721
"14","2017_Q4",32.0007936507937,"Up",7.96e+08,-4.19e+08,3.77e+08,-2.06e+08,-2e+08,-6e+06,1.71e+08,-3.6e+07,-3.8e+07,2e+06,1.35e+08,-2.1e+07,1.14e+08,-3.3e+07,8.1e+07,8.1e+07,8.1e+07,8.1e+07,4.7e+08,4.56e+08,6.19e+08,6.19e+08,4.2e+07,1.28e+08,8.8e+07,1.259e+09,2.21e+08,1.9e+07,4.148e+09,1.698e+09,2.255e+09,1.95e+08,4.388e+09,5.647e+09,2.89e+08,1.23e+08,1.8e+07,1.48e+08,1.46e+08,7.93e+08,1.27e+08,1.228e+09,2.654e+09,9.13e+08,7.45e+08,1.68e+08,3.567e+09,4.795e+09,2.319e+09,-2.67e+08,-1.201e+09,1e+06,8.52e+08,8.52e+08,5.647e+09,8e+07,2.5e+07,5.3e+07,-8.1e+07,7.7e+07,-1.3e+07,9.31322574615479e-10,2e+06,8e+06,-3.2e+07,2e+07,2e+07,-1.3e+07,7.2e+07,7.5e+07,7.6e+07,1.96e+08,2.8e+09,1.35e+08,0.47362,0.21482,0.10176,0.09507,0.01434,1.66667,1.02524,5.62793,0.49584,0.60268,0.59911,5.92262,6.33929,1.00446,0.01774,0.02957,11.88776,13.62573
"15","2018_Q1",34.5919672131148,"Up",6.66e+08,-3.72e+08,2.94e+08,-1.88e+08,-1.81e+08,-7e+06,1.06e+08,-3.6e+07,-3.7e+07,1e+06,7e+07,-1.2e+07,5.8e+07,2.48e+08,3.06e+08,3.05e+08,3.05e+08,3.05e+08,5e+08,4.75e+08,5.7e+08,5.7e+08,4.1e+07,1.3e+08,9.4e+07,1.241e+09,2.37e+08,2.2e+07,4.146e+09,1.692e+09,2.256e+09,1.98e+08,4.405e+09,5.646e+09,2.49e+08,1.15e+08,1.5e+07,1.19e+08,1.44e+08,7.8e+08,7.8e+08,1.173e+09,2.643e+09,6.62e+08,4.93e+08,1.69e+08,3.305e+09,4.478e+09,2.323e+09,-2.67e+08,-8.95e+08,5e+06,1.166e+09,1.166e+09,5.644e+09,3.07e+08,2.7e+07,-2.64e+08,8e+06,7.8e+07,-2.7e+07,-1e+06,2e+06,-3.8e+07,-1.9e+07,3e+06,3e+06,-1.6e+07,2.4e+07,2e+07,2e+07,1.33e+08,2.787e+09,-1.34e+08,0.44144,0.15916,0.45796,0.26158,0.05402,-0.43934,1.05797,3.84048,0.49362,2.25926,2.25258,4.93333,8.63704,-0.99259,0.06606,-0.02902,17.19549,21.57547
"16","2018_Q2",36.918125,"Up",6.75e+08,-3.61e+08,3.14e+08,-2.02e+08,-1.97e+08,-5e+06,1.12e+08,-3.7e+07,-3.7e+07,827737.925397046,7.5e+07,-1.9e+07,5.6e+07,-14000000.0000001,4.2e+07,4.2e+07,4.2e+07,4.2e+07,4.36e+08,4.11e+08,1.69e+08,1.69e+08,4.4e+07,9e+07,9e+07,7.39e+08,2.39e+08,2.1e+07,4.383e+09,1.742e+09,2.353e+09,2.88e+08,4.643e+09,5.382e+09,2.78e+08,1.26e+08,1.8e+07,1.34e+08,6.4e+07,4.18e+08,1e+08,7.6e+08,2.676e+09,7.06e+08,5.21e+08,1.85e+08,3.382e+09,4.142e+09,2.33e+09,-2.67e+08,-8.41e+08,1.7e+07,1.239e+09,1.239e+09,5.381e+09,4e+07,2.5e+07,28000000.0000001,4.8e+07,1.41e+08,-2.3e+07,-9.2e+07,2e+06,-1.12e+08,-9.5e+07,2e+06,2e+06,-9.3e+07,-6.4e+07,-6.4e+07,-6.4e+07,1.37e+08,2.74e+09,1.76e+08,0.46519,0.16593,0.0622199999999999,0.0339,0.0078,4.19048,0.97237,3.34302,0.5091,0.31065,0.309729999999999,4.9926,9.1642,1.30178,0.00896,0.03756,16.81752,20.57143
"17","2018_Q3",39.7873015873016,"Up",8.74e+08,-4.68e+08,4.06e+08,-2.32e+08,-2.25e+08,-7e+06,1.74e+08,-3.6e+07,-3.8e+07,2e+06,1.38e+08,-8e+06,1.3e+08,-3.4e+07,9.6e+07,9.6e+07,9.6e+07,9.6e+07,4.74e+08,4.49e+08,2.02e+08,2.02e+08,4.6e+07,9.2e+07,9.2e+07,8.14e+08,2.45e+08,2.1e+07,4.451e+09,1.743e+09,2.396e+09,3.12e+08,4.717e+09,5.531e+09,2.98e+08,1.59e+08,1.3e+07,1.26e+08,6.1e+07,4.32e+08,4.32e+08,7.91e+08,2.675e+09,7.17e+08,5.29e+08,1.88e+08,3.392e+09,4.183e+09,2.338e+09,-2.67e+08,-7.45e+08,2e+07,1.346e+09,1.346e+09,5.529e+09,9.6e+07,2.7e+07,1e+06,1.2e+07,1.36e+08,-2.5e+07,-5.7e+07,0,-8.2e+07,-2.1e+07,4e+06,4e+06,-1.7e+07,3.7e+07,3.7e+07,3.7e+07,2.01e+08,2.736e+09,2.22e+08,0.46453,0.19908,0.10984,0.07132,0.01736,2.3125,1.02908,3.10773,0.49467,0.70796,0.70692,6.44543,9.92625,1.63717,0.02,0.04624,11.25373,13
"18","2018_Q4",41.4874603174603,"Up",8.73e+08,-4.8e+08,3.93e+08,-2.37e+08,-2.29e+08,-8e+06,1.56e+08,-3.7e+07,-4e+07,3e+06,1.19e+08,-2e+07,9.9e+07,-2.9e+07,7e+07,7e+07,7e+07,7e+07,5.3e+08,5.21e+08,1.96e+08,1.96e+08,4.4e+07,1.07e+08,1.07e+08,8.77e+08,2.48e+08,2.1e+07,4.466e+09,1.738e+09,2.405e+09,3.23e+08,4.735e+09,5.612e+09,3.05e+08,1.47e+08,2.2e+07,1.36e+08,5.4e+07,4.06e+08,4.06e+08,7.65e+08,2.702e+09,7.22e+08,5.35e+08,1.87e+08,3.424e+09,4.189e+09,2.341e+09,-2.67e+08,-6.74e+08,2.3e+07,1.423e+09,1.423e+09,5.612e+09,7.1e+07,3e+07,1.8e+07,-3.2e+07,8.7e+07,-1.1e+07,-1.1e+07,0,-6e+06,7e+06,0,-4.65661287307739e-10,-1.1e+07,7e+07,7.1e+07,7.1e+07,1.86e+08,2.756e+09,1.72e+08,0.45017,0.17869,0.08018,0.04919,0.01247,2.45714,1.14641,2.94378,0.49109,0.51699,0.51471,6.44756,10.5096,1.27031,0.01428,0.03509,11.96774,14.26923
"19","2019_Q1",41.8052459016393,"Up",-7.67e+08,3.65e+08,-4.02e+08,1.57e+08,1.51e+08,6e+06,-2.45e+08,-1.7e+07,-1.8e+07,1e+06,-2.62e+08,-2.36e+08,-4.98e+08,6.3e+07,-4.35e+08,-2.49e+08,-2.49e+08,-2.49e+08,2.24e+08,2.24e+08,1.86e+08,1.86e+08,4.5e+07,6.1e+07,6.1e+07,5.16e+08,2.01e+08,4.66e+08,3.84e+09,1.588e+09,1.956e+09,2.96e+08,4.507e+09,5.023e+09,2.24e+08,8.9e+07,1.4e+07,1.21e+08,4.9e+07,1.53e+08,5.8e+07,4.26e+08,1.727e+09,6.65e+08,4.83e+08,1.82e+08,2.392e+09,2.818e+09,2.311e+09,-2.67e+08,1.56e+08,5e+06,2.205e+09,2.205e+09,5.023e+09,-4.34e+08,1e+06,2.22e+08,1e+06,-2.1e+08,1.5e+07,-2.7e+07,-1.7e+07,-4.6e+07,-4e+06,1e+06,1e+06,-2.27e+08,-4.83e+08,-2.91e+08,-2.92e+08,-2.44e+08,1.776e+09,-2.91e+08,0.52412,0.31943,0.32464,-0.11293,-0.04957,1.16867,1.21127,1.278,0.35357,-1.83358,-1.84993,-5.64801,16.23711,-2.14286,-0.05359,-0.06263,-6.36066,-6.33469
"20","2019_Q2",51.4509523809524,"Up",4.82e+08,-2.61e+08,2.21e+08,-1.42e+08,-1.36e+08,-6e+06,7.9e+07,-2.6e+07,-2.7e+07,1e+06,53000000.0000001,2.5e+07,7.8e+07,-9e+06,68999999.9999999,6.9e+07,6.9e+07,6.9e+07,2.55e+08,2.55e+08,1.83e+08,1.83e+08,4.6e+07,6.4e+07,6.4e+07,5.48e+08,2.01e+08,16999999.9999999,4.004e+09,1.603e+09,2.037e+09,3.64e+08,4.222e+09,4.77e+09,2.18e+08,9.4e+07,2e+07,1.04e+08,5.2e+07,1.72e+08,7.2e+07,4.42e+08,1.289e+09,7.58e+08,4.83e+08,1.56e+08,2.047e+09,2.489e+09,2.32e+09,-2.69e+08,2.26e+08,3e+06,2.28e+09,2.28e+09,4.769e+09,70000000.0000001,2.5e+07,-8e+06,3e+06,9e+07,-9e+06,-1e+08,1.9e+07,-8.8e+07,2.8e+07,3e+06,5e+06,30999999.9999999,32999999.9999999,31999999.9999999,3.2e+07,1.04e+08,1.341e+09,1.07e+08,0.45851,0.1639,0.14315,0.03026,0.01447,1.55072,1.23982,1.09167,0.28113,0.508100000000001,0.50587,3.54934,16.7894,0.78792,0.01575,0.02443,10.44231,13.74684
"21","2019_Q3",55.12375,"Up",5.6e+08,-3.03e+08,2.57e+08,-1.57e+08,-1.51e+08,-6e+06,1e+08,-1.5e+07,-1.8e+07,3e+06,8.5e+07,-5e+06,8e+07,-2.1e+07,5.9e+07,5.8e+07,5.8e+07,5.8e+07,2.28e+08,2.28e+08,2.1e+08,2.1e+08,4.1e+07,7.6e+07,7.6e+07,5.55e+08,1.98e+08,1.9e+07,4.035e+09,1.625e+09,2.038e+09,3.72e+08,4.252e+09,4.807e+09,2.45e+08,1.15e+08,1.5e+07,1.15e+08,5.3e+07,1.75e+08,7.4e+07,4.73e+08,1.252e+09,7.52e+08,4.85e+08,1.52e+08,2.004e+09,2.477e+09,2.328e+09,-2.83e+08,2.85e+08,-1e+06,2.329e+09,2.329e+09,4.806e+09,6e+07,2.4e+07,-2e+06,-3e+06,7.9e+07,-6e+06,-1.9e+07,-1.7e+07,-4.1e+07,-5.2e+07,-1.1e+07,4e+06,-6.3e+07,-2.5e+07,-2.6e+07,-2.6e+07,1.24e+08,1.305e+09,1.36e+08,0.45893,0.17857,0.10357,0.0249,0.01207,2.34483,1.17336,1.06355,0.27148,0.42647,0.42522,4.11765,17.125,1,0.01322,0.031,8.68548,10.77
"22","2019_Q4",42.5246875,"Down",3.36e+08,-2.26e+08,1.1e+08,-1.15e+08,-1.11e+08,-4e+06,-5e+06,-1.9e+07,-1.9e+07,0,-2.4e+07,-1e+07,-3.4e+07,8e+06,-2.6e+07,2.6e+07,2.6e+07,2.6e+07,1.4e+08,1.4e+08,2.14e+08,2.14e+08,4.5e+07,7.2e+07,7.2e+07,4.71e+08,2.08e+08,1.9e+07,4.321e+09,1.718e+09,2.206e+09,3.97e+08,4.548e+09,5.019e+09,2.83e+08,1.29e+08,2.1e+07,1.33e+08,5.6e+07,1.65e+08,6.6e+07,5.04e+08,1.398e+09,7.78e+08,5.07e+08,2.71e+08,2.176e+09,2.68e+09,2.332e+09,-3e+08,3.13e+08,-8e+06,2.337e+09,2.337e+09,5.017e+09,-2.7e+07,2e+07,-1.5e+07,5e+06,-1.7e+07,-3e+06,-2.19e+08,6000000.00000001,-2.19e+08,1.05e+08,-1.5e+07,1e+06,9e+07,-1.46e+08,-9e+07,-9e+07,1.5e+07,1.454e+09,8999999.99999999,0.32738,-0.01488,0.07738,0.01113,0.00518,0.34615,0.93452,1.14677,0.2897,0.19132,0.1902,2.47241,17.19647,0.0662300000000001,0.00569,0.00197,87.6,-262.8
"23","2020_Q1",34.1190322580645,"Down",4.41e+08,-2.79e+08,1.62e+08,-1.38e+08,-1.29e+08,-9e+06,2.4e+07,-2.2e+07,-2.3e+07,1e+06,2e+06,-6.1e+07,-5.9e+07,1.7e+07,-4.2e+07,-2.4e+07,-2.4e+07,-2.4e+07,2.8e+08,2.8e+08,1.78e+08,1.78e+08,4.6e+07,1.26e+08,8.1e+07,6.3e+08,2.04e+08,1.3e+07,4.477e+09,1.169e+09,2.096e+09,3.78e+08,4.694e+09,5.324e+09,1.12e+08,9.6e+07,1.6e+07,140149216.423301,6.9e+07,3.76e+08,2.27e+08,5.57e+08,1.666e+09,7.78e+08,4.99e+08,2.68e+08,2.444e+09,3.001e+09,2.336e+09,-3.13e+08,2.91e+08,9e+06,2.323e+09,2.323e+09,5.324e+09,-4.4e+07,2.7e+07,9e+07,-6e+07,1.3e+07,-6e+06,-1.68e+08,3e+06,-1.71e+08,2.95e+08,-1.4e+07,0,2.7e+08,1.12e+08,1.39e+08,1.4e+08,5.1e+07,1.735e+09,-3.2e+07,0.36735,0.05442,-0.05442,-0.01033,-0.00451,1.33333,1.13106,1.29186,0.32588,-0.17712,-0.17738,3.25461,17.14391,-0.23616,-0.00496,-0.00662,28.52941,60.625
"24","2020_Q2",30.8363492063492,"Down",4.56e+08,-2.79e+08,1.77e+08,-1.49e+08,-1.4e+08,-9e+06,2.8e+07,-2.3e+07,-2.3e+07,2099678.49547102,5000000.00000001,-5e+06,0,2e+06,2e+06,1.5e+07,1.5e+07,1.5e+07,1.85e+08,1.85e+08,1.77e+08,1.77e+08,4.1e+07,9.72e+08,8.9e+07,1.375e+09,1.92e+08,1.2e+07,3.621e+09,1.149e+09,2.095e+09,3.77e+08,3.825e+09,5.2e+09,2.59e+08,9.2e+07,2.2e+07,1.45e+08,1e+08,2.59e+08,1.51e+08,6.18e+08,1.622e+09,7.73e+08,4.86e+08,2.87e+08,2.395e+09,3.013e+09,2.343e+09,-4.17e+08,3.05e+08,-4.1e+07,2.19e+09,2.19e+09,5.203e+09,1e+06,2.8e+07,1.2e+07,1.4e+07,5.5e+07,-9e+06,-2.6e+07,4e+06,-3.1e+07,-2.5e+07,-1e+08,3e+06,-1.25e+08,-1.01e+08,-9.1e+07,-9.3e+07,5.6e+07,1.722e+09,5.9e+07,0.38816,0.0614,0.03289,0.00685,0.00288,3.93333,2.22492,1.3758,0.33115,0.11119,0.11103,3.38028,16.23425,0.43736,0.0032,0.0126,27.44643,54.89286
"25","2020_Q3",39.4246875,"Up",5.34e+08,-2.98e+08,2.36e+08,-1.52e+08,-1.43e+08,-9e+06,8.4e+07,-2.1e+07,-2.1e+07,2150160.04011297,6.3e+07,-8e+06,5.5e+07,-1.8e+07,3.8e+07,5.1e+07,5.1e+07,5.1e+07,3.02e+08,3.02e+08,2.05e+08,2.05e+08,4.5e+07,9.52e+08,6.8e+07,1.504e+09,1.89e+08,1.3e+07,3.631e+09,1.146e+09,2.103e+09,3.82e+08,3.833e+09,5.337e+09,3.1e+08,1.15e+08,1.2e+07,1.83e+08,1.04e+08,2.68e+08,1.56e+08,6.82e+08,1.62e+09,7.85e+08,4.86e+08,2.99e+08,2.405e+09,3.087e+09,2.35e+09,-4.17e+08,3.58e+08,-4e+07,2.251e+09,2.251e+09,5.338e+09,4e+07,2.7e+07,1.5e+07,3.5e+07,1.17e+08,-6e+06,2e+06,-2e+06,-6e+06,-1.5e+07,0,0,-1.5e+07,9.6e+07,1.14e+08,1.15e+08,1.11e+08,1.724e+09,1.58e+08,0.44195,0.1573,0.09551,0.02266,0.00956,3.09804,2.20528,1.37139,0.32303,0.38666,0.38666,4.04852,17.06596,1.19788,0.01072,0.0332,12.81081,16.92857
"26","2020_Q4",48.25875,"Up",5.12e+08,-2.99e+08,2.13e+08,-1.48e+08,-1.4e+08,-8e+06,6.5e+07,-2.1e+07,-2.3e+07,2e+06,4.4e+07,-5.1e+07,-6999999.99999999,-1.5e+07,-2.1e+07,-7e+06,-7e+06,-7e+06,2.88e+08,2.88e+08,2.14e+08,2.14e+08,4e+07,9.65e+08,7.3e+07,1.507e+09,1.81e+08,1.3e+07,3.625e+09,1.113e+09,2.127e+09,3.85e+08,3.819e+09,5.326e+09,3.68e+08,1e+08,1.7e+07,2.51e+08,1e+08,2.7e+08,1.66e+08,7.38e+08,1.565e+09,7.82e+08,4.8e+08,3.02e+08,2.347e+09,3.085e+09,2.354e+09,-4.17e+08,3.51e+08,-4.9e+07,2.239e+09,2.239e+09,5.324e+09,-2e+07,2.6e+07,5e+07,-1.6e+07,4e+07,999999.999999999,-5e+06,4e+06,9.31322574615479e-10,-6.3e+07,1000000.00000001,1e+06,-6.4e+07,-2.4e+07,-11000000.0000001,-1.1e+07,9.1e+07,1.665e+09,9.1e+07,0.41602,0.12695,-0.0136700000000001,-0.00313000000000001,-0.00131000000000001,-13,2.04201,1.37785,0.31262,-0.0530700000000002,-0.0529099999999998,3.88173,16.97498,0.68992,-0.00148999999999999,0.01941,15.13187,21.18462
"27","2021_Q1",49.2780327868852,"Up",4.59e+08,-2.79e+08,1.8e+08,-1.46e+08,-1.36e+08,-1e+07,3.4e+07,-1.4e+07,-1.6e+07,2e+06,2e+07,-2.7e+07,-7e+06,7e+06,1e+06,4.92e+08,4.92e+08,4.92e+08,6.15e+08,6.15e+08,2.06e+08,2.06e+08,4.4e+07,1.45e+08,1.45e+08,1.01e+09,1.82e+08,1.4e+07,3.63e+09,1.111e+09,2.146e+09,3.73e+08,3.826e+09,4.836e+09,2e+08,9.1e+07,7e+06,1.02e+08,9.4e+07,2.94e+08,1.92e+08,5.88e+08,8.26e+08,6.81e+08,3.46e+08,3.35e+08,1.507e+09,2.095e+09,2.361e+09,-4.23e+08,8.41e+08,-3.9e+07,2.74e+09,2.74e+09,4.835e+09,-1e+06,2.8e+07,-2.1e+07,-2.3e+07,-1.7e+07,-6e+06,-7e+06,2e+06,-1.1e+07,-7.66e+08,-3e+06,4e+06,-7.89e+08,-8.17e+08,3.23e+08,3.25e+08,6.2e+07,9.2e+08,2.6e+07,0.39216,0.07407,1.0719,0.17956,0.10174,0.05285,1.71769,0.7646,0.19024,3.72445,3.70761,3.47464,20.74186,0.19682,0.11331,0.00599,4.91935,8.97059
"28","2021_Q2",49.1049206349206,"Down",4.71e+08,-2.7e+08,2.01e+08,-1.47e+08,-1.37e+08,-1e+07,5.4e+07,-1.1e+07,-1.2e+07,1e+06,4.3e+07,-7e+06,3.6e+07,-1.1e+07,2.5e+07,2.5e+07,2.5e+07,2.5e+07,4.84e+08,4.84e+08,1.82e+08,1.82e+08,5e+07,1.67e+08,1.67e+08,8.83e+08,1.72e+08,1.4e+07,3.62e+09,1.102e+09,2.153e+09,3.65e+08,3.806e+09,4.689e+09,1.8e+08,9.6e+07,3e+06,8.1e+07,9.1e+07,3.04e+08,1.96e+08,5.75e+08,8.23e+08,6.57e+08,3.56e+08,3.01e+08,1.48e+09,2.055e+09,2.372e+09,-5.92e+08,8.68e+08,-1.7e+07,2.631e+09,2.631e+09,4.686e+09,2.7e+07,2.8e+07,2.1e+07,1e+06,7.7e+07,-6e+06,-2.2e+07,2e+06,-2.6e+07,-14999999.9999999,-1.65e+08,4e+06,-1.8e+08,-1.29e+08,-1.29e+08,-1.29e+08,8.2e+07,9.14e+08,8.8e+07,0.42675,0.11465,0.05308,0.00949999999999998,0.00533,3.52,1.53565,0.78107,0.19492,0.19026,0.18954,3.58447,20.02283,0.66971,0.00595,0.02093,5.2439,7.96296
"29","2021_Q3",45.99046875,"Down",5.61e+08,-3.18e+08,2.43e+08,-1.52e+08,-1.43e+08,-9e+06,9.1e+07,-1.1e+07,-1.1e+07,0,8e+07,-5e+06,7.5e+07,-2e+07,5.7e+07,5.7e+07,5.7e+07,5.7e+07,3.13e+08,3.13e+08,2.08e+08,2.08e+08,4.2e+07,1.67e+08,1.67e+08,7.3e+08,1.77e+08,1.5e+07,3.645e+09,1.104e+09,2.168e+09,3.73e+08,3.837e+09,4.567e+09,2.1e+08,1.13e+08,7e+06,9e+07,4.4e+07,2.97e+08,1.87e+08,5.51e+08,8.34e+08,6.73e+08,3.63e+08,3.1e+08,1.507e+09,2.058e+09,2.381e+09,-7.73e+08,9.22e+08,-2.2e+07,2.508e+09,2.508e+09,4.566e+09,5.4e+07,2.6e+07,1.4e+07,-2.2e+07,7.2e+07,-5e+06,-2.3e+07,-3e+06,-3.1e+07,-5.2e+07,-1.77e+08,4e+06,-2.29e+08,-1.88e+08,-1.76e+08,-1.76e+08,1.17e+08,8.78e+08,1.1e+08,0.43316,0.16221,0.1016,0.02273,0.01248,1.92982,1.32486,0.82057,0.19225,0.43379,0.43215,4.26941,19.08676,0.83714,0.01404,0.02709,4.82906,6.20879
"30","2021_Q4",40.745625,"Down",5.3e+08,-3.09e+08,2.21e+08,-1.52e+08,-1.42e+08,-1e+07,6.9e+07,-1e+07,-1.1e+07,1e+06,5.9e+07,-6e+06,5.3e+07,-1.4e+07,3.9e+07,3.9e+07,3.9e+07,3.9e+07,1.56e+08,1.56e+08,2.19e+08,2.19e+08,4.1e+07,1.49e+08,1.49e+08,5.65e+08,1.93e+08,1.5e+07,3.672e+09,1.101e+09,2.192e+09,3.79e+08,3.88e+09,4.445e+09,2.07e+08,1.08e+08,3e+06,9.6e+07,5.2e+07,2.88e+08,1.83e+08,5.47e+08,8.45e+08,6.74e+08,3.7e+08,3.04e+08,1.519e+09,2.066e+09,2.388e+09,-9.45e+08,9.6e+08,-2.5e+07,2.378e+09,2.378e+09,4.444e+09,3.8e+07,2.7e+07,2e+07,-1.9e+07,6.6e+07,-2e+06,-4.1e+07,999999.999999999,-4.2e+07,-1.2e+07,-1.69e+08,3e+06,-1.81e+08,-1.57e+08,-1.55e+08,-1.56e+08,9.6e+07,8.97e+08,8.9e+07,0.41698,0.13019,0.0735800000000001,0.0164,0.00877,2.28205,1.03291,0.8688,0.2018,0.32178,0.32125,4.37294,19.62046,0.73432,0.00987,0.02253,7.71875,10.73913
