"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",24.4688709677419,"Up",2.16e+08,-1.49e+08,-6.9e+07,-7.4e+07,-6e+06,6.7e+07,7.4e+07,5.1e+07,2.1e+07,2e+06,1.41e+08,1.09e+08,2.5e+08,-3.4e+07,2.16e+08,2.16e+08,-1.73e+08,4.3e+07,4.3e+07,1.5e+08,1.5e+08,8.7e+07,8.7e+07,1.3e+08,1.3e+08,3.67e+08,6.298e+09,1.698e+09,2.86e+08,7.84e+08,8.294e+09,8.661e+09,3.56e+08,3.31e+08,2.5e+07,7.8e+07,3.84e+08,3.84e+08,8.18e+08,3.508e+09,1.769e+09,1.722e+09,5.277e+09,6.095e+09,1.746e+09,-3e+06,1.743e+09,8.23e+08,2.566e+09,8.661e+09,2.16e+08,7.4e+07,-1.43e+08,8e+06,1.55e+08,-3.26e+08,8.9e+07,-2.37e+08,-7.6e+07,8.37e+08,1.16e+08,3.4e+07,3.4e+07,3.6e+07,1.41e+08,3.586e+09,-1.43e+08,0.31019,0.19907,0.01676,0.00496,-3.32558,0.44866,2.37529,0.41404,0.7919,0.7919,3.9779,32.09945,-2.63352,0.00543,-0.01805,24.36879,51.28358
"12","2017_Q2",28.0577777777778,"Up",1.98e+08,-1.16e+08,-5.6e+07,-5.6e+07,-4e+06,8.2e+07,-4.1e+07,-4.3e+07,2e+06,3.72529029846191e-09,4.1e+07,3.1e+07,7.2e+07,-1.4e+07,5.8e+07,5.8e+07,-4.6e+07,1.2e+07,1.2e+07,8.2e+07,8.2e+07,8.9e+07,8.9e+07,1.62e+08,1.62e+08,3.33e+08,5.029e+09,1.642e+09,2.53e+08,7.61e+08,6.759e+09,7.092e+09,3.3e+07,17999999.9999999,1.5e+07,8.7e+07,6.2e+07,6.2e+07,1.82e+08,3.681e+09,1.072e+09,1.021e+09,4.753e+09,4.935e+09,1.739e+09,-2e+06,1.737e+09,4.2e+08,2.157e+09,7.092e+09,5.8e+07,5.6e+07,-1.6e+07,-3.7e+07,6.1e+07,-3.16e+08,-31999999.9999999,-3.48e+08,1.72e+08,5.2e+07,2.24e+08,-63000000.0000001,-63000000.0000001,-6.2e+07,1.38e+08,3.768e+09,-2.01e+08,0.41414,0.06061,0.00556,0.00169,-16.75,1.82967,2.2879,0.5313,0.2214,0.2214,3.65314,32.04797,-3.70849,0.00172,-0.02873,26.71014,44.95122
"13","2017_Q3",32.7246031746032,"Up",2.19e+08,-1.29e+08,-6.7e+07,-5.6e+07,-6e+06,9e+07,-4.9e+07,-6.1e+07,1.4e+07,-2e+06,4.1e+07,3.4e+07,7.5e+07,-1.7e+07,5.8e+07,5.8e+07,-4.5e+07,1.3e+07,1.3e+07,1.28e+08,1.28e+08,9.7e+07,9.7e+07,1.36e+08,1.36e+08,3.61e+08,5.393e+09,1.633e+09,2.54e+08,7.51e+08,7.118e+09,7.479e+09,4.7e+07,2.1e+07,2.6e+07,8.9e+07,6.7e+07,6.7e+07,2.03e+08,3.926e+09,1.245e+09,1.189e+09,5.171e+09,5.374e+09,1.739e+09,-1e+06,1.738e+09,3.67e+08,2.105e+09,7.479e+09,5.8e+07,5.6e+07,-3e+06,1.8e+07,1.29e+08,-1.2e+07,-2.19e+08,-2.31e+08,2.27e+08,-7.8e+07,1.49e+08,4.7e+07,4.7e+07,4.4e+07,1.46e+08,4.015e+09,1.69e+08,0.41096,0.05936,0.00618,0.00174,13,1.77833,2.55297,0.53684,0.23941,0.23941,4.03315,32.00737,3.11234,0.00177,0.02295,26.62329,43.18889
"14","2017_Q4",33.3950793650794,"Up",1.93e+08,-1.23e+08,-6.1e+07,-5.7e+07,-5e+06,7e+07,-2.8e+07,-5e+07,2.2e+07,0,4.2e+07,3e+07,7.2e+07,-2.1e+07,5.1e+07,5.1e+07,-5e+07,1e+06,1e+06,1.35e+08,1.35e+08,8.3e+07,8.3e+07,4.44e+08,4.44e+08,6.62e+08,5.393e+09,1.629e+09,2.42e+08,7.59e+08,7.12e+09,7.782e+09,3.5e+07,1.9e+07,1.6e+07,9.8e+07,7.4e+07,7.4e+07,2.07e+08,4.237e+09,1.262e+09,1.197e+09,5.499e+09,5.706e+09,1.707e+09,0,1.707e+09,3.69e+08,2.076e+09,7.782e+09,5.1e+07,5.7e+07,-1.7e+07,1.2e+07,1.03e+08,-1.4e+07,-2.15e+08,-2.29e+08,2.32e+08,-1.03e+08,1.29e+08,3e+06,3e+06,6e+06,1.27e+08,4.335e+09,1.46e+08,0.36269,0.00517999999999997,0.000480000000000003,0.000129999999999999,146,3.19807,2.74855,0.55705,0.01842,0.0184199999999999,3.55433,31.43646,2.68877,0.00013,0.01903,33.07087,60
"15","2018_Q1",33.9531147540984,"Up",1.97e+08,-1.27e+08,-6.4e+07,-5.7e+07,-6e+06,7e+07,-4.3e+07,-4.5e+07,2e+06,0,2.7e+07,3.5e+07,6.2e+07,-1.15e+08,-5.3e+07,-5.3e+07,-3.7e+07,-9e+07,-9e+07,1.54e+08,1.54e+08,8.5e+07,8.5e+07,1.59e+08,1.59e+08,3.98e+08,6.197e+09,1.612e+09,1.81e+08,7.96e+08,8.027e+09,8.425e+09,7.7e+07,2.6e+07,3.9e+07,9.9e+07,1e+08,1e+08,2.76e+08,4.218e+09,1.707e+09,1.644e+09,5.925e+09,6.201e+09,1.641e+09,1e+06,2.19e+09,3.4e+07,2.224e+09,8.425e+09,-5.3e+07,5.7e+07,8.3e+07,3.3e+07,1.2e+08,-7e+06,-5.53e+08,-5.6e+08,5.34e+08,-7.7e+07,4.57e+08,1.7e+07,1.7e+07,1.9e+07,1.27e+08,4.317e+09,2.68e+08,0.35533,-0.45685,-0.04047,-0.01068,-2.97778,1.44203,2.78822,0.5124,-1.66667,-1.66667,3.64815,30.40741,4.96296,-0.01091,0.03249,32.77953,59.47143
"16","2018_Q2",36.22,"Up",2.12e+08,-1.22e+08,-6.4e+07,-5.3e+07,-5e+06,9e+07,-9.8e+07,-1.03e+08,3e+06,2e+06,-8000000.00000001,5999999.99999999,-2e+06,-1.9e+07,-2.1e+07,-2.1e+07,9.4e+07,7.3e+07,7.3e+07,1.64e+08,1.64e+08,7.2e+07,7.2e+07,1.054e+09,1.41e+08,1.29e+09,5.239e+09,1.542e+09,1.52e+08,7.62e+08,6.996e+09,8.286e+09,2.3e+07,1e+07,1.3e+07,6.2e+07,9.07e+08,9.07e+08,9.92e+08,3.518e+09,2.11e+08,2.06e+08,3.729e+09,4.721e+09,1.699e+09,1e+06,2.248e+09,1.317e+09,3.565e+09,8.286e+09,-2.1e+07,5.3e+07,6.6e+07,-4.5e+07,5.3e+07,-4000000.00000001,-2e+06,-6e+06,-3.1e+07,-1.4e+07,-48000000.0000001,-1e+06,-1e+06,-2e+06,1.43e+08,3.58e+09,1.13e+08,0.42453,0.34434,0.02048,0.00881,1.54794999999998,1.3004,1.32426,0.43205,1.34438,0.98649,3.90424,31.30755,2.08103,0.01033,0.01536,23.88811,37.95556
"17","2018_Q3",40.6047619047619,"Up",2.25e+08,-1.19e+08,-6.4e+07,-4.9e+07,-6e+06,1.06e+08,3e+06,-2.1e+07,1.3e+07,1.1e+07,1.09e+08,1.65e+08,2.74e+08,2.1e+07,2.95e+08,2.95e+08,-2.12e+08,8.3e+07,8.3e+07,6.54e+08,6.54e+08,8.6e+07,8.6e+07,2.01e+08,2.01e+08,9.41e+08,5.174e+09,1.463e+09,1.09e+08,7.7e+08,6.853e+09,7.794e+09,4e+07,9e+06,3.1e+07,6.3e+07,1.02e+08,1.02e+08,2.05e+08,3.509e+09,1.91e+08,1.86e+08,3.7e+09,3.905e+09,1.757e+09,2e+06,2.307e+09,1.582e+09,3.889e+09,7.794e+09,2.95e+08,4.9e+07,-2.22e+08,8e+06,1.3e+08,-3e+06,-4.8e+07,4.66e+08,-2.5e+07,-7.2e+07,-1.03e+08,4.93e+08,4.93e+08,4.92e+08,1.55e+08,3.572e+09,1.39e+08,0.47111,0.36889,0.02134,0.01065,1.6747,4.59024,1.00411,0.4583,1.52855,1.12162,4.14365,32.39411,2.55985,0.01163,0.01817,18.82581,27.5283
"18","2018_Q4",39.3233333333333,"Down",1.78e+08,-1.19e+08,-6.5e+07,-5e+07,-4e+06,5.9e+07,5.5e+07,3.1e+07,2.3e+07,1e+06,1.14e+08,1.2e+07,1.26e+08,-1.5e+07,1.11e+08,1.11e+08,-7.8e+07,3.3e+07,3.3e+07,7.6e+07,7.6e+07,7.3e+07,7.3e+07,8.6e+08,8.6e+08,1.009e+09,5.132e+09,1.474e+09,9.9e+07,7.91e+08,6.841e+09,7.85e+09,2.3e+07,1e+07,1.3e+07,6.4e+07,9.5e+07,9.5e+07,1.82e+08,3.491e+09,1.45e+08,1.35e+08,3.636e+09,3.818e+09,1.845e+09,-5e+06,2.388e+09,1.644e+09,4.032e+09,7.85e+09,1.11e+08,5e+07,-6.9e+07,-6000000.00000001,8.6e+07,-3000000.00000006,-6.7e+08,-6.73e+08,-1.9e+07,-4.7e+07,9000000.00000003,-5.78e+08,-5.78e+08,-5.78e+08,1.09e+08,3.555e+09,1.15e+08,0.33146,0.18539,0.00818,0.0042,3.48485,5.54396,0.94692,0.45287,0.60109,0.44236,3.24226,33.51548,2.09472,0.00504,0.01487,31.91743,58.9661
"19","2019_Q1",37.89,"Down",1.56e+08,-1.21e+08,-6.4e+07,-5.1e+07,-6e+06,3.5e+07,-1.45e+08,-1.55e+08,2e+06,8e+06,-1.1e+08,-1.5e+07,-1.25e+08,7e+06,-1.18e+08,-1.18e+08,9.6e+07,-2.2e+07,-2.2e+07,1.47e+08,1.47e+08,8e+07,8e+07,1.13e+08,1.13e+08,3.4e+08,6.77e+09,2.081e+09,1.08e+08,7.72e+08,9.065e+09,9.405e+09,6e+07,1e+07,3.1e+07,7.07e+08,9.2e+07,9.2e+07,8.59e+08,2.728e+09,2.8e+08,2.68e+08,3.008e+09,3.867e+09,1.804e+09,-6e+06,2.346e+09,3.192e+09,5.538e+09,9.405e+09,-1.18e+08,5.1e+07,1.44e+08,1.6e+07,9.3e+07,-1.298e+09,7.48e+08,-5.5e+08,-1.58e+08,6.73e+08,5.13e+08,5.6e+07,5.6e+07,5.6e+07,8.6e+07,3.435e+09,-1.203e+09,0.22436,-0.14103,-0.00397,-0.00234,54.68182,0.39581,0.69827,0.36523,-0.39216,-0.29024,2.78075,32.04991,-21.44385,-0.00162,-0.13001,38.23256,93.94286
"20","2019_Q2",40.89,"Up",1.77e+08,-1.43e+08,-7.6e+07,-6.1e+07,-6e+06,3.4e+07,-1.55e+08,-1.55e+08,1.86264514923096e-09,0,-1.21e+08,-7e+06,-1.28e+08,7e+06,-1.21e+08,-1.21e+08,9.9e+07,-2.2e+07,-2.2e+07,1.27e+08,1.27e+08,7.1e+07,7.1e+07,1.08e+08,1.08e+08,3.06e+08,6.713e+09,2.064e+09,1.14e+08,7.58e+08,8.987e+09,9.293e+09,3.2e+07,1.1e+07,1.3e+07,6.94e+08,8.5e+07,8.5e+07,8.11e+08,2.936e+09,2.01e+08,1.89e+08,3.137e+09,3.948e+09,1.757e+09,-8e+06,2.297e+09,3.048e+09,5.345e+09,9.293e+09,-1.21e+08,7e+07,1.22e+08,-5.2e+07,1.9e+07,-2999999.99999976,2.4e+07,2.1e+07,-4999999.99999994,-50999999.9999998,-6.2e+07,-2.2e+07,-2.2e+07,-21999999.9999999,1.04e+08,3.63e+09,4.2e+07,0.19209,-0.12429,-0.00412,-0.00237,-1.90909,0.37731,0.73863,0.39062,-0.39216,-0.29024,3.15508,31.17647,0.748660000000001,-0.00174,0.00458000000000003,33.68269,103.02941
"21","2019_Q3",44.81828125,"Up",2.2e+08,-1.51e+08,-8.1e+07,-6.3e+07,-7e+06,6.9e+07,-1.97e+08,-2.07e+08,8e+06,2e+06,-1.28e+08,-4e+06,-1.32e+08,9e+06,-1.23e+08,-1.23e+08,9.6e+07,-2.7e+07,-2.7e+07,1.63e+08,1.63e+08,1.01e+08,1.01e+08,9.35e+08,9.35e+08,1.199e+09,7.071e+09,3.179e+09,1.23e+08,7.82e+08,1.0569e+10,1.1768e+10,1.57e+08,1.11e+08,3.1e+07,5.99e+08,1.16e+08,1.16e+08,8.72e+08,4.047e+09,3.49e+08,3.39e+08,4.396e+09,5.268e+09,1.704e+09,-8e+06,2.244e+09,4.256e+09,6.5e+09,1.1768e+10,-1.23e+08,7.5e+07,1.52e+08,7e+06,1.11e+08,-3e+06,-1.719e+09,-1.722e+09,8.64e+08,7.87e+08,1.645e+09,3.4e+07,3.4e+07,3.4e+07,1.44e+08,4.646e+09,1.39e+08,0.31364,-0.12273,-0.00415,-0.00229,-5.14815,1.375,0.81046,0.3948,-0.48128,-0.3562,3.92157,30.23173,2.47772,-0.00183,0.01209,31.13194,64.97101
