"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",28.65890625,"Up",437367000,-357665000,79702000,-62735000,-38205000,-24530000,16967000,-5159000,-6636000,1477000,11808000,11808000,-4609000,7199000,7199000,7199000,7199000,18247000,18247000,234037000,234037000,35047000,214463000,196934000,501794000,189145000,406254000,260708000,18294000,595399000,1097193000,157646000,64509000,93137000,7031000,12370000,12370000,177047000,433601000,77722000,46691000,31031000,511323000,688370000,121393000,287300000,130000,408823000,408823000,1097193000,7199000,24530000,-1345000,-30298000,86000,-15092000,-19305000,14437000,621000,621000,-182000,14876000,-4343000,-4343000,-4343000,41497000,440632000,716000,0.18223,0.03879,0.01646,0.01761,0.00656,0.09946,2.83424,1.68378,0.4016,0.21793,0.21272,13.24001,12.37592,0.02167,0.00776,0.00077,10.17869,24.8945
"12","2014_Q1",28.6904918032787,"Up",478632000,-384169000,94463000,-64735000,-39914000,-24821000,29728000,-5682000,-6752000,1070000,24046000,24046000,-9380000,14666000,14666000,14666000,14666000,18607000,18607000,252202000,252202000,35999000,234326000,217473000,541134000,202703000,410371000,267810000,17286000,613074000,1154208000,178214000,77954000,100260000,7813000,13788000,13788000,199815000,444169000,81863000,48612000,33251000,526032000,725847000,126293000,301965000,103000,428361000,428361000,1154208000,14666000,24821000,3492000,-27562000,15417000,-17547000,-28763000,11438000,1742000,1742000,526000,13706000,360000.000000004,360000.000000004,360000.000000004,54549000,451982000,18820000,0.19736,0.06211,0.03064,0.03424,0.01271,1.28324,2.70818,1.69447,0.39159,0.44247,0.43044,14.4401,12.92345,0.56779,0.01524,0.01956,7.94469,14.57801
"13","2014_Q2",31.1480952380952,"Up",512720000,-410119000,102601000,-66627000,-43075000,-23552000,35974000,-4874000,-6886000,2012000,31100000,31100000,-12440000,18660000,18660000,18660000,18660000,14394000,14394000,304412000,304412000,39273000,257251000,237302000,615330000,203916000,405030000,267810000,17199000,608946000,1224276000,179907000,68926000,110981000,8594000,13347000,13347000,201848000,475735000,85709000,49603000,36106000,561444000,763292000,140316000,320625000,43000,460984000,460984000,1224276000,18660000,23552000,1658000,-62563000,-18693000,-27823000,-28128000,32437000,10124000,10124000,47000,42608000,-4213000,-4213000,-4213000,59526000,484329000,-18420000,0.20011,0.07016,0.03639,0.04048,0.01524,-0.98714,3.04848,1.65579,0.3956,0.55829,0.5387,15.34002,13.79214,-0.55111,0.0181,-0.01787,7.89462,13.06318
"14","2014_Q3",30.4590625,"Down",390518000,-327353000,63165000,-61997000,-38562000,-23435000,1168000,-6205000,-6800000,595000,-5037000,-5037000,1970000,-3067000,-3067000,-3067000,-3067000,16344000,16344000,231619000,231619000,43426000,224961000,190280000,516350000,203639000,399905000,267810000,16852000,603544000,1119894000,142519000,52315000,90204000,9375000,13869000,13869000,165763000,416301000,86194000,49003000,37191000,502495000,668258000,134261000,317558000,-183000,451636000,451636000,1119894000,-3067000,23435000,2814000,63377000,86559000,-16453000,-16453000,-58562000,-8254000,1745000,-1340000,-68156000,1950000,1950000,1950000,24603000,425676000,69557000,0.16175,0.00299000000000002,-0.00785,-0.00679,-0.00274,-22.67917,3.11499,1.47964,0.3801,-0.09064,-0.09064,11.54146,13.34776,2.0557,-0.00318,0.07219,16.63748,350.45548
"15","2014_Q4",29.9184375,"Down",426284000,-350352000,75932000,-61888000,-39162000,-22726000,14044000,-970000,-6563000,5593000,13074000,13074000,-5179000,7895000,7895000,7895000,7895000,18722000,18722000,233276000,233276000,42512000,246680000,217237000,541190000,205703000,395883000,267810000,16254000,601586000,1142776000,165310000,62985000,102325000,10156000,13401000,13401000,188867000,403082000,85902000,47915000,37987000,488984000,677851000,139701000,325453000,-229000,464925000,464925000,1142776000,7895000,22726000,-4837000,3841000,29625000,-16884000,-17584000,-12344000,2141000,2141000,540000,-9663000,2378000,2378000,2378000,36770000,413238000,28906000,0.17813,0.03295,0.01852,0.01698,0.00691,3.6613,2.86546,1.45798,0.36161,0.23316,0.22711,12.58929,13.73047,0.85367,0.00819,0.02998,10.72929,28.09143
"16","2015_Q1",39.3049180327869,"Up",482071000,-387221000,94850000,-64118000,-41059000,-23059000,30732000,-3550000,-6578000,3028000,27182000,27182000,-10692000,16490000,16490000,16490000,16490000,20672000,20672000,272741000,272741000,49095000,263228000,243296000,605736000,205413000,401205000,269088000,16001000,606618000,1212354000,171712000,63318000,108394000,10938000,13882000,13882000,196532000,446863000,84025000,45361000,38664000,530888000,727420000,143149000,341943000,-158000,484934000,484934000,1212354000,16490000,23059000,-4931000,-47924000,-13306000,-12569000,-28955000,43656000,558000,558000.000000001,-3000.00000000023,44211000,1950000,1950000,1950000,53791000,457801000,3990000,0.19676,0.06375,0.03421,0.034,0.0136,0.241960000000002,3.08212,1.50004,0.37761,0.4854,0.45771,14.19024,14.27451,0.11745,0.01606,0.00389,8.12643,14.2239
"17","2015_Q2",52.9593650793651,"Up",510389000,-403468000,106921000,-67626000,-44696000,-22930000,39295000,-4954000,-6749000,1795000,34341000,34341000,-13534000,20807000,20807000,20807000,20807000,16459000,16459000,296832000,296832000,47003000,292440000,271418000,652734000,206139000,403284000,269465000,15995000,609423000,1262157000,186852000,66422000,120430000,11719000,14027000,14027000,212598000,455640000,84418000,43018000,41400000,540058000,752656000,147177000,362750000,-426000,509501000,509501000,1262157000,20807000,22930000,-828000,-32004000,10905000,-16330000,-25242000,9656000,567000,567000,-99000,10124000,-4213000,-4213000,-4213000,62225000,467359000,27425000,0.20949,0.07699,0.04077,0.04084,0.01649,1.31807,3.07027,1.47724,0.37029,0.61179,0.59249,15.00696,14.98085,0.80638,0.01961,0.02584,7.24628,11.47474
"18","2015_Q3",69.22078125,"Up",441081000,-355430000,85651000,-65078000,-41815000,-23263000,20573000,-4996000,-6731000,1735000,15577000,15577000,-6145000,9432000,9432000,9432000,9432000,18428000,18428000,267286000,267286000,43768000,254883000,236151000,584365000,207148000,402020000,269465000,18382000,609168000,1193533000,149290000,52114000,97176000,12500000,16422000,16422000,178212000,421418000,88995000,45596000,43399000,510413000,688625000,133610000,372182000,-884000,504908000,504908000,1193533000,9432000,23263000,5265000,34390000,72350000,-18403000,-19853000,-33344000,-15379000,1768000,-1805000,-50528000,1969000,1969000,1969000,43836000,433918000,65968000,0.19418,0.04664,0.02138,0.01868,0.0079,6.99406,3.27904,1.36386,0.36356,0.27639,0.26851,12.92514,14.79548,1.93308,0.00918,0.06418,9.47828,20.19589
"19","2015_Q4",79.4803125,"Up",492363000,-388238000,104125000,-68693000,-44707000,-23986000,35432000,-3175000,-6646000,3471000,32257000,32257000,-11999000,20258000,20258000,20258000,20258000,22542000,22542000,265772000,265772000,45205000,287369000,268091000,620888000,226328000,409900000,269465000,30404000,636228000,1257116000,180723000,64463000,116260000,1.86264514923096e-09,14271000,14271000,194994000,446692000,93244000,48815000,44429000,539936000,734930000,130592000,392440000,-846000,522186000,522186000,1257116000,20258000,23986000,389000,-4304000,40329000,-35328000,-39328000,12875000,-9033000,4507000,-729000,3113000,4114000,4114000,4114000,59418000,446692000,31785000,0.21148,0.07196,0.04114,0.03879,0.01611,1.56901,3.18414,1.40741,0.35533,0.59395,0.57832,14.43572,15.31011,0.93191,0.01907,0.02993,7.13841,11.97082
"20","2016_Q1",60.9962295081967,"Down",578479000,-446114000,132365000,-73347000,-47482000,-25865000,59018000,-5609000,-6899000,1290000,53409000,53409000,-19582000,33827000,33827000,33827000,33827000,21289000,21289000,315134000,315134000,48650000,311559000,290929000,696632000,231564000,425727000,271653000,33148000,657291000,1353923000,206064000,71834000,134230000,3750000,16896000,16896000,226710000,516900000,103113000,47388000,55725000,620013000,846723000,82131000,426267000,-1198000,507200000,507200000,1353923000,33827000,25865000,-3032000,-38344000,18316000,-23544000,-45629000,7.8e+07,-54379000,2080000,2439000,26060000,-1253000,-1253000,-1253000,84883000,520650000,42577000,0.22882,0.10202,0.05848,0.06669,0.02498,1.25867,3.07279,1.66941,0.38455,0.99671,0.97113,17.04483,14.9446,1.25453,0.02991,0.03765,5.88293,8.46116
"21","2016_Q2",75.52328125,"Up",659268000,-506978000,152290000,-78913000,-51464000,-27449000,73377000,-7662000,-9131000,1469000,65715000,49455000,-18631000,30824000,30824000,30824000,30824000,21797000,21797000,361635000,361635000,57686000,376499000,354525000,817617000,265485000,448380000,281448000,32766000,713865000,1531482000,234255000,93398000,140857000,5625000,12416000,12416000,252296000,636009000,99263000,45001000,54262000,735272000,987568000,88061000,457091000,-1238000,543914000,543914000,1531482000,30824000,27449000,3261000,-90396000,-28862000,-39431000,-88506000,318190000,-69858000,139000,-130456000,117876000,508000,508000,508000,100826000,641634000,-10370000,0.231,0.1113,0.04675,0.05667,0.02013,-0.33643,3.24071,1.81567,0.41896,0.93772,0.90962,20.05607,16.54681,-0.31547,0.02399,-0.00807,6.14759,8.44729
"22","2016_Q3",88.2784375,"Up",559470000,-450285000,109185000,-76918000,-47020000,-29898000,32267000,-6799000,-7872000,1073000,25468000,25468000,-9995000,15473000,15473000,15473000,15473000,20166000,20166000,318282000,318282000,57916000,370261000,321824000,766625000,290536000,446380000,281448000,35501000,736916000,1503541000,181821000,70827000,110994000,5625000,14303000,14303000,201749000,612455000,125133000,69593000,55540000,737588000,939337000,93195000,472564000,-1555000,564204000,564204000,1503541000,15473000,29898000,25115000,4905000.00000001,75391000,-48699000,-48907000,-2.8e+07,1612000,1612000,-1726999.99999999,-28115000,-1631000,-1631000,-1631000,62165000,618080000,28366000,0.19516,0.05767,0.02766,0.02742,0.01029,1.83326,3.79989,1.66489,0.41108,0.47372,0.4616,17.12859,17.27352,0.86845,0.01183,0.0217,9.61818,18.5302
"23","2016_Q4",80.9431746031746,"Down",799223000,-614990000,184233000,-94750000,-60204000,-34546000,89483000,-8127000,-9067000,940000,81356000,81356000,-30306000,51050000,51050000,51050000,51050000,19327000,19327000,355318000,355318000,61304000,412835000,376966000,848784000,309783000,440719000,281448000,34379000,750502000,1599286000,222033000,92964000,129069000,9375000,11137000,11137000,242545000,723952000,131049000,75590000,55459000,855001000,1097546000,14327000,488520000,-1107000,501740000,501740000,1599286000,51050000,34546000,10201000,-137356000,-41559000,-37757000,-38220000,6.8e+07,202000,202000,-499000,67703000,-12076000,-12076000,-12076000,124029000,733327000,-20778000,0.23052,0.11196,0.06387,0.10175,0.03192,-0.40701,3.49949,2.18748,0.45853,1.57399,1.54459,24.64185,15.46978,-0.64063,0.03737,-0.01521,5.75672,7.97917
"24","2017_Q1",84.8741935483871,"Up",654581000,-511326000,143255000,-91508000,-58461000,-33047000,51747000,-1699000,-8650000,6951000,50048000,50048000,-18655000,31393000,31393000,31393000,31393000,33787000,33787000,328030000,328030000,73606000,415811000,393078000,851234000,326670000,541812000,310157000,33776000,868482000,1719716000,289945000,115492000,174453000,13125000,19557000,19557000,322627000,706202000,133600000,76587000,57013000,839802000,1162429000,20681000,537880000,-1274000,557287000,557287000,1719716000,31393000,33047000,3005000,189073000,256518000,-49584000,-157500000,2.5e+07,-99208000,792000,887000,-73321000,25697000,25697000,25697000,84794000,719327000,242938000,0.21885,0.07905,0.04796,0.05633,0.01825,7.7386,2.63845,2.08587,0.41828,1.00314,0.98087,20.9166,17.80765,7.76289,0.02226,0.17227,8.08477,13.24792
"25","2017_Q2",96.9633333333333,"Up",786338000,-621475000,164863000,-98728000,-61317000,-37411000,66135000,-4589000,-9382000,4793000,61546000,61546000,-22750000,38796000,38796000,38796000,38796000,21711000,21711000,329786000,329786000,81054000,534397000,510376000,966948000,337653000,533806000,308669000,33473000,871459000,1838407000,279192000,114730000,164462000,17500000,15271000,15271000,311963000,774501000,138221000,79395000,58826000,912722000,1224685000,26092000,588930000,-1300000,613722000,613722000,1838407000,38796000,37411000,1182000,-35067000,42322000,-52559000,-78358000,61812000,-36963000,946000,1053000,25902000,-10134000,-10134000,-10134000,103546000,792001000,38670000,0.20966,0.08411,0.04934,0.06321,0.0211,0.99675,3.09956,1.9955,0.43081,1.23438,1.20483,25.01911,19.52695,1.23037,0.02513,0.02505,7.43911,11.64724
"26","2017_Q3",84.2687301587302,"Down",780188000,-606898000,173290000,-99763000,-59519000,-40244000,73527000,-3692000,-9735000,6043000,69835000,69835000,-26127000,43708000,43708000,43708000,43708000,38608000,38608000,369800000,369800000,83204000,446906000,412889000,938518000,422107000,538682000,321748000,33373000,960789000,1899307000,287598000,132974000,154624000,21656000,9284000,9284000,318538000,738265000,170921000,103626000,67295000,909186000,1227724000,20454000,652287000,-1158000,671583000,671583000,1899307000,43708000,40244000,15519000,50459000,149930000,-60069000,-59711000,-7.1e+07,15000.0000000075,15000,17000,-70968000,19251000,19251000,19251000,113771000,759921000,130288000,0.22211,0.09424,0.05602,0.06508,0.02301,2.98087,2.94633,1.8281,0.4001,1.38615,1.35901,24.74287,21.29857,4.13195,0.02728,0.08131,6.34004,9.81018
"27","2017_Q4",96.5125396825397,"Up",756215000,-600847000,155368000,-107213000,-64562000,-42651000,48155000,-3776000,-9707000,5931000,44379000,44379000,-15603000,28776000,28776000,28776000,28776000,19357000,19357000,348868000,348868000,88175000,493837000,464965000,950237000,378408000,547367000,323235000,34281000,925775000,1876012000,259558000,119334000,140224000,14438000,14885000,14885000,288881000,811579000,152814000,87401000,65413000,964393000,1253274000,15578000,608579000,-1419000,622738000,622738000,1876012000,28776000,42651000,7014000,-21615000,56826000,-47185000,-47185000,-4813000,-16671000,204000,-1335000,-22819000,-13178000,-13178000,-13178000,90806000,826017000,37609000,0.20545,0.06368,0.03805,0.04621,0.01534,1.30696,3.28937,2.01252,0.4403,0.91769,0.90179,24.11621,19.85954,1.19938,0.01797,0.02348,8.88333,16.75132
"28","2018_Q1",113.523770491803,"Up",744139000,-575514000,168625000,-81433000,-53833000,-27600000,87192000,-12527000,-8540000,-3987000,74665000,74665000,-28728000,45937000,45937000,45937000,45937000,84029000,84029000,318684000,318684000,79039000,423034000,409182000,904786000,414768000,521402000,321743000,28190000,936170000,1840956000,226663000,92361000,134302000,26469000,6480000,6480000,259612000,733843000,122505000,57428000,65077000,856348000,1115960000,16565000,709577000,-1146000,724996000,724996000,1840956000,45937000,27600000,13204000,-79376000,7365000,-25355000,-23893000,35438000,-7841000,284000,-2187000,25410000,8882000,8882000,8882000,114792000,760312000,38789000,0.2266,0.11717,0.06173,0.06336,0.02495,0.8444,3.48515,1.53926,0.413,1.47769,1.45062,23.93729,23.3215,1.24776,0.02857,0.02413,5.89138,7.75625
"29","2018_Q2",102.35546875,"Down",731375000,-599573000,131802000,-105638000,-62283000,-43355000,26164000,-2455000,-10166000,7711000,23709000,23709000,-6478000,17231000,17231000,17231000,17231000,57946000,57946000,644980000,644980000,84260000,148896000,133328000,936082000,416258000,530670000,325840000,26755000,946928000,1883010000,241255000,112200000,129055000,28875000,5730000,5730000,275860000,731736000,128432000,62817000,65615000,860168000,1136028000,21408000,726808000,-1234000,746982000,746982000,1883010000,17231000,43355000,7366000,-43375000,24577000,-26486000,-45827000,-4813000,67000,67000,-87000,-4833000,-26083000,-26083000,-26083000,69519000,760611000,6136000,0.18021,0.03577,0.02356,0.02307,0.00915,0.3561,3.39332,1.52082,0.40393,0.55245,0.53169,23.44875,23.94913,0.19673,0.01053,0.00375000000000001,10.10752,26.85618
