"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"14","2013_Q3",33.663125,"Down",2013600000,-1284200000,-852400000,-431800000,729400000,85600000,-10900000,96500000,8.15e+08,8.15e+08,-221600000,593400000,593400000,-20600000,572800000,572800000,593400000,25800000,-50600000,-83200000,485400000,-15900000,24800000,54600000,63500000.0000001,-1400000.00000024,-65399999.9999999,-7399999.99999999,-135300000,-209500000,339400000,339400000,-26300000,313100000,755200000,1073200000,877700000,0.36224,0.28447,1.5323,0.90347,0.90233,3.17603,1.38438,0.00221000000000005,0.00244000000000044
"15","2013_Q4",37.67109375,"Up",2084800000,-1313100000,-889300000,-423800000,771700000,3e+05,-1e+07,10300000,7.72e+08,7.72e+08,-209900000,562100000,562100000,-9800000,552300000,552300000,562100000,23700000,7900000,162100000,755800000,-13400000,38400000,56400000,79600000,-61800000,-54100000,-103600000,61600000,-157900000,677500000,677500000,-1200000,676300000,795400000,1045100000,1.154e+09,0.37016,0.26492,2.08944,0.87182,0.87072,3.29092,1.82163,0.09755,0.1119
"16","2014_Q1",37.6967213114754,"Up",1984800000,-1249700000,-807600000,-442100000,735100000,-11600000,-11500000,-1e+05,723500000,723500000,-2.13e+08,510500000,510500000,-1500000,5.09e+08,5.09e+08,510500000,2.3e+07,-14400000,-1.1e+07,508100000,-20600000,50900000,28100000,55300000,-61600000,-91400000,-252100000,-105200000,-510300000,53100000,53100000,37900000,9.1e+07,758100000,1.19209289550781e-07,939500000,0.37036,0.25645,1.84578,0.80742,0.80551,3.14848,1.49032,0.09772,0.12102
"17","2014_Q2",38.3939682539683,"Up",2109500000,-1296400000,-864100000,-432300000,813100000,35600000,-12600000,48200000,848700000,848700000,-252700000,5.96e+08,5.96e+08,7800000,603800000,603800000,5.96e+08,25100000,-205800000,-90600000,324700000,-1.5e+07,1.14e+08,16800000,115800000,-64100000,-46500000,-129900000,1.68e+08,-72500000,3.68e+08,3.68e+08,8600000,376600000,838200000,1104700000,985300000,0.38545,0.28623,1.63183,0.96131,0.9607,3.35854,1.5687,0.10205,0.10616
"18","2014_Q3",39.38734375,"Up",2095900000,-1309900000,-852800000,-457100000,7.86e+08,5600000,-11400000,1.7e+07,791600000,791600000,-238800000,552800000,552800000,8200000,5.61e+08,5.61e+08,552800000,25700000,-186400000,-77400000,314700000,-13400000,35200000,-135700000,-113900000,-75800000,-37400000,-165600000,287900000,9100000,209900000,209900000,1300000,211200000,811700000,0,959700000,0.37502,0.26767,1.7107,0.89602,0.89545,3.34755,1.53282,0.12107,0.13512
"19","2014_Q4",38.95453125,"Down",2130500000,-1343700000,-874600000,-469100000,786800000,96700000,-10900000,107600000,883500000,883500000,-251400000,632100000,632100000,-53200000,578900000,578900000,632100000,22100000,-19500000,136800000,771500000,-9800000,55800000,236400000,282400000,-75400000,-4.7e+07,-128500000,-1.8e+07,-268900000,7.85e+08,7.85e+08,1700000,786700000,808900000,0,1187300000,0.3693,0.27172,2.05096,0.92892,0.92832,3.41865,1.90517,0.12099,0.13025
"20","2015_Q1",37.8398360655738,"Down",2155500000,-1320200000,-856800000,-463400000,835300000,50500000,-12500000,6.3e+07,885800000,885800000,-2.55e+08,630800000,630800000,9800000.00000001,640600000,640600000,630800000,21700000,27500000,47100000,727100000,-14900000,75700000,45500000,106300000,-75100000,-49100000,-165600000,-573200000,-8.63e+08,-29600000,-29600000,-7.2e+07,-101600000,8.57e+08,0,1144200000,0.38752,0.29719,1.78614,1.03023,1.02957,3.46655,1.84014,0.12078,0.11723
"21","2015_Q2",36.6850793650794,"Down",2064300000,-1282300000,-821300000,-4.61e+08,7.82e+08,40400000,-11300000,51700000,822400000,822400000,-256100000,566300000,566300000,1e+05,566400000,566400000,566300000,24900000,90300000,-109100000,572400000,-16100000,-2300000,108900000,90500000,-75800000,-60100000,-151200000,-40800000,-327900000,3.35e+08,3.35e+08,-45800000,289200000,806900000,0,937800000,0.37882,0.27438,1.65572,0.9134,0.91325,3.32898,1.51234,0.12224,0.13383
"22","2015_Q3",31.0521875,"Down",2009800000,-1252100000,-792600000,-459500000,757700000,101200000,-1700000,102900000,858900000,858900000,-2.36e+08,622900000,622900000,-16400000,606500000,606500000,622900000,24500000,24200000,-122600000,5.49e+08,-13600000,45900000,-15700000,16600000,-405200000,368900000,-176400000,-4400000,-217100000,348500000,348500000,-111400000,237100000,782200000,-3.72529029846191e-09,8.82e+08,0.377,0.30177,1.45425,0.98203,0.98187,3.25421,1.42811,0.65609,0.6681
"23","2015_Q4",28.16984375,"Down",2000800000,-1.231e+09,-778500000,-452500000,769800000,-18400000,-13700000,-4700000,751400000,751400000,-217400000,5.34e+08,5.34e+08,-29800000,504200000,504200000,5.34e+08,23200000,-3.9e+07,175300000,693500000,-13800000,62100000,79900000,128200000,-9.3e+07,-280600000,-218300000,39700000,-552200000,269500000,269500000,34600000,304100000,7.93e+08,0,1171900000,0.38475,0.252,2.32428,0.82104,0.82091,3.2581,1.90832,0.15144,0.18445
"24","2016_Q1",25.6111475409836,"Down",1873800000,-1155700000,-718400000,-437300000,718100000,-122400000,-12900000,-109500000,595700000,595700000,-214200000,381500000,381500000,-23300000,358200000,358200000,381500000,24800000,-8e+05,31600000,437100000,-25300000,2600000.00000001,36300000,13600000,-92400000.0000001,-42900000,-488400000,108700000,-5.15e+08,-64300000,-64300000,6000000.00000001,-58299999.9999999,742900000,0,963400000,0.38323,0.19116,2.68956,0.58973,0.58963,3.08495,1.5861,0.15212,0.25796
"25","2016_Q2",26.41796875,"Up",1.758e+09,-1104400000,-6.8e+08,-424400000,653600000,18500000,-1.2e+07,30500000,672100000,672100000,-209700000,462400000,462400000,-14600000,447800000,447800000,462400000,22600000,-5.7e+07,-132800000,295200000,-19100000,107400000,9e+05,89200000,-91500000,-26900000,-381500000,36500000,-463400000,-7.9e+07,-7.9e+07,-20100000,-99100000,676200000,0,7.34e+08,0.37179,0.25472,1.63912,0.74933,0.74921,2.94177,1.22825,0.15311,0.20433
"26","2016_Q3",25.86421875,"Down",1613900000,-1076600000,-619700000,-456900000,537300000,5200000,-12200000,17400000,542500000,542500000,-181700000,360800000,360800000,-399999.999999998,360400000,360400000,360800000,23800000,55300000,-305400000,134500000,-1.6e+07,-14300000,40100000,9799999.99999999,-107400000,5.1e+07,-339300000,-7399999.99999999,-403100000,-258800000,-258800000,30800000,-2.28e+08,561100000,0,421400000,0.33292,0.22331,1.16926,0.61397,0.61386,2.7494,0.71789,0.18296,0.298
"27","2016_Q4",27.5165079365079,"Up",1634300000,-1038900000,-628400000,-410500000,595400000,53500000,-12300000,65800000,648900000,648900000,-187400000,461500000,461500000,-15100000,446400000,446400000,461500000,19400000,31900000,222900000,735700000,-26300000,-71600000,90900000,-7e+06,-105700000,-27200000,-322700000,-53600000,-509200000,219500000,219500000,-18400000,201100000,614800000,0,998800000,0.36431,0.27314,2.23746,0.77112,0.77112,2.82311,1.72534,0.18259,0.23678
"28","2017_Q1",30.6543548387097,"Up",1611800000,-1032400000,-621900000,-410500000,579400000,56900000,-13400000,70300000,636300000,636300000,-163300000,4.73e+08,4.73e+08,-899999.999999996,472100000,472100000,4.73e+08,21300000,-9e+07,1.58e+08,562300000,-36200000,15900000,120500000,100200000,-104100000,-90700000,-240400000,10200000,-4.25e+08,237500000,237500000,3699999.99999999,241200000,600700000,0,885800000,0.35947,0.2929,1.8763,0.82578,0.82607,2.81931,1.54941,0.18209,0.2205
"29","2017_Q2",31.7190476190476,"Up",1560800000,-973900000,-581600000,-392300000,586900000,32800000,-13300000,46100000,619700000,619700000,-200900000,418800000,418800000,21400000,440200000,440200000,418800000,19900000,35400000,-14200000,459900000,-12800000,6400000,-5.2e+07,-64600000,-103400000,-10300000,-256200000,-3500000,-373400000,21900000,21900000,-50400000,-28500000,606800000,0,780700000,0.37603,0.28203,1.77351,0.77898,0.77884,2.76199,1.38153,0.18298,0.23489
"30","2017_Q3",32.6730158730159,"Up",1600600000,-1045100000,-618700000,-426400000,555500000,7.2e+07,-12600000,84600000,627500000,627500000,-192500000,4.35e+08,4.35e+08,-14300000,420700000,420700000,4.35e+08,20600000,-294500000,3300000,164400000,-1.6e+07,-5.9e+07,221500000,187100000,-113300000,-114600000,-155900000,3.37e+08,-46800000,304700000,304700000,16600000,321300000,576100000,4.65661287307739e-10,755900000,0.34706,0.26284,1.79677,0.75085,0.75045,2.85668,1.3491,0.20221,0.26931
"31","2017_Q4",32.4438095238095,"Down",1613900000,-1049700000,-622700000,-4.27e+08,564200000,79300000,-12900000,92200000,643500000,643500000,-184100000,459400000,459400000,-48800000,410600000,410600000,459400000,21800000,-251500000,9.6e+07,325700000,-20200000,-12300000,23300000,-3600000,-112700000,-230900000,-175500000,162800000,-356300000,-34200000,-34200000,44300000,10100000,5.86e+08,0,845900000,0.34959,0.25441,2.06016,0.73822,0.73756,2.90165,1.52086,0.20262,0.27448
"32","2018_Q1",30.6870491803279,"Down",1616900000,-1059200000,-630100000,-429100000,557700000,100700000,-12700000,113400000,658400000,658400000,-181900000,476500000,476500000,-51300000,425200000,425200000,476500000,1.8e+07,-338400000,32199999.9999999,188300000,-25900000,37300000,-24300000,-5500000,-111800000,-350100000,-152800000,370900000,-243800000,-6.1e+07,-6.1e+07,24500000,-36500000,575700000,53400000,763900000,0.34492,0.26297,1.79657,0.76806,0.76765,2.9207,1.37988,0.20195,0.26294
"33","2018_Q2",27.6090625,"Down",1615500000,-1034400000,-617500000,-416900000,581100000,70500000,-10800000,81300000,651600000,651600000,-1223500000,-571900000,-571900000,-11400000,-583300000,-583300000,-571900000,20900000,-222200000,1041300000,268100000,-19200000,-5800000,-33600000,88500000,-111700000,-97200000,-198700000,261700000,-145900000,210700000,210700000,1e+07,220700000,6.02e+08,5.1e+07,2847600000,0.3597,-0.36106,-4.88188,-1.0592,-1.0592,2.93354,5.17087,0.20283,-0.1915
"34","2018_Q3",26.7504761904762,"Down",1617800000,-1062100000,-614400000,-447700000,555700000,77400000,-1e+07,87400000,633100000,633100000,-150200000,482900000,482900000,-39700000,443200000,443200000,482900000,17400000,157600000,-129900000,5.28e+08,-24500000,-102300000,13600000,-269400000,-127300000,177900000,-407100000,-161800000,-518300000,-259700000,-259700000,15800000,-243900000,573100000,3.4e+07,568900000,0.34349,0.27395,1.28362,0.81321,0.81247,2.96844,1.04385,0.23358,0.28723
"35","2018_Q4",25.7171428571429,"Down",1558600000,-1055500000,-6.05e+08,-450500000,503100000,-55900000,-22100000,-33800000,447200000,447200000,-91800000,355400000,355400000,46600000,4.02e+08,4.02e+08,355400000,20400000,347100000,-108700000,614200000,-27800000,-14400000,38200000,-90800000,-1755900000,-365100000,-436600000,2200000,-2555400000,-2.032e+09,-2.032e+09,-40300000,-2072300000,523500000,34100000,478800000,0.32279,0.25792,1.19104,0.75422,0.75351,2.9242,0.89831,3.29437,4.36791
"36","2019_Q1",26.6445901639344,"Up",1412600000,-1024300000,-574500000,-4.48e+08,388300000,9.5e+07,-3400000,38800000,483300000,483300000,-7e+06,476300000,476300000,26200000,502500000,502500000,476300000,15900000,277200000,50000000.0000001,819400000,-3.5e+07,408700000,-401500000,-18700000,-1.22e+08,-98499999.9999999,-357600000,3.6e+07,-542100000,258600000,258600000,-2200000.00000001,256400000,404200000,32600000,426200000,0.27488,0.35573,0.84816,0.96468,0.96209,2.71184,0.8182,0.23421,0.24279
"37","2019_Q2",28.9203174603175,"Up",1411500000,-1e+09,-552900000,-447100000,411500000,-65500000,-6400000,-59100000,3.46e+08,3.46e+08,-8.6e+07,2.6e+08,2.6e+08,15900000,275900000,275900000,2.6e+08,20300000,2e+07,-23100000,277200000,-25700000,-42500000,-42100000,-1.41e+08,-122300000,21200000,-321400000,45900000,-376600000,-240400000,-240400000,-11300000,-251700000,431800000,32700000,4.69e+08,0.29153,0.19547,1.69989,0.54066,0.54013,2.76602,0.91907,0.23966,0.44328
"38","2019_Q3",26.19,"Down",1433800000,-1054300000,-551200000,-503100000,379500000,1.13e+08,-5700000,118700000,492500000,492500000,-110900000,381600000,381600000,-14100000,367500000,367500000,381600000,21500000,-1.29e+08,-96800000,177300000,-46500000,71400000,35400000,-603600000,-133100000,-19400000,-135200000,1600000,-286100000,-712400000,-712400000,-500000.000000004,-712900000,4.01e+08,32800000,368600000,0.26468,0.25631,1.00299,0.72816,0.72758,2.8409,0.73033,0.26372,0.36218
"39","2019_Q4",23.495625,"Down",1476700000,-1101800000,-566200000,-535600000,374900000,38600000,-5600000,44200000,413500000,413500000,-158900000,254600000,254600000,-8700000,245900000,245900000,254600000,25600000,-764400000,1.99e+08,-285200000,-130400000,-9.6e+07,-48200000,-264200000,-132100000,-2300000,-120400000,615500000,360700000,-188700000,-188700000,3e+05,-188400000,400500000,31800000,6.28e+08,0.25388,0.16652,2.55388,0.49004,0.48945,2.94281,1.25149,0.26325,0.53721
"40","2020_Q1",20.0564516129032,"Down",1347400000,538300000,-540700000,1093700000,3.01e+08,94800000,-4700000,99500000,395800000,395800000,-86500000,309300000,309300000,-2900000,306400000,306400000,309300000,2.6e+07,-305500000,69400000,99200000,-31100000,-461200000,3.5e+07,-266600000,-131100000,460400000,-154200000,466800000,641900000,474500000,474500000,-25500000,4.49e+08,3.27e+08,50800000,451800000,0.22339,0.2274,1.47454,0.61576,0.61415,2.7078,0.90796,0.26346,0.42787
"41","2020_Q2",16.7309523809524,"Down",1389200000,-1016300000,-525100000,-486400000,372900000,7.7e+07,-6100000,67900000,449900000,445600000,-97500000,348100000,348100000,2400000,350500000,350500000,348100000,2.2e+07,-235600000,-102800000,31700000,-25700000,-3e+05,-2600000,-29600000,-130600000,49400000,-121400000,193300000,-9300000,-7200000,-7200000,25900000,18700000,394900000,99400000,363900000,0.26843,0.2523,1.03823,0.70851,0.70765,2.80817,0.7356,0.264,0.37261
"42","2020_Q3",18.84328125,"Up",1311200000,-971300000,-5.05e+08,-461900000,339900000,-241300000,-3700000,-196700000,98600000,102900000,-44100000,58800000,58800000,20300000,79100000,79100000,58800000,28200000,1.69e+08,-146700001,109299999,-47800000,-49999999.9999999,152300000,35700000,-134600000,20500000.0000001,-53900000,113200000,-54800000,90199999.0000001,90199999.0000001,-30700000,59499999,368100000,613800000,217699999,0.25923,0.06033,2.75221,0.16094,0.16081,2.66775,0.44293,0.27386,1.70164
"43","2020_Q4",20.3321875,"Up",1161100000,2.13e+08,-443800000,661500000,232500000,37300000,-5200000,42200000,269800000,269800000,-16100000,253700000,253700000,36700000,290400000,290400000,253700000,22200000,-167200000,452900001,561600001,-11800000,152900000,-549400000,-470300000,-133900000,635100000,-9e+05,142800000,643100000,734400001,734400001,1.1e+07,745400001,254700000,685600000,711900001,0.20024,0.25011,2.45145,0.59217,0.59157,2.36766,1.45167,0.27304,0.46109
"44","2021_Q1",25.1573770491803,"Up",1.705e+09,-869100000,-679500000,-149500000,103600000,9.6e+07,-18400000,127400000,199600000,199600000,-73100000,126500000,126500000,-47600000,78900000,78900000,126500000,56100000,-76400000,274500000,380700000,-18400000,-1234300000,1394600000,-3597700000,-134100000,351300000,-21400000,-40400000,155400000,-3061600000,-3061600000,21200000,-3040400000,159700000,5817700000,488900000,0.06076,0.04628,6.19645,0.16069,0.16053,3.47251,0.99572,0.27312,1.69962
"45","2021_Q2",30.1204761904762,"Up",1995100000,-860500000,-630100000,-172200000,409100000,128200000,-29700000,157900000,537300000,537300000,-142500000,394800000,394800000,-49500000,345300000,345300000,394800000,8e+07,-210800000,27200000,291200000,-13600000,-1026400000,228400000,-811600000,-134800000,1.084e+09,-45100000,56700000,960800000,440400000,440400000,27700000,468100000,489100000,1377200000,645200000,0.20505,0.17307,1.86852,0.70312,0.70226,4.06251,1.31379,0.27449,0.39039
"46","2021_Q3",29.2525,"Down",2076500000,-887900000,-658700000,-171300000,456300000,157200000,-15900000,173100000,613500000,613500000,-128100000,485400000,485400000,-103600000,381800000,381800000,485400000,80900000,-208100000,-103100000,255100000,-7200000,-790300000,331200000,-466300000,-1.42e+08,422400000,-34300000,123900000,3.7e+08,158800000,158800000,-12800000,1.46e+08,537200000,5.246e+09,5.55e+08,0.21974,0.18387,1.45364,0.77839,0.77776,4.23344,1.1315,0.2895,0.37192
"47","2021_Q4",31.15140625,"Up",2172900000,-923400000,-6.89e+08,-176400000,478100000,77300000,-25700000,1.03e+08,555400000,555400000,-83800000,471600000,471600000,-33200000,438400000,438400000,471600000,84100000,-227700000,-1.35e+08,1.93e+08,-14100000,-1155500000,511500000,-658100000,-141800000,139400000,-45400000,259900000,212100000,-2.53e+08,-2.53e+08,10200000,-242800000,562200000,6655400000,496900000,0.22003,0.20176,1.13344,0.89324,0.89233,4.42726,1.01243,0.28892,0.32345
"48","2022_Q1",29.1590322580645,"Down",2.181e+09,-907400000,-665200000,-184300000,531500000,206500000,-14100000,-44100000,7.38e+08,7.38e+08,4800000.00000001,742800000,742800000,-77100000,665700000,665700000,742800000,65600000,-410800000,108500000,506100000,-44400000,-858900000,232400000,-679900000,-141100000,420300000,-61100000,269100000,487200000,313400000,313400000,-27300000,286100000,597100000,7070400000,656400000,0.2437,0.30523,0.98603,1.36163,1.3594,4.46103,1.34261,0.28861,0.21196
"49","2022_Q2",24.6656451612903,"Down",2.224e+09,-1666300000,-625300000,-982700000,557700000,138200000,-19300000,100500000,695900000,695900000,-151100000,544800000,544800000,-91600000,453200000,453200000,544800000,80700000,-155100000,-3.04e+08,166400000,-16700000,-772100000,432500000,-728600000,-143100000,499500000,-21700000,132600000,467300000,-94900000,-94900000,-8e+06,-102900000,638400000,7572300000,468800000,0.25076,0.20378,1.03442,0.92698,0.92546,4.54899,0.95889,0.2927,0.31575
"50","2022_Q3",25.09703125,"Up",2.081e+09,-62900000,-625200000,622700000,4.63e+08,3200000,-22900000,83100000,466200000,466200000,-107100000,359100000,359100000,-9500000,349600000,349600000,359100000,80700000,-122900000,-212800000,104100000,-25800000,-1.048e+09,651100000,-422700000,-147400000,907500000,-6.9e+07,117500001,808600001,490000001,490000001,-19600000,470400001,543700000,8488100000,412200000,0.22249,0.168,1.17906,0.71376,0.7126,4.24867,0.84157,0.30094,0.42162
