"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",34.7096875,"Down",151346000,-127839000,23507000,-19797000,-19797000,3710000,-116000,-157000,41000,3594000,3476000,-1419000,2057000,2057000,2057000,2057000,66004000,66004000,40954000,40954000,28144000,14562000,149664000,74825000,46277000,26521000,19756000,121102000,270766000,58755000,22941000,35814000,1046000,59801000,23419000,47072000,47072000,70491000,130292000,65990000,-27184000,140474000,140474000,270766000,2057000,3395000,422000,-1484000,4390000,-2538000,-553000,-3091000,-494000,1818000,331000,1655000,2954000,2954000,2954000,7105000,24465000,4502000,0.15532,0.02451,0.01359,0.01464,0.0076,2.18862,2.5027,0.92752,0.09035,0.14107,0.13801,10.37926,9.63367,0.30875,0.0097,0.02123,-5.84645,-11.1965
"12","2014_Q1",34.3534426229508,"Down",171079000,-138767000,32312000,-23424000,-23424000,8888000,-132000,-169000,37000,8756000,8878000,-3688000,5190000,5190000,5190000,5190000,96971000,96971000,39044000,39044000,29338000,12565000,177918000,74064000,42011000,29262000,12749000,116075000,293993000,67953000,23306000,44647000,1155000,69108000,23594000,55096000,55096000,78690000,147798000,71180000,-32150000,146195000,146195000,293993000,5190000,3464000,4467000,9169000,22290000,-1188000,-757000,-1945000,-189000,4060000,6751000,10622000,30967000,30967000,30967000,12352000,24749000,24021000,0.18887,0.05195,0.03034,0.0355,0.01765,4.62832,2.57449,1.01096,0.08418,0.35171,0.34204,11.59343,9.90713,1.62782,0.02296,0.10627,-5.84699,-8.12579
"13","2014_Q2",30.5219047619048,"Down",178095000,-144380000,33715000,-22885000,-22885000,10830000,-160000,-186000,26000,10670000,10682000,-4027000,6655000,6655000,6655000,6655000,100440000,100440000,45276000,45276000,30767000,11629000,188112000,73884000,41836000,28768000,13068000,115720000,303832000,66176000,23749000,42427000,1231000,67407000,23618000,54431000,54431000,78049000,145456000,77835000,-31978000,158376000,158376000,303832000,6655000,3542000,1264000,-9201000,2260000,-1801000,-1149000,-2950000,-224000,4186000,197000,4159000,3469000,3469000,3469000,14372000,24849000,7397000,0.18931,0.06081,0.03737,0.04202,0.0219,1.1115,2.79069,0.91842,0.08179,0.44517,0.43289,11.91318,10.59413,0.4948,0.028,0.03112,-5.2596,-6.97978
"14","2014_Q3",34.5084375,"Up",190532000,-158258000,32274000,-23457000,-23457000,8817000,-155000,-186000,31000,8662000,8631000,-3360000,5271000,5271000,5271000,5271000,118504000,118504000,49159000,49159000,31131000,11749000,210543000,73774000,40523000,27348000,13175000,114297000,324840000,73325000,26338000,46987000,1317000,74642000,23650000,53753000,53753000,77403000,152045000,83106000,-31805000,172795000,172795000,324840000,5271000,3641000,2562000,2078000,13552000,-1942000,-904000,-2846000,-232000,7312000,278000,7358000,18064000,18064000,18064000,12458000,24967000,15954000,0.16939,0.04628,0.02766,0.0305,0.01623,3.02675,2.8207,0.87992,0.07686,0.34608,0.33821,12.50983,11.34526,1.0475,0.02096,0.06343,-7.50819,-10.60871
"15","2014_Q4",39.37734375,"Up",169033000,-143032000,26001000,-20851000,-20851000,5150000,-149000,-182000,33000,5001000,4953000,-2052000,2901000,2901000,2901000,2901000,126053000,126053000,48107000,48107000,29671000,11045000,214876000,73480000,39508000,26480000,13028000,112988000,327864000,69855000,24919000,44936000,1436000,71291000,23311000,52728000,52728000,76039000,147330000,86007000,-31633000,180534000,180534000,327864000,2901000,3676000,1935000,-780000,7732000,-1745000,-736000,-2481000,-6e+05,2893000,4999.99999999977,2298000,7549000,7549000,7549000,8826000,24747000,8353000,0.15382,0.03047,0.01716,0.01607,0.00885,2.87935,3.01407,0.81608,0.07548,0.18746,0.18329,10.92249,11.66566,0.53975,0.01124,0.03237,-11.47813,-19.67107
"16","2015_Q1",45.9090163934426,"Up",188855000,-156668000,32187000,-23224000,-23224000,8963000,46000,-174000,220000,9009000,9404000,-3770000,5634000,5634000,5634000,5634000,135700000,135700000,46475000,46475000,31523000,11718000,225416000,74049000,30599000,19194000,11405000,104648000,330064000,75273000,29175000,46098000,1146000,76419000,20453000,42647000,42647000,63100000,139519000,89154000,-25980000,190545000,190545000,330064000,5634000,3686000,3534000,4137000,16991000,-690000,-616000,-1306000,-3460000,-2202000,-376000,-6038000,9647000,9647000,9647000,12649000,21599000,19866000,0.17043,0.04746,0.02983,0.02957,0.01707,3.52609,2.94974,0.73221,0.06544,0.36254,0.356,12.15258,12.26133,1.27835,0.02211,0.07797,-9.02055,-12.73022
"17","2015_Q2",53.2261904761905,"Up",211917000,-174803000,37114000,-23926000,-23926000,13188000,-131000,-164000,33000,13057000,13054000,-3816000,9238000,9238000,9238000,9238000,138121000,138121000,51374000,51374000,35457000,10874000,235826000,74530000,30094000,19075000,11019000,104624000,340450000,78080000,31594000,46486000,1266000,79346000,20456000,41896000,41896000,62352000,141698000,95203000,-25848000,198752000,198752000,340450000,9238000,3683000,1817000,-5471000,9267000,-2470000,-802000,-3272000,-282000,-3464000,172000,-3574000,2421000,2421000,2421000,16871000,21722000,12746000,0.17513,0.06223,0.04359,0.04648,0.02713,1.37974,2.97212,0.71294,0.0638,0.59477,0.58584,13.64381,12.79621,0.82062,0.03521,0.04858,-6.89935,-8.82613
"18","2015_Q3",63.22234375,"Up",217693000,-180712000,36981000,-24541000,-24541000,12440000,-118000,-150000,32000,12322000,12322000,-4651000,7671000,7671000,7671000,7671000,148863000,130863000,54784000,54784000,35335000,12231000,251213000,76202000,28170000,17938000,10232000,104372000,355585000,78292000,31202000,47090000,1316000,79608000,20315000,40924000,40924000,61239000,140847000,102108000,-25717000,214738000,214738000,355585000,7671000,3707000,2288000,-4296000,9370000,-3862000,-18850000,-22712000,-332000,6261000,155000,6084000,-7258000,-7258000,-7258000,16147000,21631000,12640000,0.16988,0.05714,0.03524,0.03572,0.02157,1.64776,3.15563,0.6559,0.06083,0.48947,0.48063,13.89039,13.70184,0.80652,0.02766,0.04558,-7.87961,-10.22765
"19","2015_Q4",75.41546875,"Up",188963000,-153846000,35117000,-24064000,-24064000,11053000,-74000,-131000,57000,10979000,10976000,-3694000,7282000,7282000,7282000,7282000,162025000,132525000,48173000,48173000,34871000,12573000,257642000,79774000,25931000,16127000,9804000,105705000,363347000,76857000,29971000,46886000,1439000,78296000,20274000,38495000,38495000,58769000,137065000,109391000,-25585000,226282000,226282000,363347000,7282000,3521000,452000,6105000,17360000,-5553000,-11979000,-17532000,-327000,2109000,52000,1834000,1662000,1662000,1662000,14574000,21713000,18820000,0.18584,0.05849,0.03854,0.03218,0.02004,2.58445,3.29062,0.60573,0.05976,0.45915,0.45143,11.91466,14.26774,1.18666,0.02542,0.06569,-9.62756,-12.69447
"20","2016_Q1",67.4411475409836,"Down",206892000,-163572000,43320000,-25546000,-25546000,17774000,15000,-70000,85000,17789000,18035000,-6727000,11308000,11308000,11308000,11308000,185041000,149541000,46142000,46142000,35988000,4758000,271929000,85516000,41459000,33387000,8072000,126975000,398904000,83333000,34288000,49045000,1457000,84790000,21498000,62774000,62774000,84272000,169062000,120698000,-40857000,229842000,229842000,398904000,11308000,3615000,3120000,6124000,24167000,-6858000,-6232000,-13090000,1132000,4309000,498000,5939000,17016000,17016000,17016000,21389000,22955000,27382000,0.20938,0.08591,0.05466,0.0492,0.02835,2.42147,3.20709,0.73556,0.05755,0.7071,0.69426,12.93722,14.37231,1.71223,0.03583,0.08677,-7.57801,-9.11928
"21","2016_Q2",72.2515625,"Up",231198000,-181025000,50173000,-26450000,-26450000,23723000,-2000,-54000,52000,23721000,23721000,-8563000,15158000,15158000,15158000,15158000,190770000,153020000,53106000,53106000,37004000,14411000,295291000,94387000,32915000,23553000,9362000,127302000,422593000,81064000,34831000,46233000,9003000,90067000,21287000,61975000,61975000,83262000,173329000,134329000,-40641000,249264000,249264000,422593000,15158000,3558000,-7172000,-1889000,9655000,-11051000,3756000,-7295000,-370000,1788000,-299000,1119000,3479000,3479000,3479000,27281000,30290000,22904000,0.21701,0.10261,0.06556,0.06081,0.03587,1.51102,3.27857,0.69536,0.07168,0.93678,0.92307,14.28824,15.40473,1.41549,0.04438,0.06706,-5.88248,-6.76474
"22","2016_Q3",78.15015625,"Up",256292000,-200240000,56052000,-27516000,-27516000,28536000,-3000,-57000,54000,28533000,28533000,-10353000,18180000,18180000,18180000,18180000,194222000,164972000,61205000,61205000,37801000,15730000,308958000,101776000,39319000,21663000,17656000,141095000,450053000,98153000,39857000,58296000,3086000,101239000,21033000,60854000,60854000,81887000,183126000,147902000,-40426000,266927000,266927000,450053000,18180000,3955000,-10572000,1020000,12583000,-9999000,11249000,1250000,-382000,-2801000,1302000,-1881000,11952000,11952000,11952000,32491000,24119000,33865000,0.2187,0.11134,0.07093,0.06811,0.0404,1.86276,3.05177,0.68605,0.05359,1.1165,1.10364,15.73985,16.39299,2.07978,0.05166,0.09623,-5.23539,-5.961
"23","2016_Q4",77.2692063492063,"Down",218632000,-174034000,44598000,-25857000,-25857000,18741000,-58000,-119000,61000,18683000,18683000,-6670000,12013000,12013000,12013000,12013000,187679000,164679000,49529000,49529000,38096000,19536000,294840000,102869000,49007000,17293000,31714000,151876000,446716000,86265000,34155000,52110000,1574000,87839000,23634000,57452000,57452000,81086000,168925000,155439000,-40211000,277791000,277791000,446716000,12013000,4291000,-13220000,-6011000,-2927000,-4021000,10637000,6616000,2418000,-3256000,-3144000,-3982000,-293000,-293000,-293000,23032000,25208000,19670000,0.20399,0.08572,0.05495,0.04324,0.02689,1.63739,3.3566,0.6081,0.05643,0.73722,0.73001,13.41712,17.04762,1.20712,0.03333,0.05457,-7.05414,-8.66928
"24","2017_Q1",80.1112903225806,"Up",240923000,-192052000,48871000,-26711000,-26711000,22160000,-1311000,101000,-1412000,20849000,20849000,-7477000,13372000,13372000,13372000,13372000,200213000,174463000,55813000,55813000,39319000,6864000,302209000,99332000,64819000,32574000,32245000,164151000,466360000,90739000,35011000,55728000,1574000,92313000,22145000,71141000,71141000,93286000,185599000,164756000,-47285000,280761000,280761000,466360000,13372000,4652000,39176000,-1907000,55293000,-2768000,-38576000,-41344000,-17000,-4210000,62000,-4165000,9784000,9784000,9784000,26812000,23719000,29614000,0.20285,0.09198,0.0555,0.04763,0.02867,2.21463,3.27374,0.66106,0.05086,0.82213,0.81447,14.81236,17.26167,1.82072,0.0356,0.07884,-6.58265,-7.96453
"25","2017_Q2",91.76,"Up",258150000,-198833000,59317000,-27395000,-27395000,31922000,38000,-159000,197000,31960000,31960000,-10299000,21661000,21661000,21661000,21661000,219313000,162563000,57580000,57580000,39954000,5726000,322573000,100354000,67319000,30431000,36888000,167673000,490246000,87984000,38921000,49063000,8795000,96779000,22773000,68998000,68998000,91771000,188550000,181909000,-47015000,301696000,301696000,490246000,21661000,4497000,-38007000,2296000,-9553000,-4218000,6147000,1929000,324000,-3080000,-1520000,-4276000,-11900000,-11900000,-11900000,36419000,31568000,44796000,0.22978,0.12366,0.08391,0.0718,0.04418,2.06805,3.33309,0.62497,0.06439,1.33181,1.32233,15.87211,18.54949,2.75424,0.05385,0.11136,-5.15514,-5.88137
"26","2017_Q3",92.5666666666667,"Up",264076000,-207924000,56152000,-27821000,-27821000,28331000,98999.9999999999,-170000,269000,28430000,28430000,-10793000,17637000,17637000,17637000,17637000,215144000,155644000,68334000,68334000,40744000,8669000,332891000,103222000,58397000,20848000,37549000,161619000,494510000,94672000,37889000,56783000,1594000,96266000,23902000,59073000,59073000,82975000,179241000,194770000,-46745000,315269000,315269000,494510000,17637000,4376000,-7138000,-15676000,-801000,-6110000,4264000,-1845999.99999999,825000,-5122000,25000,-4272000,-6919000,-6919000,-6919000,32707000,25496000,21714000,0.21264,0.10728,0.06679,0.05594,0.03567,1.23116,3.45803,0.56853,0.05156,1.08232,1.07274,16.20534,19.34686,1.33251,0.04411,0.05431,-5.79839,-6.69401
"27","2017_Q4",105.107936507937,"Up",249285000,-197689000,51596000,-29995000,-29995000,21601000,172000,-447000,619000,21773000,21773000,-7220000,14553000,14553000,14553000,14553000,219966000,163216000,59488000,59488000,41268000,7015000,327737000,103123000,59499000,21707000,37792000,162622000,490359000,94559000,32901000,61658000,1577000,96136000,24463000,41716000,41716000,66179000,162315000,206683000,-46475000,328044000,328044000,490359000,14553000,4846000,32872000,9747000,62018000,-3289000,-48528000,-51817000,248000,-2846000,-31000,-2629000,7572000,7572000,7572000,26447000,26040000,40125000,0.20698,0.08665,0.05838,0.04436,0.02968,2.75716,3.4091,0.4948,0.0531,0.89601,0.88841,15.34817,20.19727,2.47045,0.03677,0.10138,-7.33263,-8.97764
"28","2018_Q1",125.219672131148,"Up",258737000,-201166000,57571000,-31187000,-31187000,26384000,378000,1297000,-919000,26762000,26762000,-9414000,17348000,17348000,17348000,17348000,228728000,176978000,63115000,63115000,42859000,4526000,339228000,107933000,54112000,18047000,36065000,162045000,501273000,99899000,41312000,58587000,1598000,101497000,15279000,32048000,32048000,47327000,148824000,224031000,-40417000,352449000,352449000,501273000,17348000,4963000,1489000,1616000,25416000,-8157000,6146999.99999999,-2010000,-9651000,7000,0,-9644000,13762000,13762000,13762000,31347000,16877000,34220000,0.22251,0.10197,0.06705,0.04922,0.03461,1.97256,3.34225,0.42226,0.03367,1.06862,1.05851,15.93797,21.71054,2.10792,0.04322,0.08526,-6.75825,-8.02953
"29","2018_Q2",92.33046875,"Down",276827000,-218469000,58358000,-27725000,-27725000,30633000,739000,517000,222000,31372000,31372000,-9091000,22281000,22281000,22281000,22281000,230347000,175597000,62771000,62771000,44477000,4828000,342423000,115427000,59359000,16460000,42899000,174786000,517209000,91180000,40902000,50278000,7984000,99164000,16211000,29413000,29413000,45624000,144788000,241229000,-40173000,372421000,372421000,517209000,22281000,5536000,4082000,-5329000,26570000,-10641000,-10537000,-21178000,279000,-4305000,-2747000,-6773000,-1381000,-1381000,-1381000,36169000,24195000,29290000,0.21081,0.11066,0.08049,0.05983,0.04308,1.31457,3.4531,0.38878,0.04678,1.3693,1.36233,17.0127,22.88753,1.80005,0.0523,0.06875,-5.69969,-6.72974
"30","2018_Q3",85.397619047619,"Down",274769000,-217298000,57471000,-26462000,-26462000,31009000,454000,631000,-177000,31463000,31463000,-11708000,19755000,19755000,19755000,19755000,220045000,162545000,66211000,66211000,46723000,9189000,342168000,121732000,49405000,10140000,39265000,171137000,513305000,98500000,38739000,59761000,1710000,100210000,16087000,21865000,21865000,37952000,138162000,244683000,-39929000,375143000,375143000,513305000,19755000,5441000,-456000,-9472000,15268000,-10017000,59000,-9958000.00000001,-421000,-17909000,-32000,-18362000,-13052000,-13052000,-13052000,36450000,17797000,28669000,0.20916,0.11285,0.0719,0.05266,0.03849,1.45123,3.41451,0.36829,0.03467,1.21958,1.2132,16.96292,23.15953,1.76989,0.04762,0.06911,-5.54864,-6.52224
"31","2018_Q4",63.7260317460317,"Down",292791000,-242412000,50379000,-42652000,-42652000,7727000,-3963000,-4035000,72000,3764000,3764000,-1768000,1996000,1996000,1996000,1996000,147624000,139624000,121777000,121777000,108003000,37664000,415068000,210628000,1076293000,0,40356000,1286921000,1701989000,167832000,65052000,102780000,14864000,182696000,881585000,75062000,11493000,956647000,1139343000,241727000,-39667000,562646000,562646000,1701989000,1996000,10685000,-4533000,-1105000,7043000,-67726000,70507000,2781000,-20521000,-5500000,-6724000,-32745000,-22921000,-22921000,-22921000,18412000,896449000,-48651000,0.17206,0.02639,0.00682,0.00355,0.00117,-24.37425,2.27191,2.02497,0.52671,0.12039,0.11919,17.65929,33.93522,-2.93432,0.0013,-0.03171,40.67049,96.91019
"32","2019_Q1",74.7624590163934,"Up",405887000,-316692000,89195000,-50859000,-50859000,38336000,-10175000,-10167000,-7999.99999999977,28161000,28161000,-9052000,19109000,19109000,19109000,19109000,86410000,78410000,136355000,136355000,104801000,36801000,364367000,218102000,1062876000,732000,35915000,1280978000,1645345000,166312000,71096000,95216000,4143000,170455000,809897000,83328000,11765000,893225000,1063680000,269576000,-49069000,581665000,581665000,1645345000,19109000,23342000,8920000,-13477000,37894000,-16379000,418000,-15961000,-75175000,3000,-7975000,-83147000,-61214000,-61214000,-61214000,61678000,814040000,40874000,0.21975,0.09445,0.04708,0.03285,0.01161,2.13899,2.13761,1.82868,0.49475,1.09357,1.08602,23.22805,33.28746,2.33913,0.01292,0.02764,11.79724,18.98033
