"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q1",2.60245901639344,"Down",1262000,-778000,484000,-1953000,-1925000,-1469000,-246000,-269000,-1715000,1106000,1104000,1104000,1104000,1104000,916000,916000,590000,590000,575000,575000,2081000,412000,387000,387000,799000,2880000,3138000,753000,2385000,1683000,1683000,4821000,6783000,11604000,253059000,-261783000,-8724000,-8724000,2880000,1104000,28000,542000,-2970000,-1296000,-11000,1989000,691000,691000,691000,-1441000,3728000,0.38352,-1.16403,0.8748,-0.12655,0.38333,0.43165,-1.33012,1.29444,0.12451,0.12451,0.14233,-0.98392,-0.56878,-1.95142,-1.91423
"12","2016_Q2",3.7796875,"Up",728000,-966000,-238000,-2219000,-2187000,-2457000,-268000,-333000,-2725000,-4290000,-4292000,-4292000,-4292000,-4292000,262000,262000,610000,610000,434000,434000,1306000,390000,371000,371000,761000,2067000,3102000,772000,2330000,3229000,2276000,11007000,3901000,14908000,253234000,-266075000,-12841000,-12841000,2067000,-4292000,32000,374000,2368000,-1518000,858000,858000,-654000,-654000,-654000,-2425000,4714000,-0.32692,-3.375,-5.8956,0.33424,-2.07644,0.11865,-1.16097,2.2806,-0.46815,-0.46815,0.07941,-1.40063,1.00657,-1.83588,-1.81197
"13","2016_Q3",6.5634375,"Up",1223000,-1162000,61000,-2168000,-2136000,-2107000,-581000,-591000,-2688000,-4717000,-4720000,-4720000,-4720000,-4720000,52000,52000,909000,909000,330000,330000,1291000,407000,371000,371000,778000,2069000,3225000,734000,2491000,4720000,2801000,14050000,5406000,19456000,253408000,-270795000,-17387000,-17387000,2069000,-4720000,32000,610000,2647000,-1431000,1237000,1237000,-210000,-210000,-210000,-2075000,6161000,0.04988,-1.72281,-3.85936,0.27147,-2.2813,0.09189,-1.119,2.97777,-0.51483,-0.51483,0.1334,-1.89649,0.80327,-2.9441,-2.89938
"14","2016_Q4",6.12714285714286,"Down",1336000,-1253000,82999.9999999999,-2233000,-2195000,-2150000,-3200000,-3215000,-5350000,-7411000,-7413000,-7413000,-7413000,-7413000,1843000,1843000,889000,889000,305000,305000,3037000,445000,371000,371000,816000,3853000,3261000,818000,2443000,7672000,3231000,19580000,8854000,28434000,253627000,-278208000,-24581000,-24581000,3853000,-7413000,38000,3206000,2667000,-1502000,3144000,3369000,1791000,1791000,1791000,-2112000,8687000,0.06213,-1.60928,-5.54865,0.30157,-1.92396,0.15511,-1.15675,2.25461,-0.80788,-0.80788,0.1456,-2.67888,1.04703,-3.24053,-3.18326
"15","2017_Q1",7.84790322580645,"Up",3788000,-1289000,2499000,-2359000,-2320000,140000,-1199000,-1215000,-1059000,-1509000,-1511000,-1511000,-1511000,-1511000,851000,851000,1052000,1052000,420000,420000,2323000,410000,371000,371000,781000,3104000,3534000,870000,2664000,1525000,1525000,14855000,13577000,28432000,254391000,-279719000,-25328000,-25328000,3104000,-1511000,39000,3559000,-3362000,-1275000,512000,287000,-992000,-992000,-992000,179000,9827000,0.65971,0.03696,-0.39889,0.05966,-0.48679,0.15638,-1.12255,3.16591,-0.16403,-0.16403,0.41122,-2.7496,0.77289,50.14525,64.11429
"16","2017_Q2",5.71301587301587,"Down",1822000,-1365000,457000,-2668000,-2629000,-2211000,-2853000,-2867000,-5064000,-21767000,-21768000,-21768000,-21768000,-21768000,291000,291000,1263000,1263000,596000,596000,2150000,419000,371000,371000,790000,2940000,3823000,1221000,2602000,1943000,1943000,15812000,31728000,47540000,256887000,-301487000,-44600000,-44600000,2940000,-21768000,39000,2878000,16193000,-2658000,2030000,2147000,-560000,-560000,-560000,-2172000,10068000,0.25082,-1.2135,-11.94731,0.48807,-7.40408,0.13597,-1.06592,3.42449,-2.35432,-2.35432,0.19706,-4.82371,7.70276,-4.50138,-4.42198
"17","2017_Q3",4.75984126984127,"Down",1665000,-1332000,333000,-2985000,-2940000,-2652000,-525000,-539000,-3177000,13926000,13925000,13925000,13925000,13925000,9222000,9222000,987000,987000,178000,178000,10387000,454000,371000,371000,825000,11212000,2367000,656000,1711000,2368000,2368000,4735000,124000,4859000,293915000,-287562000,6353000,6353000,11212000,13925000,45000,811000,-17014000,-2233000,-5280000,11242000,8931000,8931000,8931000,-2607000,14000,0.2,-1.59279,8.36336,2.19188,1.24197,2.19366,0.76484,0.00125,1.00288,0.97384,0.11991,0.45754,2.14992,3.53203,3.4721
"18","2017_Q4",3.75714285714286,"Down",1195000,-1664000,-469000,-2622000,-2575000,-3091000,14000,-1999.99999999977,-3077000,-3079000.00000001,-3081000,-3081000,-3081000,-3081000,6926000,6926000,709000,709000,307000,307000,7942000,553000,371000,371000,924000,8866000,2286000,806000,1480000,3180000,3180000,5466000,96000,5562000,293947000,-290643000,3304000,3304000,8866000,-3081000,47000,84000,811000.000000007,-2139000,-9999.99999999814,-10000.0000000037,-2296000,-2296000,-2296000,-3044000,6000.00000000093,-0.39247,-2.58661,-2.57824,-0.93251,-0.34751,1.45298,1.68341,0.000680000000000263,-0.19391,-0.0646800000000001,0.07521,0.20794,-0.90618,2.27332,2.23876
"19","2018_Q1",4.63606557377049,"Up",3035000,-2030000,1005000,-3782000,-3667000,-2777000,87000,-1000,-2690000,-2679000,-2681000,-2681000,-2681000,-2681000,4779000,4779000,511000,511000,366000,366000,5656000,612000,336000,336000,948000,6604000,2735000,980000,1755000,2914000,2914000,5649000,57000,5706000,294222000,-293324000,898000,898000,6604000,-2681000,115000,716000,11000,-1839000,12000,-169000,-2147000,-2147000,-2147000,-2662000,2000,0.33114,-0.91499,-0.88336,-2.98552,-0.40597,1.00124,6.35412,3e-04,-0.16773,-0.16773,0.18988,0.05618,-2.80733,1.79452,1.7202
"20","2018_Q2",5.88703125,"Up",1911000,-2287000,-376000,-3871000,-3786000,-4247000,39000,-1000,-4208000,-4218000,-4218000,-4218000,-4218000,-4218000,1354000,1354000,1211000,1211000,354000,354000,2919000,527000,336000,336000,863000,3782000,2970000,734000,2236000,1689000,1689000,4659000,39999.9999999995,4699000,294748000,-295665000,-917000,-917000,3782000,-4218000,85000,392000,213000.000000001,-3528000,-9000,103000,-3425000,-3425000,-3425000,-4162000,0,-0.19676,-2.2224,-2.20722,4.59978,-1.11528,0.62653,-5.12432,-2.24971950790742e-17,-0.26532,-0.26532,0.1202,-0.05768,4.80958,0.32532,0.31881
"21","2018_Q3",8.70619047619048,"Up",3273000,-2941000,332000,-4477000,-4392000,-4145000,-36000,-36000,-4181000,-4200000,-4200000,-4200000,-4200000,-4200000,5603000,5603000,1140000,1140000,201000,201000,6944000,374000,578000,578000,952000,7896000,4185000,1215000,2970000,3416000,3416000,7601000,4924000,12525000,295236000,-299865000,-4629000,-4629000,7896000,-4200000,85000,412000,3217000,-486000,4991000,4735000,4249000,4249000,4249000,-4060000,4865000,0.10144,-1.26642,-1.28323,0.90732,-0.53191,0.91356,-2.70577,0.61613,-0.26394,-0.26394,0.20568,-0.29089,-14.23729,0.18177,0.17805
"22","2018_Q4",10.0085714285714,"Up",4369000,-3237000,1132000,-5179000,-5120000,-4047000,-241000,-241000,-4288000,-4353000,-4353000,-4353000,-4353000,-4353000,4855000,4855000,2391000,2391000,628000,628000,7874000,314000,291000,291000,605000,8479000,3619000,441000,3178000,5031000,5031000,8650000,7539000,16189000,296508000,-304218000,-7710000,-7710000,8479000,-4353000,59000,1334000,-270000,-3230000,2493000,2482000,-748000.000000002,-748000.000000002,-748000.000000002,-3988000,7415000,0.2591,-0.9263,-0.99634,0.56459,-0.51339,0.91029,-2.09974,0.87451,-0.27348,-0.27348,0.27449,-0.48439,25.45614,-0.64193,-0.63257
"23","2019_Q1",11.2113114754098,"Up",5624000,-2654000,2970000,-4156000,-4097000,-1186000,-292000,-292000,-1478000,-1440000,-1441000,-1441000,-1441000,-1441000,3162000,3162000,1382000,1382000,942000,942000,5486000,263000,574000,574000,837000,6323000,3535000,497000,3038000,4195000,4195000,7730000,7558000,15288000,296690000,-305655000,-8965000,-8965000,6323000,-1441000,59000,338000,-286000,-1330000,-172000,-17000,-1285000,-1285000,-1285000,-1127000,7472000,0.52809,-0.21088,-0.25622,0.16074,-0.2279,0.7097,-1.7053,1.18172,-0.08955,-0.08955,0.34949,-0.55711,1.02416,-3.82431,-3.63406
"24","2019_Q2",16.63,"Up",6811000,-3027000,3784000,-6299000,-4014188.4191434,-2515000,-315000,-321000,-2830000,-2921000,-2921000,-2921000,-2921000,-2921000,1296000,1296000,3601000,3601000,948000,948000,5845000,225000,1147000,1147000,1372000,7217000,4786000,819000,3967000,3694000,3694000,8480000,9413000,17893000,297900000,-308576000,-10676000,-10676000,7217000,-2921000,38000,1098000,-2574000,-4359000,2493000,2493000,-1866000,-1866000,-1866000,-2477000,8861000,0.55557,-0.36926,-0.42887,0.2736,-0.40474,0.68927,-1.676,1.2278,-0.18033,-0.18033,0.42048,-0.65909,2.31275000000001,-3.0541,-3.00795
"25","2019_Q3",16.7809375,"Up",7681000,-4365000,3316000,-8223000,-5166574.33710208,-4907000,-463000,-471000,-5370000,-5490000,-5490000,-5490000,-5490000,-5490000,7059000,7059000,2576000,2576000,1779000,724000,11414000,359000,4287000,4287000,4646000,16060000,5400000,1459000,3941000,4033000,4033000,11875000,16340000,28215000,301911000,-314066000,-12155000,-12155000,16060000,-5490000,34000,1979000,1881000,-1596000,5886000,7359000,5763000,5763000,5763000,-4873000,16060000,0.43171,-0.63885,-0.71475,0.45167,-0.34184,0.96118,-2.32127,1,-0.33076,-0.33076,0.46277,-0.73232,-0.82843,-1.84712,-1.83432
"26","2019_Q4",15.34828125,"Down",8845000,-6119000,2726000,-8322000,-6867166.04548906,-5596000,-3178000,-590000,-8774000,-8563000,-8563000,-8563000,-8563000,-8563000,15900000,15900000,2272000,2272000,2881000,791000,21053000,175000,3222000,3222000,3397000,24450000,5446000,1111000,4335000,4067000,3708000,9513000,32658000,42171000,304908000,-322629000,-17721000,-17721000,24450000,-8563000,36000,1879000,-272000,-6920000,15574000,15761000,8841000,8841000,8841000,-5560000,29868000,0.3082,-0.63267,-0.96812,0.48321,-0.35022,2.21308,-2.37972,1.2216,-0.52585,-0.52585,0.54317,-1.08825,-0.57327,-2.51223,-2.49607
"27","2020_Q1",15.4709677419355,"Up",11758000,-6897000,4861000,-11857000,-8428971.83591736,-6996000,-1689000,-1665000,-8685000,-8685000,-8685000,-8685000,-8685000,-8685000,13610000,13610000,3615000,3615000,3167000,733000,20392000,528000,2935000,2935000,3463000,23855000,7230000,1385000,5845000,6868000,5803000,14098000,33666000,47764000,307405000,-331314000,-23909000,-23909000,23855000,-8685000,721000,1862000,2076000,-4026000,6271000,1736000,-2290000,-2290000,-2290000,-6275000,31597000,0.41342,-0.595,-0.73865,0.36325,-0.36407,1.44645,-1.99774,1.32454,-0.52345,-0.52345,0.70865,-1.441,-0.89013,-2.86645,-2.57104
"28","2020_Q2",22.2853968253968,"Up",12338000,-7233000,5105000,-11109000,-9165000,-6004000,-1591000,-1655000,-7595000,-7595000,-7595000,-7595000,-7595000,-7595000,12001000,12001000,2982000,2982000,4552000,986000,19535000,142000,3210000,3210000,3352000,22887000,7289000,1734000,5555000,7870000,6710000,15159000,35181000,50340000,311456000,-338909000,-27453000,-27453000,22887000,-7595000,370000,3661000,418000,-3146000,-16000,1551000,-1609000,-1609000,-1609000,-5634000,33250000,0.41376,-0.48663,-0.61558,0.27665,-0.33185,1.28867,-1.83368,1.45279,-0.45498,-0.45498,0.73911,-1.64458,-0.98279,-3.77157,-3.53914
"29","2020_Q3",51.43875,"Up",17226000,-9876000,7350000,-11437000,-9063000,-4087000,-2126000,-1683000,-6213000,-6213000,-6213000,-6213000,-6213000,-6213000,12650000,12650000,2685000,2685000,5528000,858000,20863000,1383000,2801000,2801000,4184000,25047000,8607000,1520000,7087000,9250000,8180000,18260000,36831000,55091000,315078000,-345122000,-30044000,-30044000,25047000,-6213000,-288000,4577000,1520000,-404000,-45000,1653000,649000,649000,649000,-4375000,35225000,0.42668,-0.23726,-0.36068,0.2068,-0.24805,1.14255,-1.83368,1.40636,-0.36558,-0.36558,1.01359,-1.76781,-0.86412,-5.16,-5.52361
"30","2020_Q4",60.64421875,"Up",24022000,-13068000,10954000,-13962000,-10265000,-3008000,-2665000,-1818000,-5673000,-5673000,-5673000,-5673000,-5673000,-6137000,57575000,57575000,4212000,4212000,12295000,1279000,74082000,1855000,7326000,7326000,9181000,83263000,9219000,1519000,7700000,11015000,10444000,20652000,47500000,68152000,365906000,-350795000,15111000,15111000,83263000,-5673000,1187000,2683000,-731000,-2534000,9937000,57390000,54339000,54339000,54339000,-1821000,45942000,0.456,-0.12522,-0.25547,-0.40613,-0.07371,3.58716,4.51009,0.55177,-0.35511,-0.35511,1.39,0.87438,-0.09737,6.38825,3.86735
"31","2021_Q1",58.5245901639344,"Down",29251000,-13426000,15825000,-17649000,-12741000,-1824000,-2050000,-2063000,-3874000,-3874000,-3229000,-3229000,-3229000,-4752000,86907000,86907000,16682000,16682000,20049000,4144000,123638000,2273000,18790000,9502000,21063000,144701000,15022000,1287000,13735000,21388000,20954000,36410000,47540000,83950000,414775000,-354024000,60751000,60751000,144701000,-3229000,658000,1955000,418000,-198000,-1119000,39518000,35813000,35813000,35813000,-1166000,45719000,0.54101,-0.06236,-0.16246,-0.07822,-0.03284,3.39572,1.38187,0.31595,-0.27188,-0.27188,1.67359,3.47586,-0.03242,35.32419,22.58114
"32","2021_Q2",32.0931746031746,"Down",28722000,-12750000,15972000,-18852000,-14283000,-2880000,-2613000,-2007000,-5493000,-5493000,-5493000,-5493000,-5493000,-7732000,92467000,92467000,14553000,14553000,18602000,4204000,125622000,3090000,16216000,7242000,19306000,144928000,15203000,1297000,13906000,25441000,24940000,40644000,47617000,88261000,416184000,-359517000,56667000,56667000,144928000,-5493000,863000,3466000,7596000,6432000,-760000.000000002,-2234000,3371000,3371000,3371000,-2017000,45918000,0.55609,-0.10027,-0.2692,-0.13645,-0.05335,3.09079,1.55754,0.31683,-0.43877,-0.43877,1.62989,3.2157,-0.05305,23.07833,16.16285
"33","2021_Q3",19.8471875,"Down",26485000,-8519000,17966000,-19617000,-15218000,-1651000,-2066000,-2029000,-3717000,-3717000,-3717000,-3717000,-3717000,-5955000,91539000,91539000,8837000,8837000,14809000,3118000,115185000,4433000,13754000,5085000,18187000,133372000,11661000,1576000,10085000,15065000,14538000,26726000,47613000,74339000,422267000,-363234000,59033000,59033000,133372000,-3717000,952000,3705000,-4218000,-3278000,-811000,1626000,-3339000,-3339000,-3339000,-699000,46129000,0.67835,-0.06234,-0.22484,-0.10088,-0.04465,4.30985,1.25928,0.34587,-0.33793,-0.33793,1.50295,3.34996,-0.03485,64.96423,27.50454
"34","2021_Q4",7.79328125,"Down",18594000,-5856000,12738000,-18157000,-13594000,-5419000,-2415000,-2054000,-7834000,-7883000,-7883000,-7883000,-7883000,-10122000,75303000,75303000,5203000,5203000,18155000,2734000,98661000,5474000,11686000,3322000,17160000,115821000,10028000,1135000,8893000,5867000,5321000,15895000,47627000,63522000,423416000,-371117000,52299000,52299000,115821000,-7883000,1024000,3694000,-11100000,-14265000,-768000,-2859000,-18475000,-18475000,-18475000,-4395000,46353000,0.68506,-0.29144,-0.54437,-0.19354,-0.08739,6.20705,1.21459,0.40021,-0.55506,-0.55506,1.01963,2.8679,-0.07854,6.58703,5.34231
"35","2022_Q1",3.02661290322581,"Down",10332000,-4089000,6243000,-15322000,-10574000,-9079000,-1916000,-1907000,-10995000,-19898000,-20051000,-20051000,-20051000,-22289000,58824000,58824000,5938000,5938000,15570000,5019000,80332000,3785000,9565000,1506000,13350000,93682000,9297000,1001000,8296000,1036000,441000,10333000,37794000,48127000,436723000,-391168000,45555000,45555000,93682000,-20051000,1172000,9539000,-5704000,-15044000,-12038000,-3162000,-18821000,-18821000,-18821000,-7907000,35792000,0.60424,-0.87873,-2.15728,-0.48928,-0.23792,7.77432,1.05646,0.38206,-1.6222,-1.6222,0.75197,3.3155,-0.24052,2.91286,2.53684
"36","2022_Q2",1.55564516129032,"Down",5258000,-2846000,2412000,-15557000,-12129000,-13145000,-1400000,-1400000,-14545000,-14545000,-14645000,-14645000,-14645000,-16884000,27248000,27248000,5775000,5775000,13608000,4565000,46631000,3546000,9506000,1752000,13052000,59683000,9335000,1933000,7402000,2139000,488000,11474000,16126000,27600000,437896000,-405813000,32083000,32083000,59683000,-14645000,1288000,3215000,-349000,-10491000,-20828000,-23069000,-33815000,-33815000,-33815000,-11857000,16040000,0.45873,-2.5,-3.21111,-0.52626,-0.28289,4.06406,0.86027,0.26875,-0.84836,-0.84836,0.26419,1.61205,-0.30378,0.945260000000001,0.85264
"37","2022_Q3",0.778125,"Down",3903000,-2206000,1697000,-13607000,-10755000,-11910000,-3128000,-1156000,-15038000,-15038000,-15058000,-15058000,-15058000,-17296000,10051000,10051000,3598000,3598000,8451000,2999000,22100000,3130000,9713000,2264000,12843000,34943000,7171000,1676000,5495000,1837000,322000,9008000,6203000,15211000,440603000,-420871000,19732000,19732000,34943000,-15058000,1446000,4285000,5603000,-3724000,-12533000,-12974000,-17197000,-17197000,-17197000,-10464000,6167000,0.43479,-3.0515,-4.43146,-0.87655,-0.49498,2.45337,0.77088,0.17649,-0.86906,-0.86906,0.19611,0.99146,-0.6669,0.37118,0.32611
