"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"40","2020_Q1",69.4508064516129,"Down",683895000,-130987000,552908000,-322217000,-11630000,-214882000,-95705000,230691000,-110619000,-100300000,-10319000,120072000,178204000,298276000,3030000,301306000,301306000,-11542000,289764000,-772000,288992000,45753000,45753000,71246000,71246000,116999000,20256821000,27533607000,-7276786000,798949000,52238000,746711000,21055770000,21172769000,379528000,94350000,66852000,218326000,2959443000,2959443000,678297000,678297000,4017268000,6077513000,70062000,70062000,6147575000,10164843000,37280000,8969294000,1386495000,-77563000,10315506000,692420000,11007926000,21172769000,9036956000,0.80847,0.33732,0.42257,0.02625,0.01365,0.02912,0.92341,0.42682,0.77861,0.74713,1.84257,27.69195,-0.01644,38.97509
"41","2020_Q2",56.2836507936508,"Down",682305000,-143525000,538780000,-324672000,-14518000,-212422000,-97732000,214108000,-89361000,-85590000,-3771000,124747000,207977000,332724000,-53000,332671000,332671000,-24065000,308606000,-773000,307833000,82335000,82335000,58435000,58435000,140770000,19988674000,27408967000,-7420293000,789874000,55866000,734008000,20778548000,20919318000,463807000,165696000,65925000,232186000,2553396000,2553396000,629705000,629705000,3646908000,6079308000,69074000,69074000,6148382000,9795290000,37280000,9096162000,1469821000,-72896000,10530367000,593661000,11124028000,20919318000,8632704000,0.78965,0.3138,0.45117,0.02767,0.01472,0.0386,0.88055,0.41267,0.82844,0.79554,1.83622,28.23895,0.01557,39.93484
"42","2020_Q3",50.743125,"Down",653532000,-128060000,525472000,-312849000,-11835000,-205976000,-95038000,212623000,-85221000,-81885000,-3336000,127402000,144266000,271668000,-187000.000000001,271481000,271481000,-10593000,260888000,-772000,260116000,187416000,187416000,58117000,58117000,245533000,19626683000,27164396000,-7537713000,842735000,55310000,787425000,20469418000,20714951000,409573000,109776000,67589000,232208000,2340757000,2340757000,645343000,645343000,3395673000,6081102000,64005000,64005000,6145107000,9540780000,37280000,9122054000,1505694000,-67355000,10597673000,576498000,11174171000,20714951000,8421859000,0.80405,0.32534,0.39802,0.02328,0.01256,0.07231,0.85382,0.40656,0.69962,0.67458,1.75777,28.40373,0.01327,38.7279
"43","2020_Q4",52.41234375,"Up",622433000,-133261000,489172000,-306737000,-10859000,-200605000,-95273000,182435000,-86783000,-80874000,-5909000,95652000,-25000,95627000,-262000,95365000,95365000,-4079000,91286000,-773000,90513000,178333000,178333000,56881000,56881000,235214000,19574271000,27312589000,-7738318000,814493000,54828000,759665000,20388764000,20623978000,456517000,158611000,65669000,232237000,2313833000,2313833000,661206000,661206000,3431556000,6082897000,61453000,61453000,6144350000,9575906000,37280000,9169740000,1371938000,-61478000,10517480000,530592000,11048072000,20623978000,8396730000,0.7859,0.2931,0.14542,0.00819,0.00439,0.06854,0.86675,0.40713,0.2434,0.23487,1.6738,28.18251,0.0385,45.04836
"44","2021_Q1",62.0598360655738,"Up",613435000,-129977000,483458000,-306441000,-11093000,-201829000,-93519000,177017000,-118567000,-116724000,1441000,58450000,204884000,263334000,-350000,262984000,262984000,-10128000,252856000,-772000,252084000,42591000,42591000,57137000,57137000,99728000,19343668000,27203325000,-7859657000,843495000,52782000,790713000,20187163000,20286891000,405524000,107366000,65896000,232262000,2708720000,2708720000,674194000,674194000,3788438000,5335536000,60480000,60480000,5396016000,9184454000,37280000,9132322000,1399715000,-43666000,10525651000,576786000,11102437000,20286891000,8044256000,0.78812,0.28857,0.41094,0.02271,0.01243,0.02632,0.82725,0.39652,0.6778,0.65378,1.64939,28.20084,-0.02134,45.20281
"45","2021_Q2",71.4471428571429,"Up",597602000,-143184000,454418000,-318815000,-15383000,-199962000,-103470000,135603000,-75048000,-67358000,-7690000,60555000,-38000,60517000,-153000,60364000,60364000,-2825000,57539000,-773000,56766000,35453000,35453000,62383000,62383000,97836000,19242185000,27301804000,-8059619000,828994000,53274000,775720000,20071179000,20169015000,456254000,168028000,55489000,232737000,2700453000,2700453000,652502000,652502000,3809209000,5337103000,60939000,60939000,5398042000,9207251000,37280000,9087075000,1231808000,-41363000,10314800000,646964000,10961764000,20169015000,8037556000,0.7604,0.22691,0.09499,0.00518,0.00281,0.02568,0.83994,0.39851,0.15248,0.14671,1.60525,27.60696,0.00302,59.01125
"46","2021_Q3",78.65453125,"Up",598059000,-132201000,465858000,-312752000,-14678000,-200673000,-97401000,153106000,-48562000,-67124000,20434000,104544000,223738000,328282000,-242000,328040000,328040000,-11654000,316386000,-772000,315614000,39492000,39492000,353009000,353009000,392501000,19241091000,27405378000,-8164287000,830754000,53364000,777390000,20071845000,20464346000,413060000,114288000,65814000,232958000,2912021000,2912021000,656196000,656196000,3981277000,5338671000,62228000,62228000,5400899000,9382176000,37280000,9113865000,1321875000,-39029000,10433991000,648179000,11082170000,20464346000,8250692000,0.77895,0.256,0.52773,0.02848,0.01542,0.09859,0.8466,0.40317,0.84429,0.81382,1.59986,27.81208,0.01631,53.63082
"47","2021_Q4",82.50453125,"Up",623206000,-140233000,482973000,-325347000,-13041000,-215397000,-96909000,157626000,-67766000,-68251000,1641000,89860000,357756000,447616000,-284000,447332000,447332000,-15381000,431951000,-773000,431178000,39707000,39707000,187042000,187042000,226749000,19604869000,27865715000,-8260846000,831397000,79429000,751968000,20436266000,20663015000,456605000,166522000,56777000,233306000,2311165000,2311165000,663562000,663562000,3431332000,5833483000,64617000,64617000,5898100000,9329432000,37280000,9134828000,1527115000,-36666000,10662557000,671026000,11333583000,20663015000,8144648000,0.77498,0.25293,0.69187,0.03804,0.02087,0.06608,0.82317,0.39417,1.15189,1.11073,1.66489,28.38539,0.0221,51.41881
"48","2022_Q1",85.2670967741935,"Up",645130000,-136069000,509061000,-334969000,-13404000,-222240000,-99325000,174092000,-78104000,-69740000,-7994000,95988000,465226000,561214000,-236000,560978000,560978000,-34004000,526974000,-772000,526202000,123832000,123832000,66695187.2730083,66695187.2730083,123832000,19918624000,28272906000,-8354282000,1126785000,127448000,999337000,21045409000,21169241000,410025000,107013000,69510000,233502000,2506231000,2161214798.57401,665437000,665437000,3581693000,5835222000,66141000,66141000,5901363000,9483056000,37280000,9162157000,1827063000,-34272000,10954948000,731237000,11686185000,21169241000,8341453000,0.78908,0.26986,0.81565,0.04503,0.02486,0.03457,0.81148,0.39404,1.39647,1.34727,1.71208,29.07287,0.02607,47.20275
"49","2022_Q2",77.1790322580645,"Down",653348000,-155621000,497727000,-347887000,-17238000,-229961000,-100688000,149840000,-75658000,-72792000,-2866000,74182000,-102000,74080000,-282000,73798000,73798000,-3033000,70765000,-772000,69993000,41140000,41140000,70560000,70560000,111700000,19858825000,28436956000,-8578131000,859712000,150092000,709620000,20718537000,20830237000,457131000,157681000,56876000,242574000,2323194000,2323194000,614947000,614947000,3395272000,5836957000,67515000,67515000,5904472000,9299744000,37280000,9146729000,1661705000,-31847000,10813867000,716626000,11530493000,20830237000,8160151000,0.76181,0.22934,0.10713,0.00607,0.00336,0.0329,0.80653,0.39175,0.1867,0.17993,1.74274,28.74546,0.00358,54.18454
"50","2022_Q3",72.56,"Down",687030000,-142914000,544116000,-342079000,-16423000,-223806000,-101850000,202037000,-76965000,-71889000,-2647000,125072000,107897000,232969000,-291000,232678000,232678000,-8577000,224101000,-773000,223328000,45010000,45010000,73641000,73641000,118651000,19560653000,28301459000,-8740806000,895041000,169272000,725769000,20455694000,20574345000,431106000,119402000,69037000,242667000,2129350000,2129350000,602718000,602718000,3163174000,5838693000,69609000,69609000,5908302000,9071476000,37280000,9233499000,1649960000,-30650000,10890089000,612780000,11502869000,20574345000,7968043000,0.79198,0.29407,0.32506,0.01941,0.01085,0.03751,0.78863,0.38728,0.59473,0.57318,1.8296,28.90159,0.01147,39.21575
