"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",22.9507936507936,"Up",23281000,-8003000,15278000,-15803000,-10613000,-4003000,-1299000,-525000,-1178000,-1160000,-18000,-1703000,-3912000,-5615000,-196000,-5811000,-5811000,-5811000,-5811000,57420000,57420000,14278000,14278000,2766000,2766000,74464000,3876000,146522000,41172000,103778000,1572000,150398000,224862000,12655000,2482000,10173000,3666000,36565000,29870000,6695000,52886000,68593000,6849000,1372000,3853000,1624000,75442000,128328000,173181000,-73828000,-2819000,96534000,96534000,224862000,-5811000,2648000,5368000,-1390000,815000,28000,-17840000,-17812000,12997000,42902000,42902000,-1052000,54847000,37850000,37850000,153000,38003000,2123000,72259000,957000,0.65624,-0.02255,-0.2496,-0.0602,-0.02584,-0.16469,1.40801,1.32936,0.32135,-0.32686,-0.32686,1.30953,5.42991,0.05383,-0.03308,0.00545,6.98964,-28.26476
"12","2017_Q4",21.9552380952381,"Down",26072000,-9113000,16959000,-14887000,-9342000,-4092000,-1648000,2072000,-2407000,-2277000,-130000,-335000,-2765000,-3100000,-406000,-3506000,-3506000,-3506000,-3506000,52976000,52976000,19129000,19129000,2970000,2970000,75075000,3462000,172310000,47512000,122904000,1894000,175772000,250847000,16742000,3976000,12766000,1701000,40147000,31842000,8305000,58590000,90006000,6904000,1299000,4239000,1366000,96910000,155500000,174992000,-77334000,-2311000,95347000,95347000,250847000,-3506000,3066000,612000,-106000,66000,-68000,-24067000,-24135000,20428000,184000,184000,-1279000,19333000,-4736000,-4736000,292000,-4444000.00000001,5138000,91707000,5370000,0.65047,0.07947,-0.13447,-0.03677,-0.01398,-1.53166,1.28136,1.63089,0.36559,-0.1809,-0.1809,1.34527,4.91973,0.27708,-0.01808,0.02769,7.53815,18.69257
"13","2018_Q1",24.6432786885246,"Up",27847000,-9503000,18344000,-16010000,-9518000,-4223000,-2387000,2334000,-1661000,-2210000,549000,673000,-4724000,-4051000,257000,-3794000,-3794000,-3794000,-3794000,22326000,22326000,26504000,26504000,2856000,2856000,51686000,2927000,226646000,70043000,154607000,1996000,229573000,281259000,21192000,3887000,17305000,2301000,51646000,43807000,7839000,75139000,108843000,5862000,1570000,3262000,1030000,114705000,189844000,174946000,-81128000,-2403000,91415000,91415000,281259000,-3794000,3802000,1428000,472000,1908000,-8000,-49161000,-49169000,18863000,540000,540000,-2759000,16644000,-30617000,-30617000,-33000,-30650000,6136000,111144000,6343000,0.65874,0.08382,-0.13624,-0.0415,-0.01349,-1.67185,0.68787,2.07673,0.39517,-0.19442,-0.19442,1.42696,4.68437,0.32503,-0.0182,0.03043,14.4749,38.05398
"14","2018_Q2",31.34546875,"Up",31615000,-10645000,20970000,-18327000,-11408000,-4891000,-2130000,2643000,-2191000,-2494000,303000,452000,-3102000,-2650000,-511000,-3161000,-3161000,-3161000,-3161000,32505000,32505000,27578000,27578000,5954000,3892000,66037000,3081000,269515000,115199000,148051000,6265000,272596000,338633000,20328000,3446000,16882000,3282000,56832000,45370000,11462000,80442000,156584000,5519000,1301000,3353000,865000,162103000,242545000,176941000,-77997000,-2856000,96088000,96088000,338633000,-3161000,4172000,3580000,-5066000,-475000,-426000,-34320000,-34746000,48233000,87000.0000000019,87000.0000000019,-2646000,45674000,10453000,10453000,-274000,10179000,6815000,159866000,1834000,0.66329,0.0836,-0.09998,-0.0329,-0.00933,-0.5802,0.82093,2.5242,0.47209,-0.15998,-0.15998,1.60001,4.86295,0.09282,-0.01209,0.00701,18.68833,48.18804
"15","2018_Q3",34.6111111111111,"Up",35946000,-10849000,25097000,-22648000,-13712000,-5286000,-3853000,2449000,-3667000,-3143000,-524000,-1218000,-3140000,-4358000,-872000,-5230000,-5230000,-5230000,-5230000,19037000,19037000,26831000,26831000,5554000,3369000,51422000,2641000,278834000,114777000,157389000,6668000,281475000,332897000,21133000,4339000,16794000,3290000,54750000,44388000,10362000,79173000,155757000,8213000,894000,6358000,961000,163970000,243143000,178064000,-83227000,-5083000,89754000,89754000,332897000,-5230000,5045000,5082000,-682000,4215000,-89000,-11042000,-11131000,-1239000,295000,295000,-5510000,-6454000,-13370000,-13370000,-98000,-13468000,7494000,159047000,7595000,0.69819,0.06813,-0.1455,-0.05827,-0.01571,-1.4522,0.64949,2.70899,0.47777,-0.26279,-0.26279,1.80619,4.50989,0.38163,-0.02035,0.02955,18.68295,57.17027
"16","2018_Q4",29.9960317460317,"Down",37144000,-12083000,25061000,-22217000,-13310000,-5400000,-3606000,2844000,-3862000,-3118000,-744000,-1018000,-2497000,-3515000,-735000,-4250000,-4250000,-4250000,-4250000,16089000,16089000,26440000,26440000,6264000,3890000,48793000,2206000,276494000,112156000,157078000,7260000,278700000,327493000,17355000,4139000,13216000,4330000,54230000,43575000,10655000,75915000,153898000,8445000,901000,6808000,736000,162343000,238258000,181542000,-87477000,-4830000,89235000,89235000,327493000,-4250000,5387000,4569000,-4649000,1057000,-128000,-2488000.00000001,-2616000,-1418999.99999999,476000,476000,-780000,-1723000,-3282000,-3282000,334000,-2948000,8231000,158228000,4189000,0.6747,0.07657,-0.11442,-0.04763,-0.01298,-0.98565,0.64273,2.67001,0.48315,-0.21155,-0.21155,1.84889,4.44178,0.20851,-0.01661,0.01637,17.26874,49.97855
"17","2019_Q1",34.0003278688525,"Up",45180000,-15012000,30168000,-24970000,-14546000,-5337000,-4683000,5198000,-5334000,-4518000,-816000,-136000,-9989000,-10125000,11927000,1802000,1802000,1802000,1802000,16738000,16738000,40841000,40841000,9709000,3382000,67288000,2827000,413083000,179572000,225322000,8189000,415910000,483198000,26741000,3494000,23247000,6015000,74893000,57626000,17267000,107649000,273713000,14529000,578000,13311000,640000,288242000,395891000,180483000,-85675000,-7501000,87307000,87307000,483198000,1802000,6743000,4713000,-10708000,2550000,-292000,-112901000,-113193000,120997000,-51000,-51000,-8520000,112426000,1783000,1783000,-1134000,649000,11941000,279728000,-10986000,0.66773,0.11505,0.03988,0.02064,0.00373,-6.09656,0.62507,4.53447,0.57891,0.08925,0.08925,2.23759,4.32397,-0.54409,0.00472,-0.02879,22.02412,50.59446
"18","2019_Q2",45.7865079365079,"Up",48493000,-14788000,33705000,-28547000,-16976000,-6398000,-5259000,5158000,-5877000,-5116000,-761000,-719000,-7723000,-8442000,612000.000000004,-7830000,-7830000,-7830000,-7830000,14022000,14022000,34989000,34989000,10428000,4094000,59439000,2495000,413996000,170880000,229319000,13797000,416491000,475930000,22709000,3278000,19431000,6012000,76316000,57018000,19298000,105037000,272098000,13730000,329000,10157000,3244000,285828000,390865000,183702000,-93505000,-5132000,85065000,85065000,475930000,-7830000,7387000,2730000,2590000,4877000,-173000,-2999000,-3171999.99999999,-2134000.00000001,96000.0000000075,96000.0000000075,-2762000,-4800000.00000003,-3095000,-3095000,379000,-2716000,12545000,278110000,14350000,0.69505,0.10637,-0.16147,-0.09205,-0.01645,-1.83269,0.56589,4.5949,0.58435,-0.38302,-0.38302,2.37215,4.16116,0.70196,-0.02077,0.03807,21.05126,51.19969
"19","2019_Q3",41.534375,"Down",53013000,-16583000,36430000,-32698000,-20031000,-7008000,-5744000,3732000,-5938000,-5246000,-692000,-2206000,-9264000,-11470000,6101000,-5369000,-5369000,-5369000,-5369000,108361000,108361000,36758000,36758000,11895000,4620000,157014000,3568000,496998000,207232000,273363000,16403000,500566000,657580000,27258000,3555000,23703000,0,80214000,59568000,20646000,107472000,305335000,11801000,246000,6773000,4782000,317136000,424608000,338735000,-98874000,-6889000,232972000,232972000,657580000,-5369000,7765000,-1137000,-740000,519000,-191000,-79825000,-80016000,27367000,151439000,151439000,-5389000,173417000,93920000,93920000,419000,94339000,11497000,305335000,4465000,0.68719,0.0704,-0.10128,-0.02305,-0.00816,-0.83163,1.46098,1.82257,0.46433,-0.23736,-0.23736,2.34365,10.29947,0.19739,-0.00976,0.00812,17.13264,52.77974
"20","2019_Q4",37.36125,"Down",55065000,-16673000,38392000,-34633000,-20905000,-7434000,-6427000,3759000,-5745000,-5517000,-228000,-1986000,-9774000,-11760000,-547000.000000002,-12307000,-12307000,-12307000,-12307000,113306000,113306000,39432000,39432000,13088000,4898000,165826000,3468000,514118000,212645000,282833000,18640000,517586000,683412000,24582000,3409000,21173000,2476000,79091000,59663000,19428000,106149000,339167000,19808000,127000,11667000,8014000,358975000,465124000,344640000,-111181000,-15171000,218288000,218288000,683412000,-12307000,8570000,11953000,-8558000,-342000,-797000,-22947000,-23744000,33356000,14000,14000,-3843000,29527000,5440999.99999999,5440999.99999999,-496000,4945000.00000003,12329000,341643000,3521000,0.69721,0.06826,-0.2235,-0.05638,-0.01801,-0.2861,1.5622,2.13078,0.49991,-0.50052,-0.50052,2.23948,8.87773,0.1432,-0.02123,0.00607,18.52032,60.74408
"21","2020_Q1",36.1551612903226,"Down",66066000,-21073000,44993000,-42291000,-25335000,-8197000,-8455000,2702000,-7993000,-6434000,-1559000,-5291000,-15213000,-20504000,639000,-19865000,-19865000,-19865000,-19865000,175024000,175024000,50938000,50938000,12918000,4748000,238880000,3917000,654031000,282727000,346134000,25170000,657948000,896828000,32807000,5904000,26903000,3193000,93367000,76558000,16809000,129367000,521881000,32719000,496000,25685000,6538000,554600000,683967000,345130000,-131046000,-1223000,212861000,212861000,896828000,-19865000,10899000,12254000,3734000,7022000,-575000,-110254000,-110829000,182980000,2000,2000,-17358000,165624000,61817000,61817000,-99000,61718000,13601000,525074000,16121000,0.68103,0.0409,-0.30068,-0.09332,-0.02215,-0.81153,1.84653,3.21321,0.58548,-0.80271,-0.80271,2.6696,8.60131,0.65142,-0.02578,0.02092,25.73708,129.55218
"22","2020_Q2",31.1609523809524,"Down",68032000,-22201000,45831000,-45996000,-27607000,-9118000,-9271000,-165000,-9045000,-7643000,-1402000,-9210000,-15158000,-24368000,4287000,-20081000,-20081000,-20081000,-20081000,98688000,98688000,55398000,55398000,16786000,7452000,170872000,4035000,708626000,302948000,377745000,27933000,712661000,883533000,25752000,4794000,20958000,3191000,106344000,87785000,18559000,135287000,521013000,68141000,2567000,24472000,41102000,589154000,724441000,353723000,-151235000,-43396000,159092000,159092000,883533000,-20081000,11737000,7005000,-3970000,-5309000,-497000,-67651000,-68148000,-1477000,41000,41000,-1768000,-3203999.99999997,-76661000,-76661000,325000,-76336000,11572000,524204000,2818000,0.67367,-0.00243,-0.29517,-0.12622,-0.02273,-0.14033,1.26303,4.5536,0.5933,-0.80624,-0.80624,2.73145,6.38746,0.11314,-0.02672,0.00375,36.77117,-2578.88485
"23","2020_Q3",36.0425,"Up",71315000,-23672000,47643000,-48806000,-29475000,-10294000,-9037000,-1163000,-7888000,-7873000,-15000,-9051000,-5781000,-14832000,673000,-14159000,-14159000,-14159000,-14159000,87910000,87910000,48656000,48656000,16262000,6604000,152828000,3951000,702604000,292316000,379486000,30802000,706555000,859383000,22027000,1976000,20051000,3184000,90500000,81032000,9468000,115711000,520155000,71280000,2244000,24577000,44459000,591435000,707146000,363331000,-165394000,-45700000,152237000,152237000,859383000,-14159000,11658000,11990000,-8684000,805000,-4e+05,0,-4e+05,-1448000,0,0,-9952000,-11400000,-10995000,-10995000,217000,-10778000,10495000,523339000,738000,0.66806,-0.01631,-0.19854,-0.09301,-0.01648,-0.05212,1.32077,4.64503,0.60897,-0.56168,-0.56168,2.82901,6.03911,0.02928,-0.01896,0.00099,41.48919,-374.40155
"24","2020_Q4",44.03625,"Up",74184000,-25583000,48601000,-47708000,-28624000,-9967000,-9117000,893000,-7480000,-8078000,598000,-6587000,-3574000,-10161000,-1149000,-11310000,-11310000,-11310000,-11310000,232972000,232972000,41126000,41126000,19734000,8064000,293832000,3181000,697307000,285312000,383336000,28659000,700488000,994320000,26609000,6469000,20140000,3185000,85230000,78503000,6727000,115024000,519339000,71713000,1493000,27299000,42921000,591052000,706076000,504428000,-176704000,-39480000,288244000,288244000,994320000,-11310000,11696000,14702000,3568000,18656000,-137000,0,-136999.999999996,-1380000,130133000,130133000,-2072000,126681000,145200000,145200000,-138000,145062000,12589000,522524000,17169000,0.65514,0.01204,-0.15246,-0.03924,-0.01137,-1.51804,2.55453,2.44958,0.52551,-0.41794,-0.41794,2.74136,10.65162,0.63445,-0.01282,0.01946,23.0004,324.24636
"25","2021_Q1",48.2495081967213,"Up",78247000,-26990000,51257000,-47560000,-28443000,-9623000,-9494000,3697000,-7227000,-7935000,708000,-3530000,-2562000,-6092000,423000,-5669000,-5669000,-5669000,-5669000,250029000,250029000,44472000,44472000,23039000,12694000,317540000,2778000,690902000,279975000,383598000,27329000,693680000,1011220000,26971000,5395000,21576000,3166000,91283000,87552000,3731000,121420000,518437000,64748000,1587000,24092000,39069000,583185000,704605000,515222000,-182373000,-26234000,306615000,306615000,1011220000,-5669000,12073000,7946000,7118000,21468000,-281000,-4000,-285000,-1486000,365000,365000,-3057000,-4178000,17005000,17005000,52000,17057000,15770000,521603000,22184000,0.65507,0.04725,-0.07245,-0.01849,-0.00561,-3.91321,2.61522,2.29801,0.51582,-0.19314,-0.19314,2.66582,10.44614,0.75579,-0.00635,0.02484,17.22093,73.45794
"26","2021_Q2",43.9763492063492,"Down",73969000,-24427000,49542000,-57484000,-36801000,-10940000,-9743000,-7942000,-7550000,-7787000,237000,-15492000,-9586000,-25078000,4394000,-20684000,-20684000,-20684000,-20684000,186672000,186672000,43547000,43547000,20604000,8540000,250823000,3429000,780865000,305877000,448558000,26430000,784294000,1035117000,34749000,12912000,21837000,3170000,109326000,94693000,14633000,147245000,517636000,52576000,1339000,26607000,24630000,570212000,717457000,533047000,-203057000,-12330000,317660000,317660000,1035117000,-20684000,12468000,14819000,5900000,12503000,-282000,-72618000,-72900000,-1354000,1000,1000,-742000,-2095000,-62492000,-62492000,-865000,-63357000,4526000,520806000,5750000,0.66977,-0.10737,-0.27963,-0.06511,-0.01998,-0.27799,1.70344,2.25857,0.50314,-0.69016,-0.69016,2.4681,10.59925,0.19186,-0.02321,0.00645,73.82545,-42.07177
"27","2021_Q3",37.484375,"Down",76264000,-25012000,51252000,-54881000,-33490000,-11113000,-10278000,-3629000,-8341000,-7942000,-399000,-11970000,-5534000,-17504000,-1538000,-19042000,-19042000,-19042000,-19042000,176539000,176539000,38936000,38936000,27109000,13579000,242584000,3161000,800654000,304752000,470182000,25720000,803815000,1046399000,44111000,15608000,28503000,3153000,110009000,95245000,14764000,157273000,516751000,60938000,1667000,31774000,27497000,577689000,734962000,546774000,-222099000,-13238000,311437000,311437000,1046399000,-19042000,13201000,15410000,1236000,10805000,-225000,-19799000,-20024000,-1463000,177000,177000,0,-1286000,-10505000,-10505000,372000,-10133000,9572000,519904000,12121000,0.67203,-0.04758,-0.24969,-0.06114,-0.0182,-0.63654,1.54244,2.35991,0.49685,-0.63537,-0.63537,2.54467,10.39161,0.40444,-0.02134,0.01358,35.87181,-94.61697
