"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"15","2013_Q4",60.86609375,"Up",3.764e+09,-2.703e+09,1.061e+09,-5.81e+08,-1.85e+08,-3.96e+08,4.8e+08,-1.1e+07,-1.1e+07,4.69e+08,4.06e+08,-1.5e+07,3.91e+08,3.91e+08,3.91e+08,3.91e+08,4.06e+09,4.06e+09,1.7e+09,1.7e+09,1.197e+09,3.83e+08,3.83e+08,7.34e+09,3.803e+09,2.784e+09,1.954e+09,6.56e+08,1.74e+08,6.587e+09,1.3927e+10,2.996e+09,2.037e+09,9.59e+08,2.3e+08,3.226e+09,1.783e+09,4.95e+08,4.95e+08,2.278e+09,5.504e+09,2.235e+09,7.073e+09,2e+07,8.423e+09,8.423e+09,1.3927e+10,3.91e+08,3.09e+08,2.8e+07,-1e+06,7.27e+08,-1.88e+08,-1.64e+08,-1.15e+08,-2.06e+08,2e+06,-3.19e+08,2.44e+08,2.44e+08,2.44e+08,7.89e+08,2.013e+09,6.15e+08,0.28188,0.12752,0.10388,0.04642,0.02807,1.57289,2.27526,0.65345,0.14454,1.64286,1.59592,15.81513,35.39076,2.58403,0.03577,0.05626,-2.59442,-4.26458
"16","2014_Q1",71.6016393442623,"Up",3.728e+09,-2.678e+09,1.05e+09,-5.82e+08,-1.8e+08,-4.02e+08,4.68e+08,-9e+06,-9e+06,4.59e+08,-2.3e+08,-3.5e+07,-2.65e+08,-2.65e+08,-2.65e+08,-2.65e+08,4.309e+09,4.309e+09,1.793e+09,1.793e+09,1.188e+09,3.08e+08,3.08e+08,7.598e+09,3.7e+09,2.738e+09,1.954e+09,6.05e+08,1.79e+08,6.438e+09,1.4036e+10,3.743e+09,1.99e+09,1.753e+09,2.3e+08,3.973e+09,1.725e+09,4.45e+08,4.45e+08,2.17e+09,6.143e+09,2.191e+09,6.749e+09,-3.5e+07,7.893e+09,7.893e+09,1.4036e+10,-2.65e+08,3.02e+08,9e+06,6.38e+08,6.84e+08,-1.36e+08,-1.36e+08,-5.7e+07,-1.73e+08,-9e+06,-2.99e+08,2.49e+08,2.49e+08,2.49e+08,7.7e+08,1.955e+09,1.307e+09,0.28165,0.12554,-0.07108,-0.03357,-0.01888,-4.93208,1.91241,0.77828,0.13928,-1.11345,-1.09959,15.66387,33.16387,5.4916,-0.01992,0.12698,-3.05714,-5.02991
"17","2014_Q2",73.7650793650794,"Up",3.804e+09,-2.705e+09,1.099e+09,-5.33e+08,-1.32e+08,-4.01e+08,5.66e+08,-1e+07,-1e+07,5.56e+08,5.32e+08,-3.7e+07,4.95e+08,4.95e+08,4.95e+08,4.95e+08,4.869e+09,4.869e+09,1.791e+09,1.791e+09,1.244e+09,3.57e+08,3.57e+08,8.261e+09,3.638e+09,2.907e+09,2.051e+09,6.16e+08,2.4e+08,6.545e+09,1.4806e+10,3.697e+09,2.061e+09,1.636e+09,2.3e+08,4.427e+09,1.668e+09,4.58e+08,4.58e+08,2.126e+09,6.553e+09,2.208e+09,7.183e+09,-1.9e+07,8.253e+09,8.253e+09,1.4806e+10,4.95e+08,3.12e+08,-2.6e+07,-1.01e+08,6.8e+08,-1.36e+08,-3.6e+08,4.42e+08,-1.28e+08,-1.5e+07,2.4e+08,5.6e+08,5.6e+08,5.6e+08,8.78e+08,1.898e+09,6.78e+08,0.28891,0.14879,0.13013,0.05998,0.03343,1.3697,1.86605,0.79401,0.12819,2.09746,2.04545,16.11864,34.97034,2.87288,0.05222,0.06391,-3.38383,-5.24912
"18","2014_Q3",83.05265625,"Up",3.972e+09,-2.816e+09,1.156e+09,-6.42e+08,-2.26e+08,-4.16e+08,5.14e+08,-1.1e+07,-1.1e+07,5.03e+08,4.67e+08,-3.7e+07,4.3e+08,4.3e+08,4.3e+08,4.3e+08,4.655e+09,4.655e+09,1.959e+09,1.959e+09,1.293e+09,3.81e+08,3.81e+08,8.288e+09,3.509e+09,3.485e+09,2.555e+09,6.07e+08,3.23e+08,6.994e+09,1.5282e+10,3.89e+09,2.106e+09,1.784e+09,2.3e+08,4.62e+09,1.61e+09,4.73e+08,4.73e+08,2.083e+09,6.703e+09,2.265e+09,7.541e+09,-4.9e+07,8.579e+09,8.579e+09,1.5282e+10,4.3e+08,3.17e+08,4.4e+07,-6.5e+07,7.26e+08,-1.7e+08,-7.65e+08,-57000000.0000001,-7.5e+07,1.6e+07,-1.75e+08,-2.14e+08,-2.14e+08,-2.14e+08,8.31e+08,1.84e+09,6.33e+08,0.29104,0.12941,0.10826,0.05012,0.02814,1.47209,1.79394,0.78133,0.1204,1.82203,1.76955,16.83051,36.35169,2.6822,0.0449,0.05812,-3.38748,-5.47665
"19","2014_Q4",83.79671875,"Up",3.703e+09,-2.627e+09,1.076e+09,-6.19e+08,-2.01e+08,-4.18e+08,4.57e+08,-1.3e+07,-1.3e+07,4.44e+08,4.06e+08,-3.1e+07,3.75e+08,3.75e+08,3.75e+08,3.75e+08,4.865e+09,4.569e+09,1.802e+09,1.802e+09,1.277e+09,3.62e+08,3.62e+08,8.306e+09,3.406e+09,3.62e+09,2.558e+09,5.39e+08,5.23e+08,7.026e+09,1.5332e+10,3.622e+09,1.902e+09,1.72e+09,1.25e+08,3.747e+09,2.344e+09,4.73e+08,4.73e+08,2.817e+09,6.564e+09,2.317e+09,7.845e+09,-4e+06,8.768e+09,8.768e+09,1.5332e+10,3.75e+08,3.07e+08,3.9e+07,-2.3e+07,6.98e+08,-1.61e+08,-6.31e+08,1.21e+08,-2.16e+08,1.3e+07,-1.53e+08,-8.6e+07,-8.6e+07,-8.6e+07,7.64e+08,2.469e+09,6.11e+08,0.29058,0.12341,0.10127,0.04277,0.02446,1.62933,2.21671,0.74863,0.16104,1.59574,1.54959,15.75745,37.31064,2.6,0.03809,0.05218,-3.13613,-5.24289
"20","2015_Q1",87.1,"Up",3.651e+09,-2.622e+09,1.029e+09,-6.8e+08,-2.54e+08,-4.26e+08,3.49e+08,-5e+06,-7e+06,3.44e+08,3.47e+08,-3e+07,3.17e+08,3.17e+08,3.17e+08,3.17e+08,5.088e+09,4.804e+09,1.989e+09,1.989e+09,1.226e+09,4.17e+08,4.17e+08,8.72e+09,3.293e+09,3.486e+09,2.559e+09,4.54e+08,4.73e+08,6.779e+09,1.5499e+10,3.72e+09,1.971e+09,1.749e+09,1.25e+08,3.845e+09,2.313e+09,4.99e+08,4.99e+08,2.812e+09,6.657e+09,2.334e+09,8.066e+09,1.2e+07,8.842e+09,8.842e+09,1.5499e+10,3.17e+08,3.08e+08,1.32e+08,-4.5e+07,7.12e+08,-1.61e+08,-1.8e+08,-3.1e+07,-2.1e+08,1.4e+07,-2.97e+08,2.35e+08,2.35e+08,2.35e+08,6.57e+08,2.438e+09,4.81e+08,0.28184,0.09559,0.08683,0.03585,0.02045,1.51735,2.26788,0.75288,0.1573,1.36052,1.31535,15.66953,37.9485,2.06438,0.03286,0.04084,-4.03349,-7.59312
"21","2015_Q2",80.217619047619,"Down",3.943e+09,-2.794e+09,1.149e+09,-6.57e+08,-2.2e+08,-4.37e+08,4.92e+08,-9e+06,-9e+06,4.83e+08,4.6e+08,-3.7e+07,4.23e+08,4.23e+08,4.23e+08,4.23e+08,5.381e+09,5.159e+09,1.915e+09,1.915e+09,1.272e+09,4.22e+08,4.22e+08,8.99e+09,3.202e+09,3.46e+09,2.559e+09,4.06e+08,4.95e+08,6.662e+09,1.5652e+10,3.793e+09,2.016e+09,1.777e+09,1.25e+08,3.918e+09,2.281e+09,4.9e+08,4.9e+08,2.771e+09,6.689e+09,2.288e+09,8.394e+09,-1.4e+07,8.963e+09,8.963e+09,1.5652e+10,4.23e+08,2.89e+08,5.4e+07,6.1e+07,8.27e+08,-1.6e+08,-1.26e+08,-3.1e+07,-1.84e+08,-3.7e+07,-3.46e+08,3.55e+08,3.55e+08,3.55e+08,7.81e+08,2.406e+09,7.19e+08,0.2914,0.12478,0.10728,0.04719,0.02703,1.69976,2.29454,0.74629,0.15372,1.80769,1.7625,16.85043,38.30342,3.07265,0.0436,0.06063,-3.80922,-6.04675
"22","2015_Q3",67.77703125,"Down",3.888e+09,-2.778e+09,1.11e+09,-5.9e+08,-1.64e+08,-4.26e+08,5.2e+08,-8e+06,-8e+06,5.12e+08,4.58e+08,-2e+07,4.38e+08,4.38e+08,4.38e+08,4.38e+08,5.143e+09,4.902e+09,1.88e+09,1.88e+09,1.282e+09,3.55e+08,3.55e+08,8.66e+09,3.099e+09,3.38e+09,2.566e+09,3.59e+08,4.55e+08,6.479e+09,1.5139e+10,3.164e+09,2.071e+09,1.093e+09,1.25e+08,3.289e+09,2.25e+09,5.18e+08,5.18e+08,2.768e+09,6.057e+09,2.321e+09,8.738e+09,-3.2e+07,9.082e+09,9.082e+09,1.5139e+10,4.38e+08,2.9e+08,5.1e+07,-5.36e+08,2.43e+08,-1.39e+08,-1.28e+08,-3.2e+07,-2.36e+08,-1.1e+07,-3.72e+08,-2.57e+08,-2.57e+08,-2.57e+08,8.1e+08,2.375e+09,1.55e+08,0.28549,0.13374,0.11265,0.04823,0.02893,0.35388,2.63302,0.66692,0.15688,1.87983,1.84034,16.6867,38.97854,0.66524,0.04434,0.01294,-3.41728,-5.32308
"23","2015_Q4",57.92578125,"Down",3.55e+09,-2.518e+09,1.032e+09,-6.01e+08,-1.99e+08,-4.02e+08,4.31e+08,-9e+06,-9e+06,4.22e+08,4.12e+08,-2.8e+07,3.84e+08,3.84e+08,3.84e+08,3.84e+08,5.04e+09,4.812e+09,1.696e+09,1.696e+09,1.322e+09,3.71e+08,3.71e+08,8.429e+09,3.051e+09,3.696e+09,2.745e+09,4e+08,5.51e+08,6.747e+09,1.5176e+10,3.077e+09,2.02e+09,1.057e+09,1.41e+08,3.218e+09,2.203e+09,5.29e+08,5.29e+08,2.732e+09,5.95e+09,2.372e+09,9.004e+09,-3e+06,9.226e+09,9.226e+09,1.5176e+10,3.84e+08,2.85e+08,1e+07,5e+06,6.84e+08,-1.5e+08,-4.58e+08,-3.1e+07,-2.06e+08,1.4e+07,-3.16e+08,-9e+07,-9e+07,-9e+07,7.16e+08,2.344e+09,5.99e+08,0.2907,0.12141,0.10817,0.04162,0.0253,1.5599,2.61933,0.64492,0.15445,1.66234,1.62712,15.36797,39.93939,2.59307,0.03942,0.04951,-3.76536,-6.25522
"24","2016_Q1",40.9072131147541,"Down",3.191e+09,-2.261e+09,9.3e+08,-5.86e+08,-2.05e+08,-3.81e+08,3.44e+08,-8e+06,-9e+06,3.36e+08,2.47e+08,-2.7e+07,2.2e+08,2.2e+08,2.2e+08,2.2e+08,5.286e+09,5.024e+09,1.532e+09,1.532e+09,1.368e+09,3.27e+08,3.27e+08,8.513e+09,2.965e+09,3.692e+09,2.766e+09,3.32e+08,5.94e+08,6.657e+09,1.517e+10,2.831e+09,1.881e+09,9.5e+08,1.52e+08,3.238e+09,2.149e+09,5.64e+08,5.64e+08,2.713e+09,5.951e+09,2.431e+09,9.107e+09,-2e+07,9.219e+09,9.219e+09,1.517e+10,2.2e+08,2.5e+08,1.41e+08,-1.23e+08,4.88e+08,-1.63e+08,-2.41e+08,2.24e+08,-1.32e+08,-1.1e+07,-3.5e+07,2.12e+08,2.12e+08,2.12e+08,5.94e+08,2.301e+09,3.35e+08,0.29144,0.1078,0.06894,0.02386,0.0145,1.52273,2.62909,0.64551,0.15168,0.95652,0.94017,13.87391,40.08261,1.45652,0.02781,0.02772,-5.02525,-8.67733
"25","2016_Q2",38.06609375,"Down",3.36e+09,-2.405e+09,9.55e+08,-5.77e+08,-1.92e+08,-3.85e+08,3.78e+08,-8e+06,-8e+06,3.7e+08,3.14e+08,-3.1e+07,2.83e+08,2.83e+08,2.83e+08,2.83e+08,5.428e+09,5.081e+09,1.616e+09,1.616e+09,1.26e+09,3.51e+08,3.51e+08,8.655e+09,2.89e+09,3.716e+09,2.766e+09,3.19e+08,6.31e+08,6.606e+09,1.5261e+10,2.804e+09,1.799e+09,1.005e+09,1.72e+08,3.231e+09,2.109e+09,5.85e+08,5.85e+08,2.694e+09,5.925e+09,2.41e+09,9.273e+09,-4.4e+07,9.336e+09,9.336e+09,1.5261e+10,2.83e+08,2.36e+08,5.4e+07,-2.8e+07,5.45e+08,-1.51e+08,-2.73e+08,-3.1e+07,-4.5e+07,-2.4e+07,-2.15e+08,5.7e+07,5.7e+07,5.7e+07,6.14e+08,2.281e+09,4.66e+08,0.28423,0.1125,0.08423,0.03031,0.01854,1.64664,2.67874,0.63464,0.14947,1.22511,1.2094,14.54545,40.41558,2.01732,0.03262,0.03819,-5.12541,-8.3254
"26","2016_Q3",44.046875,"Up",3.317e+09,-2.411e+09,9.06e+08,-6.28e+08,-2.39e+08,-3.89e+08,2.78e+08,-7e+06,-9e+06,2.71e+08,2.44e+08,7e+06,2.51e+08,2.51e+08,2.51e+08,2.51e+08,5.86e+09,5.363e+09,1.65e+09,1.65e+09,1.238e+09,2e+08,2e+08,8.948e+09,2.801e+09,3.717e+09,2.766e+09,2.92e+08,6.59e+08,6.518e+09,1.5466e+10,2.802e+09,1.806e+09,9.96e+08,1.88e+08,3.245e+09,2.062e+09,6.02e+08,6.02e+08,2.664e+09,5.909e+09,2.424e+09,9.407e+09,-8e+06,9.557e+09,9.557e+09,1.5466e+10,2.51e+08,2.52e+08,6.6e+07,2.9e+07,5.98e+08,-1.49e+08,-1.81e+08,-32000000.0000002,3.9e+07,-2.6e+07,-1.35e+08,2.82e+08,2.82e+08,2.82e+08,5.3e+08,2.25e+09,4.03e+08,0.27314,0.08381,0.07567,0.02626,0.01623,1.60558,2.75747,0.61829,0.14548,1.0819,1.07265,14.29741,41.19397,1.73707,0.02958,0.03248,-6.81132,-12.98561
"27","2016_Q4",54.3487301587302,"Up",2.822e+09,-2.069e+09,7.53e+08,-5.25e+08,-1.66e+08,-3.59e+08,2.28e+08,-8e+06,-8e+06,2.2e+08,8e+07,-6e+06,7.4e+07,7.4e+07,7.4e+07,7.4e+07,6.033e+09,5.887e+09,1.254e+09,1.254e+09,1.227e+09,2.26e+08,2.26e+08,8.74e+09,2.687e+09,3.52e+09,2.766e+09,2.68e+08,4.86e+08,6.207e+09,1.4947e+10,2.578e+09,1.571e+09,1.007e+09,2.03e+08,2.781e+09,2e+09,5.57e+08,5.57e+08,2.557e+09,5.338e+09,2.457e+09,9.363e+09,3.2e+07,9.609e+09,9.609e+09,1.4947e+10,7.4e+07,2.46e+08,3.6e+07,1.29e+08,4.85e+08,-1.33e+08,4.43e+08,-3.01e+08,1e+07,3e+06,-4.04e+08,5.24e+08,5.24e+08,5.24e+08,4.74e+08,2.203e+09,4.76e+08,0.26683,0.08079,0.02622,0.0077,0.00495,6.43243,3.14275,0.55552,0.14739,0.3176,0.31624,12.11159,41.24034,2.04292,0.01536,0.03848,-8.08017,-16.79825
"28","2017_Q1",68.2085483870968,"Up",3.495e+09,-2.674e+09,8.21e+08,-8.94e+08,-4e+08,-4.94e+08,-7.3e+07,-2.9e+08,-2.15e+08,-3.63e+08,-4.85e+08,1.19e+08,-3.66e+08,-3.66e+08,-3.66e+08,-3.66e+08,8.378e+09,8.151e+09,1.461e+09,1.461e+09,2.129e+09,6.16e+08,6.16e+08,1.2584e+10,3.503e+09,1.6775e+10,9.951e+09,5.034e+09,1.79e+09,2.0278e+10,3.2862e+10,6.61e+09,1.888e+09,4.722e+09,3.39e+08,6.949e+09,1.366e+10,1.108e+09,1.108e+09,1.4768e+10,2.1717e+10,4.432e+09,8.848e+09,1.03e+08,1.1145e+10,1.1145e+10,3.2862e+10,-3.66e+08,4.2e+08,5.7e+07,2.44e+08,3.55e+08,-1.51e+08,-9.597e+09,1.2293e+10,5.3e+07,-7.24e+08,1.1505e+10,2.263e+09,2.263e+09,2.264e+09,3.47e+08,1.3999e+10,3.21e+08,0.23491,-0.02089,-0.10472,-0.03284,-0.01114,-0.87705,1.81091,1.94859,0.42599,-1.40769,-1.37594,13.44231,42.86538,1.23462,-0.00948,0.01223,16.19885,-77
"29","2017_Q2",79.3595238095238,"Up",4.714e+09,-3.379e+09,1.335e+09,-1.035e+09,-3.96e+08,-6.39e+08,3e+08,-5.03e+08,-2.31e+08,-2.03e+08,-2.71e+08,-9.5e+07,-3.66e+08,-3.66e+08,-3.66e+08,-3.66e+08,4.325e+09,4.077e+09,2.023e+09,2.023e+09,2.109e+09,6.66e+08,6.66e+08,9.123e+09,3.359e+09,1.6528e+10,9.967e+09,4.791e+09,1.77e+09,1.9887e+10,2.901e+10,3.841e+09,1.946e+09,1.895e+09,7.8e+07,3.919e+09,1.3055e+10,1.261e+09,1.261e+09,1.4316e+10,1.8235e+10,4.495e+09,8.329e+09,1.15e+08,1.0775e+10,1.0775e+10,2.901e+10,-3.66e+08,5.08e+08,5.03e+08,-2.05e+08,4.4e+08,-1.83e+08,-2.02e+08,-4.25e+09,2.4e+07,5.6e+07,-4.312e+09,-4.074e+09,-4.074e+09,-4.074e+09,8.08e+08,1.3133e+10,5.15e+08,0.2832,0.06364,-0.07764,-0.03397,-0.01262,-1.4071,2.32789,1.69234,0.45271,-1.28421,-1.28421,16.54035,37.80702,1.80702,-0.0089,0.02046,10.90099,29.36
"30","2017_Q3",79.6766666666667,"Up",4.888e+09,-3.355e+09,1.533e+09,-9.43e+08,-3.58e+08,-5.85e+08,5.9e+08,-2.24e+08,-2e+08,3.66e+08,3.21e+08,-8.6e+07,2.35e+08,2.35e+08,2.35e+08,2.35e+08,5.101e+09,4.94e+09,2.004e+09,2.004e+09,2.085e+09,4.16e+08,4.16e+08,9.606e+09,3.238e+09,1.6131e+10,1.0005e+10,4.469e+09,1.657e+09,1.9369e+10,2.8975e+10,3.959e+09,2.012e+09,1.947e+09,1.29e+08,4.088e+09,1.2944e+10,1.211e+09,1.211e+09,1.4155e+10,1.8243e+10,4.577e+09,8.411e+09,-1.97e+08,1.0732e+10,1.0732e+10,2.8975e+10,2.35e+08,5.14e+08,1.43e+08,1.68e+08,1.06e+09,-1.46e+08,-1.14e+08,-11999999.9999962,6.6e+07,1.4e+07,-7.4e+07,872000000.000002,872000000.000002,8.63e+08,1.104e+09,1.3073e+10,1.212e+09,0.31363,0.1207,0.04808,0.0219,0.00811,5.15745,2.3498,1.69987,0.45118,0.82456,0.82456,17.15088,37.65614,4.25263,0.01507,0.04845,7.22101,13.51186
"31","2017_Q4",77.7660317460317,"Down",4.649e+09,-3.126e+09,1.523e+09,-9.59e+08,-3.46e+08,-6.13e+08,5.64e+08,-2.21e+08,-1.98e+08,3.43e+08,3.04e+08,-5.6e+07,2.48e+08,2.48e+08,2.48e+08,2.48e+08,5.677e+09,5.652e+09,1.948e+09,1.948e+09,2.254e+09,4.34e+08,4.34e+08,1.0313e+10,3.099e+09,1.6036e+10,1.0012e+10,4.144e+09,1.88e+09,1.9135e+10,2.9448e+10,4.128e+09,2.185e+09,1.943e+09,1.81e+08,4.309e+09,1.2907e+10,1.201e+09,1.201e+09,1.4108e+10,1.8417e+10,4.48e+09,8.507e+09,-9.6e+07,1.1031e+10,1.1031e+10,2.9448e+10,2.48e+08,5.6e+08,8.2e+07,1.08e+08,9.98e+08,-1.03e+08,-1.3e+08,-9e+06,3.3e+07,-4e+07,-1.6e+08,7.08e+08,7.08e+08,7.12e+08,1.124e+09,1.3088e+10,1.185e+09,0.3276,0.12132,0.05334,0.02248,0.00842,4.77823,2.39336,1.66957,0.44444,0.85223,0.7873,15.97595,37.90722,4.07216,0.01548,0.0468,6.59342,13.14007
"32","2018_Q1",81.8050819672131,"Up",4.842e+09,-3.161e+09,1.681e+09,-9.49e+08,-3.45e+08,-6.04e+08,7.32e+08,-2.37e+08,-1.92e+08,4.95e+08,4.15e+08,-1.35e+08,2.8e+08,2.8e+08,2.8e+08,2.8e+08,6.354e+09,6.354e+09,1.948e+09,1.948e+09,2.341e+09,4.13e+08,4.13e+08,1.1056e+10,3.033e+09,1.5771e+10,1.0014e+10,3.823e+09,1.934e+09,1.8804e+10,2.986e+10,4.111e+09,2.144e+09,1.967e+09,2.33e+08,4.344e+09,1.2918e+10,1.18e+09,1.18e+09,1.4098e+10,1.8442e+10,4.509e+09,8.633e+09,-5.8e+07,1.1418e+10,1.1418e+10,2.986e+10,2.8e+08,5.46e+08,9.3e+07,2e+07,9.39e+08,-1.25e+08,-1.9e+08,-1e+07,1.12e+08,-5e+06,-49000000.0000005,7e+08,7e+08,7.02e+08,1.278e+09,1.3151e+10,1.308e+09,0.34717,0.15118,0.05783,0.02452,0.00938,4.67143,2.54512,1.61517,0.44042,0.9622,0.93645,16.63918,39.23711,4.49485,0.01654,0.0508,5.31847,9.28552
"33","2018_Q2",77.74859375,"Down",5.181e+09,-3.268e+09,1.913e+09,-9.56e+08,-3.64e+08,-5.92e+08,9.57e+08,-1.95e+08,-1.89e+08,7.62e+08,7.1e+08,-2.9e+07,6.81e+08,6.81e+08,6.81e+08,6.81e+08,6.921e+09,6.886e+09,2.101e+09,2.101e+09,2.302e+09,4.96e+08,4.96e+08,1.182e+10,3.048e+09,1.5637e+10,1.0073e+10,3.545e+09,2.019e+09,1.8685e+10,3.0505e+10,4.211e+09,2.066e+09,2.145e+09,2.58e+08,4.469e+09,1.2873e+10,1.104e+09,1.104e+09,1.3977e+10,1.8446e+10,4512403661.2619,8522661130.32359,-82196777.5005407,11432982463.7039,1.2059e+10,3.0505e+10,6.81e+08,5.33e+08,1.55e+08,-2.36e+08,1.133e+09,-1.55e+08,-3.78e+08,-6.2e+07,2e+07,-3.5e+07,-2.24e+08,5.31e+08,5.31e+08,5.32e+08,1.49e+09,1.3131e+10,1.128e+09,0.36923,0.18471,0.13144,0.05647,0.02232,1.65639,2.64489,1.52965,0.43045,2.30847,2.22549,17.56271,39.0644636435375,3.82373,0.03149,0.0429,4.16779,6.48903
"34","2018_Q3",62.3066666666667,"Down",5.336e+09,-3.323e+09,2.013e+09,-1.01e+09,-3.81e+08,-6.29e+08,1.003e+09,-1.81e+08,-1.83e+08,8.22e+08,7.74e+08,-1.597e+09,-8.23e+08,-8.23e+08,-8.23e+08,-8.23e+08,6.295e+09,6.272e+09,2.052e+09,2.052e+09,2.281e+09,4.85e+08,4.85e+08,1.1113e+10,3.054e+09,1.5673e+10,1.0076e+10,3.23e+09,2.367e+09,1.8727e+10,2.984e+10,4.079e+09,1.921e+09,2.158e+09,2.74e+08,4.353e+09,1.1777e+10,2.438e+09,2.438e+09,1.4215e+10,1.8568e+10,4.413e+09,8.25e+09,-4.6e+07,1.1272e+10,1.1272e+10,2.984e+10,-8.23e+08,5.35e+08,-3.7e+07,1.507e+09,1.182e+09,-2.51e+08,-6.29e+08,-1.089e+09,7.9e+07,-9e+06,-1.167e+09,-6.14e+08,-6.14e+08,-6.14e+08,1.538e+09,1.2051e+10,4.391e+09,0.37725,0.18797,-0.15424,-0.07301,-0.02758,-5.33536,2.55295,1.64727,0.40385,-2.78041,-2.78041,18.02703,38.08108,14.83446,-0.0262,0.17045,3.74252,5.73878
"35","2018_Q4",43.972380952381,"Down",5.013e+09,-3.086e+09,1.927e+09,-9.78e+08,-3.76e+08,-6.02e+08,9.49e+08,-1.042e+09,-1.44e+08,-9.3e+07,-1.28e+08,1.89e+08,6.1e+07,6.1e+07,6.1e+07,6.1e+07,4.983e+09,4.963e+09,2.011e+09,2.011e+09,2.67e+09,5e+08,5e+08,1.0164e+10,3.011e+09,1.5829e+10,1.0079e+10,2.956e+09,2.794e+09,1.884e+10,2.9004e+10,4.135e+09,2.134e+09,2.001e+09,1.24e+08,4.259e+09,1.1076e+10,2.369e+09,2.369e+09,1.3445e+10,1.7704e+10,4.28e+09,8.155e+09,4.6e+07,1.13e+10,1.13e+10,2.9004e+10,6.1e+07,4.99e+08,7.9e+08,-3.23e+08,1.027e+09,-2.13e+08,-3.99e+08,-1.546e+09,-1.08e+08,-1.44e+08,-1.946e+09,-1.318e+09,-1.318e+09,-1.309e+09,1.448e+09,1.12e+10,7.23e+08,0.3844,0.18931,0.01217,0.0054,0.0021,11.85246,2.38648,1.56673,0.38615,0.2047,0.19805,16.82215,37.91946,2.42617,0.0084,0.02907,4.29351,6.55111
"36","2019_Q1",43.0481967213115,"Down",5.117e+09,-3.265e+09,1.852e+09,-9.29e+08,-3.52e+08,-5.77e+08,9.23e+08,-1.14e+08,-1e+08,8.09e+08,7.29e+08,2.7e+07,7.56e+08,7.56e+08,7.56e+08,7.56e+08,5.005e+09,5.005e+09,2.197e+09,2.197e+09,2.944e+09,4.92e+08,4.92e+08,1.0638e+10,3.095e+09,1.5502e+10,1.0075e+10,2.68e+09,2.747e+09,1.8597e+10,2.9235e+10,4.277e+09,2.265e+09,2.012e+09,1.79e+08,4.456e+09,1.0993e+10,2.255e+09,2.255e+09,1.3248e+10,1.7704e+10,4.257e+09,8.757e+09,-3.9e+07,1.1531e+10,1.1531e+10,2.9235e+10,7.56e+08,4.89e+08,79999999.9999998,-4.62e+08,8.63e+08,-1.9e+08,-2.49e+08,-3.7e+07,-3.62e+08,-1.4e+07,-5.63e+08,5.1e+07,5.1e+07,4.2e+07,1.412e+09,1.1172e+10,7.33e+08,0.36193,0.18038,0.14774,0.06556,0.02586,0.969579999999997,2.38734,1.53534,0.38214,2.52843,2.37736,17.11371,38.56522,2.45151,0.0363,0.02937,4.36756,6.68147
