"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",6.54564516129032,"Down",104197000,-61406000,42791000,-37766000,-32459000,-5307000,5025000,-25000,-457000,-203000,5e+06,5e+06,-1473000,3527000,3527000,3527000,3527000,147099000,52693000,94406000,58959000,58959000,2189000,23861000,12867000,232108000,129382000,5e+06,10797000,10797000,145179000,377287000,42261000,42261000,0,22895000,22895000,65156000,-5.82076609134674e-11,10042000,10042000,75198000,341400000,-43473000,4162000,302089000,302089000,377287000,3527000,5307000,8752000,-21349000,-3763000,-9148000,17653000,-8753000,-248000,-8970000,-1002000,299000,299000,0,-9673000,-13684000,-13684000,-13684000,10332000,0,-18692000,0.41067,0.04823,0.03385,0.01168,0.00935,-5.29969,3.56234,0.24893,0,0.04723,0.04712,1.39523,4.04506,-0.25029,0.12011,0.04004,-0.05989,2.54324,-14.23722,-29.27343
"12","2013_Q1",6.95816666666667,"Up",115100000,-69166000,45934000,-43399000,-37421000,-5978000,2535000,-90000,-350000,-251000,2445000,2445000,-1812000,633000,633000,633000,633000,152374000,66048000,86326000,50716000,50716000,1770000,29672000,15269000,234532000,132184000,5220000,9447000,9447000,146851000,381383000,48954000,48954000,0,28611000,28611000,77565000,0,9092000,9092000,86657000,342510000,-51815000,4031000,294726000,294726000,381383000,633000,5978000,7667000,7797000,22075000,-7193000,7920000,-538000.000000001,189000,-8970000,0,60000,60000,999.999999999985,-8909000,13355000,13355000,13355000,8513000,0,10929000,0.39908,0.02202,0.0055,0.00215,0.00166,17.2654,3.02368,0.29403,0,0.00847,0.0084,1.53972,3.94261,0.1462,0.11999,0.03161,0.03597,14.17062,-17.89898,-60.10809
"13","2013_Q2",7.7953125,"Up",124001000,-74866000,49135000,-43063000,-37831000,-5232000,6072000,-1249000,-352000,-1345000,4823000,4823000,-1789000,3034000,3034000,3034000,3034000,132253000,46278000,85975000,54839000,54839000,3098000,31310000,17261000,221500000,129782000,5220000,9405000,9405000,144407000,365907000,43555000,43555000,1314745.40973413,23091000,23091000,66646000,7127907.66299061,9166000,9166000,75812000,343933000,-57771000,3933000,290095000,290095000,365907000,3034000,5232000,8360000,-22523000,-5897000,-4944000,8785000,-8999000,-5158000,-8977000,0,262000,262000,0,-8715000,-19770000,-19770000,-19770000,11304000,0,-14374000,0.39625,0.04897,0.02447,0.01046,0.00829,-4.73764,3.32353,0.26134,-4.33680868994202e-19,0.04056,0.04033,1.65777,3.87828,-0.19217,0.12001,0.04014,-0.04803,2.9588,-11.69966,-21.7808
"14","2013_Q3",8.723125,"Up",152282000,-96855000,55427000,-46588000,-40504000,-6084000,8839000,-478000,-480000,-388000,8361000,8361000,-3179000,5182000,5182000,5182000,5182000,122852000,44026000,78826000,57124000,57124000,1728000,23965000,11089000,205669000,139298000,7859000,9672000,9672000,156829000,362498000,41691000,41691000,3074125.22616373,23641000,23641000,65332000,17823900.7191754,9811000,9811000,75143000,345524000,-61573000,3404000,287355000,287355000,362498000,5182000,6084000,5143000,-4619999.99999999,11789000,-8195000,14278000,-8339000,-4456000,-8979000,1.86264514923096e-09,64000.0000000001,64000,-670000,-9585000,-2252000,-2252000,-2252000,14923000,0,5287000.00000001,0.36398,0.05804,0.03403,0.01803,0.0143,1.02026,3.14806,0.2615,0,0.06926,0.06876,2.03531,3.84062,0.07066,0.12001,0.04765,0.01779,1.73273,-8.23239,-13.89886
"15","2013_Q4",11.353125,"Up",113292000,-70947000,42345000,-39144000,-32641000,-6503000,3201000,139000,-438000,313000,3340000,3340000,-902000,2438000,2438000,2438000,2438000,114824000,37081000,77743000,69537000,69537000,2532000,26584000,15536000,213477000,161381000,7859000,8792000,8792000,178032000,391509000,41596000,41596000,4228000,30320000,30320000,76144000,25164000,9336000,34500000,110644000,345690000,-68381000,3556000,280865000,280865000,391509000,2438000,6503000,14686000,-17365000,6262000,-5163000,7480000,-36466000,-34149000,-9011000,29382000,314000,314000,257000,20942000,-6945000,-6945000,-6945000,9704000,29392000,-11922000,0.37377,0.02825,0.02152,0.00868,0.00623,-4.89007,2.8036,0.39394,0.07507,0.03249,0.03234,1.50986,3.74312,-0.15889,0.12009,0.03582,-0.0373,3.69606,-8.80379,-26.68916
"16","2014_Q1",20.4898360655738,"Up",118395000,-80360000,38035000,-50256000,-43606000,-6650000,-12221000,3e+05,-476000,452000,-11921000,-11921000,4031000,-7890000,-7890000,-7890000,-7890000,109387000,32911000,76476000,59552000,59552000,2874000,28384000,16147000,200197000,160270000,8299000,9696000,9696000,178265000,378462000,47882000,47882000,4251000,30112000,30112000,82245000,25385000,4884000,30269000,112514000,347725000,-85289000,3512000,265948000,265948000,378462000,-7890000,6650000,6268000,6571000,11599000,-6730000,13775000,-14126000,-7081000,-9012000,-30778000,64000,64000.0000000001,31038000,-8688000,-4170000,-4170000,-4170000,-5571000,29636000,-9761000,0.32126,-0.10322,-0.06664,-0.02967,-0.02085,1.23714,2.43415,0.42307,0.07831,-0.10506,-0.10447,1.57648,3.5412,-0.12997,0.12,0.00373,-0.03249,-1.14221,14.31538,6.52573
"17","2014_Q2",14.2063492063492,"Down",125572000,-84716000,40856000,-53036000,-48028000,-5008000,-12180000,-285000,-475000,-74000,-12465000,-12465000,4429000,-8036000,-8036000,-8036000,-8036000,87266000,21400000,65866000,67363000,67363000,4403000,36247000,23399000,195279000,161139000,10518000,15038000,15038000,186695000,381974000,53881000,53881000,4274000,44325000,44325000,102480000,24843000,2253000,27096000,129576000,351182000,-102360000,3576000,252398000,252398000,381974000,-8036000,5008000,12730000,-19075000,-9373000,-4268000,12808000,-2511000,4029000,-9018000,-882000,389000,389000,3344000,-6167000,-11511000,-11511000,-11511000,-7172000,29117000,-34944000,0.32536,-0.097,-0.064,-0.03184,-0.02104,4.34843,1.90553,0.51338,0.07623,-0.10695,-0.10695,1.67124,3.35917,-0.46507,0.12002,0.00346,-0.12314,-1.1222,8.10778,4.77414
"18","2014_Q3",11.8440625,"Down",156310000,-121747000,34563000,-57086000,-49176000,-7910000,-22523000,-284000,-515000,35000,-22807000,-22807000,8310000,-14497000,-14497000,-14497000,-14497000,78930000,17364000,61566000,53036000,53036000,4028000,35674000,15740000,171668000,153903000,10738000,25970000,25970000,190611000,362279000,62570000,62570000,4298000,31759000,31759000,98627000,23759000,9129000,32888000,131515000,352983000,-125886000,3667000,230764000,230764000,362279000,-14497000,8606000,-6831000,17409000,4687000,-1998000,4005000,0,2007000,-9019000,-1061000,63999.9999999999,64000,-713999.999999996,-10730000,-4036000,-4036000,-4036000,-13917000,28057000,-6815999.99999999,0.22112,-0.14409,-0.09275,-0.06282,-0.04002,0.470169999999999,1.74058,0.56991,0.07745,-0.19291,-0.19291,2.08003,3.07079,-0.0907,0.12002,-0.02044,-0.02544,-0.62213,3.65546,2.25871
"19","2014_Q4",11.05984375,"Down",120183000,-78417000,41766000,-46805000,-39075000,-7730000,-5039000,-1526000,-546000,-1061000,-6565000,-10527000,4606000,-5921000,-5921000,-5921000,-5921000,68738000,29599000,39139000,56669000,56669000,4539000,28908000,11997000,158854000,150472000,7200000,35039000,20632000,192711000,351565000,69448000,69448000,4321000,31389000,31389000,105158000,22670000,8075000,30745000,135903000,353344000,-141151000,3469000,215662000,215662000,351565000,-5921000,8428000,5889000,-8946000,-550000,252000,22019000,0,22067000,-9056000,-1066000,442000,442000,398000,-9282000,12235000,12235000,12235000,3389000,26991000,-9911000,0.34752,-0.04193,-0.04927,-0.02745,-0.01684,1.67387,1.51062,0.63017,0.07677,-0.07853,-0.07853,1.5939,2.86016,-0.13144,0.1201,0.0125,-0.03953,-1.52947,-12.31838,8.28478
"20","2015_Q1",12.6495081967213,"Up",140555000,-92735000,47820000,-50235000,-44178000,-6057000,-2415000,-1090000,-548000,-680000,-3505000,-3505000,1887000,-1618000,-1618000,-1618000,-1618000,115413000,47227000,68186000,40088000,40088000,4735000,36985000,12865000,197221000,146351000,7200000,31782000,20867000,185333000,382554000,57578000,57578000,4345000,38652000,38652000,100575000,21575000,54543000,76118000,176693000,354461000,-151828000,3228000,205861000,205861000,382554000,-1618000,6965000,8232000,46344000,59923000,-5887000,3405000,-29762000,-32244000,-9057000,-1071000,75000.0000000001,74999.9999999999,2000,-10051000,17628000,17628000,17628000,4550000,25920000,43120000,0.34022,-0.01718,-0.01151,-0.00786,-0.00423,-26.65019,1.96093,0.85831,0.06776,-0.02143,-0.02143,1.86193,2.72703,0.57121,0.11998,0.02598,0.1506,-5.59765,-19.66879,37.05714
"21","2015_Q2",13.0157142857143,"Up",176178000,-109701000,66477000,-51344000,-45431000,-5913000,15133000,-679000,-541000,-341000,14454000,14454000,-4681000,9773000,9773000,9773000,9773000,113648000,46947000,66701000,54884000,54884000,5920000,34714000,12269000,209166000,143529000,21650000,39852000,20441000,205031000,414197000,75903000,75903000,4368000,41627000,41627000,121898000,20474000,62290000,82764000,204662000,357370000,-151122000,3287000,209535000,209535000,414197000,9773000,6892000,3874000,-6259000,14280000,-5685000,6090000,-4621000,-4866000,-9064000,-1078000,454000,454000,-6000,-9694000,-280000,-280000,-280000,22025000,24842000,14762000,0.37733,0.0859,0.05547,0.04664,0.0236,1.51049,1.71591,0.97674,0.05998,0.12941,0.12857,2.3329,2.7746,0.19547,0.12002,0.0635,0.04976,0.92745,-4.03205,-5.86837
"22","2015_Q3",16.88796875,"Up",150182000,-87312000,62870000,-55586000,-49742000,-5844000,7284000,-199000,-570000,-82000,7085000,7085000,-1966000,5119000,5119000,5119000,5119000,110504000,44271000,66233000,38629000,38629000,5982000,33018000,12840000,188133000,153049000,22020000,44652000,21111000,219721000,407854000,57643000,57643000,4392000,56739000,56739000,118774000,19367000,58847000,78214000,196988000,362714000,-155077000,3229000,210866000,210866000,407854000,5119000,6677000,8081000,-6074000,13803000,-5308000,0,0,-5618000,-9065000,-1083000,72999.9999999999,73000,-786000,-10861000,-2676000,-2676000,-2676000,13961000,23759000,4545000,0.41863,0.0485,0.03409,0.02428,0.01255,0.887869999999999,1.58396,0.93419,0.05825,0.06777,0.06723,1.98814,2.79149,0.0601699999999999,0.12,0.04833,0.01549,1.77085,-6.21338,-11.90898
"23","2015_Q4",16.2803125,"Down",166232000,-98270000,67962000,-50084000,-44513000,-5571000,17878000,-658000,-615000,-609000,17220000,17220000,-6855000,10365000,10365000,10365000,10365000,99570000,37136000,62434000,54265000,54265000,5526000,32586000,16323000,191947000,147245000,22375000,50086000,20756000,219706000,411653000,67847000,67847000,4416000,51588000,51588000,123851000,18254000,55043000,73297000,197148000,365195000,-153873000,3183000,214505000,214505000,411653000,10365000,6552000,18146000,-31232000,3831000,-4857000,13605000,-10100000,-1602000,-9108000,-1089000,465000,465000,368000,-9364000,-7135000,-7135000,-7135000,24430000,22670000,-4804000,0.40884,0.10755,0.06235,0.04832,0.02518,-0.46348,1.54982,0.91908,0.05507,0.1367,0.13537,2.19237,2.82902,-0.06336,0.12012,0.06664,-0.01644,0.87873,-3.14777,-4.30138
"24","2016_Q1",15.5539344262295,"Down",166176000,-102033000,64143000,-58519000,-53087000,-5432000,5624000,-1032000,-641000,-961000,4592000,-2533000,1420000,-1113000,-1113000,-1113000,-1113000,102376000,38019000,64357000,58437000,58437000,6167000,12778000,12778000,179758000,142986000,22278000,64123000,19414000,229387000,409145000,70001000,70001000,4440000,57152000,57152000,131593000,17135000,51100000,68235000,199828000,370402000,-164096000,3011000,209317000,209317000,409145000,-1113000,6509000,18653000,-3553999.99999999,20495000,-4160000,4430000,-6903000,-6633000,-9108000,-1095000,73999.9999999999,73999.9999999998,-2850000,-12979000,883000,883000,883000,12133000,21575000,2999000,0.38599,0.03384,-0.0067,-0.00532,-0.00272,-2.69452,1.36601,0.95467,0.05273,-0.01466,-0.01453,2.18932,2.75769,0.03951,0.12,0.02835,0.01064,-8.18329,-6.65961,-14.36718
"25","2016_Q2",15.96296875,"Up",171100000,-93334000,77766000,-55762000,-50175000,-5587000,22004000,-639000,-593000,-656000,21365000,21365000,-7480000,13885000,13885000,13885000,13885000,87559000,23201000,64358000,50064000,50064000,7822000,19238000,19238000,164683000,144789000,22406000,62583000,19813000,229778000,394461000,52852000,52852000,4465000,58382000,58382000,115699000,16009000,44730000,60739000,176438000,374116000,-159330000,3237000,218023000,218023000,394461000,13885000,6736000,14026000,-33122000,1525000,-6677000,-3227981.74819762,0,-6677000,-9113000,-1101000,572000,572000,-24000,-9666000,-14818000,-14818000,-14818000,28740000,20474000,-3579000,0.45451,0.1286,0.08115,0.06369,0.0352,-0.25776,1.42337,0.80926,0.0519,0.18285,0.1801,2.25318,2.8711,-0.04713,0.12001,0.0812,-0.01264,0.65632,-2.3342,-3.04876
"26","2016_Q3",18.75796875,"Up",198994000,-132020000,66974000,-65401000,-59435000,-5966000,1573000,-546000,-601000,-588000,1027000,1027000,-164999.999999996,862000,862000,862000,862000,79909000,16193000,63716000,55275000,55275000,7374000,21281000,21281000,163839000,147622000,23618000,61234000,18663000,232474000,396313000,59728000,59728000,16072000,48329000,48329000,124129000,14878000,41080000,55958000,180087000,380632000,-167586000,3180000,216226000,216226000,396313000,862000,7196000,17441000,-24245000,1254000,-8856000,4e+05,-9.31322574615479e-10,-9706000,-9116000,10476000,101000,101000,-17000,1443999.99999999,-7008000,-7008000,-7008000,8769000,30950000,-24167000,0.33656,0.00790000000000002,0.00433000000000001,0.00399,0.00218,-28.03596,1.31991,0.83286,0.07809,0.0113499999999999,0.01112,2.61996,2.84684,-0.31818,0.12002,0.03462,-0.08384,10.57541,-5.58319,-31.1246
"27","2016_Q4",17.6849206349206,"Down",164162000,-87637000,76525000,-58256000,-52062000,-6194000,18269000,-209000,-571000,-292000,18060000,18060000,-6985000,11075000,11075000,11075000,11075000,67574000,11457000,56117000,63742000,63742000,7935000,28559000,28559000,167810000,183225000,24928000,51654000,18116000,259807000,427617000,61712000,61712000,6096000,65459000,65459000,133267000,36740000,37576000,74316000,207583000,383101000,-166151000,3084000,220034000,220034000,427617000,11075000,7548000,16657000,-12874000,22406000,-8355000,7165000,0,-2190000,-9166000,-11114000,621000,621000,-5293000,-24952000,-4736000,-4736000,-4736000,25817000,42836000,11573000,0.46616,0.11129,0.06746,0.05033,0.0259,1.04497,1.2592,0.94341,0.10017,0.14515,0.14293,2.15156,2.88384,0.15168,0.12013,0.06737,0.03852,0.82763,-0.95821,-1.35410000000001
"28","2017_Q1",19.2862903225806,"Up",194960000,-190676000,4284000,9511000,16175000,-6664000,13795000,-1034000,-1255000,2128000,12761000,12761000,-4742000,8019000,8019000,8019000,8019000,267140000,211976000,55164000,53155000,53155000,6531000,22480000,22480000,349306000,172276000,24957000,54364000,21808000,251597000,600903000,70360000,70360000,6121000,56653000,56653000,133134000,196604000,31422000,228026000,361160000,404151000,-167303000,2895000,239743000,239743000,600903000,8019000,7916000,13770000,7275000,36980000,-6016000,499999.999999998,-1.86264514923096e-09,-5516000,-9169000,192780000,103000,103000,-14659000,169055000,200519000,200519000,200519000,21711000,202725000,27712000,0.02197,0.07076,0.04113,0.03345,0.01334,3.45579,2.62372,1.50645,0.33737,0.10495,0.10273,2.5516,3.13771,0.36269,0.12,0.03627,0.05848,1.14341,-2.96693,-4.66945
