"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",63.461935483871,"Down",547400000,-3.49e+08,198400000,-138100000,-138100000,60300000,-3300000,-4500000,1200000,5.7e+07,5.7e+07,-13900000,43100000,43100000,42700000,42700000,24200000,24200000,349500000,349500000,287600000,73700000,30400000,7.35e+08,343100000,1355900000,277300000,990400000,88200000,1.699e+09,2.434e+09,392200000,152500000,239700000,2100000,394300000,645600000,195200000,1.75e+08,840800000,1235100000,292800000,1076800000,-219300000,1143300000,1198900000,2.434e+09,43100000,43100000,21500000,8e+05,-47100000,18300000,-14300000,-15300000,-15300000,-340400000,313300000,2800000,2800000,320200000,-1900000,-1900000,-1900000,81800000,647700000,34300000,0.36244,0.11016,0.07801,0.03562,0.01754,0.80328,1.86406,1.03019,0.26611,1.16667,1.14477,14.95628,31.2377,0.93716,4,0.02091,0.0168,7.62225,10.33997
"12","2013_Q1",71.771,"Up",567400000,-3.59e+08,208400000,-140800000,-140800000,67600000,-4500000,-5200000,7e+05,63100000,63100000,-18600000,44500000,46800000,46200000,46200000,45800000,45800000,350300000,350300000,281200000,67500000,67500000,744800000,349500000,1312100000,265700000,990200000,56200000,1661600000,2406400000,405300000,148600000,256700000,2e+06,407300000,556200000,239500000,239500000,795700000,1.203e+09,298200000,1.123e+09,-273400000,1147800000,1203400000,2406400000,44500000,46800000,21900000,9500000,45700000,121600000,-23300000,-22300000,-22300000,-22200000.0000001,-88999999.9999999,7700000,7700000,-78099999.9999999,21300000,21300000,21600000,89500000,558200000,130500000,0.36729,0.11914,0.08142,0.03839,0.0192,2.82468,1.82863,0.99967,0.23196,1.24865,1.22546,15.33514,31.02162,3.52703,5,0.02309,0.06521,5.72514,7.57988
"13","2013_Q2",76.19859375,"Up",569400000,-365400000,2.04e+08,-145100000,-145100000,58900000,-5900000,-5400000,-5e+05,5.3e+07,5.3e+07,-13200000,39800000,39800000,40400000,40400000,4.9e+07,4.9e+07,372100000,372100000,304500000,68200000,34500000,793800000,351200000,1385400000,280100000,1014800000,90500000,1736600000,2530400000,392900000,1.6e+08,232900000,3700000,396600000,6.95e+08,205300000,182800000,900300000,1296900000,3.09e+08,1163400000,-292900000,1179500000,1233500000,2530400000,39800000,39800000,21900000,-2300000,-116100000,-56700000,-16300000,-16300000,-16300000,-8.6e+07,140100000,4800000,4800000,145900000,3200000,3200000,3200000,80800000,698700000,-38400000,0.35827,0.10344,0.07095,0.03275,0.01597,-0.9505,2.00151,1.0514,0.27612,1.10082,1.08021,15.51499,32.13896,-1.04632,4,0.0189,-0.01796,8.04084,11.03056
"14","2013_Q3",81.1365625,"Up",6.01e+08,-383600000,217400000,-152500000,-152500000,64900000,-5100000,-5100000,0,59800000,59800000,-16500000,43300000,43300000,42900000,42900000,70100000,70100000,346700000,346700000,293700000,67800000,33900000,778300000,354400000,1381400000,270400000,1006800000,104200000,1735800000,2514100000,4.01e+08,156500000,244500000,1900000,402900000,626200000,204400000,182100000,830600000,1233500000,315100000,1206300000,-293500000,1227900000,1280600000,2514100000,43300000,43300000,22100000,28800000,18600000,112800000,-19900000,-2e+07,-2e+07,-23900000,-70200000,2400000,2400000,-67799999.9999999,21100000,21100000,21100000,8.7e+07,628100000,102200000,0.36173,0.10799,0.07138,0.0335,0.01706,2.38228,1.93174,0.96322,0.24983,1.16894,1.14706,16.37602,33.45777,2.78474,5,0.0203,0.04836,6.41379,8.59784
"15","2013_Q4",89.0284375,"Up",571600000,-3.69e+08,202600000,-149600000,-149600000,5.3e+07,-5800000,-5100000,-7e+05,47200000,47200000,-3e+05,46900000,46900000,46800000,46800000,88700000,88700000,368900000,368900000,3.04e+08,81300000,51200000,842900000,3.61e+08,1416800000,274200000,1030300000,112300000,1777800000,2620700000,402100000,1.6e+08,242100000,4500000,406600000,638600000,215900000,192800000,854500000,1261100000,322500000,1.253e+09,-265100000,1310400000,1359600000,2620700000,46900000,46900000,23100000,-11200000,-9300000,49500000,-17600000,-17700000,-17700000,-50300000,14100000,2800000,2800000,19400000,18600000,18600000,18600000,76100000,643100000,49500000,0.35444,0.09272,0.08188,0.03442,0.01786,1.05769,2.07304,0.92755,0.24539,1.25469,1.23158,15.3244,35.13137,1.32708,6,0.02109,0.02231,7.28515,10.46038
"16","2014_Q1",94.8360655737705,"Up",596600000,-3.82e+08,214600000,-151100000,-151100000,63500000,5e+05,-4800000,5300000,6.4e+07,6.4e+07,-9500000,54500000,54500000,54900000,54900000,6.6e+07,6.6e+07,3.78e+08,3.78e+08,294300000,60800000,60800000,799100000,357700000,1594300000,270900000,1037800000,63600000,1.952e+09,2751100000,414600000,147500000,267100000,3500000,418100000,5.49e+08,265300000,265300000,814300000,1232400000,329200000,1.308e+09,-165500000,1471700000,1518700000,2751100000,54500000,54500000,2.4e+07,-1900000,21100000,97700000,-1.3e+07,-18600000,-18600000,-34800000,-8.9e+07,2100000,2100000,-86400000,-23500000,-23500000,-22700000,87500000,552500000,105100000,0.3597,0.10644,0.09202,0.03615,0.01996,1.91439,1.91127,0.81148,0.20083,1.47185,1.44474,15.99464,39.45576,2.81769,6,0.0235,0.04498,5.56,7.66142
"17","2014_Q2",95.6528571428571,"Up",573500000,-351700000,221800000,-155800000,-155800000,6.6e+07,-4100000,-4700000,6e+05,61900000,61900000,-15900000,4.6e+07,4.6e+07,45800000,45800000,73700000,73700000,376900000,376900000,307600000,6.3e+07,6.3e+07,821200000,351100000,1587900000,261200000,1032700000,65500000,1.939e+09,2760200000,391600000,152300000,239300000,4800000,396400000,555100000,261800000,261800000,816900000,1213300000,334100000,1353800000,-1.73e+08,1501200000,1546900000,2760200000,4.6e+07,4.6e+07,23200000,4300000,-46500000,2.7e+07,-11700000,-11700000,-11700000,-11600000,7900000,-16900000,6700000,-7e+06,8400000,8400000,7700000,89200000,559900000,46900000,0.38675,0.11508,0.07986,0.02961,0.01659,1.02402,2.07164,0.78434,0.20285,1.22788,1.20526,15.37534,40.24665,1.25737,6,0.01934,0.0198,5.45067,7.36667
"18","2014_Q3",95.57640625,"Down",597100000,-368400000,228700000,-154400000,-154400000,74300000,3600000,-4600000,8200000,77900000,77900000,-22100000,55800000,55800000,56100000,56100000,103400000,103400000,376300000,376300000,318100000,60700000,60700000,858500000,346500000,1601200000,258400000,1042800000,67300000,1947700000,2806200000,408400000,149700000,258700000,7500000,415900000,501700000,263700000,263700000,765400000,1181300000,333400000,1409900000,-1.52e+08,1577800000,1624900000,2806200000,55800000,55800000,23400000,10600000,5300000.00000001,95100000,-8600000,-8900000,-8900000,-11600000,-50800000,-5499999.99999999,6500000,-52800000,30700000,30700000,29700000,97700000,509200000,116500000,0.38302,0.12443,0.09395,0.03453,0.01999,2.07665,2.0642,0.727,0.18146,1.496,1.46859,15.92267,42.07467,3.10667,7,0.0234,0.04859,4.15353,5.46164
"19","2014_Q4",101.26703125,"Up",601100000,-375400000,225700000,-151400000,-151400000,74300000,-6400000,-4600000,-1800000,67900000,67900000,-1.3e+07,54900000,54900000,55600000,55600000,125800000,125800000,374400000,374400000,310900000,66600000,66600000,877700000,335100000,1580100000,244500000,1.028e+09,6.9e+07,1915200000,2792900000,416800000,147900000,268900000,8.5e+07,501800000,492800000,260600000,260600000,753400000,1255200000,326500000,1465400000,-186600000,1493400000,1537700000,2792900000,54900000,54900000,23500000,-4800000,6600000,80200000,-9200000,-9100000,-9100000,-14400000,69200000,-1.1e+08,1e+06,-42400000,23400000,23400000,22400000,97800000,577800000,108200000,0.37548,0.12361,0.0925,0.03616,0.01991,1.94604,1.7491,0.81628,0.20688,1.49462,1.46702,16.1586,40.14516,2.9086,7,0.0234,0.04554,4.62168,6.08345
"20","2015_Q1",100.171639344262,"Down",622300000,-391600000,230700000,-150800000,-150800000,79900000,-5500000,-5100000,-4e+05,74400000,74400000,-15500000,58900000,58900000,60200000,60200000,141400000,141400000,400700000,400700000,311800000,87800000,87800000,941700000,336500000,1.584e+09,277600000,1150600000,69500000,1920500000,2862200000,452800000,162500000,290300000,86200000,5.39e+08,618900000,235800000,235800000,854700000,1393700000,326900000,1525700000,-323200000,1427300000,1468500000,2862200000,58900000,58900000,24200000,-87900000,90400000,85600000,-13400000,-13800000,-13800000,-201100000,128200000,4099999.99999996,4100000,132600000,17100000,17100000,15600000,104100000,705100000,196600000,0.37072,0.12839,0.09674,0.04099,0.02103,3.26578,1.74712,0.94906,0.24635,1.66298,1.61394,17.19061,39.42818,5.43094,6,0.02499,0.0816,5.41499,7.05507
"21","2015_Q2",105.602698412698,"Up",5.65e+08,-345900000,219100000,-151800000,-151800000,67300000,-5100000,-5900000,8e+05,62200000,62200000,-18500000,43700000,43700000,43700000,43700000,110200000,110200000,389100000,389100000,323400000,78600000,36600000,901300000,329100000,1562700000,264800000,1133700000,69500000,1891800000,2793100000,396400000,152100000,244300000,87500000,483900000,742500000,237200000,237200000,979700000,1463600000,318800000,1569400000,-369800000,1291400000,1329500000,2793100000,43700000,43700000,23200000,1.9e+07,-69200000,16700000,-7400000,-7700000,-7700000,-26200000,127100000,-139300000,2700000,-13700000,-23200000,-23200000,-31200000,90500000,8.3e+08,32400000,0.38779,0.11912,0.07735,0.03287,0.01565,0.74142,1.86257,1.10086,0.29716,1.1779,1.15303,15.22911,34.80863,0.87332,4,0.01823,0.01352,7.95359,10.69539
"22","2015_Q3",101.07515625,"Down",570100000,-350700000,219400000,-1.5e+08,-1.5e+08,69400000,-2600000,-6e+06,3400000,66800000,66800000,-18500000,48300000,4.8e+07,48300000,48300000,61300000,61300000,395600000,395600000,330200000,86900000,41500000,8.74e+08,331300000,1601800000,266600000,1165600000,68300000,1933100000,2807100000,398400000,145500000,252900000,87200000,485600000,678100000,246800000,246800000,924900000,1410500000,3.46e+08,1617700000,-343200000,1396600000,1396600000,2807100000,4.8e+07,4.8e+07,22600000,-13700000,500000.00000003,5.9e+07,-10400000,-13400000,-13400000,-54199999.9999999,-67400000,8099999.99999997,8100000,-56200000,-51400000,-51400000,-48900000,9.2e+07,765300000,100600000,0.38484,0.12173,0.08472,0.03458,0.01721,2.08282,1.79984,1.00995,0.27263,1.36056,1.33058,16.05915,39.34085,2.8338,5,0.02005,0.04177,7.65217,10.14409
"23","2015_Q4",88.7059375,"Down",551700000,-340300000,211400000,-139600000,-139600000,71800000,-8100000,-6e+06,-2100000,63700000,63700000,-13900000,49800000,48300000,48300000,48300000,71500000,71500000,3.82e+08,3.82e+08,331500000,81500000,33700000,866500000,321500000,1.583e+09,253400000,1149500000,71900000,1904500000,2.771e+09,397100000,151700000,245400000,14300000,411400000,698400000,240400000,240400000,938800000,1350200000,3.47e+08,1.666e+09,-373700000,1420800000,1420800000,2.771e+09,48300000,48300000,21800000,5400000,-3200000,73500000,-10100000,-10200000,-10200000,-11500000,-52100000,2700000,2700000,-48300000,13700000,13700000,10200000,93600000,712700000,94200000,0.38318,0.13014,0.08755,0.03399,0.01743,1.95031,2.10622,0.95031,0.2572,1.37216,1.34167,15.6733,40.36364,2.67614,6,0.02035,0.03968,6.85043,8.93036
"24","2016_Q1",83.1386885245902,"Down",611300000,-390900000,220400000,-147200000,-147200000,73200000,-7700000,-6e+06,-1700000,65500000,65500000,-11800000,53700000,55500000,55500000,55500000,85100000,85100000,3.73e+08,3.73e+08,309200000,59500000,59500000,826800000,321300000,1.569e+09,243300000,1140200000,74500000,1890300000,2717100000,374500000,136500000,2.38e+08,19100000,393600000,761500000,217900000,217900000,979400000,1.373e+09,345700000,1721500000,-413200000,1344100000,1344100000,2717100000,55500000,55500000,22700000,-12800000,-1600000,6.1e+07,-15300000,-15700000,-15700000,-1.8e+07,69800000,-96300000,5500000,-26800000,16200000,16200000,13600000,95900000,780600000,90800000,0.36054,0.11974,0.09079,0.04129,0.02043,1.63604,2.10061,1.0215,0.28729,1.58571,1.5678,17.46571,38.40286,2.59429,5,0.02369,0.03876,7.25235,9.50137
"25","2016_Q2",94.56984375,"Up",530500000,-324800000,205700000,-144800000,-144800000,60900000,-7e+06,-5700000,-1300000,53900000,53900000,-14900000,3.9e+07,3.9e+07,3.9e+07,3.9e+07,83200000,83200000,371800000,371800000,3.22e+08,56400000,56400000,833400000,322800000,1581700000,2.4e+08,1151900000,7.2e+07,1904500000,2737900000,378900000,134200000,244700000,12400000,391300000,707100000,212500000,212500000,919600000,1310900000,353900000,1759900000,-381900000,1.427e+09,1.427e+09,2737900000,38400000,38400000,21100000,1.9e+07,-9400000,69100000,-1.4e+07,-14200000,-14200000,-14500000,-62300000,2600000,2600000,-59200000,-4600000,-4600000,-1900000,8.2e+07,719500000,73500000,0.38775,0.1148,0.07352,0.02733,0.01424,1.88462,2.12982,0.91864,0.26279,1.13372,1.10795,15.42151,41.48256,2.13663,6,0.01653,0.03116,7.75976,10.44828
"26","2016_Q3",105.5303125,"Up",539700000,-336200000,203500000,-149900000,-149900000,53600000,11300000,-5900000,17200000,64900000,64900000,-1.8e+07,46900000,46900000,46900000,46900000,71700000,71700000,367600000,367600000,3.19e+08,72200000,40900000,830500000,321900000,1628100000,246100000,1186500000,7.1e+07,1.95e+09,2780500000,386300000,1.34e+08,252300000,13500000,402300000,678200000,222900000,222900000,901100000,1303400000,351400000,1805600000,-388900000,1477100000,1477100000,2780500000,47500000,47500000,21700000,24900000,-10500000,83600000,3700000,-16300000,-16300000,-74100000,-2.6e+07,7e+06,7e+06,-18700000,-9200000,-9200000,-11500000,75300000,691700000,86500000,0.37706,0.09931,0.0869,0.03175,0.01687,1.84435,2.06438,0.8824,0.24877,1.36337,1.3477,15.68895,42.93895,2.51453,5,0.01961,0.03617,8.23373,11.56716
"27","2016_Q4",115.655396825397,"Up",526800000,-3.17e+08,209800000,-1.41e+08,-1.41e+08,68800000,-6400000,-5600000,-8e+05,62400000,62400000,-10400000,5.2e+07,5.2e+07,5.2e+07,5.2e+07,99500000,99500000,371500000,371500000,3.25e+08,55200000,35700000,851200000,319400000,1623100000,237700000,1183500000,7.1e+07,1942500000,2793700000,414400000,142300000,272100000,114600000,5.29e+08,498400000,221200000,221200000,719600000,1248600000,339200000,1859400000,-394200000,1545100000,1545100000,2793700000,5.2e+07,5.2e+07,22800000,0,23200000,9.8e+07,-5e+06,-14400000,-14400000,-4700000,-78800000,17100000,17100000,-63600000,29700000,29700000,27800000,91600000,6.13e+08,120200000,0.39825,0.1306,0.09871,0.03365,0.01861,2.31154,1.60907,0.8081,0.21942,1.49856,1.43646,15.18156,44.52738,3.46398,6,0.02186,0.05052,5.6059,7.46366
"28","2017_Q1",127.540806451613,"Up",552900000,-351500000,201400000,-144200000,-144200000,57200000,-10400000,-6e+06,-4400000,46800000,60100000,-7100000,5.3e+07,5.3e+07,5.3e+07,5.3e+07,98600000,98600000,383700000,383700000,314200000,49700000,49700000,846200000,340800000,1587400000,234600000,1193500000,70800000,1928200000,2774400000,399800000,138800000,2.61e+08,1.02e+08,501800000,515800000,202400000,202400000,718200000,1.22e+09,336100000,1912400000,-451200000,1554400000,1554400000,2774400000,5.3e+07,5.3e+07,21700000,-12700000,4300000,66300000,-42300000,-42700000,-42700000,-57700000,4e+06,9400000,9400000,-3500000,5100000,5100000,-9e+05,78900000,617800000,4.8e+07,0.36426,0.10345,0.09586,0.0341,0.0191,0.90566,1.68633,0.78487,0.22268,1.51862,1.48045,15.84241,44.53868,1.37536,5,0.02232,0.02021,6.58048,9.07692
