"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",14031.67578125,"Up",9519000,-7062000,2457000,-2826000,-1872000,-954000,-369000,-125000,-125000,-494000,-494000,-494000,-494000,-494000,-499000,816000,816000,3235000,3235000,6385000,625000,295000,11061000,3472000,1060000,1029000,4532000,15593000,5044000,4730000,309000,180000,4072000,4072000,9296000,556000,556000,2804000,12100000,104000,24750000,-21361000,3493000,3493000,15593000,-494000,153000,-4999.99999999997,78000,-268000,-188000,-188000,546000,546000,90000,90000,90000,-216000,2428000,0.25812,-0.03876,-0.05242,-0.14286,-0.032,1.18987,3.46407,0.15571,-99.74095,-99.74095,1902.67362,677.39898,-0.07704,-7.46296,-4.36856
"13","2013_Q4",15710.609375,"Up",10076000,-6900000,3176000,-2962000,-1922000,-1040000,214000,-180000,-180000,34000,34000,34000,34000,34000,34000,1046000,1046000,3185000,3185000,6705000,847000,348000,11783000,3571000,1066000,1029000,4637000,16420000,5508000,5215000,293000,180000,4313000,4313000,10001000,525000,525000,2743000,12744000,94000,24909000,-21327000,3676000,3676000,16420000,34000,89000,79000,-37000,165000,-161000,-161000,172000,226000,230000,230000,230000,303000,2398000,0.3152,0.02124,0.00337,0.00925,0.00207,1.17818,3.46681,0.14604,6.70935,6.70935,1988.33536,706.84967,0.00515,4.46205,6.31776
"14","2014_Q1",19063.9221311475,"Up",9560000,-6934000,2626000,-3101000,-2024000,-1077000,-475000,-182000,-182000,-657000,-657000,-657000,-657000,-657000,-657000,1104000,1104000,2143000,2143000,6293000,434000,178000,9974000,3686000,1089000,1029000,4775000,14749000,3913000,3612000,301000,190000,4524000,4524000,8627000,482000,482000,2735000,11362000,94000,25277000,-21984000,3387000,3387000,14749000,-657000,163000,94000,242000,-158000,-155000,-155000,113000,371000,58000,58000,58000,-312000,2443000,0.27469,-0.04969,-0.06872,-0.19398,-0.04455,1.15614,3.35459,0.16564,-129.66261,-129.66261,1886.71932,649.89192,-0.10409,-4.29167,-2.81895
"15","2014_Q2",12619.2579365079,"Down",8950000,-6047000,2903000,-2935000,-2040000,-895000,-32000,-188000,-188000,-220000,-220000,-220000,-220000,-220000,-220000,1104000,1104000,2561000,2561000,6076000,554000,181000,10295000,3608000,1078000,1029000,4686000,14981000,4265000,3968000,297000,179000,4593000,4593000,9037000,437000,437000,2658000,11695000,94000,25396000,-22204000,3286000,3286000,14981000,-220000,181000,99000,25000,85000,-73000,-73000,-25000,-12000,0,0,0,149000,2400000,0.32436,-0.00358,-0.02458,-0.06695,-0.01469,1.13921,3.55904,0.1602,-42.42088,-42.42088,1725.75844,615.48837,-0.03593,8.69799,-40.5
"16","2014_Q3",14009.30078125,"Up",11186000,-7483000,3703000,-2888000,-1962000,-926000,815000,-177000,-177000,638000,638000,638000,638000,638000,633000,1213000,1213000,2881000,2881000,5499000,1046000,160000,10639000,3537000,1063000,1029000,4600000,15239000,4452000,4131000,321000,167000,3982000,3982000,8601000,390000,390000,2585000,11186000,94000,25530000,-21571000,4053000,4053000,15239000,638000,180000,114000,-44000,888000,-82000,-82000,-703000,-697000,109000,109000,109000,995000,2362000,0.33104,0.07286,0.05659,0.15618,0.04154,1.23695,2.75993,0.155,120.93931,116.0964,2137.16756,756.39607,0.09302,1.15477,1.40982
"17","2014_Q4",15889.2421875,"Up",12320000,-8432000,3888000,-3642000,-2332000,-1310000,246000,-195000,-195000,51000,51000,48000,48000,48000,48000,1705000,1705000,3759000,3759000,5983000,1077000,290000,12524000,4069000,1046000,1029000,5115000,17639000,6119000,5788000,331000,247000,4159000,4159000,10525000,341000,341000,2917000,13442000,94000,25626000,-21523000,4197000,4197000,17639000,48000,175000,195000,166000,584000,-2e+05,-2e+05,101000,108000,492000,492000,492000,421000,2823000,0.31558,0.01997,0.0039,0.01144,0.00272,1.18993,3.20276,0.16004,8.68042,9.03725,2227.97412,741.99495,0.00652,2.65558,4.54472
"18","2015_Q1",14358.893442623,"Down",10966000,-8454000,2512000,-3265000,-1918000,-1347000,-753000,-468000,-468000,-1221000,-1221000,-1220000,-1220000,-1220000,-1220000,959000,959000,2500000,2500000,6306000,1734000,447000,11499000,4572000,1029000,1029000,5601000,17100000,6024000,5894000,130000,259000,3009000,3009000,9292000,1500000,1500000,4156000,13448000,94000,26301000,-22743000,3652000,3652000,17100000,-1220000,219000,72000,388000,-541000,25000,25000,-223000,-230000,-746000,-746000,-746000,-534000,2915000,0.22907,-0.06867,-0.11125,-0.33406,-0.07135,1.23752,3.68237,0.17047,-247.94531,-247.94531,2228.66248,723.10606,-0.15123,-3.66292,-2.59761
"19","2015_Q2",14579.9642857143,"Up",10672000,-7413000,3259000,-3276000,-2107000,-1169000,-17000,-254000,-254000,-271000,-271000,-271000,-271000,-271000,-271000,1221000,1221000,2978000,2978000,8360000,1342000,529000,13901000,5035000,1029000,1029000,6064000,19965000,7302000,7161000,141000,259000,4113000,4113000,11674000,1500000,1500000,4667000,16341000,94000,26544000,-23014000,3624000,3624000,19965000,-271000,213000,212000,-612000,-458000,-351000,-351000,1040000,1071000,262000,262000,262000,196000,3426000,0.30538,-0.00159,-0.02539,-0.07478,-0.01357,1.19077,4.50911,0.1716,-51.84152,-51.84152,2041.52295,675.27886,-0.0317,11.25,-129.70588
"20","2015_Q3",13913.1484375,"Down",12178000,-8537000,3641000,-4187000,-2759000,-1428000,-546000,-140000,-140000,-686000,-686000,-686000,-686000,-686000,-691000,215000,215000,3586000,3586000,8937000,1831000,530000,14569000,5057000,1029000,1029000,6086000,20655000,7693000,7538000,155000,274000,4635000,4635000,12602000,1500000,1500000,4773000,17375000,94000,26892000,-23705000,3281000,3281000,20656000,-686000,240000,348000,-1288000,-1386000,-78999.9999999999,-78999.9999999999,459000,459000,-1006000,-1006000,-1006000,-306000,3547000,0.29898,-0.04483,-0.05674,-0.21061,-0.03345,1.15609,5.29564,0.17173,-131.8255,-131.8255,2323.25749,607.9998,-0.08298,-10.88889,-6.10256000000003
"21","2015_Q4",12783.39453125,"Down",10711000,-9154000,1557000,-3591000,-2236000,-1355000,-2034000,-432000,-432000,-2466000,-2466000,-2466000,-2466000,-2466000,-2466000,1203000,1203000,3744000,3744000,7900000,1004000,314000,13851000,5282000,1029000,1029000,6311000,20162000,9702000,7710000,1992000,281000,4329000,4329000,14312000,2990000,2990000,4832000,19144000,94000,27095000,-26171000,1018000,1018000,20162000,-2466000,230000,155000,1879000,-202000,15000,15000,1132000,1175000,988000,988000,988000,-1804000,2123000,0.14536,-0.1899,-0.23023,-2.4224,-0.12231,0.96779,18.8055,0.1053,-469.36661,-469.36661,2038.68038,175.86973,-0.40222,-0.50998,-0.45231
"22","2016_Q1",12450.0901639344,"Down",12387000,-9239000,3148000,-3281000,-2133000,-1148000,-133000,-405000,-405000,-538000,-538000,-538000,-538000,-538000,-538000,1816000,1816000,2894000,2894000,7974000,769000,769000,13453000,5369000,1029000,1029000,6398000,19851000,7967000,7458000,509000,313000,4443000,4443000,12723000,4410000,4410000,6343000,19066000,94000,27400000,-26709000,785000,785000,19851000,-538000,250000,163000,822999.999999999,698000,-117000,-117000,31000,32000,613000,613000,613000,117000,2246000,0.25414,-0.01074,-0.04343,-0.68535,-0.0271,1.05738,24.2879,0.11314,-101.25406,-101.25406,2331.29003,130.04936,-0.0723000000000001,3.67521,-3.23308
"23","2016_Q2",9411.09375,"Down",10004000,-8111000,1893000,-3095000,-2246000,-849000,-1202000,-378000,-378000,-1580000,-1580000,-1580000,-1580000,-1580000,-1580000,648000,648000,2675000,2675000,8186000,659000,456000,12168000,5788000,1029000,1029000,6817000,18985000,8245000,7721000,524000,318000,4250000,4250000,12813000,2894000,2894000,6753000,19566000,94000,27614000,-28289000,-581000,-581000,18985000,-1580000,261000,169000,395000,-755000,-186000,-186000,-272000,-227000,-1168000,-1168000,-1168000,-941000,4177000,0.18922,-0.12015,-0.15794,2.71945,-0.08322,0.94966,-33.67642,0.22002,-299.60558,-299.60558,1896.99636,-127.99606,-0.24345,-3.75027,-2.93594
"24","2016_Q3",7439.45703125,"Down",10992000,-8390000,2602000,-2949000,-1885000,-1064000,-347000,-416000,-416000,-763000,-763000,-763000,-763000,-763000,-768000,969000,969000,3544000,3544000,7723000,1149000,573000,13385000,6479000,1029000,1029000,7508000,20893000,6206000,5673000,533000,317000,5646000,5646000,12169000,2886000,2886000,7642000,19811000,94000,30045000,-29057000,1082000,1082000,20893000,-763000,216000,133000,-2935000,-3349000,108000,108000,1323000,3562000,321000,321000,321000,-131000,5073000,0.23672,-0.03157,-0.06987,-0.7098,-0.03676,1.09993,18.30961,0.24281,-142.98862,-142.98862,2046.52462,183.9489,-0.08495,-31.32824,-11.82709
"25","2016_Q4",10319.8412698413,"Up",12330000,-9444000,2886000,-2689000,-1787000,-902000,197000,-445000,-445000,-248000,-248000,-248000,-248000,-248000,-248000,1947000,1947000,3055000,3055000,7805000,810000,695000,13617000,6844000,1029000,1029000,7873000,21490000,8081000,7157000,924000,361000,4901000,4901000,13343000,3051000,3051000,7175000,20518000,94000,30183000,-29305000,972000,972000,21490000,-248000,212000,147000,2388000,2499000,-507000,-507000,-1005000,-1014000,978000,978000,978000,409000,4485000,0.23406,0.01598,-0.02011,-0.25514,-0.01154,1.02054,21.10905,0.2087,-44.60102,-44.60102,2217.46206,157.902,-0.02915,6.20538,12.88325
"26","2017_Q1",10089.7177419355,"Down",9146000,-7285000,1861000,-2824000,-1737000,-1087000,-963000,-739000,-739000,-1702000,-2418000,-2418000,-2418000,-2418000,-2418000,451000,451000,2485000,2485000,6885000,5e+05,5e+05,10321000,7726000,805000,805000,8531000,18852000,7127000,5959000,1168000,373000,4384000,4384000,11884000,6824000,6824000,8625000,20509000,94000,29972000,-31723000,-1657000,-1657000,18852000,-2418000,-302000,379000,1413000,-927999.999999999,175000,175000,-814000,-743000.000000001,-1496000,-1496000,-1496000,-1265000,2174000,0.20348,-0.10529,-0.26438,1.45926,-0.12826,0.86848,-12.37719,0.11532,-432.80432,-432.80432,1637.06712,-313.4162,-0.32938,-1.36206,-1.7892
"27","2017_Q2",8231.95238095238,"Down",8295000,-7239000,1056000,-2642000,-1899000,-743000,-1586000,-416000,-416000,-2002000,-1993000,-1993000,-1993000,-1993000,-1993000,197000,197000,2414000,2414000,5516000,377000,377000,8504000,7934000,805000,805000,8739000,17243000,7761000,6617000,1144000,384000,3910000,3910000,12055000,6972000,6972000,8698000,20753000,94000,30112000,-33716000,-3510000,-3510000,17243000,-1993000,121000,289000,2110000,527000,-41000,-41000,-740000,-740000,-254000,-254000,-254000,-1465000,2110000,0.12731,-0.1912,-0.24027,0.56781,-0.11558,0.70543,-5.91254,0.12237,-356.34516,-356.34516,1483.13252,-644.38934,-0.35768,-1.3058,-1.20618
"28","2017_Q3",4877.57936507937,"Down",8864000,-7152000,1712000,-2783000,-1914000,-869000,-1071000,-1097000,-1097000,-2168000,153000,153000,153000,153000,148000,251000,251000,2730000,2730000,7917000,283000,283000,11181000,8250000,805000,805000,9055000,20236000,7988000,6690000,1298000,368000,4866000,4866000,13222000,8015000,8015000,10193000,23415000,94000,30295000,-33568000,-3179000,-3179000,20236000,153000,546000,1153000,-5549000,-3697000,-19000,-19000,3493000,3770000,54000,54000,54000,-525000,2546000,0.19314,-0.12083,0.0167,-0.0465600000000005,0.00731,0.84564,-7.36552,0.12582,26.4621599999999,26.46216,1584.86879,-585.20708,0.02005,-4.37143,-2.14286
"29","2017_Q4",4565.07936507937,"Down",10887000,-8825000,2062000,-3052000,-1933000,-1119000,-990000,-757000,-757000,-1747000,-5617000,-5617000,-5617000,-5617000,-5617000,348000,348000,3188000,3188000,7815000,301000,301000,11652000,4089000,3270000,805000,7359000,19011000,8126000,6992000,1134000,408000,5430000,5430000,13964000,6373000,6373000,8690000,22654000,94000,35448000,-39185000,-3643000,-3643000,19011000,-5617000,-237000,2482000,1813000,-1559000,-475000,-475000,281000,2131000,97000,97000,97000,-1227000,2725000,0.1894,-0.09093,-0.51594,1.54186,-0.29546,0.83443,-6.2185,0.14334,-933.38735,-933.38735,1809.11306,-620.98425,-1.0297,-1.93725,-2.40101
"30","2018_Q1",3987.29508196721,"Down",9668000,-7605000,2063000,-4240000,-3029000,-1211000,-2177000,-1221000,-1221000,-3398000,-10916000,-10916000,-10916000,-10916000,-10916000,12127000,12127000,2691000,2691000,5931000,199000,199000,20948000,174000,3354000,805000,3528000,24476000,14647000,7480000,7167000,420000,3578000,3578000,18645000,146999.999999999,146999.999999999,5323000,23968000,94000,50515000,-50101000,508000,508000,24476000,-10916000,121000,-3400000,15502000,1307000,-278000,-278000,-2137000,10750000,11779000,11779000,11779000,-2056000,5596000,0.21338,-0.22518,-1.12909,-21.48819,-0.44599,1.12352,47.1811,0.22863,-1695.64328,-1695.64328,1501.78446,64.3089300000001,-1.74628,3.17656,3
"31","2018_Q2",6310.546875,"Up",8288000,-5985000,2303000,-3428000,-2472000,-956000,-1125000,-485000,-485000,-1610000,-1615000,-1615000,-1615000,-1615000,-1615000,3376000,3376000,2464000,2464000,6835000,316000,316000,12991000,203000,2989000,805000,3192000,16183000,11190000,4543000,6647000,417000,0,0,11607000,145000,145000,5409000,17016000,94000,50789000,-51716000,-833000,-833000,16183000,-1615000,177000,350000,-3548000,-4636000,69000,69000,-3907000,-4184000,-8751000,-8751000,-8751000,-948000,5681000,0.27787,-0.13574,-0.19486,1.93878,-0.0998,1.11924,-20.42737,0.35105,-161.56551,-161.56551,829.1362,-92.7376,-0.32345,-2.43143,-2.04889
"32","2018_Q3",7219.44444444444,"Up",9389000,-6347000,3042000,-5864000,-4617000,-1247000,-2822000,-436000,-436000,-3258000,-3376000,-3376000,-3376000,-3376000,-3381000,1807000,1807000,3594000,3594000,10447000,572000,572000,16420000,94000,2989000,805000,3083000,19503000,12278000,4307000,7971000,435000,3996000,3996000,16709000,257000,257000,5528000,22237000,94000,52269000,-55097000,-2734000,-2734000,19503000,-3376000,160000,1048000,-3611000,-5779000,-51000,-51000,3683000,4261000,-1569000,-1569000,-1569000,-2662000,5706000,0.324,-0.30056,-0.3601,1.23665,-0.17336,0.9827,-8.1335,0.29257,-336.16042,-336.16042,933.51381,-281.17766,-1.04707,-1.46469,-1.38164
"33","2018_Q4",6257.53968253968,"Down",10796000,-8115000,2681000,-4760000,-3365000,-1395000,-2079000,-621000,-621000,-2700000,-2674000,-2674000,-2674000,-2674000,-2674000,188000,188000,4436000,4436000,7041000,438000,438000,12103000,157000,2726000,805000,2883000,14986000,11181000,3272000,7909000,371000,2739000,2739000,14291000,227000,227000,5519000,19810000,94000,52853000,-57771000,-4824000,-4824000,14986000,-2674000,155000,832000,1606000,-81000,-68000,-68000,-1656000,-1470000,-1619000,-1619000,-1619000,-1924000,5663000,0.24833,-0.19257,-0.24768,0.55431,-0.17843,0.8469,-4.10655,0.37789,-261.19166,-261.19166,1054.53447,-480.38167,-2.50844,-2.84563,-2.63348
"34","2019_Q1",6535.24590163934,"Up",9629000,-6977000,2652000,-4699000,-2808000,-1891000,-2047000,-659000,-659000,-2706000,-2660000,-2660000,-2660000,-2660000,-2660000,624000,624000,2608000,2608000,7380000,326000,131000,10938000,896000,658000,576000,1554000,12492000,7204000,5721000,1483000,51000,6980000,6980000,14235000,38000,38000,5e+06,19235000,94000,53594000,-60431000,-6743000,-6743000,12492000,-2660000,-406000,148000,4156000,1238000,992000,992000,-1276000,-1794000,436000,436000,436000,-2453000,5013000,0.27542,-0.21259,-0.27625,0.39448,-0.21294,0.76839,-2.85259,0.4013,-258.73549,-258.73549,936.60303,-665.02803,1.5721,-1.78924,-2.14411
"35","2019_Q2",8819.04761904762,"Up",8449000,-5945000,2504000,-5416000,-4386000,-1030000,-2912000,-335000,-335000,-3247000,-3264000,-3264000,-3264000,-3264000,-3264000,2650000,2650000,3451000,3451000,10732000,445000,445000,17278000,912000,658000,576000,1570000,18848000,5365000,4262000,1103000,53000,2759000,2759000,8177000,85000,85000,5159000,13336000,94000,69113000,-63695000,5512000,5512000,18848000,-3264000,13000,541000,-6046000,-8756000,-22000,-22000,-4304000,10804000,2026000,2026000,2026000,-2899000,5127000,0.29637,-0.34466,-0.38632,-0.59216,-0.17317,2.113,2.41945,0.27202,-280.37725,-280.37725,725.7682,465.40562,-0.30436,-0.85443,-0.85062
"36","2019_Q3",6195.3125,"Down",9480000,-7207000,2273000,-6378000,-4942000,-1436000,-4105000,-294000,-294000,-4399000,-4460000,-4460000,-4460000,-4460000,-4465000,1604000,1604000,3465000,3465000,9283000,398000,398000,14750000,934000,658000,576000,1592000,16342000,4653000,3905000,748000,51000,4328000,4328000,9032000,146000,146000,5322000,14354000,94000,70054000,-68160000,1988000,1988000,16342000,-4460000,12000,1132000,551999.999999998,-2764000,-69000,-69000,1469000,1787000,-1046000,-1046000,-1046000,-4093000,5227000,0.23977,-0.43302,-0.47099,-2.24598,-0.27322,1.63308,7.22032,0.31985,-331.31133,-331.31133,703.43369,140.53833,-0.60658,-0.88517,-0.88258
