"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q2",13.8121875,"Up",151240000,-331121000,-179881000,-108209000,-93688000,-14521000,-288090000,2395632000,86346000,2269817000,39469000,2107542000,2107542000,-9356000,2098186000,2098186000,-1904747000,193439000,193439000,43749032000,1971296000,41777736000,175521000,175521000,43924553000,1618238000,1618238000,1618238000,45542791000,2052607000,2052607000,79674000,79674000,2132281000,1633597000,1633597000,3765878000,2160679000,2156069000,39620844000,41776913000,45542791000,2098186000,-1013526000,425458000,1510118000,-1283000,61720000,60437000,-177355000,513786000,-1636778000,-1300347000,270208000,270208000,270208000,1633597000,-1.18937,-1.90485,1.27902,0.00463,0.00425,20.5998,0.09014,0.03587,0.43091,0.40014,0.33691,4.80295,0.39508,0.00854,0.91685,146.18847
"12","2013_Q3",14.20046875,"Up",166376000,-200602000,-34226000,-91420000,-77542000,-13878000,-125646000,411429000,103406000,98537000,209486000,285783000,285783000,-8525000,277258000,277258000,-262124000,15134000,15134000,42775465000,1632928000,41142537000,156240000,156240000,42931705000,1875940000,1875940000,1875940000,44807645000,2104264000,2104264000,92793000,92793000,2197057000,1706010000,1706010000,3903067000,2293542000,2287389000,38617189000,40904578000,44807645000,277258000,508973000,42196000.0000001,828427000,-3252000,4392000.00000003,1140000.00000003,-71264000,70122000,-1161684000,-1162826000,-333259000,-333259000,-333259000,1706010000,-0.20571,-0.75519,0.0909599999999995,0.000369999999999999,0.00034,19.54055,0.09542,0.03807,0.03371,0.03131,0.37063,5.09548,0.15875,0.00203,4.70887,326.86639
"13","2013_Q4",16.52703125,"Up",220028000,-329182000,-109154000,-126313000,-108676000,-17637000,-235467000,2441265000,89805000,2230401000,121059000,2205798000,2205798000,-7644000,2198154000,2198154000,-1993414000,204740000,204740000,45812216000,1549093000,44263123000,179236000,179236000,45991452000,2168599000,2168599000,2168599000,48160051000,2527876000,2527876000,96772000,96772000,2624648000,2027116000,2027116000,4651764000,2501518000,2495093000,41013194000,43508287000,48160051000,2198154000,-2821407000,80278000,-542975000,-3432000,-23975000,-27407000,-116691000,317188000,314788000,515285000,-55097000,-55097000,-55097000,2027116000,-0.49609,-1.07017,0.93052,0.00471,0.00425,17.5229,0.10692,0.04209,0.45609,0.42351,0.49014,5.55817,0.25995,0.00706,0.56995,185.95005
"14","2014_Q1",17.6260655737705,"Up",224902000,-405687000,-180785000,-174604000,-158920000,-15684000,-355389000,3648420000,95586000,3227327000,325507000,3293031000,3293031000,-12401000,3280630000,3280630000,-3002717000,277913000,277913000,49130888000,1747191000,47383697000,201683000,201683000,49332571000,2094630000,2094630000,2094630000,51427201000,2839926000,2839926000,93851000,93851000,2933777000,1908606000,1908606000,4842383000,2727909000,2722010000,43862808000,46584818000,51427201000,3280630000,-2752255000,253808000,782183000,-6429000,-12285000,-18714000,-66273000,-121723000,-381406000,-569402000,194067000,194067000,194067000,1908606000,-0.80384,-1.58019,1.23571,0.00597,0.0054,16.81538,0.10395,0.03711,0.61909,0.57488,0.501,6.06366,0.14763,0.0071,0.23847,132.87491
"15","2014_Q2",17.3161904761905,"Down",302926000,-331038000,-28112000,-142133000,-126725000,-15408000,-170245000,2196113000,127229000,1972180000,96704000,2025868000,2025868000,-21702000,2004166000,2004166000,-1794125000,210041000,210041000,53675427000,2241976000,51433451000,226759000,226759000,53902186000,2500480000,2500480000,2500480000,56402666000,3502084000,3502084000,110624000,110624000,3612708000,3241751000,3241751000,6854459000,3024385000,3019391000,46528816000,49548207000,56402666000,2004166000,-3248014000,340488000,-903360000,-1888000,-66589000,-68477000,-138308000,175138000,953549000,990379000,18542000,18542000,18542000,3241751000,-0.0928,-0.562,0.69337,0.00424,0.00372,14.92016,0.13834,0.05748,0.4679,0.43448,0.67481,6.72612,0.3081,0.0066,0.65848,296.24175
"16","2014_Q3",17.91203125,"Up",249370000,-358730000,-109360000,-226595000,-210536000,-16059000,-335955000,2394627000,149875000,1971850000,272902000,2058672000,2058672000,-6176000,2052496000,2052496000,-1874281000,178215000,178215000,62439531000,5060763000,57378768000,226767000,226767000,62666298000,2968019000,2968019000,2968019000,65634317000,3192535000,3192535000,119299000,119299000,3311834000,10557736000,10557736000,13869570000,5544533000,5539690000,46225057000,51764747000,65634317000,2052496000,1125180000,-407259000,2770417000,-2827000,218958000,216131000,-175442000,906449000,-2538275000,-1807268000,1179280000,1179280000,1179280000,10557736000,-0.43855,-1.34721,0.71466,0.00344,0.00272,18.92193,0.26793,0.16086,0.397,0.36865,0.55551,12.34045,0.39082,0.00567,0.984439999999998,154.43079
"17","2014_Q4",17.1446875,"Down",344768000,-320423000,24345000,-183987000,-168486000,-15501000,-159642000,1060953000,163674000,298259000,599020000,901311000,901311000,-29267000,872044000,872044000,-782106000,89938000,89938000,63152492000,3224250000,59928242000,202377000,202377000,63354869000,2978116000,2978116000,2978116000,66332985000,3779137000,3779137000,133123000,133123000,3912260000,10306770000,10306770000,14219030000,5526123000,5512022000,46601933000,52113955000,66332985000,872044000,-1096120000,-124977000,-349053000,-1658000,19887000,18229000,-278361000,-37823000,-384437000,-700621000,-1031445000,-1031445000,-1031445000,10306770000,0.07061,-0.46304,0.26087,0.00173,0.00136,16.19393,0.27284,0.15538,0.20035,0.18604,0.76802,12.27881,0.62009,0.0059,3.09503,331.02643
"18","2015_Q1",18.7249180327869,"Up",212944000,-253661000,-40717000,-379500000,-363904000,-15596000,-420217000,893055000,151237000,535943000,205875000,472838000,472838000,-6524000,466314000,466314000,-466897000,-583000,-583000.000000015,62458481000,2290855000,60167626000,250047000,250047000,62708528000,3164217000,3164217000,3164217000,65872745000,3199352000,3199352000,131548000,131548000,3330900000,10837784000,10837784000,14168684000,5419990000,5399586000,46304475000,51704061000,65872745000,466314000,-377741000,-117927000,-29354000,76633000,-265391000,-188758000,-192884000,661176000,-804860000,-336568000,-554680000,-554680000,-554680000,10837784000,-0.19121,-1.97337,-0.00274000000000002,-1.00000000000002e-05,-1e-05,18.8263,0.27403,0.16453,-0.00129999999999997,-0.00121000000000002,0.47436,12.02835,0.42968,0.00307,-330.84734,122.84295
"19","2015_Q2",18.6114285714286,"Down",291345000,-364999000,-73654000,-150034000,-134302000,-15732000,-223688000,2182835000,184195000,1919825000,78815000,1959147000,1959147000,-16138000,1943009000,1943009000,-1672502000,270507000,270507000,63613358000,2641905000,60971453000,162708000,162708000,63776066000,3510924000,3510924000,3510924000,67286990000,3270120000,3270120000,141649000,141649000,3411769000,11717676000,11717676000,15129445000,5633520000,5601366000,46556179000,52157545000,67286990000,1943009000,-1505813000,506176000,943372000,1080000,6838000,7918000,-151733000,970865000,-1381527000,-562395000,388895000,388895000,388895000,11717676000,-0.25281,-0.76778,0.92848,0.00519,0.00402,18.69296,0.29007,0.17414,0.60259,0.55956,0.64901,12.47784,0.33801,0.00661,0.56092,232.0003
"20","2015_Q3",17.52203125,"Down",255874000,-411691000,-155817000,-142486000,-126314000,-16172000,-298303000,3634718000,163558000,3110604000,360556000,3336415000,3336415000,-30547000,3305868000,3305868000,-2929562000,376306000,376306000,68424990000,3909812000,64515178000,267095000,267095000,68692085000,3001612000,3001612000,3001612000,71693697000,3543283000,3543283000,144706000,144706000,3687989000,15889573000,15889573000,19577562000,5977190000,5947415000,46168720000,52116135000,71693697000,3305868000,-3731445000,481493000,55916000,-1430999.99999999,-137211000,-138642000,-203279000,4052171000,-3248455000,600437000,517711000,517711000,517711000,15889573000,-0.60896,-1.16582,1.47067,0.00722,0.00525,18.62589,0.37565,0.22163,0.83828,0.77841,0.57,13.24871,0.45283,0.00852,0.540200000000017,176.11428
"21","2015_Q4",14.34640625,"Down",188626000,-96959000,91667000,-179961000,-163477000,-16484000,-88294000,-1136991000,147931000,-1555681000,270759000,-1225285000,-1225285000,7390000,-1217895000,-1217895000,1027307000,-190588000,-190588000,65743344000,3037546000,62705798000,388893000,388893000,66132237000,2924689000,2924689000,2924689000,69056926000,2806708000,2806708000,161835000,161835000,2968543000,16587643000,16587643000,19556186000,5689729000,5658646000,43842094000,49500740000,69056926000,-1217895000,2599608000,-648459000,733254000,-4763000,-128968000,-133731000,-189167000,811048000,-1289172000,-667291000,-67768000,-67768000,-67768000,16587643000,0.48597,-0.46809,-1.0104,-0.00385,-0.00276,22.27768,0.39507,0.2402,-0.42456,-0.39424,0.42019,12.60544,0.4214,-2e-05,-0.99254,556.72754
"22","2016_Q1",11.574262295082,"Down",307923000,-306942000,981000,-218153000,-200858000,-17295000,-217172000,1488563000,150287000,1197879000,140397000,1271391000,1271391000,-27341000,1244050000,1244050000,-1211793000,32257000.0000001,32256999.9999999,67825791000,2519860000,65305931000,407411000,407411000,68233202000,2809137000,2809137000,2809137000,71042339000,2715350000,2715350000,144807000,144807000,2860157000,18714597000,18714597000,21574754000,5547182000,5547182000,43920403000,49467585000,71042339000,1244050000,-2684886000,93698000,-1347138000,-159442000,-1255000,-160697000,-324361000,2254264000,-1131246000,798657000,-709178000,-709178000,-709178000,18714597000,0.00319000000000014,-0.70528,0.10476,0.00065,0.000449999999999998,23.85645,0.43614,0.26343,0.0718600000000002,0.0667299999999999,0.68594,12.35714,0.72256,0.00523,10.05552,226.13962
"23","2016_Q2",11.5390625,"Down",162805000,-125489000,37316000,-182834000,-166268000,-16566000,-145518000,-612928000,59082000,-735223000,63213000,-758446000,-758446000,-1890000,-760336000,-760336000,430397000,-329939000,-329939000,31865618000,2080306000,29785312000,375869000,375869000,32241487000,2187096000,2187096000,2187096000,34428583000,2263313000,2263313000,429448000,429448000,2692761000,16827497000,16827497000,19520258000,5059694000,5368341000,9539984000,14908325000,34428583000,-760336000,-127062000,148608000,-738790000,-1470000,64105000,62635000,-266990000,593678000,582620000,909308000,233153000,233153000,233153000,16827497000,0.22921,-0.89382,-2.02659,-0.02213,-0.00958,11.97339,1.30935,0.48877,-0.73499,-0.68249,0.36267,11.21696,0.59476,-0.00198,-0.80921,103.342
"24","2016_Q3",12.3740625,"Up",576757000,-296412000,280345000,-126806000,-110618000,-16188000,153539000,125737000,84900000,9168000.00000048,31669000,279276000,279276000,-6045000,273231000,273231000,-173648000,99582999.9999999,93890000,33868530000,3493367000,30375163000,442844000,442844000,34311374000,3195497000,3195497000,3195497000,37506871000,3516482000,3516482000,412400000,412400000,3928882000,17894036000,17894036000,21822918000,5001602000,5484156000,10199797000,15683953000,37506871000,273231000,-577103000,-148257000,-452129000,-2314000,15050000,12736000,-146231000,591703000,225503000,670975000,231582000,231582000,231582000,17894036000,0.48607,0.26621,0.16279,0.00599,0.0025,8.73311,1.39142,0.47709,0.20915,0.19422,1.28481,11.14178,0.32575,0.00715,1.55747,-104.04193
"25","2016_Q4",13.3046031746032,"Up",687056000,-358161000,328895000,-152956000,-136551000,-16405000,175939000,809649000,1400000,735144000,73105000,985588000,985588000,-10826000,974762000,974762000,-614409000,360353000,352152000,34751089000,3473130000,31277959000,523717000,523717000,35274806000,2709793000,2709793000,2709793000,37984599000,3197050000,3197050000,375931000,375931000,3572981000,17589353000,17589353000,21162334000,5334045000,5816599000,11005666000,16822265000,37984599000,974762000,29317000,-368980000,635099000,-4393000,-47790000,-52183000,-106059000,-198704000,406172000,101409000,684325000,684325000,684325000,17589353000,0.4787,0.25608,0.51255,0.02093,0.00927,9.87265,1.258,0.46307,0.78447,0.72844,1.53051,11.88234,0.23626,0.01332,0.30117,-97.54367
"26","2017_Q1",15.8066129032258,"Up",613400000,-283751000,329649000,-169065000,-153602000,-15463000,160584000,308223000,86474000,201883000,19866000,468807000,468807000,-5800000,463007000,463007000,-283697000,179310000,170969000,35543425000,4133660000,31409765000,462607000,462607000,36006032000,2996865000,2996865000,2996865000,39002897000,2981260000,2981260000,359479000,359479000,3340739000,18544075000,18544075000,21884814000,5457279000,5939833000,11178250000,17118083000,39002897000,463007000,-471103000,-877304000,-885400000,-53628000,-33487000,-87115000,211637000,1426510000,62867000.0000001,1404170000,431655000,431655000,409267000,18544075000,0.53741,0.26179,0.27872,0.00999,0.00438,10.77786,1.27846,0.47545,0.38086,0.35366,1.36644,12.15686,-0.47145,-0.00114,-1.23787,-105.85955
"27","2017_Q2",16.4552380952381,"Up",767755000,-402963000,364792000,-137051000,-122200000,-14851000,227741000,610695000,94126000,506645000,9924000,838436000,838436000,-40542000,797894000,797894000,-530210000,267684000,259343000,38583619000,4358295000,34225324000,452150000,452150000,39035769000,2599943000,2599943000,2599943000,41635712000,3337101000,3337101000,385374000,385374000,3722475000,19625439000,19625439000,23347914000,5755354000,6237908000,12049890000,18287798000,41635712000,797894000,-2361409000,412605000,-1150910000,-21384000,-177000,-21561000,-80722000,1006543000,380265000,1306086000,133615000,133615000,141295000,19625439000,0.47514,0.29663,0.33779,0.01418,0.00623,10.48651,1.27669,0.47136,0.57162,0.52215,1.69222,12.68549,0.17792,0.00897,0.31126,-83.24448
"28","2017_Q3",17.205873015873,"Up",1015800000,-462841000,552959000,-166887000,-152855000,-14032000,386072000,500990000,97128000,334416000,69446000,887062000,887062000,-18538000,868524000,868524000,-454537000,413987000,405646000,39876463000,3608696000,36267767000,498089000,498089000,40374552000,2493529000,2493529000,2493529000,42868081000,3508129000,3508129000,392340000,392340000,3900469000,19425253000,19425253000,23325722000,6212556000,6695110000,12847249000,19542359000,42868081000,868524000,-1247275000,-532474000,-911225000,-26855000,-934000,-27789000,-86847000,-472825000,680414000,120742000,-818272000,-818272000,-775042000,19425253000,0.54436,0.38007,0.39934,0.02076,0.00946,10.3512,1.1936,0.45314,0.87017,0.80939,2.17903,13.3268,0.1863,0.01264,0.2141,-52.97253
"29","2017_Q4",18.368253968254,"Up",749652000,-368513000,381139000,-161734000,-146467000,-15267000,219405000,177953000,105175000,52004000,20774000,397358000,397358000,-18420000,378938000,378938000,-217034000,161904000,153563000,41018138000,3766301000,37251837000,528179000,528179000,41546317000,2759322000,2759322000,2759322000,44305639000,3769682000,3769682000,379809000,379809000,4149491000,20290714000,20290714000,24440205000,6380654000,6863208000,13002226000,19865434000,44305639000,378938000,-480656000,-420361000,-522079000,-22610000,70000,-22540000,-88239000,757772000,-46117000,623416000,78797000,78797000,98408000,20290714000,0.50842,0.29268,0.20485,0.00773,0.00347,10.01239,1.23029,0.45797,0.32551,0.30296,1.58906,13.52524,0.18704,0.00602,0.57461,-94.47106
"30","2018_Q1",20.4581967213115,"Up",1024073000,-461173000,562900000,-175530000,-160958000,-14572000,387370000,274142000,137092000,35079000,101971000,661512000,661512000,-146826000,514686000,514686000,-339956000,174730000,166389000,42692993000,3679059000,39013934000,610651000,610651000,43303644000,2531075000,2531075000,2531075000,45834719000,3654250000,3654250000,323810000,323810000,3978060000,21193859000,21193859000,25171919000,6722863000,7185936000,13476864000,20662800000,45834719000,514686000,-1371973000,-90665000,-947952000,-26221000,-10999.9999999995,-26232000,-89529000,851900000,127468000,889839000,-84345000,-84345000,-75115000,21193859000,0.54967,0.37826,0.16248,0.00805,0.00363,10.88562,1.21822,0.4624,0.34556,0.31972,2.12681,13.92171,0.18594,0.00611,0.53807,-55.50026
"31","2018_Q2",20.62796875,"Up",472606000,-298136000,174470000,-138465000,-124250000,-14215000,36005000,584530000,78666000,472800000,33064000,620535000,620535000,-17641000,602894000,602894000,-424451000,178443000,170102000,44850853000,2748948000,42101905000,624997000,624997000,45475850000,2103303000,2103303000,2103303000,47579153000,3503754000,3503754000,265190000,265190000,3768944000,22041271000,22041271000,25810215000,6918185000,7400739000,14368199000,21768938000,47579153000,602894000,-2989020000,228626000,-2157500000,-8670000,0,-8670000,-91098000,837713000,471556000,1218171000,-947999000,-947999000,-927097000,22041271000,0.36917,0.07618,0.35992,0.00781,0.00358,12.06594,1.18564,0.46325,0.34878,0.3174,0.96904,14.18519,0.18679,0.00596,0.53555,-633.51151
"32","2018_Q3",24.9853968253968,"Up",971620000,-472500000,499120000,-202550000,-187228000,-15322000,296570000,1330786000,147855000,1116587000,66344000,1627356000,1627356000,-60960000,1566396000,1566396000,-877674000,688722000,680381000,45827215000,3204670000,42622545000,691559000,691559000,46518774000,2053890000,2053890000,2053890000,48572664000,4053832000,4053832000,259259000,259259000,4313091000,19972383000,19972383000,24285474000,7909830000,8392384000,15894806000,24287190000,48572664000,1566396000,-3764206000,-182997000,-2380807000,-9888000,0,-9888000,-144874000,2385945000,655837000,2896908000,506213000,506213000,473373000,19972383000,0.5137,0.30523,0.70025,0.02801,0.01401,10.78548,0.99993,0.41119,1.33255,1.23988,1.90295,15.49165,0.28374,0.01865,0.21293,-87.17953
