"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",22.79921875,"Up",4.228e+09,-4.031e+09,1.97e+08,-1.68e+08,-1.68e+08,2.9e+07,2.2e+07,-4e+07,6.2e+07,5.1e+07,-1.13e+08,-6.2e+07,-6.4e+07,-1.26e+08,-1.26e+08,-2.3e+07,-1.49e+08,-1.49e+08,4.91e+08,4.91e+08,1.976e+09,1.976e+09,8.28e+08,6.31e+08,6.31e+08,3.926e+09,1.641e+09,1.641e+09,3.463e+09,2.165e+09,8.57e+08,6.648e+09,1.0574e+10,3.267e+09,2.88e+09,3.87e+08,1e+07,7.27e+08,7.27e+08,4.004e+09,3.373e+09,5.3e+08,1.14e+08,4.16e+08,3.903e+09,7.907e+09,3.956e+09,-1.22e+09,-4.79e+08,2.257e+09,4.1e+08,2.667e+09,1.0574e+10,-1.26e+08,7.2e+07,8.6e+07,1.36e+08,1.68e+08,-8.7e+07,1.5e+07,-7.2e+07,0,-1.1e+07,-1.1e+07,8.5e+07,8.5e+07,0,8.5e+07,1.01e+08,3.383e+09,2.14e+08,0.04659,0.00686,-0.03524,-0.05587,-0.01409,-1.43624,0.98052,2.96475,0.31994,-1.59358,-1.59358,45.21925,24.13904,2.28877,-0.02264,0.03252,28.63366,99.72414
"12","2019_Q4",22.1809375,"Down",4.219e+09,-4.008e+09,2.11e+08,-1.65e+08,-1.65e+08,4.6e+07,-1e+06,-6e+07,6.4e+07,4.5e+07,-1.5e+07,3e+07,-3.38e+08,-3.08e+08,-3.08e+08,-1.3e+07,-3.21e+08,-3.21e+08,1.025e+09,1.025e+09,1.853e+09,1.853e+09,7.83e+08,5.92e+08,5.92e+08,4.253e+09,1.687e+09,1.687e+09,3.227e+09,2.182e+09,6.19e+08,6.321e+09,1.0574e+10,3.141e+09,2.751e+09,3.9e+08,1.5e+07,8.07e+08,8.07e+08,3.963e+09,3.762e+09,5.23e+08,1.19e+08,4.04e+08,4.285e+09,8.248e+09,3.959e+09,-1.541e+09,-4.99e+08,1.919e+09,4.07e+08,2.326e+09,1.0574e+10,-3.08e+08,6.8e+07,4.07e+08,9.9e+07,2.66e+08,-9.1e+07,3e+06,-8.8e+07,3.97e+08,-4.8e+07,3.49e+08,5.27e+08,5.27e+08,7e+06,5.34e+08,1.14e+08,3.777e+09,4.6e+08,0.05001,0.0109,-0.07608,-0.13801,-0.03036,-1.43302,1.07318,3.546,0.3572,-3.43316,-3.43316,45.12299,20.52406,4.91979,-0.04845,0.06942,24.14035,59.82609
"13","2020_Q1",20.1406451612903,"Down",3.921e+09,-3.708e+09,2.13e+08,-1.6e+08,-1.6e+08,5.3e+07,-2.3e+07,-4.7e+07,6.6e+07,3e+07,-1.7e+07,1.3e+07,2e+06,1.5e+07,1.5e+07,-1.9e+07,-4e+06,-4e+06,9.24e+08,9.24e+08,1.905e+09,1.905e+09,7.93e+08,4.94e+08,4.94e+08,4.116e+09,1.671e+09,1.671e+09,3.156e+09,2.15e+09,6.01e+08,6.226e+09,1.0342e+10,3.073e+09,2.709e+09,3.64e+08,3e+07,7.32e+08,7.32e+08,3.835e+09,3.708e+09,5.59e+08,1.51e+08,4.08e+08,4.267e+09,8.102e+09,3.962e+09,-1.545e+09,-5.69e+08,1.848e+09,3.92e+08,2.24e+09,1.0342e+10,1.5e+07,1.13e+08,-4.5e+07,-8.1e+07,2e+06,-1.15e+08,1e+07,-1.05e+08,1.4e+07,-1.1e+07,3e+06,-1e+08,-1e+08,-1e+06,-1.01e+08,1.66e+08,3.738e+09,-3.2e+07,0.05432,0.01352,-0.00102,-0.00179,-0.00039,8,1.07327,3.61696,0.36144,-0.0426,-0.0426,41.75719,19.68051,-0.34079,-0.00061,-0.0049,16.95181,53.09434
"14","2020_Q2",15.2063492063492,"Down",3.936e+09,-3.673e+09,2.63e+08,-1.65e+08,-1.65e+08,9.8e+07,-1.59e+08,-4.8e+07,-1.13e+08,-6.1e+07,-2.7e+07,-8.8e+07,-5.4e+07,-1.42e+08,-1.42e+08,-2.5e+07,-1.67e+08,-1.67e+08,9.65e+08,9.65e+08,1.522e+09,1.522e+09,7.72e+08,5.4e+08,5.4e+08,3.799e+09,1.69e+09,1.69e+09,3.554e+09,2.157e+09,1.002e+09,6.565e+09,1.0364e+10,2.816e+09,2.511e+09,3.05e+08,1.4e+07,8.53e+08,8.53e+08,3.683e+09,3.74e+09,8.19e+08,1.46e+08,6.73e+08,4.559e+09,8.242e+09,3.963e+09,-1.716e+09,-5.04e+08,1.743e+09,3.79e+08,2.122e+09,1.0364e+10,-1.42e+08,8.4e+07,1.37e+08,1.6e+08,2.39e+08,-9.1e+07,-3.8e+07,-1.29e+08,-1.9e+07,-5.4e+07,-7.3e+07,3.7e+07,3.7e+07,4e+06,4.1e+07,1.82e+08,3.754e+09,3.05e+08,0.06682,0.0249,-0.04243,-0.0787,-0.01611,-1.82635,1.0315,3.88407,0.36222,-1.78228,-1.78228,42.0064,18.60192,3.25507,-0.02494,0.04556,15.32418,28.45918
"15","2020_Q3",17.425,"Up",3.511e+09,-3.274e+09,2.37e+08,-1.27e+08,-1.27e+08,1.1e+08,-4e+07,-5e+07,8e+06,7e+07,-5.2e+07,1.8e+07,-1.6e+07,2e+06,2e+06,-2.1e+07,-1.9e+07,-1.9e+07,1.64e+09,1.64e+09,1.344e+09,1.344e+09,7.75e+08,5.17e+08,4.77e+08,4.276e+09,1.591e+09,1.591e+09,3.5e+09,2.018e+09,1.101e+09,6.37e+09,1.0646e+10,2.49e+09,2.203e+09,2.87e+08,8.46e+08,8.87e+08,8.87e+08,4.223e+09,3.717e+09,7.88e+08,1.3e+08,6.58e+08,4.505e+09,8.728e+09,3.966e+09,-1.735e+09,-6.9e+08,1.541e+09,3.77e+08,1.918e+09,1.0646e+10,2e+06,8.2e+07,-6e+06,-1.34e+08,-5.6e+07,-9e+07,1.1e+07,-7.9e+07,8.33e+08,-8e+06,8.25e+08,6.9e+08,6.9e+08,-1.5e+07,6.75e+08,1.92e+08,4.563e+09,-1.6e+07,0.0675,0.03133,-0.00541,-0.00991,-0.00178,0.84211,1.01255,4.55057,0.42861,-0.20234,-0.20234,37.39084,16.41108,-0.17039,-0.00261,-0.0022,15.22396,26.57273
"16","2020_Q4",28.1903125,"Up",1.626e+09,-1.779e+09,-1.53e+08,-1.15e+08,-1.15e+08,-2.68e+08,-9000000.00000001,-5.8e+07,4.8e+07,-2.77e+08,-4.9e+07,-3.26e+08,-5000000.00000001,-3.31e+08,-3.31e+08,6e+06,-3.25e+08,-3.25e+08,1.032e+09,1.032e+09,1.161e+09,1.161e+09,7.37e+08,5.29e+08,4.98e+08,3.459e+09,1.592e+09,1.592e+09,3.478e+09,2.039e+09,1.089e+09,6.16e+09,9.619e+09,1.798e+09,1.465e+09,3.33e+08,3.8e+08,9.05e+08,9.05e+08,3.083e+09,4.147e+09,7.75e+08,1.3e+08,6.45e+08,4.922e+09,8.005e+09,3.968e+09,-2.06e+09,-6.58e+08,1.25e+09,3.64e+08,1.614e+09,9.619e+09,-3.31e+08,7.5e+07,2.14e+08,-4.13e+08,-4.55e+08,-7.2e+07,2.98023223876953e-08,-7.2e+07,-5.6e+07,-1.7e+07,-73000000.0000001,-6e+08,-6e+08,-8e+06,-6.08e+08,-1.93e+08,4.527e+09,-6.73e+08,-0.0941,-0.16482,-0.19988,-0.20136,-0.03379,2.07077,1.12196,4.95973,0.47063,-3.46482,-3.46482,17.33475,13.32623,-7.17484,-0.04699,-0.09731,-18.10881,-13.04104
"17","2021_Q1",37.7614754098361,"Up",3.597e+09,-3.352e+09,2.45e+08,-1.51e+08,-1.51e+08,9.4e+07,-4e+06,-6.4e+07,7.9e+07,9e+07,-1.23e+08,-3.3e+07,1.8e+07,-1.5e+07,-1.5e+07,-2.1e+07,-3.6e+07,-3.6e+07,1.692e+09,1.692e+09,1.641e+09,1.641e+09,6.85e+08,4.64e+08,4.21e+08,4.482e+09,1.581e+09,1.581e+09,3.491e+09,2.057e+09,9.91e+08,5.779e+09,1.0261e+10,2.553e+09,2.179e+09,3.74e+08,2.1e+08,1.056e+09,1.056e+09,3.819e+09,4.097e+09,7.67e+08,1.45e+08,6.22e+08,4.864e+09,8.683e+09,3.974e+09,-2.096e+09,-6.65e+08,1.213e+09,3.65e+08,1.578e+09,1.0261e+10,-1.5e+07,9.1e+07,-1.4e+07,4.56e+08,5.18e+08,-5.8e+07,5.04e+08,4.46e+08,-2.82e+08,-4e+06,-2.86e+08,6.78e+08,6.75e+08,-1.5e+07,6.6e+08,1.85e+08,4.307e+09,5.65e+08,0.06811,0.02613,-0.01001,-0.02281,-0.00351,-15.69444,1.17361,5.50253,0.41974,-0.3838,-0.3838,38.34755,12.93177,6.02345,-0.00541,0.08494,14.13514,27.81915
"18","2021_Q2",46.7725396825397,"Up",3.848e+09,-3.507e+09,3.41e+08,-1.49e+08,-1.49e+08,1.92e+08,4e+07,-5.9e+07,9.7e+07,2.32e+08,-7e+06,2.25e+08,-5.2e+07,1.73e+08,1.73e+08,-2.3e+07,1.5e+08,1.5e+08,1.82e+09,1.82e+09,1.432e+09,1.432e+09,7.11e+08,5.33e+08,4.76e+08,4.496e+09,1.606e+09,1.606e+09,3.604e+09,2.109e+09,1.05e+09,6.048e+09,1.0544e+10,2.58e+09,2.228e+09,3.52e+08,1.9e+07,9.85e+08,9.85e+08,3.584e+09,4.342e+09,7.79e+08,1.43e+08,6.36e+08,5.121e+09,8.705e+09,3.98e+09,-1.946e+09,-5.82e+08,1.452e+09,3.87e+08,1.839e+09,1.0544e+10,1.73e+08,8e+07,-9.1e+07,6.9e+07,2.31e+08,-6.1e+07,105538686.366323,-61000000.0000001,-14999999.9999999,-5.3e+07,-6.8e+07,1.02e+08,1.03e+08,2.5e+07,1.28e+08,2.72e+08,4.361e+09,3.32e+08,0.08862,0.0499,0.03898,0.08157,0.01423,2.21333,1.25446,4.73355,0.4136,1.59574,1.58228,40.93617,15.44681,3.53191,0.02149,0.04757,9.34191,13.23438
"19","2021_Q3",39.84984375,"Down",3.819e+09,-3.521e+09,2.98e+08,-1.48e+08,-1.48e+08,1.5e+08,-2.3e+07,-1.1e+08,8.5e+07,1.27e+08,-5e+06,1.22e+08,-2.8e+07,9.4e+07,9.4e+07,-2.5e+07,6.9e+07,6.9e+07,9.84e+08,9.84e+08,1.757e+09,1.757e+09,7.56e+08,5.93e+08,5.37e+08,4.09e+09,1.551e+09,1.551e+09,3.486e+09,2.059e+09,9.95e+08,5.885e+09,9.975e+09,2.754e+09,2.378e+09,3.76e+08,2.2e+07,8.85e+08,8.85e+08,3.661e+09,3.646e+09,7.82e+08,1.35e+08,6.47e+08,4.428e+09,8.089e+09,3.985e+09,-1.877e+09,-6.19e+08,1.489e+09,3.97e+08,1.886e+09,9.975e+09,9.4e+07,7.8e+07,-8e+06,-2.55e+08,-9.1e+07,-5.3e+07,-585289503.019732,-3.4e+07,-6.84e+08,-1e+07,-6.94e+08,-8.19e+08,-8.23e+08,-1.3e+07,-8.36e+08,2.28e+08,3.668e+09,-5.2e+07,0.07803,0.03928,0.01807,0.03659,0.00692,-0.75362,1.11718,4.28897,0.36772,0.73248,0.71875,40.5414,15.80679,-0.55202,0.01089,-0.00821,11.77193,17.89333
"20","2021_Q4",44.853125,"Up",3.242e+09,-3.092e+09,1.5e+08,-1.36e+08,-1.36e+08,1.4e+07,-4.5e+07,-8.7e+07,3.8e+07,-30999999.9999999,-8e+06,-38999999.9999999,-1e+07,-49000000.0000001,-49000000.0000001,-2.2e+07,-71000000.0000001,-71000000.0000001,1e+09,1e+09,1.451e+09,1.451e+09,8.5e+08,8.13e+08,7.58e+08,4.114e+09,1.549e+09,1.549e+09,3.525e+09,2.069e+09,1.028e+09,5.69e+09,9.804e+09,2.494e+09,2.094e+09,4e+08,2.15e+08,9.22e+08,9.22e+08,3.631e+09,3.542e+09,7.76e+08,1.34e+08,6.42e+08,4.318e+09,7.949e+09,3.993e+09,-1.948e+09,-5.78e+08,1.467e+09,3.88e+08,1.855e+09,9.804e+09,-49000000.0000001,8.1e+07,2.47e+08,-5.7e+07,2.22e+08,-4.9e+07,-256000000.000001,-2.52e+08,58999999.9999999,-1.5e+07,4.4e+07,1.4e+07,16000000.0000001,0,1.6e+07,9.5e+07,3.757e+09,-1000000.00000003,0.04627,0.00432,-0.0219,-0.03827,-0.00724,0.0140799999999988,1.13302,4.28518,0.38321,-0.75452,-0.74423,34.45271,15.5898,-0.0106299999999997,-0.01111,-0.000159999999999999,29.02105,196.92857
"21","2022_Q1",42.9437096774194,"Down",2.771e+09,-2.734e+09,3.7e+07,-1.04e+08,-1.04e+08,-6.7e+07,1.225e+09,-5.5e+07,1.264e+09,1.158e+09,-2.7e+07,1.131e+09,-1.59e+08,9.72e+08,9.72e+08,-1.2e+07,9.6e+08,9.6e+08,1.521e+09,1.521e+09,1.426e+09,1.426e+09,9.76e+08,1.163e+09,1.114e+09,5.086e+09,1.607e+09,1562014258.70211,4.085e+09,2.212e+09,9.83e+08,5.692e+09,1.0778e+10,2.519e+09,2.13e+09,3.89e+08,1.84e+08,8.08e+08,8.08e+08,3.511e+09,3.512e+09,7.97e+08,1.28e+08,6.69e+08,4.309e+09,7.82e+09,3.991e+09,-9.88e+08,-6.27e+08,2.376e+09,5.82e+08,2.958e+09,1.0778e+10,9.72e+08,9.1e+07,-1.181e+09,1.6e+07,-1.02e+08,-6.7e+07,1.044e+09,6.94e+08,-4.6e+07,-6e+06,-5.2e+07,5.4e+08,5.25e+08,-4e+06,5.21e+08,2.4e+07,3.696e+09,1.32e+08,0.01335,-0.02418,0.34645,0.32454,0.08907,0.1375,1.44859,2.64368,0.34292,10.19108,10.19108,29.41614,25.22293,1.40127,0.12884,0.01772,90.625,-32.46269
"22","2022_Q2",33.6025806451613,"Down",3.48e+09,-3.307e+09,1.73e+08,-1.62e+08,-1.62e+08,1.1e+07,-15999999.9999998,-5e+07,3.3e+07,-5e+06,-4e+06,-8999999.99999976,-2.1e+07,-29999999.9999998,-29999999.9999998,-2.4e+07,-5.4e+07,-5.4e+07,2.08e+09,2.08e+09,1.597e+09,1.597e+09,9.42e+08,4.72e+08,4.72e+08,5.091e+09,1.558e+09,1.558e+09,3.703e+09,2.209e+09,9.45e+08,5.628e+09,1.0719e+10,2.599e+09,2.284e+09,3.15e+08,1.74e+08,9.69e+08,9.69e+08,3.742e+09,3.482e+09,7.75e+08,1.25e+08,6.5e+08,4.257e+09,7.999e+09,3.998e+09,-1.042e+09,-6.12e+08,2.344e+09,3.76e+08,2.72e+09,1.0719e+10,-29999999.9999998,8.8e+07,-1.7e+07,-5.5e+07,-1.4e+07,-4.9e+07,-29999999.9999998,6.52e+08,-6e+06,-7.1e+07,-76999999.9999999,5.61e+08,5.61e+08,-108909800.480047,5.61e+08,9.9e+07,3.656e+09,1.6e+07,0.04971,0.00316,-0.0155199999999999,-0.01985,-0.00504,-0.2963,1.3605,2.94081,0.34108,-0.573249999999998,-0.573249999999998,36.94268,24.88323,0.16985,-0.00755,0.00224,15.91919,143.27273
"23","2022_Q3",32.44140625,"Down",3.506e+09,-3.328e+09,1.78e+08,-1.35e+08,-1.35e+08,4.3e+07,-7.5e+07,-8.3e+07,7e+06,-3.2e+07,-4e+06,-3.6e+07,-2.4e+07,-6e+07,-6e+07,-2.1e+07,-8.1e+07,-8.1e+07,1.118e+09,1.118e+09,1.742e+09,1.742e+09,9.98e+08,4.59e+08,4.59e+08,4.317e+09,1.523e+09,1.523e+09,3.638e+09,2.198e+09,9.03e+08,5.537e+09,9.854e+09,2.799e+09,2.468e+09,3.31e+08,1.7e+08,6.89e+08,6.89e+08,3.658e+09,2.766e+09,7.57e+08,1.21e+08,6.36e+08,3.523e+09,7.181e+09,4.008e+09,-1.123e+09,-6e+08,2.285e+09,3.88e+08,2.673e+09,9.854e+09,-6e+07,8.9e+07,3.7e+07,-3.7e+07,2.9e+07,-5.6e+07,-6e+06,-5.3e+07,-7.46e+08,-1.94e+08,-9.4e+08,-9.64e+08,-9.64e+08,-382729401.44014,-9.64e+08,1.32e+08,2.936e+09,6.3e+07,0.05077,0.01226,-0.0231,-0.0303,-0.00822,-0.77778,1.18015,2.68649,0.29795,-0.85987,-0.85987,37.21868,24.2569,0.66879,-0.01272,0.0099,13.77273,42.27907
