"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",19.4273015873016,"Down",187183000,-141115000,46068000,-42317000,3751000,-2059000,-2059000,1692000,1692000,-703000,989000,989000,989000,989000,26128000,26128000,74208000,74208000,64399000,8843000,5561000,173578000,33876000,142640000,58001000,78814000,5825000,176516000,350094000,53600000,30947000,22653000,7091000,60691000,139990000,16545000,8284000,156535000,217226000,97345000,36044000,132868000,132868000,350094000,989000,797000,1472000,7205000,10463000,-5817000,-5817000,-1758000,3257000,1499000,6145000,6145000,6114000,4548000,147081000,6639000,0.24611,0.02004,0.00528,0.00744,0.00282,6.71284,2.86003,1.6349,0.42012,0.04017,0.03982,7.60348,5.39718,0.26968,0.00334,0.02239,26.59477,32.24553
"12","2014_Q3",17.774375,"Down",213144000,-160731000,52413000,-43858000,8555000,-2108000,-2108000,6447000,6458000,-2639000,3819000,3819000,3819000,3819000,14710000,14710000,83496000,83496000,67015000,12074000,8383000,177295000,38337000,139216000,56493000,79217000,3506000,177553000,354848000,54151000,31387000,22764000,7080000,61231000,139010000,17328000,8946000,156338000,217569000,97667000,39865000,137279000,137279000,354848000,3819000,750000,1903000,-13892000,-7420000,-4426000,-4426000,-1646000,2047000,401000,-11445000,-11445000,-11418000,9305000,146090000,-6374000,0.2459,0.04014,0.01792,0.02782,0.01076,-1.66902,2.89551,1.58487,0.4117,0.15507,0.15368,8.65455,5.57411,-0.25881,0.0127,-0.0212,14.11929,15.3571
"13","2014_Q4",17.6115625,"Down",208070000,-157388000,50682000,-41649000,9033000,-1896000,-1896000,7137000,7132000,-2924000,4208000,4208000,4208000,4208000,5157000,5157000,88299000,88299000,70553000,14726000,11091000,178735000,40633000,138864000,57649000,77532000,3683000,179497000,358232000,54711000,32082000,22629000,7252000,61963000,137565000,17509000,8929000,155074000,217037000,97769000,44072000,141195000,141195000,358232000,4208000,683000,2658000,-9964000,-2415000,-5482000,-5082000,-1807000,-212000,-2019000,-9516000,-9516000,-9553000,9716000,144817000,-2806000,0.24358,0.04341,0.02022,0.0298,0.01175,-0.66683,2.88454,1.53714,0.40425,0.17071,0.16936,8.44103,5.72803,-0.11383,0.01386,-0.00924,14.37423,15.46109
"14","2015_Q1",22.03,"Up",224312000,-168317000,55995000,-44324000,11671000,-2104000,-2104000,9567000,9566000,-4367000,5199000,5199000,5199000,5199000,3328000,3328000,96896000,96896000,75528000,13255000,9755000,189007000,47938000,139248000,55843000,78508000,4897000,187186000,376193000,69324000,43157000,26167000,7736000,77060000,135800000,16539000,8472000,152339000,229399000,98216000,49271000,146794000,146794000,376193000,5199000,883000,1024000,2063000,9169000,-8432000,-8348000,-1843000,-736000,-2579000,-1758000,-1758000,-1829000,12554000,143536000,10552000,0.24963,0.05203,0.02318,0.03542,0.01382,2.02962,2.45273,1.56273,0.38155,0.21086,0.20928,9.09741,5.95352,0.42796,0.01694,0.03439,11.16839,12.01337
"15","2015_Q2",19.9804761904762,"Down",197891000,-148135000,49756000,-46616000,3140000,-1836000,-1836000,1304000,1653000,-686000,967000,967000,967000,967000,1960000,1960000,92829000,92829000,71046000,12009000,7480000,177844000,55192000,137298000,54096000,78449000,4753000,192490000,370334000,63531000,43972000,19559000,7580000,71111000,136672000,14848000,6876000,151520000,222631000,98319000,50238000,147703000,147703000,370334000,967000,887000,1569000,3784000,7207000,-7537000,-7537000,716000,-1642000,-926000,-1256000,-1256000,-1368000,4027000,144252000,960000,0.25143,0.01587,0.00489,0.00655,0.00261,0.99276,2.50094,1.50729,0.38952,0.0392,0.03911,8.02264,5.98799,0.03892,0.00315,0.00313,35.33449,45.31592
"16","2015_Q3",17.0240625,"Down",279732000,-208017000,71715000,-62381000,9334000,-3575000,-3575000,5759000,5759000,-2395000,3364000,3364000,3364000,3364000,2371000,2371000,118573000,118573000,91948000,13488000,8766000,226380000,64569000,297510000,142540000,149745000,5225000,362079000,588459000,74859000,50606000,24253000,7331000,82190000,305407000,23865000,15405000,329272000,411462000,124456000,53602000,176997000,176997000,588459000,3364000,1707000,6428000,-12194000,-694999.999999998,-6103000,-129996000,131736000,-647000,131089000,398000,398000,411000,11041000,312738000,-4861000,0.25637,0.03337,0.01203,0.01901,0.00572,-1.44501,2.75435,2.32468,0.53145,0.13076,0.13053,10.87315,6.87985,-0.18895,0.00655,-0.00946,28.11041,33.25123
"17","2015_Q4",16.960625,"Down",276166000,-205994000,70172000,-57319000,12853000,-3901000,-3901000,8952000,8943000,-3720000,5223000,5223000,5223000,5223000,1485000,1485000,117336000,117336000,92992000,14798000,10077000,226611000,53138000,300324000,140009000,155083000,5232000,353462000,580073000,80871000,53667000,27204000,7585000,88456000,284350000,25703000,17576000,310053000,398509000,124714000,58825000,181564000,181564000,580073000,5223000,1625000,3234000,151000,10233000,10580000,10642000,-20803000,-819000,-21622000,-747000,-747000,-886000,14478000,291935000,28929000,0.25409,0.04654,0.01891,0.02877,0.009,5.53877,2.56185,2.19487,0.50327,0.20194,0.19234,10.67736,7.01978,1.11848,0.01046,0.05795,20.06147,22.59784
"18","2016_Q1",16.4732786885246,"Down",293089000,-216021000,77068000,-61995000,15073000,-3672000,-3672000,11401000,11356000,-4701000,6655000,6655000,6655000,6655000,2454000,2454000,124139000,124139000,92758000,9164000,9164000,228515000,54283000,297005000,136722000,155816000,4467000,351288000,579803000,96878000,64888000,31990000,6266000,103144000,267349000,21346000,17286000,288695000,391839000,125433000,65480000,187964000,187964000,579803000,6655000,1741000,6202000,6384000,20982000,-2409000,-2409000,-17160000,-335000,-17495000,1078000,1078000,969000.000000001,16814000,273615000,25490000,0.26295,0.05143,0.02271,0.03541,0.01148,3.8302,2.21549,2.08465,0.47191,0.25724,0.23443,11.32902,7.26553,0.98529,0.01378,0.05278,16.1271,17.98985
"19","2016_Q2",17.0278125,"Up",260836000,-194878000,65958000,-60598000,5360000,-3656000,-3656000,1704000,1701000,-708000,993000,993000,993000,993000,2745000,2745000,113333000,113333000,91266000,13813000,8791000,221157000,56023000,293359000,134225000,155848000,3286000,349382000,570539000,87281000,57920000,29361000,4701000,91982000,262615000,26137000,16183000,288752000,380734000,125696000,66473000,189805000,189805000,570539000,993000,1206000,6421000,295000,8915000,-3161000,-3161000,-5279000,-297000,-5576000,178000,178000,291000,6566000,267316000,4408000,0.25287,0.02055,0.00381,0.00523,0.00174,4.43907,2.40435,2.00592,0.46853,0.03836,0.03831,10.07709,7.33289,0.1703,0.00205,0.00912,40.29409,49.36026
"20","2016_Q3",13.05171875,"Down",291209000,-219406000,71803000,-60615000,11188000,-25667000,-25667000,-14479000,-14479000,6024000,-8455000,-8455000,-8455000,-8455000,48251000,48251000,119491000,119491000,91257000,27183000,21865000,286182000,57158000,292243000,133537000,155263000,3443000,349401000,635583000,81845000,54601000,27244000,13285000,95130000,332624000,25274000,15645000,357898000,453028000,126380000,58018000,182555000,182555000,635583000,-8455000,1731000,25453000,-24343000,-5614000,-4873000,-4873000,83373000,-27535000,55838000,45351000,45351000,45506000,12919000,345909000,-22321000,0.24657,0.03842,-0.02903,-0.04631,-0.0133,2.63998,3.00833,2.4816,0.54424,-0.32629,-0.32629,11.23809,7.045,-0.86139,-0.01527,-0.04031,23.04033,26.60511
"21","2016_Q4",13.1646031746032,"Up",297917000,-223525000,74392000,-66105000,8287000,-5948000,-5948000,2339000,2299000,-956000,1343000,1343000,1343000,1343000,26191000,26191000,121493000,121493000,88979000,28592000,23090000,265255000,59275000,307750000,140241000,163806000,3703000,367025000,632280000,89195000,59163000,30032000,13615000,102810000,319005000,26228000,16254000,345233000,448043000,126791000,59361000,184237000,184237000,632280000,1343000,2029000,5883000,8652000,17907000,-3498000,-23240000,-12321000,-4290000,-16611000,-21944000,-21944000,-22060000,10316000,332620000,16426000,0.24971,0.02782,0.00451,0.00729,0.00212,12.23083,2.58005,2.43188,0.52606,0.05178,0.0517,11.48625,7.1033,0.63331,0.00247,0.03025,29.70425,36.97707
"22","2017_Q1",15.2338709677419,"Up",342904000,-253840000,89064000,-66660000,22404000,-6361000,-6361000,16043000,16155000,-7013000,9142000,9142000,9142000,9142000,32862000,32862000,128030000,128030000,87498000,16101000,16101000,264491000,62183000,306864000,137058000,163784000,6022000,369047000,633538000,92579000,65514000,27065000,14795000,107374000,317725000,14679000,7721000,332404000,439778000,127443000,68503000,193760000,193760000,633538000,9142000,2116000,-1945000,8393000,17706000,-4541000,-4541000,-23444000,17028000,-6416000.00000001,6749000,6749000,6670999.99999999,24520000,332520000,35385000,0.25973,0.06534,0.02666,0.04718,0.01443,3.8706,2.46327,2.2697,0.52486,0.35237,0.34746,13.2169,7.46829,1.36388,0.0169,0.06541,12.22096,13.3752
"23","2017_Q2",14.3825396825397,"Down",287690000,-213786000,73904000,-70783000,3121000,-5933000,-5933000,-2812000,-2812000,1170000,-1642000,-1642000,-1642000,-1642000,35806000,35806000,121886000,121886000,91152000,12184000,12184000,261028000,63916000,304144000,131465000,166625000,6054000,368060000,629088000,88603000,64048000,24555000,15764000,104367000,316112000,15986000,7726000,332098000,436465000,127947000,66861000,192623000,192623000,629088000,-1642000,2122000,6006000,1637000,8123000,-3764000,-3764000,-1191000,-240000,-1431000,2928000,2928000,2944000,5243000,331876000,1946000,0.25689,0.01085,-0.00571,-0.00852,-0.00261,-1.18514,2.50106,2.2659,0.52755,-0.06327,-0.06327,11.08537,7.42222,0.07498,-0.00304,0.0036,56.46958,94.86383
"24","2017_Q3",16.0015873015873,"Up",331656000,-249060000,82596000,-70433000,12163000,-5880000,-5880000,6283000,6283000,-2609000,3674000,3674000,3674000,3674000,37004000,37004000,129194000,129194000,96247000,11813000,11813000,274258000,64860000,298522000,128175000,167227000,3120000,363382000,637640000,104529000,78267000,26262000,4621000,109150000,315493000,15675000,7989000,331168000,440318000,128737000,70535000,197322000,197322000,637640000,3674000,2105000,4981000,2793000,13553000,-2606000,-2606000,-9253000,-579000.000000002,-9832000,1115000,1115000,1198000,14268000,320114000,17064000,0.24904,0.03667,0.01108,0.01862,0.00576,4.64453,2.51267,2.23147,0.50203,0.14136,0.13469,12.76062,7.59206,0.65655,0.00689,0.03201,19.8423,23.27633
"25","2017_Q4",19.9763492063492,"Up",325076000,-244171000,80905000,-70411000,10494000,-5593000,-5593000,4901000,4891000,-2040000,2851000,2851000,2851000,2851000,4071000,4071000,135398000,135398000,109862000,11564000,11564000,260895000,69041000,324614000,148647000,172943000,3024000,393655000,654550000,111094000,83067000,28027000,4224000,115318000,315115000,19641000,10528000,334756000,450074000,132671000,73386000,204476000,204476000,654550000,2851000,2095000,6615000,-10034000,1527000,-3490000,-33212000,-1197000,-136000,-1333000,-33018000,-33018000,-32933000,12589000,319339000,1105000,0.24888,0.03228,0.00877,0.01394,0.00436,0.38758,2.2624,2.20111,0.48788,0.10927,0.1041,12.45865,7.83662,0.04235,0.00525,0.00203,25.04313,30.04269
"26","2018_Q1",21.5262295081967,"Up",357098000,-265125000,91973000,-76624000,15349000,-5303000,-5303000,10046000,10046000,-563000,9483000,9483000,9483000,9483000,41504000,41504000,142170000,142170000,102083000,11083000,11083000,296840000,68378000,322531000,146354000,173202000,2975000,390909000,687749000,104446000,70019000,34427000,3827000,108273000,313995000,16880000,10865000,330875000,439148000,167281000,82869000,248601000,248601000,687749000,9483000,2194000,2607000,-5990000,8294000,-2451000,-2824000,-1189000,-806000,32025000,37495000,37495000,37433000,17543000,317822000,9665000,0.25756,0.04298,0.02656,0.03815,0.01379,1.01919,2.74159,1.76648,0.46212,0.35868,0.32608,13.50662,9.40291,0.36556,0.01626,0.01657,15.7509,18.00235
"27","2018_Q2",26.21171875,"Up",318615000,-239093000,79522000,-73782000,5740000,-4979000,-4979000,761000,761000,-217000,544000,544000,544000,544000,45074000,45074000,135344000,135344000,101523000,8328000,8328000,290269000,69544000,321428000,141290000,177133000,3005000,390972000,681241000,97475000,68490000,28985000,3432000,100907000,313668000,18078000,10986000,331746000,432653000,167646000,83413000,248588000,248588000,681241000,544000,2316000,5562000,2118000,10540000,-2903000,-5280000,-1179000,-472000,-1651000,3609000,3609000,3570000,8056000,317100000,7488000,0.24959,0.01802,0.00171,0.00219,8e-04,13.76471,2.8766,1.74044,0.46547,0.01934,0.01929,11.32945,8.8394,0.26626,0.00093,0.01283,33.76688,47.39129
"28","2018_Q3",30.8730158730159,"Up",370442000,-277202000,93240000,-78292000,14948000,-5381000,-5381000,9567000,9537000,-2718000,6819000,6819000,6819000,6819000,39593000,39593000,143766000,143766000,115902000,9686000,9686000,308947000,71992000,327156000,140964000,181996000,4196000,399148000,708095000,116184000,83321000,32863000,3219000,119403000,313333000,19260000,12146000,332593000,451996000,168619000,90232000,256099000,256099000,708095000,6819000,2184000,5992000,-6617000,8378000,-2612000,-12134000,-1069000,-633000,-1702000,-5457999.99999999,-5457999.99999999,-5480999.99999999,17132000,316552000,10621000,0.2517,0.04035,0.01841,0.02663,0.00963,1.55756,2.58743,1.76493,0.44705,0.24209,0.23041,13.15169,9.0922,0.37707,0.01152,0.01794,16.16618,18.52816
"29","2018_Q4",34.7301587301587,"Up",361496000,-269503000,91993000,-81725000,10268000,-4676000,-4676000,5592000,5592000,-1435000,4157000,4157000,4157000,4157000,49857000,49857000,146760000,146760000,110073000,11530000,11530000,318220000,64552000,332531000,146447000,181991000,4093000,397083000,715303000,117342000,83105000,34237000,30000,117372000,280216000,19570000,11770000,299786000,417158000,206604000,94389000,298145000,298145000,715303000,4157000,2734000,7933000,-236000,14588000,-3862000,-3862000,-11000,-463000,-474000,10252000,10252000,10264000,13002000,280246000,10339000,0.25448,0.0284,0.0115,0.01394,0.00581,2.48713,2.71121,1.39918,0.39179,0.14295,0.13976,12.43069,10.25225,0.35553,0.00695,0.01729,17.7195,22.43757
"30","2019_Q1",32.7737704918033,"Down",394056000,-309895000,84161000,-66528000,17633000,-5709000,-5709000,11924000,11954000,-3072000,8882000,8882000,8882000,8882000,42410000,42410000,161758000,161758000,112614000,11953000,11953000,328735000,85276000,318387000,130033000,184280000,4074000,403663000,732398000,125481000,87799000,37682000,61000,125542000,278169000,20011000,10410000,298180000,423722000,207626000,103271000,308676000,308676000,732398000,8882000,3062000,8403000,-8771000,11576000,-10410000,-12412000,-999.999999999884,-6614000,-6615000,-7451000,-7451000,-7447000,20695000,278230000,4586000,0.21358,0.04475,0.02254,0.02877,0.01213,0.516329999999999,2.61853,1.37271,0.37989,0.30167,0.28487,13.3839,10.48402,0.15576,0.01463,0.00756,11.39502,13.37379
"31","2019_Q2",32.9315873015873,"Up",357027000,-266838000,90189000,-84039000,6150000,-4551000,-4551000,1599000,1565000,-431000,1134000,1134000,1134000,1134000,17317000,17317000,152123000,152123000,113540000,12216000,12216000,295196000,88549000,463367000,145242000,195546000,122579000,551916000,847112000,109528000,78120000,31408000,18303000,127831000,281675000,129183000,119231000,410858000,538689000,208211000,102378000,308423000,308423000,847112000,1134000,2881000,6974000,-3598000,7391000,-4125000,-32115000,-37000,-742000,-367000,-25091000,-25091000,-25093000,9031000,299978000,1739000,0.25261,0.01723,0.00318,0.00368,0.00134,1.53351,2.30927,1.74659,0.35412,0.0385,0.038,12.12017,10.47019,0.05903,0.00154,0.00236,31.29897,45.96114
"32","2019_Q3",37.4603125,"Up",411420000,-304945000,106475000,-90939000,15536000,-4845000,-4845000,10691000,10685000,-2939000,7746000,7746000,7746000,7746000,24294000,24294000,157461000,157461000,122592000,12650000,12650000,316997000,90198000,470556000,144420000,193526000,132610000,560754000,877751000,122380000,86814000,35566000,16858000,139238000,281628000,139490000,129337000,421118000,560356000,209319000,110124000,317395000,317395000,877751000,7746000,3174000,9489000,-5910000,14499000,-4424000,-4726000,-1679000,-1286000,-2819000,6954000,6954000,6977000.00000001,18710000,298486000,11315000,0.2588,0.03776,0.01883,0.0244,0.00882,1.46075,2.27666,1.76548,0.34006,0.26234,0.25951,13.93368,10.74931,0.38321,0.01025,0.01498,14.65484,17.64882
"33","2019_Q4",36.36734375,"Down",396880000,-308576000,88304000,-77720000,10584000,-4517000,-4517000,6067000,6107000,-1682000,4425000,4425000,4425000,4425000,21479000,21479000,164562000,164562000,122225000,17172000,17172000,325438000,90531000,474930000,141910000,197731000,135289000,565461000,890899000,120188000,79904000,40284000,18162000,138350000,282041000,147907000,137083000,429948000,568298000,210171000,114549000,322601000,322601000,890899000,4425000,3484000,9964000,-16218000,1655000,-3753000,-3538000,-77000,-9e+05,-9e+05,-2783000,-2783000,-2815000,14068000,300203000,-4221000,0.2225,0.02667,0.01115,0.01372,0.00497,-0.9539,2.35228,1.76161,0.33697,0.14975,0.15009,13.43118,10.91744,-0.14285,0.00574,-0.00548,19.81262,26.33447
"34","2020_Q1",29.6403225806452,"Down",426507000,-324907000,101600000,-83203000,18397000,-4351000,-4351000,14046000,14046000,-3158000,10888000,10888000,10888000,10888000,140233000,140233000,175044000,175044000,124056000,13823000,13823000,453156000,92846000,467677000,138751000,197743000,131183000,560523000,1013679000,131977000,94097000,37880000,18174000,150151000,386106000,141489000,130606000,527595000,677746000,212544000,125437000,335933000,335933000,1013679000,10888000,16452000,-4793000,-1085000,21462000,-3775000,-3775000,105715000,-5588000,101033000,118720000,118720000,118754000,34849000,404280000,33147000,0.23821,0.04313,0.02553,0.03241,0.01074,3.04436,3.018,2.0175,0.39882,0.36789,0.34984,14.411,11.35065,1.11998,0.01235,0.03759,7.57689,14.35272
