"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.10640625,"Up",44170000,42297000,724000,1149000,-12000,1161000,-20547000,-14407000,-2059000,7157000,-73000,-73000,0,7084000,7084000,-2733000,4351000,4351000,4351000,4351000,193566000,64906000,18480000,50831000,327783000,184239000,669000,31585000,216493000,27697000,-431000,65591000,18433000,111290000,111290000,327783000,4351000,170000,17801000,9871000,32193000,-41244000,-41304000,-485000,-294000,2812000,-6299000,-6299000,-6299000,7327000,0,0.16203,0.09851,0.0391,0.01327,1.94531,0,0.27145,0.26999,2.75571,6.94325,0.03026,0.01478,0.11147,-8.85847,-9.06888
"12","2013_Q3",6.52125,"Up",48652000,45971000,831000,1850000,-149000,1999000,-23007000,-15699000,-2620000,7326000,-80000.0000000001,-80000,0,7246000,7246000,-2737000,4509000,4509000,4509000,4509000,241963000,50815000,25914000,148447000,467139000,213291000,114067000,27555000,354913000,27725000,-431000,69614000,15318000,112226000,112226000,467139000,4509000,180000,30475000,3208000,38372000,-53462000,-53658000,-487000,1682000,1195000,-14091000,-14091000,-14091000,7506000,9.31322574615479e-10,0.15058,0.09268,0.04018,0.00965,3.16248,0,0.2798,0.27834,3.01903,6.96403,0.03022,0.01415,0.10801,-6.76992,-6.93624999999999
"13","2013_Q4",8.4790625,"Up",51817000,48821000,1089000,1907000,-38000,1945000,-25578000,-17149000,-2265000,6825000,-101000,-102000,1000,6724000,6724000,-2593000,4131000,4131000,4131000,4131000,245821000,54318000,26297000,121479000,447915000,219247000,84817000,27987000,332051000,27765000,-431000,73259000,15271000,115864000,115864000,447915000,4131000,175000,4003000,717000,9026000,-3885000,-4737000,-486000,-3e+05,-786000,3503000,3503000,3503000,7e+06,0,0.13171,0.07972,0.03565,0.00922,2.86587,0,0.25612,0.25522,3.21261,7.18347,0.03013,0.01272,0.11765,-7.75971,-7.95868
"14","2014_Q1",11.5526229508197,"Up",63441000,60289000,1227000,1925000,70000,1855000,-29698000,-17920000,-2278000,13545000,-112000,-112000,0,13433000,13433000,-6082000,7351000,7351000,7351000,7351000,291660000,34888000,25186000,61012000,441230000,240879000,39483000,38575000,333643000,27802000,-431000,80124000,92000.0000000019,107587000,107587000,441230000,7351000,172000,-50477000,73129000,30175000,-45696000,-46455000,-486000,-2664000,-3150000,-19430000,-19430000,-19430000,13717000,14706000,0.21351,0.11587,0.06833,0.01666,3.10115,0.03333,0.45572,0.45289,3.93294,6.66972,0.03013,0.01951,0.06611,-1.47131,-1.49
"15","2014_Q2",13.7201587301587,"Up",67507000,64034000,1467000,2006000,14000,1992000,-27673000,-19530000,-2509000,17795000,-99000,-115000,16000,17696000,17696000,-6307000,11389000,11389000,11389000,11389000,337814000,57146000,25123000,39739000,484885000,234605000,20784000,41430000,296819000,81893000,-431000,90681000,15923000,188066000,188066000,484885000,11389000,166000,-674000,6253000,17134000,-46927000,-47796000,-832000,-294000,52920000,22258000,22258000,22258000,17961000,0,0.2636,0.16871,0.06056,0.02349,1.57827,0,0.65236,0.64918,3.86679,10.7724,0.04766,0.02633,0.07305,-3.18167,-3.21135
"16","2014_Q3",13.2721875,"Down",67704000,64184000,1617000,1903000,31000,1872000,-28792000,-20532000,-2858000,15522000,-112000,-112000,0,15410000,15410000,-5820000,9590000,9590000,9590000,9590000,347403000,79738000,33581000,141617000,636865000,270064000,133313000,34979000,438356000,81854000,-431000,99437000,17649000,198509000,198509000,636865000,9590000,161000,27401000,-6266999.99999999,30885000,-6624000,-7050000,-834000,-294000,-1242999.99999999,22592000,22592000,22592000,15683000,1.86264514923096e-09,0.22926,0.14165,0.04831,0.01506,2.20824,0,0.4625,0.46005,3.26518,9.57356,0.04022,0.0207,0.08697,-5.08436,-5.1371
"17","2014_Q4",15.730625,"Up",68847000,65110000,1807000,1930000,-69000,1999000,-30140000,-2.2e+07,-3086000,13621000,-98000,-98000,0,13523000,13523000,-4883000,8640000,8640000,8640000,8640000,351596000,83318000,33764000,143992000,612670000,276742000,95460000,35062000,407264000,81963000,-431000,107243000,16631000,205406000,205406000,612670000,8640000,191000,3382000,-1033000,11180000,-5819000,-6472000,-834000,-294000,-1128000,3580000,3580000,3580000,13812000,0,0.19784,0.1255,0.04206,0.0141,1.98273,0,0.41648,0.41452,3.31869,9.90135,0.0402,0.01832,0.09653,-6.03229,-6.11688
"18","2015_Q1",20.2173770491803,"Up",76172000,71522000,1904000,2746000,4000,2742000,-31472000,-23602000,-3293000,17805000,-24000,-85000,61000,17781000,17781000,-6387000,11394000,11394000,11394000,11394000,381627000,61391000,31925000,69835000,584169000,283922000,45254000,37701000,380406000,82382000,-431000,117801000,4011000,203763000,203763000,584169000,11394000,283000,-29513000,27555000,9719000,279263000,-30148000,-836000,-662000,-1498000,-21927000,-21927000,-21927000,18088000,13529000,0.23375,0.14958,0.05592,0.0195,1.8669,0.02316,0.54789,0.54385,3.6628,9.79814,0.0402,0.02269,0.0733699999999997,-2.64606,-2.68812
"19","2015_Q2",14.6214285714286,"Down",82396000,78048000,2073000,2275000,122000,2153000,-51971000,-26587000,-3541000,297000,41000,-83000,124000,338000,338000,-140000,198000,198000,198000,198000,408834000,68802000,31791000,52958000,603595000,297212000,24838000,50558000,385843000,95769000,-431000,116926000,5488000,217752000,217752000,603595000,198000,678000,-7464000,25371000,18783000,-17925000,-7686000,-1073000,-2540000,-3686000,7411000,7411000,7411000,975000,13235000,0.0036,0.0024,0.00091,0.00033,1.77194,0.02193,0.00954,0.00932,3.9704,10.49278,0.0517,0.0022,5.41919,-56.99179,-187.09428
"20","2015_Q3",12.25859375,"Down",85340000,80452000,2239000,2649000,-133000,2782000,-44627000,-27710000,-4809000,8194000,-6999.99999999994,-68000,61000,8187000,8187000,-2912000,5275000,5275000,5275000,5275000,399290000,105752000,43163000,229220000,789701000,339805000,164970000,52528000,557303000,96196000,-431000,121124000,15509000,232398000,232398000,789701000,5275000,576000,44431000,-15711000,34571000,4318999.99999997,3842000,-1077000,-294000.000000004,-1463000,36950000,36950000,36950000,8770000,0,0.09602,0.06181,0.0227,0.00668,2.39805,-3.46944695195361e-18,0.24817,0.24525,4.01496,10.93355,0.05067,0.01017,0.20417,-12.05838,-12.90603
"21","2015_Q4",14.7228125,"Up",89806000,84003000,2413000,3390000,323000,3067000,-40432000,-32087000,-4329000,12958000,26000,-81000,107000,12984000,12984000,-4901000,8083000,8083000,8083000,8083000,445738000,84341000,46928000,188330000,780680000,371362000,118440000,51048000,540850000,96720000,-431000,128131000,15410000,239830000,239830000,780680000,8083000,839000,28126000,-7207000,29841000,-46353000,-49866000,-1076000,-294000,-1386000,-21411000,-21411000,-21411000,13797000,0,0.14429,0.09001,0.0337,0.01035,2.25514,0,0.37965,0.37545,4.21807,11.26451,0.05054,0.01383,0.13312,-6.113,-6.5088
"22","2016_Q1",14.3645901639344,"Down",100027000,93455000,2486999.99999999,4084999.99999999,515000,3570000.00000001,-46078000,-30869000.0000001,-2637000.00000003,20443000,-92000.0000000005,-94000,2000,20351000,20351000,-6549000,13802000,13802000,13802000,13802000,452714000,84786000,46732000,97484000,740021000,381445000,64542000,42470000,500810000,97165000,-431000,140857000,1620000,239211000,239211000,740021000,13802000,1234999.99999999,-60048000,60135000,15123999.9999999,259534000,-13305000,-1076000,-293999.99999997,-1374000,445000.00000006,445000.00000006,445000.00000006,21678000,12353000,0.20437,0.13798,0.0577,0.01865,2.09359,0.01669,0.63975,0.64106,4.63644000000002,11.08787,0.0498700000000003,0.02203,0.0779600000000001,-3.34131,-3.54317
"23","2016_Q2",14.64265625,"Up",107561000,101370000,2396000,3795000,270000,3525000,-64258000,-34965000,-3954000,4384000,-54000,-75000,21000,4330000,4330000,-1379000,2951000,2951000,2951000,2951000,454729000,126409000,45375000,96386000,740852000,382553000,38253000,62795000,483601000,97522000,-431000,142732000,17428000,257251000,257251000,740852000,2951000,908000,-10510000,47511000,40860000,3675000,2235000,-1076000,-294000,-1472000,41623000,41623000,41623000,5292000,0,0.04076,0.02744,0.01147,0.00398,1.87988,0,0.13824,0.13702,5.03876,12.05109,0.05041,0.00573,0.36462,-23.88681,-28.83417
"24","2016_Q3",13.68,"Down",120920999.999992,114179000,2727000,4015000.00000024,102000,3912999.99999976,-62611000,-37217999.9999981,-5814000.00000024,15277999.9999999,-68000.0000000075,-116000,48000,15209999.9999999,15209999.9999999,-5368999.99999999,9840999.99999988,9840999.99999988,9841000.00000006,9841000.00000006,499156000,136209000,58786000,284310000,996760000,483534000,170426000,58158000,712118000,98340000,-431000,151273000,35460000,284642000,284642000,996760000,9840999.99999994,3670000,48265999.9999999,-50118000,11659000,28511999.9999999,-5266999.99999952,-1299999.99999994,4877000,3408000.00000048,9799999.99999952,9799999.99999952,9799999.99999952,18948000.0000002,1.86264514923096e-09,0.12635,0.08138,0.0345699999999999,0.00986999999999995,2.5018,1.73472347597681e-18,0.459350000000004,0.454949999999997,5.64424999999969,13.28629,0.0606799999999985,0.01348,0.1321,-7.18857,-8.91537
"25","2016_Q4",12.4063492063492,"Down",127202000,120221000,2663000,4318000,106000,4212000,-72746000,-43662000,-5558000,5236000,-195000,-206000,11000,5041000,5041000,-1618000,3423000,3423000,3423000,3423000,526106000,139556000,64896000,225816000,974415000,510002000,122536000,57268000,689806000,98838000,-431000,153397000,32805000,284609000,284609000,974415000,3423000,4062000,24049000,5266000,36800000,-31456000,-31803000,-1299000,-352000,-1650000,3347000,3347000,3347000,9298000,0,0.04116,0.02691,0.01203,0.00351,2.4237,0,0.15959,0.15815,5.93047,13.26917,0.06056,0.00554,0.37949,-15.00925,-26.65317
"26","2017_Q1",13.5066129032258,"Up",486761316000,456595230000,10671214000,19494872000,546522000,18948350000,-298153385000,-160498155000,-20508674000,7601102000,-622683000,-722603000,99920000,6978419000,6978419000,-1296634000,5681785000,5681785000,5681785000,5681785000,528647000,150688000,65473000,198135000,999686000.000002,513078000,147948000,43157999.9999999,758359000,99353000,-431000,141581000,822000,241325000,241325000,999683999.999998,5681785000,11704360000,7117195000,41154341000,65657681000,-13712731000,-49722165000,-4970325000,33816769000,49911714000,65847230000,65847230000,65847230000,19305462000,54175000,0.01562,0.01167,23.54412,5.68357,3.14248,0.05419,264.87752,262.48905,22692.1878,11.25026,231.71017,12.50632,0.87478,-0.00500000000000433,-0.0126999999999953
"27","2017_Q2",13.6488888888889,"Up",122633000,107183000,2951000,12499000,-351000,12850000,-63333000,-46769000,-5872000,6659000,-721000,-759000,38000,5938000,5938000,-2039000,3899000,3899000,3899000,3899000,541106000,124219000,63806000,204301000,950885000,500102000,56960000,92894000,649956000,99997000,-431000,144179000,57184000,300929000,300929000,950885000,3899000,1997000,-13729000,2902000,-4931000,-9770000,-9978000,-1301000,-10259000,-11560000,-26469000,-26469000,-26469000,8656000,0,0.0543,0.03179,0.01296,0.0041,2.15983,0,0.18159,0.17977,5.71152,14.01548,0.06059,0.00582,0.33368,-14.35062,-18.6543
"28","2017_Q3",13.9319047619048,"Up",178073000,159618000,4637000,13817999.9999962,-132000,13950000,-86938000,-71496000,-6257000.00000191,13382000.000001,-732000.00000006,-751999.999999881,20000,12650000.000001,12650000.000001,-5392999.99999976,7257000,7257000,7256999.99999857,7256999.99999857,783462000,254170999.999998,94865000.000001,669150000.000008,1821271000.00002,783281000,332011000,122751999.999999,1238044000.00002,375033000,-431000,148875000.000002,59749999.9999999,583227000,583227000,1821271000.00002,7256999.99999809,11616000,96699999.9999981,-52256000,63317000,-16608000,75087000,-2561000,-5891000,-8452000,129952000,129952000,129952000,24998000,2.98023223876953e-08,0.07515,0.04075,0.0124400000000019,0.0039800000000001,2.12275,-6.93889390390723e-18,0.17362,0.172669999999992,4.26022000000301,13.95312,0.06126999999996,0.00658999999999927,0.35289999999999,-10.16765,-18.9935
"29","2017_Q4",14.2688888888889,"Up",171128000,152494000,4901000,13733000,-71000,13804000,-143127000,-65862000,-6891000,-44752000,-735000,-771000,36000,-45487000,-45487000,17475000,-28012000,-28012000,-28012000,-28012000,788581000,280268000,101314000,993715000,2183222000,1259966000,241768000,127153000,1628887000,375670000,-431000,118299000,60797000,554335000,554335000,2183222000,-16867156000,24192387000,6467029000,70486354000,84278614000,-30142622000,60806891000,-6422138000,-1125850000,-15608988000,129476517000,129476517000,129476517000,24147635000,0,-0.26151,-0.16369,-0.05053,-0.01283,2.93845,0,-0.65873,-0.65539,4.02423,13.03569,151.02242,3.29347,-229.26382,-0.01161,6.26269
"30","2018_Q1",16.9270491803279,"Up",653948166000,585070705000,17799511000,51077950000,67553999.9999999,51010396000,-365241602000,-257021873000,-27655980000,4028711000,-3091812000,-3244718000,152906000,936899000,936899000,9224957000,10161856000,10161856000,10161856000,10161856000,8.54531e+11,2.29556e+11,1.03882e+11,7.79386e+11,2.059921e+12,1.038105e+12,3.98861e+11,8.583e+10,1.522796e+12,3.87149e+11,-4.31e+08,1.41186e+11,9.221e+09,5.37125e+11,5.37125e+11,2.059921e+12,2.7001e+10,1.3326e+10,-4.5961e+10,-4.3155e+10,-4.8789e+10,-4.6668e+10,-6.8216e+10,-2.565e+09,1.11067e+11,1.13012e+11,-3993000000.00003,-3993000000.00003,-3993000000.00003,17354711000,4.76837158203125e-07,0.00616,0.01554,0.0189199999999998,0.00493,2.83509,0,237.33535,236.0828,15273.29396,12544.82915,59.90689,0.00766000000000044,0.252409999999998,-13.2273,-56.98001
"31","2018_Q2",17.54390625,"Up",1.80127e+11,1.62675e+11,5.686e+09,1.1766e+10,-2.233e+09,1.3999e+10,-7.7246e+10,-8.046e+10,-8.318e+09,1.4103e+10,-2.387e+09,-2.458e+09,7.1e+07,1.1716e+10,1.1716e+10,-3.347e+09,8.369e+09,8.369e+09,8.369e+09,8.369e+09,892444000,216703000,108093000,752300000,2066393000,1100789000,192602000,76913000,1370304000,387635000,-430999.99999994,156327000,152558000,696089000,696089000,2066393000,8.369e+09,1.0658e+10,6.978e+10,-1.04575e+11,-1.5768e+10,-5.3131e+10,-5.3848e+10,-2.565e+09,-4.44e+08,1.0044e+10,-5.9572e+10,-5.9572e+10,-5.9572e+10,2.4761e+10,0,0.07829,0.04646,12.02289,4.05005,1.96858,0,196.53873,195.77237,4230.12677,16.34705,60.23681,5.83523,0.30649,-0.00875,-0.01537
"32","2018_Q3",18.3225396825397,"Up",1.83148e+11,1.71306e+11,7.091e+09,4.751e+09,9.43e+08,3.808e+09,-88594999999.9999,-6.3097e+10,-9.682e+09,2.1774e+10,-2.442e+09,-2.458e+09,1.6e+07,1.9332e+10,1.9332e+10,-4.631e+09,1.4701e+10,1.4701e+10,1.4701e+10,1.4701e+10,940469000,208675000,109601000,1041175000,2317662000,1083992000,474010999.999939,54207000,1612210000,388197000,-431000,168461000,149225000.000002,705452000,705452000.000061,2317662000,1.47e+10,2.273e+09,-2.63478e+11,3.4086e+11,9.4355e+10,-7.1735e+10,-5.2859e+10,-2.565e+09,-3.18e+08,-1.5998e+10,2.5498e+10,2.5498e+10,2.5498e+10,2.4047e+10,-3.814697265625e-06,0.11889,0.08027,20.83912,6.34303,2.28536,1.73472347597681e-18,344.70016,343.5588,4294.3436,16.5410100000023,60.14257,9.36511,0.174480000000001,-0.00868000000000087,-0.00957999999996695
"33","2018_Q4",16.9374603174603,"Down",-362732147000,-333473464000,-12757335000,-16501348000,1294372000,-17795720000,165554607000,143351958000,17971024000,-35854558000,4821735000,4908629000,-86894000,-31032823000,-31032823000,7974185000,-23058638000,-23058638000,-23058639000,-23058639000,9.37812e+11,2.4095e+11,1.05764e+11,9.42703e+11,2.322229e+12,1.172382e+12,4.00062e+11,4.0199e+10,1.773351e+12,3.88824e+11,-4.31e+08,1.54186e+11,-1.3702e+10,5.28877e+11,5.48878e+11,2.322229e+12,-1.1707e+10,3.261e+09,1.97973e+11,-1.55562e+11,3.3965e+10,2.4402e+10,2.3568e+10,-2.569e+09,-8.7e+07,6.347e+09,6.388e+10,6.388e+10,6.388e+10,-32593558000,1.60708e+11,0.09885,0.06357,-0.04201,-0.00993,3.23087,0.0692,-540.28136,-538.31742,-8499.08868,12391.98831,60.19361,-0.01066,-0.11141,2.4619,2.23799
"34","2019_Q1",14.44,"Down",181089000,181740000,7535999.99999619,-8187000,-12016999.9999995,3830000.00000381,-122196000,-64210000.0000305,-11614000,-16930999.9999924,-2485000,-2495000.00000095,9999.9999999851,-19415999.9999924,-19415999.9999924,8448000.00000381,-10968000,-10968000,-11071000.0000076,-11071000.0000076,9.51836e+11,1.12679e+11,1.05582e+11,1.038378e+12,2.321428e+12,1.288516e+12,3.02854e+11,2.9571e+10,1.781059e+12,3.89145e+11,-4.31e+08,1.40546e+11,-9.03e+09,5.2023e+11,5.40369e+11,2.321428e+12,-11361606000,-16173518000,-4029757999.99994,-80976107000,-112540989000,100356708000,83086224000,7688732000,813363999.999999,-443390000,-29898155000,-29898155000,-29898155000,-16190449000,1.60118e+11,-0.0935,-0.06114,-1.99999999998049e-05,6.60929644347164e-16,3.29601,0.06897,-0.259320000000116,-0.257569999999987,4.24165999999968,12185.37824,-180.09363,-0.00381000000000086,694.493,-2.93006,-2801.90184
"35","2019_Q2",13.3849206349206,"Down",2.02321e+11,1.80722e+11,7.295e+09,1.4304e+10,1.0354e+10,3.95e+09,-1.04547e+11,-7.2827e+10,-1.0211e+10,1.4736e+10,-2.403e+09,-2.409e+09,6e+06,1.2333e+10,1.2333e+10,-2.755e+09,9.578e+09,9.578e+09,9.469e+09,9.469e+09,9.56375e+11,1.28867e+11,1.09489e+11,9.77315e+11,2.284538e+12,1.264026e+12,2.45909e+11,5.5821e+10,1.725577e+12,3.90046e+11,-4.31e+08,1.47446e+11,1.53e+09,5.38591e+11,5.58961e+11,2.284538e+12,9.578e+09,2.32e+09,7.1743e+10,-9.5162e+10,-1.1521e+10,2.1876e+10,1.5474e+10,-2.569e+09,-3.82e+08,6.106e+09,1.0059e+10,1.0059e+10,1.0059e+10,1.7056e+10,1.59821e+11,0.07283,0.0468,0.01694,0.00414,3.08712,0.06996,221.77368,220.27854,4738.56504,12614.35286,60.16861,0.0059,0.27131,1.81485,2.10057
