"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",35.4882258064516,"Up",77122000,-26436000,50686000,-33168000,-30408000,-14430000,-15978000,-2760000,17518000,30000,30000,17548000,17548000,-6724000,10824000,10824000,10824000,10824000,101561000,101561000,19860000,19860000,14467000,3997000,135888000,79479000,7008000,7008000,93237000,229125000,35214000,19012000,16202000,28618000,28618000,63832000,9663000,9663000,9663000,73495000,152551000,181000,152370000,15751000,155630000,155630000,229125000,10824000,10824000,2760000,2443000,2443000,-4229000,11798000,-9562000,-22412000,-4702000,-4791000,-4538000,-15152000,-15152000,-15152000,20278000,0,13211000,0.65722,0.22715,0.14035,0.06955,0.04724,1.22053,2.12884,0.47224,0,0.61129,0.6031,4.3555,8.78928,0.7461,5,0.06548,0.07992,-5.00843,-5.79752
"12","2013_Q1",36.6946666666667,"Up",8.6e+07,-29654000,56346000,-34924000,-31909000,-16485000,-15424000,-3015000,21422000,118000,118000,21540000,21540000,-8279000,13175000,13175000,13175000,13175000,114901000,114901000,10428000,10428000,15745000,4290000,141074000,82840000,7025000,7025000,96529000,237603000,29293000,17251000,12042000,25777000,25777000,55070000,11380000,11380000,11380000,66450000,157627000,178000,157449000,13526000,171153000,171153000,237603000,13175000,13175000,3015000,-3445000,-3445000,5683000,18428000,-6504000,-6460000,391000,-2733000,1372000,13340000,13340000,13340000,24437000,-2.01948391736579e-28,31895000,0.65519,0.24909,0.1532,0.07698,0.05545,2.42087,2.56172,0.38825,-1.88079096131566e-37,0.74784,0.73801,4.88152,9.71496,1.81042,6,0.07218,0.17474,-4.70193,-5.36369
"13","2013_Q2",36.05734375,"Down",83840000,-28405000,55435000,-37225000,-34018000,-16539000,-17479000,-3207000,18210000,64000,64000,18274000,18274000,-6850000,11376000,11376000,11376000,11376000,120550000,120550000,12211000,12211000,10555000,5056000,143316000,85607000,7201000,7201000,103424000,246740000,26904000,15247000,11657000,29073000,29073000,55977000,12113000,12113000,12113000,68090000,158738000,177000,158561000,19912000,178650000,178650000,246740000,11376000,11376000,3207000,3269000,3269000,2751000,20603000,-5947000,-10035000,-5001000,-5770000,-4919000,5649000,5649000,5649000,21417000,0,25071000,0.6612,0.2172,0.13569,0.06368,0.04611,2.20385,2.56027,0.38114,0,0.64038,0.632,4.71957,10.05667,1.41131,7,0.05963,0.13142,-5.62871,-6.61999
"14","2013_Q3",39.36484375,"Up",80925000,-27207000,53718000,-36515000,-33203000,-16045000,-17158000,-3312000,17203000,89000,89000,17292000,17292000,-6544000,10750000,10750000,10750000,10750000,128116000,128116000,8023000,8023000,9134000,4725000,145273000,87344000,7190000,7190000,105152000,250425000,25138000,8705000,15651000,25810000,25810000,50948000,10507000,10507000,10507000,61455000,153318000,176000,153142000,35652000,188970000,188970000,250425000,10750000,10750000,3312000,88999.9999999981,88999.9999999981,-114000,14037000,-4974000,-5049000,-1550000,-2024000,-1422000,7566000,7566000,7566000,20515000,0,21971000,0.6638,0.21258,0.13284,0.05689,0.04293,2.04381,2.8514,0.32521,-3.00926553810506e-36,0.60924,0.60067,4.58628,10.70953,1.24517,6,0.05389,0.11014,-6.24499,-7.44731
"15","2013_Q4",41.26109375,"Up",81777000,-28139000,53638000,-36131000,-32755000,-15989000,-16766000,-3376000,17507000,77000,77000,17584000,17584000,-6612000,10911000,10911000,10911000,10911000,143780000,143780000,7004000,7004000,10033000,4131000,160817000,88097000,7266000,7266000,105920000,266737000,26372000,12179000,14193000,28762000,28762000,55134000,10364000,10364000,10364000,65498000,162068000,177000,161891000,39171000,201239000,201239000,266737000,10911000,10911000,3376000,1365000,1365000,3907000,19559000,-4172000,-4204000,36000,-439000,309000,15664000,15664000,15664000,20883000,0,27230000,0.65591,0.21408,0.13342,0.05422,0.04091,2.49565,2.91684,0.32547,0,0.61791,0.60848,4.63121,11.3966,1.54209,5,0.05156,0.12868,-6.88503,-8.21271
"16","2014_Q1",40.5765573770492,"Down",82937000,-29033000,53904000,-39387000,-35774000,-17114000,-18660000,-3613000,14517000,79000,79000,14596000,14596000,-5639000,8997000,8997000,8997000,8997000,94820000,94820000,9520000,9520000,12245000,5598000,116585000,90733000,53740000,15592000,155070000,271655000,29429000,11563000,17866000,24829000,24829000,54258000,10328000,10328000,10328000,64586000,165089000,176000,164913000,41980000,207069000,207069000,271655000,8997000,8997000,3613000,1552000,1552000,-8947000,5215000,-5556000,-49961000,-4596000,-6190000,-4214000,-48960000,-48960000,-48960000,18130000,5.16987882845642e-26,9266000,0.64994,0.17504,0.10848,0.04345,0.03312,1.0299,2.14872,0.31191,0,0.51245,0.50388,4.72392,11.79421,0.52777,2,0.04139,0.04262,-5.23001,-6.53165
"17","2014_Q2",34.8463492063492,"Down",88553000,-31348000,57205000,-40480000,-36591000,-17067000,-19524000,-3889000,16725000,81000,81000,16806000,16806000,-6327000,10436000,10436000,10436000,10436000,99680000,99680000,13346000,13346000,12817000,6627000,125843000,91827000,53913000,15765000,156414000,282257000,25865000,12411000,11526000,26479000,26479000,52344000,13589000,13589000,13589000,65933000,165319000,176000,165143000,51005000,216324000,216324000,282257000,10436000,10436000,3889000,1720000,1720000,-3596000,12449000,-4612000,-5240000,-2602000,-2647000,-2349000,4860000,4860000,4860000,20614000,0,18733000,0.646,0.18887,0.11785,0.04824,0.03697,1.79504,2.40415,0.30479,0,0.59298,0.58611,5.03165,12.2917,1.06442,4,0.04539,0.08148,-4.83555,-5.95994
"18","2014_Q3",31.51046875,"Down",85463000,-30197000,55266000,-39431000,-35473000,-16982000,-18491000,-3958000,15835000,98000,98000,15933000,15933000,-6173000,9802000,9802000,9802000,9802000,89801000,89801000,8471000,8471000,14727000,5511000,112999000,94049000,53475000,15327000,159740000,272739000,20874000,11315000,9559000,23216000,23216000,44090000,13932000,13932000,13932000,58022000,167015000,173000,166842000,47702000,214717000,214717000,272739000,9802000,9802000,3958000,-572000,-572000,-3412000,9776000,-4603000,-6936000,-12793000,-13109000,-12719000,-9879000,-9879000,-9879000,19793000,0,17951000,0.64667,0.18528,0.11469,0.04565,0.03594,1.83136,2.56292,0.27023,-7.70371977754894e-34,0.56721,0.5618,4.94543,12.42488,1.03876,3,0.04287,0.07851,-4.53701,-5.67105
"19","2014_Q4",32.47203125,"Up",84707000,-30626000,54081000,-39434000,-35380000,-17948000,-17432000,-4054000,14647000,98000,98000,14745000,14745000,-5877000,8842000,8842000,8842000,8842000,108639000,108639000,6624000,6624000,15003000,6224000,130266000,96188000,53867000,15233000,162245000,292511000,25784000,11888000,13896000,27263000,27263000,53047000,14578000,14578000,14578000,67625000,168342000,173000,168169000,56544000,224886000,224886000,292511000,8842000,8842000,4054000,1583000,1583000,10466000,24945000,-6043000,-6147000,94000,0,40000,18838000,18838000,18838000,18701000,0,29001000,0.63845,0.17291,0.10438,0.03932,0.03023,3.27991,2.45567,0.30071,0,0.51104,0.50619,4.89575,12.99758,1.67615,4,0.03692,0.12111,-5.80926,-7.41715
"20","2015_Q1",33.3277049180328,"Up",91297000,-31594000,59703000,-40963000,-36743000,-17232000,-19511000,-4220000,18740000,84000,84000,18824000,18709000,-6773000,11797000,11797000,11797000,11797000,115634000,115634000,6130000,6130000,14454000,6379000,136218000,102424000,47211000,8577000,161686000,297904000,24445000,11029000,13416000,23805000,23805000,48250000,15436000,15436000,15436000,63686000,169826000,172000,169654000,64392000,234218000,234218000,297904000,11797000,11797000,4220000,5503000,5503000,-7660000,13860000,-9338000,-2968000,-3874000,-3955000,-3897000,6995000,6995000,6995000,22960000,-6.61744490042422e-24,12735000,0.65394,0.20526,0.12922,0.05037,0.0396,1.07951,2.82317,0.27191,0,0.68406,0.676,5.29398,13.58144,0.73846,7,0.04725,0.05101,-5.03632,-6.17044
"21","2015_Q2",26.9896825396825,"Down",85444000,-30260000,55184000,-40713000,-36124000,-17019000,-19105000,-4589000,14471000,10000,10000,14481000,14481000,-5650000,8793000,8793000,8793000,8793000,112337000,112337000,9241000,9241000,14910000,6954000,136488000,104278000,47728000,9094000,164019000,300507000,21268000,6251000,15017000,23741000,23741000,45009000,16031000,16031000,16031000,61040000,169450000,171000,169279000,70017000,239467000,239467000,300507000,8793000,8793000,4589000,2089000,2089000,-8325000,7146000,-5288000,-5426000,-4668000,-4668000,-5017000,-3297000,-3297000,-3297000,19060000,0,11097000,0.64585,0.16936,0.10291,0.03672,0.02926,1.26203,3.03246,0.2549,0,0.5117,0.5067,4.97231,13.9355,0.64578,4,0.03442,0.04343,-5.89386,-7.76291
"22","2015_Q3",23.893125,"Down",80263000,-29696000,50567000,-38991000,-34293000,-16152000,-18141000,-4698000,11576000,31000,31000,11607000,11607000,-4548000,7073000,7073000,7073000,7073000,103724000,103724000,5730000,5730000,14077000,6570000,123531000,108240000,47369000,8735000,167911000,291442000,21241000,7051000,14190000,21374000,21374000,42615000,16487000,16487000,16487000,59102000,170635000,166000,170469000,61705000,232340000,232340000,291442000,7073000,7073000,4698000,966000,966000,2848000,15585000,-7475000,-8593000,-15390000,-15390000,-15605000,-8613000,-8613000,-8613000,16274000,0,16195000,0.63002,0.14423,0.08812,0.03044,0.02427,2.28969,2.89877,0.25438,-9.86076131526265e-32,0.42202,0.41976,4.78895,13.86275,0.96629,5,0.02843,0.06509,-6.3736,-8.96026
"23","2015_Q4",21.9665625,"Down",76291000,-29167000,47124000,-36552000,-31661000,-14062000,-17599000,-4891000,10572000,37000,37000,10609000,10549000,-3796000,6757000,6757000,6757000,6757000,113829000,113829000,8917000,8917000,18782000,9894000,141528000,109858000,47797000,9163000,169961000,311489000,24888000,7952000,16936000,32531000,32531000,57419000,16499000,16499000,16499000,73918000,172114000,165000,171949000,65457000,237571000,237571000,311489000,6757000,6757000,4891000,6e+05,6e+05,7829000,20077000,-6801000,-7056000,-2977000,-3006000,-2916000,10105000,10105000,10105000,15463000,0,20287000,0.61769,0.13857,0.08857,0.02844,0.02169,3.00237,2.46483,0.31114,0,0.40737,0.40416,4.59951,14.32291,1.22308,5,0.0266,0.07985,-7.36138,-10.76703
"24","2016_Q1",17.5647540983607,"Down",85912000,-29725000,56187000,-39708000,-33366000,-15164000,-18202000,-6342000,16479000,37000,37000,16516000,15759000,-6078000,9791000,9791000,9791000,9791000,105734000,105734000,7917000,7917000,12991000,6277000,126642000,109281000,47589000,8955000,172785000,299427000,21072000,6264000,14126000,25258000,25258000,46330000,15944000,15944000,15944000,62274000,173860000,160000,173700000,63293000,237153000,237153000,299427000,9791000,9791000,6342000,2691000,2691000,-4620000,14204000,-6438000,-10063000,-12220000,-12246000,-12236000,-8095000,-8095000,-8095000,22821000,-1.6940658945086e-21,17841000,0.65401,0.19181,0.11397,0.04129,0.0327,1.82218,2.73348,0.26259,0,0.60538,0.60179,5.31198,14.6633,1.10312,5,0.03868,0.07049,-4.63319,-6.41629
"25","2016_Q2",24.8265625,"Up",83966000,-29708000,54258000,-38027000,-33138000,-16469000,-16669000,-4889000,16231000,37000,37000,16268000,16007000,-6267000,10340000,10340000,10340000,10340000,119985000,119985000,8560000,8560000,12617000,6830000,141162000,108005000,47766000,9132000,173236000,314398000,25108000,7171000,17937000,25898000,25898000,51006000,16011000,16011000,16011000,67017000,173748000,161000,173587000,73633000,247381000,247381000,314398000,10340000,10340000,4889000,3156000,3156000,1667000,20052000,-3139000,-4171000,-630000,-630000,-1630000,14251000,14251000,14251000,21120000,0,25915000,0.64619,0.1933,0.12315,0.0418,0.03289,2.50629,2.76756,0.27091,0,0.64471,0.6394,5.23536,15.42445,1.61583,6,0.03926,0.09839,-5.68111,-7.39234
"26","2016_Q3",24.22453125,"Down",76745000,-28903000,47842000,-36718000,-31893000,-14984000,-16909000,-4825000,11124000,37000,37000,11161000,10697000,-4172000,6596000,6596000,6596000,6596000,124092000,124092000,6464000,6464000,12561000,5737000,143117000,107490000,47269000,8635000,172295000,315412000,22347000,22347000,19601781.2732553,21927000,21927000,44274000,16073000,16073000,16073000,60347000,174836000,161000,174675000,80229000,255065000,255065000,315412000,6596000,6596000,4825000,2448000,2448000,-5134000,8735000,-3765000,-4519000,7000.00000000186,0,-109000.000000002,4107000,4107000,4107000,15949000,-1.35525271560688e-20,11222000,0.62339,0.14495,0.08595,0.02586,0.02091,1.70133,3.23253,0.23659,-2.52435489670724e-29,0.41072,0.4087,4.77873,15.88229,0.69877,5,0.02433,0.04139,-7.78055,-11.15534
"27","2016_Q4",22.3630158730159,"Down",73803000,-28357000,45446000,-35174000,-30264000,-13139000,-17125000,-4910000,10272000,37000,37000,10309000,429000,-85000,326000,326000,326000,326000,137691000,137691000,5878000,5878000,11568000,5553000,155137000,99155000,44471000,10572000,158187000,313324000,19095000,19095000,17543434.4553175,24888000,24888000,43983000,12558000,12558000,12558000,56541000,176227000,161000,176066000,80556000,256783000,256783000,313324000,326000,326000,4910000,6825000,6825000,1840000,13901000,-2766000,-437000,21000,0,135000,13599000,13599000,13599000,15182000,0,14341000,0.61577,0.13918,0.00442,0.00127,0.00104,43.9908,3.5272,0.22019,0,0.02028,0.02011,4.59112,15.97388,0.89212,5,0.00121,0.05324,-9.06936,-13.4045
"28","2017_Q1",23.241935483871,"Up",78625000,-30045000,48580000,-37226000,-32466000,-14503000,-17963000,-4760000,11354000,5000,5000,11359000,11259000,-4416000,6893000,6893000,6893000,6893000,146351000,146351000,6949000,6949000,5327000,5327000,158627000,97687000,44695000,10796000,156993000,315620000,21536000,6853000,14124000,20639000,20639000,42175000,8775000,8775000,8775000,50950000,177222000,161000,177061000,87448000,264670000,264670000,315620000,6893000,6893000,4760000,2658000,2658000,-984999.999999998,13326000,-5885000,-4421000,-127000,-218000,-245000,8660000,8660000,8660000,16114000,-2.16840434497101e-19,13660000,0.61787,0.14441,0.08767,0.02604,0.02184,1.98172,3.76116,0.1925,4.03896783473158e-28,0.42817,0.42206,4.88388,16.44028,0.84851,4,0.02521,0.04996,-9.08223,-12.88982
"29","2017_Q2",22.8834920634921,"Down",75688000,-28956000,46732000,-37935000,-33191000,-15435000,-17756000,-4744000,8797000,11000,11000,8808000,8318000,-3849000,4509000,4509000,4509000,4509000,147804000,147804000,6200000,6200000,11630000,7397000,165634000,95728000,44304000,10405000,154683000,320317000,16659000,4837000,11822000,23174000,23174000,39833000,11363000,11363000,11363000,51196000,177164000,162000,177002000,91957000,269121000,269121000,320317000,4509000,4509000,4744000,4304000,4304000,-8503000,5054000,-1670000,-2297000,-1304000,-1402000,-1304000,1453000,1453000,1453000,13541000,0,7217000,0.61743,0.11623,0.05957,0.01675,0.01408,1.60058,4.15821,0.19023,0,0.2785,0.27627,4.67497,16.62261,0.44577,4,0.01608,0.02573,-10.91529,-16.80164
"30","2017_Q3",20.3301587301587,"Down",72196000,-29834000,42362000,-35366000,-30640000,-14008000,-16632000,-4726000,6996000,15000,15000,7011000,6333000,-2525000,3829000,3829000,3829000,3829000,157128000,157128000,6201000,6201000,10361000,7241000,173690000,93685000,42848000,8949000,151205000,324895000,18903000,6411000,12492000,20802000,20802000,39705000,10848000,10848000,10848000,50553000,178556000,162000,178394000,95786000,274342000,274342000,324895000,3829000,3829000,4726000,1600000,1600000,1062000,11217000,-618000,-1893000,2.3283064365387e-10,0,0,9324000,9324000,9324000,11722000,-3.46944695195361e-18,14691000,0.58676,0.0969,0.05304,0.01396,0.01179,3.83677,4.37451,0.18427,6.46234853557053e-27,0.2358,0.23406,4.44596,16.89449,0.9047,4,0.01343,0.05151,-13.40454,-22.45969
"31","2017_Q4",23.3004761904762,"Up",73279000,-28723000,44556000,-36567000,-31877000,-14640000,-17237000,-4690000,7989000,17000,17000,8006000,7616000,-3294000,4366000,4366000,4366000,4366000,166259000,166259000,6389000,6389000,7408000,6651000,180056000,92169000,42960000,9061000,149845000,329901000,18654000,5041000,13613000,21994000,21994000,40648000,9231000,9231000,9231000,49879000,179870000,162000,179708000,100152000,280022000,280022000,329901000,4366000,4366000,4690000,579000,579000,3353000,12988000,-2754000,-3857000,0,-2000,0,9131000,9131000,9131000,12679000,0,16572000,0.60803,0.10902,0.05958,0.01559,0.01323,3.79569,4.42964,0.17813,0,0.26869,0.26663,4.50975,17.23318,1.01988,5,0.01509,0.05729,-13.11294,-20.81099
