"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",17.6974603174603,"Down",1.278e+09,-1.129e+09,1.49e+08,-6.4e+07,-6.4e+07,1.02e+08,-2.1e+07,-1e+06,8.1e+07,-3e+06,7.8e+07,-2.2e+07,5.6e+07,5.6e+07,-2e+06,5.4e+07,5.4e+07,5.81e+08,5.81e+08,8.66e+08,8.66e+08,3.17e+08,3.17e+08,1.764e+09,1.29e+08,2.874e+09,5.23e+08,1.268e+09,2.11e+08,8.72e+08,3.099e+09,4.863e+09,7.21e+08,4.92e+08,2.29e+08,6.33e+08,6.33e+08,1.364e+09,1.147e+09,6.94e+08,1.2e+07,3.54e+08,1.841e+09,3.205e+09,2.175e+09,-8.17e+08,1.225e+09,-9.4e+08,1.643e+09,1.5e+07,1.658e+09,4.863e+09,5.6e+07,1.7e+07,1.7e+07,-1.8e+07,7.2e+07,-4e+06,-4e+06,-4e+06,-9.6e+07,-1.1e+07,9.1e+07,-1e+06,8e+07,5.6e+07,5.6e+07,6e+06,6.2e+07,1.19e+08,1.157e+09,1.19e+08,0.11659,0.07981,0.04225,0.03257,0.0111,2.2037,1.29326,1.93305,0.23792,0.38571,0.38298,9.12857,11.73571,0.85,0.07857,5,0.01852,0.03391,0.2037,4.84034,5.64706
"36","2019_Q1",17.1762295081967,"Down",1.33e+09,-1.173e+09,1.57e+08,-8.7e+07,-8.7e+07,2e+07,5.4e+07,-2e+06,7.4e+07,-9e+06,6.5e+07,-1.2e+07,5.3e+07,5.3e+07,-6e+06,4.7e+07,4.7e+07,7.39e+08,7.39e+08,9.27e+08,9.27e+08,2.93e+08,2.93e+08,1.959e+09,1.21e+08,2.874e+09,5.16e+08,1.265e+09,2.22e+08,8.71e+08,3.093e+09,5.052e+09,7.67e+08,5.46e+08,2.21e+08,6.42e+08,6.42e+08,1.419e+09,1.243e+09,6.72e+08,2.7e+07,3.95e+08,1.915e+09,3.334e+09,2.19e+09,-8.17e+08,1.235e+09,-9.1e+08,1.698e+09,2e+07,1.718e+09,5.052e+09,5.3e+07,1.6e+07,2.3e+07,3.7e+07,1.29e+08,2.3e+07,-2e+06,-2e+06,-6.3e+07,-1e+07,-1.63e+08,2.75e+08,1.02e+08,1.68e+08,1.68e+08,-1e+07,1.58e+08,3.6e+07,1.253e+09,1.08e+08,0.11805,0.01504,0.03534,0.02736,0.0093,2.29787,1.38055,1.94063,0.24802,0.33571,0.33333,9.5,12.12857,0.77143,0.07143,5,0.01565,0.02965,0.21277,14.27778,25.7
"37","2019_Q2",21.362380952381,"Up",1.34e+09,-1.187e+09,1.53e+08,-7.8e+07,-7.8e+07,7.5e+07,-2e+07,5e+06,5.5e+07,3e+06,5.8e+07,-1.6e+07,4.2e+07,4.2e+07,-2e+06,4e+07,4e+07,7.08e+08,7.08e+08,9.74e+08,9.74e+08,2.89e+08,2.89e+08,1.971e+09,1.2e+08,3.127e+09,5.12e+08,1.265e+09,2.14e+08,1.136e+09,3.346e+09,5.317e+09,8.09e+08,5.8e+08,2.29e+08,6.86e+08,6.86e+08,1.505e+09,1.24e+09,7.77e+08,2.8e+07,5.09e+08,2.017e+09,3.522e+09,2.194e+09,-8.18e+08,1.308e+09,-9.11e+08,1.773e+09,2.2e+07,1.795e+09,5.317e+09,4.2e+07,2.5e+07,-2e+06,-1.7e+07,4.8e+07,-2e+06,-2e+06,-2e+06,-6.9e+07,-1.1e+07,-2e+06,-5e+06,-1.7e+07,-3.8e+07,-3.8e+07,7e+06,-3.1e+07,1e+08,1.25e+09,9.7e+07,0.11418,0.05597,0.02985,0.02228,0.00752,2.425,1.30963,1.96212,0.23509,0.28369,0.28369,9.50355,12.57447,0.68794,0.07801,6,0.01334,0.02538,0.275,5.42,7.22667
"38","2019_Q3",24.3334375,"Up",1.422e+09,-1.262e+09,1.6e+08,-8.8e+07,-8.8e+07,8.7e+07,-2.4e+07,2e+06,6.3e+07,5e+06,6.8e+07,-1.8e+07,5e+07,5e+07,-2e+06,4.8e+07,4.8e+07,6.11e+08,6.11e+08,1.035e+09,1.035e+09,3.34e+08,3.34e+08,1.98e+09,1.16e+08,3.122e+09,5.05e+08,1.264e+09,2.18e+08,1.135e+09,3.338e+09,5.318e+09,8.5e+08,6.11e+08,2.39e+08,7.02e+08,7.02e+08,1.563e+09,1.199e+09,7.62e+08,2.9e+07,5.14e+08,1.961e+09,3.524e+09,2.197e+09,-8.18e+08,1.321e+09,-9.26e+08,1.774e+09,2e+07,1.794e+09,5.318e+09,5e+07,2.3e+07,-2e+06,-3.8e+07,3.3e+07,-4e+06,-4e+06,-4e+06,-6.2e+07,-1.2e+07,-4.5e+07,-5000000.00000003,-6.1e+07,-9e+07,-9e+07,-7e+06,-9.7e+07,1.1e+08,1.21e+09,8.6e+07,0.11252,0.06118,0.03376,0.02676,0.00903,1.79167,1.26679,1.96433,0.22753,0.34043,0.34043,10.08511,12.58156,0.60993,0.08511,5,0.01593,0.02284,0.25,5.44545,6.88506
"39","2019_Q4",27.0440625,"Up",1.425e+09,-1.255e+09,1.7e+08,-7.6e+07,-7.6e+07,1.03e+08,-2.2e+07,3e+06,8.1e+07,1e+06,8.2e+07,-2.4e+07,5.8e+07,5.8e+07,-2e+06,5.6e+07,5.6e+07,6.81e+08,6.81e+08,1.038e+09,1.038e+09,3.88e+08,3.88e+08,2.107e+09,1.09e+08,3.082e+09,4.89e+08,1.261e+09,2.2e+08,1.112e+09,3.295e+09,5.402e+09,8.73e+08,6.24e+08,2.49e+08,7.69e+08,7.69e+08,1.652e+09,1.196e+09,7.37e+08,2.9e+07,5.16e+08,1.933e+09,3.585e+09,2.202e+09,-8.17e+08,1.366e+09,-9.54e+08,1.797e+09,2e+07,1.817e+09,5.402e+09,5.8e+07,2.8e+07,1.9e+07,1.3e+07,1.18e+08,-4e+06,-4e+06,-4e+06,-1.7e+07,-1.1e+07,-7e+06,-2e+06,-1.9e+07,8.2e+07,8.2e+07,-1.2e+07,7e+07,1.31e+08,1.206e+09,1.64e+08,0.1193,0.07228,0.0393,0.03082,0.01037,2.92857,1.27542,1.97303,0.22325,0.39716,0.39716,10.10638,12.74468,1.16312,0.07801,5,0.01782,0.04362,0.19643,4.00763,5.09709
"40","2020_Q1",24.9043548387097,"Down",1.452e+09,-1.282e+09,1.7e+08,-9.9e+07,-9.9e+07,4.7e+07,7e+06,-5e+06,5.4e+07,6000000.00000001,6e+07,-1e+06,5.9e+07,5.9e+07,-999999.999999999,5.8e+07,5.8e+07,7.12e+08,7.12e+08,9.38e+08,9.38e+08,3.61e+08,3.61e+08,2.011e+09,1.3e+08,3.16e+09,4.95e+08,1.265e+09,2.36e+08,1.164e+09,3.349e+09,5.36e+09,7.81e+08,5.72e+08,2.09e+08,7.09e+08,7.09e+08,1.501e+09,1.19e+09,8.16e+08,1.6e+07,5.23e+08,2.006e+09,3.507e+09,2.206e+09,-8.17e+08,1.437e+09,-9.87e+08,1.839e+09,1.4e+07,1.853e+09,5.36e+09,5.9e+07,2.8e+07,-3.7e+07,6999999.99999999,5.7e+07,-1e+06,-1e+07,-1e+07,-1e+07,-1.2e+07,-1.6e+07,-1e+07,-3.6e+07,1.1e+07,1.1e+07,2e+07,3.1e+07,7.5e+07,1.201e+09,8.2e+07,0.11708,0.03237,0.03994,0.0313,0.01082,1.41379,1.33977,1.89261,0.22407,0.41135,0.4,10.29787,13.04255,0.58156,0.08511,4,0.01809,0.02119,0.2069,6.52,10.40426
"41","2020_Q2",21.0660317460317,"Down",1.537e+09,-1.351e+09,1.86e+08,-9.7e+07,-9.7e+07,8.9e+07,-1.5e+07,7e+06,7.4e+07,-1.59e+08,-8.5e+07,1e+06,-8.4e+07,-8.4e+07,-2e+07,-1.04e+08,-1.04e+08,5.66e+08,5.66e+08,1.085e+09,1.085e+09,3.31e+08,3.31e+08,1.982e+09,1.2e+08,2.944e+09,4.66e+08,1.21e+09,2.49e+08,1.019e+09,3.122e+09,5.104e+09,9.31e+08,6.93e+08,2.38e+08,6.85e+08,6.85e+08,1.627e+09,1.059e+09,7.6e+08,1.4e+07,4.97e+08,1.819e+09,3.446e+09,2.21e+09,-8.19e+08,1.32e+09,-1.081e+09,1.63e+09,2.8e+07,1.658e+09,5.104e+09,-8.4e+07,2.7e+07,1.04e+08,-6e+06,4.1e+07,-2e+06,-2e+06,-2e+06,-1.1e+07,-1.1e+07,-1.39e+08,-7e+06,-1.55e+08,-1.25e+08,-1.25e+08,-2.1e+07,-1.46e+08,1.16e+08,1.07e+09,1.07e+08,0.12101,0.05791,-0.06766,-0.06273,-0.02038,-1.02885,1.21819,2.07841,0.20964,-0.73239,-0.73239,10.82394,11.47887,0.75352,0.07746,5,-0.02666,0.03068,-0.10577,4.34483,5.66292
"42","2020_Q3",22.57359375,"Up",1.385e+09,-1.243e+09,1.42e+08,-7.3e+07,-7.3e+07,6.9e+07,-5e+06,-2e+06,6.4e+07,-9.7e+07,-3.3e+07,-6e+06,-3.9e+07,-3.9e+07,-3.72529029846191e-09,-3.9e+07,-3.9e+07,6.35e+08,6.35e+08,9.6e+08,9.6e+08,3.02e+08,3.02e+08,1.897e+09,1.12e+08,2.943e+09,4.56e+08,1.176e+09,2.54e+08,1.057e+09,3.113e+09,5.01e+09,8.24e+08,5.93e+08,2.31e+08,6.61e+08,6.61e+08,1.495e+09,1.067e+09,8.06e+08,1.4e+07,5.6e+08,1.873e+09,3.368e+09,2.216e+09,-8.2e+08,1.262e+09,-1.043e+09,1.615e+09,2.7e+07,1.642e+09,5.01e+09,-3.9e+07,2.1e+07,4.9e+07,7.8e+07,1.09e+08,-1e+06,-2e+06,-2e+06,-1.4e+07,-1.5e+07,-1.1e+07,-3e+06,-2.8e+07,6.7e+07,6.7e+07,2000000.00000001,6.9e+07,9e+07,1.077e+09,1.73e+08,0.10253,0.04982,-0.02816,-0.02375,-0.00778,-4.4359,1.2689,2.05116,0.21497,-0.27465,-0.27465,9.75352,11.37324,1.21831,0.10563,4,-0.00681000000000001,0.04908,-0.38462,4.91111,6.4058
"43","2020_Q4",25.7103125,"Up",1.379e+09,-1.207e+09,1.72e+08,-8.9e+07,-8.9e+07,8.3e+07,-9e+06,-4e+06,7.4e+07,-3e+06,7.1e+07,-1.9e+07,5.2e+07,5.2e+07,0,5.2e+07,5.2e+07,9.49e+08,9.49e+08,9.76e+08,9.76e+08,2.82e+08,2.82e+08,2.207e+09,1.11e+08,2.959e+09,4.55e+08,1.179e+09,2.5e+08,1.075e+09,3.101e+09,5.308e+09,8.36e+08,5.84e+08,2.52e+08,5.87e+08,5.87e+08,1.433e+09,1.316e+09,8.46e+08,1.6e+07,6.07e+08,2.162e+09,3.595e+09,2.219e+09,-8.17e+08,1.3e+09,-1.014e+09,1.688e+09,2.5e+07,1.713e+09,5.308e+09,5.2e+07,2.6e+07,1.8e+07,-1e+06,9.5e+07,-5e+06,-4e+06,-4e+06,-1.3e+07,-1.4e+07,2.39e+08,-1e+06,2.24e+08,3.06e+08,3.06e+08,8e+06,3.14e+08,1.09e+08,1.326e+09,1.22e+08,0.12473,0.06019,0.03771,0.03036,0.0098,2.34615,1.54013,2.09866,0.24981,0.3662,0.3662,9.71127,11.88732,0.85915,0.09859,5,0.01699,0.0314,0.26923,3.45872,4.54217
"44","2021_Q1",31.2455737704918,"Up",1.466e+09,-1.3e+09,1.66e+08,-7.6e+07,-7.6e+07,9e+07,-1.2e+07,0,7.8e+07,-4.5e+07,3.3e+07,-4e+06,2.9e+07,2.9e+07,-1e+06,2.8e+07,2.8e+07,4.36e+08,4.36e+08,8.99e+08,8.99e+08,2.99e+08,2.99e+08,1.634e+09,120078907.643344,4.041e+09,6.83e+08,1.761e+09,4.27e+08,1.17e+09,4.071e+09,5.705e+09,8.57e+08,5.74e+08,2.83e+08,5.93e+08,5.93e+08,1.455e+09,1.586e+09,1.055e+09,2.6e+07,6.48e+08,2.641e+09,4.096e+09,2.222e+09,-8.64e+08,1.305e+09,-1.083e+09,1.58e+09,2.9e+07,1.609e+09,5.705e+09,2.9e+07,4.1e+07,-1.3e+07,6.5e+07,1.22e+08,-1.1e+07,-9850487.06055514,-4861496.44942678,-8.39e+08,-1.4e+07,2.6e+08,-6.3e+07,1.84e+08,-5.33e+08,-5.33e+08,2e+07,-5.13e+08,1.31e+08,1.591e+09,1.89e+08,0.11323,0.06139,0.0191,0.0174,0.00491,6.75,1.12302,2.54568,0.27888,0.19718,0.19718,10.32394,11.12676,1.33099,0.09859,4,0.00987,0.04442,0.5,8.81679,12.83333
"45","2021_Q2",38.9966666666667,"Up",1.461e+09,-1.293e+09,1.68e+08,-8.9e+07,-8.9e+07,7.9e+07,-1e+07,-3e+06,6.9e+07,-2e+06,6.7e+07,-1.7e+07,5e+07,5e+07,-1e+06,4.9e+07,4.9e+07,4.45e+08,4.45e+08,8.77e+08,8.77e+08,3.06e+08,3.06e+08,1.628e+09,1.32e+08,3.884e+09,6.68e+08,1.761e+09,2.71e+08,1.184e+09,4.047e+09,5.675e+09,8.9e+08,6e+08,2.9e+08,5.24e+08,5.24e+08,1.419e+09,1.588e+09,9.93e+08,1.1e+07,6.19e+08,2.581e+09,4e+09,2.23e+09,-8.66e+08,1.336e+09,-1.054e+09,1.646e+09,2.9e+07,1.675e+09,5.675e+09,5e+07,3.8e+07,1.2e+07,-5e+07,5e+07,-1.3e+07,-1.3e+07,-6e+06,-2.2e+07,-1.4e+07,-7e+06,-5e+06,-2.2e+07,6e+06,6e+06,3e+06,9e+06,1.17e+08,1.593e+09,7.1e+07,0.11499,0.05407,0.03354,0.02925,0.00863,1.44898,1.14729,2.38806,0.2807,0.34752,0.34028,10.3617,11.67376,0.50355,0.09929,4,0.01479,0.01666,0.28571,9.81197,14.53165
"46","2021_Q3",38.24859375,"Down",1.536e+09,-1.329e+09,2.07e+08,-1.03e+08,-1.03e+08,1.04e+08,-2.06e+08,-4.65661287307739e-10,-1.02e+08,-3999999.99999999,-1.06e+08,-4e+07,-1.46e+08,-1.46e+08,-3e+06,-1.49e+08,-1.49e+08,4.83e+08,4.83e+08,9.34e+08,9.34e+08,3.09e+08,3.09e+08,1.726e+09,1.36e+08,3.63e+09,6.54e+08,1.763e+09,2.45e+08,9.68e+08,3.796e+09,5.522e+09,9.26e+08,6.33e+08,2.93e+08,5.17e+08,5.17e+08,1.443e+09,1.587e+09,9.91e+08,1.6e+07,6.36e+08,2.578e+09,4.021e+09,2.24e+09,-8.95e+08,1.169e+09,-1.045e+09,1.469e+09,3.2e+07,1.501e+09,5.522e+09,-1.46e+08,3.8e+07,2.27e+08,-1.5e+07,1.04e+08,-1e+07,-1e+07,-1e+07,-1.6e+07,-1.6e+07,-5e+06,-3.7e+07,-5.2e+07,3.6e+07,3.6e+07,2e+06,3.8e+07,1.42e+08,1.587e+09,1.57e+08,0.13477,0.06771,-0.09701,-0.09927,-0.02698,-1.05369,1.19612,2.67888,0.2874,-1.05674,-1.03472,10.89362,10.41844,1.11348,0.11348,4,-0.03261,0.03849,-0.10738,7.77465,10.61538
"47","2021_Q4",43.6540625,"Up",1.843e+09,-1.65e+09,1.93e+08,-9.1e+07,-9.1e+07,1.02e+08,-2.2e+07,-1e+06,8e+07,0,8e+07,-2e+07,6e+07,6e+07,-3e+06,5.7e+07,5.7e+07,5.5e+08,5.5e+08,1.245e+09,1.245e+09,3.41e+08,3.41e+08,2.136e+09,1.31e+08,3.535e+09,6.35e+08,1.772e+09,2.37e+08,8.91e+08,3.696e+09,5.832e+09,1.282e+09,9.64e+08,3.18e+08,5.06e+08,5.06e+08,1.788e+09,1.58e+09,9.64e+08,1.3e+07,6.41e+08,2.544e+09,4.332e+09,2.246e+09,-9.19e+08,1.208e+09,-1.049e+09,1.486e+09,1.4e+07,1.5e+09,5.832e+09,6e+07,3.8e+07,2.4e+07,0,1.22e+08,3.8e+07,-16150676.0786404,-19517985.8539774,1.6e+07,-1.5e+07,-3e+06,-4.9e+07,-6.6e+07,7.2e+07,7.2e+07,-5e+06,6.7e+07,1.4e+08,1.58e+09,1.98e+08,0.10472,0.05534,0.03093,0.038,0.00977,3.47368,1.19463,2.888,0.27092,0.40714,0.3931,13.16429,10.61429,1.41429,0.10714,4,0.0178,0.04896,0.26316,7.35714,10.09804
"48","2022_Q1",48.153064516129,"Up",2.499e+09,-2.261e+09,2.38e+08,-1.1e+08,-1.1e+08,1.28e+08,-2.1e+07,-5e+06,1.07e+08,-2e+06,1.05e+08,-3.4e+07,7.1e+07,7.1e+07,-1e+06,7e+07,7e+07,3.7e+08,3.7e+08,1.411e+09,1230447738.19454,3.71e+08,3.71e+08,2.152e+09,1.36e+08,3.886e+09,7.08e+08,2.06e+09,2.31e+08,8.86e+08,4.052e+09,6.204e+09,1.343e+09,1.026e+09,3.17e+08,5.16e+08,5.16e+08,1.875e+09,1.875e+09,7.71e+08,7e+07,6.13e+08,2.646e+09,4.521e+09,2.206e+09,-9.43e+08,1.287e+09,-8.81e+08,1.669e+09,1.4e+07,1.683e+09,6.204e+09,7.1e+07,3.2e+07,1.5e+07,-1.16e+08,1999999.99999999,-8e+06,-21004975.6864075,-23211445.5434402,-4.06e+08,-1.6e+07,2.74e+08,-3.2e+07,2.27e+08,-1.77e+08,-1.77e+08,-3e+06,-1.8e+08,1.6e+08,1.891e+09,7e+07,0.09524,0.05122,0.02801,0.04159,0.01128,1,1.14773,2.68627,0.3048,0.5,0.48276,17.85,11.92143,0.5,0.11429,5,0.01979,0.01611,0.22857,9.50625,11.88281
"49","2022_Q2",49.0420967741935,"Up",1.714e+09,-1.518e+09,1.96e+08,-1.07e+08,-1.07e+08,8.9e+07,-1.38e+08,-5752826.18672779,-4.9e+07,-2e+06,-5.1e+07,-1.9e+07,-7e+07,-7e+07,-1e+06,-7.1e+07,-7.1e+07,4.12e+08,4.12e+08,1.035e+09,1.035e+09,3.27e+08,3.27e+08,1.774e+09,1.32e+08,3.698e+09,6.88e+08,2.051e+09,2.12e+08,7.47e+08,3.86e+09,5.634e+09,9.02e+08,6.3e+08,2.72e+08,5.59e+08,5.59e+08,1.461e+09,1.872e+09,7.23e+08,7e+07,5.89e+08,2.595e+09,4.056e+09,2.216e+09,-9.76e+08,1.2e+09,-8.76e+08,1.564e+09,1.4e+07,1.578e+09,5.634e+09,-7e+07,3.3e+07,1.53e+08,-2.7e+07,8.9e+07,1.2e+07,-6e+06,-6e+06,1.2e+07,-1.5e+07,-7e+06,-3.4e+07,-5.2e+07,4.9e+07,4.9e+07,-7e+06,4.2e+07,1.22e+08,1.872e+09,1.26e+08,0.11435,0.05193,-0.04142,-0.04499,-0.0126,-1.77465,1.21424,2.57034,0.33227,-0.50792,-0.48029,12.26159,11.18852,0.90138,0.10731,4,-0.01342,0.03019,-0.21127,11.96721,16.40449
"50","2022_Q3",49.01,"Down",1.616e+09,-1.415e+09,2.01e+08,-1.05e+08,-1.05e+08,9.6e+07,-8e+06,3e+06,8.8e+07,3.9e+07,1.27e+08,-3.3e+07,9.4e+07,9.4e+07,0,9.4e+07,9.4e+07,5.16e+08,5.16e+08,1.033e+09,1.033e+09,3.33e+08,3.33e+08,1.882e+09,1.35e+08,3.471e+09,6.56e+08,2.025e+09,2.02e+08,5.88e+08,3.636e+09,5.518e+09,9.43e+08,6.47e+08,2.96e+08,5.49e+08,5.49e+08,1.492e+09,1.746e+09,6.84e+08,7.2e+07,5.74e+08,2.43e+09,3.922e+09,2.222e+09,-1.016e+09,1.276e+09,-8.96e+08,1.586e+09,1e+07,1.596e+09,5.518e+09,9.4e+07,3.3e+07,-2.7e+07,2.5e+07,1.25e+08,2.9e+07,4.7e+07,4.7e+07,1.57e+08,-1.7e+07,-9.8e+07,-4.9e+07,-1.63e+08,1.19e+08,1.19e+08,-1.5e+07,1.04e+08,1.29e+08,1.746e+09,2.16e+08,0.12438,0.05941,0.05817,0.0589,0.01704,2.29787,1.26139,2.45739,0.31642,0.67626,0.60256,11.6259,11.41007,1.55396,0.1223,6,0.02757,0.05365,0.18085,9.53488,12.8125
