"","YQ","p","d","revenue","investment_income_loss","other_operating_income","total_realized_investment_gains","total_otti_realized","other_realized_investment_gains","other_income","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","other_assets","total_assets","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",49.1409677419355,"Up",1.46e+09,1.05e+08,2.18e+08,1.69e+08,0,1.69e+08,4.1e+07,2.7e+08,2.7e+08,2.7e+08,-8.6e+07,1.84e+08,1.84e+08,5.1e+07,5.1e+07,1.2791e+10,4.04e+08,7.44e+08,1.5544e+10,3.67e+08,5.95e+08,8.701e+09,7.82e+08,6.843e+09,1.5544e+10,1.74e+08,1.74e+08,-1.2e+07,3.6e+07,2.4e+07,-2.7e+07,-3.4e+07,1.64e+08,1.64e+08,1.64e+08,0,0.18493,0.03493,0.00745,0.00328,1.27152,0,1.08071,0.95546,30.93792,16.57086,0.57214,0.00514,0.52941,-1.4963
"12","2013_Q1",55.3988333333333,"Up",1.372e+09,1.12e+08,1e+08,6e+07,0,6e+07,3.2e+07,1.65e+08,1.65e+08,1.65e+08,-4.6e+07,1.19e+08,1.19e+08,3e+07,3e+07,1.2814e+10,4e+08,6.61e+08,1.5441e+10,3.65e+08,6.14e+08,8.65e+09,6.42e+08,6.791e+09,1.5441e+10,2.12e+08,2.12e+08,-6.2e+07,1e+07,-5.2e+07,-1.49e+08,-1.64e+08,-3999999.99999994,-3999999.99999994,-3999999.99999994,1.73472347597681e-18,0.12026,0.02187,0.00442,0.00194,1.27374,-1.61558713389263e-27,0.317479999999524,0.563870000000276,14.5192299999796,6.79398999999849,1.57680000000051,0.01187,4.96667,-2.42424
"13","2013_Q2",59.74875,"Up",1.571e+09,1.03e+08,2.93e+08,2.49e+08,0,2.49e+08,3.6e+07,4.36e+08,4.36e+08,4.36e+08,-1.46e+08,2.9e+08,2.9e+08,3.7e+07,3.7e+07,1.3158e+10,3.88e+08,6.22e+08,1.5791e+10,4.1e+08,6.11e+08,8.774e+09,6.36e+08,7.017e+09,1.5791e+10,1.27e+08,1.27e+08,-1.73e+08,4e+07,-1.33e+08,0,-6e+06,-1.2e+07,-1.2e+07,-1.2e+07,0,0.27753,0.02355,0.00527,0.00234,1.25039,0,0.79098,0.6986,33.58452,13.59628,0,0.00241,0,-0.88991
"14","2013_Q3",59.7271875,"Down",1.426e+09,1.04e+08,1.07e+08,6e+07,-1e+06,6.1e+07,3.9e+07,2.63e+08,2.63e+08,2.63e+08,-8.6e+07,1.77e+08,1.77e+08,4.4e+07,4.4e+07,1.3102e+10,3.65e+08,6.68e+08,1.5879e+10,3.12e+08,6.39e+08,8.911e+09,6.47e+08,6.968e+09,1.5879e+10,2.03e+08,2.03e+08,-1.74e+08,-2.8e+07,-2.02e+08,-2.8e+07,-2.4e+07,-2.3e+07,-2.3e+07,-2.3e+07,0,0.18443,0.03086,0.00631,0.00277,1.27885,0,0.942279999999992,17309.20535,30.5383199999993,13.8557500000009,0.599630000000047,0.00463,0.63636,-1.38783
"15","2013_Q4",55.65671875,"Down",1.577e+09,1.09e+08,2.27e+08,1.82e+08,-9e+06,1.91e+08,3.7e+07,3.98e+08,3.98e+08,3.98e+08,-1.31e+08,2.67e+08,2.67e+08,4.6e+07,4.6e+07,1.342e+10,5.35e+08,6.52e+08,1.6384e+10,3.68e+08,6.97e+08,9.185e+09,6.57e+08,7.199e+09,1.6384e+10,3.59e+08,3.59e+08,-3.07e+08,1.44e+08,-1.63e+08,-2.8e+07,-2.6e+07,1.7e+08,1.7e+08,1.7e+08,0,0.25238,0.02917,0.00639,0.00281,1.27587,0,0.98587,0.87021,33.79808,14.08075,0.60009,0.00462,0.6087,-1.34422
"16","2014_Q1",55.4024590163934,"Down",-3239391000,-300973000,692582000,-490443000,9612000,-500055000,-90306000,-850386000,-850386000,-850386000,278997000,-571389000,-571389000,35611000,35611000,1.3866e+10,4.52e+08,6.25e+08,1.6676e+10,4.5e+08,5.73e+08,9.126e+09,7.34e+08,7.55e+09,1.6676e+10,-477427000,-470992000,570848000,-138080000,432768000,-27618000,-59339000,-97563000,-97563000,-97563000,4.44089209850063e-16,0.26251,-0.01099,0.00472,0.00214,1.20874,2.06795153138257e-25,0.765489999999994,0.675489999998675,-69.6338000000001,15.7780300000001,0.593680000000012,0.0039,0.77555,0.53152
"17","2014_Q2",58.6584126984127,"Up",1.511e+09,1.09e+08,1.14e+08,5.6e+07,0,5.6e+07,5e+07,1.56e+08,1.56e+08,1.56e+08,-4.7e+07,1.09e+08,1.09e+08,4.6e+07,4.6e+07,1.414e+10,3.79e+08,6.6e+08,1.6931e+10,4.92e+08,5.11e+08,9.241e+09,7.42e+08,7.69e+09,1.6931e+10,5.4e+07,5.4e+07,-1.74e+08,7.9e+07,-9.5e+07,-3e+07,-3.2e+07,-7.3e+07,-7.3e+07,-7.3e+07,0,0.10324,0.03044,0.00598,0.00272,1.20169,0,0.99128,0.87451,32.56128,15.98972,0.64648,0.00462,0.65217,-2.42949
"18","2014_Q3",60.3703125,"Up",1.598e+09,1.11e+08,1.68e+08,1.33e+08,0,1.33e+08,2.7e+07,1.47e+08,1.47e+08,1.47e+08,-4.4e+07,1.03e+08,1.03e+08,4.9e+07,4.9e+07,1.4608e+10,3e+08,6.86e+08,1.746e+10,5.57e+08,5.41e+08,9.639e+09,7.55e+08,7.821e+09,1.746e+10,1.91e+08,1.91e+08,-3e+08,6.3e+07,-2.37e+08,-2.9e+07,-3.3e+07,-7.9e+07,-7.9e+07,-7.9e+07,7.105427357601e-15,0.09199,0.03066,0.00627,0.00281,1.23245,3.30872245021211e-24,1.06022,0.934869999999946,34.57625,16.33609,0.62748,0.00461,0.59184,-2.04082
"19","2014_Q4",68.853125,"Up",1.426e+09,1.15e+08,-4.4e+07,-8.6e+07,-1e+06,-8.5e+07,3.4e+07,1.5e+08,1.5e+08,1.5e+08,-4.2e+07,1.08e+08,1.08e+08,4.7e+07,4.7e+07,1.4626e+10,3.79e+08,6.47e+08,1.7578e+10,4.65e+08,6.47e+08,9.742e+09,7.71e+08,7.836e+09,1.7578e+10,3.04e+08,3.04e+08,-5.58e+08,3.58e+08,-2e+08,-3e+07,-2.5e+07,7.9e+07,7.9e+07,7.9e+07,0,0.10519,0.03296,0.006,0.00267,1.24324,0,1.0175,0.89712,30.87141,16.69134,0.64947,0.0045,0.6383,-2.52667
"20","2015_Q1",72.1393442622951,"Up",-3099464000,-318464000,1.181e+09,-102048000,895000,-102943000,-100071000,-201736000,-201736000,-201736000,49241000,-152495000,-152495000,25505000,25505000,702387000,91747000,525064000,1319198000,614951000,1113000,616064000,703134000,703134000,1319198000,-355515000,-362987000,1017291000,-490388000,526903000,-29526000,-48218000,115698000,115698000,115698000,1.13686837721616e-13,0.06509,-0.00822999999999999,0.03627,0.01933,0.87617,-5.29395592033938e-23,0.55219,0.480590000000006,-67.10459,15.22312,0.63925,0.07814,1.15766,0.45479
"21","2015_Q2",67.9338095238095,"Down",357370000,4541000,352829000,-360000,-120000,-240000,2358000,58969000,58969000,58969000,-20136000,38833000,38833000,38833000,38833000,1.495e+10,4.2e+08,7.3e+08,1.7993e+10,4.94e+08,7.24e+08,9.856e+09,7.1e+08,8.137e+09,1.7993e+10,-14839000,-15251000,6829000,5996000,12825000,-31714000,-31714000,-34140000,-34140000,-34140000,0,0.16501,0.10866,0.00477,0.00216,1.21126,0,0.84069,0.73775,7.73669,15.37076,0.68657,0.00403,0.81668,-7.12239
"22","2015_Q3",68.835,"Up",417365000,4435000.00000006,412930000,563000,-35000,598000.000000007,10707000,85688000,85688000,85688000,-29538000,56150000,56150000,56150000,56150000,1.4881e+10,4.21e+08,7.48e+08,1.8069e+10,4.13e+08,6.87e+08,9.907e+09,7.32e+08,8.162e+09,1.8069e+10,67132000,57129000,-9106000,2665000,-6441000.00000006,-31715000,-31715000,18973000,18973000,18973000,9.09494701772928e-13,0.20531,0.13453,0.00688,0.00311,1.2138,8.470329472543e-22,1.21559,1.0682,9.03552,15.84703,0.6866,0.00498,0.56483,-4.91317
"23","2015_Q4",75.7025,"Up",403857000,4346000,399511000,-963000,-480000,-483000,3837000,75509000,75509000,75509000,-25947000,49562000,49562000,49562000,49562000,1.465e+10,6.18e+08,7.74e+08,1.8115e+10,2.83e+08,8.27e+08,9.99e+09,7.5e+08,8.125e+09,1.8115e+10,95418000,89117000,-17788000,5943000,-11845000,-31714000,-31714000,45558000,45558000,45558000,0,0.18697,0.12272,0.0061,0.00274,1.22954,0,1.07297,0.94216,8.74308,16.23671,0.68657,0.00456,0.63989,-8.18445
"24","2016_Q1",79.125737704918,"Up",360624000,4469000,356155000,-306000,-923000,617000,81000,46083000,46083000,46083000,-15950000,30133000,30133000,30133000,30133000,688476000,182889000,535931000,1407296000,636213000,1580000,637793000,769503000,769503000,1407296000,61892000,86383000,6748000,-665000.000000007,6083000.00000001,-31715000,-31715000,60751000,60751000,60751000,0,0.12779,0.08356,0.03916,0.02141,0.82884,0,0.65248,0.57728,7.80875,16.66239,0.68674,0.08021,1.0525,-3.96869
"25","2016_Q2",80.74390625,"Up",377287000,4662000,372625000,-1433000,-345000,-1088000,-670000,70224000,70224000,70224000,-24329000,45895000,45895000,45895000,45895000,701080000,105282000,534262000,1340624000,554257000,1500000,555757000,784867000,784867000,1340624000,-20977000,-21762000,-21050000,-799000,-21849000,-33996000,-33996000,-77607000,-77607000,-77607000,0,0.18613,0.12164,0.05847,0.03423,0.70809,0,0.99358,0.87375,8.16787,16.99155,0.73598,0.1016,0.74073,-1.49923
"26","2016_Q3",84.743125,"Up",431288000,4891000,426397000,399000,5.82076609134674e-11,399000,2114000,93163000,93163000,93163000,-31854000,61309000,61309000,61309000,61309000,725083000,124111000,565632000,1414826000,599492000,140000,599632000,815194000,815194000,1414826000,83747000,72244000,-28755000,9337000,-19418000,-33997000,-33997000,18829000,18829000,18829000,2.3283064365387e-10,0.21601,0.14215,0.07521,0.04333,0.73557,1.0842021724855e-19,1.32728,1.17012,9.33697,17.64817,0.736,0.11689,0.55452,-1.33219
"27","2016_Q4",91.4419047619048,"Up",422732000,5331000,417401000,718000,0,718000,-1723000,86581000,86581000,86581000,-29205000,57376000,57376000,57376000,57376000,770324000,139813000,574878000,1485015000,644323000,1763000,646086000,838929000,838929000,1485015000,104674000,105069000,-55166000,-205000,-55371000,-33996000,-33996000,15702000,15702000,15702000,0,0.20481,0.13573,0.06839,0.03864,0.77013,0,1.24213,1.09467,9.15172,18.16197,0.73598,0.10869,0.59251,-1.61482
"28","2017_Q1",100.850322580645,"Up",-1203468000,5674000,-1209142000,572000,-71000,643000,7304000,71388000,70123000,70123000,-24337000,45786000,45786000,45786000,45786000,771450000,189072000,588433000,1548955000,705416000,1863000,732045000,816910000,816910000,1548955000,86645000,98785000,-29057000,-11249000,-40306000,-33996000,-9220000,49259000,49259000,49259000,24766000,-0.0593200000000004,-0.0380500000000003,0.05605,0.02956,0.89611,0.01599,0.99122,0.87352,-26.05392,17.68531,0.73598,0.09458,0.7425,-2.30159
"29","2017_Q2",105.155873015873,"Up",6589000,5981000,608000,395000,-121000,516000,213000,73529000,72954000,72954000,-25078000,47876000,47876000,47876000,47876000,774326000,110418000,605292000,1490036000,632453000,2972000,660178000,829858000,829858000,1490036000,-24056000,-35122000,-5428000,-1653000,-7081000,-36441000,-36451000,-78654000,-78654000,-78654000,24753000,11.15936,7.26605,0.05769,0.03213,0.79553,0.01661,1.03648,0.91347,0.14265,17.96577,0.78892,0.09832,0.76115,-1.16505
"30","2017_Q3",107.078571428571,"Up",6450999.99999976,6239000,212000,62999.9999999999,-61000,124000,148999.999999999,89899000,89235000,89235000,-30708000,58527000,58527000,58527000,58527000,797912000,144709000,624604000,1567225000,663265000,1004000,714011000,853214000,853214000,1567225000,69180000,74613000,-21482000,-7383000,-28865000,-36442000,-11457000,34291000,34291000,34291000,49742000,13.93567,9.07255,0.0686,0.03734,0.83685,0.03174,1.26727,1.11902,0.139679999999999,18.47448,0.78907,0.10506,0.62265,-1.05637
"31","2017_Q4",106.913333333333,"Down",8418000,5982000,2436000,899000,0,899000,1537000,89657000,88865000,88865000,-30322000,58543000,58543000,58543000,58543000,798717000,184628000,648084000,1631429000,705036000,1509000,756279000,875150000,875150000,1631429000,82545000,80843000,1060000,-5529000,-4469000,-36441000,-36455000,39919000,39919000,39919000,49734000,10.65063,6.9545,0.06689,0.03588,0.86417,0.03048,1.2674,1.11895,0.18224,18.94613,0.78891,0.10253,0.62247,-1.50456
"32","2018_Q1",103.452950819672,"Down",7133999.99999999,6437000,697000,-205000,0,-205000,902000,65759000,64641000,64641000,-32588000,32053000,32053000,32053000,32053000,803835000,215721000,646303000,1665859000,731888000,1899000,808515000,857344000,857344000,1665859000,74177000,76792000,-26034000,-8214000,-34248000,-36441000,-11451000,31093000,31093000,31093000,74728000,9.21769,4.49299,0.03739,0.01924,0.94305,0.04486,0.69391,0.61255,0.15444,18.56063,0.78891,0.07334,1.1369,-2.14409
"33","2018_Q2",103.64921875,"Up",6163000,6820000,-657000,-465000,0,-465000,-192000,83730000,83221000,83221000,-17463000,65758000,65758000,65758000,65758000,786501000,119627000,667348000,1573476000,657566000,1029000,733321000,840155000,840155000,1573476000,-40230000,-40230000,7892000,-24631000,-16739000,-39116000,-39125000,-96094000,-96094000,-96094000,74726000,13.58592,10.6698,0.07827,0.04179,0.87284,0.04749,1.42363,1.25701,0.13343,18.18893,0.84684,0.1145,0.59485,-0.53626
"34","2018_Q3",112.029047619048,"Up",6207000,7104000,-897000.00000003,-678000,-646000,-32000,-218999.999999993,101530000,100986000,100986000,-21280000,79706000,79706000,79706000,79706000,757567000,198412000,696296000,1652275000,671940000,422000,772087000,880188000,880188000,1652275000,81823000,81823000,22286000,-11200000,11086000,-39119000,-14124000,78785000,78785000,78785000,99725000,16.35734,12.84131,0.09056,0.04824,0.87718,0.06036,1.72557,1.52357,0.13438,19.0553,0.84689,0.12121,0.49079,-0.972
"35","2018_Q4",117.673492063492,"Up",8431000,7659000,772000,0,0,0,772000,105126000,104471000,104471000,-24025000,80446000,80446000,80446000,80446000,753794000,244688000,761021000,1759503000,728925000,9828000,838480000,921023000,921023000,1759503000,132721000,132721000,-4203000,-43119000,-47322000,-39120000,-39123000,46276000,46276000,46276000,99727000,12.46898,9.54169,0.08734,0.04572,0.91038,0.05668,1.74158,1.53758,0.18252,19.93924,0.84691,0.11602,0.48629,-1.37893
"36","2019_Q1",146.700655737705,"Up",2387207000,7804000,2379403000,-2448000,-935000,-1513000,579975000,79753000,82642000,82642000,-20328000,62314000,62314000,62314000,62314000,795197000,266417000,716713000,1778327000,693011000,11914000,804655000,973672000,973672000,1778327000,89271000,89271000,-49319000,20896000,-28423000,-39119000,-39119000,21729000,21729000,21729000,99730000,0.0334099999999999,0.0260999999999996,0.064,0.03504,0.82641,0.05608,1.34904,1.19096,51.68062,21.07901,0.84689,0.09346,0.62777,-2.09004
"37","2019_Q2",189.941111111111,"Up",9842000,8517000,1325000,2425000,-78000,2503000,-1100000,95964000,95515000,95515000,-20204000,75311000,75311000,75311000,75311000,717367000,312045000,770044000,1799456000,658625000,27754000,785652000,1013804000,1013804000,1799456000,24240000,24240000,82687000,-18929000,63758000,-41910000,-42370000,45628000,45628000,45628000,99273000,9.75046,7.652,0.07429,0.04185,0.77495,0.05517,1.63043,1.43958,0.21307,21.94814,0.90732,0.10275,0.55649,-2.21721
"38","2019_Q3",209.2603125,"Up",9700000,8030000,1670000.00000048,1218000,-83999.9999999999,1302000,452000,106310000,106038000,106038000,-18284000,87754000,87754000,87754000,87754000,731897000,338262000,819488000,1889647000,694658000,32761000,826193000,1063454000,1063454000,1889647000,90176000,90176000,-5696999.99999999,-15846000,-21543000,-41914000,-42416000,26217000,26217000,26217000,98774000,10.95979,9.0468,0.08252,0.04644,0.7769,0.05227,1.89979,1.67734,0.209999999999999,23.0227,0.9074,0.10851,0.47763,-2.25273
"39","2019_Q4",163.52796875,"Down",1894069000,8652000,1885417000,1665000,-31000,1696000,434499000,119418000,119502000,119502000,-25333000,94169000,94169000,94169000,94169000,767856000,344872000,861852000,1974580000,734608000,22396000,855309000,1119271000,1119271000,1974580000,123450000,123450000,-38299000,-36157000,-74456000,-41913000,-42384000,6610000,6610000,6610000,98305000,0.06305,0.04972,0.08413,0.04769,0.76417,0.04979,2.03866,1.7996,41.0047,24.2311,0.90737,0.10975,0.44508,-2.06474
"40","2020_Q1",150.084677419355,"Down",597551000,8860000,588691000,-5503000,-2000.00000000012,-5501000,148159000,69511000,69547000,75650000,-16063000,59587000,59587000,59587000,59587000,858812000,336739000,820689000,2016240000,763561000,21605000,882987000,1133253000,1133253000,2016240000,126661000,126661000,-55015000,-37378000,-92393000,-41914000,-42401000,-8133000,-8133000,-8133000,97821000,0.116329999999999,0.0997199999999998,0.05258,0.02955,0.77916,0.04852,1.29,1.13867,12.93636,24.53375,0.90739,0.08103,0.70341,-3.43713
"41","2020_Q2",164.920952380952,"Up",607542000,4664000,602878000,-13859000,-3053000,-10806000,151554000,76496000,76127000,76127000,-16801000,59326000,59326000,59326000,59326000,892036000,228646000,836811000,1957493000,723726000,19433000,840501000,1116992000,1116992000,1957493000,20077000,20077000,-62118000,-20631000,-82749000,-44940000,-45421000,-108093000,-108093000,-108093000,97342000,0.12591,0.09765,0.05311,0.03031,0.75247,0.04973,1.28435,1.13376,13.15273,24.18185,0.97291,0.08451,0.75751,-1.71648
"42","2020_Q3",197.63453125,"Up",668572000,5044000,663528000,6509000,-17000,6526000,151965000,102742000,102482000,102482000,-20505000,81977000,81977000,81977000,81977000,954279000,257738000,870844000,2082861000,776980000,14895000,888722000,1194139000,1194139000,2082861000,107205000,107205000,-17098000,-15576000,-32674000,-44941000,-45439000,29092000,29092000,29092000,96847000,0.15367,0.12262,0.06865,0.03936,0.74424,0.0465,1.77476,1.56726999999998,14.47428,25.85256,0.97295,0.09719,0.54821,-1.56597
"43","2020_Q4",221.0471875,"Up",669919000,10645000,659274000,5793000,-122000,5915000,147710000,112663000,111696000,111696000,-22480000,89216000,89216000,89216000,89216000,1070834000,216355000,872153000,2159342000,804272000,11495000,912125000,1247217000,1247217000,2159342000,107196000,107196000,-88729000,-14419000,-103148000,-44940000,-45431000,-41383000,-41383000,-41383000,96358000,0.16817,0.13317,0.07153,0.04132,0.73133,0.04462,1.93143,1.70543,14.50306,27.00096,0.9729,0.099,0.50372,-1.0651
