"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",36.293064516129,"Down",8.336e+09,-6.1e+09,2.236e+09,-4.95e+08,-2.91e+08,-2.1e+07,-1.83e+08,1.742e+09,1.742e+09,-3.55e+08,1.387e+09,-3.47e+08,1.04e+09,1.04e+09,1.04e+09,1.04e+09,4.69e+08,4.69e+08,2.363e+09,2.363e+09,1.488e+09,4.903e+09,2.2305e+10,1.001e+09,2.62e+08,2.04e+08,5.8e+07,2.3568e+10,2.8471e+10,5.897e+09,4.771e+09,1.126e+09,4.39e+08,6.336e+09,9.9e+08,5.493e+09,1.745e+09,6.483e+09,1.2819e+10,1.566e+09,1.6292e+10,-2.206e+09,1.5652e+10,1.5652e+10,2.8471e+10,1.04e+09,1.83e+08,7e+07,-6.24e+08,6.69e+08,-1.318e+09,-1.318e+09,-1.02e+08,2.24e+08,1.22e+08,-5.27e+08,-5.27e+08,-5.27e+08,1.925e+09,1.429e+09,3.3e+08,0.26823,0.20897,0.12476,0.06645,0.03653,0.31731,0.77383,0.819,0.05019,1.22699,1.22152,9.83483,18.46626,0.38933,0.12034,6,0.05059,0.01462,0.09808,0.4987,0.55109
"12","2013_Q1",35.2001666666667,"Down",7.804e+09,-5.578e+09,2.226e+09,-4.85e+08,-2.59e+08,-1.6e+07,-2.1e+08,1.741e+09,1.741e+09,-3.27e+08,1.414e+09,-3.38e+08,1.076e+09,1.076e+09,1.076e+09,1.076e+09,4.82e+08,4.82e+08,1.976e+09,1.976e+09,1.107e+09,4.092e+09,2.3922e+10,1.09e+09,2.6e+08,2.04e+08,5.6e+07,2.5272e+10,2.9364e+10,5.433e+09,4.249e+09,1.184e+09,4.72e+08,5.905e+09,1.175e+09,5.907e+09,1.924e+09,7.082e+09,1.2987e+10,1.566e+09,1.7266e+10,-2.455e+09,1.6377e+10,1.6377e+10,2.9364e+10,1.076e+09,2.1e+08,3.22e+08,3.9e+07,1.647e+09,-1.638e+09,-1.632e+09,-1.01e+08,9.9e+07,-1999999.99999988,12999999.9999999,12999999.9999999,12999999.9999999,1.951e+09,1.647e+09,6.9e+08,0.28524,0.22309,0.13788,0.0657,0.03664,0.64126,0.69297,0.793,0.05609,1.26977,1.26558,9.20935,19.32617,0.81426,0.11919,5,0.04918,0.02883,0.09387,0.59713,0.66916
"13","2013_Q2",32.1846875,"Down",8.014e+09,-6.156e+09,1.858e+09,-4.62e+08,-2.54e+08,-2.3e+07,-1.85e+08,1.396e+09,1.396e+09,-3.26e+08,1.07e+09,-2.72e+08,7.98e+08,7.98e+08,7.98e+08,7.98e+08,3.23e+08,3.23e+08,2.232e+09,2.232e+09,1.432e+09,4.54e+09,2.7124e+10,1.177e+09,2.78e+08,2.24e+08,5.4e+07,2.8579e+10,3.3119e+10,5.723e+09,4.706e+09,1.017e+09,1.16e+09,6.883e+09,2.768e+09,6.445e+09,2.341e+09,9.213e+09,1.6096e+10,1.566e+09,1.7963e+10,-2.506e+09,1.7023e+10,1.7023e+10,3.3119e+10,7.98e+08,1.85e+08,2.5e+07,-4.11e+08,5.97e+08,-1.337e+09,-2.935e+09,-1.02e+08,2.281e+09,2.179e+09,-1.59e+08,-1.59e+08,-1.59e+08,1.581e+09,3.928e+09,1.05e+08,0.23184,0.1742,0.09958,0.04688,0.02409,0.13158,0.6596,0.94554,0.1186,0.94148,0.93816,9.45493,20.08377,0.12388,0.12034,3,0.03285,0.00383,0.12782,2.2802,2.58238
"14","2013_Q3",34.65296875,"Up",7.958e+09,-6.469e+09,1.489e+09,-7.25e+08,-2.52e+08,-2.1e+07,-4.52e+08,7.62e+08,7.62e+08,-3.3e+08,4.32e+08,-1.05e+08,3.27e+08,3.27e+08,3.27e+08,3.27e+08,5.42e+08,5.42e+08,2.227e+09,2.227e+09,1.609e+09,4.953e+09,2.8452e+10,1.292e+09,2.77e+08,2.24e+08,5.3e+07,3.0021e+10,3.4974e+10,5.881e+09,4.819e+09,1.062e+09,1.506e+09,7.387e+09,3.566e+09,6.723e+09,2.527e+09,1.0289e+10,1.7676e+10,1.566e+09,1.8187e+10,-2.455e+09,1.7298e+10,1.7298e+10,3.4974e+10,3.27e+08,4.52e+08,9e+07,-1.31e+08,7.38e+08,-1.562e+09,-1.562e+09,-1.02e+08,1.145e+09,1.043e+09,2.19e+08,2.19e+08,2.19e+08,1.214e+09,5.072e+09,-3.74e+08,0.18711,0.09575,0.04109,0.0189,0.00935,-1.14373,0.6705,1.02185,0.14502,0.3858,0.38434,9.38886,20.40821,-0.44125,0.12034,4,0.01475,-0.01286,0.31193,3.73147,5.94488
"15","2013_Q4",36.06703125,"Up",8.594e+09,-6.809e+09,1.785e+09,-5.44e+08,-2.91e+08,-3e+07,-2.23e+08,1.242e+09,1.242e+09,-3.85e+08,8.57e+08,-2.1e+08,6.47e+08,6.47e+08,6.47e+08,6.47e+08,7.6e+07,7.6e+07,2.176e+09,2.176e+09,1.563e+09,4.44e+09,3.0036e+10,1.325e+09,2.8e+08,2.24e+08,5.6e+07,3.1641e+10,3.6081e+10,5.17e+09,4.593e+09,5.77e+08,1.831e+09,7.001e+09,4.383e+09,6.801e+09,2.706e+09,1.1184e+10,1.8185e+10,1.566e+09,1.8733e+10,-2.403e+09,1.7896e+10,1.7896e+10,3.6081e+10,6.47e+08,2.23e+08,1.01e+08,-6.73e+08,2.98e+08,-1.804e+09,-1.804e+09,-1.01e+08,1.141e+09,1.04e+09,-4.66e+08,-4.66e+08,-4.66e+08,1.465e+09,6.214e+09,-8.02e+08,0.2077,0.14452,0.07529,0.03615,0.01793,-1.23957,0.6342,1.01615,0.17222,0.76333,0.76028,10.13922,21.11373,-0.9462,0.11916,3,0.0242,-0.02595,0.15611,4.18976,4.94203
"16","2014_Q1",36.2313114754098,"Up",8.363e+09,-6.009e+09,2.354e+09,-5.84e+08,-2.85e+08,-4.9e+07,-2.5e+08,1.76e+09,1.76e+09,-3.82e+08,1.378e+09,-3.22e+08,1.056e+09,1.056e+09,1.056e+09,1.056e+09,2.72e+08,2.72e+08,2.084e+09,2.084e+09,1.372e+09,4.287e+09,3.132e+10,1.332e+09,2.79e+08,2.24e+08,5.5e+07,3.2931e+10,3.7218e+10,5.245e+09,4.518e+09,7.27e+08,1.843e+09,7.088e+09,4.444e+09,6.162e+09,3.071e+09,1.0606e+10,1.7694e+10,1.566e+09,1.9679e+10,-1.721e+09,1.9524e+10,1.9524e+10,3.7218e+10,1.056e+09,2.5e+08,1.16e+08,2.37e+08,1.659e+09,-1.434e+09,-1.434e+09,-1.02e+08,7.3e+07,-2.9e+07,1.96e+08,1.96e+08,1.96e+08,2.01e+09,6.287e+09,1.135e+09,0.28148,0.21045,0.12627,0.05409,0.02837,1.07481,0.60483,0.90627,0.16892,1.24587,1.24235,9.86668,23.03445,1.33908,0.12034,4,0.03622,0.0355,0.09659,2.99254,3.41761
"17","2014_Q2",41.0157142857143,"Up",9.226e+09,-7.018e+09,2.208e+09,-5.76e+08,-2.75e+08,-2.1e+07,-2.8e+08,1.63e+09,1.63e+09,-3.7e+08,1.26e+09,-3.14e+08,9.46e+08,9.46e+08,9.46e+08,9.46e+08,1.02e+08,1.02e+08,2.738e+09,2.738e+09,1.4e+09,4.889e+09,3.2235e+10,1.338e+09,2.83e+08,2.24e+08,5.9e+07,3.3856e+10,3.8745e+10,5.816e+09,4.997e+09,8.19e+08,1.843e+09,7.659e+09,4.442e+09,6.283e+09,3.169e+09,1.0725e+10,1.8384e+10,1.566e+09,2.0516e+10,-1.721e+09,2.0361e+10,2.0361e+10,3.8745e+10,9.46e+08,2.8e+08,-1.5e+07,-1.26e+08,1.085e+09,-1.131e+09,-1.143e+09,-1.1e+08,-2e+06,-1.12e+08,-1.7e+08,-1.7e+08,-1.7e+08,1.91e+09,6.285e+09,9.67e+08,0.23932,0.17667,0.10254,0.04646,0.02442,1.0222,0.63833,0.9029,0.16221,1.11609,1.11229,10.88485,24.02194,1.14087,0.12978,6,0.03207,0.02937,0.11628,3.23717,3.79325
"18","2014_Q3",42.91453125,"Up",1.0049e+10,-7.425e+09,2.624e+09,-5.93e+08,-2.96e+08,-1.7e+07,-2.8e+08,2.029e+09,2.029e+09,-3.83e+08,1.646e+09,-4.14e+08,1.232e+09,1.232e+09,1.232e+09,1.232e+09,1.71e+08,1.71e+08,2.405e+09,2.405e+09,1.545e+09,4.797e+09,3.3015e+10,1.309e+09,2.77e+08,2.24e+08,5.3e+07,3.4601e+10,3.9398e+10,5.462e+09,4.752e+09,7.1e+08,1.624e+09,7.086e+09,4.445e+09,6.348e+09,3.431e+09,1.0793e+10,1.7879e+10,1.566e+09,2.1637e+10,-1.684e+09,2.1519e+10,2.1519e+10,3.9398e+10,1.232e+09,2.8e+08,-4.19e+08,-93999999.9999999,9.99e+08,-5.63e+08,-5.95e+08,-1.1e+08,-2.25e+08,-3.35e+08,69000000.0000001,69000000.0000001,69000000.0000001,2.309e+09,6.069e+09,2.066e+09,0.26112,0.20191,0.1226,0.05725,0.03127,1.67695,0.67697,0.83085,0.15404,1.45352,1.44822,11.85583,25.38815,2.43747,0.12978,7,0.03955,0.06088,0.08929,2.55435,2.90685
"19","2014_Q4",38.1365625,"Down",9.658e+09,-7.458e+09,2.2e+09,-5.44e+08,-2.54e+08,-1.4e+07,-2.76e+08,1.657e+09,1.657e+09,-4.12e+08,1.245e+09,-3.09e+08,9.36e+08,9.36e+08,9.36e+08,9.36e+08,4.3e+07,4.3e+07,2.301e+09,2.301e+09,1.503e+09,4.465e+09,3.4122e+10,1.379e+09,2.76e+08,2.24e+08,5.2e+07,3.5777e+10,4.0242e+10,5.269e+09,4.571e+09,6.98e+08,1.759e+09,7.028e+09,4.443e+09,6.392e+09,3.575e+09,1.0835e+10,1.7863e+10,1.566e+09,2.2463e+10,-1.65e+09,2.2379e+10,2.2379e+10,4.0242e+10,9.36e+08,2.76e+08,1.81e+08,-1.63e+08,1.23e+09,-1.344e+09,-1.379e+09,-1.11e+08,1.32e+08,2.1e+07,-1.28e+08,-1.28e+08,-1.28e+08,1.933e+09,6.202e+09,7.35e+08,0.22779,0.17157,0.09691,0.04182,0.02326,0.78526,0.63532,0.7982,0.15412,1.10429,1.10001,11.39453,26.40278,0.86715,0.13096,8,0.02994,0.02102,0.11859,3.18624,3.71696
"20","2015_Q1",32.7337704918033,"Down",8.033e+09,-6.24e+09,1.793e+09,-5.25e+08,-2.5e+08,-1.5e+07,-2.6e+08,1.267e+09,1.267e+09,-3.97e+08,8.7e+08,-1.99e+08,6.71e+08,6.71e+08,6.71e+08,6.71e+08,2.15e+08,2.15e+08,1.539e+09,1.539e+09,1.501e+09,3.569e+09,3.5574e+10,1.406e+09,2.81e+08,2.24e+08,5.7e+07,3.7261e+10,4.083e+10,4.003e+09,3.969e+09,3.4e+07,1.978e+09,5.981e+09,4.913e+09,7.406e+09,3.841e+09,1.2319e+10,1.83e+10,1.566e+09,2.3023e+10,-2.059e+09,2.253e+10,2.253e+10,4.083e+10,6.71e+08,2.6e+08,6.8e+08,-5.2e+08,1.091e+09,-1.401e+09,-1.445e+09,-1.1e+08,6.36e+08,5.26e+08,1.72e+08,1.72e+08,1.72e+08,1.527e+09,6.891e+09,-1.95e+08,0.2232,0.15772,0.08353,0.02978,0.01643,-0.29061,0.59672,0.81225,0.16877,0.79165,0.78913,9.47735,26.58093,-0.23006,0.12978,3,0.02121,-0.0053,0.16393,4.37197,5.26914
"21","2015_Q2",34.7190476190476,"Up",6.203e+09,-4.664e+09,1.539e+09,-5.98e+08,-2.64e+08,-1.7e+07,-3.17e+08,9.38e+08,9.38e+08,-3.77e+08,5.61e+08,-1.4e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,6e+07,6e+07,1.752e+09,1.752e+09,1.516e+09,3.595e+09,3.6261e+10,1.467e+09,2.85e+08,2.24e+08,6.1e+07,3.8013e+10,4.1608e+10,3.801e+09,3.583e+09,2.18e+08,1.938e+09,5.739e+09,5.61e+09,7.552e+09,3.768e+09,1.3162e+10,1.8901e+10,1.566e+09,2.3334e+10,-2.193e+09,2.2707e+10,2.2707e+10,4.1608e+10,4.21e+08,3.17e+08,-8e+06,-4.49e+08,2.81e+08,-9.86e+08,-1.002e+09,-1.1e+08,6.76e+08,5.66e+08,-1.55e+08,-1.55e+08,-1.55e+08,1.255e+09,7.548e+09,-4e+07,0.24811,0.15122,0.06787,0.01854,0.01012,-0.09501,0.62642,0.83239,0.18141,0.4967,0.495,7.31831,26.78976,-0.04719,0.12978,3,0.01405,-0.00106,0.26128,5.96653,7.98294
