"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.87046875,"Up",5.1e+07,-31784000,19216000,-20932000,-20878000,-1716000,-1221000,-826000,-826000,-395000,-2937000,-3255000,223000,-3032000,-3032000,-3032000,-3032000,4127000,4127000,35810000,35810000,55142000,7402000,4329000,102481000,17534000,197389000,89079000,2221000,214923000,317404000,21316000,21316000,23458000,9400000,1939000,48751000,72209000,474001000,-2000,-234366000,5562000,245195000,245195000,317404000,-3032000,1932000,-66000,1168000,2000,-1889000,-1889000,648000,648000,-1239000,-1239000,255000,-984000,216000,41493000,-728000,0.37678,-0.03365,-0.05945,-0.01237,-0.00955,0.24011,4.3687,0.2945,0.13073,-0.09526,-0.09526,1.60239,7.70387,-0.02287,-0.01024,-0.00246,172.99074,-21.77506
"12","2013_Q3",10.3503125,"Up",18779000,-12660000,6119000,-14207000,-14207000,-8088000,-99000,-439000,-439000,340000,-8187000,-8270000,3270000,-5e+06,-2268000,-2268000,-2268000,2054000,2054000,31302000,31302000,56715000,7807000,4493000,97878000,17937000,195032000,87312000,2219000,212969000,310847000,22361000,22361000,25165000,8821000,1961000,42792000,67957000,475116000,-2000,-236634000,4410000,242890000,242890000,310847000,-2268000,1895000,228000,3772000,3627000,-1387000,-1387000,-4957000,-4114000,-1874000,-1874000,-199000,-2073000,-6193000,36775000,-7078000,0.32584,-0.43069,-0.12077,-0.00934,-0.0073,3.12081,3.88945,0.27979,0.11831,-0.0711,-0.0711,0.58869,7.61418,-0.22188,-0.00786,-0.02453,-5.60649000000001,-4.29290000000001
"13","2013_Q4",12.89828125,"Up",44181000,-28722000,15459000,-19263000,-19263000,-3804000,-349000,-637000,-637000,288000,-4153000,-4343000,697000,-3646000,-1306000,-1306000,-1306000,4394000,4394000,44022000,44022000,57193000,7056000,3636000,112665000,17410000,197728000,88186000,2216000,215138000,327803000,27691000,27691000,33650000,8694000,2040000,48783000,82433000,476945000,-2000,-237940000,6367000,245370000,245370000,327803000,-1306000,2476000,463000,-7160000,-5527000,-588000,-588000,8830000,8940000,2825000,2825000,-485000,2340000,-1328000,46048000,-9773000,0.3499,-0.0861,-0.02956,-0.00532,-0.00398,7.48315,3.34814,0.33595,0.14047,-0.0407,-0.0407,1.37682,7.64653,-0.30456,-0.00435,-0.03256,-31.36596,-10.95005
"14","2014_Q1",11.3808196721311,"Down",27160000,-20620000,6540000,-6413000,-6425000,127000,-541000,-478000,-478000,-63000,-414000,-7000,1010000,1003000,736000,736000,736000,4478000,4478000,40316000,40316000,54054000,7533000,4797000,106381000,17401000,197641000,87209000,2063000,215042000,321423000,27349000,27349000,29259000,8783000,1997000,44914000,74173000,477893000,-2000,-237204000,6563000,247250000,247250000,321423000,736000,1976000,1759000,4898000,9369000,-1212000,-1212000,-8234000,-7999000,158000,158000,-74000.0000000001,83999.9999999995,2103000,38041000,4779000,0.2408,0.00468000000000009,0.0271,0.00298,0.00229,6.49321,3.63584,0.29999,0.11835,0.02267,0.02267,0.83652,7.61524,0.14719,0.0025,0.01625,15.95958,264.27559
"15","2014_Q2",10.8387301587302,"Down",44432000,-27790000,16642000,-20813000,-20813000,-4171000,-753000,-626000,-626000,-127000,-4924000,-4924000,1522000,-3402000,-1327000,-1327000,-1327000,4385000,4385000,44279000,44279000,51902000,7787000,4893000,108353000,17211000,197701000,86199000,1965000,214912000,323265000,23940000,23940000,25932000,7817000,1627000,51195000,77127000,478395000,-2000,-238531000,6276000,246138000,246138000,323265000,-1327000,1954000,-1444000,-6297000,-7114000,-660000,-660000,6997000,7281000,-493000,-493000,4e+05,-93000,-2217000,45370000,-10696000,0.37455,-0.09387,-0.02987,-0.00539,-0.0041,8.06029,4.17835,0.31335,0.14035,-0.04078,-0.04078,1.3655,7.56441,-0.32871,-0.00443,-0.03573,-18.48669,-9.82618
"16","2014_Q3",8.72234375,"Down",34422000,-22078000,12344000,-17984000,-17984000,-5640000,-304000,-623000,-623000,319000,-5944000,-6354000,1911000,-4443000,-4983000,-4983000,-4983000,4605000,4605000,28709000,28709000,57090000,52642000,5519000,143046000,16590000,164875000,66858000,1882000,181465000,324511000,27675000,27675000,60485000,6061000,1619000,23957000,84442000,479073000,-2000.00000000001,-243514000,4512000,240069000,240069000,324511000,-4983000,1908000,-34000,2554000,-554999.999999998,-718000,-718000.000000004,1720000,2079000,806000,806000,-586000,219999.999999998,-3732000,47333000,-3807000,0.35861,-0.16385,-0.14476,-0.02076,-0.01536,0.764000000000001,2.36498,0.35174,0.14586,-0.15294,-0.15294,1.0565,7.36837,-0.11685,-0.01698,-0.01297,-11.44909,-7.57588999999994
"17","2014_Q4",8.04296875,"Down",33490000,-20966000,12524000,-7691000,-7691000,4833000,-1377000,-559000,-559000,-818000,3456000,1276000,70000,1346000,20403000,20403000,20403000,42793000,42793000,44113000,44113000,67914000,7512000,4978000,162332000,13810000,154188000,63433000,2436000,167998000,330330000,38703000,26286000,46043000,5942000,1565000,24163000,70206000,482284000,-186000,-223111000,1137000,260124000,260124000,330330000,20403000,1990000,-17027000,-28697000,-23331000,-1017000,80123000,-21280000,-19103000,37689000,37689000,499000,38188000,6823000,25561000,-22961000,0.37396,0.14431,0.60923,0.07844,0.06177,-1.12537,3.52566,0.26989,0.07738,0.6249,0.6249,1.02572,7.967,-0.70324,0.06996,-0.07873,-2.52558,-3.56549
"18","2015_Q1",7.30311475409836,"Down",45959000,-29840000,16119000,-17547000,-17547000,-1428000,-1013000,-755000,-755000,-258000,-2441000,-3434000,315000,-3119000,-86000.0000000037,-86000.0000000037,-86000.0000000037,39690000,29788000,27754000,27754000,56789000,34327000,5274000,158560000,12235000,144745000,35551000,41662000,156980000,315540000,24672000,24672000,32540000,7248000,7248000,25807000,58347000,482988000,-186000,-223197000,-2412000,257193000,257193000,315540000,-86000.0000000037,1642000,-10127000,10896000,2324999.99999999,-472000,-10466000,-3346000,-3108000,-11249000,-11249000,-510000,-11759000,213999.999999998,18559000,10323000,0.35073,-0.0310699999999999,-0.00187000000000004,-0.000329999999999997,-0.000269999999999986,-120.03488,4.87277,0.22686,0.05882,-0.00263000000000002,-0.00263000000000002,1.40297,7.85121,0.31513,-0.000299999999999995,0.03648,-98.74299,14.79762
"19","2015_Q2",9.17777777777778,"Up",41881000,-27060000,14821000,-15249000,-15085000,-428000,-1163000,-686000,-686000,-477000,-1591000,-2059000,314000,-1745000,-1675000,-1675000,-1675000,36787000,26843000,35617000,35617000,60276000,19137000,10364000,151817000,13647000,136011000,56799000,2406000,149658000,301475000,21113000,21113000,24537000,6306000,2186000,25265000,49802000,483502000,-186000,-224872000,-6771000,251673000,251673000,301475000,-1675000,1576000,344000,-3218000,-2973000,-664000,-664000,-502000,-451000,-4088000,-4088000,-103000,-4191000,1148000,21970000,-3048000,0.35388,-0.01022,-0.03999,-0.00666,-0.00556,1.8197,6.18727,0.19788,0.07288,-0.05111,-0.05111,1.27805,7.68012,-0.09301,-0.00598,-0.01089,-12.90679,34.61916
"20","2015_Q3",7.97890625,"Down",30053000,-19538000,10515000,-14385000,-14142000,-3870000,-555000,-682000,-682000,127000,-4425000,-5833000,1993000,-3840000,-5447000,-5447000,-5447000,44334000,34409000,25154000,25154000,62230000,12419000,7704000,144137000,13558000,139671000,57048000,2492000,153229000,297366000,21426000,21426000,24205000,6079000,2257000,25418000,49623000,484118000,-186000,-230319000,-5870000,247743000,247743000,297366000,-5447000,1609000,-1616000,14285000,8831000,-890000,-890000.000000004,-439000,-398000,7543000,7543000,23000,7566000,-2261000,21988000,9141000,0.34988,-0.12877,-0.18125,-0.02199,-0.01832,-1.67817000000001,5.95484,0.2003,0.07394,-0.16612,-0.16612,0.91654,7.55557,0.27878,-0.01975,0.03314,9.88324,5.77416
"21","2015_Q4",4.78671875,"Down",39256000,-25113000,14143000,-14282000,-14243000,-139000,-9000,-705000,-705000,696000,-148000,-844000,-49958000,-50802000,-49695000,-49695000,-49695000,35508000,26273000,30115000,30115000,54280000,66849000,4956000,186752000,11626000,65678000,34034000,2276000,77304000,264056000,21576000,21576000,38387000,8385000,2412000,28116000,66503000,484481000,-186000,-278438000,-8304000,197553000,197553000,264056000,-49695000,1374000,52017000,-14449000,-10753000,-484000,-484000,3240000,3412000,-7825000,-7825000,-56000,-7881000,1235000,19731000,36260000,0.36028,-0.00354,-1.26592,-0.25155,-0.1882,-0.72965,4.86498,0.33663,0.07472,-1.51313,-1.51313,1.19528,6.01515,1.10406,-0.22021,0.16068,-12.7749,113.5036
"22","2016_Q1",4.24229508196721,"Down",44076000,-29309000,14767000,-15529000,-15029000,-762000,-606000,-694000,-694000,88000,-1368000,-31678000,-41000,-31719000,-20725000,-20725000,-20725000,98225000,88401000,26774000,26774000,51496000,4086000,3337000,180581000,10790000,35421000,33578000,1843000,46211000,226792000,21446000,21446000,21446000,10781000,1812000,30914000,52360000,483701000,-7320000,-300739000,-1210000,174432000,174432000,226792000,-20725000,1014000,22275000,6e+06,8564000,-431000,60444000,-75000,-7065000,61943000,61943000,-70000,61873000,252000,20133000,5862000,0.33503,-0.01729,-0.47021,-0.11881,-0.09138,-0.282850000000002,8.42026,0.30017,0.08877,-0.64245,-0.64245,1.3663,5.40717,0.18171,-0.10093,0.02855,-309.88889,102.48294
"23","2016_Q2",4.18078125,"Down",38207000,-27253000,10954000,-14365000,-14229000,-3411000,-278000,-714000,-714000,436000,-3689000,-4151000,138000,-4013000,-4013000,-4013000,-4013000,96245000,86335000,27014000,27014000,46186000,5759000,3225000,175204000,10842000,35421000,33556000,1865000,46263000,221467000,19412000,19412000,19522000,10930000,2069000,31377000,50899000,483737000,-8838000,-303181000,-1150000,170568000,170568000,221467000,-4013000,887000,325000,3832000,1031000,-585000,-1506000,-8831172.89683068,-1662000,-2137000,-2137000,71000,-2066000,-2524000,20557000,585000,0.2867,-0.08928,-0.10503,-0.02353,-0.01812,-0.14578,8.9747,0.29841,0.09282,-0.12962,-0.12962,1.23404,5.50916,0.01889,-0.01986,0.0029,29.98732,22.18939
"24","2016_Q3",4.4365625,"Up",29142000,-20797000,8345000,-11732000,-11599000,-3387000,-741000,-709000,-709000,-32000,-4128000,-2692000,-478999.999999998,-3171000,-3171000,-3171000,-3171000,98369000,88268000,20835000,20835000,46828000,4994000,2487000,171026000,11070000,33586000,33148000,438000,44656000,215682000,19623000,19027000,40611000,9480000,696000,9480000,50091000,483852000,-11143000,-306352000,-766000,165591000,165591000,215682000,-3171000,828000,355000.000000001,6700000,4712000,-451000,-451000.000000007,-19059425.3610483,-2305000,1956000,1956000,-23000,1933000.00000001,-2559000,20988000,4169000,0.28636,-0.11622,-0.10881,-0.01915,-0.0147,-1.31473,4.21132,0.3025,0.09731,-0.10336,-0.10336,0.94992,5.39767,0.13589,-0.01617,0.02126,30.23877,22.84647
"25","2016_Q4",5.42888888888889,"Up",39441000,-27105000,12336000,-11483000,-11483000,853000,-297000,-719000,-719000,422000,556000,274000,-679000,-405000,-405000,-405000,-405000,95955000,95955000,27298000,27298000,45250000,2309000,1603000,170812000,11218000,33323000,32937000,386000,44541000,215353000,22005000,20925000,43444000,9252000,388000,9252000,52696000,483894000,-12398000,-308328000,-511000,162657000,162657000,215353000,-405000,798000,266000,-997000,-338000,-977000,9258000,-27173391.3768506,-1255000,7665000,7665000,22000,7687000,1651000,21439000,356000,0.31277,0.02163,-0.01027,-0.00249,-0.00188,-0.87901,3.93177,0.32397,0.09955,-0.01345,-0.01345,1.3095,5.40046,0.01182,-0.00209,0.00184,-45.13386,-87.35756
"26","2017_Q1",5.45096774193548,"Up",41399000,-29350000,12049000,-12646000,-12625000,-597000.000000001,-1027000,-734000,-734000,-293000,-1624000,-1744000,355000,-1389000,-1389000,-1389000,-1389000,94738000,94738000,23232000,23232000,45410000,3565000,3480000,166945000,11055000,32457000,32310000,147000,43512000,210457000,18709000,17740000,40607000,9042000,76000.0000000001,9042000,49649000,483928000,-12398000,-309717000,-1005000,160808000,160808000,210457000,-1389000,826000,1028000,-1060000,-594999.999999999,-531000,-531000,-29586704.9284353,9.31322574615479e-10,-1126000,-1126000,-91000,-1217000,229000,21898000,-1717000,0.29105,-0.01442,-0.03355,-0.00864,-0.0066,1.23614,4.11124,0.30875,0.10405,-0.04619,-0.04619,1.37662,5.34725,-0.05709,-0.00724,-0.00895,-318.0786,122.01005
"27","2017_Q2",5.72492063492064,"Up",41556000,-29256000,12300000,-12535000,-12535000,-235000,-969000,-983000,-983000,14000,-1204000,-1245000,-210000,-1455000,-1455000,-1455000,-1455000,73581000,73581000,24828000,24828000,43526000,3046000,3013000,144981000,10898000,32152000,32120000,32000,43050000,188031000,19732000,18621000,19732000,8990000,76000,8990000,28722000,483961000,-12412000,-311172000,-1068000,159309000,159309000,188031000,-1455000,824000,1001000,1611000,1981000,-426000,-426000,-22713000,-22727000,-21172000,-21172000,15000,-21157000,589000,0,1984000,0.29599,-0.00566,-0.03501,-0.00913,-0.00774,-1.36357,7.34751,0.18029,0,-0.04838,-0.04838,1.38174,5.29705,0.06597,-0.00865,0.01179,-124.9253,313.11064
"28","2017_Q3",6.68793650793651,"Up",30680000,-21642000,9038000,-12860000,-12860000,-3822000,314000,106000,106000,208000,-3508000,-3550000,-104000,-3654000,-3654000,-3654000,-3654000,63433000,63433000,22780000,22780000,54812000,2055000,2021000,143080000,11081000,32269000,32237000,32000,43350000,186430000,21048000,20862000,21048000,9115000,137000,9115000,30163000,484270000,-12415000,-314826000,-762000,156267000,156267000,186430000,-3654000,816000,-32000,-6730000,-9600000,-670000,-670000.000000004,-3000,-6000,-10276000,-10276000,128000,-10148000,-3006000,0,-10302000,0.29459,-0.12458,-0.1191,-0.02338,-0.0196,2.81938,6.7978,0.19302,-1.38777878078145e-17,-0.1215,-0.1215,1.02018,5.19625,-0.34257,-0.02209,-0.06229,21.10213,16.59681
"29","2017_Q4",7.30936507936508,"Up",45774000,-30490000,15284000,-16300000,-14431000,-1016000,142000,-71000,-71000,213000,-874000,-907000,-676000,-1583000,-1583000,-1583000,-1583000,1672000,1672000,35414000,35414000,66982000,2416000,2416000,106484000,24319000,84990000,66484000,350000,109309000,215793000,23534000,23021000,23534000,9391000,222000,36744000,60278000,484836000,-12415000,-316409000,-497000,155515000,155515000,215793000,-1583000,1373000,636000,-9385000,-8959000,-770000,-80008000,27379000,27224000,-61743000,-61743000,-18000,-61761000,357000,27353000,-9122000,0.3339,-0.0222,-0.03458,-0.01018,-0.00734,5.76248,4.52469,0.3876,0.12676,-0.05263,-0.05263,1.52189,5.17056,-0.30329,-0.00823,-0.04745,71.93557,-25.27657
"30","2018_Q1",6.91754098360656,"Down",52677000,-35489000,17188000,-16688000,-16469000,5e+05,-432000,-340000,-340000,-92000,67999.9999999995,-58000,6077000,6019000,6019000,6019000,6019000,1856000,1856000,35817000,35817000,58138000,3633000,3633000,99444000,24345000,83660000,65081000,834000,108005000,207449000,19784000,19456000,19784000,3841000,175000,24683000,44467000,485288000,-12415000,-310390000,499000,162982000,162982000,207449000,6019000,2246000,-5655000,5048000,7658000,-928000,-928000.00000003,-6548000,-6548000,182000,182000,2000,183999.999999993,2746000,20842000,789000,0.32629,0.00949000000000002,0.11426,0.03693,0.02901,0.131079999999998,5.02649,0.27283,0.10047,0.19995,0.19995,1.74989,5.41413,0.02621,0.03207,0.0042,6.91406000000001,37.972
"31","2018_Q2",7.01640625,"Up",53267000,-35440000,17827000,-17293000,-17128000,534000,-133000,-254000,-254000,121000,401000,361000,42000,403000,403000,403000,403000,2196000,2196000,36252000,36252000,53122000,4440000,4397000,96010000,24383000,82841000,64284000,812000,107224000,203234000,20006000,19761000,20046000,3778000,103000,18590000,38636000,485787000,-12415000,-309987000,1213000,164598000,164598000,203234000,403000,2042000,192000,4618000,7255000,-851000,-851000,-6114000,-6114000,290000,290000,50000,340000,2576000,14852000,6301000,0.33467,0.01002,0.00757,0.00245,0.00198,15.63524,4.78948,0.23473,0.07308,0.01339,0.01334,1.7696,5.46818,0.20933,0.0022,0.03439,4.91304,23.70037
"32","2018_Q3",9.37809523809524,"Up",45881000,-30021000,15860000,-15959000,-15791000,-98999.9999999998,-655000,-463000,-463000,-192000,-754000,-778000,1000,-777000,-777000,-777000,-777000,2571000,2571000,32461000,32461000,61157000,4719000,4676000,100908000,23703000,82645000,62983000,1572000,106348000,207256000,23072000,22908000,23112000,4112000,101000,20176000,43288000,486443000,-12632000,-310764000,921000,163968000,163968000,207256000,-777000,2103000,1217000,-1883000,660000,-665000,-1010000,1253000,736999.999999999,387000.000000002,387000.000000002,-12000,375000,2004000,16104000,-545000,0.34568,-0.00216,-0.01694,-0.00474,-0.00375,0.701420000000004,4.36604,0.264,0.0777,-0.02581,-0.02591,1.52423,5.44725,-0.01811,-0.00422,-0.00296,6.75299,-136.69697
