"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",32.1161904761905,"Down",1732000,-1024000,708000,-6060000,-4442000,-1618000,-5352000,-479000,-5831000,-5831000,-15000,-5846000,-5846000,-5846000,-5846000,12928000,12928000,1265000,1265000,3500000,1703000,1703000,19396000,906000,1182000,1182000,2088000,21484000,3284000,2426000,858000,5663000,670000,133000,537000,9617000,524000,250000,274000,10527000,20144000,126398000,-125058000,1340000,1340000,21484000,-5846000,159000,924000,-1083000,-5846000,3000,3000,2511000,-3332000,-3332000,-3332000,-5193000,15666000,-6258000,0.40878,-3.09007,-3.37529,-4.36269,-0.27211,1.07048,2.01685,15.03284,0.72919,-6.73052,-6.73052,1.99406,1.54275,-7.20485,-0.33349,-0.52725,-0.51158
"12","2018_Q1",27.8734426229508,"Down",1515000,-912000,603000,-6221000,-4612000,-1609000,-5618000,-450000,-6068000,-6068000,-94000,-6162000,-6162000,-6162000,-6162000,14567000,14567000,1103000,1103000,3643000,1625000,1625000,20938000,840000,1085000,1085000,1925000,22863000,2683000,1811000,872000,6441000,603000,123000,480000,9727000,518000,262000,256000,9429000,19156000,134927000,-131220000,3707000,3707000,22863000,-6162000,126000,1191000,-575000,-5420000,-2000,-2000,7067000,1645000,1645000,1645000,-5492000,15352000,-5975000,0.39802,-3.70825,-4.06733,-1.66226,-0.26952,0.96965,2.15257,5.16752,0.67148,-6.04847,-6.04847,1.48709,3.6387,-5.86492,-0.31476,-0.14294,-0.13973
"13","2018_Q2",26.54421875,"Down",1579000,-897000,682000,-6524000,-4373000,-2151000,-5842000,-485000,-6327000,-6327000,0,-6327000,-6327000,-6327000,-6327000,8818000,8818000,1566000,1566000,3480000,2018000,2018000,15882000,756000,1082000,1082000,1838000,17720000,3799000,2873000,926000,6441000,557000,129000,428000,10797000,626000,330000,296000,8422000,19219000,136113000,-137570000,-1499000,-1499000,17720000,-6327000,113000,782000,406000,-5026000,-6394.28361450021,-6394.66013129439,-729000,-5755000,-5755000,-5755000,-5729000,14237000,-5373180.30281948,0.43192,-3.69981,-4.00697,4.22081,-0.35705,0.833322075426705,1.47096,-12.82121,0.80344,-5.26387,-5.26387,1.31368,-1.24712,-4.58576724031057,-0.47344,-0.94589,-0.92759
"14","2018_Q3",23.6709523809524,"Down",1770000,-1003000,767000,-6043000,-4146000,-1897000,-5276000,-522000,-5798000,-5798000,1000,-5797000,-5797000,-5797000,-5797000,9094000,9094000,1857000,1857000,3016000,1238000,1238000,15205000,762000,1058000,1058000,1820000,17025000,3851000,2957000,894000,6441000,779000,350000,429000,11071000,578000,325000,253000,7218000,18289000,142103000,-143367000,-1264000,-1264000,17025000,-5797000,116000,1024000,615000,-4042000,-3000,-3000,4308000,262999.999999999,262999.999999999,263000.000000002,-5160000,13081000,-4549000,0.43333,-2.98079,-3.27514,4.58623,-0.3405,0.78472,1.37341,-14.46915,0.76834,-4.42151,-4.42151,1.35002,-0.96408,-3.46963,-0.46769,-0.77267,-0.75569
"15","2018_Q4",12.6149206349206,"Down",1617000,-855000,762000,-4885000,-3288000,-1597000,-4123000,-405000,-4528000,-4528000,-5000,-4533000,-4533000,-4533000,-4533000,5230000,5230000,1163000,1163000,2472000,1235000,1235000,10100000,728000,1046000,1046000,1774000,11874000,3448000,2778000,670000,6978000,623000,220000,403000,11049000,602000,357000,245000,6046000,17095000,142679000,-147900000,-5221000,-5221000,11874000,-4533000,122000,656000,649000,-3106000,0,0,-756000,-3862000,-3862000,-3862000,-4001000,12422000,-3347000,0.47124,-2.54978,-2.80334,0.86822,-0.38176,0.73836,0.91411,-3.27428,1.04615,-3.18312,-3.18312,1.13548,-3.66625,-2.3503,-0.58093,-1.79755,-1.74436
"16","2019_Q1",6.28032786885246,"Down",1579000,-965000,614000,-4587000,-2883000,-1704000,-3973000,-1054000,-5027000,-5027000,9000,-5018000,-5018000,-5018000,-5018000,9546000,9546000,758000,758000,2240000,693000,693000,13237000,626000,1099000,1099000,1725000,14962000,2978000,2328000,650000,1722000,682000,237000,445000,5382000,670000,431000,239000,7635000,13017000,154863000,-152918000,1945000,1945000,14962000,-5018000,112000,1021000,1285000,-2600000,-10000,-10000,6888000,4278000,4278000,4278000,-3861000,8687000,-2595000,0.38885,-2.51615,-3.17796,-2.57995,-0.33538,0.51714,2.45949,6.69254,0.5806,-2.56956,-2.56956,0.80856,0.99597,-1.32882,-0.44399,0.22248,0.21621
"17","2019_Q2",3.94984126984127,"Down",1581000,-655000,926000,-4501000,-3087000,-1414000,-3575000,-418000,-3993000,-3993000,-7000,-4e+06,-4e+06,-4e+06,-4e+06,8862000,8862000,1092000,1092000,2478000,982000,982000,13414000,532000,3090000,3090000,3622000,17036000,3350000,2756000,594000,2587000,1334000,214000,1120000,7271000,2011000,429000,1582000,7710000,14981000,158973000,-156918000,2055000,2055000,17036000,-4e+06,94000,283000,-630000,-4253000,-6004.49536892533,-6004.48887783336,3580000,-673000,-673000,-673000,-3481000,8286000,-3131410.81962898,0.58571,-2.26123,-2.53004,-1.94647,-0.2348,0.572740423674871,1.84486,7.29002,0.48638,-1.24557,-1.24557,0.49231,0.639909999999999,-0.888801221315285,-0.32383,0.16547,0.16112
"18","2019_Q3",3.57890625,"Down",877000,-442000,435000,-4670000,-2810000,-1860000,-4235000,-353000,-4588000,-4588000,1000,-4587000,-4587000,-4587000,-4587000,24054000,24054000,417000,417000,2661000,1384000,1384000,28516000,453000,3003000,3003000,3456000,31972000,3455000,2817000,638000,3493000,1422000,381000,1041000,8370000,1961000,489000,1472000,6334000,14704000,178773000,-161505000,17268000,17268000,31972000,-4587000,79000,299000,506000,-3703000,0,3.63797880709171e-12,18893000,15190000,15190000,15190000,-4156000,7866000,-3651000,0.49601,-4.82896,-5.23033,-0.26564,-0.14347,0.79595,3.40693,0.85152,0.24603,-0.87169,-0.87169,0.16666,3.28152,-0.69382,-0.16929,3.89509,3.82243
"19","2019_Q4",2.5840625,"Down",1234000,-585000,649000,-3680000,-2662000,-1018000,-3031000,-360000,-3391000,-3391000,2000,-3389000,-3389000,-3389000,-3389000,20410000,20410000,572000,572000,2980000,1175000,1175000,25137000,480000,2809000,2809000,3289000,28426000,3637000,3043000,594000,4443000,1379000,339000,1040000,9459000,1869000,509000,1360000,4852000,14311000,179009000,-164894000,14115000,14115000,28426000,-3389000,69000,220000,-169000,-3269000,-8000,-8000,-440000,-3717000,-3717000,-3717000,-2962000,7426000,-3141000,0.52593,-2.45624,-2.74635,-0.2401,-0.11922,0.92682,2.65747,1.01389,0.26124,-0.45923,-0.45923,0.16721,1.91266,-0.42562,-0.14477,4.38352,4.28373
"20","2020_Q1",1.23967741935484,"Down",1181000,-465000,716000,-3923000,-2867000,-1056000,-3207000,-365000,-3572000,-3572000,-3000,-3575000,-3575000,-3575000,-3575000,16253000,16253000,794000,794000,3123000,903000,903000,21073000,501000,2798000,2798000,3299000,24372000,3368000,2698000,670000,5438000,1362000,323000,1039000,10168000,1897000,521000,1376000,3424000,13592000,179249000,-168469000,10780000,10780000,24372000,-3575000,79000,249000,-343000,-3590000,-14000,-14000,-551000.000000002,-4155000,-4155000,-4155000,-3128000,6965000,-3482000,0.60627,-2.7155,-3.0271,-0.33163,-0.14668,0.97399,2.07248,1.26085,0.28578,-0.49653,-0.49653,0.16403,1.49724,-0.48362,-0.18201,2.96931,2.89616
"21","2020_Q2",1.24460317460317,"Up",760000,-387000,373000,-3975000,-2990000,-985000,-3602000,-246000,-3848000,-3848000,8000,-3840000,-3840000,-3840000,-3840000,16602000,16602000,726000,726000,3340000,1294000,1294000,21962000,485000,2770000,2770000,3255000,25217000,3316000,2789000,527000,5699000,1336000,283000,1053000,10351000,1783000,497000,1286000,1783000,12134000,185392000,-172309000,13083000,13083000,25217000,-3840000,75000,195000,-771000,-4341000,-9000,-9000,4690000,340000,340000,340000,-3527000,5699000,-4315000,0.49079,-4.73947,-5.05263,-0.29351,-0.15228,1.1237,2.12173,0.92746,0.226,-0.37015,-0.37015,0.07326,1.26112,-0.41594,-0.18673,3.0913,3.02693
"22","2020_Q3",1.23203125,"Down",1668000,-646000,1022000,-3574000,-2620000,-954000,-2552000,-235000,-2787000,-2787000,-68000,-2855000,-2855000,-2855000,-2855000,14064000,14064000,1054000,1054000,3455000,1123000,1123000,19696000,447000,2563000,2563000,3010000,22706000,2913000,2117000,796000,4548000,1386000,279000,1107000,8847000,1742000,594000,1148000,1960000,10807000,187063000,-175164000,11899000,11899000,22706000,-2855000,76000,67000,-480000,-3192000,-6000,-6000,613000,-2585000,-2585000,-2585000,-2476000,4766000,-2894000,0.61271,-1.52998,-1.71163,-0.23994,-0.12574,1.01366,2.22629,0.90823,0.2099,-0.2177,-0.2177,0.12719,0.90732,-0.22067,-0.1551,3.75525,3.64342
"23","2020_Q4",1.2628125,"Up",747000,-355000,392000,-3461000,-2705000,-756000,-3069000,-242000,-3311000,-3311000,-25000,-3336000,-3336000,-3336000,-3336000,18050000,18050000,715000,715000,3707000,833000,833000,23305000,474000,2455000,2455000,2929000,26234000,2794000,2107000,687000,3280000,1571000,445000,1126000,7645000,1646000,626000,1020000,1800000,9445000,195289000,-178500000,16789000,16789000,26234000,-3336000,64000,273000,401000,-2598000,-58000,-58000,6645000,3989000,3989000,3989000,-3005000,3434000,-2637000,0.52477,-4.10843,-4.46586,-0.1987,-0.12716,0.79047,3.0484,0.56257,0.1309,-0.17643,-0.17643,0.03951,0.8879,-0.13946,-0.15254,4.86389,4.76246
"24","2021_Q1",2.74180327868852,"Up",1218000,-816000,402000,-3183000,-2419000,-764000,-2781000,-198000,-2979000,-2979000,34000,-2945000,-2945000,-2945000,-2945000,20350000,20350000,684000,684000,3542000,672000,672000,25248000,437000,2382000,2382000,2819000,28067000,3135000,2268000,867000,1719652.0320196,1533000,441000,1092000,4668000,1625000,667000,958000,1625000,6293000,203219000,-181445000,21774000,21774000,28067000,-2945000,70000,-222000,639000,-2458000,0,-7.27595761418343e-12,4776000,2318000,2318000,2318000,-2711000,0,-2106000,0.33005,-2.28325,-2.4179,-0.13525,-0.10493,0.71511,5.40874,0.28901,0,-0.14253,-0.14253,0.05895,1.05378,-0.10192,-0.12586,7.50646,7.31751
"25","2021_Q2",1.86031746031746,"Down",1316000,-609000,707000,-3728000,-2933000,-795000,-3021000,4000,-3017000,-3017000,-45000,-3062000,-3062000,-3062000,-3062000,67411000,67411000,498000,498000,3493000,517000,517000,71919000,392000,2250000,2250000,2642000,74561000,2558000,1981000,577000,633000,831000,388000,443000,4022000,738000,706000,31999.9999999999,1520000,5542000,253526000,-184507000,69019000,69019000,74561000,-3062000,70000,168000,-349000,-3173000,-9000,-9000,50236000,47054000,47054000,47054000,-2951000,1415000,-3264000,0.53723,-2.29559,-2.32675,-0.04436,-0.04107,1.06597,17.8814,0.0803,0.01898,-0.08461,-0.08461,0.03637,1.90725,-0.0902,-0.04302,22.36394,21.84575
"26","2021_Q3",1.47859375,"Down",1436000,-709000,727000,-3868000,-3058000,-810000,-3141000,9000,-3132000,-3132000,-9000,-3141000,-3141000,-3141000,-3141000,64236000,64236000,779000,779000,3346000,834000,834000,69195000,355000,2155000,2155000,2510000,71705000,2775000,2080000,695000,640000,787000,330000,457000,4202000,1425000,727000,698000,1425000,5627000,253726000,-187648000,66078000,66078000,71705000,-3141000,71000,189000,-286000,-3167000,-2000,-2000,0,-3169000,-3169000,-3169000.00000001,-3070000,640000,-3349000,0.50627,-2.18733,-2.18733,-0.04753,-0.0438,1.06622,16.46716,0.08516,0.00893,-0.0868,-0.0868,0.03968,1.82598,-0.09255,-0.04609,20.71531,20.24706
"27","2021_Q4",1.3571875,"Down",1972000,-832000,1140000,-3802000,-3164000,-638000,-2662000,-27000,-2689000,-2689000,14000,-2675000,-2675000,-2675000,-2675000,91227000,91227000,1275000,1275000,3066000,762000,762000,96330000,303000,2085000,2085000,2388000,98718000,2841000,1954000,887000,639000,901000,353000,548000,4381000,1344000,763000,581000,1344000,5725000,283316000,-190323000,92993000,92993000,98718000,-2675000,69000,185000,-142000,-2563000,-17000,-17000,29572000,26992000,26992000,26992000,-2593000,639000,-2766000,0.57809,-1.3499,-1.35649,-0.02877,-0.0271,1.03402,21.98813,0.06156,0.00647,-0.06218,-0.06218,0.04584,2.16152,-0.06429,-0.02817,34.9356,34.03005
"28","2022_Q1",1.12241935483871,"Down",1242000,-913000,329000,-4160000,-3464000,-696000,-3831000,27000,-3804000,-3804000,-54000,-3858000,-3858000,-3858000,-3858000,88337000,88337000,585000,585000,2989000,610000,610000,92521000,284000,1945000,1945000,2229000,94750000,2526000,1384000,1142000,641000,871000,316000,555000,4038000,1329000,866000,463000,1329000,5367000,283564000,-194181000,89383000,89383000,94750000,-3858000,56000,262000,974000,-2566000,-19000,-19000,-296000,-2881000.00000001,-2881000.00000001,-2881000.00000001,-3775000,641000,-2766000,0.2649,-3.08454,-3.10628,-0.04316,-0.04072,0.71695,22.91258,0.06004,0.00677,-0.06743,-0.06743,0.02171,1.56224,-0.04834,-0.04223,23.23073,22.89115
"29","2022_Q2",1.01193548387097,"Down",876000,-611000,265000,-4553000,-3646000,-907000,-4288000,-24000,-4312000,-4312000,-38000,-4350000,-4350000,-4350000,-4350000,82632000,82632000,564000,564000,3232000,1378000,1378000,87806000,307000,1885000,1885000,2192000,89998000,2142000,1465000,677000,638000,840000,323000,517000,3620000,1192000,825000,367000,1192000,4812000,283717000,-198531000,85186000,85186000,89998000,-4350000,53000,154000,-1565000,-5708000,-3000,-3000,-252406288.73112,-5711000,-5711000,-5711000,-4235000,638000,-5765000,0.30251,-4.89498,-4.96575,-0.05106,-0.04833,1.32529,24.2558,0.05649,0.00709,-0.06964,-0.06964,0.01402,1.36378,-0.09229,-0.04999,19.36104,19.12174
"30","2022_Q3",0.98140625,"Down",1570000,-824000,746000,-5122000,-4166000,-956000,-4376000,-44000,-4420000,-4420000,-26000,-4446000,-4446000,-4446000,-4446000,78832000,78832000,866000,866000,3098000,957000,957000,83753000,281000,1764000,1764000,2045000,85798000,2517000,1552000,965000,610000,672000,335000,337000,3799000,1086000,810000,276000,1086000,4885000,283890000,-202977000,80913000,80913000,85798000,-4446000,57000,329000,391000,-3669000,-15000,-15000,-866006866.193359,-3684000,-3684000,-3848000,-4319000,610000,-3917000,0.47516,-2.78726,-2.83185,-0.05495,-0.05182,0.88102,22.04606,0.06037,0.00711,-0.07109,-0.07109,0.0251,1.29369,-0.06263,-0.05382,18.11114,17.87523
