"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","loans_mortgages","equity_securities","real_estate_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2013_Q2",24.9775,"Up",1.148e+09,7.17e+08,4.17e+08,1.4e+07,-8e+06,2.2e+07,-3.93e+08,-2.51e+08,-2.32e+08,2.72e+08,-9.7e+07,-1.8e+07,-7.9e+07,1.75e+08,1.75e+08,-6.2e+07,1.13e+08,1.13e+08,1.2e+08,1.2e+08,2.7555e+10,2.5082e+10,8.08e+08,1.065e+09,6e+08,1.529e+09,6.49e+08,5.65e+08,8.841e+09,3.9139e+10,2.8031e+10,2.88e+09,2.5e+08,9.5e+08,2.12e+09,3.4231e+10,1.18e+09,2.62e+09,9.33e+08,4.733e+09,4.908e+09,3.9139e+10,1.13e+08,3.5e+07,-1.34e+08,4.5e+07,5.9e+07,-5.94e+08,1.24e+08,-4.7e+08,-1.7e+07,1.8e+07,2.37e+08,2.35e+08,-1.76e+08,-1.76e+08,-1.76e+08,3.07e+08,3.83e+09,0.23693,0.10453,0.02445,0.00307,6.97453,0.09786,1.34228,1.31868,12.84116,52.94183,0.19016,0.00352,0.14167,7.49511,8.45956
"14","2013_Q3",27.16,"Up",1.139e+09,7.37e+08,4.05e+08,-3000000.00000001,-2.8e+07,2.5e+07,-4.3e+08,-2.6e+08,-2.34e+08,2.15e+08,-8.9e+07,-1.8e+07,-7.1e+07,1.26e+08,1.26e+08,-4.9e+07,7.7e+07,7.7e+07,1.1e+08,1.1e+08,2.7991e+10,2.5328e+10,8.41e+08,1.199e+09,6.23e+08,1.271e+09,7.54e+08,8.18e+08,8.58e+09,3.9414e+10,2.8752e+10,2.603e+09,3.67e+08,9.49e+08,2.105e+09,3.4776e+10,1.177e+09,2.664e+09,6.32e+08,4.473e+09,4.638e+09,3.9414e+10,7.7e+07,4.3e+07,1.24e+08,-1.07e+08,1.37e+08,-8.7e+08,1.48e+08,-7.22e+08,-1.7e+07,-5.7e+07,4.02e+08,3.27e+08,-2.58e+08,-2.58e+08,-2.58e+08,2.58e+08,3.552e+09,0.18876,0.09658,0.02372,0.00279,7.49806,0.09012,1.22768,1.20219,12.71205,49.92188,0.18973,0.00325,0.15455,8.84109,10.6093
"15","2013_Q4",29.35,"Up",1.443e+09,9.78e+08,4.26e+08,3.9e+07,1.5e+07,2.4e+07,-6.8e+08,-2.61e+08,-2.44e+08,2.58e+08,-1.16e+08,-1.8e+07,-9.8e+07,1.42e+08,1.42e+08,-4.4e+07,9.8e+07,9.8e+07,8.3e+07,8.3e+07,2.859e+10,2.5964e+10,8.51e+08,1.143e+09,6.32e+08,1.331e+09,8.01e+08,8.67e+08,9.358e+09,4.0947e+10,3.0284e+10,2.429e+09,6.01e+08,9.13e+08,2.01e+09,3.6237e+10,1.198e+09,2.729e+09,6.15e+08,4.542e+09,4.71e+09,4.0947e+10,9.8e+07,3.2e+07,1.16e+08,-5.4e+07,1.92e+08,-7.85e+08,6.4e+07,-7.21e+08,-1.8e+07,1.4e+07,6.29e+08,5.89e+08,6e+07,6e+07,6e+07,2.9e+08,3.342e+09,0.17879,0.05752,0.01762,0.00203,7.69363,0.08162,0.93154,0.91209,16.19529,50.97643,0.20202,0.0025,0.21687,6.93448,7.79457
"16","2014_Q1",30.0555737704918,"Up",1.373e+09,8.86e+08,4.47e+08,4e+07,7e+06,3.3e+07,-5.37e+08,-2.47e+08,-2.48e+08,3.41e+08,-9.5e+07,-1.7e+07,-7.8e+07,2.46e+08,2.46e+08,-8.1e+07,1.65e+08,1.65e+08,1.58e+08,1.58e+08,2.9674e+10,2.6761e+10,1.019e+09,1.179e+09,7.15e+08,1.639e+09,7.39e+08,9.75e+08,9.06e+09,4.2087e+10,3.1119e+10,2.567e+09,5.08e+08,9.13e+08,2.211e+09,3.7318e+10,1.213e+09,2.777e+09,6.09e+08,4.599e+09,4.769e+09,4.2087e+10,1.65e+08,3.2e+07,-9.9e+07,2.74e+08,3.72e+08,-8.55e+08,-1.47e+08,-1.002e+09,-1.08e+08,9e+06,1.037e+09,9.38e+08,3.08e+08,3.08e+08,3.08e+08,3.73e+08,3.48e+09,0.24836,0.11508,0.03313,0.00375,7.82512,0.08269,1.77329,1.73056,15.40965,51.61616,1.21212,0.0064,0.68354,4.93566,5.39883
"17","2014_Q2",31.1898412698413,"Up",1.211e+09,7.82e+08,4.08e+08,2.1e+07,0,2.1e+07,-4.29e+08,-2.67e+08,-2.66e+08,2.49e+08,-8.8e+07,-1.8e+07,-7e+07,1.61e+08,1.61e+08,-5.4e+07,1.07e+08,1.07e+08,1.03e+08,1.03e+08,3.0851e+10,2.7687e+10,1.123e+09,1.297e+09,7.44e+08,1.876e+09,7.35e+08,8.9e+08,8.418e+09,4.277e+10,3.1705e+10,2.413e+09,4e+08,9.13e+08,2.366e+09,3.7797e+10,1.228e+09,2.842e+09,7.26e+08,4.796e+09,4.973e+09,4.277e+10,1.07e+08,2.7e+07,1e+07,6e+07,2.04e+08,-5.02e+08,7.6e+07,-4.26e+08,-1.9e+07,-1.3e+07,4.91e+08,4.59e+08,2.37e+08,2.37e+08,2.37e+08,2.76e+08,3.326e+09,0.20562,0.08505,0.02071,0.00241,7.60044,0.07776,1.14955,1.12445,13.51562,53.52679,0.21205,0.00288,0.18447,5.25362,5.82329
"18","2014_Q3",31.44390625,"Up",1.392e+09,9.58e+08,4.18e+08,1.6e+07,-1e+07,2.6e+07,-6.02e+08,-3e+08,-2.67e+08,2.23e+08,-9.3e+07,-1.7e+07,-7.6e+07,1.3e+08,1.3e+08,-4.7e+07,8.3e+07,8.3e+07,1.06e+08,1.06e+08,3.2727e+10,2.9331e+10,1.153e+09,1.473e+09,7.7e+08,2.116e+09,9.02e+08,8.06e+08,8.804e+09,4.5355e+10,3.3879e+10,2.499e+09,4.45e+08,9.12e+08,2.462e+09,4.0197e+10,1.242e+09,2.913e+09,8.3e+08,4.985e+09,5.158e+09,4.5355e+10,8.3e+07,3e+07,1.05e+08,7.7e+07,2.95e+08,-1.3e+09,7.56e+08,-5.44e+08,-2e+07,-7e+06,5.17e+08,4.89e+08,2.4e+08,2.4e+08,2.4e+08,2.53e+08,3.411e+09,0.1602,0.07615,0.02055,0.00234,7.79314,0.07521,1.18304,1.15721,15.53571,55.63616,0.22321,0.00281,0.18868,5.11858,5.80717
"19","2014_Q4",32.22828125,"Up",1.581e+09,1.159e+09,4.19e+08,3e+06,-2.5e+07,2.8e+07,-7.84e+08,-3.02e+08,-2.59e+08,2.36e+08,-9.1e+07,-1.8e+07,-7.3e+07,1.45e+08,1.45e+08,-5.4e+07,9.1e+07,9.1e+07,1.16e+08,1.16e+08,3.3841e+10,3.0307e+10,1.294e+09,1.474e+09,7.66e+08,1.31e+09,9.01e+08,8.58e+08,9.642e+09,4.6552e+10,3.4901e+10,2.625e+09,6.73e+08,1.062e+09,2.213e+09,4.1474e+10,1.238e+09,2.946e+09,7.2e+08,4.904e+09,5.078e+09,4.6552e+10,9.1e+07,3.8e+07,1.05e+08,-5.9e+07,1.75e+08,-1.227e+09,-2.38e+08,-1.465e+09,-2e+07,-7.2e+07,4.31e+08,4.84e+08,-8.06e+08,-8.06e+08,-8.06e+08,2.74e+08,3.687e+09,0.14927,0.07337,0.02284,0.00249,8.16739,0.0792,1.30337,1.27613,17.76404,55.10112,0.22472,0.00296,0.17241,8.67518,10.07203
"20","2015_Q1",34.1373770491803,"Up",1.549e+09,1.087e+09,4.24e+08,3.8e+07,-9e+06,4.7e+07,-6.79e+08,-3.03e+08,-2.95e+08,2.72e+08,-8.2e+07,-2.1e+07,-6.1e+07,1.9e+08,1.9e+08,-6.5e+07,1.25e+08,1.25e+08,1.27e+08,1.27e+08,3.4867e+10,3.1e+10,1.345e+09,1.696e+09,8.26e+08,1.343e+09,8.89e+08,8.21e+08,9.615e+09,4.7535e+10,3.5767e+10,2.819e+09,6.45e+08,1.061e+09,2.189e+09,4.2481e+10,1.24e+09,2.914e+09,7.25e+08,4.879e+09,5.054e+09,4.7535e+10,1.25e+08,4.9e+07,8.9e+07,2.94e+08,5.57e+08,-7.42e+08,-4.51e+08,-1.193e+09,-1.08e+08,-5.2e+07,8.3e+08,6.69e+08,32999999.9999998,32999999.9999998,32999999.9999998,3.21e+08,3.88e+09,0.1756,0.08199,0.02513,0.00267,8.40542,0.08162,1.44647,1.41268,17.64237,55.56948,1.23007,0.00501,0.85039,7.90343,9.32721
"21","2015_Q2",35.6880952380952,"Up",1.297e+09,9.71e+08,4.41e+08,-1.15e+08,-3e+06,-1.12e+08,-5.76e+08,-3.13e+08,-2.81e+08,1.27e+08,-9.7e+07,-2e+07,-7.7e+07,3e+07,3e+07,-5e+06,2.5e+07,2.5e+07,1.9e+07,1.9e+07,3.6172e+10,3.2241e+10,1.317e+09,1.71e+09,9.04e+08,1.212e+09,8.64e+08,7.56e+08,9.303e+09,4.8307e+10,3.6178e+10,2.952e+09,4.94e+08,1.061e+09,2.522e+09,4.3207e+10,1.261e+09,2.886e+09,7.76e+08,4.923e+09,5.1e+09,4.8307e+10,2.5e+07,3.1e+07,2.65e+08,7.6e+07,3.97e+08,-7.78e+08,-1.9e+08,-9.68e+08,-2.2e+07,-1.2e+07,4.74e+08,4.4e+08,-1.31e+08,-1.31e+08,-1.31e+08,1.58e+08,4.013e+09,0.09792,0.01465,0.00373,0.00039,8.47196,0.08307,0.21689,0.21253,14.80594,56.19863,0.25114,0.00086,1.15789,17.72785,22.05512
"22","2015_Q3",38.3996875,"Up",1.543e+09,1.012e+09,4.41e+08,9e+07,-2e+06,92000000.0000001,-6.01e+08,-3.38e+08,-2.78e+08,3.26e+08,-1e+08,-2e+07,-8e+07,2.26e+08,2.26e+08,-7.7e+07,1.49e+08,1.49e+08,1.41e+08,1.41e+08,3.6428e+10,3.2539e+10,1.277e+09,1.704e+09,9.08e+08,1.216e+09,9.59e+08,9.65e+08,9.856e+09,4.9424e+10,3.7107e+10,3.309e+09,5.11e+08,1.024e+09,2.489e+09,4.444e+10,1.271e+09,2.968e+09,5.63e+08,4.802e+09,4.984e+09,4.9424e+10,1.49e+08,5.3e+07,-3.3e+07,1e+07,1.79e+08,-9.07e+08,-2.39e+08,-1.146e+09,-2.2e+07,-3.2e+07,1.062e+09,9.71e+08,4e+06,4e+06,4e+06,3.79e+08,4.333e+09,0.21128,0.09138,0.02829,0.00285,8.91653,0.08767,1.60775,1.57542,17.59407,54.75485,0.25086,0.00333,0.15603,8.22427,9.56135
"23","2015_Q4",40.26890625,"Up",1.687e+09,1.201e+09,4.49e+08,3.7e+07,-1.1e+07,4.8e+07,-8.25e+08,-3.36e+08,-3.16e+08,2.1e+08,-1.11e+08,-1.8e+07,-9.3e+07,9.9e+07,9.9e+07,-3.3e+07,6.6e+07,6.6e+07,6.3e+07,6.3e+07,3.7238e+10,3.3383e+10,1.215e+09,1.831e+09,8.09e+08,8.94e+08,9.76e+08,9.93e+08,1.0456e+10,5.0557e+10,3.8484e+10,3.287e+09,7.24e+08,8.8e+08,2.276e+09,4.5651e+10,1.282e+09,2.981e+09,4.61e+08,4.724e+09,4.906e+09,5.0557e+10,6.6e+07,3.4e+07,1.92e+08,3.9e+07,3.31e+08,-1.074e+09,-2.27e+08,-1.301e+09,-2.1e+07,-2.2e+07,8.36e+08,6.48e+08,-3.22e+08,-3.22e+08,-3.22e+08,2.44e+08,4.167e+09,0.12448,0.03734,0.01284,0.00125,9.30514,0.08242,0.72,0.70549,19.28,53.98857,0.24,0.00169,0.33333,13.41393,15.58571
"24","2016_Q1",38.8918032786885,"Down",1.618e+09,1.144e+09,4.38e+08,3.6e+07,-1.8e+07,5.4e+07,-6.93e+08,-3.33e+08,-2.79e+08,3.13e+08,-1.03e+08,-1.7e+07,-8.6e+07,2.1e+08,2.1e+08,-8e+07,1.3e+08,1.3e+08,1.29e+08,1.29e+08,3.6516e+10,3.2538e+10,1.268e+09,1.719e+09,7.5e+08,1.22e+09,9.37e+08,1.184e+09,9.98e+09,4.9837e+10,3.7514e+10,3.781e+09,5.91e+08,9.98e+08,2.183e+09,4.5067e+10,1.301e+09,2.987e+09,3.04e+08,4.592e+09,4.77e+09,4.9837e+10,1.3e+08,1.6e+07,3.9e+07,2.61e+08,4.46e+08,-7.29e+08,-4.29e+08,-1.158e+09,-1.11e+08,1e+06,1.013e+09,1.038e+09,3.26e+08,3.26e+08,3.26e+08,3.29e+08,4.779e+09,0.19345,0.07973,0.02704,0.00259,9.44801,0.09589,1.4726,1.44295,18.47032,52.42009,1.26712,0.00487,0.86047,10.81763,11.37061
