"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.4535483870968,"Down",58123000,37907000,45580000,-7673000,20216000,4708000,15508000,-650000,57473000,-37193000,-1385000,-35808000,20280000,20280000,20369000,-7364000,13005000,13005000,13005000,13005000,54635000,17179000,890821000,3184914000,-83499000,3268413000,43172000,87796000,209702000,4488219000,3568668000,2933873000,634795000,136635000,156656000,72592000,3934551000,346535000,-30360000,215647000,21846000,553668000,553668000,4488219000,13005000,1796000,650000,68016000,-62740000,20727000,-3439000,-15110000,-6273000,3447000,-21375000,-4256000,3888000,99000,-43663000,26314000,-17618000,-18266000,-18266000,-18266000,22076000,293291000,-36739000,0.34892,0.22375,0.02349,0.0029,-2.82499,7.10634,0.06535,0.48695,0.48674,2.17631,20.73112,-1.37563,0.15936,0.00385,-0.00819,0.32726,10.81065,11.76805
"12","2013_Q1",16.6311666666667,"Up",59575000,38509000,45473000,-6964000,21066000,4779000,16005000,-793000,58782000,-39717000,-1851000,-37866000,19065000,19065000,18573000,-6227000,12346000,12346000,12346000,12346000,83232000,702000,903519000,3244242000,-83311000,3327553000,45016000,87502000,186480000,4550693000,3624347000,2977967000,646380000,169188000,129785000,68718000,3992038000,346535000,-31134000,223715000,19539000,558655000,558655000,4550693000,12346000,1744000,793000,57958000,-38284000,34557000,-2957000,-17419000,-67178000,8981000,-78573000,-4259000,5608000,-892000,-48230000,103909000,56136000,12120000,12120000,12120000,20809000,298973000,-14205000,0.32002,0.20723,0.0221,0.00271,-1.15058,7.1458,0.0657,0.4625,0.46235,2.23176,20.92799,-0.53214,0.15955,0.00365,-0.00312,0.34497,10.36768,11.31608
"13","2013_Q2",17.26171875,"Up",56702000,37754000,43878000,-6124000,18948000,4304000,14644000,-757000,55945000,-36550000,-1355000,-35195000,19395000,19395000,19395000,-6991000,12404000,12404000,12404000,12404000,43033000,21424000,882908000,3289207000,-84011000,3373218000,45620000,87207000,188629000,4558028000,3680566000,3033159000,647407000,114877000,127022000,67201000,3989666000,346535000,-28170000,231664000,18333000,568362000,568362000,4558028000,12404000,1628000,757000,31730000,-27135000,19384000,-1761000,17906000,-54653000,3600000,-34908000,-4267000,-58588000,2683000,89297000,-33078000,-3953000,-19477000,-19477000,-19477000,21023000,241899000,-882000,0.34205,0.21876,0.02182,0.00272,-0.07111,7.01959,0.05307,0.46363,0.46358,2.11937,21.24386,-0.03297,0.15949,0.00366,-0.00019,0.344,9.45945,10.25347
"14","2013_Q3",19.48078125,"Up",58992000,38871000,44611000,-5740000,20121000,4669000,15452000,-1293000,57699000,-35744000,-1310000,-34434000,21955000,21955000,21955000,-8013000,13942000,13942000,13942000,13942000,64850000,3171000,850887000,3407695000,-85690000,3493385000,46027000,86915000,179266000,4638811000,3700799000,3002410000,698389000,201904000,116980000,51375000,4071058000,346535000,-28021000,241401000,7838000,567753000,567753000,4638811000,13942000,1640000,1293000,34481000,-29255000,22101000,-1600000,14089000,-133179000,9037000,-111653000,-4277000,77043000,117000,-74302000,94535000,93116000,3564000,3564000,3564000,23595000,318884000,753000,0.37217,0.23634,0.02456,0.00301,0.05401,7.17047,0.06874,0.52014,0.52014,2.20082,21.18121,0.02809,0.15956,0.00393,0.00016,0.30677,10.76643,11.57067
"15","2013_Q4",22.44375,"Up",61316000,41158000,46966000,-5808000,20158000,4707000,15479000,419000,61735000,-38430000,-1178000,-37252000,23305000,23305000,23305000,-8409000,14896000,14896000,14896000,14896000,90090000,1676000,856934000,3383611000,-84507000,3468118000,45466000,86629000,185555000,4649961000,3679416000,2954153000,725263000,221442000,117204000,53670000,4071732000,346535000,-29362000,252043000,9013000,578229000,578229000,4649961000,14896000,1512000,-419000,31774000,-20595000,27168000,-679000,-4850000,16061000,-6315000,4217000,-4276000,19437000,-1418000,-39833000,18450000,-7640000,23745000,23745000,23745000,24817000,338646000,11952000,0.38008,0.24294,0.02576,0.0032,0.80236,7.04173,0.07283,0.55576,0.55574,2.28765,21.57321,0.44592,0.15953,0.00412,0.00257,0.28706,10.01555,10.66535
"16","2014_Q1",22.794262295082,"Up",57019000,39034000,44130000,-5096000,17985000,4379000,13746000,859000,57878000,-38590000,-1478000,-37112000,19288000,19288000,19288000,-5572000,13716000,13716000,13716000,13716000,77568000,2484000,855292000,3465819000,-83505000,3549324000,46630000,86343000,188690000,4722826000,3653650000,2918438000,735212000,314131000,117099000,52568000,4137448000,346535000,-29364000,261626000,6581000,585378000,585378000,4722826000,13716000,1518000,-859000,26682000,-22664000,18393000,839000,-3202000,-83574000,-3117000,-89054000,-4234000,92434000,-3487000,-112542000,86776000,58947000,-11714000,-11714000,-11714000,20806000,431230000,4553000,0.33827,0.24055,0.02343,0.0029,0.33195,7.06799,0.09131,0.51266,0.51268,2.13119,21.87961,0.17018,0.15825,0.0038,0.00096,0.30869,16.99808,18.33586
"17","2014_Q2",22.7842857142857,"Down",58016000,38618000,43355000,-4737000,19398000,4298000,14137000,-804000,57212000,-35973000,-1128000,-34845000,21239000,21239000,21239000,-7607000,13632000,13632000,13632000,13632000,92465000,1362000,862189000,3492558000,-85010000,3577568000,45856000,86057000,192706000,4773193000,3708423000,2957761000,750662000,297647000,118319000,52218000,4176607000,346535000,-29285000,270848000,8488000,596586000,596586000,4773193000,13632000,1475000,804000,20013000,-22480000,13444000,4584000,-3925000,-33676000,-61000,-33078000,-4267000,-16933000,-164000,60940000,-6167000.00000001,33409000,13775000,13775000,13775000,22714000,415966000,12425000,0.36609,0.23497,0.02285,0.00286,0.91146,7.00085,0.08715,0.50962,0.50962,2.16889,22.30296,0.4645,0.15952,0.00375,0.0026,0.31301,14.24236,15.23146
"18","2014_Q3",22.0196875,"Down",59383000,40162000,44851000,-4689000,19221000,4670000,14551000,-2543000,56840000,-34423000,-1062000,-33361000,22417000,22417000,22417000,-7923000,14494000,14494000,14494000,14494000,110933000,6445000,838851000,3634759000,-88776000,3723535000,45840000,85796000,203103000,4925727000,3815735000,3047025000,768710000,350002000,118490000,47282000,4331509000,346535000,-43445000,280917000,10211000,594218000,594218000,4925727000,14494000,1491000,2543000,30705000,-39850000,9383000,3224000,25053000,-152760000,-1056000,-125539000,-4503000,52334000,-15436000,30297000,77015000,139707000,23551000,23551000,23551000,23908000,468492000,-4795000,0.3775,0.24408,0.02439,0.00294,-0.33083,7.28943,0.09511,0.49749,0.49749,2.03825,20.39577,-0.16458,0.15456,0.00386,-0.00097,0.31068,14.95562,15.95035
"19","2014_Q4",23.26125,"Up",60102000,40710000,45152000,-4442000,19392000,4607000,14785000,-1206000,58896000,-37653000,-1158000,-36495000,21243000,21243000,21243000,-6296000,14947000,14947000,14947000,14947000,54542000,27169000,836917000,3567021000,-87400000,3654421000,47350000,85583000,202211000,4820793000,3835972000,3017293000,818679000,216722000,114935000,50131000,4217760000,346535000,-43716000,291569000,8645000,603033000,603033000,4820793000,14947000,1466000,1206000,47796000,-34958000,30457000,-2540000,-1893000,58790000,1324000,55681000,-4439000,-137058000,-545000,38716000,-18479000,-121805000,-35667000,-35667000,-35667000,22709000,331657000,-8493000,0.35345,0.24869,0.02479,0.0031,-0.56821,6.99424,0.0688,0.56913,0.56913,2.28848,22.96143,-0.32338,0.16902,0.00402,-0.00176,0.29698,12.20287,13.045
"20","2015_Q1",23.8224590163934,"Up",60715000,40839000,45196000,-4357000,19876000,4694000,15182000,820000,61535000,-41991000,-1698000,-40293000,19544000,19544000,19544000,-4548000,14996000,14996000,14996000,14996000,64834000,1356000,812124000,3603506000,-85068000,3688574000,50328000,85371000,212439000,4829958000,3802860000,3006619000,796241000,245822000,114996000,51807000,4215485000,346535000,-43711000,302242000,9407000,614473000,614473000,4829958000,14996000,1594000,-820000,40202000,-36905000,19067000,-3339000,25652000,-37817000,-10387000,-25891000,-4434000,28849000,0,-82873000,49761000,-8697000,-15521000,-15521000,-15521000,21138000,360818000,-14558000,0.3219,0.24699,0.0244,0.0031,-0.97079,6.86033,0.0747,0.63562,0.63562,2.57347,26.0451,-0.61706,0.18794,0.00402,-0.00301,0.29568,14.00246,15.14449
"21","2015_Q2",24.6163492063492,"Up",59187000,39436000,43632000,-4196000,19751000,4596000,15155000,-357000,58830000,-38061000,-870000,-37191000,20769000,20769000,20769000,-7258000,13511000,13511000,13511000,13511000,58196000,11068000,817373000,3616034000,-85098000,3701132000,49701000,85158000,224854000,4862384000,3870460000,3035057000,835403000,200146000,116279000,50994000,4237879000,346535000,-44484000,311207000,11247000,624505000,624505000,4862384000,13511000,1541000,357000,31600000,-29310000,17699000,5134000,-3411000,-19203000,-11212000,-28692000,-4434000,-46135000,-2964000,29826000,37774000,14067000,3074000,3074000,3074000,22310000,316425000,5392000,0.3509,0.22828,0.02163,0.00278,0.39908,6.78598,0.06508,0.51454,0.51454,2.25403,23.78317,0.20534,0.16886,0.00369,0.00111,0.32818,11.57459,12.43339
"22","2015_Q3",25.64515625,"Up",63196000,41665000,46214000,-4549000,21531000,4995000,16532000,-811000,62385000,-38241000,-1108000,-37133000,24144000,24144000,24144000,-8514000,15630000,15630000,15630000,15630000,66302000,11396000,807425000,3766111000,-86588000,3852699000,50931000,84967000,226891000,5014023000,3962585000,3105506000,857079000,262187000,116252000,41368000,4382392000,436538000,-45706000,232507000,8292000,631631000,631631000,5014023000,15630000,1539000,811000,44531000,-36729000,25782000,-1532000,3738000,-152398000,-15042000,-165234000,-4431000,61757000,-1565000,25633000,66492000,147886000,8434000,8434000,8434000,25683000,378439000,-4064000,0.38205,0.24733,0.02475,0.00312,-0.26001,6.93822,0.07548,0.59627,0.59627,2.41086,24.0961,-0.15504,0.16904,0.004,-0.00081,0.28349,12.15345,12.92814
"23","2015_Q4",27.00421875,"Up",63341000,42209000,46821000,-4612000,21132000,4996000,16136000,-992000,62349000,-41068000,-1237000,-39831000,21281000,21281000,21281000,-7353000,13928000,13928000,13928000,13928000,61124000,3065000,806313000,3867934000,-87616000,3955550000,51252000,84822000,231074000,5105584000,4019156000,3105004000,914152000,283510000,116341000,47356000,4466363000,436538000,-49120000,242102000,9701000,639221000,639221000,5105584000,13928000,1554000,992000,34477000,-23843000,27108000,-1426000,2321000,-104507000,-6768000,-110380000,-4420000,21142000,-3530000,20100000,36471000,69763000,-13509000,-13509000,-13509000,22835000,399851000,4919000,0.33598,0.21989,0.02179,0.00273,0.35317,6.9872,0.07832,0.53232,0.53232,2.42086,24.43071,0.188,0.16893,0.00359,0.00096,0.31735,14.83368,15.91687
"24","2016_Q1",25.7850819672131,"Down",64113000,43211000,48017000,-4806000,20902000,4943000,15959000,1.16415321826935e-10,64113000,-41744000,-1467000,-40277000,22369000,22369000,22369000,-7952000,14417000,14417000,14417000,14417000,65171000,14550000,813700000,3906580000,-88112000,3994692000,53191000,84676000,250048000,5187916000,4139186000,3236822000,902364000,233229000,116143000,55305000,4543863000,436538000,-50852000,251812000,6555000,644053000,644053000,5187916000,14417000,1570000,-1.16415321826935e-10,34591000,-20559000,30019000,-4733000,-13220000,-39830000,-19524000,-77307000,-4841000,-50607000,-1762000,87259000,32771000,62820000,15532000,15532000,15532000,23939000,349372000,6599000,0.3489,0.22487,0.02238,0.00278,0.45772,7.05511,0.06734,0.55328,0.55328,2.46044,24.71662,0.25325,0.18578,0.00371,0.00127,0.33578,11.87188,12.70513
"25","2016_Q2",28.20453125,"Up",62916000,41289000,46799000,-5510000,21627000,4706000,16911000,-975000,61941000,-40705000,-1219000,-39486000,21236000,21236000,21236000,-7418000,13818000,13818000,13818000,13818000,52373000,32854000,823923000,3942679000,-89296000,4031975000,54139000,84530000,255112000,5245610000,4225148000,3298769000,926379000,181914000,127601000,60974000,4595637000,436538000,-56677000,260813000,9299000,649973000,649973000,5245610000,13818000,1615000,975000,28576000,-19256000,25728000,-1725000,-7076000,-37666000,-5142000,-51609000,-4868000,-41702000,-8005000,67471000,18491000,31387000,5506000,5506000,5506000,22851000,309515000,9288000,0.33753,0.21963,0.02126,0.00263,0.67217,7.0705,0.059,0.53303,0.53303,2.42698,25.0727,0.35828,0.18778,0.00356,0.00177,0.35229,11.25299,12.10878
"26","2016_Q3",29.39,"Up",64590000,42293000,47937000,-5644000,22297000,5092000,17414000,-2049000,62541000,-40034000,-1190000,-38844000,22507000,22507000,22507000,-8028000,14479000,14479000,14479000,14479000,58944000,14297000,836231000,4061305000,-91458000,4152763000,54506000,84386000,270269000,5379938000,4325084000,3380458000,944626000,205976000,123502000,63620000,4718182000,436538000,-56357000,270744000,10831000,661756000,661756000,5379938000,14479000,1697000,2049000,30109000,-27782000,20552000,-1552000,-9888000,-121552000,-14344000,-147336000,-4832000,19578000,116000.000000002,521000,99415000,114798000,-11986000,-11986000,-11986000,24204000,329478000,2898000,0.34846,0.22417,0.02188,0.00269,0.20015,7.12979,0.06124,0.56004,0.56004,2.4983,25.59634,0.11209,0.1869,0.00359,0.00054,0.33372,11.17724,12.01999
"27","2016_Q4",33.2998412698413,"Up",65359000,42694000,48300000,-5606000,22665000,5111000,16565000,-2067000,63292000,-41145000,-1244000,-39901000,22147000,22147000,22147000,-7883000,14264000,14264000,14264000,14264000,65724000,30100000,851073000,4090520000,-88897000,4179417000,54654000,84244000,271596000,5447911000,4377038000,3384262000,992776000,216007000,123524000,61083000,4777652000,436538000,-56262000,280335000,9648000,670259000,670259000,5447911000,14264000,1718000,2067000,41352000,-39835000,19566000,-732000,-16357000,-32663000,-4141000,-53893000,-4830000,9811000,-25000,-42057000,94011000,56910000,22583000,22583000,22583000,23865000,339531000,-8819000,0.33885,0.21824,0.02128,0.00262,-0.61827,7.12807,0.06232,0.55143,0.55143,2.52672,25.91157,-0.34093,0.18672,0.0035,-0.00162,0.33861,11.47316,12.36316
"28","2017_Q1",39.4693548387097,"Up",65739000,43383000,48724000,-5341000,22356000,5990000,15360000,-742000,64997000,-41761000,-1508000,-40253000,23236000,23236000,23236000,-8011000,15225000,15225000,15225000,15225000,58578000,49726000,872925000,4099528000,-88543000,4188071000,56708000,84102000,264701000,5486268000,4333760000,3342504000,991256000,291943000,133072000,54843000,4813618000,436538000,-56056000,290824000,1344000,672650000,672650000,5486268000,15225000,1693000,742000,44556000,-30002000,32214000,-2737000,-35938000,-17787000,-547000,-57009000,-4886000,85435000,4000.00000000023,-110027000,66749000,37275000,12480000,12480000,12480000,24929000,425015000,201000,0.35346,0.2316,0.02263,0.00278,0.0132,7.1562,0.07747,0.58844,0.58844,2.5408,25.99779,0.00777,0.18884,0.00367,4.00000000000005e-05,0.32092,14.69923,15.77023
"29","2017_Q2",41.0452380952381,"Up",67034000,43727000,49372000,-5645000,23307000,4989000,17033000,-1e+06,66034000,-41119000,-1077000,-40042000,24915000,24915000,24915000,-8709000,16206000,16206000,16206000,16206000,58429000,33687000,859140000,4144744000,-90118000,4234862000,55167000,83960000,266399000,5501526000,4336976000,3370073000,966903000,279745000,144243000,54628000,4815592000,436538000,-54940000,303009000,1327000,685934000,685934000,5501526000,16206000,1643000,1e+06,26067000,-10639000,34277000,1706000,13423000,-47385000,-13944000,-46200000,-4841000,-2599000,-41000,55769000,-52553000,-4265000,-16188000,-16188000,-16188000,26558000,423988000,26334000,0.37168,0.24176,0.02363,0.00295,1.62495,7.02049,0.07707,0.62563,0.62563,2.58785,26.48047,1.01662,0.18689,0.00383,0.00479,0.29872,13.76455,14.67225
"30","2017_Q3",41.7693650793651,"Up",69997000,45861000,52398000,-6537000,24136000,5450000,18221000,-2738000,67259000,-41105000,-1672000,-39433000,26154000,26154000,26154000,-9485000,16669000,16669000,16669000,16669000,63473000,12561000,874552000,4289400000,-91914000,4381314000,54783000,83848000,308613000,5687230000,4482036000,3502235000,979801000,306583000,129202000,70207000,4988028000,436538000,-54662000,314889000,2437000,699202000,699202000,5687230000,16669000,1666000,2738000,30869000,-28565000,23377000,-680999.999999999,-14381000,-158781000,-17169000,-191012000,-5108000,11448000,153000,38054000,107006000,151553000,-16082000,-16082000,-16082000,27820000,435785000,8059000,0.37364,0.23814,0.02384,0.00293,0.48347,7.13389,0.07663,0.64292,0.64292,2.69977,26.96807,0.31083,0.19701,0.00383,0.00142,0.30644,13.38289,14.23538
